	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.KM.8639.01A.11R.2403.07	GTEX.QLQW.1626.SM.4R1K1	TCGA.B0.5707.01A.11R.1541.07	TCGA.A3.3363.01A.01R.0864.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.IA.A83W.01A.11R.A355.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.5P.A9KA.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.2Z.A9JL.01A.11R.A42S.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.B3.3925.01A.02R.1351.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.BQ.5883.01A.11R.1592.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9K4.01A.11R.A42S.07	TCGA.EV.5903.01A.11R.1592.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.2Z.A9J3.01A.12R.A38C.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A3I0.01A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YB5E.0326.SM.5IFHU
GLE1	218.79	403.5	483.38	332.14	412.0	414.87	368.65	392.44	384.34	329.84	336.79	395.18	381.68	327.56	264.03	400.71	275.28	368.65	336.79	291.04	316.37	384.34	341.51	339.14	403.5	406.31	293.07	521.76	473.41	432.53	368.65	503.95	273.37	318.57	234.57	368.65	241.19	295.11	417.77	204.07	400.71	392.44	309.83	309.83	346.29	379.04	332.14	265.87	358.54	279.14	312.0	366.09	223.41	251.48	121.79	120.1	231.32	332.14
GMCL1	144.01	199.85	312.0	137.14	199.85	255.0	232.94	438.59	211.31	194.36	138.1	241.19	189.02	178.77	185.11	189.02	150.17	90.77	153.34	101.54	164.42	173.85	126.12	232.94	246.28	211.31	215.77	232.94	205.5	211.31	88.88	348.71	162.14	166.73	102.97	297.17	49.91	136.19	231.32	135.24	186.4	199.85	205.5	146.03	229.72	285.03	101.54	128.79	172.65	237.86	85.82	231.32	96.68	164.42	99.43	204.07	72.01	221.86
GNA12	229.72	293.07	616.37	624.99	409.15	518.15	748.61	497.0	688.78	293.07	373.81	866.07	450.94	392.44	532.74	476.71	366.09	273.37	497.0	579.04	353.59	395.18	327.56	579.04	633.73	591.22	713.11	728.11	842.36	536.45	432.53	507.46	444.72	389.72	251.48	555.41	688.78	366.09	928.3	327.56	759.08	529.06	559.28	429.54	379.04	444.72	529.06	323.03	540.19	450.94	511.0	802.41	236.21	346.29	264.03	429.54	237.86	332.14
GOLIM4	105.89	825.0	1331.57	420.68	414.87	320.8	842.36	759.08	947.83	271.48	423.61	954.43	718.08	620.67	267.73	441.64	318.57	307.69	269.6	193.01	316.37	323.03	291.04	518.15	500.46	409.15	547.75	830.75	497.0	371.22	318.57	384.34	226.54	447.82	287.01	1015.93	59.55	205.5	463.65	187.71	647.07	723.08	395.18	486.75	947.83	473.41	163.28	329.84	323.03	559.28	69.03	314.17	94.67	265.87	155.5	140.04	224.97	802.41
GPATCH11	42.41	106.63	78.34	67.59	120.94	163.28	94.01	246.28	159.9	76.71	80.57	135.24	82.29	78.89	87.03	92.7	60.39	68.55	82.29	46.5	72.01	75.64	47.84	98.04	152.28	116.78	79.45	164.42	118.43	128.79	126.12	102.97	76.17	57.49	62.12	148.09	11.82	70.51	104.42	63.0	90.14	95.34	73.54	65.72	92.05	78.34	39.22	55.1	87.03	130.6	21.78	105.89	50.27	61.25	59.13	46.18	9.56	71.0
GPD2	251.48	204.07	432.53	167.9	269.6	271.48	412.0	981.29	463.65	202.66	157.68	503.95	256.78	169.07	142.01	295.11	132.44	71.0	190.34	140.04	218.79	206.94	186.4	368.65	314.17	264.03	206.94	507.46	379.04	320.8	273.37	318.57	162.14	209.84	108.9	303.44	82.29	157.68	343.89	153.34	260.38	318.57	237.86	138.1	189.02	242.88	172.65	202.66	191.67	214.27	141.02	363.56	69.03	164.42	40.93	88.26	19.97	145.02
GPR107	229.72	854.13	813.63	612.11	796.86	1044.52	738.29	723.08	679.29	511.0	629.35	1008.9	743.43	753.83	688.78	769.69	693.58	381.68	583.07	454.09	607.87	473.41	547.75	934.76	954.43	902.89	660.68	1051.79	941.27	738.29	753.83	974.5	525.39	674.59	387.02	878.17	551.56	483.38	974.5	514.56	878.17	738.29	713.11	616.37	559.28	1088.92	473.41	563.18	713.11	733.19	583.07	860.08	371.22	511.0	77.79	493.56	129.69	223.41
HIATL1	518.15	567.1	866.07	480.04	679.29	595.34	733.19	1268.46	785.88	348.71	567.1	848.22	559.28	616.37	511.0	688.78	633.73	291.04	559.28	366.09	532.74	412.0	473.41	830.75	775.05	591.22	583.07	674.59	825.0	432.53	718.08	490.14	476.71	493.56	297.17	728.11	323.03	397.93	743.43	318.57	733.19	669.92	629.35	638.15	591.22	769.69	490.14	444.72	559.28	624.99	417.77	764.36	348.71	511.0	62.56	267.73	99.43	490.14
HIF1AN	111.99	384.34	525.39	295.11	348.71	507.46	444.72	493.56	420.68	171.45	253.23	525.39	320.8	334.46	279.14	476.71	275.28	130.6	260.38	199.85	239.52	277.2	297.17	327.56	503.95	412.0	334.46	514.56	412.0	450.94	366.09	473.41	316.37	301.33	181.28	470.14	297.17	195.72	486.75	234.57	309.83	346.29	281.09	180.02	320.8	555.41	195.72	223.41	260.38	325.29	217.27	384.34	180.02	180.02	68.07	169.07	116.78	189.02
IDH3A	656.11	1378.57	2018.8	967.76	2163.77	1594.73	1519.15	1617.0	1844.76	629.35	791.35	2434.5	1127.35	954.43	1015.93	1427.22	713.11	575.03	1127.35	941.27	1437.15	1259.69	1208.34	1551.09	1639.59	1477.58	2209.26	1769.57	1286.18	1073.91	1286.18	1051.79	1340.84	1030.12	579.04	2739.08	343.89	1467.37	1487.87	848.22	1457.23	1104.13	1191.69	603.67	1806.78	1233.75	447.82	620.67	974.5	1781.89	463.65	1350.18	483.38	1286.18	607.87	638.15	351.14	1369.04
IMPAD1	226.54	612.11	884.29	423.61	336.79	460.44	769.69	1447.15	1015.93	409.15	334.46	493.56	379.04	406.31	389.72	470.14	325.29	258.57	346.29	253.23	389.72	325.29	318.57	435.55	397.93	361.04	406.31	447.82	521.76	312.0	507.46	423.61	249.73	361.04	283.05	785.88	295.11	291.04	414.87	264.03	466.88	403.5	397.93	368.65	511.0	669.92	312.0	368.65	301.33	599.49	205.5	591.22	224.97	373.81	232.94	397.93	312.0	406.31
IREB2	126.12	301.33	483.38	197.09	318.57	329.84	591.22	808.0	529.06	271.48	202.66	454.09	277.2	295.11	256.78	373.81	173.85	123.5	224.97	148.09	246.28	212.78	232.94	303.44	563.18	281.09	228.13	473.41	450.94	397.93	281.09	397.93	178.77	293.07	141.02	361.04	64.8	175.07	409.15	146.03	297.17	356.05	293.07	113.56	215.77	358.54	123.5	185.11	237.86	260.38	122.64	293.07	151.22	191.67	106.63	161.02	115.16	204.07
KCTD18	143.01	197.09	251.48	177.53	232.94	265.87	256.78	301.33	224.97	224.97	178.77	253.23	239.52	197.09	194.36	236.21	162.14	118.43	185.11	128.79	176.29	220.32	180.02	159.9	251.48	209.84	246.28	273.37	231.32	166.73	195.72	262.2	143.01	291.04	244.57	185.11	81.71	163.28	214.27	152.28	186.4	212.78	208.38	178.77	181.28	218.79	125.24	156.59	187.71	164.42	118.43	208.38	129.69	153.34	96.01	124.37	86.43	139.07
KIAA1430	77.25	279.14	532.74	277.2	454.09	563.18	518.15	1073.91	785.88	271.48	239.52	819.3	389.72	358.54	258.57	490.14	309.83	170.25	353.59	170.25	285.03	316.37	255.0	669.92	532.74	476.71	318.57	738.29	607.87	532.74	733.19	693.58	244.57	327.56	183.82	624.99	50.98	183.82	518.15	228.13	603.67	429.54	371.22	299.25	297.17	563.18	139.07	161.02	361.04	450.94	128.79	463.65	171.45	218.79	75.64	264.03	63.89	358.54
KIF5B	595.34	878.17	1143.1	603.67	624.99	1081.39	1073.91	2645.74	1427.22	490.14	674.59	1259.69	723.08	780.44	647.07	995.0	665.29	441.64	698.41	283.05	743.43	432.53	633.73	921.88	1167.14	808.0	836.53	1015.93	1096.5	808.0	1008.9	674.59	514.56	785.88	444.72	1350.18	127.89	435.55	1030.12	356.05	915.51	934.76	872.1	603.67	764.36	409.15	353.59	507.46	733.19	995.0	191.67	825.0	295.11	599.49	141.02	718.08	98.04	775.05
KLHL11	2.58	26.1	63.89	18.29	31.9	27.84	66.65	67.12	50.27	22.59	16.39	100.83	14.14	19.82	19.39	70.01	18.29	10.31	14.35	4.46	23.59	12.74	23.59	69.03	80.01	43.02	27.84	75.64	98.04	67.12	23.42	76.17	9.48	27.64	15.0	75.64	7.88	10.88	112.77	7.46	50.98	91.41	43.02	8.38	11.73	34.02	6.26	4.86	38.95	41.22	6.26	49.91	1.46	2.81	3.86	8.45	3.26	10.88
L2HGDH	26.67	281.09	435.55	73.54	161.02	136.19	169.07	153.34	185.11	166.73	98.04	228.13	132.44	102.97	121.79	164.42	87.65	51.35	129.69	63.0	105.15	125.24	105.15	187.71	218.79	178.77	111.99	248.0	153.34	314.17	124.37	151.22	82.87	145.02	55.49	363.56	62.12	122.64	153.34	84.63	121.79	133.36	102.97	69.52	256.78	33.54	33.3	106.63	120.94	305.55	60.39	122.64	76.17	117.6	75.64	67.12	80.57	166.73
LCA5	22.43	34.51	92.7	42.71	47.5	53.57	111.99	327.56	99.43	16.63	62.12	94.67	43.94	38.12	53.95	49.56	52.82	14.45	28.24	28.86	50.27	39.22	31.67	64.8	97.36	55.89	59.97	67.59	88.88	42.11	63.0	48.87	43.02	57.08	21.47	71.0	5.87	22.92	76.17	39.22	77.25	50.27	88.88	43.32	40.64	59.13	23.08	21.63	53.19	69.52	17.38	92.05	3.38	23.42	2.03	8.13	2.53	18.7
LDOC1L	89.51	293.07	559.28	366.09	363.56	426.57	583.07	420.68	466.88	441.64	249.73	629.35	429.54	356.05	353.59	529.06	305.55	115.97	199.85	314.17	432.53	305.55	267.73	543.96	587.13	503.95	525.39	595.34	693.58	688.78	432.53	651.58	457.25	358.54	206.94	256.78	334.46	236.21	688.78	224.97	525.39	444.72	363.56	279.14	262.2	432.53	241.19	277.2	356.05	239.52	361.04	486.75	206.94	267.73	14.67	191.67	37.85	217.27
MAP3K2	109.66	193.01	224.97	167.9	295.11	246.28	363.56	559.28	329.84	186.4	181.28	503.95	253.23	187.71	178.77	389.72	175.07	85.22	190.34	81.71	237.86	145.02	231.32	358.54	414.87	232.94	218.79	389.72	353.59	346.29	289.02	303.44	154.42	229.72	178.77	400.71	43.32	129.69	395.18	155.5	303.44	351.14	293.07	134.3	161.02	356.05	88.26	136.19	228.13	181.28	77.79	325.29	79.45	128.79	99.43	124.37	43.94	150.17
MAP7	555.41	723.08	1628.26	684.02	674.59	638.15	769.69	642.59	612.11	293.07	366.09	1304.15	759.08	669.92	674.59	866.07	665.29	825.0	860.08	532.74	514.56	775.05	567.1	995.0	1073.91	947.83	656.11	1143.1	1066.48	1685.71	1111.82	1437.15	698.41	974.5	540.19	743.43	293.07	688.78	1008.9	514.56	414.87	967.76	780.44	642.59	551.56	624.99	395.18	463.65	629.35	656.11	239.52	532.74	518.15	518.15	122.64	406.31	183.82	299.25
MAPK1	273.37	1250.98	2956.17	718.08	915.51	1143.1	2163.77	1883.54	1991.0	616.37	540.19	1794.29	842.36	791.35	1023.0	1350.18	656.11	307.69	450.94	490.14	575.03	525.39	476.71	1427.22	1304.15	1015.93	796.86	1923.14	1883.54	1639.59	1350.18	1427.22	457.25	1096.5	273.37	1594.73	559.28	493.56	1594.73	373.81	1427.22	1104.13	775.05	476.71	656.11	866.07	500.46	435.55	748.61	836.53	470.14	1167.14	239.52	490.14	96.68	438.59	307.69	1159.07
MBD5	103.69	309.83	420.68	223.41	204.07	361.04	384.34	450.94	463.65	327.56	195.72	480.04	279.14	275.28	287.01	514.56	237.86	153.34	262.2	183.82	212.78	220.32	242.88	420.68	454.09	356.05	281.09	486.75	483.38	532.74	480.04	291.04	224.97	269.6	195.72	426.57	132.44	183.82	463.65	198.47	351.14	320.8	368.65	167.9	309.83	307.69	94.67	162.14	248.0	258.57	159.9	426.57	171.45	170.25	108.9	182.55	98.04	204.07
MFAP3	105.89	325.29	511.0	323.03	423.61	305.55	476.71	1073.91	713.11	208.38	204.07	595.34	314.17	387.02	214.27	406.31	234.57	90.14	256.78	158.79	248.0	221.86	182.55	438.59	460.44	368.65	363.56	567.1	555.41	371.22	318.57	387.02	279.14	297.17	142.01	406.31	131.51	165.57	500.46	150.17	371.22	397.93	318.57	157.68	260.38	316.37	130.6	151.22	283.05	301.33	175.07	379.04	105.15	178.77	94.01	161.02	110.43	206.94
MIEF1	169.07	483.38	620.67	329.84	334.46	441.64	514.56	329.84	441.64	486.75	271.48	583.07	381.68	307.69	325.29	490.14	289.02	169.07	201.25	273.37	336.79	291.04	325.29	470.14	470.14	460.44	371.22	624.99	476.71	612.11	406.31	595.34	361.04	389.72	301.33	514.56	255.0	262.2	575.03	291.04	460.44	438.59	329.84	273.37	312.0	493.56	201.25	206.94	343.89	327.56	314.17	503.95	202.66	267.73	140.04	309.83	258.57	406.31
MKL2	45.85	137.14	169.07	129.69	123.5	189.02	351.14	389.72	334.46	161.02	95.34	387.02	156.59	161.02	153.34	299.25	132.44	61.25	156.59	79.45	120.1	108.14	126.12	275.28	307.69	165.57	157.68	476.71	351.14	470.14	177.53	363.56	65.26	202.66	106.63	303.44	32.36	73.54	397.93	113.56	334.46	214.27	201.25	100.13	90.77	189.02	60.39	46.84	140.04	155.5	53.95	229.72	39.5	98.04	27.84	99.43	39.79	29.48
NCR3LG1	0.66	88.88	89.51	10.96	21.01	36.79	57.08	22.1	45.21	50.27	20.71	95.34	19.97	17.51	29.48	20.56	23.25	28.86	46.18	9.41	17.0	18.97	39.79	57.89	56.68	42.71	20.71	150.17	34.75	135.24	19.53	47.5	8.19	34.26	50.27	150.17	6.62	22.1	34.02	9.56	44.89	53.95	36.01	6.89	28.04	27.64	10.71	7.63	26.1	39.22	7.69	12.27	8.19	21.94	2.76	0.99	0.74	16.75
NEK1	38.67	161.02	211.31	90.14	100.13	251.48	161.02	253.23	181.28	124.37	109.66	220.32	170.25	103.69	125.24	131.51	115.16	42.11	154.42	63.0	132.44	98.04	116.78	182.55	218.79	190.34	173.85	226.54	166.73	183.82	152.28	301.33	101.54	132.44	75.64	202.66	27.84	116.78	142.01	71.5	163.28	137.14	137.14	72.52	135.24	137.14	67.12	115.16	111.21	127.89	38.4	157.68	81.71	106.63	29.48	53.57	19.53	46.18
NEU3	8.99	81.71	126.12	26.67	77.79	114.36	81.71	68.55	85.22	52.08	57.49	108.14	60.39	49.21	42.11	92.7	44.25	27.05	31.67	39.22	40.93	39.22	60.39	97.36	195.72	68.55	70.51	103.69	84.04	122.64	49.56	98.04	39.5	58.3	36.79	131.51	55.1	23.08	114.36	28.24	48.52	75.11	61.68	22.43	48.52	94.01	20.11	27.05	65.26	95.34	34.02	82.29	24.63	65.72	11.73	19.68	34.26	24.11
NIN	141.02	161.02	291.04	202.66	164.42	271.48	361.04	392.44	353.59	197.09	269.6	583.07	236.21	277.2	189.02	251.48	155.5	120.94	155.5	136.19	214.27	275.28	205.5	251.48	493.56	248.0	246.28	356.05	384.34	156.59	291.04	466.88	154.42	239.52	109.66	256.78	68.07	178.77	320.8	116.78	351.14	297.17	262.2	172.65	126.12	162.14	120.94	167.9	287.01	171.45	85.22	320.8	85.82	169.07	144.01	173.85	20.41	84.63
NIPA2	470.14	703.28	1250.98	629.35	764.36	915.51	808.0	1313.23	854.13	848.22	567.1	934.76	796.86	738.29	500.46	738.29	567.1	325.29	708.18	633.73	684.02	551.56	647.07	780.44	848.22	902.89	915.51	1030.12	921.88	665.29	872.1	559.28	830.75	660.68	476.71	808.0	361.04	559.28	825.0	447.82	890.44	728.11	679.29	612.11	693.58	1073.91	567.1	642.59	738.29	791.35	638.15	890.44	400.71	563.18	229.72	616.37	301.33	764.36
NUP133	265.87	283.05	486.75	255.0	366.09	543.96	563.18	764.36	595.34	341.51	291.04	432.53	229.72	314.17	246.28	379.04	218.79	148.09	381.68	279.14	323.03	397.93	351.14	381.68	486.75	366.09	432.53	473.41	450.94	417.77	351.14	551.56	336.79	395.18	217.27	490.14	204.07	312.0	466.88	258.57	379.04	400.71	358.54	231.32	376.41	384.34	307.69	327.56	320.8	466.88	251.48	361.04	376.41	297.17	246.28	336.79	158.79	205.5
NUP153	123.5	305.55	555.41	191.67	209.84	356.05	438.59	599.49	567.1	249.73	201.25	414.87	217.27	208.38	189.02	358.54	172.65	125.24	271.48	161.02	202.66	187.71	221.86	327.56	356.05	258.57	234.57	341.51	371.22	361.04	273.37	447.82	166.73	217.27	119.26	309.83	131.51	148.09	387.02	156.59	346.29	343.89	285.03	156.59	182.55	343.89	158.79	131.51	231.32	212.78	169.07	312.0	86.43	187.71	103.69	358.54	144.01	212.78
OCRL	172.65	164.42	420.68	260.38	301.33	518.15	384.34	438.59	379.04	289.02	236.21	432.53	297.17	214.27	271.48	312.0	258.57	127.0	334.46	197.09	312.0	244.57	265.87	361.04	466.88	346.29	299.25	444.72	379.04	356.05	356.05	379.04	253.23	332.14	163.28	341.51	231.32	228.13	343.89	366.09	307.69	336.79	312.0	202.66	173.85	934.76	232.94	237.86	279.14	312.0	241.19	318.57	215.77	231.32	149.12	647.07	102.97	57.49
OPHN1	7.63	54.72	87.65	32.13	52.08	40.07	86.43	212.78	108.9	15.22	26.1	71.0	51.35	29.27	22.1	31.45	34.51	17.38	26.67	21.47	22.1	24.99	19.11	52.08	68.07	39.22	28.24	76.17	71.5	64.8	27.64	54.72	23.76	42.11	21.94	131.51	13.83	18.56	63.0	32.59	55.89	57.08	46.5	12.74	48.18	37.32	25.54	15.8	34.26	62.56	21.16	43.02	23.25	18.97	1.57	11.04	1.81	2.76
PCNX	98.73	228.13	260.38	148.09	127.0	182.55	341.51	432.53	423.61	217.27	214.27	392.44	166.73	142.01	169.07	316.37	143.01	129.69	162.14	117.6	226.54	221.86	181.28	329.84	392.44	212.78	177.53	269.6	351.14	267.73	224.97	295.11	111.99	201.25	145.02	334.46	104.42	151.22	346.29	140.04	246.28	258.57	220.32	108.14	201.25	134.3	171.45	189.02	204.07	239.52	137.14	275.28	119.26	126.12	167.9	71.5	125.24	134.3
PDPR	19.53	297.17	353.59	100.13	256.78	406.31	441.64	248.0	493.56	255.0	265.87	500.46	194.36	406.31	258.57	395.18	303.44	114.36	161.02	85.82	194.36	155.5	277.2	532.74	460.44	323.03	122.64	603.67	447.82	738.29	441.64	507.46	74.58	693.58	836.53	232.94	133.36	169.07	438.59	99.43	323.03	392.44	432.53	186.4	122.64	417.77	341.51	166.73	277.2	156.59	121.79	301.33	87.65	67.59	21.94	86.43	34.51	23.93
PGGT1B	149.12	249.73	376.41	155.5	170.25	277.2	305.55	620.67	379.04	267.73	149.12	242.88	223.41	202.66	181.28	224.97	176.29	102.97	209.84	158.79	201.25	183.82	165.57	256.78	318.57	201.25	204.07	255.0	262.2	246.28	258.57	264.03	157.68	214.27	119.26	412.0	104.42	183.82	244.57	138.1	265.87	258.57	163.28	147.06	299.25	211.31	150.17	202.66	153.34	295.11	126.12	231.32	111.99	146.03	155.5	67.59	129.69	204.07
PIK3C2A	72.01	764.36	547.75	151.22	217.27	287.01	642.59	1159.07	967.76	289.02	199.85	511.0	248.0	189.02	155.5	373.81	154.42	92.7	228.13	69.52	198.47	138.1	255.0	366.09	450.94	264.03	182.55	480.04	476.71	460.44	271.48	373.81	108.9	262.2	149.12	698.41	21.32	111.21	444.72	151.22	312.0	379.04	323.03	114.36	299.25	373.81	63.45	91.41	241.19	387.02	36.53	339.14	74.06	108.9	54.33	176.29	23.93	159.9
PNPT1	152.28	309.83	271.48	164.42	234.57	229.72	253.23	429.54	289.02	260.38	212.78	295.11	205.5	208.38	131.51	162.14	148.09	146.03	221.86	147.06	183.82	169.07	194.36	199.85	251.48	215.77	253.23	291.04	217.27	229.72	111.99	158.79	113.56	178.77	185.11	318.57	66.18	189.02	163.28	134.3	165.57	195.72	183.82	150.17	232.94	307.69	108.14	172.65	186.4	251.48	88.88	158.79	144.01	206.94	127.0	189.02	63.45	186.4
POLR1B	117.6	256.78	363.56	191.67	182.55	239.52	301.33	277.2	301.33	241.19	141.02	381.68	150.17	164.42	172.65	204.07	119.26	92.7	190.34	148.09	145.02	175.07	201.25	265.87	301.33	271.48	172.65	248.0	316.37	277.2	209.84	271.48	120.94	177.53	112.77	414.87	120.1	157.68	295.11	122.64	265.87	283.05	172.65	150.17	178.77	301.33	113.56	81.71	175.07	264.03	147.06	237.86	125.24	161.02	169.07	94.01	125.24	218.79
PPP2R5E	164.42	277.2	295.11	249.73	299.25	384.34	571.05	954.43	559.28	353.59	190.34	423.61	260.38	212.78	239.52	389.72	199.85	96.01	232.94	130.6	273.37	206.94	214.27	389.72	473.41	291.04	316.37	414.87	432.53	381.68	376.41	379.04	223.41	231.32	136.19	490.14	94.01	151.22	412.0	150.17	351.14	314.17	285.03	173.85	241.19	162.14	126.12	144.01	239.52	336.79	102.25	417.77	130.6	157.68	87.03	136.19	58.3	231.32
PRRC1	441.64	684.02	1066.48	447.82	460.44	616.37	909.17	1175.27	1051.79	688.78	490.14	713.11	529.06	718.08	429.54	660.68	450.94	423.61	507.46	341.51	450.94	521.76	379.04	587.13	607.87	514.56	450.94	775.05	743.43	693.58	579.04	1023.0	379.04	500.46	395.18	896.64	389.72	441.64	656.11	406.31	551.56	547.75	503.95	373.81	480.04	583.07	480.04	429.54	454.09	713.11	316.37	842.36	341.51	406.31	400.71	480.04	366.09	400.71
PUM2	633.73	620.67	890.44	525.39	688.78	791.35	1175.27	1594.73	1216.75	665.29	651.58	1081.39	521.76	651.58	476.71	954.43	571.05	353.59	723.08	384.34	638.15	518.15	607.87	967.76	1001.93	728.11	559.28	808.0	1096.5	808.0	836.53	543.96	450.94	651.58	371.22	921.88	275.28	447.82	961.07	493.56	791.35	769.69	713.11	555.41	521.76	974.5	454.09	397.93	656.11	669.92	397.93	836.53	384.34	511.0	299.25	497.0	291.04	356.05
QSER1	50.27	73.03	209.84	102.25	130.6	166.73	258.57	460.44	248.0	122.64	105.89	295.11	131.51	115.97	115.16	217.27	89.51	44.89	118.43	60.82	122.64	96.68	135.24	215.77	253.23	164.42	148.09	241.19	226.54	211.31	175.07	190.34	96.68	142.01	104.42	154.42	12.55	70.51	251.48	105.15	176.29	202.66	159.9	112.77	74.58	209.84	51.71	71.0	173.85	109.66	53.57	176.29	57.08	87.03	27.25	100.83	14.24	75.11
RAB11FIP2	33.06	265.87	379.04	133.36	454.09	307.69	368.65	1277.29	429.54	70.51	185.11	713.11	532.74	186.4	141.02	438.59	226.54	89.51	124.37	100.83	334.46	193.01	262.2	563.18	493.56	417.77	275.28	703.28	447.82	429.54	289.02	295.11	194.36	241.19	208.38	769.69	26.1	228.13	373.81	161.02	366.09	460.44	346.29	127.89	432.53	285.03	95.34	162.14	262.2	647.07	75.11	327.56	86.43	177.53	28.45	25.35	13.42	55.1
RAB6A	1135.2	1322.37	1769.57	1088.92	1447.15	1923.14	2319.15	3349.13	2485.67	1286.18	1023.0	1540.37	1369.04	1199.98	1104.13	1447.15	1191.69	884.29	836.53	878.17	1175.27	1208.34	1051.79	1397.83	1769.57	1081.39	1286.18	1259.69	1519.15	1242.34	1427.22	902.89	1104.13	1183.45	848.22	2178.83	571.05	1030.12	1331.57	890.44	1388.16	1159.07	1295.13	728.11	1388.16	1477.58	1015.93	1104.13	1030.12	1350.18	536.45	1417.35	748.61	1233.75	460.44	1540.37	363.56	1350.18
RAD50	215.77	323.03	651.58	392.44	236.21	624.99	567.1	878.17	511.0	366.09	271.48	536.45	346.29	409.15	185.11	392.44	239.52	232.94	406.31	96.68	273.37	248.0	366.09	409.15	571.05	392.44	450.94	536.45	480.04	575.03	460.44	417.77	212.78	389.72	289.02	518.15	14.45	236.21	444.72	275.28	387.02	376.41	361.04	299.25	325.29	444.72	71.5	167.9	334.46	463.65	41.81	358.54	239.52	136.19	248.0	98.04	29.91	186.4
RBM27	84.63	111.21	358.54	175.07	155.5	197.09	287.01	473.41	325.29	133.36	119.26	291.04	129.69	190.34	163.28	229.72	121.79	109.66	218.79	63.89	115.16	102.97	114.36	248.0	267.73	149.12	131.51	229.72	269.6	262.2	185.11	232.94	110.43	135.24	76.17	229.72	16.15	84.04	279.14	90.77	237.86	220.32	170.25	103.69	117.6	226.54	51.71	84.63	157.68	154.42	36.01	208.38	78.89	89.51	63.45	93.35	22.26	117.6
RNF20	206.94	248.0	830.75	351.14	264.03	503.95	656.11	703.28	624.99	356.05	299.25	532.74	366.09	381.68	312.0	503.95	379.04	466.88	361.04	332.14	316.37	384.34	291.04	450.94	616.37	371.22	325.29	559.28	575.03	540.19	429.54	693.58	312.0	473.41	228.13	603.67	214.27	444.72	500.46	366.09	473.41	450.94	361.04	329.84	417.77	503.95	358.54	277.2	320.8	435.55	269.6	406.31	327.56	384.34	92.7	138.1	170.25	229.72
RRM1	267.73	307.69	1369.04	371.22	406.31	540.19	503.95	921.88	579.04	460.44	289.02	607.87	466.88	320.8	384.34	490.14	420.68	214.27	435.55	329.84	420.68	476.71	376.41	497.0	493.56	521.76	454.09	633.73	629.35	412.0	633.73	728.11	381.68	466.88	283.05	543.96	171.45	438.59	473.41	381.68	457.25	473.41	423.61	493.56	587.13	392.44	285.03	500.46	400.71	551.56	256.78	521.76	343.89	444.72	397.93	571.05	260.38	1447.15
RSPH3	170.25	183.82	387.02	199.85	323.03	220.32	303.44	208.38	255.0	99.43	239.52	409.15	256.78	264.03	205.5	420.68	287.01	154.42	275.28	135.24	258.57	164.42	223.41	339.14	314.17	258.57	199.85	361.04	363.56	363.56	432.53	368.65	205.5	316.37	164.42	251.48	83.45	153.34	332.14	209.84	361.04	218.79	267.73	172.65	215.77	305.55	133.36	169.07	158.79	206.94	89.51	353.59	97.36	164.42	24.99	61.68	26.28	68.55
