	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.YJ.A8SW.01A.11R.A37L.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07
PPM1D	44.57	194.36	66.65	140.04	197.09	117.6	112.77	157.68	48.52	165.57	165.57	108.14	189.02	132.44	148.09	105.89	155.5	170.25	156.59	44.89	80.57	144.01	93.35	183.82	70.51	139.07	132.44	133.36	149.12	194.36	149.12	73.03	105.15	143.01	92.05	144.01	130.6	113.56	135.24	157.68	117.6	119.26	123.5	138.1	133.36
PRDM2	130.6	521.76	172.65	420.68	575.03	307.69	305.55	450.94	140.04	525.39	473.41	231.32	497.0	289.02	353.59	348.71	547.75	255.0	389.72	186.4	279.14	759.08	248.0	629.35	195.72	325.29	253.23	361.04	384.34	529.06	500.46	260.38	423.61	525.39	343.89	521.76	371.22	279.14	444.72	363.56	275.28	305.55	343.89	514.56	325.29
PRKCI	58.71	713.11	366.09	438.59	769.69	454.09	656.11	563.18	312.0	647.07	808.0	490.14	1340.84	432.53	567.1	579.04	1096.5	381.68	656.11	297.17	384.34	728.11	454.09	909.17	403.5	503.95	497.0	607.87	684.02	1167.14	878.17	460.44	486.75	1304.15	358.54	638.15	575.03	500.46	693.58	529.06	463.65	486.75	351.14	656.11	466.88
PRPF4B	287.01	733.19	301.33	514.56	1175.27	403.5	368.65	642.59	332.14	819.3	974.5	432.53	825.0	397.93	642.59	521.76	872.1	620.67	669.92	400.71	409.15	728.11	366.09	974.5	444.72	555.41	454.09	633.73	599.49	785.88	698.41	329.84	633.73	813.63	441.64	529.06	547.75	500.46	688.78	463.65	271.48	497.0	547.75	633.73	379.04
PTPN21	107.38	224.97	92.7	162.14	172.65	114.36	205.5	242.88	69.03	264.03	262.2	99.43	301.33	112.77	155.5	150.17	170.25	150.17	175.07	34.51	71.5	214.27	92.7	249.73	137.14	116.78	166.73	161.02	181.28	218.79	195.72	90.77	115.97	183.82	142.01	241.19	186.4	87.03	138.1	170.25	119.26	116.78	76.71	277.2	171.45
RAB39A	0.0	16.88	0.0	3.38	36.53	2.71	1.83	3.72	1.17	6.94	11.55	0.33	22.1	0.92	7.34	1.22	8.38	1.55	2.63	0.27	0.89	13.22	0.67	49.21	0.91	2.2	4.03	1.55	5.82	7.57	8.85	0.6	5.96	10.55	0.57	8.51	1.89	0.0	2.81	1.91	1.27	1.51	8.32	7.0	1.2
RALGPS2	68.07	339.14	74.06	114.36	224.97	149.12	152.28	102.97	28.86	189.02	260.38	163.28	334.46	101.54	110.43	152.28	175.07	70.01	224.97	36.27	50.63	251.48	130.6	170.25	124.37	138.1	111.21	116.78	218.79	182.55	232.94	70.01	118.43	211.31	58.3	229.72	149.12	78.34	251.48	169.07	102.97	109.66	61.25	175.07	85.82
RCOR1	78.89	325.29	129.69	223.41	358.54	204.07	232.94	429.54	110.43	291.04	384.34	164.42	320.8	334.46	343.89	211.31	412.0	283.05	277.2	145.02	180.02	287.01	117.6	438.59	189.02	246.28	249.73	206.94	312.0	325.29	353.59	162.14	208.38	334.46	187.71	249.73	353.59	316.37	353.59	232.94	190.34	232.94	218.79	269.6	194.36
RFFL	172.65	884.29	435.55	638.15	743.43	536.45	587.13	669.92	265.87	733.19	764.36	693.58	1030.12	547.75	780.44	642.59	723.08	733.19	651.58	473.41	444.72	753.83	493.56	854.13	392.44	612.11	624.99	547.75	660.68	796.86	607.87	450.94	708.18	854.13	529.06	708.18	426.57	651.58	947.83	723.08	511.0	567.1	587.13	647.07	397.93
RICTOR	41.81	214.27	55.89	87.65	275.28	93.35	113.56	143.01	43.02	151.22	287.01	83.45	229.72	76.71	108.9	116.78	173.85	87.65	156.59	47.17	49.91	281.09	76.17	241.19	71.5	98.73	87.65	114.36	175.07	182.55	226.54	62.12	102.97	244.57	72.52	180.02	109.66	85.22	177.53	94.67	66.65	93.35	91.41	157.68	87.65
RNF169	17.38	135.24	23.93	63.89	183.82	67.12	55.49	87.03	16.39	117.6	185.11	38.4	111.21	60.82	71.0	72.01	130.6	60.39	100.13	25.91	26.67	154.42	31.22	153.34	36.79	69.03	52.82	58.3	102.25	113.56	141.02	32.82	61.25	146.03	45.85	135.24	99.43	57.49	134.3	82.87	33.06	48.87	50.98	124.37	58.3
RNF6	63.45	660.68	195.72	476.71	497.0	384.34	470.14	438.59	96.68	591.22	518.15	281.09	417.77	285.03	629.35	312.0	518.15	423.61	447.82	161.02	193.01	376.41	363.56	633.73	267.73	521.76	444.72	392.44	476.71	583.07	540.19	341.51	346.29	583.07	332.14	483.38	397.93	555.41	511.0	493.56	236.21	353.59	279.14	460.44	366.09
RP11-159G9.5	2.94	175.07	5.73	74.58	173.85	36.79	38.4	79.45	6.41	94.01	181.28	38.12	152.28	38.67	88.88	76.17	176.29	63.0	88.88	4.31	11.13	189.02	12.83	194.36	12.18	41.81	30.12	39.79	108.14	155.5	138.1	14.35	45.85	169.07	14.89	131.51	76.17	28.65	142.01	74.58	33.3	40.07	22.43	131.51	37.32
RPA3-AS1	429.54	1417.35	612.11	830.75	1388.16	802.41	688.78	503.95	275.28	890.44	995.0	890.44	1088.92	693.58	890.44	1073.91	1151.06	583.07	1268.46	441.64	603.67	1081.39	665.29	909.17	728.11	674.59	656.11	890.44	1037.29	909.17	1388.16	656.11	813.63	1135.2	612.11	1331.57	764.36	733.19	1183.45	954.43	785.88	819.3	769.69	1127.35	808.0
SART3	253.23	591.22	381.68	563.18	848.22	629.35	460.44	633.73	423.61	647.07	665.29	563.18	896.64	507.46	555.41	647.07	748.61	616.37	688.78	376.41	521.76	723.08	603.67	638.15	514.56	579.04	830.75	607.87	571.05	651.58	521.76	379.04	507.46	607.87	400.71	698.41	591.22	460.44	718.08	555.41	447.82	521.76	497.0	629.35	435.55
SENP2	169.07	476.71	178.77	297.17	483.38	236.21	295.11	406.31	146.03	441.64	463.65	229.72	796.86	293.07	361.04	267.73	674.59	275.28	368.65	151.22	178.77	525.39	218.79	441.64	267.73	318.57	242.88	295.11	444.72	547.75	507.46	241.19	273.37	620.67	194.36	450.94	339.14	231.32	476.71	325.29	212.78	242.88	295.11	438.59	281.09
SHPRH	9.7	143.01	17.38	57.89	163.28	38.67	39.79	106.63	17.0	128.79	205.5	47.5	218.79	48.87	52.08	68.07	139.07	61.25	98.73	24.99	17.38	178.77	37.32	144.01	40.93	74.06	44.57	59.97	129.69	139.07	102.25	24.99	96.01	150.17	35.25	114.36	79.45	43.32	135.24	66.65	32.82	44.25	48.87	110.43	28.24
SLC12A6	16.15	142.01	22.75	78.34	171.45	46.84	31.0	83.45	12.27	132.44	165.57	60.82	379.04	58.71	73.03	72.52	181.28	62.56	63.89	9.63	21.16	204.07	30.56	164.42	37.05	70.51	61.25	59.13	143.01	175.07	100.13	18.7	62.12	128.79	37.85	120.1	97.36	30.78	146.03	75.11	34.02	45.21	54.72	116.78	56.68
SLC25A36	11.47	854.13	361.04	518.15	1216.75	438.59	624.99	884.29	287.01	988.12	1286.18	599.49	1540.37	483.38	514.56	473.41	1183.45	532.74	743.43	281.09	299.25	1030.12	447.82	1111.82	409.15	775.05	607.87	723.08	934.76	954.43	1216.75	507.46	743.43	1073.91	503.95	921.88	612.11	438.59	1015.93	536.45	361.04	660.68	540.19	718.08	497.0
SLC7A1	1.53	591.22	139.07	353.59	447.82	426.57	323.03	559.28	285.03	674.59	620.67	387.02	1378.57	616.37	583.07	633.73	579.04	363.56	698.41	277.2	305.55	1104.13	217.27	543.96	271.48	361.04	262.2	373.81	1199.98	723.08	454.09	244.57	723.08	830.75	356.05	915.51	748.61	194.36	995.0	536.45	547.75	447.82	447.82	414.87	389.72
SLFN5	26.86	271.48	50.98	157.68	277.2	81.14	82.29	166.73	16.51	180.02	332.14	57.08	232.94	102.25	62.12	106.63	287.01	97.36	183.82	44.57	56.68	325.29	65.72	305.55	49.91	97.36	90.77	133.36	198.47	346.29	189.02	46.18	96.68	258.57	52.45	148.09	124.37	70.01	217.27	96.01	62.12	76.17	61.25	142.01	99.43
SMG1	46.5	329.84	73.03	169.07	483.38	153.34	146.03	265.87	81.14	371.22	454.09	146.03	242.88	122.64	246.28	175.07	384.34	172.65	157.68	97.36	84.63	441.64	86.43	432.53	100.13	182.55	167.9	218.79	239.52	356.05	327.56	104.42	248.0	366.09	123.5	297.17	187.71	176.29	353.59	140.04	91.41	170.25	153.34	255.0	108.14
SP1	149.12	780.44	244.57	450.94	872.1	387.02	368.65	503.95	221.86	591.22	878.17	293.07	796.86	381.68	429.54	379.04	698.41	454.09	511.0	256.78	226.54	878.17	262.2	769.69	299.25	389.72	332.14	389.72	599.49	988.12	633.73	253.23	444.72	733.19	373.81	616.37	493.56	329.84	624.99	397.93	348.71	395.18	343.89	612.11	387.02
SPECC1L-ADORA2A	0.0	2.73	0.0	0.0	4.1	0.95	1.28	2.97	0.0	2.01	1.38	0.0	5.68	0.3	0.93	0.62	3.56	0.31	0.0	0.27	0.3	3.99	0.34	1.99	0.0	0.65	0.31	0.31	1.3	1.95	1.69	0.0	0.62	2.76	0.29	2.03	0.99	0.0	0.65	0.66	0.32	0.62	0.0	2.29	0.3
STX17	72.01	497.0	142.01	291.04	555.41	205.5	208.38	301.33	86.43	387.02	432.53	224.97	381.68	208.38	318.57	264.03	511.0	223.41	299.25	147.06	110.43	417.77	150.17	450.94	165.57	242.88	253.23	273.37	325.29	500.46	384.34	156.59	273.37	400.71	148.09	329.84	273.37	201.25	409.15	295.11	181.28	226.54	197.09	361.04	149.12
SYNJ1	45.21	136.19	54.72	86.43	140.04	80.57	111.21	70.01	23.25	90.77	111.99	45.85	127.89	48.87	117.6	52.45	114.36	90.14	104.42	34.02	46.18	129.69	53.19	155.5	36.01	66.18	84.04	75.11	123.5	108.9	100.83	49.21	66.65	98.73	50.27	87.03	98.04	75.64	115.16	87.03	51.71	73.54	67.59	119.26	76.17
TAOK1	59.55	353.59	66.18	181.28	363.56	146.03	137.14	194.36	84.04	237.86	392.44	108.9	265.87	145.02	189.02	144.01	285.03	176.29	251.48	89.51	87.65	336.79	110.43	441.64	108.14	166.73	138.1	154.42	273.37	336.79	327.56	92.7	161.02	341.51	152.28	255.0	220.32	135.24	242.88	182.55	128.79	137.14	111.21	246.28	122.64
THAP6	116.78	299.25	147.06	205.5	353.59	202.66	220.32	249.73	133.36	253.23	387.02	178.77	320.8	217.27	229.72	202.66	293.07	201.25	241.19	260.38	159.9	295.11	172.65	379.04	175.07	208.38	172.65	223.41	228.13	281.09	239.52	163.28	248.0	275.28	166.73	221.86	197.09	182.55	353.59	221.86	194.36	193.01	195.72	221.86	155.5
THRAP3	429.54	2520.38	1331.57	1923.14	2417.67	1477.58	1191.69	1832.01	1143.1	2209.26	2591.27	1594.73	1870.53	1529.73	1857.6	1757.34	2178.83	1883.54	1963.57	1498.22	921.88	2976.74	1001.93	2193.99	1447.15	1870.53	1529.73	1721.16	2417.67	2682.69	2400.97	1331.57	1963.57	2417.67	1388.16	1819.35	1832.01	1806.78	1977.24	1407.55	1001.93	1757.34	1709.26	2303.12	1295.13
TMEM170A	115.16	271.48	151.22	178.77	305.55	172.65	162.14	101.54	169.07	323.03	256.78	163.28	185.11	152.28	190.34	170.25	199.85	147.06	193.01	55.89	86.43	236.21	146.03	373.81	98.04	131.51	131.51	153.34	249.73	229.72	289.02	103.69	166.73	316.37	185.11	199.85	183.82	117.6	264.03	265.87	111.99	120.1	116.78	275.28	242.88
TNKS2	99.43	607.87	193.01	307.69	674.59	301.33	299.25	366.09	208.38	463.65	647.07	269.6	521.76	336.79	341.51	281.09	555.41	265.87	543.96	138.1	176.29	540.19	212.78	703.28	273.37	348.71	285.03	323.03	518.15	529.06	521.76	204.07	336.79	591.22	190.34	395.18	389.72	309.83	490.14	248.0	232.94	249.73	309.83	435.55	260.38
TNRC6C	25.35	212.78	71.5	102.97	172.65	83.45	113.56	140.04	34.26	153.34	183.82	100.83	320.8	115.97	143.01	132.44	191.67	107.38	91.41	57.08	63.45	258.57	58.3	167.9	73.03	126.12	122.64	114.36	175.07	253.23	156.59	92.05	89.51	158.79	73.03	159.9	111.99	107.38	157.68	95.34	68.55	95.34	88.88	137.14	72.52
TRAF6	58.3	85.22	43.32	70.01	106.63	94.01	86.43	90.14	33.78	102.97	145.02	49.56	114.36	69.52	83.45	94.67	109.66	74.06	95.34	30.56	45.21	142.01	71.5	115.97	60.82	87.65	80.57	92.05	115.97	111.21	116.78	48.87	73.03	126.12	66.65	105.15	111.99	66.65	119.26	75.11	72.52	87.03	70.51	120.1	93.35
TRAPPC6B	255.0	384.34	189.02	293.07	363.56	221.86	220.32	287.01	172.65	348.71	412.0	202.66	387.02	218.79	275.28	277.2	389.72	249.73	325.29	175.07	218.79	363.56	260.38	420.68	198.47	265.87	186.4	332.14	341.51	343.89	376.41	214.27	260.38	373.81	242.88	339.14	273.37	279.14	297.17	223.41	231.32	249.73	253.23	343.89	255.0
TRMT10A	46.18	158.79	46.5	127.0	202.66	120.94	99.43	170.25	63.0	152.28	159.9	87.65	255.0	94.01	144.01	122.64	223.41	96.01	162.14	78.89	69.03	190.34	132.44	239.52	112.77	105.89	100.83	105.89	130.6	145.02	193.01	101.54	134.3	204.07	127.89	169.07	124.37	155.5	180.02	117.6	80.01	108.14	108.9	137.14	98.04
UBE3B	191.67	532.74	271.48	457.25	651.58	381.68	403.5	486.75	224.97	507.46	575.03	518.15	713.11	381.68	470.14	435.55	603.67	420.68	406.31	234.57	273.37	547.75	283.05	616.37	281.09	423.61	490.14	387.02	532.74	693.58	567.1	316.37	397.93	493.56	339.14	507.46	500.46	400.71	490.14	426.57	384.34	366.09	346.29	638.15	384.34
USP24	127.89	389.72	118.43	234.57	389.72	150.17	198.47	249.73	130.6	341.51	406.31	186.4	397.93	193.01	285.03	217.27	307.69	167.9	236.21	127.89	122.64	371.22	166.73	346.29	156.59	234.57	172.65	231.32	265.87	325.29	327.56	156.59	246.28	361.04	171.45	346.29	273.37	228.13	346.29	208.38	153.34	175.07	163.28	251.48	165.57
USP37	14.24	99.43	7.46	46.18	145.02	27.64	21.32	55.49	5.06	88.26	136.19	29.48	75.11	29.06	62.12	41.22	109.66	42.41	65.26	18.43	14.56	111.99	17.38	133.36	14.45	46.84	31.9	35.0	78.89	119.26	94.01	16.03	44.25	112.77	14.78	82.87	53.57	30.34	97.36	45.85	19.53	26.67	28.86	98.04	32.59
WDR48	131.51	595.34	341.51	450.94	665.29	346.29	341.51	457.25	285.03	507.46	679.29	339.14	529.06	412.0	406.31	432.53	579.04	363.56	518.15	267.73	299.25	486.75	285.03	688.78	379.04	454.09	320.8	379.04	473.41	525.39	603.67	265.87	395.18	511.0	387.02	454.09	511.0	323.03	599.49	414.87	363.56	381.68	339.14	521.76	441.64
XPC	420.68	579.04	366.09	518.15	665.29	356.05	379.04	555.41	397.93	633.73	587.13	295.11	559.28	397.93	490.14	409.15	551.56	447.82	387.02	351.14	323.03	514.56	361.04	587.13	476.71	583.07	507.46	493.56	571.05	547.75	511.0	343.89	514.56	525.39	384.34	559.28	497.0	480.04	536.45	493.56	325.29	543.96	463.65	607.87	409.15
YTHDC1	301.33	1111.82	409.15	941.27	1745.2	884.29	890.44	1066.48	647.07	1359.57	1561.89	860.08	1059.11	708.18	842.36	890.44	1259.69	878.17	1001.93	884.29	579.04	1191.69	791.35	1397.83	713.11	860.08	896.64	1081.39	921.88	1015.93	1175.27	633.73	974.5	1175.27	785.88	1037.29	921.88	802.41	1081.39	723.08	651.58	836.53	934.76	1096.5	842.36
YTHDC2	94.01	343.89	139.07	202.66	397.93	158.79	183.82	287.01	92.7	312.0	432.53	94.01	412.0	148.09	205.5	183.82	341.51	177.53	206.94	141.02	115.97	289.02	164.42	320.8	131.51	151.22	231.32	209.84	258.57	305.55	273.37	169.07	218.79	312.0	79.45	232.94	205.5	215.77	277.2	171.45	111.99	182.55	191.67	194.36	142.01
ZBTB10	59.13	813.63	205.5	329.84	1594.73	295.11	497.0	536.45	173.85	665.29	974.5	620.67	1143.1	457.25	575.03	397.93	1151.06	368.65	819.3	260.38	189.02	961.07	204.07	703.28	748.61	312.0	312.0	339.14	775.05	1167.14	743.43	279.14	358.54	674.59	212.78	607.87	915.51	165.57	679.29	444.72	309.83	260.38	320.8	514.56	329.84
ZCCHC2	119.26	483.38	208.38	269.6	417.77	215.77	305.55	323.03	141.02	320.8	320.8	177.53	490.14	264.03	325.29	239.52	651.58	295.11	260.38	108.14	218.79	218.79	224.97	387.02	164.42	299.25	339.14	241.19	441.64	379.04	376.41	255.0	223.41	287.01	221.86	336.79	373.81	197.09	384.34	312.0	242.88	236.21	158.79	316.37	241.19
ZNF175	31.22	102.97	42.71	77.79	149.12	75.11	62.56	93.35	75.11	88.88	164.42	38.12	167.9	65.72	51.71	92.05	150.17	63.0	88.26	49.21	53.57	153.34	51.71	148.09	64.34	73.03	87.65	79.45	90.14	120.1	120.94	53.95	81.71	103.69	55.49	118.43	84.63	67.12	127.0	71.0	67.59	78.34	57.49	104.42	64.34
ZNF430	2.27	138.1	44.89	88.26	180.02	94.01	73.03	91.41	27.44	118.43	193.01	52.82	100.83	66.65	92.05	88.26	163.28	76.71	128.79	40.93	45.85	121.79	53.19	182.55	77.79	83.45	88.26	105.89	113.56	104.42	127.0	65.26	88.88	141.02	60.82	125.24	96.68	84.04	118.43	118.43	73.54	85.22	66.65	154.42	90.14
ZNF441	27.05	114.36	53.57	72.01	130.6	55.89	61.68	82.29	39.5	95.34	110.43	38.95	143.01	43.94	72.52	64.8	151.22	39.5	70.51	39.5	34.02	84.04	59.97	108.9	78.34	91.41	84.04	67.12	110.43	111.99	107.38	37.59	73.54	99.43	39.22	97.36	92.05	53.95	92.05	70.01	46.18	63.0	51.71	87.03	48.52
ZNF445	28.65	155.5	54.72	85.82	162.14	78.89	89.51	114.36	55.89	143.01	181.28	67.59	154.42	93.35	108.14	91.41	117.6	90.14	103.69	57.49	56.28	159.9	57.89	165.57	75.11	105.15	87.65	89.51	127.0	149.12	136.19	59.55	101.54	141.02	71.5	132.44	107.38	84.63	140.04	98.04	57.08	68.07	75.11	129.69	72.52
ZNF844	32.36	185.11	77.25	114.36	271.48	149.12	103.69	151.22	89.51	131.51	253.23	70.01	194.36	104.42	138.1	143.01	242.88	127.0	130.6	82.29	72.01	198.47	80.01	224.97	183.82	127.0	123.5	119.26	202.66	163.28	242.88	76.17	145.02	193.01	88.26	206.94	159.9	99.43	220.32	151.22	92.7	123.5	92.05	107.38	95.34
