	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.DE.A0Y3.01B.11R.A10U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07
NCOA3	251.48	251.48	285.03	221.86	351.14	155.5	139.07	154.42	249.73	381.68	273.37	285.03	273.37	144.01	150.17	314.17	228.13	136.19	215.77	162.14	221.86	297.17	273.37	246.28	279.14	215.77	258.57	232.94	159.9	277.2	314.17	325.29	353.59	161.02	221.86	186.4	221.86
NEO1	373.81	373.81	303.44	269.6	567.1	175.07	215.77	185.11	178.77	429.54	341.51	307.69	470.14	191.67	163.28	587.13	256.78	217.27	163.28	177.53	239.52	253.23	279.14	323.03	638.15	262.2	242.88	212.78	199.85	395.18	536.45	420.68	417.77	189.02	237.86	182.55	241.19
NF1	351.14	366.09	392.44	305.55	529.06	234.57	209.84	258.57	281.09	466.88	314.17	400.71	441.64	215.77	199.85	483.38	348.71	237.86	229.72	234.57	275.28	429.54	289.02	366.09	503.95	293.07	381.68	361.04	236.21	470.14	507.46	417.77	480.04	208.38	314.17	262.2	287.01
NFAT5	220.32	191.67	187.71	197.09	426.57	71.0	44.57	94.67	175.07	373.81	165.57	231.32	361.04	81.14	44.89	343.89	165.57	102.25	92.7	87.03	136.19	267.73	135.24	262.2	444.72	209.84	221.86	202.66	91.41	170.25	397.93	255.0	293.07	85.22	148.09	150.17	149.12
NIPAL3	896.64	780.44	785.88	733.19	1350.18	547.75	669.92	791.35	660.68	1023.0	780.44	967.76	1073.91	620.67	366.09	1023.0	1159.07	748.61	480.04	529.06	555.41	1037.29	460.44	866.07	1216.75	748.61	1001.93	860.08	500.46	1127.35	1119.56	915.51	1015.93	738.29	842.36	579.04	723.08
NPAT	150.17	152.28	163.28	146.03	201.25	89.51	84.04	84.63	93.35	185.11	122.64	187.71	180.02	85.82	88.26	246.28	165.57	70.01	127.89	88.26	151.22	189.02	73.54	205.5	212.78	127.0	182.55	169.07	88.88	147.06	209.84	176.29	202.66	107.38	148.09	134.3	158.79
NR2C2	170.25	182.55	173.85	154.42	327.56	106.63	86.43	130.6	112.77	256.78	110.43	181.28	212.78	89.51	90.77	336.79	137.14	65.72	108.14	105.15	109.66	191.67	95.34	215.77	356.05	131.51	143.01	175.07	118.43	202.66	325.29	239.52	237.86	92.05	149.12	111.99	120.1
NUFIP2	301.33	297.17	307.69	236.21	595.34	165.57	141.02	173.85	208.38	540.19	318.57	307.69	323.03	167.9	153.34	518.15	260.38	206.94	199.85	177.53	215.77	307.69	239.52	320.8	392.44	232.94	246.28	269.6	183.82	473.41	460.44	412.0	327.56	209.84	229.72	256.78	253.23
NUP153	236.21	229.72	275.28	190.34	325.29	124.37	127.0	128.79	158.79	301.33	205.5	262.2	291.04	148.09	122.64	281.09	217.27	147.06	165.57	125.24	187.71	251.48	209.84	239.52	264.03	186.4	218.79	226.54	135.24	244.57	325.29	307.69	269.6	149.12	198.47	197.09	202.66
OSBP	629.35	507.46	559.28	543.96	698.41	454.09	384.34	400.71	521.76	723.08	728.11	647.07	665.29	551.56	348.71	708.18	525.39	669.92	381.68	353.59	429.54	555.41	518.15	599.49	872.1	525.39	571.05	521.76	381.68	708.18	791.35	651.58	660.68	450.94	511.0	490.14	503.95
OTUD4	256.78	323.03	343.89	256.78	392.44	170.25	105.15	198.47	193.01	356.05	241.19	356.05	406.31	164.42	162.14	392.44	204.07	166.73	215.77	172.65	224.97	397.93	187.71	336.79	435.55	226.54	241.19	307.69	176.29	273.37	486.75	376.41	366.09	175.07	205.5	205.5	249.73
PAK2	450.94	607.87	525.39	426.57	679.29	400.71	379.04	343.89	336.79	708.18	454.09	684.02	591.22	323.03	366.09	698.41	457.25	358.54	389.72	406.31	444.72	563.18	397.93	555.41	583.07	457.25	543.96	514.56	363.56	426.57	638.15	633.73	633.73	392.44	543.96	400.71	450.94
PBRM1	312.0	305.55	305.55	256.78	420.68	197.09	143.01	157.68	214.27	420.68	234.57	384.34	366.09	172.65	173.85	397.93	258.57	199.85	180.02	169.07	239.52	332.14	275.28	336.79	511.0	198.47	277.2	275.28	171.45	336.79	490.14	438.59	381.68	170.25	264.03	229.72	246.28
PCMTD1	514.56	591.22	532.74	420.68	753.83	348.71	260.38	403.5	525.39	802.41	567.1	713.11	607.87	403.5	312.0	791.35	629.35	403.5	503.95	371.22	603.67	571.05	1051.79	583.07	708.18	450.94	543.96	624.99	387.02	638.15	775.05	669.92	791.35	414.87	438.59	373.81	454.09
PDZD8	167.9	167.9	159.9	132.44	228.13	104.42	93.35	87.03	115.16	231.32	224.97	183.82	201.25	109.66	79.45	239.52	164.42	149.12	104.42	99.43	131.51	165.57	177.53	173.85	293.07	113.56	155.5	150.17	95.34	175.07	271.48	241.19	164.42	94.01	115.97	127.89	117.6
PHC3	198.47	204.07	164.42	162.14	435.55	87.65	81.14	96.01	122.64	371.22	141.02	202.66	260.38	100.83	82.87	373.81	169.07	100.83	100.13	91.41	127.0	246.28	129.69	214.27	343.89	117.6	180.02	166.73	97.36	185.11	379.04	271.48	283.05	84.04	152.28	154.42	162.14
PHF15	559.28	466.88	435.55	406.31	647.07	297.17	309.83	426.57	420.68	587.13	532.74	571.05	656.11	466.88	332.14	764.36	567.1	327.56	258.57	297.17	392.44	420.68	376.41	603.67	974.5	376.41	473.41	450.94	305.55	591.22	708.18	698.41	575.03	361.04	473.41	325.29	426.57
PHF20	217.27	226.54	205.5	191.67	285.03	156.59	144.01	135.24	167.9	258.57	187.71	255.0	256.78	135.24	137.14	314.17	199.85	112.77	129.69	141.02	193.01	228.13	178.77	224.97	299.25	166.73	201.25	185.11	155.5	186.4	260.38	255.0	264.03	156.59	214.27	145.02	193.01
PHF3	551.56	463.65	493.56	420.68	591.22	305.55	336.79	343.89	307.69	563.18	358.54	579.04	587.13	303.44	271.48	599.49	363.56	275.28	295.11	316.37	417.77	591.22	258.57	497.0	674.59	392.44	466.88	441.64	325.29	470.14	693.58	555.41	595.34	297.17	409.15	361.04	389.72
PIAS1	426.57	368.65	366.09	353.59	551.56	205.5	212.78	307.69	343.89	518.15	432.53	400.71	514.56	283.05	218.79	540.19	316.37	218.79	220.32	234.57	334.46	366.09	244.57	409.15	607.87	269.6	334.46	392.44	231.32	420.68	612.11	567.1	540.19	275.28	318.57	351.14	353.59
PIK3CA	223.41	236.21	221.86	162.14	346.29	121.79	127.0	132.44	110.43	327.56	208.38	291.04	285.03	99.43	102.25	275.28	159.9	90.14	92.05	105.89	148.09	224.97	124.37	267.73	289.02	139.07	229.72	202.66	117.6	183.82	320.8	283.05	320.8	138.1	176.29	138.1	177.53
PLEKHM3	47.84	45.53	37.05	28.04	83.45	12.83	11.82	14.78	21.32	72.52	33.3	42.41	50.27	15.11	8.38	82.29	43.63	15.68	13.42	9.06	24.99	40.93	22.43	45.53	81.14	17.13	38.95	27.84	14.78	50.27	74.58	60.82	61.25	13.12	20.86	19.39	25.54
POMK	41.81	63.0	32.13	20.26	89.51	9.63	5.15	6.46	17.0	59.97	22.59	29.06	47.5	6.16	8.06	61.68	36.01	22.1	6.06	5.5	13.93	35.0	22.75	31.9	56.68	8.92	22.1	31.45	10.55	31.45	57.89	59.97	61.68	8.58	29.06	23.93	21.78
PRKAR2A	309.83	248.0	279.14	212.78	332.14	166.73	147.06	143.01	234.57	351.14	371.22	279.14	291.04	209.84	152.28	323.03	303.44	271.48	172.65	136.19	183.82	224.97	332.14	279.14	363.56	208.38	218.79	223.41	156.59	281.09	307.69	353.59	316.37	173.85	205.5	195.72	223.41
PTPRJ	201.25	150.17	156.59	126.12	373.81	64.8	70.51	72.52	92.05	293.07	140.04	183.82	255.0	82.29	59.55	318.57	177.53	108.9	63.45	52.08	96.01	170.25	100.13	198.47	358.54	75.11	136.19	141.02	72.01	197.09	258.57	265.87	220.32	75.64	86.43	110.43	129.69
PUM1	780.44	669.92	703.28	624.99	1001.93	583.07	397.93	518.15	624.99	878.17	620.67	842.36	1023.0	529.06	466.88	981.29	848.22	616.37	532.74	514.56	595.34	759.08	563.18	759.08	1225.22	607.87	743.43	743.43	543.96	961.07	1183.45	836.53	842.36	525.39	591.22	536.45	603.67
RANBP2	432.53	403.5	406.31	343.89	543.96	232.94	180.02	224.97	323.03	559.28	384.34	483.38	463.65	273.37	218.79	500.46	412.0	320.8	258.57	215.77	295.11	414.87	204.07	457.25	660.68	307.69	348.71	387.02	224.97	454.09	571.05	607.87	567.1	251.48	320.8	307.69	341.51
RAPGEF2	591.22	441.64	339.14	320.8	688.78	176.29	163.28	171.45	703.28	624.99	420.68	412.0	473.41	281.09	132.44	587.13	575.03	307.69	241.19	163.28	305.55	387.02	460.44	435.55	748.61	299.25	285.03	397.93	178.77	698.41	583.07	647.07	543.96	212.78	271.48	234.57	299.25
RBM12	397.93	463.65	435.55	363.56	693.58	229.72	190.34	151.22	232.94	571.05	258.57	503.95	521.76	236.21	198.47	753.83	285.03	220.32	205.5	193.01	297.17	320.8	249.73	486.75	616.37	271.48	387.02	392.44	186.4	493.56	563.18	688.78	497.0	264.03	295.11	373.81	403.5
RBM27	186.4	166.73	183.82	158.79	220.32	109.66	88.26	108.9	121.79	229.72	170.25	209.84	206.94	120.1	96.01	234.57	151.22	106.63	113.56	102.25	133.36	178.77	186.4	187.71	253.23	141.02	161.02	164.42	111.99	166.73	237.86	228.13	221.86	107.38	145.02	141.02	153.34
RIF1	104.42	109.66	127.0	92.7	176.29	67.12	37.32	62.12	75.64	156.59	137.14	145.02	140.04	74.06	64.34	182.55	97.36	57.49	82.29	62.56	102.25	122.64	58.71	147.06	176.29	92.7	100.13	111.99	74.06	105.15	191.67	163.28	159.9	72.52	98.04	88.26	92.05
RLIM	201.25	232.94	255.0	209.84	327.56	189.02	169.07	177.53	172.65	353.59	232.94	318.57	314.17	175.07	147.06	309.83	226.54	253.23	167.9	187.71	201.25	291.04	199.85	273.37	332.14	215.77	256.78	226.54	173.85	221.86	353.59	351.14	314.17	187.71	260.38	197.09	217.27
RNF169	81.14	75.64	85.82	69.52	130.6	45.53	50.98	44.25	50.63	130.6	63.0	111.99	139.07	47.17	28.45	146.03	68.55	42.41	41.81	32.82	59.55	113.56	55.1	110.43	162.14	62.56	90.14	77.25	45.21	74.58	153.34	122.64	136.19	49.56	82.87	39.22	72.01
RNF41	665.29	647.07	521.76	547.75	819.3	441.64	417.77	438.59	476.71	785.88	748.61	647.07	808.0	507.46	371.22	802.41	599.49	426.57	387.02	371.22	483.38	599.49	525.39	620.67	819.3	511.0	551.56	559.28	486.75	591.22	688.78	866.07	651.58	503.95	529.06	579.04	599.49
RREB1	323.03	178.77	246.28	215.77	339.14	172.65	175.07	229.72	251.48	262.2	287.01	312.0	309.83	182.55	151.22	293.07	246.28	173.85	204.07	191.67	208.38	283.05	162.14	242.88	387.02	244.57	246.28	214.27	190.34	277.2	361.04	246.28	281.09	190.34	253.23	153.34	164.42
RSF1	493.56	299.25	273.37	264.03	432.53	189.02	187.71	256.78	232.94	412.0	264.03	406.31	314.17	241.19	175.07	397.93	283.05	209.84	190.34	217.27	253.23	379.04	231.32	332.14	500.46	255.0	348.71	323.03	239.52	336.79	438.59	368.65	400.71	191.67	323.03	295.11	275.28
SBNO1	190.34	148.09	201.25	145.02	251.48	102.25	98.04	109.66	138.1	293.07	234.57	224.97	223.41	139.07	86.43	228.13	176.29	171.45	124.37	96.68	127.89	182.55	169.07	199.85	269.6	127.89	156.59	156.59	104.42	204.07	251.48	215.77	234.57	117.6	149.12	149.12	161.02
SEC24B	318.57	361.04	343.89	318.57	457.25	231.32	205.5	283.05	244.57	412.0	316.37	392.44	441.64	248.0	195.72	426.57	309.83	187.71	218.79	212.78	258.57	371.22	285.03	348.71	463.65	256.78	303.44	307.69	256.78	323.03	470.14	414.87	395.18	215.77	271.48	299.25	303.44
SETD2	473.41	406.31	423.61	368.65	521.76	283.05	289.02	279.14	329.84	503.95	336.79	450.94	460.44	307.69	265.87	525.39	343.89	265.87	341.51	279.14	376.41	497.0	463.65	426.57	555.41	363.56	363.56	389.72	327.56	466.88	567.1	466.88	507.46	295.11	343.89	366.09	358.54
SH3RF1	132.44	126.12	137.14	126.12	198.47	92.7	94.67	135.24	133.36	181.28	138.1	214.27	183.82	122.64	64.8	208.38	182.55	109.66	98.73	88.26	143.01	177.53	154.42	166.73	208.38	133.36	133.36	115.97	87.65	157.68	221.86	194.36	180.02	114.36	118.43	114.36	120.1
SIN3A	529.06	466.88	507.46	490.14	603.67	379.04	376.41	353.59	397.93	616.37	507.46	595.34	616.37	409.15	318.57	688.78	441.64	307.69	332.14	348.71	435.55	599.49	361.04	575.03	728.11	426.57	525.39	441.64	389.72	532.74	708.18	612.11	603.67	387.02	454.09	376.41	423.61
SLC30A4	71.5	59.97	66.18	57.08	92.05	44.25	22.59	40.64	56.28	98.73	66.18	57.49	62.56	44.57	23.76	77.79	64.34	54.72	61.68	41.22	48.87	60.82	73.54	63.89	76.71	55.89	52.45	54.72	42.41	74.58	82.29	77.79	77.25	43.94	46.5	63.45	52.45
SLK	450.94	381.68	403.5	341.51	497.0	262.2	197.09	262.2	307.69	511.0	417.77	406.31	426.57	307.69	223.41	435.55	395.18	255.0	258.57	262.2	275.28	414.87	389.72	366.09	483.38	299.25	363.56	343.89	260.38	341.51	518.15	476.71	460.44	248.0	309.83	293.07	318.57
SMAD2	1143.1	1437.15	1378.57	1286.18	1844.76	1001.93	988.12	1111.82	753.83	1857.6	1225.22	1540.37	1674.06	1081.39	934.76	1769.57	961.07	860.08	954.43	961.07	1073.91	1397.83	954.43	1561.89	1427.22	1088.92	1268.46	1268.46	866.07	1175.27	1605.83	1733.13	1447.15	974.5	1233.75	1127.35	1295.13
SMAD4	759.08	928.3	902.89	796.86	1151.06	500.46	500.46	616.37	629.35	1015.93	813.63	981.29	1051.79	575.03	348.71	1191.69	651.58	325.29	373.81	314.17	665.29	974.5	500.46	1023.0	1143.1	638.15	684.02	718.08	463.65	896.64	1225.22	1104.13	1111.82	579.04	669.92	651.58	796.86
SMC1A	723.08	381.68	273.37	220.32	595.34	155.5	120.94	128.79	181.28	555.41	264.03	406.31	400.71	180.02	143.01	607.87	318.57	265.87	153.34	109.66	214.27	314.17	336.79	361.04	698.41	176.29	258.57	269.6	129.69	409.15	536.45	483.38	476.71	165.57	194.36	262.2	246.28
SMCR8	85.82	80.01	70.01	57.49	138.1	17.77	13.93	22.1	46.5	134.3	50.63	95.34	98.73	33.78	14.24	153.34	82.29	33.54	11.64	8.65	40.64	75.64	66.18	96.68	163.28	26.47	61.68	71.5	22.92	132.44	138.1	112.77	101.54	19.82	49.91	36.79	49.91
SNX19	607.87	567.1	679.29	412.0	988.12	334.46	277.2	312.0	503.95	1051.79	651.58	511.0	651.58	497.0	258.57	928.3	612.11	536.45	320.8	258.57	426.57	423.61	764.36	612.11	1059.11	420.68	454.09	493.56	287.01	703.28	974.5	902.89	547.75	366.09	406.31	392.44	518.15
SOCS7	94.01	81.71	66.65	53.19	131.51	29.91	16.75	30.12	29.7	101.54	55.1	66.18	115.97	29.91	17.9	75.11	68.07	25.54	18.16	12.09	44.89	72.01	90.77	65.26	154.42	18.43	49.21	77.25	25.54	120.1	123.5	129.69	90.77	21.78	49.91	39.79	46.5
SP1	414.87	486.75	518.15	429.54	624.99	329.84	309.83	297.17	325.29	571.05	295.11	514.56	587.13	295.11	325.29	660.68	295.11	221.86	279.14	323.03	373.81	540.19	346.29	486.75	651.58	392.44	454.09	457.25	373.81	392.44	651.58	532.74	599.49	312.0	392.44	295.11	420.68
SPTY2D1	139.07	167.9	165.57	138.1	232.94	84.63	64.34	85.82	101.54	212.78	156.59	182.55	157.68	93.35	88.88	195.72	144.01	122.64	102.25	84.04	121.79	158.79	126.12	165.57	215.77	111.21	120.1	148.09	78.89	154.42	202.66	248.0	198.47	99.43	125.24	116.78	132.44
STAG1	202.66	226.54	224.97	195.72	231.32	154.42	131.51	133.36	142.01	224.97	169.07	262.2	249.73	152.28	104.42	279.14	183.82	116.78	129.69	120.94	198.47	231.32	171.45	281.09	307.69	169.07	183.82	215.77	157.68	248.0	305.55	258.57	293.07	149.12	178.77	143.01	206.94
STRN	102.25	131.51	137.14	127.89	185.11	83.45	70.51	85.82	82.87	169.07	120.94	148.09	131.51	78.34	73.03	132.44	104.42	73.03	88.26	98.73	100.83	134.3	80.01	120.1	143.01	118.43	130.6	120.1	87.65	89.51	154.42	161.02	155.5	82.87	118.43	120.94	112.77
SYNCRIP	1119.56	1159.07	1159.07	1008.9	1508.65	884.29	753.83	728.11	884.29	1529.73	1051.79	1397.83	1216.75	819.3	796.86	1519.15	1183.45	1183.45	915.51	866.07	995.0	1159.07	791.35	1191.69	1467.37	909.17	1175.27	1167.14	764.36	1551.09	1467.37	1594.73	1519.15	825.0	1008.9	974.5	1081.39
TAB2	808.0	669.92	713.11	620.67	780.44	438.59	406.31	511.0	543.96	764.36	860.08	813.63	802.41	567.1	441.64	830.75	656.11	483.38	503.95	432.53	651.58	713.11	571.05	723.08	1208.34	583.07	603.67	679.29	457.25	660.68	921.88	802.41	842.36	460.44	543.96	500.46	616.37
TAF1	341.51	346.29	295.11	253.23	497.0	182.55	171.45	190.34	260.38	507.46	253.23	366.09	441.64	197.09	178.77	559.28	309.83	176.29	178.77	166.73	249.73	381.68	251.48	329.84	543.96	236.21	327.56	316.37	191.67	426.57	529.06	450.94	457.25	189.02	299.25	279.14	316.37
TAOK1	244.57	237.86	251.48	228.13	363.56	163.28	126.12	130.6	183.82	363.56	232.94	307.69	287.01	148.09	140.04	325.29	241.19	148.09	166.73	162.14	187.71	264.03	251.48	291.04	332.14	205.5	248.0	239.52	167.9	309.83	334.46	356.05	314.17	151.22	209.84	189.02	212.78
TBC1D5	351.14	336.79	376.41	297.17	521.76	175.07	176.29	226.54	260.38	587.13	346.29	371.22	490.14	226.54	163.28	571.05	366.09	255.0	241.19	181.28	234.57	381.68	450.94	379.04	616.37	242.88	281.09	295.11	223.41	476.71	540.19	521.76	473.41	165.57	273.37	251.48	229.72
TCP11L2	132.44	93.35	107.38	128.79	242.88	48.18	56.68	98.73	138.1	189.02	88.88	176.29	228.13	64.34	47.84	205.5	111.99	67.59	46.84	48.18	89.51	185.11	105.89	193.01	287.01	100.83	121.79	134.3	101.54	217.27	336.79	209.84	249.73	59.13	129.69	51.71	111.21
TGFBRAP1	239.52	186.4	214.27	185.11	281.09	169.07	150.17	140.04	217.27	234.57	262.2	194.36	232.94	201.25	126.12	314.17	285.03	172.65	138.1	112.77	173.85	212.78	151.22	224.97	301.33	167.9	197.09	206.94	147.06	224.97	269.6	226.54	251.48	181.28	172.65	162.14	185.11
THRAP3	1757.34	1268.46	1216.75	1216.75	1733.13	981.29	941.27	1073.91	1051.79	1617.0	934.76	1519.15	1583.71	1096.5	909.17	1832.01	1127.35	1015.93	947.83	860.08	1143.1	1639.59	785.88	1447.15	2119.22	1199.98	1359.57	1277.29	974.5	1551.09	1977.24	1498.22	1662.49	1030.12	1233.75	1073.91	1295.13
TJP1	830.75	718.08	872.1	866.07	1096.5	547.75	629.35	511.0	674.59	1037.29	775.05	1242.34	1015.93	525.39	420.68	1127.35	703.28	444.72	595.34	521.76	703.28	967.76	583.07	954.43	1167.14	860.08	830.75	748.61	567.1	836.53	1159.07	1051.79	947.83	583.07	775.05	587.13	764.36
TMED8	229.72	144.01	154.42	114.36	165.57	89.51	81.14	122.64	153.34	177.53	195.72	161.02	145.02	118.43	76.71	161.02	212.78	141.02	104.42	84.04	116.78	173.85	215.77	153.34	239.52	113.56	154.42	118.43	99.43	212.78	180.02	143.01	199.85	95.34	137.14	123.5	128.79
TMEM245	769.69	693.58	780.44	669.92	1427.22	438.59	486.75	1199.98	703.28	1088.92	947.83	947.83	1322.37	559.28	197.09	791.35	1008.9	563.18	460.44	454.09	480.04	1295.13	743.43	915.51	1709.26	507.46	866.07	995.0	480.04	738.29	1111.82	1259.69	1216.75	429.54	603.67	656.11	660.68
TNPO1	476.71	518.15	490.14	438.59	660.68	279.14	267.73	309.83	351.14	698.41	532.74	591.22	511.0	305.55	224.97	620.67	583.07	299.25	285.03	267.73	361.04	563.18	366.09	559.28	674.59	312.0	490.14	470.14	297.17	507.46	698.41	633.73	603.67	293.07	435.55	417.77	412.0
TRAPPC10	376.41	346.29	334.46	291.04	423.61	209.84	198.47	267.73	318.57	316.37	363.56	395.18	376.41	231.32	206.94	392.44	332.14	297.17	248.0	197.09	303.44	358.54	295.11	316.37	409.15	281.09	334.46	381.68	206.94	395.18	417.77	444.72	384.34	218.79	275.28	291.04	312.0
TRIM44	454.09	346.29	271.48	244.57	575.03	111.21	134.3	121.79	208.38	503.95	325.29	356.05	392.44	157.68	113.56	555.41	301.33	206.94	119.26	88.88	214.27	301.33	239.52	361.04	518.15	157.68	237.86	264.03	132.44	295.11	507.46	454.09	397.93	130.6	223.41	244.57	221.86
TRIP12	1104.13	1119.56	1088.92	878.17	1745.2	718.08	884.29	796.86	651.58	1844.76	1119.56	1322.37	1225.22	825.0	674.59	1685.71	928.3	830.75	642.59	728.11	872.1	1159.07	470.14	1216.75	1806.78	854.13	1073.91	941.27	660.68	1183.45	1572.76	1529.73	1540.37	947.83	1073.91	974.5	921.88
TTC3	1397.83	1487.87	1832.01	1369.04	2193.99	1023.0	819.3	1111.82	988.12	2255.7	1331.57	1709.26	1844.76	1135.2	780.44	2645.74	1259.69	1023.0	872.1	830.75	1066.48	1617.0	928.3	1896.65	2915.45	1151.06	1551.09	1225.22	995.0	1250.98	2417.67	2319.15	1806.78	802.41	1183.45	1104.13	1167.14
TTC33	190.34	193.01	195.72	173.85	226.54	127.0	102.97	114.36	143.01	241.19	198.47	201.25	217.27	111.21	152.28	237.86	204.07	139.07	111.99	108.9	155.5	221.86	175.07	220.32	248.0	130.6	167.9	197.09	116.78	175.07	248.0	209.84	221.86	116.78	172.65	136.19	163.28
UBE4A	314.17	248.0	297.17	265.87	417.77	169.07	119.26	161.02	246.28	381.68	244.57	339.14	356.05	180.02	147.06	400.71	265.87	249.73	171.45	149.12	177.53	285.03	211.31	339.14	486.75	228.13	249.73	255.0	193.01	356.05	441.64	346.29	356.05	185.11	220.32	189.02	217.27
UBR1	170.25	171.45	171.45	151.22	217.27	102.97	78.34	105.89	157.68	241.19	177.53	189.02	166.73	107.38	88.88	226.54	182.55	135.24	126.12	95.34	127.0	169.07	130.6	180.02	226.54	115.16	159.9	158.79	121.79	194.36	224.97	211.31	221.86	104.42	130.6	148.09	154.42
ULK2	185.11	177.53	193.01	149.12	253.23	102.25	93.35	136.19	111.21	236.21	167.9	187.71	229.72	157.68	97.36	228.13	136.19	103.69	133.36	100.83	94.01	167.9	237.86	181.28	221.86	148.09	151.22	175.07	127.0	199.85	212.78	221.86	157.68	128.79	130.6	153.34	149.12
USP24	264.03	246.28	287.01	244.57	334.46	163.28	141.02	166.73	195.72	305.55	237.86	307.69	305.55	176.29	143.01	368.65	217.27	136.19	182.55	173.85	215.77	314.17	191.67	265.87	348.71	241.19	271.48	281.09	172.65	242.88	329.84	281.09	303.44	155.5	211.31	187.71	208.38
USP38	170.25	151.22	178.77	130.6	229.72	100.13	85.82	98.04	120.1	232.94	197.09	197.09	198.47	129.69	93.35	191.67	181.28	141.02	140.04	108.14	128.79	181.28	136.19	195.72	218.79	140.04	139.07	157.68	88.26	177.53	234.57	223.41	180.02	112.77	138.1	142.01	142.01
USP4	769.69	860.08	896.64	878.17	1216.75	825.0	764.36	842.36	738.29	1023.0	878.17	1037.29	1191.69	909.17	688.78	1350.18	808.0	571.05	860.08	796.86	836.53	974.5	764.36	1015.93	1447.15	860.08	967.76	890.44	791.35	941.27	1030.12	1066.48	1225.22	866.07	713.11	872.1	915.51
UTP20	92.7	100.13	95.34	84.04	132.44	59.55	42.71	38.4	62.56	132.44	81.71	94.67	111.21	64.8	48.52	116.78	58.3	63.89	57.49	48.87	63.89	76.17	101.54	104.42	129.69	71.0	78.89	81.14	61.25	90.14	129.69	116.78	99.43	60.39	68.07	68.55	82.29
VEZF1	718.08	780.44	775.05	669.92	1191.69	503.95	423.61	493.56	480.04	995.0	638.15	878.17	981.29	507.46	466.88	1135.2	647.07	403.5	297.17	371.22	559.28	813.63	575.03	967.76	1322.37	507.46	698.41	718.08	466.88	1143.1	1096.5	1037.29	1001.93	540.19	638.15	507.46	733.19
VPRBP	486.75	406.31	412.0	348.71	480.04	229.72	229.72	211.31	351.14	490.14	409.15	463.65	507.46	301.33	215.77	559.28	403.5	287.01	217.27	194.36	301.33	414.87	476.71	400.71	620.67	287.01	376.41	373.81	239.52	457.25	571.05	483.38	507.46	231.32	320.8	351.14	334.46
VPS4B	500.46	532.74	547.75	525.39	780.44	381.68	241.19	323.03	414.87	819.3	447.82	698.41	718.08	363.56	307.69	728.11	486.75	417.77	305.55	283.05	395.18	536.45	343.89	620.67	791.35	447.82	514.56	555.41	299.25	669.92	854.13	688.78	733.19	454.09	438.59	514.56	483.38
WIPF2	318.57	251.48	260.38	244.57	346.29	161.02	173.85	169.07	232.94	316.37	283.05	334.46	358.54	185.11	169.07	346.29	260.38	208.38	176.29	158.79	221.86	281.09	251.48	299.25	389.72	244.57	231.32	241.19	180.02	389.72	384.34	291.04	305.55	205.5	231.32	234.57	215.77
WWC2	406.31	279.14	256.78	234.57	483.38	110.43	88.88	185.11	264.03	444.72	285.03	329.84	507.46	204.07	99.43	309.83	217.27	151.22	152.28	118.43	153.34	312.0	162.14	325.29	555.41	199.85	183.82	293.07	154.42	343.89	426.57	406.31	336.79	135.24	180.02	232.94	239.52
XPO7	780.44	713.11	791.35	656.11	902.89	612.11	571.05	607.87	616.37	860.08	733.19	848.22	928.3	624.99	521.76	954.43	698.41	563.18	579.04	612.11	669.92	878.17	718.08	802.41	1059.11	723.08	733.19	769.69	656.11	934.76	1059.11	884.29	890.44	591.22	759.08	642.59	703.28
