	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.11DYG.1426.SM.5A5JR	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.RTLS.1226.SM.46MUP	GTEX.ZYVF.2326.SM.5E44Z	GTEX.13QJ3.1826.SM.5S2PT	GTEX.ZAB4.1226.SM.5CVN5	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.117YW.2026.SM.5N9BH	GTEX.ZYT6.1226.SM.5E44Q	GTEX.WZTO.1526.SM.4PQYQ	GTEX.14C5O.2826.SM.5RQI6	GTEX.WK11.2626.SM.4OOSK	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.8371.01A.11R.2343.13	TCGA.BR.A453.01A.11R.A24K.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.13X6H.1626.SM.5Q5CT	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX
RABL2A	211.31	183.82	142.01	163.28	155.5	122.64	202.66	289.02	248.0	305.55	312.0	414.87	447.82	483.38	314.17	591.22	503.95	684.02	674.59	356.05	473.41	599.49	555.41	708.18	373.81	423.61	616.37	848.22	785.88	473.41	571.05	242.88	698.41	872.1	638.15	708.18	698.41	738.29	713.11	343.89	518.15	684.02	170.25	264.03	291.04	457.25	343.89	241.19	289.02	237.86	153.34	215.77	218.79
RBM28	323.03	301.33	236.21	305.55	273.37	341.51	214.27	503.95	323.03	309.83	381.68	825.0	450.94	466.88	348.71	514.56	547.75	902.89	607.87	341.51	728.11	466.88	693.58	743.43	438.59	387.02	503.95	587.13	660.68	612.11	679.29	341.51	612.11	651.58	764.36	780.44	563.18	579.04	616.37	438.59	603.67	620.67	303.44	325.29	397.93	363.56	356.05	236.21	265.87	193.01	221.86	151.22	134.3
RBM5	1359.57	791.35	928.3	1447.15	1175.27	1059.11	1088.92	1437.15	1896.65	1896.65	2384.37	1977.24	2193.99	3325.99	2367.9	3257.52	3847.29	6792.79	5479.15	3212.66	5292.48	3540.14	3874.05	6207.38	2816.11	3039.3	5403.7	6037.61	5479.15	4450.27	5006.93	2209.26	4937.99	4903.87	5751.61	6471.02	4903.87	3742.05	6294.04	2796.65	3742.05	5672.41	1191.69	1199.98	1685.71	2451.44	1225.22	1487.87	1857.6	748.61	669.92	536.45	854.13
RP11-295P9.3	90.77	69.52	96.01	65.26	103.69	78.89	60.82	178.77	248.0	169.07	312.0	256.78	212.78	346.29	181.28	351.14	669.92	830.75	961.07	414.87	559.28	669.92	723.08	947.83	303.44	473.41	651.58	1151.06	728.11	525.39	647.07	181.28	884.29	723.08	780.44	890.44	728.11	669.92	988.12	543.96	511.0	884.29	42.71	41.22	220.32	403.5	191.67	162.14	221.86	30.12	51.35	23.93	63.45
RP11-444E17.6	0.0	0.14	0.44	0.44	0.0	0.0	0.0	1.77	0.75	0.73	0.0	2.58	0.83	2.29	2.53	2.86	2.61	2.56	4.39	3.08	5.19	2.76	5.11	2.01	1.62	2.97	3.11	3.5	4.39	3.17	3.53	0.0	5.32	4.06	2.48	5.19	1.2	2.03	4.13	0.91	3.76	1.99	0.0	0.67	1.75	1.38	0.0	0.78	2.27	0.61	0.58	0.05	0.0
RP11-793H13.10	10.71	18.84	12.36	6.26	17.0	5.36	10.63	54.33	44.57	52.45	92.7	144.01	78.89	256.78	54.72	159.9	273.37	228.13	432.53	127.0	242.88	379.04	215.77	435.55	237.86	181.28	283.05	295.11	323.03	248.0	262.2	69.03	307.69	332.14	429.54	265.87	167.9	366.09	327.56	180.02	182.55	368.65	12.36	17.0	94.01	107.38	59.97	55.49	69.52	19.11	9.63	6.52	26.1
RP11-87C12.2	2.43	0.0	2.2	1.35	2.18	2.2	1.35	0.0	5.96	0.0	0.0	18.16	32.13	4.82	1.33	2.41	26.67	18.84	43.32	14.78	31.9	27.44	28.45	31.45	22.59	13.32	38.4	34.26	34.26	25.91	23.08	12.55	12.93	54.33	59.13	37.05	6.89	31.22	35.25	16.63	32.13	30.12	0.43	1.35	0.0	6.78	9.63	0.0	4.31	0.0	2.56	1.1	0.0
SAFB2	1674.06	733.19	587.13	808.0	988.12	928.3	947.83	934.76	1191.69	902.89	1044.52	1167.14	1127.35	1685.71	1350.18	1378.57	1605.83	2537.92	1857.6	1350.18	1651.0	2090.03	1572.76	2047.0	1407.55	1447.15	1883.54	2224.63	2240.11	1572.76	1794.29	759.08	2271.4	2061.24	1896.65	2075.59	1991.0	1844.76	2018.8	1487.87	1295.13	2047.0	1674.06	934.76	1044.52	1467.37	890.44	1088.92	1111.82	511.0	559.28	497.0	525.39
SLC22A14	3.08	1.16	0.45	0.45	1.31	1.33	1.77	1.69	4.43	0.0	2.78	1.89	1.99	3.76	2.1	0.0	2.84	4.62	3.76	3.17	3.11	5.92	6.21	14.35	2.01	0.78	3.38	3.5	4.94	2.84	10.71	1.87	10.39	3.2	5.92	5.54	3.66	4.9	2.94	3.79	3.32	2.89	1.99	1.35	2.92	0.83	0.0	2.51	0.8	0.0	1.0	0.54	0.0
SPATA7	131.51	89.51	211.31	155.5	212.78	144.01	156.59	146.03	135.24	175.07	264.03	117.6	131.51	185.11	127.0	157.68	258.57	277.2	281.09	183.82	260.38	249.73	309.83	293.07	169.07	198.47	273.37	241.19	285.03	214.27	201.25	119.26	194.36	265.87	226.54	260.38	239.52	241.19	283.05	226.54	199.85	334.46	165.57	175.07	136.19	234.57	237.86	181.28	202.66	132.44	73.54	133.36	78.34
SS18L1	143.01	49.56	93.35	119.26	108.14	87.65	92.05	162.14	154.42	125.24	110.43	258.57	211.31	223.41	183.82	269.6	239.52	334.46	361.04	176.29	314.17	249.73	305.55	420.68	236.21	206.94	309.83	329.84	318.57	246.28	287.01	92.05	414.87	336.79	366.09	363.56	312.0	309.83	348.71	201.25	224.97	312.0	208.38	150.17	156.59	223.41	138.1	117.6	142.01	53.57	58.3	40.07	52.82
STX16	669.92	457.25	480.04	688.78	595.34	796.86	514.56	854.13	738.29	660.68	830.75	2287.2	1674.06	1594.73	1096.5	1259.69	1498.22	2537.92	2303.12	1359.57	1977.24	1806.78	2075.59	2384.37	1295.13	1697.45	2032.85	2555.58	2434.5	1733.13	2163.77	796.86	1870.53	2434.5	2224.63	2555.58	2335.28	2178.83	2335.28	1015.93	1407.55	2148.82	438.59	567.1	902.89	934.76	743.43	753.83	866.07	291.04	253.23	205.5	379.04
SUPT20H	620.67	353.59	591.22	514.56	591.22	400.71	490.14	599.49	633.73	633.73	764.36	759.08	819.3	753.83	647.07	723.08	785.88	1081.39	802.41	842.36	947.83	759.08	825.0	890.44	595.34	688.78	909.17	934.76	902.89	878.17	866.07	633.73	842.36	1044.52	791.35	921.88	974.5	775.05	785.88	674.59	769.69	808.0	460.44	629.35	567.1	860.08	723.08	583.07	651.58	476.71	264.03	438.59	579.04
THOC1	414.87	212.78	267.73	327.56	351.14	325.29	320.8	483.38	532.74	423.61	466.88	1127.35	679.29	796.86	551.56	785.88	1572.76	1709.26	1498.22	679.29	1350.18	1216.75	1605.83	1733.13	693.58	872.1	1407.55	1769.57	1388.16	1008.9	1119.56	457.25	1286.18	1605.83	1417.35	1551.09	1508.65	1242.34	1369.04	1277.29	1008.9	1617.0	312.0	371.22	444.72	684.02	420.68	348.71	397.93	173.85	218.79	142.01	195.72
TRIM27	441.64	414.87	417.77	389.72	460.44	320.8	460.44	836.53	656.11	543.96	511.0	693.58	486.75	591.22	381.68	624.99	947.83	1037.29	1135.2	647.07	872.1	1167.14	718.08	1104.13	703.28	764.36	1044.52	1066.48	961.07	775.05	941.27	511.0	928.3	896.64	1183.45	808.0	743.43	1015.93	1037.29	934.76	733.19	1127.35	529.06	607.87	571.05	713.11	500.46	476.71	497.0	417.77	400.71	320.8	403.5
TRIM52	109.66	166.73	170.25	209.84	279.14	110.43	206.94	167.9	244.57	241.19	291.04	336.79	291.04	281.09	277.2	363.56	348.71	616.37	603.67	381.68	454.09	497.0	460.44	575.03	314.17	371.22	490.14	599.49	603.67	406.31	486.75	318.57	486.75	599.49	583.07	607.87	540.19	486.75	567.1	271.48	432.53	521.76	166.73	183.82	191.67	379.04	232.94	197.09	283.05	76.17	58.71	92.05	115.97
TTC17	612.11	339.14	493.56	450.94	540.19	435.55	376.41	791.35	878.17	813.63	902.89	1059.11	713.11	995.0	595.34	1183.45	1498.22	2104.58	2104.58	1199.98	1697.45	1447.15	1697.45	1991.0	954.43	1023.0	2271.4	2178.83	1883.54	1477.58	1457.23	679.29	1870.53	1628.26	1857.6	2240.11	1936.53	1322.37	2047.0	1397.83	1242.34	2119.22	708.18	674.59	854.13	1277.29	607.87	656.11	884.29	353.59	307.69	258.57	376.41
TUBGCP6	361.04	202.66	204.07	316.37	260.38	289.02	287.01	480.04	463.65	384.34	507.46	872.1	665.29	738.29	567.1	890.44	1081.39	1286.18	1350.18	693.58	1350.18	928.3	1088.92	1583.71	723.08	738.29	1191.69	1225.22	1242.34	1175.27	1030.12	423.61	1191.69	1313.23	1167.14	1037.29	884.29	967.76	1268.46	698.41	830.75	1143.1	209.84	289.02	463.65	698.41	490.14	414.87	575.03	165.57	185.11	123.5	169.07
VPS13B	287.01	157.68	255.0	275.28	229.72	260.38	249.73	236.21	256.78	234.57	332.14	403.5	329.84	361.04	297.17	346.29	309.83	368.65	454.09	361.04	341.51	291.04	305.55	371.22	208.38	253.23	323.03	363.56	384.34	303.44	332.14	194.36	361.04	336.79	397.93	341.51	323.03	283.05	420.68	323.03	244.57	381.68	353.59	264.03	248.0	329.84	318.57	241.19	285.03	239.52	148.09	165.57	198.47
ZMIZ2	684.02	647.07	759.08	796.86	764.36	575.03	878.17	1277.29	1286.18	921.88	1378.57	2335.28	1605.83	1674.06	1508.65	1639.59	2468.49	3467.27	2855.44	1662.49	2104.58	2451.44	2720.15	3103.19	1832.01	1832.01	2591.27	3018.3	2895.31	1819.35	2720.15	1183.45	2400.97	2485.67	2591.27	1936.53	2271.4	2335.28	2855.44	1781.89	1794.29	2997.45	633.73	866.07	1127.35	1794.29	1757.34	1111.82	1447.15	387.02	470.14	312.0	607.87
ZNF211	127.89	157.68	148.09	145.02	187.71	75.11	173.85	167.9	206.94	204.07	236.21	287.01	178.77	264.03	211.31	223.41	376.41	414.87	543.96	291.04	460.44	325.29	438.59	651.58	226.54	202.66	497.0	514.56	587.13	379.04	444.72	183.82	480.04	457.25	555.41	540.19	291.04	432.53	470.14	244.57	368.65	450.94	171.45	148.09	167.9	283.05	181.28	180.02	194.36	122.64	63.0	76.17	94.01
ZNF234	26.28	43.63	62.56	64.34	90.77	50.98	81.14	77.25	89.51	66.65	90.77	104.42	77.79	128.79	87.65	114.36	71.5	126.12	128.79	93.35	139.07	69.03	74.06	131.51	35.25	45.21	102.25	112.77	135.24	167.9	106.63	73.54	132.44	143.01	140.04	186.4	76.17	89.51	109.66	59.55	128.79	142.01	94.01	68.07	64.34	100.83	89.51	70.51	92.7	43.94	48.18	31.67	74.58
ZNF276	258.57	151.22	112.77	128.79	175.07	144.01	135.24	327.56	368.65	329.84	237.86	934.76	708.18	511.0	260.38	591.22	665.29	947.83	909.17	412.0	733.19	860.08	674.59	1104.13	559.28	529.06	738.29	656.11	909.17	599.49	633.73	353.59	890.44	909.17	1001.93	684.02	616.37	703.28	896.64	521.76	591.22	775.05	133.36	231.32	277.2	547.75	293.07	273.37	283.05	124.37	264.03	146.03	185.11
ZNF320	90.14	104.42	194.36	180.02	223.41	148.09	190.34	242.88	316.37	195.72	191.67	303.44	159.9	273.37	255.0	209.84	403.5	299.25	289.02	366.09	414.87	267.73	267.73	356.05	149.12	153.34	392.44	264.03	497.0	417.77	299.25	175.07	403.5	718.08	591.22	629.35	583.07	417.77	395.18	218.79	264.03	529.06	143.01	167.9	181.28	450.94	368.65	212.78	262.2	130.6	89.51	180.02	157.68
ZNF347	41.52	34.75	70.51	61.68	90.14	54.33	57.08	43.94	62.56	80.57	85.82	65.26	58.71	118.43	87.03	98.73	106.63	206.94	143.01	99.43	141.02	137.14	147.06	176.29	59.13	71.0	170.25	146.03	239.52	154.42	178.77	60.39	244.57	255.0	251.48	329.84	143.01	149.12	191.67	129.69	84.04	234.57	52.82	54.33	68.07	132.44	82.87	72.01	87.03	139.07	20.71	21.32	53.19
ZNF354B	100.83	65.72	62.56	89.51	118.43	80.57	116.78	132.44	171.45	141.02	173.85	334.46	258.57	323.03	186.4	316.37	314.17	503.95	457.25	307.69	497.0	281.09	366.09	518.15	269.6	217.27	361.04	497.0	518.15	400.71	423.61	173.85	500.46	423.61	447.82	438.59	318.57	417.77	457.25	239.52	400.71	387.02	101.54	146.03	102.97	255.0	202.66	143.01	171.45	59.55	67.59	59.55	68.07
ZNF44	115.16	53.95	137.14	137.14	198.47	94.67	199.85	153.34	197.09	167.9	211.31	183.82	183.82	217.27	165.57	237.86	209.84	363.56	521.76	271.48	246.28	332.14	291.04	708.18	182.55	221.86	356.05	381.68	438.59	273.37	318.57	189.02	307.69	299.25	291.04	406.31	228.13	381.68	316.37	180.02	244.57	334.46	145.02	248.0	164.42	267.73	122.64	151.22	199.85	120.1	47.84	46.5	99.43
ZNF525	39.22	57.08	43.02	38.95	52.08	37.85	64.34	59.13	68.55	108.14	73.54	129.69	90.77	122.64	75.11	120.94	121.79	295.11	249.73	101.54	176.29	72.01	186.4	497.0	35.0	141.02	60.39	139.07	191.67	115.16	88.88	65.26	204.07	242.88	260.38	293.07	37.59	82.87	144.01	102.25	58.3	115.97	108.9	81.71	68.07	100.13	55.49	55.49	82.29	26.86	18.43	7.69	45.85
ZNF549	59.97	90.77	61.25	48.18	88.88	27.64	67.12	37.59	71.0	72.01	96.01	65.26	47.17	96.68	72.01	84.04	96.68	127.0	142.01	120.1	119.26	103.69	108.9	120.94	43.63	60.39	97.36	106.63	136.19	125.24	99.43	83.45	123.5	159.9	128.79	140.04	55.49	107.38	100.13	70.51	107.38	116.78	75.64	84.04	63.45	81.71	53.57	66.65	70.51	39.5	29.7	19.53	65.26
ZNF732	2.29	1.22	3.5	1.35	1.75	2.63	0.0	7.82	3.08	2.86	5.32	23.25	5.73	13.22	9.93	14.24	59.55	20.11	37.05	12.18	12.36	20.86	27.25	28.24	12.27	14.14	21.32	55.89	25.35	17.38	29.48	2.05	14.67	33.78	30.78	32.13	29.7	45.21	29.48	17.9	4.17	26.1	5.36	3.53	4.06	14.35	5.63	6.31	4.28	2.46	3.76	1.69	3.17
ZNF75D	118.43	55.89	101.54	84.63	98.04	68.07	117.6	121.79	120.1	123.5	136.19	155.5	123.5	180.02	126.12	162.14	202.66	279.14	316.37	214.27	202.66	205.5	221.86	329.84	141.02	159.9	316.37	277.2	277.2	144.01	211.31	101.54	291.04	234.57	218.79	281.09	180.02	198.47	258.57	223.41	144.01	289.02	111.99	122.64	133.36	193.01	132.44	128.79	159.9	82.29	46.84	60.39	62.12
ZNF841	43.94	43.63	67.59	52.82	77.79	47.84	58.71	85.82	105.89	106.63	139.07	158.79	144.01	191.67	127.0	197.09	177.53	483.38	277.2	150.17	320.8	228.13	269.6	336.79	142.01	209.84	336.79	376.41	281.09	269.6	267.73	92.7	297.17	314.17	237.86	316.37	248.0	249.73	289.02	195.72	132.44	285.03	46.18	77.25	74.58	223.41	130.6	120.1	122.64	44.25	39.79	24.99	50.63
ZNF862	139.07	85.22	173.85	132.44	159.9	109.66	153.34	172.65	214.27	190.34	241.19	217.27	164.42	299.25	232.94	246.28	275.28	435.55	559.28	339.14	329.84	332.14	373.81	620.67	181.28	273.37	426.57	500.46	629.35	297.17	339.14	205.5	384.34	397.93	358.54	575.03	356.05	444.72	497.0	269.6	303.44	480.04	149.12	90.14	204.07	236.21	201.25	253.23	301.33	84.04	51.35	83.45	105.89
ZSCAN30	154.42	78.89	123.5	103.69	142.01	115.16	170.25	143.01	183.82	180.02	241.19	208.38	159.9	327.56	201.25	289.02	309.83	346.29	514.56	320.8	486.75	334.46	470.14	651.58	180.02	353.59	457.25	575.03	595.34	334.46	429.54	183.82	417.77	366.09	486.75	555.41	368.65	460.44	444.72	253.23	312.0	607.87	100.13	133.36	198.47	224.97	143.01	190.34	208.38	92.7	89.51	98.73	82.87
