	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.12BJ1.1226.SM.5LUAE
CHPT1	753.83	693.58	1397.83	1015.93	1286.18	151.22	253.23	1104.13	567.1	1844.76	684.02	941.27	941.27	915.51	1242.34	1051.79	995.0	1617.0	490.14	629.35	1167.14	941.27	796.86	995.0	665.29	486.75	507.46	1561.89	642.59	1088.92	921.88	769.69	915.51	753.83	403.5	1286.18	748.61	1104.13	1857.6	728.11	1250.98	1417.35	616.37	954.43	629.35	567.1	941.27	603.67	1104.13	1457.23	1242.34	802.41	1037.29	738.29	813.63	1096.5	1651.0	1963.57	1037.29	764.36	1167.14	723.08	764.36	759.08	1250.98	1844.76	1477.58	1008.9	1457.23	954.43	1594.73	1407.55	1015.93	1277.29	1331.57	1651.0	1225.22	1073.91	3443.31
CLASP1	447.82	239.52	156.59	318.57	480.04	201.25	224.97	279.14	215.77	368.65	244.57	299.25	414.87	275.28	312.0	368.65	275.28	316.37	224.97	289.02	361.04	218.79	199.85	267.73	289.02	244.57	204.07	325.29	295.11	283.05	307.69	58.71	163.28	336.79	146.03	417.77	198.47	279.14	248.0	303.44	343.89	256.78	332.14	363.56	156.59	260.38	414.87	242.88	395.18	275.28	463.65	277.2	131.51	260.38	363.56	204.07	397.93	343.89	205.5	318.57	299.25	244.57	262.2	163.28	206.94	470.14	497.0	420.68	373.81	318.57	518.15	348.71	343.89	457.25	470.14	253.23	371.22	447.82	603.67
CLDND1	1059.11	961.07	748.61	1191.69	1304.15	384.34	780.44	1081.39	1015.93	1427.22	764.36	921.88	1127.35	1191.69	1111.82	1277.29	1407.55	1127.35	493.56	967.76	988.12	928.3	775.05	1119.56	884.29	713.11	934.76	1242.34	764.36	1119.56	665.29	785.88	693.58	1175.27	896.64	1437.15	603.67	1259.69	872.1	896.64	1191.69	1059.11	947.83	988.12	642.59	872.1	1191.69	753.83	1143.1	1081.39	1191.69	872.1	785.88	896.64	1104.13	796.86	1498.22	1286.18	988.12	1066.48	713.11	819.3	921.88	988.12	748.61	1350.18	1617.0	1119.56	1331.57	1242.34	1651.0	1044.52	1088.92	1350.18	1519.15	1233.75	1651.0	1378.57	1769.57
CLSTN3	208.38	246.28	88.88	473.41	387.02	90.14	173.85	486.75	318.57	417.77	226.54	264.03	536.45	348.71	312.0	323.03	361.04	260.38	307.69	295.11	297.17	480.04	255.0	305.55	171.45	205.5	190.34	389.72	371.22	305.55	305.55	65.26	356.05	267.73	151.22	454.09	121.79	500.46	205.5	303.44	417.77	258.57	281.09	409.15	120.1	323.03	291.04	209.84	414.87	343.89	432.53	307.69	193.01	301.33	417.77	301.33	400.71	454.09	140.04	275.28	371.22	170.25	120.1	260.38	275.28	507.46	384.34	334.46	291.04	258.57	361.04	395.18	232.94	371.22	723.08	256.78	293.07	381.68	226.54
CNTN4	94.67	24.28	17.77	191.67	332.14	16.39	5.92	88.88	42.11	267.73	63.89	22.59	143.01	46.84	46.5	60.39	70.01	33.3	22.43	36.53	46.84	30.34	28.65	41.81	29.06	31.22	36.27	91.41	23.76	69.52	41.52	2.86	23.08	59.13	24.46	61.68	22.92	38.95	62.12	103.69	79.45	37.85	71.0	63.89	22.75	28.45	29.91	47.5	187.71	24.99	186.4	42.11	19.25	51.71	165.57	138.1	226.54	366.09	26.86	78.89	34.02	48.18	24.63	48.87	37.59	155.5	285.03	43.32	85.82	49.56	514.56	52.82	62.12	149.12	232.94	20.71	100.13	265.87	193.01
COCH	808.0	400.71	52.08	1277.29	470.14	12.74	25.17	429.54	228.13	1697.45	183.82	256.78	638.15	291.04	567.1	595.34	329.84	135.24	88.26	102.25	629.35	191.67	66.65	314.17	483.38	87.03	271.48	738.29	629.35	620.67	297.17	21.78	226.54	435.55	232.94	995.0	191.67	181.28	297.17	483.38	397.93	115.16	444.72	363.56	497.0	206.94	127.89	191.67	1427.22	381.68	1088.92	279.14	94.01	204.07	941.27	791.35	1605.83	693.58	954.43	167.9	177.53	267.73	59.13	295.11	283.05	1651.0	1417.35	703.28	1127.35	571.05	1242.34	232.94	642.59	642.59	1883.54	145.02	854.13	1651.0	2956.17
CRTC3	486.75	450.94	166.73	281.09	540.19	108.9	194.36	309.83	529.06	392.44	195.72	323.03	397.93	293.07	318.57	426.57	295.11	368.65	255.0	258.57	417.77	346.29	220.32	267.73	318.57	220.32	195.72	351.14	262.2	323.03	358.54	212.78	208.38	267.73	246.28	343.89	236.21	343.89	314.17	295.11	414.87	202.66	305.55	353.59	316.37	285.03	339.14	249.73	511.0	341.51	503.95	283.05	198.47	242.88	332.14	228.13	470.14	368.65	281.09	316.37	291.04	182.55	295.11	289.02	197.09	633.73	656.11	417.77	420.68	329.84	764.36	346.29	341.51	497.0	674.59	279.14	409.15	555.41	718.08
CRY2	555.41	656.11	171.45	599.49	748.61	264.03	507.46	387.02	483.38	532.74	769.69	587.13	551.56	511.0	444.72	796.86	397.93	738.29	371.22	603.67	813.63	346.29	417.77	351.14	486.75	420.68	406.31	785.88	395.18	620.67	629.35	373.81	323.03	579.04	379.04	466.88	599.49	454.09	403.5	769.69	651.58	414.87	579.04	884.29	339.14	599.49	525.39	547.75	660.68	651.58	759.08	669.92	346.29	540.19	575.03	444.72	748.61	866.07	500.46	629.35	563.18	435.55	543.96	384.34	470.14	921.88	813.63	743.43	791.35	1143.1	842.36	738.29	759.08	753.83	808.0	599.49	1143.1	785.88	688.78
CSNK1G1	120.1	59.55	48.87	75.64	157.68	58.3	59.97	69.03	78.34	143.01	69.52	80.57	167.9	66.18	79.45	93.35	85.82	71.5	90.14	98.04	71.5	66.65	64.8	82.87	103.69	78.89	65.72	124.37	112.77	87.65	129.69	59.55	51.71	68.55	58.3	148.09	72.52	83.45	71.5	61.25	123.5	70.01	117.6	88.26	68.07	77.79	135.24	70.01	113.56	82.29	161.02	94.01	60.39	83.45	129.69	73.03	133.36	132.44	56.68	101.54	100.13	61.68	67.12	80.57	69.52	143.01	112.77	100.13	143.01	77.25	116.78	93.35	95.34	119.26	145.02	60.82	90.14	84.63	104.42
DCLK1	94.01	47.17	5.15	198.47	187.71	3.41	4.39	47.84	42.71	223.41	14.03	46.84	171.45	28.24	49.91	127.89	24.46	55.49	14.03	32.36	32.13	67.12	16.51	23.59	47.17	27.25	26.47	46.5	18.03	61.25	26.67	3.99	22.1	33.3	35.0	115.16	16.63	101.54	30.56	41.22	94.67	40.36	37.59	56.68	16.27	20.11	26.47	23.42	79.45	10.71	231.32	24.28	13.62	61.68	138.1	47.5	209.84	27.25	10.47	19.39	22.1	72.01	15.91	26.1	15.11	141.02	159.9	54.33	96.01	52.82	260.38	108.9	51.35	147.06	234.57	69.03	76.17	163.28	212.78
DCTN2	4038.61	3955.48	2645.74	4298.64	4239.45	3325.99	2855.44	3146.52	3372.43	2209.26	3325.99	3540.14	4481.23	3325.99	3146.52	3280.18	5112.16	3716.2	2875.3	2609.3	3395.89	3540.14	2739.08	2796.65	2855.44	2645.74	2609.3	4388.98	3146.52	2485.67	2609.3	2367.9	3491.39	3039.3	3103.19	2895.31	3081.75	3325.99	3443.31	2855.44	4450.27	3303.0	2319.15	4123.49	3928.15	2591.27	3794.3	3124.78	4543.8	3280.18	4181.07	4010.71	3190.46	3716.2	2997.45	3235.01	2520.38	4937.99	2997.45	2777.33	2451.44	3665.02	2720.15	3124.78	3212.66	4328.55	5329.3	4152.18	3257.52	3847.29	4802.93	5006.93	4268.94	4671.57	5329.3	3928.15	3928.15	4769.75	5517.27
DENND5B	47.84	21.32	23.42	28.24	72.52	5.23	10.63	24.81	30.78	94.67	10.08	20.86	69.52	28.86	31.45	40.36	54.33	22.26	9.93	20.41	35.76	24.99	8.06	22.43	23.25	20.71	14.78	30.78	21.94	34.02	37.85	12.27	14.24	21.47	20.71	58.3	21.47	25.91	38.12	23.08	43.63	35.0	38.12	36.01	19.25	22.75	62.12	18.97	53.95	35.0	74.58	36.53	7.82	32.59	52.45	23.59	61.68	49.56	22.26	32.13	39.79	25.17	11.04	20.86	22.92	73.54	92.05	48.52	53.19	31.22	124.37	43.02	38.67	84.04	118.43	23.08	50.27	80.57	102.97
DGKE	102.97	48.18	46.18	68.55	100.83	30.34	42.41	64.8	48.87	127.89	52.82	57.49	70.01	66.18	66.65	77.79	73.54	97.36	36.53	38.4	70.51	53.95	55.1	57.08	68.07	46.5	53.57	61.68	77.79	88.26	70.51	32.82	53.57	66.65	29.48	98.04	55.49	76.17	76.17	92.05	40.36	56.28	90.77	70.51	32.36	36.79	102.25	58.3	70.51	64.8	127.0	62.12	40.36	58.71	78.89	38.4	117.6	128.79	56.68	82.29	46.18	65.72	62.12	58.71	57.89	128.79	132.44	85.22	116.78	84.04	142.01	75.11	92.7	125.24	120.94	62.56	96.01	104.42	102.97
DGKH	28.24	13.62	3.03	13.03	60.39	2.05	3.72	14.24	20.86	42.11	9.93	11.82	28.04	13.72	14.03	24.81	13.83	33.78	7.69	5.96	14.89	8.78	5.77	7.57	9.63	4.39	8.85	18.29	6.73	13.42	12.45	1.83	6.26	17.25	8.71	27.05	5.15	15.91	12.36	12.74	22.1	14.14	14.67	15.56	4.82	10.55	18.03	10.71	24.46	7.75	46.18	10.24	7.88	9.34	37.05	32.36	42.71	60.39	10.08	19.25	11.04	6.57	10.55	12.09	6.52	71.0	49.21	25.91	48.87	28.04	50.63	17.77	25.54	41.81	49.56	10.47	22.26	24.63	55.89
DIP2C	262.2	136.19	73.03	183.82	358.54	73.54	97.36	115.97	141.02	215.77	142.01	172.65	279.14	128.79	220.32	277.2	172.65	136.19	112.77	120.1	212.78	82.87	94.01	127.0	190.34	126.12	103.69	191.67	155.5	178.77	186.4	76.17	83.45	162.14	84.04	253.23	92.05	159.9	123.5	138.1	299.25	110.43	202.66	228.13	125.24	153.34	248.0	119.26	253.23	144.01	361.04	180.02	82.87	155.5	236.21	122.64	320.8	244.57	102.25	166.73	137.14	125.24	106.63	130.6	117.6	323.03	414.87	281.09	271.48	209.84	490.14	215.77	262.2	346.29	323.03	133.36	307.69	305.55	555.41
DOK6	64.8	8.51	22.75	58.71	65.72	0.88	3.72	24.28	4.66	85.22	4.06	7.51	15.45	9.41	11.04	28.04	13.72	7.88	42.41	8.71	10.63	9.06	11.3	4.35	20.56	6.16	5.92	11.3	31.45	18.29	8.92	0.58	5.73	9.41	5.59	40.64	2.51	9.63	10.63	7.34	38.67	9.78	19.68	39.79	6.94	6.36	6.21	23.08	68.07	12.0	33.3	5.06	3.99	4.31	21.32	42.71	72.01	10.47	3.56	7.88	8.25	4.9	4.31	5.06	9.27	56.28	37.85	9.56	27.44	12.0	51.71	17.0	12.36	23.08	39.22	13.22	21.01	32.36	29.48
EHD3	158.79	74.58	52.08	152.28	241.19	27.25	42.11	84.04	118.43	115.97	83.45	162.14	187.71	121.79	152.28	155.5	170.25	147.06	88.88	78.89	115.97	81.14	68.55	162.14	100.13	152.28	59.13	202.66	153.34	141.02	92.7	31.45	92.05	127.0	40.93	111.99	86.43	204.07	136.19	154.42	156.59	69.52	163.28	115.16	65.72	72.01	100.13	79.45	215.77	98.73	170.25	112.77	60.82	102.25	127.0	159.9	165.57	182.55	49.91	127.89	101.54	151.22	75.11	105.89	153.34	194.36	258.57	165.57	108.9	114.36	384.34	237.86	139.07	214.27	329.84	111.99	186.4	234.57	183.82
ELMSAN1	414.87	289.02	116.78	285.03	693.58	237.86	271.48	265.87	229.72	470.14	234.57	318.57	567.1	307.69	309.83	529.06	256.78	208.38	291.04	264.03	239.52	129.69	325.29	232.94	336.79	229.72	191.67	351.14	182.55	332.14	329.84	102.25	125.24	332.14	180.02	466.88	135.24	327.56	206.94	293.07	441.64	190.34	384.34	265.87	291.04	325.29	503.95	255.0	466.88	305.55	743.43	343.89	137.14	275.28	579.04	273.37	616.37	414.87	176.29	356.05	332.14	189.02	305.55	156.59	283.05	684.02	860.08	397.93	503.95	269.6	642.59	334.46	395.18	612.11	688.78	198.47	316.37	325.29	457.25
ERCC6-PGBD3	26.67	15.11	0.0	11.38	36.01	5.96	8.92	1.1	12.83	35.0	7.94	5.77	38.95	0.0	20.86	23.42	11.47	8.71	6.62	17.25	4.24	2.66	4.39	1.95	21.78	6.06	1.99	19.82	9.93	8.06	12.55	0.0	0.57	20.26	0.0	22.43	7.11	9.63	2.81	2.81	13.32	7.46	21.01	14.35	6.11	9.2	30.34	6.06	18.56	8.92	47.84	11.64	0.0	13.42	30.56	6.57	28.04	23.42	1.64	8.0	15.91	2.01	1.91	12.64	4.24	28.04	21.32	19.11	27.64	15.34	21.01	12.27	21.47	25.17	27.05	1.1	34.02	16.15	28.24
EVC	273.37	138.1	68.07	183.82	356.05	37.85	127.0	151.22	169.07	206.94	159.9	214.27	368.65	118.43	87.65	271.48	182.55	241.19	142.01	152.28	150.17	92.05	125.24	212.78	209.84	123.5	127.0	201.25	169.07	195.72	223.41	366.09	81.14	246.28	58.71	285.03	115.16	221.86	165.57	175.07	320.8	137.14	281.09	176.29	202.66	281.09	307.69	143.01	323.03	201.25	346.29	178.77	107.38	197.09	241.19	138.1	249.73	223.41	114.36	186.4	136.19	83.45	93.35	167.9	137.14	379.04	309.83	305.55	314.17	242.88	432.53	194.36	299.25	267.73	346.29	157.68	249.73	295.11	334.46
EXOC6B	262.2	130.6	97.36	176.29	297.17	80.57	117.6	155.5	114.36	258.57	151.22	143.01	253.23	171.45	171.45	189.02	180.02	172.65	109.66	155.5	202.66	118.43	104.42	143.01	158.79	111.99	110.43	183.82	186.4	177.53	208.38	95.34	90.77	154.42	105.89	248.0	120.94	199.85	180.02	132.44	287.01	147.06	182.55	165.57	104.42	129.69	220.32	128.79	253.23	158.79	255.0	153.34	120.1	128.79	201.25	137.14	267.73	209.84	147.06	182.55	176.29	105.89	126.12	125.24	103.69	312.0	312.0	229.72	246.28	197.09	353.59	204.07	244.57	287.01	325.29	156.59	205.5	275.28	361.04
FAM102B	132.44	40.36	27.44	86.43	152.28	13.83	17.0	59.97	55.49	146.03	83.45	80.57	128.79	65.72	103.69	159.9	94.67	98.73	37.59	51.71	68.55	41.81	56.68	57.49	74.58	86.43	39.5	104.42	82.29	142.01	91.41	49.21	40.64	90.77	31.9	145.02	83.45	107.38	140.04	100.13	151.22	97.36	140.04	82.29	46.5	63.45	101.54	37.85	131.51	134.3	115.97	107.38	37.05	67.12	146.03	33.3	205.5	103.69	88.26	81.71	98.04	56.28	81.14	76.71	53.95	226.54	205.5	127.0	175.07	104.42	234.57	120.94	94.01	161.02	218.79	72.01	154.42	159.9	297.17
FAM114A1	1225.22	665.29	703.28	796.86	1023.0	470.14	591.22	785.88	703.28	1561.89	412.0	890.44	995.0	738.29	656.11	928.3	872.1	830.75	738.29	988.12	836.53	543.96	616.37	493.56	981.29	884.29	679.29	909.17	842.36	1066.48	688.78	205.5	454.09	915.51	400.71	1073.91	323.03	1059.11	791.35	723.08	1769.57	679.29	928.3	934.76	555.41	500.46	1350.18	551.56	1008.9	791.35	1199.98	866.07	473.41	738.29	961.07	748.61	1104.13	1096.5	848.22	753.83	961.07	915.51	785.88	591.22	503.95	1191.69	1369.04	902.89	1159.07	802.41	1857.6	981.29	961.07	1457.23	1572.76	638.15	961.07	1268.46	1467.37
FAM193A	457.25	309.83	175.07	312.0	571.05	267.73	218.79	287.01	314.17	348.71	267.73	307.69	473.41	249.73	353.59	400.71	336.79	368.65	307.69	283.05	318.57	205.5	221.86	273.37	318.57	281.09	262.2	341.51	299.25	217.27	320.8	444.72	218.79	320.8	205.5	387.02	262.2	379.04	291.04	316.37	435.55	232.94	376.41	348.71	348.71	384.34	400.71	325.29	426.57	363.56	536.45	358.54	218.79	301.33	351.14	237.86	368.65	466.88	312.0	376.41	301.33	205.5	353.59	260.38	255.0	518.15	476.71	426.57	438.59	323.03	500.46	307.69	339.14	423.61	497.0	193.01	343.89	432.53	450.94
FBXO21	808.0	551.56	420.68	591.22	860.08	693.58	532.74	463.65	473.41	684.02	624.99	595.34	743.43	540.19	642.59	638.15	583.07	511.0	353.59	660.68	603.67	417.77	890.44	620.67	674.59	633.73	473.41	954.43	656.11	743.43	718.08	297.17	351.14	674.59	318.57	775.05	470.14	547.75	780.44	620.67	708.18	532.74	769.69	708.18	441.64	507.46	947.83	423.61	660.68	514.56	759.08	540.19	301.33	511.0	665.29	412.0	728.11	954.43	579.04	563.18	748.61	624.99	595.34	483.38	381.68	791.35	718.08	713.11	728.11	603.67	825.0	669.92	743.43	759.08	830.75	521.76	748.61	884.29	1313.23
GAREM	76.71	49.56	25.91	50.27	162.14	11.47	38.12	59.97	47.17	163.28	25.17	35.5	163.28	35.25	27.25	63.89	77.79	24.63	36.01	35.25	72.01	38.95	26.47	23.08	21.78	29.48	36.27	80.57	31.22	33.06	97.36	17.13	23.93	51.71	96.68	121.79	13.12	140.04	81.14	31.22	199.85	38.4	39.79	59.55	88.88	42.11	50.98	73.54	161.02	120.1	120.1	44.57	44.25	48.52	131.51	74.06	137.14	33.3	41.81	42.41	111.21	14.67	31.9	41.52	33.3	164.42	132.44	105.89	149.12	67.12	116.78	78.89	97.36	116.78	121.79	62.56	46.5	73.54	162.14
GATAD2B	232.94	119.26	100.13	148.09	234.57	106.63	111.99	145.02	148.09	208.38	133.36	136.19	194.36	153.34	138.1	159.9	170.25	101.54	126.12	136.19	162.14	99.43	98.73	156.59	145.02	138.1	122.64	167.9	135.24	153.34	194.36	74.06	90.77	147.06	105.15	244.57	109.66	165.57	143.01	127.0	195.72	151.22	175.07	157.68	115.97	154.42	198.47	139.07	181.28	148.09	228.13	167.9	105.89	117.6	205.5	139.07	221.86	269.6	139.07	157.68	141.02	97.36	147.06	120.1	115.16	226.54	249.73	204.07	199.85	133.36	267.73	153.34	177.53	208.38	258.57	109.66	141.02	193.01	244.57
GNA11	1073.91	1030.12	665.29	1268.46	1250.98	579.04	748.61	988.12	995.0	854.13	995.0	988.12	1143.1	1417.35	974.5	1369.04	836.53	848.22	1277.29	842.36	1427.22	909.17	860.08	836.53	1081.39	872.1	866.07	1111.82	842.36	947.83	1119.56	698.41	1135.2	1233.75	591.22	974.5	638.15	1135.2	854.13	947.83	1159.07	909.17	934.76	1143.1	941.27	1119.56	1073.91	884.29	1225.22	1096.5	1487.87	1159.07	1044.52	890.44	1044.52	748.61	1447.15	1304.15	995.0	981.29	830.75	896.64	954.43	974.5	941.27	1594.73	1397.83	1286.18	1286.18	1151.06	1685.71	1397.83	1277.29	1427.22	1208.34	921.88	1233.75	1216.75	1950.0
GNB1	4972.34	4575.41	3124.78	4671.57	5112.16	3419.52	3794.3	3820.7	3690.52	5076.84	3257.52	4152.18	4736.79	3716.2	4268.94	5366.37	3901.01	4268.94	3540.14	4268.94	4512.4	3467.27	3168.41	4239.45	4358.66	3955.48	3491.39	4639.29	3515.68	4239.45	4671.57	3665.02	3190.46	4937.99	3060.45	5255.91	3564.78	4671.57	3639.7	3515.68	5006.93	4972.34	4123.49	4769.75	3901.01	3124.78	4704.07	3874.05	4298.64	4123.49	4328.55	3928.15	3212.66	4010.71	4671.57	4298.64	5441.3	6426.31	3665.02	4123.49	4239.45	3564.78	3372.43	3589.58	3395.89	4010.71	4181.07	4639.29	4512.4	4298.64	4239.45	4038.61	5147.73	4543.8	4358.66	3928.15	4328.55	4769.75	5831.91
GPATCH2L	325.29	336.79	62.56	169.07	358.54	116.78	158.79	164.42	285.03	204.07	161.02	175.07	346.29	151.22	195.72	312.0	172.65	209.84	137.14	165.57	154.42	151.22	197.09	94.01	251.48	176.29	110.43	178.77	189.02	175.07	190.34	93.35	67.12	170.25	142.01	299.25	105.15	175.07	117.6	194.36	299.25	163.28	249.73	191.67	175.07	171.45	285.03	162.14	283.05	164.42	518.15	157.68	74.06	185.11	279.14	100.13	341.51	277.2	84.63	187.71	195.72	105.15	148.09	157.68	135.24	400.71	381.68	295.11	318.57	221.86	412.0	223.41	339.14	327.56	420.68	108.14	273.37	299.25	463.65
GPATCH8	334.46	223.41	88.88	236.21	493.56	162.14	176.29	194.36	221.86	249.73	167.9	220.32	297.17	164.42	264.03	327.56	234.57	228.13	181.28	253.23	229.72	125.24	142.01	202.66	191.67	165.57	142.01	236.21	223.41	177.53	267.73	141.02	113.56	246.28	111.21	392.44	119.26	241.19	193.01	212.78	289.02	153.34	269.6	226.54	153.34	167.9	371.22	189.02	327.56	248.0	429.54	260.38	131.51	236.21	297.17	120.94	271.48	339.14	159.9	273.37	195.72	114.36	187.71	163.28	155.5	447.82	441.64	395.18	384.34	277.2	414.87	226.54	293.07	353.59	497.0	156.59	368.65	412.0	660.68
GPRASP2	353.59	199.85	236.21	275.28	291.04	147.06	265.87	199.85	202.66	435.55	205.5	323.03	412.0	180.02	297.17	376.41	358.54	283.05	134.3	325.29	281.09	186.4	170.25	195.72	309.83	209.84	265.87	312.0	327.56	327.56	336.79	105.15	165.57	376.41	150.17	336.79	226.54	251.48	297.17	181.28	373.81	287.01	264.03	366.09	206.94	262.2	387.02	180.02	371.22	215.77	438.59	256.78	139.07	273.37	277.2	140.04	325.29	339.14	194.36	256.78	353.59	205.5	125.24	242.88	211.31	397.93	473.41	432.53	454.09	395.18	563.18	356.05	476.71	406.31	486.75	239.52	429.54	392.44	476.71
HNRNPUL1	2520.38	2335.28	1617.0	2537.92	3467.27	1216.75	1909.85	2061.24	1857.6	2502.97	1628.26	2335.28	2976.74	2075.59	2004.85	2417.67	2935.74	1697.45	1883.54	2255.7	2485.67	1617.0	1651.0	2573.36	1769.57	1870.53	1369.04	3039.3	2004.85	1883.54	2163.77	1498.22	1617.0	2061.24	1674.06	2720.15	1697.45	2104.58	1923.14	2224.63	2485.67	1857.6	2287.2	2855.44	1909.85	2178.83	2645.74	1757.34	2384.37	2319.15	3103.19	2434.5	1617.0	2271.4	2555.58	2701.35	2997.45	2895.31	2090.03	1757.34	1950.0	1781.89	1857.6	1447.15	2018.8	2835.7	2777.33	2537.92	2400.97	2004.85	2875.3	2384.37	2255.7	2682.69	3103.19	1781.89	2351.53	2573.36	4450.27
HNRNPUL2-BSCL2	642.59	503.95	435.55	624.99	693.58	473.41	438.59	429.54	435.55	529.06	426.57	543.96	693.58	403.5	559.28	540.19	743.43	624.99	336.79	684.02	511.0	255.0	242.88	536.45	500.46	297.17	376.41	587.13	612.11	497.0	567.1	387.02	511.0	629.35	232.94	607.87	486.75	599.49	551.56	463.65	738.29	460.44	460.44	559.28	536.45	599.49	684.02	444.72	688.78	555.41	775.05	612.11	521.76	599.49	507.46	540.19	567.1	638.15	579.04	320.8	571.05	389.72	281.09	285.03	575.03	595.34	587.13	567.1	591.22	532.74	571.05	599.49	503.95	647.07	599.49	218.79	638.15	490.14	785.88
IDS	1059.11	651.58	320.8	674.59	1242.34	358.54	447.82	536.45	612.11	1175.27	518.15	656.11	1233.75	599.49	698.41	802.41	848.22	708.18	525.39	551.56	599.49	444.72	363.56	409.15	660.68	395.18	490.14	796.86	616.37	759.08	743.43	275.28	341.51	656.11	392.44	1073.91	521.76	759.08	759.08	638.15	1427.22	591.22	860.08	713.11	536.45	521.76	1295.13	483.38	1216.75	642.59	1427.22	612.11	376.41	529.06	947.83	426.57	1397.83	1030.12	500.46	723.08	693.58	409.15	143.01	529.06	457.25	1781.89	1806.78	988.12	1286.18	890.44	2400.97	836.53	1119.56	1457.23	2119.22	543.96	1127.35	1167.14	2018.8
IKZF4	81.71	100.83	28.86	63.0	126.12	41.52	56.68	68.07	117.6	84.63	71.5	80.01	90.77	63.0	70.01	106.63	77.79	57.89	71.0	59.97	67.59	52.08	39.79	40.64	68.55	48.52	42.71	87.65	73.54	54.72	71.5	15.34	21.63	71.0	48.87	108.14	28.04	85.22	80.57	77.25	73.03	50.63	78.34	74.06	57.89	61.68	98.73	62.56	100.83	112.77	119.26	65.72	40.64	76.71	100.13	52.08	100.13	91.41	50.63	77.25	85.82	48.87	102.97	55.1	39.22	148.09	156.59	84.63	89.51	74.58	155.5	59.13	83.45	131.51	154.42	42.41	102.25	95.34	133.36
