	GTEX.QDVN.0826.SM.48TZ2	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZAB5.0426.SM.5CVMI	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.12KS4.1326.SM.5LUB3	GTEX.Q734.0326.SM.48U15	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.139TT.0726.SM.5K7XW	GTEX.148VI.0226.SM.5RQKA	GTEX.WHSB.0326.SM.5FQSD	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.13FTZ.0526.SM.5IJCW	GTEX.X5EB.0426.SM.46MVY	GTEX.13N11.0326.SM.5LUA3	GTEX.ZYY3.0926.SM.5E454	GTEX.OOBJ.0526.SM.48TDK	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QR.1026.SM.2I5GP	GTEX.147F4.0926.SM.5Q5EO	GTEX.V1D1.0826.SM.3P5ZA	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.YB5E.0726.SM.4VDSH	GTEX.X3Y1.0626.SM.3P5YS	GTEX.S33H.0626.SM.2XCBJ	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	GTEX.N7MT.0126.SM.2D7VT	GTEX.11GSP.0726.SM.5986L	GTEX.139T6.0426.SM.5IJEM	GTEX.12696.1026.SM.5FQUV	GTEX.QDT8.0926.SM.32PL2	GTEX.U3ZH.0526.SM.3DB75	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	GTEX.PX3G.0526.SM.2I3EM	GTEX.13FLV.0426.SM.5KLZA	GTEX.PLZ4.0726.SM.2TC6Q	GTEX.13QJ3.1026.SM.5QGQU	GTEX.OXRP.0526.SM.2I3EW	GTEX.Q734.0626.SM.2I3EF	GTEX.N7MS.0926.SM.2HMIZ	GTEX.UPIC.0826.SM.3GADQ	GTEX.XPVG.1026.SM.4B64Y	GTEX.SN8G.0926.SM.4DM5I	GTEX.1212Z.1026.SM.5EGJ8	GTEX.145MO.1326.SM.5Q5EF	GTEX.111VG.0726.SM.5GIDC	GTEX.11O72.1326.SM.5BC5A	GTEX.12KS4.0726.SM.5FQSX	GTEX.WK11.0526.SM.3NB3O	GTEX.SIU8.0926.SM.5SI87	GTEX.RTLS.0926.SM.2TF5X	GTEX.WYBS.1126.SM.3NMAM	GTEX.ZYVF.1726.SM.5E443	GTEX.OXRL.0526.SM.2I3EZ	GTEX.OIZG.0526.SM.2HMLF	GTEX.QMR6.1926.SM.32PL9	GTEX.13FHO.1026.SM.5KM1Q	GTEX.11OF3.1126.SM.5986C	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.11NUK.2426.SM.5BC4U	TCGA.AX.A2HD.11A.11R.A32Y.07	TCGA.FL.A1YV.11A.12R.A32Y.07	GTEX.RWS6.1326.SM.47JXB
LIPT2	63.0	19.82	31.67	71.5	18.7	23.25	27.44	23.42	53.19	48.87	48.87	59.97	24.46	0.0	88.26	84.04	9.27	11.47	24.11	111.21	92.05	30.78	103.69	0.0	12.64	28.45	60.39	38.4	98.04	82.87	37.05	38.12	37.32	34.26	24.46	17.25	76.17	65.72	49.21	52.45	32.13	8.38	84.04	35.0	25.35	34.26	12.36	47.17	9.06	55.89	88.26	26.47	24.81	14.89	18.29	16.63	25.91	59.13	31.67	35.25	24.28	27.44	77.25	57.49	97.36	34.75	0.0	12.83	25.72	71.5	75.64	87.03
MAGEF1	563.18	215.77	368.65	486.75	753.83	551.56	256.78	532.74	426.57	336.79	713.11	351.14	237.86	629.35	1540.37	1119.56	157.68	92.7	872.1	764.36	1023.0	447.82	896.64	571.05	283.05	400.71	688.78	723.08	555.41	684.02	1111.82	1023.0	651.58	591.22	406.31	103.69	860.08	599.49	260.38	796.86	651.58	258.57	2075.59	147.06	392.44	967.76	389.72	629.35	358.54	1242.34	723.08	532.74	218.79	466.88	198.47	234.57	387.02	808.0	177.53	435.55	316.37	460.44	551.56	884.29	285.03	660.68	536.45	181.28	208.38	1295.13	1467.37	1844.76
MCRS1	579.04	353.59	249.73	348.71	480.04	454.09	674.59	490.14	444.72	400.71	796.86	460.44	366.09	361.04	1605.83	896.64	397.93	327.56	890.44	1806.78	1304.15	417.77	1651.0	743.43	753.83	366.09	1572.76	954.43	1407.55	1286.18	1216.75	884.29	934.76	1159.07	934.76	780.44	1183.45	1350.18	1044.52	1313.23	1008.9	884.29	1594.73	684.02	1001.93	1277.29	947.83	1096.5	738.29	1628.26	1111.82	884.29	728.11	607.87	599.49	540.19	909.17	1594.73	802.41	967.76	698.41	1340.84	1096.5	1208.34	1159.07	1059.11	320.8	493.56	551.56	1233.75	1437.15	1359.57
MDP1	269.6	348.71	123.5	414.87	267.73	228.13	141.02	595.34	307.69	234.57	346.29	139.07	133.36	228.13	860.08	738.29	214.27	218.79	748.61	738.29	842.36	392.44	1208.34	285.03	463.65	178.77	854.13	656.11	1073.91	830.75	567.1	575.03	511.0	450.94	587.13	334.46	748.61	896.64	629.35	1135.2	587.13	251.48	878.17	165.57	450.94	743.43	647.07	500.46	232.94	884.29	669.92	525.39	387.02	363.56	412.0	406.31	555.41	647.07	217.27	698.41	514.56	688.78	872.1	583.07	616.37	341.51	145.02	329.84	246.28	878.17	860.08	1331.57
MED22	159.9	74.06	92.05	127.89	262.2	167.9	119.26	202.66	151.22	93.35	191.67	100.83	115.97	172.65	529.06	339.14	128.79	178.77	256.78	493.56	403.5	248.0	518.15	295.11	255.0	221.86	493.56	387.02	457.25	457.25	435.55	808.0	295.11	447.82	473.41	205.5	366.09	607.87	295.11	438.59	395.18	514.56	733.19	183.82	348.71	379.04	343.89	371.22	329.84	571.05	307.69	420.68	325.29	194.36	267.73	211.31	206.94	638.15	371.22	303.44	332.14	441.64	356.05	400.71	441.64	616.37	171.45	232.94	115.16	728.11	638.15	486.75
METTL13	551.56	371.22	555.41	384.34	460.44	591.22	417.77	291.04	423.61	454.09	403.5	551.56	373.81	163.28	473.41	473.41	226.54	126.12	395.18	503.95	514.56	253.23	540.19	438.59	423.61	147.06	555.41	587.13	529.06	511.0	684.02	620.67	441.64	353.59	412.0	193.01	511.0	536.45	441.64	599.49	376.41	246.28	688.78	151.22	429.54	371.22	587.13	708.18	307.69	514.56	514.56	343.89	320.8	318.57	193.01	265.87	426.57	417.77	156.59	438.59	312.0	423.61	642.59	497.0	320.8	368.65	242.88	153.34	113.56	679.29	595.34	884.29
MRPL43	995.0	1572.76	934.76	2351.53	1268.46	1757.34	896.64	2090.03	2061.24	1651.0	2400.97	1322.37	1697.45	769.69	2502.97	2287.2	612.11	759.08	2178.83	2178.83	2855.44	1594.73	3614.55	1066.48	1583.71	638.15	2451.44	1639.59	2915.45	2209.26	2434.5	1350.18	2240.11	1487.87	1605.83	1088.92	2240.11	2400.97	1617.0	3443.31	1781.89	1277.29	3235.01	981.29	1819.35	2835.7	1388.16	2163.77	591.22	2701.35	2090.03	2224.63	961.07	1127.35	2351.53	1135.2	1651.0	2720.15	1127.35	2303.12	1340.84	3190.46	1583.71	1923.14	2224.63	2417.67	529.06	1096.5	780.44	3081.75	3820.7	3515.68
MTHFSD	172.65	47.84	85.22	134.3	41.52	143.01	122.64	161.02	163.28	102.25	251.48	123.5	71.5	55.89	256.78	187.71	60.82	63.45	262.2	441.64	373.81	93.35	332.14	137.14	256.78	56.28	351.14	197.09	226.54	291.04	229.72	212.78	224.97	152.28	325.29	102.25	241.19	299.25	223.41	389.72	220.32	194.36	303.44	100.13	234.57	224.97	170.25	381.68	123.5	363.56	231.32	138.1	151.22	122.64	137.14	130.6	142.01	279.14	148.09	285.03	164.42	289.02	267.73	224.97	343.89	224.97	59.97	93.35	64.34	371.22	361.04	397.93
MVB12A	896.64	454.09	336.79	511.0	518.15	633.73	312.0	981.29	551.56	595.34	1111.82	603.67	616.37	480.04	1369.04	1304.15	334.46	503.95	1159.07	1781.89	1832.01	688.78	1628.26	432.53	518.15	267.73	1733.13	1143.1	2209.26	1359.57	988.12	1044.52	1030.12	848.22	1159.07	718.08	1216.75	1304.15	764.36	1242.34	1073.91	884.29	2032.85	417.77	1350.18	1167.14	872.1	1397.83	514.56	1477.58	1037.29	1397.83	954.43	753.83	759.08	414.87	825.0	1030.12	884.29	1081.39	1059.11	1313.23	1111.82	1183.45	830.75	1639.59	305.55	583.07	688.78	2645.74	1819.35	2090.03
NELFA	241.19	149.12	131.51	221.86	176.29	248.0	224.97	256.78	236.21	205.5	381.68	173.85	246.28	414.87	603.67	262.2	356.05	273.37	603.67	759.08	1001.93	476.71	775.05	323.03	624.99	265.87	567.1	397.93	466.88	656.11	403.5	226.54	389.72	287.01	571.05	334.46	384.34	728.11	343.89	791.35	389.72	551.56	540.19	348.71	392.44	486.75	536.45	616.37	387.02	633.73	320.8	255.0	457.25	229.72	532.74	309.83	281.09	733.19	295.11	503.95	346.29	587.13	450.94	353.59	214.27	470.14	371.22	273.37	265.87	954.43	1104.13	915.51
NELFB	486.75	264.03	267.73	457.25	346.29	503.95	343.89	555.41	660.68	412.0	733.19	450.94	514.56	400.71	961.07	1073.91	251.48	329.84	624.99	1183.45	967.76	486.75	1628.26	603.67	1183.45	371.22	1225.22	1250.98	896.64	1111.82	860.08	995.0	738.29	842.36	995.0	518.15	860.08	1023.0	417.77	988.12	791.35	703.28	1605.83	379.04	921.88	995.0	915.51	961.07	708.18	1250.98	974.5	981.29	723.08	371.22	559.28	466.88	688.78	1639.59	718.08	902.89	934.76	896.64	1268.46	1277.29	633.73	1143.1	285.03	511.0	289.02	1583.71	1350.18	1183.45
NHLRC1	86.43	54.72	61.68	47.84	10.55	39.79	77.79	94.01	51.35	52.45	112.77	164.42	21.47	7.63	70.51	68.55	4.86	3.44	36.01	57.89	62.12	13.03	49.21	10.39	14.89	5.77	71.0	52.45	69.52	62.56	31.22	36.27	64.8	5.5	48.87	12.45	60.39	48.18	57.89	52.45	18.03	7.75	83.45	7.51	37.59	55.1	13.03	48.87	6.21	82.87	54.72	13.42	7.82	15.8	4.06	24.28	12.18	35.0	14.89	25.17	19.11	14.35	88.26	53.95	63.0	17.64	10.63	11.47	0.66	55.89	46.84	78.89
NLRX1	226.54	137.14	152.28	178.77	98.04	102.25	214.27	135.24	193.01	191.67	312.0	228.13	64.8	63.0	299.25	389.72	63.89	55.1	167.9	432.53	273.37	81.71	389.72	140.04	226.54	31.67	346.29	289.02	332.14	476.71	281.09	258.57	314.17	269.6	249.73	70.51	325.29	327.56	182.55	303.44	307.69	209.84	507.46	117.6	264.03	271.48	212.78	316.37	85.22	420.68	329.84	185.11	171.45	204.07	118.43	88.26	177.53	336.79	122.64	273.37	169.07	279.14	480.04	361.04	223.41	353.59	16.39	125.24	159.9	599.49	279.14	423.61
NME6	417.77	215.77	110.43	223.41	236.21	229.72	231.32	314.17	244.57	191.67	318.57	217.27	167.9	162.14	507.46	423.61	206.94	113.56	325.29	460.44	543.96	232.94	466.88	246.28	358.54	63.45	473.41	438.59	483.38	447.82	483.38	447.82	417.77	273.37	518.15	226.54	429.54	500.46	473.41	454.09	312.0	204.07	547.75	204.07	409.15	450.94	363.56	536.45	220.32	514.56	457.25	301.33	255.0	297.17	229.72	239.52	400.71	447.82	241.19	438.59	327.56	420.68	476.71	346.29	389.72	356.05	146.03	228.13	224.97	346.29	480.04	540.19
NOSIP	890.44	733.19	819.3	1111.82	785.88	1540.37	954.43	1498.22	1259.69	1119.56	1378.57	1127.35	1044.52	967.76	1540.37	1397.83	769.69	780.44	1551.09	2061.24	1769.57	941.27	3018.3	738.29	934.76	915.51	2835.7	2163.77	1896.65	2018.8	1199.98	909.17	934.76	909.17	1127.35	1583.71	1407.55	1594.73	764.36	1572.76	1208.34	928.3	2555.58	733.19	1183.45	1745.2	1457.23	1378.57	1143.1	1936.53	1331.57	1583.71	842.36	497.0	753.83	1037.29	1242.34	2384.37	848.22	1427.22	1135.2	1143.1	1794.29	1936.53	743.43	1819.35	1225.22	674.59	507.46	2835.7	3491.39	4095.0
NSUN5	525.39	232.94	183.82	241.19	218.79	379.04	299.25	297.17	279.14	265.87	532.74	299.25	218.79	138.1	536.45	325.29	155.5	125.24	327.56	688.78	688.78	201.25	785.88	341.51	291.04	104.42	842.36	543.96	769.69	660.68	497.0	323.03	348.71	312.0	248.0	208.38	444.72	500.46	376.41	660.68	327.56	202.66	629.35	193.01	341.51	454.09	460.44	567.1	199.85	665.29	514.56	329.84	262.2	229.72	164.42	217.27	327.56	547.75	262.2	291.04	346.29	536.45	518.15	447.82	409.15	473.41	104.42	153.34	71.0	813.63	848.22	1127.35
NT5C	703.28	417.77	183.82	253.23	447.82	470.14	559.28	599.49	279.14	532.74	1066.48	293.07	202.66	591.22	1304.15	728.11	769.69	327.56	693.58	1369.04	1407.55	612.11	1583.71	587.13	466.88	316.37	2119.22	1183.45	2004.85	974.5	825.0	529.06	1088.92	1498.22	500.46	947.83	1081.39	1331.57	738.29	909.17	1477.58	1008.9	1572.76	688.78	599.49	1651.0	733.19	301.33	536.45	1551.09	1225.22	1242.34	665.29	579.04	759.08	341.51	1151.06	1651.0	753.83	718.08	842.36	1769.57	529.06	842.36	825.0	2303.12	223.41	414.87	842.36	1909.85	1832.01	1950.0
OXLD1	363.56	392.44	260.38	400.71	205.5	567.1	493.56	607.87	414.87	583.07	902.89	366.09	277.2	215.77	607.87	708.18	339.14	142.01	271.48	921.88	1167.14	476.71	669.92	267.73	181.28	143.01	954.43	518.15	1242.34	902.89	332.14	325.29	529.06	688.78	273.37	187.71	679.29	665.29	339.14	559.28	476.71	444.72	842.36	341.51	281.09	616.37	217.27	420.68	253.23	728.11	612.11	486.75	612.11	381.68	246.28	85.82	392.44	429.54	559.28	297.17	438.59	400.71	583.07	384.34	599.49	848.22	136.19	283.05	204.07	921.88	928.3	866.07
PATZ1	239.52	186.4	204.07	379.04	121.79	180.02	237.86	366.09	403.5	271.48	454.09	237.86	176.29	138.1	728.11	423.61	232.94	142.01	366.09	738.29	718.08	228.13	872.1	214.27	332.14	84.04	624.99	356.05	540.19	878.17	384.34	371.22	281.09	244.57	417.77	115.97	395.18	543.96	450.94	808.0	307.69	226.54	825.0	209.84	209.84	336.79	283.05	713.11	201.25	647.07	417.77	180.02	166.73	191.67	201.25	124.37	195.72	703.28	119.26	493.56	169.07	536.45	769.69	656.11	239.52	389.72	98.04	135.24	87.03	1268.46	1225.22	2090.03
PEX11B	587.13	454.09	454.09	791.35	293.07	540.19	450.94	400.71	607.87	555.41	684.02	638.15	312.0	435.55	842.36	961.07	348.71	185.11	368.65	909.17	974.5	346.29	866.07	371.22	269.6	273.37	830.75	547.75	1081.39	1037.29	497.0	540.19	543.96	909.17	514.56	429.54	921.88	813.63	693.58	878.17	909.17	532.74	896.64	543.96	363.56	493.56	285.03	629.35	438.59	884.29	872.1	387.02	669.92	595.34	301.33	271.48	497.0	486.75	688.78	441.64	332.14	476.71	884.29	713.11	693.58	559.28	341.51	674.59	253.23	775.05	974.5	802.41
PGAP3	486.75	555.41	450.94	507.46	423.61	470.14	529.06	607.87	547.75	525.39	723.08	518.15	403.5	173.85	1594.73	796.86	226.54	197.09	480.04	995.0	1096.5	129.69	808.0	181.28	414.87	178.77	854.13	500.46	967.76	1023.0	366.09	373.81	486.75	518.15	420.68	366.09	836.53	1081.39	624.99	536.45	518.15	406.31	1529.73	381.68	318.57	536.45	400.71	567.1	277.2	808.0	995.0	497.0	239.52	264.03	316.37	217.27	420.68	1037.29	412.0	647.07	395.18	660.68	1015.93	928.3	866.07	684.02	87.65	260.38	307.69	902.89	988.12	1639.59
PORCN	115.16	38.12	39.22	46.5	59.97	82.29	58.3	61.25	66.65	47.17	46.18	81.14	101.54	73.03	336.79	255.0	133.36	84.04	202.66	423.61	392.44	71.0	332.14	81.14	283.05	55.49	159.9	239.52	281.09	599.49	173.85	253.23	241.19	320.8	283.05	108.14	343.89	703.28	223.41	229.72	358.54	190.34	234.57	183.82	285.03	262.2	205.5	113.56	149.12	358.54	231.32	163.28	220.32	154.42	153.34	76.71	102.97	353.59	142.01	150.17	264.03	170.25	204.07	249.73	98.04	248.0	80.01	190.34	132.44	253.23	371.22	656.11
PRPF31	1208.34	591.22	854.13	836.53	1008.9	1030.12	802.41	995.0	684.02	947.83	1081.39	866.07	854.13	406.31	1487.87	1286.18	511.0	441.64	934.76	1551.09	1519.15	460.44	1331.57	429.54	808.0	529.06	1268.46	928.3	1151.06	1651.0	808.0	1001.93	769.69	1008.9	1001.93	890.44	1135.2	1286.18	665.29	1066.48	808.0	395.18	1498.22	521.76	947.83	830.75	1651.0	909.17	769.69	1295.13	902.89	595.34	551.56	693.58	473.41	466.88	854.13	1135.2	536.45	915.51	813.63	967.76	1175.27	1088.92	825.0	769.69	511.0	376.41	312.0	1721.16	1806.78	1417.35
R3HCC1	819.3	409.15	293.07	454.09	543.96	775.05	575.03	656.11	521.76	656.11	896.64	769.69	583.07	279.14	1159.07	896.64	423.61	420.68	738.29	775.05	753.83	366.09	1191.69	387.02	432.53	305.55	961.07	733.19	1001.93	1001.93	587.13	500.46	688.78	470.14	743.43	703.28	830.75	941.27	647.07	785.88	748.61	341.51	1286.18	571.05	813.63	1030.12	688.78	819.3	371.22	981.29	764.36	769.69	444.72	476.71	460.44	466.88	507.46	1037.29	373.81	769.69	457.25	470.14	909.17	1096.5	713.11	620.67	221.86	293.07	151.22	1225.22	1233.75	1605.83
RMND5B	624.99	351.14	403.5	454.09	409.15	607.87	429.54	450.94	409.15	346.29	500.46	460.44	339.14	262.2	713.11	780.44	226.54	301.33	753.83	941.27	759.08	395.18	1001.93	463.65	743.43	346.29	866.07	1143.1	718.08	688.78	974.5	718.08	511.0	457.25	802.41	438.59	854.13	813.63	356.05	642.59	559.28	397.93	802.41	291.04	1151.06	1023.0	961.07	796.86	514.56	842.36	848.22	802.41	483.38	392.44	444.72	624.99	571.05	1073.91	312.0	775.05	500.46	674.59	1044.52	1191.69	470.14	647.07	197.09	339.14	264.03	866.07	928.3	830.75
RNF135	237.86	113.56	127.89	161.02	34.02	283.05	148.09	258.57	173.85	166.73	224.97	80.57	146.03	140.04	743.43	607.87	267.73	102.97	384.34	909.17	785.88	204.07	723.08	351.14	587.13	114.36	796.86	532.74	896.64	647.07	500.46	441.64	480.04	466.88	483.38	151.22	785.88	921.88	684.02	738.29	536.45	303.44	780.44	256.78	384.34	511.0	329.84	633.73	241.19	842.36	620.67	387.02	281.09	318.57	187.71	145.02	320.8	432.53	392.44	414.87	392.44	307.69	559.28	518.15	684.02	429.54	112.77	166.73	80.01	483.38	514.56	497.0
RNF220	1427.22	536.45	633.73	896.64	607.87	872.1	1015.93	591.22	988.12	769.69	842.36	813.63	503.95	559.28	1605.83	1594.73	483.38	633.73	764.36	1487.87	1242.34	775.05	1467.37	947.83	1457.23	500.46	1605.83	1651.0	1709.26	1963.57	1417.35	1437.15	1175.27	1407.55	1051.79	872.1	1662.49	1896.65	1030.12	1286.18	1104.13	878.17	1806.78	743.43	1304.15	1088.92	1617.0	1208.34	791.35	1216.75	1628.26	1159.07	785.88	819.3	607.87	620.67	1008.9	1359.57	902.89	1322.37	941.27	1733.13	1757.34	1883.54	902.89	1096.5	521.76	728.11	551.56	1883.54	2287.2	2090.03
SAMD1	363.56	190.34	256.78	305.55	191.67	432.53	153.34	540.19	426.57	239.52	371.22	371.22	438.59	473.41	612.11	500.46	212.78	312.0	543.96	718.08	529.06	406.31	1001.93	713.11	642.59	224.97	748.61	698.41	571.05	693.58	780.44	1167.14	532.74	387.02	543.96	432.53	497.0	490.14	343.89	587.13	426.57	518.15	872.1	198.47	1066.48	830.75	567.1	896.64	547.75	819.3	595.34	529.06	447.82	285.03	417.77	651.58	624.99	780.44	363.56	525.39	854.13	624.99	733.19	954.43	256.78	607.87	595.34	312.0	244.57	1208.34	656.11	1159.07
SERP2	30.56	94.01	24.11	47.84	303.44	117.6	66.65	260.38	75.64	63.89	97.36	55.1	143.01	60.82	123.5	202.66	14.45	46.5	381.68	98.73	231.32	68.55	291.04	40.93	127.89	30.56	194.36	119.26	144.01	111.99	183.82	68.07	102.25	82.87	143.01	35.5	194.36	74.06	171.45	271.48	55.1	231.32	137.14	34.02	78.34	283.05	108.9	81.14	105.15	134.3	88.26	185.11	23.93	19.82	84.63	86.43	36.53	366.09	42.11	130.6	65.26	279.14	172.65	305.55	166.73	105.89	31.67	23.59	12.64	283.05	412.0	854.13
SLC25A21-AS1	10.47	1.03	2.41	14.56	1.28	3.92	6.11	8.25	12.93	11.3	37.59	7.4	0.0	5.63	98.04	95.34	16.88	9.34	60.39	67.59	120.1	27.25	85.82	79.45	76.71	5.32	80.57	39.22	84.63	77.79	85.82	56.68	54.72	41.52	87.03	9.78	63.45	81.71	237.86	108.9	82.87	34.02	66.65	17.51	53.95	110.43	25.54	41.52	11.47	111.21	77.79	82.29	31.0	89.51	28.24	37.32	18.7	96.01	12.83	135.24	52.82	98.73	86.43	37.85	122.64	209.84	0.53	18.29	6.21	111.99	246.28	293.07
SLC35C2	890.44	642.59	412.0	698.41	775.05	872.1	693.58	934.76	909.17	703.28	1051.79	620.67	547.75	356.05	1242.34	1407.55	616.37	536.45	890.44	1617.0	1447.15	503.95	1447.15	633.73	748.61	511.0	1340.84	915.51	1844.76	1447.15	703.28	638.15	941.27	1127.35	1135.2	647.07	1233.75	1340.84	995.0	1519.15	1268.46	1008.9	1477.58	878.17	748.61	1143.1	703.28	941.27	656.11	1487.87	1378.57	1044.52	775.05	674.59	698.41	412.0	947.83	1583.71	1216.75	854.13	693.58	1051.79	1268.46	1175.27	1508.65	1397.83	173.85	529.06	454.09	1378.57	1286.18	1277.29
SNAP47	332.14	336.79	275.28	612.11	316.37	363.56	318.57	432.53	540.19	289.02	417.77	371.22	366.09	267.73	500.46	543.96	228.13	175.07	463.65	417.77	486.75	312.0	748.61	253.23	336.79	271.48	567.1	450.94	603.67	718.08	521.76	532.74	540.19	334.46	450.94	314.17	476.71	435.55	376.41	503.95	323.03	435.55	796.86	234.57	343.89	441.64	551.56	679.29	307.69	563.18	454.09	303.44	218.79	273.37	197.09	260.38	341.51	493.56	181.28	409.15	339.14	289.02	532.74	638.15	204.07	493.56	299.25	258.57	165.57	915.51	1745.2	1378.57
SNTA1	193.01	139.07	171.45	277.2	98.04	90.14	170.25	381.68	159.9	198.47	325.29	237.86	166.73	140.04	307.69	384.34	65.26	242.88	167.9	559.28	346.29	173.85	387.02	180.02	206.94	130.6	412.0	189.02	363.56	460.44	87.65	162.14	264.03	251.48	412.0	147.06	275.28	473.41	102.97	435.55	353.59	217.27	656.11	191.67	361.04	567.1	153.34	244.57	229.72	215.77	309.83	483.38	253.23	185.11	260.38	143.01	209.84	332.14	165.57	397.93	457.25	181.28	563.18	351.14	70.01	336.79	120.1	187.71	78.34	708.18	490.14	279.14
SNX15	167.9	106.63	145.02	295.11	76.71	249.73	102.97	186.4	395.18	231.32	215.77	244.57	258.57	307.69	629.35	525.39	220.32	275.28	536.45	563.18	497.0	211.31	941.27	305.55	521.76	239.52	660.68	647.07	547.75	603.67	728.11	571.05	384.34	212.78	612.11	493.56	497.0	684.02	518.15	738.29	358.54	221.86	748.61	279.14	454.09	563.18	525.39	693.58	309.83	669.92	497.0	567.1	244.57	232.94	305.55	343.89	371.22	934.76	209.84	525.39	353.59	397.93	780.44	665.29	521.76	460.44	281.09	242.88	151.22	669.92	825.0	603.67
SNX21	120.1	146.03	102.25	202.66	65.26	120.94	96.68	211.31	205.5	195.72	224.97	152.28	104.42	269.6	432.53	660.68	204.07	217.27	603.67	896.64	1088.92	358.54	1208.34	246.28	152.28	191.67	599.49	463.65	409.15	842.36	753.83	423.61	559.28	470.14	974.5	232.94	854.13	708.18	177.53	1407.55	361.04	656.11	665.29	262.2	403.5	1397.83	264.03	438.59	256.78	1378.57	674.59	688.78	264.03	444.72	229.72	334.46	368.65	1111.82	106.63	638.15	759.08	591.22	703.28	878.17	267.73	688.78	638.15	241.19	204.07	934.76	796.86	947.83
SUV39H1	99.43	70.01	96.01	97.36	57.89	53.95	98.73	143.01	70.01	125.24	297.17	131.51	52.45	35.0	141.02	111.99	24.63	42.11	55.89	175.07	100.83	29.91	145.02	51.71	44.89	30.78	127.89	107.38	142.01	199.85	71.5	67.59	104.42	104.42	78.34	63.89	180.02	171.45	93.35	112.77	63.0	52.45	283.05	66.18	59.55	65.72	85.22	131.51	56.28	133.36	152.28	52.45	56.68	59.13	31.9	23.59	107.38	87.03	79.45	58.3	93.35	63.89	169.07	121.79	71.5	81.71	37.59	57.08	29.91	148.09	175.07	186.4
SWSAP1	68.07	72.01	67.59	62.56	66.65	82.29	52.82	69.52	79.45	84.63	92.05	104.42	44.57	25.17	85.82	75.11	27.64	27.84	42.11	111.21	91.41	20.11	88.26	24.99	30.34	18.29	103.69	55.49	92.05	91.41	43.02	53.57	53.57	58.3	52.45	23.59	94.67	64.8	79.45	90.14	50.27	44.89	81.71	29.91	40.36	64.34	37.59	60.82	36.53	84.63	78.89	43.94	42.71	21.94	41.22	12.36	40.64	60.39	52.08	44.89	44.25	58.71	78.34	66.18	50.98	51.71	11.91	23.59	11.82	114.36	93.35	74.58
TAB1	220.32	137.14	131.51	220.32	104.42	182.55	166.73	239.52	229.72	166.73	289.02	232.94	173.85	115.97	514.56	429.54	112.77	90.14	361.04	595.34	612.11	141.02	651.58	223.41	429.54	136.19	579.04	368.65	486.75	669.92	429.54	466.88	414.87	356.05	591.22	153.34	409.15	525.39	341.51	571.05	420.68	336.79	713.11	164.42	497.0	429.54	432.53	500.46	273.37	543.96	368.65	327.56	336.79	262.2	182.55	165.57	220.32	529.06	381.68	503.95	379.04	441.64	583.07	507.46	343.89	599.49	56.28	237.86	96.68	595.34	669.92	665.29
TBCC	303.44	163.28	193.01	221.86	101.54	183.82	159.9	281.09	206.94	246.28	316.37	223.41	82.29	224.97	409.15	486.75	143.01	121.79	289.02	563.18	616.37	209.84	642.59	218.79	241.19	135.24	532.74	387.02	764.36	642.59	426.57	363.56	414.87	195.72	256.78	202.66	493.56	387.02	339.14	426.57	361.04	258.57	532.74	177.53	265.87	435.55	226.54	490.14	157.68	536.45	511.0	228.13	237.86	217.27	165.57	237.86	406.31	423.61	262.2	258.57	323.03	277.2	457.25	256.78	287.01	320.8	265.87	163.28	155.5	669.92	753.83	718.08
TFAP4	103.69	84.04	24.63	92.05	60.39	71.0	154.42	93.35	87.65	48.87	166.73	92.7	77.25	64.8	164.42	143.01	82.29	27.05	115.97	194.36	173.85	97.36	172.65	98.04	167.9	36.53	224.97	128.79	127.89	183.82	154.42	158.79	99.43	80.01	167.9	32.82	107.38	215.77	148.09	183.82	80.57	67.59	178.77	39.22	94.01	119.26	121.79	164.42	65.72	201.25	122.64	68.55	71.5	66.65	63.45	49.21	74.58	249.73	60.82	77.79	112.77	229.72	135.24	117.6	129.69	125.24	29.91	73.54	23.25	525.39	679.29	780.44
