	TCGA.CW.5591.01A.01R.1541.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.BQ.5894.01A.11R.1592.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZYT6.0626.SM.5E45V	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.UPK5.1426.SM.4JBHH	GTEX.R53T.0326.SM.48FEC
MEX3C	540.19	283.05	381.68	656.11	224.97	551.56	361.04	497.0	454.09	476.71	262.2	571.05	353.59	633.73	414.87	503.95	409.15	215.77	103.69	234.57	129.69	65.26	156.59	104.42	81.14	114.36	303.44	165.57	129.69	95.34	152.28	152.28	139.07	145.02	115.97	130.6	93.35	126.12	84.04	191.67	211.31
MLK4	403.5	103.69	173.85	551.56	108.9	351.14	260.38	293.07	269.6	163.28	218.79	237.86	208.38	267.73	214.27	305.55	187.71	123.5	42.71	68.07	183.82	31.0	92.7	38.12	84.63	66.18	232.94	91.41	181.28	52.82	39.79	53.95	28.04	26.1	46.84	60.39	28.45	89.51	47.84	55.49	69.03
MR1	438.59	470.14	571.05	1088.92	759.08	500.46	432.53	470.14	518.15	363.56	563.18	808.0	713.11	429.54	595.34	490.14	587.13	239.52	88.26	371.22	148.09	218.79	224.97	105.89	114.36	171.45	129.69	414.87	114.36	265.87	241.19	113.56	363.56	180.02	218.79	111.21	423.61	291.04	123.5	242.88	400.71
MSN	11584.24	4903.87	4903.87	11424.74	6164.49	6561.36	4639.29	6607.01	7081.29	6516.03	4607.24	6294.04	4328.55	6121.9	5112.16	6516.03	5517.27	2835.7	511.0	2537.92	2451.44	1617.0	2319.15	1407.55	341.51	1322.37	3235.01	1697.45	860.08	595.34	1594.73	1697.45	1819.35	1561.89	1551.09	775.05	1857.6	1250.98	915.51	1639.59	1605.83
MTHFD1L	571.05	698.41	1508.65	665.29	559.28	540.19	500.46	595.34	981.29	1286.18	802.41	1477.58	521.76	718.08	246.28	395.18	884.29	258.57	57.49	77.79	150.17	46.18	108.14	36.01	17.25	17.0	178.77	42.11	25.91	82.29	37.32	87.65	17.9	102.25	52.45	51.71	38.12	41.22	58.71	54.33	44.57
MTPN	1844.76	1519.15	1175.27	3018.3	2400.97	1605.83	1572.76	2796.65	1191.69	2193.99	1794.29	1721.16	2520.38	2935.74	2163.77	2520.38	1583.71	769.69	212.78	571.05	555.41	277.2	791.35	1037.29	258.57	507.46	1044.52	688.78	525.39	289.02	896.64	279.14	587.13	591.22	551.56	414.87	638.15	490.14	186.4	409.15	825.0
MVP	7230.1	4671.57	10585.95	5594.3	8658.09	9409.14	6250.56	5441.3	4450.27	6079.61	6337.83	4543.8	8901.53	5219.6	12589.08	5329.3	6983.79	2384.37	1127.35	2485.67	1769.57	1487.87	1250.98	647.07	291.04	1950.0	1963.57	1295.13	1183.45	638.15	1427.22	1617.0	1883.54	1781.89	2004.85	1508.65	1662.49	1529.73	947.83	2384.37	1572.76
NAV3	36.53	4.66	21.16	98.73	58.71	44.89	35.0	5.92	6.67	100.13	38.4	28.04	85.82	22.1	23.59	70.51	47.5	81.14	1.33	29.06	1.11	2.68	17.77	3.72	1.07	5.11	7.57	14.14	3.08	1.64	3.72	0.19	14.14	0.72	1.43	2.43	14.03	0.92	32.59	1.71	3.5
NEDD1	309.83	134.3	148.09	256.78	141.02	173.85	171.45	201.25	182.55	214.27	169.07	198.47	285.03	231.32	173.85	191.67	156.59	120.1	21.94	90.14	45.53	45.21	114.36	116.78	34.02	73.54	108.14	90.77	79.45	26.86	76.71	61.68	84.04	69.03	52.08	45.21	53.57	44.89	39.79	84.63	66.18
NOTCH2	775.05	1447.15	842.36	2816.11	723.08	1721.16	1096.5	1781.89	493.56	607.87	842.36	921.88	848.22	2148.82	802.41	1832.01	1757.34	316.37	128.79	497.0	384.34	241.19	314.17	961.07	146.03	236.21	231.32	633.73	318.57	221.86	500.46	182.55	323.03	299.25	961.07	299.25	555.41	483.38	99.43	244.57	656.11
NRP1	5292.48	2520.38	1127.35	5219.6	2090.03	3540.14	2075.59	2451.44	3874.05	1639.59	1639.59	3794.3	2645.74	3419.52	1832.01	4358.66	3039.3	1286.18	251.48	1277.29	967.76	483.38	866.07	463.65	180.02	503.95	1111.82	708.18	299.25	197.09	688.78	435.55	406.31	647.07	684.02	454.09	638.15	830.75	555.41	674.59	473.41
OPTN	1963.57	1844.76	1617.0	1508.65	1175.27	1605.83	1617.0	1519.15	1697.45	1794.29	1487.87	1651.0	1508.65	1572.76	718.08	1388.16	1745.2	1487.87	728.11	921.88	1605.83	995.0	1242.34	866.07	718.08	450.94	1639.59	928.3	587.13	921.88	884.29	1487.87	836.53	1044.52	988.12	638.15	947.83	988.12	1427.22	947.83	1225.22
PAQR7	647.07	299.25	507.46	647.07	457.25	764.36	384.34	543.96	339.14	368.65	679.29	638.15	371.22	571.05	808.0	698.41	409.15	161.02	48.52	201.25	68.07	180.02	41.22	39.79	356.05	142.01	56.68	187.71	158.79	75.64	140.04	116.78	78.34	68.55	141.02	72.01	218.79	166.73	176.29	110.43	107.38
PFKFB3	1143.1	2627.46	2178.83	5872.48	2400.97	1561.89	866.07	1350.18	4769.75	1594.73	915.51	6381.92	1467.37	1286.18	229.72	2193.99	8658.09	651.58	214.27	785.88	117.6	61.25	94.01	1175.27	137.14	249.73	115.97	191.67	55.1	105.89	90.14	218.79	260.38	291.04	764.36	674.59	142.01	195.72	336.79	224.97	51.35
PHACTR4	493.56	305.55	423.61	503.95	309.83	420.68	348.71	392.44	262.2	332.14	376.41	356.05	305.55	473.41	447.82	435.55	327.56	323.03	163.28	256.78	208.38	214.27	217.27	197.09	248.0	229.72	275.28	209.84	205.5	142.01	305.55	128.79	215.77	237.86	275.28	241.19	208.38	251.48	194.36	155.5	164.42
PIGS	2075.59	1745.2	1457.23	2537.92	1407.55	1745.2	2004.85	2351.53	2335.28	1051.79	2835.7	2468.49	1295.13	2255.7	2609.3	3060.45	1745.2	514.56	164.42	890.44	173.85	258.57	173.85	323.03	194.36	409.15	202.66	295.11	325.29	113.56	387.02	180.02	158.79	297.17	559.28	237.86	318.57	483.38	162.14	307.69	91.41
PLBD2	802.41	647.07	836.53	1498.22	733.19	743.43	493.56	688.78	748.61	872.1	616.37	1088.92	947.83	688.78	830.75	954.43	1073.91	483.38	271.48	463.65	603.67	473.41	353.59	620.67	343.89	454.09	497.0	551.56	368.65	376.41	633.73	441.64	414.87	555.41	571.05	457.25	438.59	444.72	320.8	400.71	579.04
PLOD2	872.1	4123.49	1277.29	8479.89	2319.15	1427.22	1594.73	1806.78	3564.78	2255.7	1437.15	2537.92	2367.9	1551.09	1268.46	2451.44	2816.11	884.29	536.45	384.34	878.17	287.01	665.29	1216.75	567.1	412.0	1487.87	638.15	470.14	497.0	389.72	591.22	896.64	490.14	297.17	351.14	336.79	435.55	466.88	514.56	400.71
PLXDC2	819.3	684.02	713.11	1088.92	543.96	954.43	583.07	511.0	212.78	612.11	447.82	995.0	1015.93	514.56	684.02	599.49	551.56	208.38	17.9	397.93	21.47	22.26	90.77	98.04	27.64	129.69	18.56	92.05	23.76	8.45	42.71	18.43	36.79	48.52	87.03	16.15	118.43	74.06	64.34	53.57	25.17
PNMA1	1250.98	1159.07	1143.1	2004.85	1111.82	915.51	674.59	1001.93	1096.5	1250.98	921.88	1167.14	444.72	1096.5	780.44	1225.22	1127.35	301.33	29.7	285.03	109.66	56.68	97.36	153.34	14.78	81.14	119.26	142.01	49.21	19.25	84.04	65.72	115.16	82.29	67.59	36.79	78.34	91.41	54.72	80.01	96.01
POGK	529.06	463.65	406.31	967.76	353.59	507.46	638.15	974.5	295.11	518.15	543.96	529.06	476.71	866.07	476.71	708.18	435.55	316.37	121.79	343.89	262.2	97.36	239.52	351.14	91.41	226.54	343.89	224.97	147.06	64.34	185.11	237.86	145.02	140.04	148.09	186.4	155.5	167.9	112.77	204.07	253.23
PRRC2C	1119.56	1023.0	1096.5	1651.0	1044.52	1617.0	1066.48	1628.26	1111.82	1066.48	1088.92	1844.76	1397.83	1350.18	1199.98	1628.26	1487.87	988.12	361.04	563.18	540.19	332.14	616.37	674.59	285.03	376.41	961.07	555.41	376.41	285.03	660.68	323.03	669.92	518.15	525.39	450.94	463.65	769.69	414.87	334.46	389.72
PSEN1	1437.15	1037.29	1191.69	1529.73	802.41	1369.04	1030.12	1151.06	967.76	780.44	1183.45	1540.37	718.08	1397.83	1183.45	1159.07	988.12	536.45	305.55	463.65	409.15	406.31	633.73	616.37	346.29	543.96	674.59	543.96	575.03	460.44	638.15	429.54	642.59	521.76	532.74	543.96	559.28	486.75	312.0	511.0	555.41
PTPN1	1135.2	1059.11	1498.22	1268.46	860.08	974.5	961.07	947.83	813.63	1044.52	1216.75	928.3	1457.23	1551.09	1883.54	854.13	1487.87	457.25	215.77	353.59	246.28	229.72	269.6	384.34	211.31	305.55	325.29	239.52	201.25	183.82	214.27	232.94	318.57	283.05	297.17	205.5	220.32	293.07	205.5	201.25	187.71
PTPRG	878.17	547.75	269.6	1088.92	400.71	688.78	293.07	529.06	595.34	376.41	387.02	638.15	389.72	591.22	454.09	595.34	796.86	277.2	48.52	131.51	101.54	102.25	167.9	239.52	58.71	123.5	144.01	89.51	54.33	36.79	102.97	31.45	122.64	119.26	201.25	82.87	100.13	103.69	48.18	45.53	102.97
RAB11FIP5	1340.84	813.63	1127.35	1896.65	651.58	1127.35	896.64	878.17	1030.12	1340.84	1242.34	525.39	896.64	1066.48	743.43	1242.34	941.27	255.0	99.43	346.29	206.94	208.38	117.6	103.69	108.14	283.05	214.27	262.2	126.12	29.48	173.85	199.85	204.07	164.42	137.14	224.97	120.1	152.28	93.35	186.4	204.07
RAB3D	224.97	796.86	780.44	836.53	612.11	486.75	356.05	397.93	336.79	830.75	334.46	500.46	429.54	429.54	265.87	551.56	764.36	53.19	7.75	106.63	106.63	8.32	10.63	35.25	20.71	25.72	6.21	51.35	33.78	18.29	25.72	39.22	19.11	13.42	32.36	6.11	20.71	44.25	4.54	25.17	26.47
RAPGEF5	559.28	159.9	214.27	420.68	241.19	314.17	208.38	194.36	525.39	312.0	195.72	336.79	587.13	500.46	281.09	395.18	285.03	373.81	54.72	211.31	60.39	57.08	163.28	83.45	77.25	94.67	88.26	166.73	103.69	59.13	73.54	81.14	187.71	155.5	100.13	73.03	58.3	167.9	281.09	94.01	95.34
RASGRP1	248.0	32.36	69.52	95.34	138.1	88.26	102.25	20.86	115.97	90.14	59.13	177.53	170.25	120.1	48.87	111.21	198.47	35.0	2.23	53.95	9.41	9.48	6.94	4.62	13.42	11.3	5.73	28.45	9.48	19.82	18.03	7.22	17.9	0.22	10.96	3.72	7.82	6.94	8.38	19.68	19.11
RASSF8	454.09	224.97	178.77	441.64	143.01	236.21	173.85	260.38	157.68	209.84	159.9	303.44	341.51	343.89	242.88	246.28	234.57	115.16	39.5	167.9	57.08	39.79	186.4	113.56	18.03	77.79	110.43	50.27	14.14	23.08	88.26	50.63	28.65	20.26	45.85	41.52	35.0	59.55	54.72	41.22	23.08
RHBDF2	435.55	890.44	878.17	1417.35	638.15	738.29	988.12	819.3	525.39	1096.5	902.89	813.63	629.35	884.29	775.05	1388.16	866.07	447.82	56.28	450.94	177.53	145.02	65.72	49.91	74.58	94.67	117.6	102.97	81.71	51.35	86.43	88.26	149.12	63.0	97.36	44.25	116.78	105.15	96.68	108.14	48.87
RIMKLA	80.57	161.02	81.14	285.03	173.85	85.22	102.25	151.22	144.01	31.22	105.15	38.67	84.04	111.21	180.02	61.68	115.97	5.87	0.6	2.03	0.45	0.39	0.48	0.0	3.99	1.04	0.0	8.71	8.78	2.53	1.31	1.57	0.52	0.0	0.0	4.13	2.2	1.43	0.41	4.74	8.78
RNF149	791.35	884.29	1388.16	1183.45	1331.57	954.43	1044.52	1175.27	1662.49	2133.97	1104.13	1697.45	961.07	1135.2	728.11	1143.1	981.29	902.89	567.1	660.68	406.31	525.39	466.88	493.56	366.09	361.04	497.0	503.95	429.54	660.68	429.54	395.18	480.04	595.34	397.93	490.14	371.22	497.0	878.17	693.58	303.44
SEC14L6	172.65	599.49	1088.92	2609.3	279.14	473.41	674.59	1225.22	947.83	1159.07	1008.9	981.29	802.41	595.34	616.37	536.45	909.17	47.84	3.14	72.52	22.1	0.0	0.45	1.1	3.82	6.36	2.03	24.28	6.26	1.79	4.46	0.16	14.24	0.92	2.07	0.0	2.53	15.56	4.7	1.91	0.55
SIM1	209.84	131.51	118.43	301.33	69.52	191.67	177.53	105.89	190.34	109.66	107.38	43.63	71.0	229.72	65.26	258.57	140.04	1.14	1.81	0.0	1.6	0.0	2.92	14.35	0.59	0.0	0.57	0.65	0.0	1.41	1.73	1.33	0.0	11.13	85.82	0.0	14.24	15.22	0.58	2.53	0.48
SLC15A4	540.19	743.43	842.36	802.41	395.18	540.19	713.11	674.59	1104.13	764.36	595.34	1001.93	718.08	813.63	525.39	595.34	660.68	457.25	224.97	299.25	193.01	194.36	289.02	262.2	214.27	237.86	267.73	271.48	303.44	281.09	260.38	202.66	327.56	237.86	204.07	255.0	191.67	275.28	457.25	260.38	295.11
SLC16A4	3639.7	785.88	1806.78	3639.7	1044.52	2032.85	941.27	1233.75	759.08	878.17	2148.82	3280.18	2720.15	1175.27	2591.27	753.83	1135.2	108.9	130.6	336.79	50.63	214.27	119.26	44.25	674.59	47.17	22.75	72.52	205.5	81.71	148.09	73.54	214.27	42.41	182.55	389.72	283.05	836.53	59.13	85.22	312.0
SLC35F2	435.55	693.58	281.09	1008.9	624.99	579.04	444.72	647.07	231.32	738.29	476.71	791.35	518.15	441.64	228.13	414.87	669.92	35.5	2.63	29.48	5.92	8.38	15.0	3.63	1.14	12.83	10.71	40.93	10.96	2.68	14.24	17.25	3.56	3.23	6.16	4.1	15.56	1.5	4.74	3.56	5.23
SLC36A4	262.2	228.13	208.38	486.75	220.32	212.78	178.77	249.73	195.72	176.29	202.66	190.34	182.55	206.94	136.19	204.07	189.02	116.78	48.52	99.43	221.86	76.17	205.5	264.03	46.5	134.3	197.09	102.97	146.03	45.85	109.66	81.14	86.43	158.79	151.22	153.34	57.89	110.43	60.82	90.14	152.28
SLC39A1	3257.52	5112.16	3742.05	3124.78	3235.01	3589.58	4066.71	3847.29	3212.66	3349.13	4210.15	4736.79	2997.45	4268.94	2777.33	4123.49	4239.45	2303.12	1208.34	1617.0	2319.15	1359.57	954.43	1437.15	1183.45	1540.37	2148.82	1519.15	1427.22	1135.2	1369.04	1427.22	1651.0	1216.75	1628.26	1487.87	1295.13	1437.15	1030.12	1651.0	1340.84
SLC4A7	183.82	279.14	157.68	551.56	878.17	157.68	129.69	165.57	241.19	151.22	228.13	287.01	228.13	241.19	99.43	197.09	368.65	87.03	19.97	57.89	23.25	6.73	49.56	83.45	11.3	37.85	78.34	60.39	14.67	7.94	40.64	8.85	38.95	24.28	38.4	28.86	9.2	43.32	14.35	26.1	31.0
SMARCC1	1044.52	599.49	551.56	1143.1	473.41	738.29	500.46	571.05	521.76	928.3	450.94	698.41	624.99	708.18	642.59	764.36	587.13	381.68	139.07	341.51	208.38	172.65	447.82	271.48	124.37	258.57	376.41	303.44	223.41	167.9	387.02	253.23	291.04	279.14	178.77	314.17	273.37	255.0	173.85	163.28	249.73
SOX4	1963.57	2224.63	305.55	2682.69	432.53	1832.01	1936.53	2400.97	954.43	1268.46	1088.92	1001.93	1277.29	1991.0	2047.0	1583.71	1242.34	275.28	25.35	457.25	61.25	29.91	38.95	76.17	18.84	23.76	21.63	66.65	21.78	24.28	38.12	31.67	27.84	9.27	16.63	10.88	28.65	51.71	67.59	35.76	16.27
SPTLC2	872.1	567.1	660.68	1143.1	392.44	476.71	563.18	595.34	728.11	511.0	624.99	967.76	253.23	830.75	470.14	679.29	358.54	161.02	44.57	215.77	141.02	135.24	157.68	170.25	58.3	126.12	122.64	132.44	82.29	52.45	159.9	112.77	134.3	115.97	111.99	94.67	115.16	123.5	64.34	116.78	132.44
SSH2	409.15	660.68	656.11	1088.92	447.82	764.36	813.63	1023.0	309.83	536.45	764.36	896.64	518.15	988.12	723.08	995.0	563.18	279.14	273.37	301.33	169.07	470.14	116.78	275.28	316.37	420.68	139.07	318.57	293.07	212.78	303.44	348.71	373.81	277.2	215.77	229.72	285.03	281.09	231.32	305.55	293.07
TANC2	303.44	220.32	215.77	1331.57	457.25	181.28	159.9	193.01	387.02	197.09	198.47	693.58	201.25	339.14	161.02	447.82	193.01	36.53	4.86	25.35	14.24	10.16	4.24	5.06	14.24	7.0	3.72	8.38	6.31	0.19	8.13	12.0	5.63	9.48	4.98	0.92	8.0	2.97	91.41	18.16	5.5
TBC1D16	808.0	819.3	273.37	1477.58	1183.45	698.41	277.2	748.61	928.3	884.29	1199.98	1127.35	400.71	708.18	289.02	2018.8	1407.55	165.57	72.01	102.25	120.1	88.88	93.35	194.36	81.14	90.77	55.49	96.68	114.36	70.01	64.34	77.25	92.7	224.97	155.5	42.41	72.52	74.58	42.41	88.26	92.7
TCP11L1	209.84	115.97	275.28	291.04	177.53	169.07	115.97	133.36	262.2	158.79	122.64	253.23	190.34	178.77	133.36	180.02	167.9	127.89	60.82	75.64	73.54	46.5	102.97	56.68	37.59	78.89	74.06	77.25	49.91	81.71	62.56	67.59	82.87	77.79	80.57	122.64	36.01	61.25	50.63	52.82	61.25
TGFA	343.89	728.11	2417.67	4512.4	1023.0	1159.07	802.41	769.69	3847.29	4038.61	718.08	3018.3	1427.22	1008.9	363.56	1088.92	713.11	98.04	29.7	163.28	49.91	17.77	157.68	43.32	36.01	36.53	36.79	67.59	13.72	1.93	223.41	92.05	21.63	87.65	223.41	118.43	146.03	35.0	31.0	57.49	66.18
TGFBRAP1	346.29	209.84	229.72	373.81	285.03	343.89	246.28	320.8	191.67	269.6	305.55	269.6	273.37	334.46	244.57	403.5	334.46	135.24	48.52	123.5	56.68	56.28	84.63	98.04	37.59	82.29	107.38	103.69	70.01	43.32	94.67	59.55	68.55	77.25	50.27	59.13	94.01	84.04	55.89	67.12	89.51
TNFAIP6	31.0	1447.15	693.58	1757.34	29.7	332.14	1883.54	518.15	29.06	890.44	2319.15	177.53	1769.57	1037.29	96.68	890.44	954.43	21.47	0.62	8.45	16.63	6.84	4.78	10.24	0.32	1.36	32.36	0.39	0.0	3.2	5.92	0.0	0.99	17.9	0.0	0.91	0.0	0.0	0.85	0.27	5.87
TNFRSF10C	146.03	836.53	301.33	493.56	872.1	251.48	438.59	647.07	890.44	718.08	236.21	320.8	144.01	642.59	587.13	738.29	480.04	78.89	8.19	64.34	43.63	20.71	15.56	22.43	24.99	8.92	37.05	15.34	42.11	14.14	47.17	29.7	30.56	11.91	19.25	7.11	20.11	72.52	68.07	21.94	12.55
TNFSF9	74.06	525.39	262.2	511.0	173.85	147.06	208.38	241.19	74.58	190.34	157.68	309.83	327.56	134.3	150.17	98.04	249.73	23.59	2.48	22.1	4.74	0.79	2.12	0.91	3.96	1.33	3.82	1.51	3.38	22.1	2.18	2.84	3.56	3.35	3.11	2.71	2.16	3.03	12.09	0.77	0.0
UBAP1	1369.04	1015.93	1304.15	1286.18	981.29	934.76	1073.91	1167.14	1167.14	1674.06	1073.91	1427.22	941.27	1008.9	796.86	1001.93	1340.84	884.29	872.1	674.59	521.76	718.08	684.02	1073.91	703.28	693.58	860.08	896.64	954.43	603.67	995.0	679.29	902.89	607.87	723.08	819.3	872.1	796.86	791.35	961.07	1127.35
UBASH3B	77.25	236.21	117.6	693.58	320.8	223.41	78.34	121.79	136.19	392.44	214.27	109.66	154.42	285.03	72.52	318.57	244.57	36.53	1.25	57.49	70.01	12.93	8.0	23.76	8.25	27.84	49.91	23.59	11.73	7.17	57.08	8.06	18.56	3.99	74.06	4.03	18.56	25.54	8.13	16.27	16.03
UXS1	1277.29	1909.85	1561.89	4575.41	1674.06	1030.12	1617.0	1359.57	1322.37	2004.85	1175.27	2835.7	1015.93	1407.55	1073.91	1259.69	1662.49	476.71	153.34	366.09	356.05	241.19	262.2	323.03	112.77	249.73	301.33	403.5	275.28	277.2	363.56	271.48	336.79	262.2	231.32	281.09	305.55	256.78	212.78	351.14	400.71
VAV3	1331.57	595.34	1769.57	2573.36	1304.15	1081.39	1066.48	1286.18	1066.48	1191.69	1127.35	1447.15	1191.69	1119.56	1407.55	1127.35	764.36	153.34	4.35	325.29	36.01	55.1	57.49	42.41	13.52	60.39	64.8	96.01	41.52	3.96	53.57	14.14	8.99	21.47	55.49	4.98	67.12	191.67	15.56	50.63	11.04
WWTR1	1909.85	1001.93	1111.82	2956.17	1233.75	2520.38	1551.09	1923.14	2119.22	2148.82	1242.34	1359.57	1870.53	1757.34	1216.75	1963.57	1088.92	733.19	135.24	884.29	486.75	217.27	303.44	176.29	140.04	145.02	890.44	323.03	118.43	193.01	547.75	218.79	260.38	94.01	116.78	103.69	244.57	400.71	463.65	253.23	153.34
YBX3	5255.91	8901.53	14262.1	9474.59	6079.61	6935.54	9474.59	7485.11	9215.48	12676.65	6607.01	14461.21	7642.41	7589.61	4419.52	7749.1	8718.32	2287.2	170.25	902.89	1096.5	599.49	1639.59	463.65	316.37	384.34	1572.76	438.59	236.21	104.42	186.4	718.08	616.37	536.45	287.01	109.66	476.71	603.67	373.81	1081.39	100.13
YWHAG	2303.12	1427.22	2133.97	3491.39	1572.76	1359.57	2178.83	2224.63	1709.26	2796.65	1977.24	2178.83	2609.3	2417.67	2555.58	2163.77	1781.89	1417.35	669.92	836.53	928.3	587.13	1259.69	1594.73	713.11	743.43	1378.57	1015.93	748.61	723.08	860.08	1073.91	1001.93	836.53	802.41	813.63	967.76	651.58	723.08	878.17	1225.22
ZDHHC5	1295.13	1447.15	1733.13	2240.11	1286.18	1295.13	1191.69	1457.23	1051.79	1437.15	1233.75	2047.0	1208.34	1388.16	1104.13	1397.83	1397.83	780.44	567.1	616.37	890.44	587.13	571.05	753.83	447.82	642.59	813.63	493.56	432.53	476.71	665.29	559.28	674.59	591.22	733.19	547.75	624.99	507.46	497.0	713.11	633.73
ZNFX1	633.73	305.55	376.41	698.41	460.44	497.0	242.88	325.29	490.14	547.75	343.89	387.02	503.95	669.92	466.88	547.75	507.46	242.88	79.45	301.33	185.11	226.54	258.57	182.55	108.9	181.28	295.11	214.27	149.12	82.29	246.28	139.07	220.32	155.5	153.34	124.37	209.84	193.01	116.78	177.53	150.17
