	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.CC.A7IE.01A.21R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.UB.A7MF.01A.11R.A33J.07	TCGA.CC.A5UC.01A.11R.A28V.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.131XF.1026.SM.5BC6A	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.117YX.1326.SM.5H125	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.ZDTT.0926.SM.5J2MS	GTEX.XQ3S.0926.SM.4BOPI	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.X4LF.0526.SM.3NMB6	GTEX.W5X1.0526.SM.3GILH	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.13OW8.1726.SM.5L3GO	GTEX.RM2N.0426.SM.2TF4T	TCGA.AJ.A3TW.01A.11R.A22K.07
SH3BP4	23.93	229.72	226.54	237.86	275.28	232.94	258.57	199.85	163.28	320.8	0.0	0.62	890.44	249.73	507.46	493.56	454.09	1023.0	293.07	1286.18	698.41	387.02	384.34	320.8	429.54	595.34	283.05	665.29	612.11	703.28	1159.07	493.56	332.14	403.5	518.15	417.77	412.0	579.04	281.09	1037.29	688.78	633.73	348.71	267.73	759.08	878.17	260.38	293.07	941.27	435.55	435.55	269.6	540.19	414.87	1051.79	165.57
SLCO2A1	130.6	85.82	135.24	376.41	118.43	61.68	54.72	85.22	1.07	38.4	0.0	0.83	7032.37	2224.63	896.64	1151.06	5006.93	18560.17	547.75	15607.02	1127.35	4937.99	2224.63	1963.57	7433.4	7695.57	848.22	2915.45	4450.27	10368.08	8778.97	6250.56	1066.48	4358.66	309.83	1794.29	420.68	9945.68	172.65	4123.49	4869.99	1397.83	2148.82	480.04	3280.18	4769.75	2758.13	4704.07	4388.98	915.51	2018.8	1259.69	9409.14	6079.61	12415.75	21.32
SORT1	204.07	191.67	105.15	246.28	149.12	332.14	289.02	180.02	435.55	551.56	0.0	0.46	3928.15	1233.75	1832.01	713.11	1950.0	2645.74	518.15	2777.33	1295.13	2816.11	1233.75	1519.15	1605.83	2485.67	285.03	2645.74	2701.35	2319.15	2287.2	3874.05	1540.37	2061.24	759.08	1529.73	848.22	2701.35	525.39	2816.11	2133.97	866.07	1857.6	884.29	1519.15	1963.57	1508.65	1721.16	3303.0	1059.11	1896.65	974.5	2271.4	2645.74	2664.15	1151.06
STARD13	31.22	121.79	43.32	70.01	46.84	43.63	38.4	46.18	16.27	64.8	0.0	0.49	514.56	171.45	177.53	122.64	583.07	954.43	251.48	764.36	514.56	287.01	400.71	260.38	514.56	703.28	291.04	444.72	406.31	1447.15	571.05	373.81	406.31	529.06	135.24	379.04	312.0	753.83	151.22	547.75	507.46	299.25	301.33	361.04	229.72	224.97	127.89	260.38	583.07	199.85	244.57	277.2	457.25	698.41	490.14	30.78
STARD8	11.47	100.83	119.26	102.25	77.25	87.65	105.89	55.89	38.95	46.5	0.0	0.57	599.49	249.73	137.14	171.45	629.35	961.07	148.09	1225.22	229.72	258.57	262.2	279.14	406.31	1088.92	148.09	312.0	514.56	2303.12	934.76	764.36	332.14	327.56	141.02	269.6	85.82	995.0	71.5	1304.15	698.41	293.07	381.68	86.43	389.72	460.44	118.43	808.0	642.59	158.79	336.79	450.94	819.3	928.3	743.43	24.46
SUN2	866.07	1051.79	1001.93	1030.12	1044.52	1295.13	1037.29	854.13	511.0	1051.79	0.0	0.85	4328.55	2915.45	2224.63	2133.97	5076.84	8963.45	1208.34	7537.18	4937.99	4181.07	2682.69	2485.67	3280.18	4802.93	1457.23	3690.52	4210.15	5006.93	2537.92	3982.99	4152.18	3639.7	2148.82	3467.27	2502.97	5366.37	1378.57	3515.68	4543.8	1467.37	5219.6	1519.15	4802.93	4268.94	1233.75	4181.07	6079.61	1487.87	3349.13	2047.0	5403.7	2351.53	5517.27	775.05
TADA2B	166.73	110.43	135.24	193.01	134.3	199.85	140.04	157.68	154.42	151.22	0.0	0.25	441.64	376.41	323.03	301.33	406.31	389.72	239.52	540.19	454.09	435.55	454.09	447.82	318.57	529.06	246.28	371.22	435.55	457.25	540.19	403.5	361.04	279.14	289.02	473.41	281.09	497.0	127.89	392.44	438.59	229.72	412.0	297.17	532.74	426.57	265.87	343.89	555.41	417.77	426.57	366.09	371.22	392.44	406.31	93.35
TIMP3	454.09	518.15	769.69	1594.73	363.56	647.07	262.2	647.07	195.72	607.87	3491.39	1674.06	42937.97	9673.69	11267.44	4450.27	27745.15	75803.72	909.17	36106.23	12244.81	23986.58	7589.61	12329.98	24153.43	24490.61	2075.59	15285.81	18178.19	50011.46	17927.91	28525.2	20737.16	19618.49	1806.78	12076.21	11827.67	31650.8	2271.4	23656.34	17804.06	6983.79	15075.35	1936.53	9945.68	17681.08	7857.29	34396.12	27174.14	6337.83	8901.53	5872.48	33688.23	20170.07	35609.13	144.01
TMCC3	72.52	43.63	28.65	62.56	40.07	45.85	38.4	46.5	16.27	10.16	136.19	60.82	403.5	100.83	150.17	70.01	173.85	189.02	34.02	656.11	181.28	100.13	94.67	194.36	152.28	258.57	42.11	191.67	220.32	775.05	320.8	177.53	85.22	237.86	78.34	85.82	36.27	341.51	34.02	432.53	215.77	90.14	180.02	163.28	182.55	138.1	107.38	172.65	244.57	117.6	130.6	118.43	246.28	497.0	525.39	95.34
TSC22D1	2520.38	1001.93	1685.71	3190.46	587.13	1242.34	974.5	1088.92	796.86	2935.74	1674.06	536.45	11827.67	5041.77	8421.31	7230.1	4937.99	16157.44	2555.58	11909.94	15392.14	7331.05	7331.05	6745.86	6840.04	10084.54	9151.82	8778.97	10883.59	19482.97	7749.1	7280.4	7695.57	6471.02	2739.08	7537.18	5672.41	7857.29	3372.43	10959.3	6887.62	13586.57	6337.83	5594.3	6983.79	6607.01	6516.03	14163.58	9344.14	5751.61	5594.3	8718.32	8598.28	12244.81	12244.81	665.29
TSPAN14	1583.71	571.05	392.44	571.05	279.14	414.87	392.44	1191.69	264.03	941.27	961.07	1015.93	3235.01	1757.34	1437.15	1628.26	2335.28	2816.11	981.29	2367.9	1572.76	2061.24	2032.85	1870.53	2271.4	3303.0	2434.5	3060.45	2148.82	4298.64	3039.3	2224.63	1417.35	1909.85	1259.69	2468.49	2520.38	2935.74	1437.15	2271.4	2758.13	1167.14	2004.85	1457.23	2287.2	3103.19	1540.37	2573.36	2609.3	1561.89	2163.77	1832.01	2758.13	3190.46	3280.18	1044.52
VIPR1	1127.35	7.51	11.73	41.52	16.27	43.63	4.54	28.45	127.89	37.85	0.0	0.52	4152.18	3768.09	1159.07	830.75	3794.3	6607.01	1313.23	9808.75	1378.57	4671.57	3349.13	2193.99	6745.86	6699.25	371.22	3372.43	5517.27	8247.98	9409.14	5255.91	1447.15	3325.99	703.28	2796.65	728.11	6250.56	314.17	4736.79	5006.93	2271.4	2303.12	1572.76	3349.13	3103.19	1963.57	4481.23	3742.05	1175.27	2609.3	1844.76	6164.49	5831.91	5183.54	3.17
