	GTEX.U8XE.1326.SM.4E3JK	GTEX.U8XE.1826.SM.4E3HV	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.KC.A7F3.01A.21R.A33R.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.KK.A8I9.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.XQ3S.2526.SM.4BOOG	GTEX.YJ8A.1126.SM.5IFJU	GTEX.144GM.0826.SM.5O98R	GTEX.11WQK.2726.SM.5EQMU	GTEX.ZUA1.2826.SM.59HLE	GTEX.132NY.2826.SM.5P9G2	GTEX.11TUW.2126.SM.5GU7B
PNO1	620.67	679.29	629.35	246.28	376.41	536.45	297.17	356.05	579.04	429.54	341.51	312.0	193.01	366.09	483.38	312.0	281.09	273.37	400.71	320.8	241.19	368.65	343.89	339.14	339.14	387.02	497.0	435.55	480.04	287.01	229.72	251.48	273.37	480.04	323.03	256.78	351.14	291.04	309.83	325.29	262.2	441.64	547.75	567.1	293.07	191.67	480.04
PPRC1	1896.65	1697.45	1388.16	660.68	371.22	860.08	532.74	403.5	1233.75	595.34	503.95	438.59	323.03	444.72	791.35	373.81	379.04	563.18	336.79	511.0	392.44	587.13	412.0	507.46	503.95	660.68	902.89	642.59	860.08	414.87	447.82	384.34	497.0	854.13	242.88	303.44	540.19	334.46	366.09	387.02	251.48	896.64	1104.13	1066.48	295.11	229.72	718.08
PSMD12	780.44	819.3	693.58	438.59	603.67	764.36	463.65	511.0	656.11	514.56	507.46	438.59	438.59	450.94	616.37	423.61	389.72	547.75	684.02	406.31	503.95	583.07	480.04	559.28	497.0	708.18	638.15	769.69	633.73	466.88	463.65	366.09	503.95	764.36	555.41	438.59	540.19	435.55	457.25	447.82	417.77	813.63	780.44	1135.2	423.61	368.65	708.18
PVR	1628.26	1617.0	1477.58	441.64	559.28	708.18	620.67	633.73	1340.84	536.45	420.68	647.07	406.31	555.41	743.43	460.44	426.57	836.53	267.73	389.72	457.25	500.46	536.45	447.82	603.67	769.69	743.43	629.35	921.88	567.1	381.68	525.39	273.37	679.29	511.0	525.39	543.96	620.67	470.14	470.14	395.18	775.05	1119.56	775.05	348.71	314.17	830.75
PWP2	780.44	738.29	679.29	353.59	397.93	551.56	435.55	323.03	559.28	358.54	299.25	395.18	212.78	381.68	493.56	334.46	389.72	361.04	285.03	336.79	312.0	454.09	368.65	363.56	332.14	423.61	518.15	358.54	540.19	417.77	271.48	291.04	438.59	521.76	358.54	329.84	387.02	279.14	279.14	267.73	251.48	536.45	483.38	688.78	231.32	246.28	409.15
RBM7	642.59	665.29	567.1	234.57	307.69	928.3	236.21	346.29	753.83	397.93	351.14	253.23	314.17	316.37	543.96	237.86	258.57	438.59	432.53	267.73	156.59	341.51	248.0	242.88	336.79	476.71	486.75	830.75	599.49	165.57	224.97	275.28	246.28	346.29	397.93	212.78	441.64	343.89	273.37	363.56	173.85	915.51	1051.79	638.15	195.72	221.86	921.88
RCL1	267.73	212.78	264.03	244.57	178.77	226.54	329.84	187.71	244.57	229.72	186.4	279.14	127.0	239.52	176.29	241.19	226.54	318.57	135.24	178.77	186.4	264.03	195.72	187.71	237.86	209.84	329.84	167.9	289.02	218.79	162.14	145.02	182.55	201.25	249.73	180.02	323.03	134.3	169.07	180.02	162.14	271.48	316.37	351.14	126.12	122.64	172.65
RNASEH1	318.57	366.09	199.85	128.79	164.42	251.48	128.79	128.79	182.55	206.94	206.94	121.79	122.64	122.64	223.41	139.07	105.15	156.59	156.59	133.36	115.16	234.57	176.29	153.34	140.04	242.88	151.22	229.72	208.38	115.97	107.38	129.69	116.78	178.77	128.79	111.99	204.07	165.57	138.1	110.43	105.15	209.84	267.73	224.97	115.97	102.25	273.37
RNF4	1183.45	1268.46	1175.27	547.75	808.0	2004.85	854.13	713.11	921.88	825.0	733.19	753.83	674.59	878.17	915.51	718.08	665.29	988.12	872.1	669.92	842.36	836.53	848.22	785.88	629.35	947.83	860.08	813.63	842.36	599.49	693.58	753.83	679.29	928.3	860.08	684.02	909.17	708.18	693.58	738.29	521.76	1407.55	934.76	1551.09	543.96	486.75	896.64
RPRD1B	884.29	1594.73	698.41	267.73	368.65	559.28	309.83	229.72	1001.93	384.34	403.5	348.71	312.0	381.68	466.88	329.84	301.33	389.72	376.41	406.31	190.34	403.5	429.54	417.77	429.54	1685.71	532.74	435.55	748.61	295.11	246.28	318.57	346.29	647.07	336.79	237.86	379.04	339.14	269.6	323.03	283.05	547.75	802.41	884.29	295.11	305.55	2319.15
SBNO2	5147.73	3491.39	4239.45	198.47	441.64	1551.09	693.58	403.5	2997.45	633.73	988.12	599.49	279.14	249.73	1417.35	444.72	599.49	954.43	287.01	536.45	301.33	947.83	500.46	909.17	703.28	1119.56	1991.0	1127.35	3212.66	583.07	555.41	438.59	728.11	2018.8	470.14	327.56	656.11	406.31	291.04	260.38	327.56	1806.78	2335.28	1519.15	242.88	384.34	1467.37
SERPINB8	587.13	414.87	164.42	42.11	90.77	361.04	45.53	63.0	195.72	53.19	97.36	47.84	61.25	68.55	93.35	48.18	37.85	63.45	43.32	62.56	26.47	93.35	68.07	166.73	65.72	97.36	143.01	150.17	224.97	15.68	68.07	31.22	71.5	180.02	123.5	45.53	92.7	40.07	33.06	62.56	46.18	197.09	202.66	237.86	40.07	29.06	87.03
SLC30A7	351.14	273.37	269.6	158.79	206.94	323.03	208.38	161.02	283.05	178.77	194.36	236.21	176.29	262.2	251.48	183.82	202.66	334.46	389.72	157.68	85.22	193.01	199.85	234.57	223.41	414.87	176.29	346.29	205.5	124.37	117.6	176.29	209.84	242.88	293.07	147.06	190.34	190.34	161.02	182.55	128.79	251.48	334.46	497.0	128.79	116.78	373.81
SLC6A8	1096.5	1561.89	1081.39	791.35	679.29	934.76	638.15	780.44	954.43	1044.52	1208.34	642.59	808.0	872.1	1023.0	571.05	660.68	974.5	591.22	896.64	612.11	1427.22	1081.39	688.78	591.22	660.68	947.83	738.29	1242.34	934.76	854.13	775.05	656.11	1167.14	780.44	591.22	813.63	743.43	947.83	595.34	941.27	1498.22	1508.65	2520.38	633.73	825.0	1529.73
SPHK1	1268.46	753.83	248.0	34.02	81.14	177.53	27.05	108.9	395.18	64.8	131.51	36.27	28.45	33.06	117.6	33.3	26.86	32.82	28.24	95.34	54.33	177.53	67.59	176.29	68.55	74.06	140.04	90.14	1059.11	63.0	94.67	45.21	47.84	180.02	78.89	50.98	85.22	120.94	72.52	58.71	47.17	532.74	195.72	318.57	25.54	35.76	123.5
TARS	1794.29	2061.24	2047.0	1551.09	1709.26	2319.15	1733.13	1388.16	1991.0	1378.57	1651.0	1697.45	1127.35	1721.16	2335.28	1923.14	1857.6	2976.74	2319.15	1628.26	1427.22	1583.71	1295.13	1950.0	1794.29	1467.37	2720.15	1757.34	2119.22	1259.69	1417.35	1143.1	1721.16	1896.65	2682.69	1991.0	1662.49	1151.06	1135.2	1583.71	1437.15	1977.24	1950.0	3928.15	1417.35	1015.93	2319.15
TEAD4	808.0	928.3	802.41	65.26	95.34	703.28	99.43	148.09	1066.48	150.17	264.03	60.82	49.21	167.9	228.13	94.67	67.12	96.68	98.04	201.25	66.18	145.02	110.43	223.41	119.26	199.85	368.65	97.36	961.07	90.14	112.77	56.28	58.71	400.71	65.72	84.04	182.55	69.52	82.29	117.6	80.57	571.05	525.39	551.56	41.52	75.64	291.04
TLCD2	135.24	112.77	38.12	5.59	16.75	34.26	15.11	12.93	53.19	13.03	17.51	9.48	22.26	8.85	14.67	23.25	18.03	27.25	8.45	11.55	7.82	23.42	19.11	17.0	15.68	45.85	30.34	34.02	37.85	8.45	14.24	21.78	12.93	17.77	24.99	12.93	24.28	16.75	12.36	9.06	10.31	46.18	72.52	38.95	5.28	9.06	26.1
TMEM165	6037.61	4575.41	2061.24	1233.75	1304.15	2133.97	1199.98	1407.55	1733.13	1378.57	1457.23	995.0	1259.69	1151.06	1388.16	1407.55	1447.15	2047.0	1870.53	1397.83	1617.0	1639.59	1427.22	854.13	2193.99	1794.29	1883.54	2148.82	1781.89	1359.57	1191.69	1427.22	1477.58	1540.37	1369.04	1127.35	1159.07	1250.98	1397.83	1417.35	1015.93	2224.63	2434.5	2240.11	909.17	785.88	1806.78
TMEM2	1721.16	2209.26	1304.15	199.85	417.77	1508.65	277.2	651.58	988.12	842.36	547.75	327.56	285.03	473.41	748.61	264.03	209.84	389.72	395.18	346.29	285.03	543.96	244.57	954.43	660.68	629.35	764.36	813.63	1066.48	256.78	287.01	202.66	336.79	1508.65	363.56	363.56	460.44	297.17	283.05	323.03	226.54	791.35	1331.57	848.22	234.57	141.02	836.53
TRAFD1	1151.06	1519.15	2502.97	603.67	743.43	1143.1	629.35	563.18	1923.14	688.78	819.3	633.73	633.73	595.34	1259.69	551.56	435.55	842.36	802.41	693.58	819.3	693.58	748.61	1963.57	718.08	1277.29	1167.14	764.36	981.29	647.07	620.67	633.73	547.75	1259.69	684.02	603.67	728.11	748.61	591.22	591.22	599.49	1340.84	1757.34	753.83	708.18	571.05	1628.26
TSR1	532.74	599.49	406.31	271.48	323.03	409.15	373.81	255.0	460.44	432.53	353.59	373.81	285.03	366.09	397.93	332.14	307.69	348.71	356.05	269.6	209.84	450.94	392.44	351.14	336.79	493.56	423.61	466.88	426.57	285.03	260.38	287.01	309.83	289.02	353.59	260.38	289.02	305.55	281.09	249.73	318.57	507.46	529.06	529.06	228.13	205.5	532.74
UAP1	4066.71	4903.87	3325.99	2209.26	1733.13	5076.84	3103.19	2468.49	3235.01	3081.75	3257.52	3039.3	1151.06	2777.33	4639.29	2915.45	3325.99	4358.66	3212.66	2682.69	5441.3	2104.58	2075.59	1208.34	2485.67	1709.26	4152.18	2032.85	3146.52	2240.11	2193.99	1583.71	2468.49	2417.67	2555.58	2255.7	2434.5	1259.69	941.27	1697.45	1259.69	4802.93	5255.91	4268.94	1268.46	1037.29	3081.75
UBE2D3	5913.33	5711.87	4328.55	1662.49	3716.2	5329.3	3419.52	3168.41	3901.01	3874.05	3690.52	3081.75	2997.45	3395.89	4239.45	3639.7	3280.18	3820.7	3589.58	2682.69	2997.45	3955.48	3564.78	3742.05	3564.78	5041.77	3820.7	4123.49	4095.0	2739.08	2664.15	3124.78	3280.18	3874.05	3491.39	2976.74	3794.3	3395.89	3018.3	3467.27	2915.45	5711.87	5292.48	5633.22	3018.3	2835.7	4358.66
UCK2	738.29	830.75	642.59	480.04	466.88	493.56	426.57	591.22	620.67	624.99	518.15	381.68	224.97	603.67	486.75	466.88	447.82	748.61	409.15	444.72	693.58	559.28	518.15	733.19	314.17	651.58	599.49	400.71	902.89	647.07	447.82	275.28	400.71	688.78	559.28	406.31	543.96	194.36	336.79	332.14	285.03	660.68	1143.1	1225.22	253.23	454.09	780.44
URB2	161.02	154.42	175.07	54.33	59.97	125.24	78.34	57.08	119.26	102.97	66.18	76.71	37.32	67.12	120.1	52.45	46.5	87.65	79.45	42.11	37.32	96.01	42.11	52.08	63.89	131.51	105.89	101.54	119.26	45.21	53.95	54.72	61.68	125.24	42.41	29.7	65.26	41.22	55.89	53.19	42.71	123.5	88.88	148.09	37.85	29.48	58.71
VMP1	8421.31	7749.1	6983.79	2796.65	2367.9	3419.52	3665.02	2609.3	8191.0	4066.71	2720.15	2193.99	1697.45	1870.53	4736.79	2271.4	3716.2	5913.33	2271.4	1806.78	1991.0	4769.75	3257.52	3419.52	5255.91	4769.75	7911.95	5594.3	6337.83	2976.74	3491.39	2434.5	2739.08	2796.65	3690.52	1819.35	2915.45	2816.11	1923.14	2133.97	1286.18	6471.02	6652.97	9344.14	1151.06	1487.87	5329.3
WDR43	476.71	543.96	638.15	248.0	293.07	466.88	403.5	279.14	532.74	414.87	351.14	414.87	214.27	384.34	409.15	316.37	318.57	397.93	503.95	212.78	244.57	417.77	312.0	366.09	348.71	540.19	454.09	409.15	503.95	285.03	228.13	269.6	301.33	429.54	318.57	204.07	341.51	299.25	217.27	293.07	223.41	583.07	532.74	629.35	239.52	183.82	480.04
WDR45B	1909.85	1674.06	2193.99	1540.37	2777.33	2627.46	1769.57	1477.58	2224.63	2193.99	2163.77	1733.13	1617.0	1651.0	2816.11	1883.54	1286.18	1674.06	1508.65	1883.54	1745.2	1950.0	2018.8	2018.8	2193.99	2609.3	1950.0	2384.37	1923.14	1561.89	1583.71	1757.34	2468.49	2627.46	1757.34	1857.6	1936.53	1583.71	1407.55	1685.71	1225.22	2271.4	3982.99	3955.48	1397.83	1417.35	3146.52
XPO5	698.41	743.43	420.68	287.01	329.84	376.41	376.41	287.01	432.53	466.88	341.51	387.02	253.23	518.15	384.34	312.0	339.14	463.65	361.04	381.68	295.11	507.46	414.87	332.14	353.59	543.96	373.81	387.02	514.56	325.29	368.65	363.56	327.56	423.61	384.34	346.29	358.54	387.02	334.46	253.23	314.17	305.55	521.76	660.68	361.04	318.57	529.06
XRN2	1001.93	1111.82	890.44	480.04	813.63	1208.34	607.87	583.07	954.43	842.36	647.07	665.29	518.15	713.11	486.75	624.99	620.67	769.69	860.08	575.03	486.75	688.78	842.36	813.63	665.29	1088.92	708.18	808.0	723.08	507.46	463.65	684.02	624.99	769.69	796.86	476.71	693.58	718.08	540.19	563.18	466.88	1059.11	1159.07	866.07	511.0	536.45	921.88
YARS	1977.24	2133.97	1225.22	961.07	981.29	1259.69	1088.92	961.07	1167.14	854.13	785.88	1008.9	708.18	1250.98	981.29	974.5	872.1	1159.07	836.53	884.29	802.41	878.17	954.43	684.02	995.0	974.5	1127.35	842.36	1216.75	836.53	698.41	854.13	890.44	1199.98	860.08	915.51	947.83	813.63	775.05	909.17	688.78	1030.12	1350.18	2090.03	629.35	698.41	1477.58
YWHAH	3349.13	4481.23	3395.89	1001.93	1519.15	4972.34	769.69	1151.06	2956.17	1159.07	1781.89	775.05	1216.75	1059.11	1991.0	1340.84	813.63	1963.57	1617.0	1242.34	642.59	1529.73	1605.83	2018.8	1806.78	1923.14	2367.9	2351.53	3212.66	848.22	1233.75	1051.79	1119.56	2287.2	1143.1	1572.76	2004.85	1167.14	1313.23	1427.22	1295.13	3742.05	3467.27	3146.52	796.86	988.12	3491.39
ZC3H15	1277.29	1295.13	1044.52	457.25	1088.92	1295.13	466.88	890.44	1023.0	896.64	1015.93	866.07	753.83	921.88	1073.91	947.83	941.27	884.29	1135.2	780.44	878.17	981.29	1001.93	866.07	981.29	1127.35	743.43	1159.07	921.88	532.74	629.35	902.89	866.07	928.3	665.29	866.07	808.0	967.76	872.1	974.5	708.18	1437.15	1350.18	1950.0	665.29	629.35	947.83
ZDHHC9	1936.53	1250.98	2573.36	651.58	884.29	2148.82	928.3	1143.1	2240.11	1030.12	684.02	1037.29	688.78	1331.57	1096.5	928.3	796.86	1508.65	941.27	896.64	764.36	848.22	866.07	624.99	688.78	1295.13	974.5	884.29	915.51	698.41	529.06	616.37	591.22	2061.24	1167.14	575.03	1001.93	559.28	830.75	796.86	473.41	1721.16	1936.53	2075.59	454.09	435.55	2287.2
ZNF324	186.4	186.4	181.28	149.12	78.34	129.69	128.79	87.65	175.07	145.02	108.9	83.45	112.77	108.9	191.67	91.41	92.05	143.01	77.79	111.99	127.89	135.24	134.3	140.04	105.89	148.09	143.01	152.28	145.02	99.43	120.1	124.37	120.94	108.14	111.21	92.05	163.28	118.43	101.54	91.41	108.14	199.85	183.82	171.45	103.69	93.35	234.57
ZNF562	204.07	205.5	289.02	173.85	182.55	273.37	190.34	162.14	287.01	253.23	141.02	218.79	136.19	158.79	264.03	204.07	152.28	307.69	209.84	162.14	130.6	251.48	181.28	149.12	157.68	336.79	241.19	373.81	198.47	130.6	138.1	144.01	177.53	253.23	193.01	123.5	212.78	198.47	125.24	115.97	158.79	226.54	256.78	320.8	248.0	159.9	177.53
ZNF598	1286.18	1277.29	1508.65	567.1	616.37	981.29	802.41	547.75	1225.22	616.37	656.11	575.03	511.0	497.0	684.02	514.56	620.67	728.11	316.37	866.07	595.34	723.08	603.67	612.11	728.11	660.68	1008.9	493.56	1208.34	733.19	571.05	629.35	674.59	791.35	435.55	497.0	698.41	587.13	518.15	447.82	460.44	759.08	872.1	1277.29	466.88	500.46	1551.09
