	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.A3.A6NL.01A.11R.A33J.07	TCGA.BP.5178.01A.01R.1426.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.CJ.4908.01A.01R.1426.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CJ.4899.01A.01R.1334.07	TCGA.CZ.5987.01A.11R.1672.07	TCGA.B2.A4SR.01A.11R.A266.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.EU.5907.01A.11R.1672.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.A3.A8CQ.01A.11R.A37O.07	TCGA.CZ.5459.01A.01R.1503.07	TCGA.BP.4338.01A.01R.1289.07	TCGA.CJ.4905.01A.02R.1426.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.B2.5633.01A.01R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B0.5690.01A.11R.1541.07	TCGA.B8.A7U6.01A.12R.A37O.07	TCGA.CJ.4882.01A.02R.1426.07	TCGA.BP.4164.01A.02R.1325.07	TCGA.AK.3434.01A.02R.1277.07	TCGA.BP.4982.01A.01R.1334.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.BP.4327.01A.01R.1289.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.AK.3428.01A.02R.1277.07	TCGA.BP.4961.01A.01R.1334.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.BP.4344.01A.01R.1289.07	TCGA.B2.5636.01A.02R.1541.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.BP.4804.01A.02R.1305.07	TCGA.A3.3335.01A.01R.0864.07	TCGA.BP.4349.01A.01R.1289.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4965.01A.01R.1334.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.5181.01A.01R.1426.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.B8.4151.01A.01R.1188.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.B0.5080.01A.01R.1503.07	TCGA.B0.4693.01A.01R.1277.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.38.4625.01A.01R.1206.07	GTEX.ZPU1.2326.SM.57WEP
LDB2	20.26	70.01	2335.28	595.34	1437.15	403.5	1572.76	2835.7	1191.69	2090.03	368.65	2351.53	1709.26	299.25	2032.85	1487.87	194.36	1199.98	1896.65	1388.16	201.25	2163.77	559.28	660.68	476.71	2895.31	1769.57	2537.92	476.71	2555.58	1277.29	1175.27	808.0	1819.35	2004.85	2777.33	1617.0	954.43	1529.73	387.02	688.78	3443.31	1407.55	3018.3	1242.34	3190.46	2287.2	514.56	1119.56	361.04	2591.27	669.92	2193.99	633.73	785.88	995.0	1233.75	909.17	1529.73	551.56	1369.04	1233.75	2018.8	1457.23	921.88	1191.69	1350.18	1447.15	599.49	1037.29	819.3	1651.0	56.28	587.13	813.63	1628.26	1378.57	1685.71	854.13	656.11	947.83	165.57	961.07	0.0	43.02
LRRC8C	16.75	68.07	232.94	100.13	205.5	94.67	220.32	381.68	260.38	283.05	50.63	341.51	156.59	63.89	275.28	177.53	47.5	130.6	194.36	127.0	53.57	351.14	71.5	152.28	55.49	417.77	339.14	170.25	137.14	457.25	159.9	182.55	80.57	237.86	239.52	237.86	187.71	125.24	115.97	62.12	96.68	497.0	125.24	314.17	138.1	460.44	511.0	78.89	255.0	56.28	244.57	166.73	267.73	67.12	100.13	181.28	201.25	189.02	171.45	74.58	172.65	79.45	139.07	147.06	147.06	171.45	149.12	258.57	132.44	117.6	169.07	275.28	34.51	115.16	105.89	295.11	152.28	163.28	131.51	145.02	96.68	35.76	121.79	0.0	34.26
MARCH4	0.0	0.02	19.39	4.7	16.51	6.21	6.26	17.0	17.51	30.12	4.9	5.82	7.69	7.11	11.38	13.12	1.45	12.27	73.03	7.57	1.17	29.06	6.31	2.66	3.26	24.28	37.59	7.63	29.91	31.67	31.67	14.67	2.25	2.89	27.25	13.83	17.51	3.26	6.67	0.0	0.47	7.69	1.04	8.32	8.0	49.91	38.95	1.75	16.15	0.77	4.21	7.46	31.9	6.41	13.72	25.35	15.0	6.89	9.63	3.29	18.7	3.89	9.2	8.19	13.62	7.34	20.11	28.04	5.36	33.3	18.84	27.44	0.71	1.93	2.58	15.11	5.59	3.0	10.39	2.03	6.57	1.69	12.45	0.0	0.0
MEF2C	18.43	116.78	1369.04	575.03	915.51	486.75	902.89	1883.54	1167.14	1498.22	289.02	1540.37	808.0	217.27	902.89	1233.75	275.28	559.28	974.5	412.0	234.57	2468.49	351.14	441.64	201.25	1832.01	1183.45	848.22	521.76	2468.49	647.07	599.49	325.29	629.35	2018.8	1044.52	896.64	392.44	529.06	215.77	353.59	3018.3	543.96	1936.53	575.03	1662.49	1697.45	457.25	896.64	239.52	780.44	587.13	1709.26	297.17	363.56	547.75	909.17	753.83	665.29	387.02	1167.14	236.21	878.17	620.67	547.75	713.11	748.61	1487.87	769.69	748.61	563.18	1225.22	183.82	339.14	563.18	1175.27	759.08	1167.14	738.29	314.17	500.46	189.02	486.75	116.78	67.59
MMRN2	314.17	197.09	2061.24	698.41	1066.48	384.34	1561.89	2384.37	1605.83	1745.2	327.56	2367.9	1388.16	346.29	1991.0	1023.0	246.28	603.67	1540.37	1015.93	226.54	2720.15	361.04	540.19	571.05	1870.53	1806.78	2018.8	571.05	3820.7	1286.18	848.22	532.74	1233.75	1447.15	2400.97	1286.18	529.06	1167.14	289.02	785.88	2816.11	941.27	2004.85	872.1	1950.0	2573.36	480.04	1183.45	255.0	1467.37	521.76	1467.37	447.82	775.05	1111.82	1030.12	1233.75	1628.26	285.03	1340.84	703.28	928.3	854.13	802.41	890.44	1277.29	1388.16	854.13	764.36	860.08	2004.85	137.14	500.46	555.41	2271.4	988.12	1508.65	688.78	651.58	647.07	135.24	753.83	0.0	209.84
MYCN	5.73	3.76	23.25	2.56	31.22	16.51	8.58	34.02	21.16	22.26	0.38	13.62	7.34	1.3	13.22	11.04	2.16	9.2	32.13	4.21	1.93	39.5	1.41	7.94	3.66	37.32	13.03	21.94	7.75	40.36	7.11	17.51	1.28	26.47	19.25	41.81	45.53	5.06	9.85	1.79	1.87	94.01	3.08	38.95	7.63	39.22	48.87	2.43	14.35	3.38	23.76	3.92	30.12	3.2	8.71	10.96	17.25	10.16	33.06	1.1	11.73	29.7	12.74	3.76	67.59	20.86	29.7	20.11	2.48	9.85	11.47	36.27	3.11	5.41	10.24	17.0	3.17	20.11	12.27	2.01	4.13	10.08	7.63	0.0	15.34
MYCT1	30.12	13.22	693.58	186.4	470.14	173.85	507.46	854.13	563.18	620.67	106.63	878.17	493.56	111.21	536.45	376.41	67.59	403.5	579.04	293.07	60.39	915.51	144.01	154.42	125.24	819.3	521.76	571.05	183.82	1427.22	547.75	281.09	215.77	503.95	603.67	665.29	500.46	262.2	392.44	100.83	165.57	1259.69	332.14	684.02	312.0	1030.12	981.29	201.25	460.44	88.88	624.99	199.85	728.11	156.59	275.28	295.11	403.5	435.55	379.04	142.01	470.14	256.78	620.67	373.81	262.2	343.89	518.15	551.56	209.84	371.22	231.32	718.08	19.53	190.34	195.72	921.88	392.44	473.41	287.01	237.86	229.72	37.85	269.6	45.21	33.3
NDUFA4L2	327241.36	52863.07	66449.85	71219.26	73221.53	69271.73	83528.61	34396.12	73221.53	42054.3	90773.53	46986.85	124000.67	60723.88	88905.42	93325.55	96616.71	91404.92	54349.29	70238.75	68793.23	62865.33	85283.74	77396.54	120609.84	32315.87	44452.21	96616.71	88905.42	57847.82	76330.98	69753.56	63302.6	93325.55	40904.3	72213.45	81809.59	72715.74	77396.54	91404.92	94628.34	35363.15	90146.51	40904.3	102836.01	33455.53	26800.01	97288.74	67846.12	51775.15	71714.63	70727.3	39237.98	70727.3	167058.21	102836.01	69753.56	100023.92	79572.48	162489.97	93325.55	64632.75	97288.74	93974.69	64632.75	75280.1	95286.54	78476.96	109455.64	96616.71	81809.59	95949.32	87681.42	85283.74	97288.74	52135.28	67377.47	92040.7	88905.42	118127.7	124000.67	94628.34	90773.53	0.0	56657.31
NHSL2	0.0	0.92	53.57	11.82	34.51	11.73	18.56	100.83	52.45	65.72	3.79	48.52	20.56	6.78	30.34	30.56	6.46	8.78	60.82	14.35	4.62	115.97	7.75	6.62	10.47	100.83	66.65	22.43	11.04	100.13	13.52	35.5	3.86	21.32	78.34	65.26	22.43	6.89	15.68	8.58	3.72	220.32	6.84	140.04	24.11	73.54	138.1	7.28	22.1	7.88	26.28	7.82	66.18	7.57	9.41	8.65	18.03	9.06	21.63	9.85	29.48	4.54	14.45	25.72	9.48	21.78	26.47	85.82	35.25	22.26	9.7	24.63	2.1	16.03	19.53	55.49	27.05	28.24	20.71	8.0	13.93	19.53	16.51	0.0	2.1
PCDH12	40.64	10.96	1268.46	185.11	551.56	194.36	669.92	974.5	759.08	775.05	134.3	607.87	366.09	164.42	497.0	521.76	87.03	262.2	1051.79	339.14	58.71	1447.15	134.3	186.4	166.73	988.12	759.08	785.88	305.55	1883.54	669.92	318.57	151.22	406.31	679.29	878.17	551.56	267.73	432.53	103.69	218.79	1721.16	285.03	995.0	281.09	854.13	1639.59	262.2	420.68	78.34	441.64	193.01	708.18	162.14	348.71	368.65	341.51	500.46	470.14	133.36	571.05	246.28	551.56	351.14	251.48	283.05	563.18	961.07	229.72	406.31	269.6	486.75	45.53	223.41	229.72	1733.13	376.41	470.14	406.31	191.67	212.78	60.82	325.29	0.0	12.83
PDCL	293.07	279.14	392.44	167.9	346.29	231.32	273.37	500.46	381.68	486.75	139.07	603.67	307.69	299.25	426.57	363.56	201.25	255.0	392.44	237.86	183.82	521.76	137.14	297.17	185.11	620.67	356.05	371.22	217.27	660.68	371.22	299.25	190.34	343.89	540.19	547.75	392.44	231.32	193.01	163.28	148.09	698.41	299.25	633.73	318.57	575.03	412.0	208.38	329.84	171.45	293.07	265.87	624.99	182.55	228.13	314.17	289.02	279.14	318.57	185.11	314.17	217.27	251.48	226.54	255.0	228.13	320.8	384.34	303.44	248.0	271.48	500.46	112.77	176.29	260.38	470.14	275.28	346.29	246.28	182.55	138.1	127.89	249.73	0.0	191.67
PDE2A	46.5	25.54	660.68	215.77	1143.1	144.01	450.94	1447.15	447.82	1397.83	157.68	1313.23	547.75	37.05	497.0	808.0	64.8	318.57	1498.22	303.44	59.13	1259.69	121.79	182.55	114.36	1175.27	387.02	819.3	239.52	1733.13	591.22	432.53	143.01	1023.0	723.08	1397.83	1081.39	223.41	432.53	139.07	45.21	2591.27	323.03	1467.37	703.28	961.07	1519.15	153.34	447.82	111.99	1697.45	217.27	1127.35	199.85	376.41	262.2	181.28	181.28	366.09	82.87	205.5	218.79	438.59	896.64	457.25	255.0	642.59	688.78	153.34	334.46	285.03	884.29	52.82	262.2	236.21	796.86	599.49	412.0	260.38	90.77	221.86	126.12	120.1	0.0	18.97
PIEZO2	23.08	11.04	384.34	72.52	483.38	40.93	115.97	497.0	361.04	575.03	62.56	316.37	149.12	38.12	180.02	206.94	19.82	128.79	599.49	132.44	19.97	713.11	36.79	19.53	48.18	624.99	432.53	190.34	201.25	587.13	395.18	123.5	46.84	187.71	518.15	493.56	327.56	108.14	83.45	35.76	52.82	607.87	102.97	507.46	154.42	693.58	713.11	118.43	165.57	42.71	201.25	104.42	575.03	57.49	170.25	135.24	140.04	172.65	236.21	94.01	273.37	70.01	156.59	295.11	41.81	106.63	178.77	417.77	182.55	226.54	93.35	327.56	43.94	73.54	133.36	301.33	152.28	193.01	198.47	77.79	92.7	127.89	111.99	0.0	2.29
PODXL	71.0	78.34	2720.15	1096.5	3018.3	633.73	2075.59	3515.68	3443.31	6381.92	629.35	5219.6	2209.26	647.07	2664.15	1508.65	318.57	1340.84	4903.87	2303.12	307.69	4388.98	748.61	961.07	684.02	4481.23	4388.98	3124.78	1388.16	5366.37	2255.7	1685.71	796.86	1745.2	4268.94	5076.84	3146.52	738.29	775.05	379.04	381.68	6294.04	1617.0	5872.48	1674.06	4972.34	10154.69	688.78	2537.92	414.87	1832.01	1159.07	5995.9	884.29	1331.57	1781.89	1697.45	934.76	1540.37	414.87	2400.97	941.27	1119.56	1508.65	1216.75	1709.26	1977.24	1936.53	836.53	1030.12	1477.58	2875.3	262.2	1331.57	854.13	2224.63	1697.45	2090.03	1883.54	854.13	1059.11	185.11	1331.57	0.0	44.57
PPM1F	121.79	371.22	1216.75	320.8	954.43	332.14	620.67	1119.56	759.08	728.11	237.86	909.17	366.09	341.51	620.67	629.35	226.54	348.71	1143.1	457.25	217.27	934.76	271.48	293.07	269.6	1151.06	830.75	587.13	363.56	1617.0	860.08	571.05	371.22	457.25	791.35	842.36	878.17	463.65	536.45	291.04	353.59	1529.73	368.65	1127.35	647.07	1059.11	1104.13	409.15	603.67	185.11	629.35	368.65	743.43	249.73	647.07	429.54	603.67	490.14	381.68	262.2	500.46	209.84	423.61	532.74	414.87	575.03	599.49	902.89	265.87	412.0	289.02	651.58	309.83	441.64	483.38	1268.46	723.08	563.18	525.39	291.04	460.44	248.0	486.75	195.72	483.38
PTK2	511.0	1151.06	1769.57	825.0	1963.57	1167.14	1259.69	2367.9	1605.83	2816.11	872.1	2047.0	1397.83	1044.52	1757.34	2133.97	848.22	1519.15	2133.97	1119.56	1135.2	2701.35	909.17	947.83	728.11	2627.46	1651.0	1639.59	1359.57	2485.67	1697.45	1295.13	1427.22	1639.59	2555.58	1745.2	2004.85	1175.27	1359.57	1066.48	796.86	2835.7	1259.69	2451.44	1225.22	2537.92	2104.58	1369.04	1769.57	1001.93	1594.73	1216.75	2384.37	961.07	1233.75	1498.22	1745.2	1662.49	1950.0	1159.07	1477.58	1216.75	1519.15	1397.83	1216.75	1259.69	1277.29	2271.4	1923.14	1119.56	1073.91	1583.71	713.11	2032.85	1417.35	1963.57	1498.22	1733.13	1369.04	1044.52	2018.8	934.76	1127.35	0.0	389.72
PTPRB	9.41	11.73	753.83	285.03	738.29	135.24	647.07	1216.75	974.5	1561.89	109.66	1857.6	813.63	159.9	1119.56	559.28	69.52	441.64	860.08	836.53	80.01	1304.15	228.13	234.57	181.28	1407.55	1407.55	896.64	175.07	1733.13	473.41	409.15	232.94	540.19	1191.69	1331.57	718.08	215.77	358.54	164.42	150.17	1378.57	476.71	1721.16	603.67	1295.13	1909.85	96.68	563.18	61.68	679.29	251.48	1359.57	314.17	329.84	353.59	309.83	217.27	575.03	85.22	547.75	297.17	376.41	514.56	348.71	490.14	595.34	384.34	120.1	258.57	348.71	728.11	20.41	301.33	264.03	607.87	571.05	813.63	295.11	229.72	248.0	32.82	363.56	0.0	14.14
RAP2A	320.8	237.86	417.77	305.55	616.37	323.03	327.56	591.22	679.29	660.68	387.02	457.25	463.65	412.0	414.87	463.65	228.13	525.39	547.75	253.23	220.32	733.19	371.22	341.51	221.86	708.18	595.34	414.87	373.81	579.04	529.06	305.55	356.05	555.41	802.41	420.68	713.11	312.0	262.2	208.38	163.28	713.11	470.14	842.36	348.71	642.59	780.44	211.31	470.14	283.05	387.02	271.48	802.41	242.88	293.07	346.29	432.53	363.56	423.61	202.66	371.22	376.41	325.29	283.05	379.04	265.87	403.5	536.45	348.71	291.04	269.6	540.19	105.15	258.57	265.87	497.0	423.61	406.31	299.25	426.57	301.33	153.34	303.44	150.17	483.38
RAPGEF2	138.1	102.97	1191.69	348.71	1286.18	181.28	665.29	1467.37	723.08	1487.87	466.88	1709.26	780.44	460.44	967.76	674.59	132.44	332.14	1529.73	417.77	151.22	1936.53	371.22	521.76	234.57	1745.2	1477.58	529.06	373.81	2090.03	555.41	376.41	629.35	599.49	1639.59	1259.69	830.75	543.96	607.87	281.09	234.57	2319.15	473.41	1662.49	738.29	1447.15	2400.97	297.17	616.37	316.37	723.08	400.71	1529.73	423.61	583.07	363.56	713.11	376.41	884.29	221.86	633.73	320.8	500.46	490.14	327.56	525.39	723.08	1081.39	603.67	438.59	397.93	1191.69	100.83	500.46	450.94	866.07	780.44	1175.27	476.71	309.83	412.0	215.77	341.51	0.0	89.51
RAPGEF4	120.94	10.88	312.0	77.79	373.81	59.97	283.05	361.04	218.79	599.49	76.71	688.78	356.05	63.89	289.02	295.11	42.11	167.9	480.04	239.52	21.32	271.48	88.26	80.57	73.03	507.46	435.55	209.84	107.38	341.51	353.59	183.82	134.3	145.02	400.71	728.11	260.38	123.5	163.28	98.73	108.14	669.92	126.12	571.05	309.83	769.69	723.08	84.63	229.72	34.26	305.55	281.09	642.59	117.6	199.85	209.84	215.77	116.78	127.0	93.35	211.31	172.65	267.73	320.8	189.02	361.04	182.55	264.03	97.36	204.07	169.07	173.85	18.43	144.01	135.24	201.25	239.52	198.47	183.82	55.89	295.11	26.67	181.28	0.0	22.26
ROBO4	78.34	55.49	2178.83	460.44	1313.23	327.56	988.12	1819.35	708.18	1427.22	246.28	1572.76	909.17	265.87	974.5	866.07	183.82	651.58	2133.97	532.74	107.38	1832.01	314.17	454.09	334.46	1340.84	1119.56	1268.46	591.22	2119.22	1529.73	733.19	314.17	1295.13	988.12	1508.65	1407.55	438.59	1096.5	215.77	406.31	2502.97	669.92	1427.22	612.11	1870.53	2335.28	420.68	1037.29	151.22	1427.22	454.09	1199.98	371.22	651.58	954.43	703.28	974.5	1066.48	239.52	769.69	543.96	1151.06	934.76	733.19	684.02	1167.14	1685.71	444.72	1059.11	638.15	1304.15	75.11	368.65	529.06	2004.85	915.51	808.0	713.11	497.0	486.75	111.21	591.22	0.0	58.71
SHE	4.98	15.34	316.37	100.13	301.33	71.0	239.52	447.82	297.17	529.06	41.81	429.54	297.17	56.68	281.09	208.38	84.63	122.64	329.84	177.53	47.84	387.02	130.6	94.01	78.89	503.95	366.09	256.78	101.54	703.28	159.9	158.79	96.01	202.66	346.29	363.56	343.89	95.34	258.57	67.12	90.77	708.18	170.25	417.77	145.02	490.14	551.56	75.64	226.54	70.51	305.55	111.21	343.89	91.41	135.24	175.07	181.28	154.42	162.14	53.57	175.07	112.77	218.79	242.88	140.04	223.41	226.54	264.03	64.34	140.04	118.43	303.44	16.39	172.65	121.79	366.09	253.23	281.09	133.36	74.58	120.94	16.39	199.85	0.0	25.54
SHROOM4	8.78	22.75	271.48	87.03	262.2	75.64	217.27	435.55	208.38	470.14	142.01	376.41	193.01	187.71	253.23	228.13	94.01	106.63	318.57	136.19	28.65	406.31	100.83	108.14	162.14	384.34	343.89	175.07	127.0	514.56	214.27	171.45	162.14	215.77	323.03	327.56	215.77	127.0	176.29	94.01	89.51	525.39	166.73	429.54	236.21	395.18	503.95	162.14	187.71	68.07	325.29	106.63	356.05	130.6	167.9	189.02	191.67	150.17	194.36	61.68	248.0	134.3	164.42	239.52	133.36	173.85	191.67	285.03	191.67	197.09	108.14	226.54	10.96	102.25	161.02	299.25	151.22	171.45	123.5	142.01	155.5	85.22	169.07	0.0	156.59
SNED1	11.47	40.07	239.52	47.84	199.85	26.1	167.9	334.46	90.14	368.65	26.28	228.13	214.27	40.36	137.14	141.02	54.33	77.25	358.54	131.51	28.86	271.48	47.17	45.85	47.17	242.88	267.73	181.28	88.26	417.77	153.34	145.02	54.72	172.65	258.57	420.68	180.02	88.88	121.79	88.26	45.21	432.53	128.79	312.0	198.47	262.2	426.57	40.36	145.02	46.5	241.19	66.18	221.86	50.27	108.14	123.5	108.9	103.69	167.9	62.56	101.54	73.03	145.02	202.66	180.02	103.69	133.36	343.89	96.68	136.19	95.34	171.45	44.25	91.41	133.36	218.79	165.57	99.43	145.02	82.29	94.01	62.12	91.41	0.0	28.86
SNRK	395.18	140.04	1259.69	373.81	1242.34	346.29	759.08	1540.37	802.41	1561.89	303.44	1175.27	902.89	299.25	733.19	884.29	237.86	684.02	1119.56	483.38	205.5	1540.37	255.0	521.76	256.78	1572.76	813.63	1051.79	301.33	2645.74	728.11	872.1	571.05	802.41	1487.87	1111.82	1191.69	665.29	713.11	397.93	307.69	2163.77	688.78	1208.34	529.06	1572.76	1685.71	356.05	764.36	303.44	836.53	563.18	1685.71	273.37	412.0	406.31	738.29	718.08	753.83	320.8	808.0	432.53	896.64	651.58	507.46	688.78	802.41	1250.98	575.03	633.73	642.59	1498.22	105.89	400.71	660.68	1369.04	1199.98	988.12	575.03	356.05	423.61	287.01	454.09	0.0	242.88
TCF4	64.34	279.14	1135.2	376.41	890.44	373.81	599.49	2701.35	928.3	1572.76	156.59	1397.83	616.37	236.21	915.51	909.17	132.44	332.14	1037.29	363.56	131.51	2682.69	204.07	256.78	209.84	2240.11	1340.84	1030.12	334.46	2645.74	591.22	684.02	312.0	708.18	1757.34	1477.58	830.75	371.22	457.25	151.22	251.48	2935.74	718.08	2682.69	642.59	1819.35	1733.13	297.17	825.0	191.67	988.12	327.56	1733.13	226.54	269.6	551.56	660.68	563.18	748.61	231.32	808.0	253.23	511.0	688.78	358.54	463.65	669.92	1359.57	718.08	466.88	392.44	1498.22	36.27	283.05	412.0	1447.15	698.41	954.43	532.74	346.29	348.71	181.28	361.04	127.0	130.6
TEK	15.11	8.71	246.28	152.28	547.75	115.97	363.56	525.39	543.96	988.12	64.8	819.3	403.5	57.49	429.54	234.57	29.27	193.01	665.29	314.17	36.53	633.73	99.43	87.03	115.97	612.11	423.61	497.0	148.09	693.58	314.17	239.52	101.54	358.54	540.19	669.92	674.59	102.25	185.11	53.57	87.65	909.17	265.87	896.64	346.29	819.3	1295.13	66.65	305.55	36.01	287.01	87.03	718.08	137.14	173.85	215.77	175.07	151.22	269.6	55.49	312.0	156.59	182.55	165.57	140.04	165.57	277.2	291.04	114.36	128.79	212.78	412.0	21.47	218.79	110.43	406.31	223.41	379.04	161.02	137.14	136.19	16.03	197.09	0.0	23.59
TMEM150C	195.72	31.45	909.17	260.38	688.78	98.04	420.68	738.29	301.33	708.18	157.68	1119.56	890.44	93.35	947.83	490.14	106.63	332.14	813.63	511.0	117.6	974.5	208.38	226.54	142.01	748.61	785.88	1225.22	212.78	1313.23	423.61	189.02	234.57	723.08	780.44	1001.93	490.14	476.71	320.8	111.21	108.9	620.67	423.61	909.17	934.76	896.64	954.43	100.83	571.05	81.14	638.15	248.0	1233.75	336.79	518.15	299.25	486.75	191.67	679.29	120.1	493.56	228.13	684.02	567.1	395.18	251.48	358.54	353.59	107.38	87.65	409.15	669.92	13.42	178.77	256.78	283.05	420.68	802.41	293.07	177.53	381.68	209.84	255.0	21.32	71.5
TMEM233	0.0	1.31	161.02	35.5	109.66	11.91	44.89	212.78	105.15	204.07	18.29	149.12	133.36	17.64	116.78	67.59	10.55	66.18	105.15	100.13	7.82	180.02	18.84	18.97	13.52	113.56	143.01	125.24	36.27	237.86	80.57	58.3	32.59	69.03	146.03	158.79	120.94	35.25	59.55	32.36	12.74	220.32	37.59	215.77	100.83	177.53	152.28	31.22	81.71	13.62	167.9	35.5	122.64	27.05	43.94	55.1	70.51	67.59	61.25	31.67	90.77	55.1	97.36	76.17	40.93	59.97	97.36	124.37	37.32	57.89	77.25	124.37	4.58	38.12	40.93	177.53	69.52	89.51	53.19	23.42	39.79	47.17	58.3	0.0	8.32
TMOD2	20.71	38.95	220.32	58.71	112.77	66.65	102.97	423.61	181.28	299.25	62.12	273.37	104.42	41.81	162.14	118.43	23.93	59.97	262.2	94.01	21.01	323.03	40.64	37.85	45.85	384.34	246.28	133.36	73.54	381.68	199.85	145.02	56.68	154.42	293.07	309.83	116.78	85.82	106.63	31.0	46.18	435.55	74.58	629.35	246.28	303.44	336.79	96.01	106.63	76.71	195.72	85.22	255.0	41.81	102.97	100.83	128.79	106.63	76.17	59.55	111.99	41.52	74.58	214.27	61.25	82.29	113.56	220.32	126.12	114.36	64.34	198.47	19.97	60.82	64.8	269.6	132.44	84.63	117.6	50.63	78.34	29.27	84.04	0.0	37.32
VSTM4	6.11	49.56	356.05	117.6	356.05	100.13	142.01	323.03	264.03	389.72	163.28	476.71	198.47	27.84	358.54	358.54	27.44	95.34	490.14	194.36	69.52	470.14	49.21	52.82	57.08	426.57	669.92	182.55	141.02	325.29	221.86	154.42	80.57	193.01	473.41	181.28	209.84	229.72	165.57	135.24	64.34	587.13	88.26	397.93	264.03	647.07	224.97	381.68	176.29	30.78	312.0	181.28	785.88	53.95	336.79	214.27	130.6	295.11	211.31	153.34	253.23	58.71	241.19	256.78	85.22	177.53	209.84	438.59	336.79	122.64	127.0	363.56	28.45	92.7	356.05	267.73	343.89	447.82	224.97	87.03	67.12	279.14	152.28	32.13	37.85
ZEB1	4.7	115.16	743.43	157.68	507.46	178.77	381.68	981.29	559.28	1059.11	149.12	759.08	403.5	175.07	466.88	540.19	97.36	221.86	785.88	289.02	141.02	1175.27	120.1	189.02	150.17	961.07	693.58	339.14	255.0	1183.45	397.93	457.25	190.34	361.04	866.07	703.28	466.88	248.0	277.2	177.53	127.0	1540.37	320.8	1088.92	454.09	1096.5	1023.0	206.94	429.54	128.79	511.0	353.59	764.36	140.04	194.36	312.0	303.44	267.73	336.79	205.5	409.15	155.5	289.02	417.77	224.97	361.04	312.0	808.0	327.56	312.0	214.27	384.34	46.5	199.85	334.46	651.58	325.29	447.82	334.46	158.79	283.05	178.77	271.48	50.63	28.04
ZNF366	3.96	3.29	167.9	42.11	85.82	19.39	66.18	334.46	93.35	201.25	7.57	195.72	57.08	26.28	105.15	54.33	5.77	33.3	101.54	50.63	10.0	255.0	19.68	26.67	23.76	172.65	205.5	123.5	26.47	291.04	22.92	40.93	42.71	88.88	144.01	156.59	72.52	15.22	58.3	13.22	24.11	291.04	98.04	271.48	87.03	178.77	303.44	15.91	74.06	20.86	86.43	18.56	191.67	25.91	37.59	42.71	52.82	34.26	125.24	8.78	70.01	42.11	32.36	34.75	43.94	37.59	42.41	111.21	37.32	36.53	38.12	119.26	4.9	37.05	13.93	111.99	58.71	84.63	46.84	32.36	38.4	3.82	19.39	0.0	3.0
