	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.K4.A4AC.01A.21R.A26T.07	TCGA.FD.A43Y.01A.21R.A26T.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.XF.A9SH.01A.11R.A39I.07	TCGA.YF.AA3M.01A.11R.A42T.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.BT.A42E.01A.11R.A23W.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.C5.A0TN.01A.21R.A14Y.07	TCGA.C5.A902.01A.11R.A37O.07	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2PL.01A.11R.A18M.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.L5.A88W.01A.11R.A354.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.CV.5970.01A.11R.1686.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.HD.8634.01A.11R.2403.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.P3.A6T5.01A.11R.A34R.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CQ.A4CD.01A.21R.A24Z.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CV.A6JZ.01A.11R.A31N.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.A4CA.01A.11R.A24Z.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CQ.5326.01A.01R.1873.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7423.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CC.A5UD.01A.11R.A28V.07	TCGA.DD.A3A5.01A.11R.A22L.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07	TCGA.N8.A4PM.01A.11R.A28V.07
SLAIN2	466.88	417.77	1304.15	441.64	612.11	470.14	583.07	336.79	432.53	289.02	1936.53	332.14	633.73	234.57	1216.75	1561.89	1119.56	320.8	325.29	466.88	514.56	679.29	753.83	587.13	366.09	1286.18	684.02	633.73	1135.2	684.02	1427.22	616.37	974.5	928.3	1143.1	647.07	1651.0	947.83	974.5	1508.65	1529.73	665.29	1427.22	961.07	2434.5	1857.6	753.83	2119.22	1286.18	1350.18	878.17	1594.73	1437.15	1008.9	688.78	1561.89	1617.0	1936.53	2335.28	1963.57	1216.75	1397.83	1104.13	1225.22	934.76	860.08	1250.98	1819.35	1583.71	1437.15	1088.92	660.68	1313.23	1467.37	902.89	819.3	1322.37	1378.57	285.03	1044.52	1417.35	2875.3	1008.9	1417.35	1208.34	1313.23	525.39	417.77	1529.73	2032.85	802.41	1477.58	470.14	1322.37	674.59	1233.75	1662.49	909.17	1088.92	1059.11	2163.77	1605.83	1674.06	860.08	1175.27	1745.2	1709.26	1242.34	638.15	356.05	4607.24	1183.45	176.29	111.99	256.78
SLK	293.07	420.68	633.73	307.69	525.39	318.57	500.46	224.97	303.44	224.97	414.87	148.09	318.57	511.0	395.18	3303.0	441.64	180.02	339.14	199.85	262.2	591.22	529.06	371.22	273.37	780.44	406.31	629.35	769.69	450.94	660.68	202.66	540.19	500.46	981.29	463.65	743.43	651.58	693.58	890.44	518.15	808.0	1081.39	591.22	764.36	718.08	426.57	791.35	1233.75	743.43	555.41	961.07	651.58	928.3	334.46	591.22	854.13	1119.56	796.86	624.99	616.37	493.56	961.07	258.57	389.72	575.03	660.68	967.76	1225.22	890.44	808.0	497.0	785.88	819.3	420.68	403.5	934.76	660.68	381.68	392.44	764.36	1059.11	669.92	543.96	647.07	1059.11	307.69	454.09	616.37	802.41	525.39	647.07	460.44	358.54	269.6	723.08	988.12	579.04	241.19	387.02	708.18	808.0	718.08	665.29	629.35	1175.27	1030.12	571.05	125.24	63.45	1388.16	1073.91	98.04	113.56	73.54
SMAD1	74.58	80.57	366.09	175.07	145.02	329.84	152.28	194.36	76.17	78.89	351.14	75.11	153.34	154.42	348.71	181.28	309.83	127.0	182.55	127.89	152.28	185.11	198.47	109.66	65.72	303.44	197.09	114.36	457.25	417.77	511.0	356.05	395.18	287.01	518.15	303.44	358.54	348.71	432.53	563.18	483.38	223.41	454.09	339.14	231.32	429.54	239.52	486.75	400.71	414.87	229.72	175.07	277.2	339.14	182.55	543.96	656.11	379.04	693.58	547.75	384.34	507.46	211.31	209.84	289.02	420.68	417.77	713.11	379.04	435.55	540.19	246.28	366.09	480.04	356.05	559.28	555.41	392.44	223.41	301.33	366.09	490.14	242.88	624.99	447.82	620.67	177.53	191.67	497.0	260.38	165.57	555.41	142.01	497.0	277.2	366.09	447.82	395.18	177.53	172.65	361.04	389.72	532.74	417.77	389.72	684.02	728.11	371.22	96.68	48.18	229.72	460.44	107.38	43.32	105.89
SPAG9	336.79	218.79	1081.39	511.0	283.05	563.18	256.78	343.89	395.18	242.88	642.59	237.86	507.46	629.35	616.37	409.15	320.8	500.46	381.68	332.14	206.94	633.73	373.81	323.03	384.34	819.3	397.93	595.34	1135.2	642.59	988.12	603.67	753.83	591.22	679.29	307.69	819.3	1081.39	785.88	988.12	728.11	866.07	651.58	511.0	1447.15	785.88	435.55	1015.93	536.45	1096.5	1359.57	733.19	563.18	723.08	426.57	1259.69	753.83	723.08	961.07	842.36	480.04	902.89	947.83	567.1	1662.49	607.87	854.13	902.89	1073.91	620.67	753.83	447.82	854.13	796.86	457.25	503.95	1030.12	830.75	305.55	633.73	890.44	1096.5	974.5	836.53	638.15	995.0	633.73	256.78	603.67	1183.45	1295.13	723.08	934.76	921.88	389.72	884.29	854.13	1250.98	575.03	607.87	896.64	884.29	967.76	547.75	1023.0	934.76	848.22	447.82	267.73	271.48	785.88	1208.34	154.42	218.79	208.38
SPOPL	77.25	149.12	155.5	72.01	93.35	94.01	85.82	62.56	78.89	76.17	167.9	77.25	117.6	92.05	100.83	127.89	161.02	137.14	96.01	75.11	75.64	166.73	138.1	72.52	87.65	180.02	164.42	156.59	171.45	170.25	221.86	140.04	595.34	171.45	251.48	105.89	248.0	147.06	332.14	327.56	265.87	253.23	223.41	98.73	348.71	309.83	86.43	493.56	145.02	183.82	256.78	373.81	341.51	244.57	63.89	493.56	339.14	248.0	339.14	269.6	151.22	281.09	202.66	178.77	159.9	138.1	339.14	454.09	289.02	226.54	356.05	127.0	351.14	279.14	147.06	101.54	376.41	271.48	150.17	88.26	241.19	435.55	255.0	249.73	182.55	293.07	181.28	102.25	229.72	237.86	131.51	336.79	129.69	318.57	123.5	329.84	353.59	205.5	98.04	88.26	211.31	217.27	470.14	199.85	387.02	435.55	336.79	215.77	70.01	80.01	82.87	255.0	51.71	59.55	46.5
SPTY2D1	104.42	106.63	206.94	157.68	111.21	236.21	77.25	145.02	94.67	55.49	159.9	94.01	132.44	113.56	209.84	343.89	157.68	150.17	86.43	153.34	139.07	157.68	100.13	221.86	83.45	269.6	115.97	159.9	182.55	118.43	253.23	205.5	351.14	343.89	384.34	108.9	267.73	332.14	156.59	341.51	283.05	246.28	285.03	78.34	325.29	291.04	170.25	293.07	212.78	269.6	260.38	273.37	197.09	191.67	112.77	221.86	346.29	248.0	312.0	412.0	183.82	454.09	163.28	108.9	189.02	164.42	232.94	473.41	309.83	229.72	389.72	76.17	307.69	264.03	164.42	118.43	305.55	262.2	137.14	159.9	262.2	460.44	246.28	320.8	211.31	403.5	135.24	142.01	256.78	256.78	185.11	293.07	170.25	224.97	138.1	267.73	283.05	406.31	97.36	191.67	283.05	241.19	260.38	251.48	297.17	387.02	384.34	241.19	115.16	74.58	500.46	684.02	119.26	85.82	65.72
STRN	134.3	136.19	180.02	121.79	101.54	144.01	108.9	108.9	80.57	48.52	248.0	81.71	136.19	90.14	187.71	1963.57	215.77	152.28	100.13	72.52	98.04	159.9	201.25	128.79	100.13	303.44	229.72	164.42	281.09	180.02	341.51	173.85	414.87	147.06	220.32	130.6	403.5	287.01	251.48	279.14	307.69	265.87	307.69	145.02	490.14	366.09	127.0	232.94	414.87	376.41	215.77	426.57	285.03	186.4	88.26	460.44	248.0	543.96	361.04	438.59	215.77	486.75	291.04	85.82	96.01	136.19	100.83	493.56	423.61	325.29	327.56	120.94	293.07	329.84	125.24	154.42	441.64	128.79	112.77	162.14	241.19	500.46	339.14	356.05	237.86	438.59	118.43	111.99	323.03	470.14	175.07	143.01	139.07	457.25	113.56	223.41	392.44	231.32	89.51	140.04	373.81	273.37	299.25	205.5	236.21	483.38	379.04	224.97	75.64	44.25	334.46	277.2	88.88	46.5	41.81
STX12	204.07	307.69	616.37	258.57	281.09	232.94	497.0	323.03	371.22	351.14	417.77	432.53	312.0	395.18	389.72	764.36	656.11	366.09	368.65	441.64	438.59	228.13	587.13	312.0	293.07	420.68	279.14	229.72	262.2	215.77	890.44	332.14	1322.37	371.22	723.08	497.0	629.35	595.34	444.72	679.29	796.86	825.0	603.67	371.22	819.3	301.33	457.25	444.72	909.17	890.44	647.07	1487.87	599.49	612.11	389.72	890.44	780.44	842.36	954.43	633.73	567.1	500.46	748.61	684.02	301.33	500.46	595.34	988.12	679.29	723.08	878.17	420.68	638.15	802.41	583.07	429.54	629.35	466.88	363.56	241.19	743.43	1519.15	507.46	356.05	583.07	1066.48	438.59	480.04	612.11	423.61	327.56	703.28	412.0	429.54	559.28	599.49	830.75	571.05	323.03	224.97	791.35	603.67	825.0	567.1	529.06	866.07	902.89	642.59	305.55	256.78	1331.57	1936.53	329.84	299.25	255.0
TM9SF3	669.92	708.18	1572.76	579.04	1037.29	559.28	1037.29	624.99	808.0	603.67	791.35	543.96	854.13	665.29	1059.11	1388.16	802.41	633.73	988.12	429.54	819.3	928.3	954.43	1051.79	579.04	1023.0	796.86	954.43	713.11	579.04	1745.2	684.02	2400.97	748.61	1151.06	753.83	1417.35	1143.1	1388.16	1551.09	1651.0	1304.15	1447.15	583.07	1388.16	1628.26	878.17	1733.13	1561.89	1437.15	1051.79	1605.83	1159.07	1304.15	884.29	1991.0	1529.73	1936.53	1551.09	1369.04	1037.29	1529.73	1427.22	688.78	961.07	684.02	1313.23	2224.63	1651.0	1096.5	1250.98	791.35	1250.98	928.3	967.76	928.3	1242.34	967.76	713.11	693.58	1233.75	1769.57	1225.22	1191.69	1037.29	1697.45	764.36	1119.56	1561.89	1331.57	921.88	1388.16	1037.29	1304.15	633.73	1498.22	1857.6	1340.84	579.04	1059.11	1388.16	1529.73	1709.26	947.83	1242.34	1477.58	2485.67	981.29	450.94	521.76	860.08	1977.24	791.35	473.41	579.04
TNKS2	123.5	183.82	435.55	215.77	253.23	167.9	297.17	166.73	141.02	136.19	305.55	127.89	287.01	170.25	289.02	775.05	269.6	145.02	215.77	132.44	228.13	283.05	356.05	228.13	134.3	438.59	275.28	275.28	358.54	316.37	529.06	218.79	638.15	281.09	450.94	241.19	454.09	387.02	417.77	503.95	450.94	616.37	555.41	226.54	429.54	384.34	232.94	435.55	450.94	503.95	392.44	483.38	476.71	438.59	201.25	579.04	426.57	447.82	825.0	463.65	368.65	368.65	473.41	215.77	202.66	273.37	406.31	616.37	665.29	368.65	503.95	221.86	470.14	518.15	314.17	287.01	476.71	320.8	241.19	212.78	438.59	616.37	429.54	348.71	441.64	603.67	275.28	264.03	429.54	409.15	246.28	403.5	279.14	371.22	299.25	376.41	555.41	420.68	148.09	237.86	559.28	438.59	595.34	314.17	387.02	723.08	660.68	293.07	108.9	71.5	497.0	872.1	127.0	89.51	143.01
UBE2D3	2895.31	2319.15	7485.11	3060.45	2400.97	3467.27	3190.46	2720.15	2796.65	2997.45	3303.0	2682.69	2720.15	5555.65	5633.22	5831.91	4152.18	2875.3	3614.55	3395.89	4066.71	3081.75	3665.02	4268.94	4123.49	5255.91	3742.05	2573.36	7331.05	3540.14	6079.61	4095.0	9540.5	4210.15	5329.3	4239.45	5006.93	4802.93	5555.65	5041.77	5995.9	3018.3	5366.37	4388.98	9344.14	7180.15	4095.0	6037.61	4639.29	5255.91	4802.93	5403.7	5791.62	5872.48	2520.38	5633.22	5913.33	6792.79	6607.01	5292.48	4512.4	4671.57	5147.73	5441.3	5954.47	3955.48	5954.47	6607.01	5872.48	4769.75	6699.25	5006.93	6121.9	6037.61	3540.14	4543.8	6887.62	5751.61	4836.35	4010.71	5183.54	6983.79	3212.66	7081.29	5006.93	6037.61	4388.98	4607.24	5517.27	5076.84	4704.07	5594.3	3690.52	6745.86	4607.24	5831.91	5751.61	6426.31	5006.93	2956.17	5076.84	5219.6	6426.31	5995.9	5076.84	7382.04	5995.9	5292.48	2875.3	1605.83	7485.11	6887.62	2720.15	2915.45	3212.66
USP38	94.01	76.71	251.48	77.79	75.64	215.77	103.69	64.34	73.03	57.08	149.12	72.01	89.51	152.28	152.28	205.5	146.03	80.01	131.51	87.65	107.38	63.45	126.12	111.21	66.18	212.78	123.5	57.08	134.3	79.45	341.51	77.79	287.01	108.14	161.02	120.94	208.38	214.27	239.52	182.55	248.0	120.1	189.02	144.01	228.13	221.86	69.03	185.11	231.32	211.31	185.11	283.05	208.38	161.02	84.04	248.0	221.86	212.78	303.44	289.02	141.02	242.88	117.6	104.42	169.07	111.99	202.66	429.54	189.02	163.28	339.14	100.83	249.73	248.0	97.36	115.16	285.03	224.97	113.56	71.0	182.55	356.05	138.1	217.27	156.59	285.03	132.44	99.43	224.97	162.14	142.01	190.34	112.77	209.84	135.24	201.25	197.09	214.27	122.64	64.34	189.02	217.27	314.17	155.5	177.53	406.31	265.87	176.29	43.32	141.02	483.38	295.11	124.37	67.12	81.71
VPS4B	373.81	389.72	808.0	587.13	395.18	379.04	647.07	334.46	497.0	218.79	665.29	289.02	217.27	269.6	947.83	4769.75	511.0	607.87	480.04	457.25	283.05	450.94	825.0	525.39	409.15	1250.98	607.87	409.15	988.12	769.69	890.44	616.37	1250.98	819.3	1359.57	559.28	1709.26	902.89	651.58	1572.76	1745.2	780.44	1437.15	723.08	1407.55	688.78	759.08	1350.18	1628.26	1143.1	759.08	1447.15	1127.35	1950.0	384.34	1923.14	1183.45	1119.56	2351.53	1487.87	988.12	1143.1	1037.29	460.44	406.31	591.22	738.29	2163.77	896.64	1242.34	1111.82	348.71	1467.37	1378.57	612.11	934.76	981.29	723.08	665.29	718.08	878.17	1832.01	1350.18	830.75	1183.45	1844.76	412.0	854.13	1487.87	802.41	567.1	620.67	358.54	967.76	463.65	1397.83	1487.87	1151.06	334.46	532.74	1628.26	947.83	1225.22	1143.1	1073.91	1216.75	1721.16	1015.93	220.32	255.0	2335.28	1594.73	201.25	201.25	220.32
ZBED6	6.41	3.29	45.53	5.92	10.63	5.54	13.12	3.56	2.25	1.69	55.89	0.72	19.39	1.89	134.3	54.72	31.22	31.22	30.78	2.63	16.03	35.25	16.39	46.5	4.74	85.82	53.57	22.59	95.34	42.41	198.47	37.59	35.25	10.55	80.01	5.5	95.34	42.11	76.17	103.69	149.12	55.89	90.14	25.17	131.51	143.01	17.0	92.05	114.36	78.34	35.76	56.28	72.52	96.01	32.36	307.69	107.38	248.0	140.04	157.68	40.93	81.71	81.14	11.3	28.65	16.15	113.56	156.59	115.16	52.45	128.79	14.03	138.1	116.78	9.63	23.93	214.27	76.17	47.17	32.13	54.72	258.57	82.29	115.16	36.53	137.14	25.91	9.2	100.83	104.42	36.79	55.1	14.56	149.12	10.55	116.78	120.94	237.86	11.73	15.91	95.34	120.94	127.89	52.45	88.88	218.79	144.01	12.09	5.19	1.0	36.01	127.89	2.86	1.85	3.56
ZDHHC20	70.01	59.55	435.55	121.79	112.77	120.1	303.44	177.53	26.1	80.01	435.55	48.87	120.1	57.08	463.65	1059.11	226.54	234.57	98.04	53.95	74.06	162.14	120.1	119.26	59.13	295.11	211.31	119.26	202.66	94.01	684.02	305.55	866.07	161.02	507.46	117.6	540.19	253.23	466.88	470.14	830.75	412.0	603.67	197.09	743.43	591.22	106.63	514.56	743.43	718.08	265.87	336.79	629.35	503.95	189.02	842.36	454.09	708.18	1008.9	713.11	346.29	571.05	193.01	132.44	132.44	217.27	551.56	1096.5	551.56	392.44	769.69	189.02	441.64	674.59	127.89	114.36	738.29	412.0	231.32	158.79	392.44	941.27	309.83	525.39	400.71	878.17	281.09	88.26	559.28	346.29	211.31	409.15	130.6	1191.69	27.64	450.94	587.13	981.29	82.87	297.17	536.45	796.86	603.67	395.18	397.93	813.63	902.89	253.23	28.45	22.59	1295.13	525.39	23.42	16.39	36.01
ZNF770	81.71	118.43	293.07	75.64	136.19	172.65	116.78	42.11	44.57	14.56	379.04	25.91	85.22	90.14	470.14	4328.55	256.78	131.51	183.82	29.06	92.7	251.48	173.85	301.33	35.76	412.0	279.14	264.03	470.14	183.82	540.19	277.2	728.11	163.28	466.88	116.78	591.22	536.45	353.59	587.13	483.38	642.59	796.86	301.33	718.08	325.29	381.68	525.39	713.11	921.88	389.72	563.18	420.68	470.14	103.69	638.15	414.87	503.95	1088.92	921.88	277.2	785.88	346.29	94.01	95.34	223.41	301.33	890.44	638.15	450.94	733.19	134.3	387.02	490.14	140.04	239.52	579.04	131.51	75.11	258.57	493.56	447.82	392.44	555.41	540.19	866.07	85.22	187.71	454.09	642.59	177.53	518.15	98.73	723.08	101.54	361.04	808.0	323.03	128.79	159.9	518.15	473.41	775.05	353.59	743.43	988.12	665.29	511.0	36.79	46.5	1745.2	521.76	37.85	35.76	42.41
