	GTEX.14C38.2626.SM.5RQI4	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4627.11A.01R.1758.07	TCGA.38.4632.11A.01R.1755.07	GTEX.13D11.0326.SM.5LZXX	GTEX.ZZPU.0526.SM.5E44U	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.R55G.0826.SM.2TC5U	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.PWOO.0726.SM.2I3EB	GTEX.WVJS.0826.SM.4MVNR	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07
EPHA4	49.91	72.01	76.17	53.57	81.14	12.55	54.33	25.17	1.79	25.91	15.22	12.27	7.69	19.68	9.2	13.42	20.71	8.71	10.0	18.97	23.25	11.64	5.73	10.24	13.62	22.59	56.68	15.22	16.15	1.75	12.18	8.71	20.26	68.55	7.82	24.46	2.05	66.65	16.39	6.94	13.22	5.28	14.03	8.0	8.92	20.11	137.14	63.45	109.66	128.79	76.17	136.19	39.5	251.48	108.14	97.36	111.21	283.05	138.1	185.11	27.05	432.53	84.63	64.34	187.71	279.14	76.17	151.22	93.35
FAM198B	165.57	172.65	525.39	138.1	108.14	48.52	145.02	129.69	26.47	127.0	86.43	36.01	45.53	88.26	33.78	39.22	41.22	19.39	92.7	57.89	121.79	34.75	43.63	20.26	67.12	155.5	180.02	70.01	29.06	10.79	46.84	40.36	38.4	267.73	25.35	80.01	17.38	426.57	25.72	32.13	117.6	21.94	27.44	38.95	117.6	85.82	376.41	748.61	336.79	563.18	934.76	518.15	1498.22	791.35	400.71	813.63	96.68	733.19	1594.73	503.95	187.71	327.56	454.09	476.71	981.29	384.34	169.07	293.07	320.8
FAM26E	6.84	2.94	57.08	8.58	10.96	2.86	9.56	12.0	3.92	8.38	2.03	4.13	2.2	5.23	2.61	4.62	1.39	3.35	3.63	9.27	16.51	2.2	6.46	2.39	7.4	5.54	15.0	6.11	5.06	1.45	3.2	4.62	3.66	15.8	1.22	4.82	1.69	16.88	2.68	3.96	7.34	5.45	1.08	4.58	4.86	8.25	24.28	13.62	72.52	18.16	68.07	70.01	85.22	78.89	29.06	23.25	29.06	19.68	61.68	59.55	61.68	25.72	16.27	45.21	26.28	26.1	16.39	82.29	25.17
FBLN2	1322.37	108.9	947.83	209.84	563.18	2.16	242.88	314.17	18.84	197.09	38.95	21.32	13.62	164.42	28.04	57.08	7.88	9.34	3.06	194.36	387.02	49.56	166.73	24.11	241.19	33.54	507.46	31.0	51.71	24.99	6.46	9.34	6.84	536.45	25.17	149.12	10.31	563.18	20.56	170.25	69.03	89.51	107.38	13.72	279.14	120.1	540.19	327.56	473.41	269.6	1030.12	791.35	2664.15	1322.37	934.76	981.29	164.42	954.43	2573.36	267.73	1487.87	563.18	1023.0	1096.5	126.12	1304.15	500.46	429.54	934.76
FBN1	603.67	84.04	830.75	253.23	186.4	15.91	224.97	217.27	58.71	190.34	45.21	32.82	46.5	85.22	31.0	28.86	11.13	17.9	51.35	172.65	249.73	30.12	133.36	26.86	173.85	47.84	368.65	73.03	89.51	22.59	36.79	40.36	31.67	323.03	18.7	82.87	22.92	480.04	47.17	83.45	64.8	49.21	31.22	17.51	88.88	47.5	460.44	373.81	1378.57	423.61	1923.14	591.22	2104.58	607.87	1331.57	395.18	96.68	476.71	5076.84	2075.59	1066.48	1127.35	450.94	638.15	256.78	454.09	647.07	1127.35	703.28
FNDC1	140.04	13.83	180.02	38.67	22.59	0.0	37.85	25.54	8.78	23.42	1.66	0.71	1.36	5.32	1.87	1.71	0.0	0.4	0.73	66.65	81.14	0.43	12.64	0.0	21.47	2.76	76.17	0.41	12.18	2.78	0.39	2.01	2.43	65.72	1.53	8.51	0.0	96.68	7.51	18.84	15.56	20.26	16.75	3.5	4.78	20.41	35.76	53.95	19.39	8.92	20.71	11.3	507.46	186.4	4.58	289.02	4.74	13.12	91.41	11.55	56.28	13.62	35.0	21.63	5.23	41.22	16.88	41.52	34.02
FTL	1221310.69	1422501.74	1355129.16	998912.34	1422501.74	726195.27	1123834.93	971597.0	2111737.85	1327240.99	1452391.55	1026995.62	1393227.06	1055868.42	663619.99	691801.16	419990.32	1514068.5	919186.72	985160.01	746611.43	1100706.72	958220.73	912837.43	932018.1	822695.06	857631.47	1147449.11	894051.48	1493223.86	475800.4	992012.34	900270.11	811368.76	627822.72	925580.18	736332.6	881742.8	2294899.22	1179708.33	1327240.99	1147449.11	1374046.07	1055868.42	1131651.83	2326934.84	998912.34	1273174.62	659036.03	1204496.53	741454.2	834179.46	845824.19	1336472.68	938500.81	945028.61	971597.0	845824.19	875652.15	783730.52	932018.1	887875.81	1327240.99	741454.2	945028.61	900270.11	1179708.33	762299.34	971597.0
GIPC3	26.86	19.25	90.14	24.63	60.82	8.85	51.71	53.95	14.67	36.79	26.67	22.1	28.86	31.67	9.56	16.39	10.16	15.68	25.54	239.52	48.87	16.75	33.3	17.38	55.49	21.32	56.28	27.64	30.34	11.91	7.28	29.91	12.27	78.34	14.03	27.64	8.92	76.71	10.63	16.75	22.26	10.55	14.56	13.22	35.76	31.67	47.5	30.12	90.14	43.02	32.59	40.64	73.03	67.12	53.57	128.79	54.33	82.29	74.06	38.67	80.57	48.18	33.06	177.53	57.89	57.89	54.72	181.28	46.18
GLI2	26.67	3.0	43.94	10.08	6.36	0.0	8.06	8.19	2.23	6.46	0.0	0.57	1.2	3.72	1.04	0.68	0.0	0.0	0.58	5.63	7.88	0.61	2.68	0.59	2.76	2.46	9.85	0.59	3.08	0.53	0.0	0.58	0.91	8.38	0.0	2.73	0.0	18.16	1.36	5.15	2.51	7.51	3.35	8.13	3.96	4.66	42.41	107.38	32.59	15.68	44.57	10.79	52.45	239.52	37.05	138.1	6.46	41.81	217.27	48.52	28.45	12.18	48.52	21.16	6.06	41.22	40.64	180.02	41.22
GLT8D2	124.37	27.84	158.79	46.18	48.52	4.78	43.02	60.39	15.8	49.56	14.24	12.64	12.74	24.11	6.41	16.51	9.7	7.51	9.13	40.36	82.87	17.51	30.34	24.46	24.28	8.19	73.03	9.13	20.11	4.1	7.51	8.19	7.57	108.14	10.96	25.91	3.79	127.89	8.38	17.77	43.02	41.22	30.78	6.41	40.93	30.12	152.28	71.5	297.17	146.03	142.01	325.29	532.74	301.33	236.21	241.19	97.36	59.55	693.58	167.9	543.96	92.05	128.79	518.15	44.25	194.36	185.11	353.59	314.17
GPR124	176.29	33.06	457.25	83.45	171.45	10.71	169.07	173.85	41.22	105.15	28.24	22.43	28.24	58.71	13.42	29.06	2.68	18.43	26.1	137.14	175.07	26.1	72.52	15.22	81.14	22.75	221.86	49.21	71.5	18.16	12.64	29.91	37.32	239.52	13.12	58.3	9.7	332.14	22.75	93.35	85.22	39.79	57.89	37.59	121.79	88.88	271.48	167.9	297.17	121.79	256.78	249.73	1628.26	551.56	242.88	447.82	199.85	348.71	785.88	167.9	802.41	139.07	703.28	830.75	123.5	258.57	273.37	848.22	236.21
GPR173	11.73	53.19	32.13	10.16	3.79	0.83	10.88	6.57	2.68	3.14	0.0	9.85	2.63	2.2	0.85	2.01	0.0	2.1	1.66	4.24	2.97	1.31	3.2	4.7	4.7	0.0	10.47	1.27	10.24	1.1	0.0	1.68	1.57	9.2	1.14	4.21	0.73	8.25	0.92	2.53	4.66	1.89	2.76	0.54	1.16	0.97	42.71	5.59	15.0	23.08	24.63	14.03	14.67	57.08	4.54	51.71	11.82	14.78	38.95	14.56	32.13	15.91	59.13	10.88	9.27	16.63	26.47	80.01	32.59
GPR20	23.25	1.11	7.51	2.27	11.73	0.0	9.48	12.27	1.77	5.73	0.6	0.0	1.14	1.35	0.0	2.53	0.0	0.53	0.0	10.55	2.43	0.0	2.2	0.92	3.53	0.6	25.54	2.1	1.95	0.79	0.0	0.0	0.0	18.7	1.16	1.85	2.34	11.73	0.3	2.89	7.11	0.0	4.39	1.39	0.46	4.43	17.0	8.65	21.78	11.91	21.32	34.75	10.88	12.0	13.22	31.67	30.12	10.63	18.84	11.55	29.27	5.45	10.55	51.35	12.45	15.22	6.31	32.59	9.06
HAS1	258.57	4.03	1.25	4.5	4.39	0.0	7.28	15.11	0.32	8.99	0.37	0.0	0.0	6.36	0.0	1.17	0.0	0.0	0.29	3.5	9.63	0.0	1.36	1.58	2.78	0.0	26.28	0.0	0.0	0.79	0.0	1.23	0.0	32.36	0.0	2.1	0.0	16.88	3.2	7.34	1.68	6.89	8.99	0.0	2.34	4.86	11.47	1.99	22.43	155.5	78.89	12.45	78.34	71.5	16.15	13.52	11.82	13.12	14.89	16.39	281.09	16.51	7.63	10.47	5.96	15.22	6.78	9.63	69.03
HECW2	59.97	2.63	31.22	13.62	7.06	10.31	31.9	40.93	9.27	31.45	19.11	13.72	6.84	28.24	7.34	9.56	15.22	4.58	10.55	19.97	18.16	7.57	12.36	15.91	19.82	24.28	36.79	29.7	12.83	2.43	7.0	7.63	9.78	60.82	4.43	15.22	3.86	78.34	19.68	25.54	66.18	25.17	18.16	10.24	28.04	40.36	107.38	21.78	149.12	56.28	57.89	88.26	22.75	166.73	173.85	94.01	78.89	195.72	231.32	137.14	269.6	107.38	20.71	39.5	295.11	91.41	297.17	316.37	110.43
HEPH	314.17	28.86	314.17	55.89	95.34	9.63	64.8	71.0	26.1	48.18	22.26	4.03	7.63	23.93	5.77	12.93	5.32	8.0	15.8	31.45	62.56	13.03	27.25	8.13	45.21	9.48	88.26	17.51	15.68	7.4	17.77	12.0	12.0	112.77	9.63	20.41	4.43	110.43	11.21	30.78	35.25	18.84	18.7	10.71	60.39	34.02	167.9	76.71	384.34	95.34	111.21	170.25	693.58	551.56	258.57	123.5	87.03	158.79	693.58	368.65	660.68	136.19	180.02	454.09	125.24	358.54	224.97	483.38	273.37
HEYL	323.03	59.55	358.54	83.45	265.87	9.27	273.37	229.72	81.14	223.41	23.93	32.36	25.35	80.57	27.84	31.45	4.31	21.63	40.36	193.01	260.38	39.22	162.14	49.91	118.43	24.28	314.17	59.55	87.03	49.56	14.56	43.02	43.32	303.44	19.82	67.12	35.25	450.94	5.82	85.82	36.27	35.76	40.07	19.11	84.63	10.47	299.25	194.36	780.44	244.57	457.25	283.05	96.68	638.15	373.81	543.96	896.64	147.06	529.06	624.99	909.17	318.57	262.2	262.2	293.07	244.57	387.02	432.53	221.86
HSPA12B	24.63	36.53	198.47	31.9	181.28	27.05	94.67	117.6	8.0	64.8	31.22	39.22	44.25	59.13	28.24	45.21	16.63	36.79	14.78	58.3	105.89	24.11	44.57	24.99	59.97	36.79	126.12	37.59	54.72	12.64	13.22	77.79	24.81	167.9	16.39	58.71	9.85	151.22	10.0	19.11	62.12	10.47	12.18	15.34	33.06	18.97	271.48	72.01	543.96	162.14	299.25	587.13	124.37	224.97	796.86	633.73	466.88	500.46	450.94	389.72	171.45	397.93	128.79	536.45	281.09	320.8	178.77	866.07	181.28
HSPG2	2400.97	796.86	3589.58	748.61	2758.13	343.89	1250.98	1216.75	414.87	1175.27	629.35	579.04	633.73	791.35	256.78	483.38	157.68	438.59	674.59	1183.45	1417.35	339.14	674.59	974.5	1143.1	532.74	2090.03	397.93	595.34	218.79	127.0	532.74	358.54	1709.26	307.69	674.59	343.89	2682.69	220.32	234.57	753.83	275.28	297.17	379.04	579.04	470.14	2255.7	1594.73	1151.06	674.59	1963.57	2895.31	8538.88	3103.19	3589.58	2895.31	796.86	896.64	6164.49	3168.41	1923.14	1745.2	4298.64	3280.18	988.12	2451.44	791.35	2148.82	1175.27
IL3RA	1896.65	31.67	108.14	75.11	105.15	23.08	100.83	122.64	21.78	128.79	42.41	66.18	24.81	72.01	27.05	47.17	13.52	35.25	38.95	44.57	117.6	28.04	26.86	23.25	66.18	33.06	130.6	38.12	32.59	12.09	21.01	94.67	19.53	163.28	34.26	61.25	12.45	211.31	15.11	16.39	24.81	8.71	17.51	16.51	21.63	10.08	239.52	99.43	490.14	283.05	307.69	159.9	295.11	199.85	209.84	599.49	1073.91	379.04	334.46	98.04	612.11	162.14	115.97	123.5	277.2	460.44	68.07	392.44	312.0
INMT	81.14	37.85	981.29	234.57	366.09	7.63	156.59	141.02	16.63	81.71	1.17	6.21	17.9	152.28	24.63	19.39	13.83	6.78	6.06	58.3	177.53	6.62	162.14	8.32	123.5	44.25	94.67	16.63	27.05	11.64	51.35	19.39	4.66	209.84	23.25	49.91	19.25	426.57	158.79	277.2	1628.26	98.73	297.17	242.88	376.41	299.25	1350.18	126.12	7857.29	2224.63	1447.15	5041.77	1151.06	228.13	860.08	2502.97	4268.94	163.28	2485.67	7749.1	3639.7	4869.99	463.65	6294.04	13492.72	13872.08	6079.61	1369.04	1896.65
ITGA9	61.68	24.46	185.11	33.3	69.03	9.13	43.32	77.79	53.19	40.07	12.18	74.06	12.74	77.25	23.59	15.56	4.9	12.18	37.85	49.56	59.55	11.47	68.07	15.68	46.84	21.78	62.12	16.51	34.02	7.88	12.55	19.82	19.82	74.58	10.63	29.06	4.1	111.99	35.76	57.89	110.43	48.87	62.12	44.89	157.68	148.09	98.04	46.18	242.88	96.68	299.25	303.44	392.44	158.79	242.88	146.03	71.0	57.49	684.02	275.28	791.35	147.06	57.49	165.57	181.28	242.88	118.43	384.34	144.01
ITGBL1	73.54	14.24	848.22	164.42	64.8	2.2	217.27	392.44	38.12	232.94	3.72	8.65	10.31	62.56	127.89	18.56	0.97	2.43	8.25	78.34	231.32	3.03	116.78	21.47	130.6	15.45	239.52	277.2	28.45	19.97	9.56	24.81	141.02	514.56	2.51	98.04	2.07	514.56	21.16	84.04	40.36	43.02	117.6	9.13	130.6	85.22	414.87	521.76	1407.55	194.36	483.38	389.72	4152.18	2303.12	599.49	379.04	94.01	167.9	2224.63	392.44	2351.53	507.46	708.18	1023.0	251.48	693.58	1066.48	336.79	187.71
JAM2	314.17	42.41	209.84	82.29	92.05	13.93	148.09	131.51	8.45	98.73	22.1	39.22	38.95	53.57	15.22	45.21	22.59	21.78	15.34	63.0	150.17	57.49	37.59	14.03	64.8	34.02	234.57	28.45	60.82	13.22	14.45	38.12	16.75	239.52	28.04	65.72	13.62	246.28	41.22	28.24	75.64	24.99	65.26	43.02	66.65	71.0	334.46	99.43	708.18	460.44	368.65	995.0	412.0	397.93	928.3	612.11	1322.37	256.78	638.15	351.14	529.06	186.4	371.22	733.19	139.07	312.0	379.04	733.19	470.14
JPH4	1.13	17.0	48.87	27.64	76.17	1.51	3.82	11.64	1.16	2.92	2.86	4.13	5.15	1.48	3.0	1.35	0.75	0.74	3.96	7.0	3.08	1.17	2.25	3.41	3.06	2.84	6.84	0.77	3.82	0.35	1.03	1.41	1.3	9.2	0.37	1.95	0.64	12.55	0.97	0.0	18.7	2.29	1.55	4.06	11.82	3.35	26.28	1.85	42.71	26.47	53.19	162.14	14.67	110.43	59.13	24.28	142.01	24.28	65.72	78.89	98.73	76.17	26.28	74.58	191.67	172.65	126.12	167.9	42.71
KAL1	3.03	93.35	133.36	70.01	62.56	0.72	13.52	16.88	5.63	13.03	3.06	14.35	0.0	8.0	4.17	1.64	0.68	0.67	5.19	6.62	15.11	1.43	3.79	6.26	3.23	1.19	11.47	0.36	4.78	0.84	0.33	50.98	1.2	25.35	0.6	6.52	1.36	65.26	1.08	2.66	7.22	0.51	2.63	7.4	18.16	5.28	297.17	17.64	624.99	297.17	665.29	2664.15	339.14	258.57	187.71	463.65	463.65	703.28	397.93	1617.0	312.0	563.18	791.35	1781.89	1674.06	1225.22	241.19	1268.46	409.15
KDR	309.83	30.34	239.52	94.01	155.5	73.54	115.97	180.02	38.12	162.14	167.9	29.48	102.97	115.97	39.79	59.55	87.65	29.91	99.43	94.01	127.89	85.82	90.14	29.27	115.97	169.07	208.38	172.65	62.56	9.41	39.79	55.1	49.56	271.48	27.84	128.79	31.45	241.19	54.72	80.01	287.01	104.42	48.18	136.19	497.0	309.83	476.71	173.85	334.46	285.03	305.55	1008.9	76.71	94.67	555.41	279.14	571.05	158.79	334.46	334.46	218.79	297.17	37.05	242.88	679.29	371.22	214.27	323.03	303.44
KIF26A	50.63	5.45	36.27	5.41	24.28	1.28	16.15	24.46	2.78	6.78	4.74	2.18	8.19	9.06	0.93	7.06	1.58	4.66	2.25	20.11	12.0	4.7	7.57	1.95	11.13	3.92	37.05	4.1	7.0	0.74	1.16	2.94	1.45	23.42	2.03	8.13	1.03	34.02	2.39	11.3	17.13	3.69	6.52	11.38	32.13	23.25	40.93	10.39	48.52	40.36	25.35	37.85	6.11	11.38	53.57	32.36	102.97	12.27	53.19	31.0	16.63	13.62	18.16	101.54	26.1	55.1	25.72	70.51	35.76
KIRREL	147.06	176.29	423.61	129.69	239.52	8.45	81.71	87.65	28.24	45.21	17.38	8.99	13.32	32.36	11.82	16.88	3.53	12.83	23.25	100.83	59.55	21.47	44.89	14.14	37.05	22.59	112.77	32.36	40.64	9.2	7.94	16.27	14.45	95.34	11.55	30.56	6.11	149.12	16.75	48.87	23.25	17.25	23.59	10.88	30.34	26.28	339.14	108.14	392.44	251.48	693.58	329.84	536.45	651.58	351.14	249.73	98.04	348.71	941.27	836.53	500.46	591.22	285.03	199.85	204.07	237.86	88.26	256.78	361.04
KRT27	0.0	6.89	0.84	1.35	4.74	0.0	6.78	10.47	0.0	1.58	2.86	0.0	0.0	5.63	0.0	0.33	0.26	0.87	0.0	0.0	1.19	0.61	0.61	0.0	2.36	0.0	7.57	0.26	0.0	0.0	0.0	0.25	0.51	16.63	0.0	4.98	0.0	5.02	3.06	11.47	19.97	0.0	4.7	0.0	2.86	0.0	29.91	2.56	20.11	17.38	55.49	70.51	0.0	14.89	14.35	12.45	18.84	31.22	27.05	35.76	0.0	42.41	27.44	15.8	20.71	44.57	11.91	17.77	46.18
LAMA2	56.28	12.55	55.49	35.0	19.97	0.69	60.82	109.66	5.5	40.93	5.23	17.38	16.88	34.75	1.57	11.64	0.0	1.06	3.32	33.06	33.3	1.97	103.69	21.63	44.57	2.14	41.52	6.41	7.69	11.82	7.63	6.57	4.1	111.99	2.68	17.13	0.0	115.16	8.92	55.89	27.44	33.54	43.32	7.57	95.34	44.89	236.21	27.64	373.81	126.12	463.65	303.44	764.36	336.79	723.08	205.5	242.88	348.71	830.75	848.22	406.31	796.86	395.18	173.85	327.56	540.19	214.27	162.14	279.14
LDB3	81.71	3.76	32.36	8.71	18.84	6.26	18.7	13.22	7.22	11.13	2.05	1.71	0.99	5.23	1.93	8.45	4.13	2.23	0.0	4.58	7.34	3.41	3.92	2.27	2.48	3.72	47.84	1.35	4.35	1.57	3.47	1.77	2.07	23.42	6.11	6.06	4.62	15.68	1.43	5.45	3.32	1.62	4.86	2.23	4.62	2.36	13.42	1.97	58.3	31.9	40.36	101.54	59.55	33.78	66.18	20.71	36.01	5.63	64.8	39.22	108.14	63.0	38.4	148.09	29.48	58.3	57.49	11.82	28.24
LHFP	373.81	217.27	1594.73	309.83	559.28	38.12	366.09	316.37	96.68	253.23	96.01	108.9	61.68	159.9	55.1	103.69	32.13	126.12	82.87	275.28	457.25	90.14	157.68	54.72	193.01	95.34	575.03	100.83	195.72	72.01	84.63	120.1	113.56	733.19	74.58	177.53	43.32	603.67	86.43	255.0	127.89	62.12	173.85	50.27	248.0	154.42	878.17	279.14	1883.54	848.22	703.28	1467.37	981.29	921.88	674.59	1233.75	872.1	638.15	1477.58	854.13	2935.74	575.03	503.95	1457.23	1066.48	1259.69	1143.1	2224.63	1059.11
LOXL1	237.86	629.35	1313.23	723.08	559.28	4.66	323.03	579.04	118.43	332.14	37.85	59.13	26.67	232.94	50.27	30.56	5.63	22.43	43.32	329.84	708.18	7.63	275.28	38.4	318.57	43.63	356.05	15.91	176.29	57.49	12.36	29.27	14.24	567.1	23.93	199.85	13.72	414.87	70.51	120.94	98.04	74.06	316.37	24.99	61.68	25.17	493.56	303.44	1268.46	320.8	785.88	674.59	3564.78	2485.67	228.13	1781.89	163.28	769.69	2758.13	476.71	624.99	1073.91	1286.18	1088.92	209.84	229.72	674.59	2018.8	961.07
LRRC10B	55.49	2.94	14.45	5.41	16.39	2.07	15.56	13.03	6.94	12.83	5.28	1.87	2.97	2.41	0.53	13.72	0.49	3.38	5.41	19.68	16.15	7.06	4.06	9.06	11.21	2.73	35.0	5.28	7.57	1.36	1.51	0.48	4.7	15.8	4.58	5.32	0.42	28.04	0.16	1.48	0.51	1.57	0.16	0.17	3.03	0.0	5.68	1.43	43.63	59.13	329.84	232.94	191.67	32.82	159.9	33.54	99.43	11.55	38.4	209.84	269.6	103.69	287.01	40.93	13.42	147.06	16.88	169.07	63.89
LTBP2	112.77	138.1	1111.82	180.02	189.02	16.88	258.57	299.25	32.13	153.34	20.11	31.9	95.34	96.68	20.56	25.35	13.22	7.4	18.84	135.24	209.84	58.3	111.21	48.18	147.06	52.45	181.28	8.78	70.51	46.18	12.74	22.59	11.3	397.93	25.91	83.45	17.25	447.82	8.92	31.22	9.63	23.25	29.48	34.75	54.33	30.12	1167.14	307.69	1540.37	738.29	466.88	406.31	2609.3	2004.85	6037.61	1417.35	603.67	974.5	5147.73	974.5	7280.4	1583.71	1477.58	5219.6	351.14	1143.1	2997.45	5555.65	896.64
LZTS1	34.51	13.93	88.88	22.59	63.0	4.7	66.18	65.72	24.46	66.18	15.8	27.44	12.09	33.06	8.78	7.75	2.61	16.27	12.74	54.72	46.5	12.09	18.43	14.78	30.56	12.36	65.26	21.63	24.81	13.93	10.0	18.29	12.83	88.26	18.84	20.71	4.98	108.9	4.62	15.45	10.63	1.58	7.11	3.86	8.71	5.41	85.82	49.21	145.02	46.18	46.18	42.71	46.84	199.85	21.63	111.21	103.69	65.72	132.44	31.67	329.84	27.64	97.36	87.03	32.36	41.22	110.43	133.36	79.45
MAMDC2	28.45	53.57	44.57	76.17	40.64	1.73	5.82	5.63	0.53	2.14	4.62	0.0	0.62	5.96	1.38	1.55	1.28	0.51	2.36	2.68	5.77	1.77	10.16	0.0	8.45	1.48	13.83	2.46	2.66	0.44	13.72	12.18	1.16	13.03	4.46	2.66	0.44	6.41	6.78	12.74	8.51	5.11	6.26	2.36	6.46	4.82	368.65	11.21	967.76	417.77	476.71	684.02	379.04	21.94	595.34	148.09	616.37	163.28	1286.18	1216.75	1096.5	1159.07	46.5	447.82	473.41	703.28	420.68	497.0	379.04
MARVELD1	151.22	444.72	947.83	780.44	656.11	21.01	159.9	111.21	35.5	119.26	35.5	209.84	18.29	57.89	29.48	23.93	6.36	22.75	51.71	101.54	267.73	21.78	77.25	148.09	75.64	19.25	128.79	23.08	134.3	36.53	15.91	32.36	25.17	191.67	23.93	57.49	56.68	346.29	19.82	59.55	56.68	40.07	53.57	38.67	66.18	70.51	684.02	206.94	995.0	759.08	896.64	830.75	1733.13	1662.49	728.11	872.1	947.83	420.68	1447.15	1066.48	679.29	1015.93	954.43	1806.78	1427.22	941.27	769.69	1322.37	848.22
MEOX1	167.9	1.83	52.45	6.26	2.92	0.0	18.97	28.45	0.46	22.1	1.35	3.69	10.47	5.11	0.47	1.85	0.0	0.43	0.43	6.57	48.18	0.85	3.08	0.8	5.06	0.93	14.56	1.53	16.88	5.5	0.0	2.51	0.4	18.29	0.72	10.79	0.96	46.5	0.82	3.23	0.0	5.54	6.57	1.43	3.29	5.19	40.07	12.27	23.59	12.83	6.36	29.48	14.45	13.03	23.93	41.81	19.68	3.69	88.26	2.78	10.0	18.43	4.17	57.89	2.03	67.12	5.59	64.8	37.32
MFAP4	5831.91	447.82	3639.7	988.12	246.28	0.0	460.44	543.96	46.84	414.87	2.39	116.78	5.63	277.2	43.02	38.95	2.48	10.47	6.31	258.57	684.02	20.26	400.71	329.84	277.2	29.06	336.79	4.98	115.16	43.63	2.73	16.51	4.1	921.88	16.51	237.86	1.77	647.07	303.44	2178.83	164.42	1051.79	896.64	47.5	842.36	297.17	3515.68	320.8	10225.32	6294.04	1508.65	4358.66	22535.88	1794.29	6207.38	8363.13	2720.15	2224.63	13123.73	3614.55	65990.84	8134.41	764.36	53601.03	3280.18	6337.83	16496.96	17317.18	5633.22
MN1	46.84	6.62	40.64	10.39	14.35	1.57	16.39	18.29	5.54	11.13	3.53	1.79	1.83	8.06	1.6	2.27	1.5	1.08	4.06	14.03	14.89	2.01	5.23	2.27	8.19	2.18	15.11	3.47	7.69	2.58	4.28	2.63	1.73	19.97	1.35	5.77	2.89	26.47	6.46	3.29	3.53	3.03	7.51	5.63	8.78	18.7	29.27	27.44	39.22	25.91	31.22	126.12	36.01	88.26	135.24	63.45	157.68	57.89	88.88	69.03	159.9	130.6	13.93	29.7	28.24	21.94	70.51	41.22	49.56
MRC2	363.56	454.09	1073.91	253.23	309.83	9.85	242.88	215.77	74.58	204.07	36.79	44.25	20.86	57.08	75.11	24.63	6.94	14.56	118.43	212.78	218.79	22.26	102.97	22.43	130.6	36.27	201.25	20.11	138.1	52.82	9.48	43.02	42.11	246.28	15.8	76.71	17.38	463.65	26.1	242.88	103.69	137.14	89.51	47.84	248.0	85.22	2004.85	1015.93	2255.7	902.89	1037.29	733.19	4328.55	4937.99	825.0	1583.71	1151.06	1605.83	4704.07	2537.92	6607.01	1159.07	3280.18	3257.52	896.64	2956.17	2224.63	3742.05	1697.45
