	GTEX.SE5C.1026.SM.4BRUG	GTEX.1399U.2226.SM.5KLZI	GTEX.12WSJ.0826.SM.5PNWV	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.ZVZP.1426.SM.5NQ7R	GTEX.YF7O.0826.SM.4W21F	GTEX.S95S.0326.SM.4B66U	TCGA.VQ.A8PC.01A.11R.A39E.31	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.BR.8485.01A.11R.2402.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6563.01A.13R.2055.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.VQ.A928.01A.11R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.FP.7735.11A.01R.2055.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.13O61.1126.SM.5L3FI
PTBP3	165.57	202.66	86.43	156.59	172.65	117.6	140.04	191.67	1923.14	988.12	1030.12	902.89	1769.57	928.3	928.3	620.67	450.94	909.17	1143.1	1417.35	1183.45	808.0	86.43	532.74	909.17	480.04	575.03	503.95	197.09
PTPLB	197.09	305.55	212.78	234.57	397.93	229.72	348.71	262.2	579.04	1096.5	642.59	480.04	638.15	514.56	466.88	392.44	379.04	563.18	551.56	780.44	466.88	791.35	366.09	368.65	571.05	334.46	343.89	392.44	248.0
PWP2	220.32	295.11	215.77	305.55	258.57	242.88	237.86	423.61	368.65	603.67	450.94	348.71	514.56	346.29	403.5	320.8	336.79	454.09	376.41	447.82	518.15	435.55	255.0	363.56	323.03	289.02	269.6	236.21	172.65
QSER1	46.84	46.5	31.67	95.34	116.78	66.18	71.0	104.42	199.85	273.37	323.03	241.19	198.47	170.25	128.79	127.0	221.86	149.12	351.14	384.34	361.04	206.94	90.14	139.07	161.02	98.04	96.68	104.42	71.5
RAB2A	1781.89	2351.53	1857.6	1674.06	1870.53	1457.23	2018.8	1745.2	2502.97	2777.33	2835.7	2075.59	2997.45	2609.3	2627.46	2004.85	2796.65	3039.3	3955.48	2573.36	2335.28	3491.39	1628.26	1963.57	2664.15	2119.22	2148.82	1977.24	2537.92
RALGAPA2	50.27	82.29	69.52	212.78	186.4	139.07	135.24	373.81	1008.9	1963.57	902.89	791.35	764.36	842.36	571.05	480.04	1023.0	934.76	1427.22	1191.69	2148.82	1081.39	115.16	387.02	872.1	403.5	669.92	232.94	94.01
RANGAP1	842.36	607.87	708.18	780.44	693.58	738.29	620.67	878.17	1457.23	1540.37	1819.35	753.83	1250.98	1540.37	1733.13	848.22	1183.45	1208.34	1561.89	1015.93	1397.83	1119.56	759.08	748.61	753.83	723.08	769.69	748.61	536.45
RECQL4	76.71	93.35	59.97	78.34	57.49	72.01	40.36	85.82	403.5	575.03	842.36	234.57	476.71	902.89	343.89	76.17	551.56	262.2	896.64	830.75	587.13	457.25	34.75	77.79	136.19	159.9	97.36	153.34	64.34
RFX1	100.83	137.14	90.14	170.25	156.59	149.12	142.01	132.44	273.37	497.0	267.73	289.02	314.17	231.32	242.88	269.6	343.89	351.14	295.11	329.84	417.77	281.09	120.1	285.03	231.32	194.36	172.65	170.25	137.14
RHPN2	13.12	130.6	15.0	62.56	40.93	2.89	10.63	45.85	1594.73	4388.98	1427.22	1331.57	981.29	1388.16	2004.85	435.55	1037.29	878.17	1407.55	967.76	2520.38	1594.73	6.21	351.14	1844.76	400.71	748.61	567.1	35.76
RPN1	2104.58	2997.45	2367.9	1757.34	1733.13	1781.89	1832.01	2193.99	3982.99	7642.41	4298.64	3742.05	4543.8	5292.48	6840.04	3901.01	3540.14	6337.83	5403.7	5006.93	4512.4	8247.98	2451.44	3168.41	4972.34	4066.71	4268.94	4152.18	2701.35
RREB1	121.79	161.02	94.01	237.86	221.86	191.67	187.71	199.85	521.76	769.69	563.18	387.02	460.44	400.71	381.68	248.0	307.69	381.68	540.19	299.25	529.06	403.5	182.55	336.79	409.15	177.53	236.21	140.04	115.97
RTEL1	77.25	102.97	131.51	376.41	249.73	262.2	108.14	255.0	236.21	463.65	507.46	262.2	392.44	480.04	476.71	256.78	267.73	182.55	1023.0	698.41	511.0	642.59	162.14	346.29	162.14	218.79	186.4	199.85	397.93
RTEL1-TNFRSF6B	31.22	64.8	53.95	242.88	224.97	165.57	111.21	152.28	171.45	281.09	161.02	121.79	136.19	209.84	115.97	101.54	143.01	64.34	480.04	679.29	426.57	63.89	104.42	181.28	36.27	123.5	28.86	51.35	111.21
SCRIB	848.22	647.07	759.08	703.28	759.08	1001.93	819.3	884.29	1857.6	1950.0	2645.74	981.29	1331.57	2976.74	1467.37	934.76	2384.37	1143.1	3349.13	3491.39	2061.24	2163.77	647.07	1088.92	1088.92	802.41	1015.93	647.07	444.72
SEMA4G	11.21	150.17	22.75	164.42	47.5	20.11	10.71	53.95	954.43	543.96	947.83	518.15	559.28	988.12	1111.82	603.67	142.01	511.0	961.07	693.58	1594.73	332.14	108.9	447.82	669.92	239.52	540.19	256.78	65.26
SFXN5	64.8	77.79	67.59	137.14	129.69	158.79	87.03	228.13	236.21	287.01	312.0	224.97	126.12	221.86	191.67	140.04	208.38	186.4	181.28	165.57	312.0	241.19	85.22	137.14	163.28	157.68	175.07	151.22	90.14
SLC30A7	55.89	54.33	57.49	105.15	144.01	73.03	126.12	129.69	743.43	536.45	466.88	450.94	420.68	384.34	373.81	218.79	466.88	363.56	669.92	591.22	409.15	384.34	72.52	185.11	363.56	208.38	193.01	170.25	75.11
SLC35B3	267.73	457.25	244.57	267.73	384.34	341.51	358.54	387.02	629.35	802.41	583.07	599.49	457.25	616.37	476.71	450.94	409.15	371.22	748.61	633.73	563.18	450.94	173.85	334.46	603.67	483.38	301.33	438.59	187.71
SLC35D1	57.49	157.68	33.3	178.77	211.31	101.54	126.12	150.17	381.68	429.54	356.05	262.2	242.88	409.15	287.01	195.72	199.85	279.14	309.83	629.35	323.03	237.86	81.71	195.72	414.87	170.25	281.09	155.5	98.04
SLC35F6	323.03	373.81	343.89	395.18	327.56	376.41	454.09	457.25	684.02	1088.92	660.68	480.04	723.08	830.75	733.19	441.64	802.41	748.61	669.92	587.13	988.12	1066.48	353.59	497.0	543.96	361.04	441.64	356.05	547.75
SLC4A8	3.66	8.0	16.63	28.86	46.84	12.09	12.83	14.35	44.25	119.26	67.12	94.67	49.21	33.3	43.32	39.5	61.68	53.19	96.01	56.28	77.25	237.86	6.62	30.34	31.67	38.95	84.04	34.26	5.23
SLC9A8	166.73	125.24	87.65	231.32	279.14	173.85	161.02	232.94	532.74	848.22	511.0	339.14	320.8	493.56	336.79	228.13	323.03	193.01	500.46	866.07	559.28	339.14	194.36	249.73	285.03	214.27	182.55	176.29	105.89
SPC24	66.65	55.49	89.51	22.75	21.47	51.35	24.46	40.36	84.04	253.23	159.9	102.25	117.6	115.97	232.94	40.36	273.37	171.45	102.25	141.02	171.45	70.51	16.39	14.67	77.79	128.79	167.9	176.29	60.39
SRC	718.08	934.76	287.01	1457.23	947.83	813.63	595.34	743.43	2875.3	3515.68	2335.28	1175.27	1923.14	3443.31	2895.31	1088.92	1883.54	2209.26	3325.99	4736.79	5147.73	1721.16	785.88	1651.0	2609.3	1127.35	1870.53	1135.2	813.63
STIL	9.56	14.45	8.51	6.11	5.23	7.46	5.73	7.06	246.28	525.39	226.54	113.56	221.86	114.36	115.97	40.93	98.73	353.59	460.44	373.81	256.78	128.79	3.76	17.13	50.98	63.89	31.67	78.89	13.72
STK35	118.43	94.01	89.51	208.38	231.32	224.97	291.04	307.69	518.15	395.18	733.19	253.23	376.41	536.45	351.14	198.47	346.29	303.44	476.71	441.64	473.41	536.45	212.78	214.27	253.23	187.71	181.28	141.02	140.04
TAF4	95.34	88.26	86.43	173.85	307.69	165.57	181.28	221.86	432.53	708.18	753.83	242.88	241.19	356.05	269.6	190.34	384.34	223.41	389.72	703.28	603.67	1733.13	135.24	209.84	202.66	153.34	141.02	147.06	94.67
TBC1D23	202.66	316.37	301.33	334.46	343.89	299.25	392.44	381.68	521.76	559.28	490.14	651.58	409.15	373.81	371.22	368.65	521.76	273.37	674.59	529.06	343.89	493.56	271.48	332.14	426.57	438.59	299.25	403.5	307.69
TET3	27.64	32.82	18.03	58.3	69.03	38.4	35.76	57.89	329.84	536.45	395.18	166.73	191.67	175.07	194.36	77.79	150.17	166.73	211.31	186.4	329.84	211.31	20.71	77.79	182.55	58.71	91.41	41.81	32.59
TEX261	684.02	780.44	733.19	1059.11	995.0	909.17	1001.93	1208.34	1397.83	1857.6	1508.65	988.12	1369.04	1259.69	1313.23	1159.07	1250.98	1639.59	1340.84	1883.54	1697.45	1096.5	1104.13	1051.79	1268.46	988.12	1059.11	866.07	961.07
TM9SF4	493.56	503.95	423.61	642.59	616.37	603.67	583.07	679.29	1794.29	1781.89	2178.83	830.75	941.27	1477.58	1008.9	981.29	1250.98	1051.79	1583.71	1651.0	1529.73	961.07	612.11	890.44	961.07	688.78	738.29	563.18	543.96
TMEM181	234.57	361.04	190.34	381.68	490.14	368.65	265.87	525.39	825.0	1001.93	796.86	674.59	830.75	607.87	647.07	395.18	540.19	507.46	759.08	1151.06	579.04	1350.18	246.28	429.54	934.76	460.44	476.71	346.29	190.34
TMEM201	218.79	117.6	98.04	147.06	127.89	152.28	141.02	191.67	265.87	698.41	376.41	158.79	301.33	251.48	255.0	158.79	255.0	249.73	454.09	255.0	518.15	265.87	123.5	251.48	120.1	104.42	99.43	109.66	149.12
TMEM41B	157.68	215.77	152.28	241.19	253.23	170.25	197.09	193.01	802.41	825.0	647.07	679.29	450.94	769.69	363.56	231.32	500.46	212.78	743.43	638.15	567.1	473.41	125.24	236.21	406.31	307.69	473.41	253.23	155.5
TONSL	31.45	47.84	24.63	33.54	27.84	29.7	17.38	39.79	224.97	289.02	336.79	131.51	366.09	325.29	226.54	80.57	253.23	156.59	323.03	279.14	271.48	172.65	63.89	119.26	96.68	87.65	90.14	84.04	50.98
TRMT2B	94.01	164.42	138.1	189.02	166.73	120.1	143.01	135.24	444.72	473.41	353.59	336.79	358.54	224.97	277.2	358.54	275.28	348.71	473.41	289.02	320.8	356.05	201.25	217.27	323.03	264.03	226.54	229.72	125.24
TRPC4AP	587.13	934.76	743.43	1250.98	1167.14	1216.75	1081.39	1151.06	1639.59	1605.83	1936.53	974.5	1467.37	1674.06	1844.76	1159.07	995.0	1268.46	2004.85	1397.83	1674.06	1030.12	819.3	1119.56	1561.89	1151.06	1143.1	974.5	633.73
TRPM4	253.23	503.95	318.57	967.76	753.83	928.3	723.08	764.36	2119.22	1819.35	733.19	1159.07	1340.84	1709.26	1388.16	733.19	368.65	1733.13	1662.49	2209.26	2104.58	928.3	363.56	1127.35	1721.16	884.29	825.0	854.13	269.6
TTYH3	149.12	123.5	295.11	301.33	283.05	293.07	194.36	332.14	2915.45	3716.2	3372.43	624.99	1685.71	1199.98	1008.9	1304.15	1540.37	1417.35	718.08	4298.64	2664.15	1498.22	198.47	500.46	466.88	579.04	414.87	497.0	336.79
UBAP2	209.84	185.11	281.09	403.5	638.15	361.04	563.18	466.88	1044.52	808.0	642.59	624.99	647.07	848.22	490.14	457.25	796.86	660.68	842.36	500.46	802.41	525.39	275.28	400.71	412.0	339.14	490.14	287.01	256.78
WDR55	217.27	334.46	205.5	265.87	299.25	307.69	251.48	368.65	583.07	587.13	559.28	457.25	679.29	633.73	567.1	381.68	551.56	476.71	728.11	629.35	651.58	395.18	185.11	297.17	432.53	409.15	384.34	325.29	157.68
WWC1	33.3	42.41	96.01	121.79	87.03	97.36	98.04	62.12	579.04	2209.26	708.18	540.19	511.0	748.61	954.43	412.0	595.34	139.07	1594.73	708.18	1167.14	1594.73	3.63	237.86	1304.15	624.99	896.64	368.65	38.4
XPNPEP3	68.07	111.99	132.44	145.02	105.15	94.67	143.01	111.21	231.32	224.97	251.48	291.04	234.57	258.57	185.11	185.11	264.03	215.77	363.56	194.36	256.78	273.37	181.28	145.02	171.45	144.01	190.34	165.57	143.01
ZBED4	68.55	59.55	52.82	73.03	77.79	74.58	73.54	107.38	224.97	157.68	368.65	177.53	248.0	214.27	177.53	128.79	178.77	176.29	262.2	167.9	178.77	248.0	62.12	85.22	175.07	115.97	117.6	96.68	43.63
ZFPM1	22.1	76.71	66.65	128.79	48.87	32.13	55.49	30.12	748.61	1936.53	651.58	293.07	679.29	616.37	1059.11	348.71	348.71	928.3	500.46	1030.12	1950.0	1096.5	80.57	450.94	796.86	329.84	460.44	412.0	72.01
ZNF195	129.69	146.03	108.9	199.85	171.45	139.07	215.77	209.84	1104.13	555.41	759.08	612.11	409.15	473.41	264.03	397.93	656.11	144.01	848.22	591.22	571.05	540.19	127.89	185.11	299.25	414.87	265.87	343.89	103.69
ZNF468	49.91	74.06	20.86	78.89	75.64	36.01	57.49	74.58	497.0	381.68	387.02	183.82	473.41	366.09	215.77	165.57	231.32	212.78	277.2	327.56	336.79	258.57	35.25	96.01	241.19	118.43	111.21	153.34	22.92
ZNF57	60.82	127.0	63.45	102.97	61.25	80.01	91.41	127.0	260.38	387.02	165.57	187.71	209.84	265.87	195.72	137.14	127.89	156.59	153.34	214.27	239.52	249.73	32.36	109.66	343.89	183.82	366.09	158.79	70.51
ZNF789	71.5	125.24	104.42	164.42	123.5	132.44	136.19	107.38	285.03	808.0	241.19	457.25	185.11	397.93	153.34	181.28	473.41	277.2	305.55	264.03	507.46	220.32	157.68	123.5	130.6	199.85	100.13	202.66	62.12
