	GTEX.YJ8O.0326.SM.5RQJW	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.11OF3.2326.SM.5GU73	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13G51.1026.SM.5K7YQ	GTEX.11ONC.1426.SM.5N9F4	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.139TU.1326.SM.5LZXW	GTEX.WZTO.1526.SM.4PQYQ	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.13U4I.1426.SM.5J2M3	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.111YS.0626.SM.5GZXV	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.U3ZN.0626.SM.3DB7U	GTEX.YEC3.0226.SM.5IFJO	GTEX.12BJ1.1026.SM.5EGJA	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.UJHI.0726.SM.3DB92	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.T8EM.0326.SM.3DB7F	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.RM2N.0426.SM.2TF4T
PPA1	1561.89	1508.65	1259.69	1551.09	1561.89	1167.14	1697.45	1662.49	1183.45	1662.49	1397.83	6792.79	6037.61	2417.67	4358.66	4181.07	4095.0	4152.18	3190.46	3515.68	3847.29	3168.41	6294.04	3395.89	5076.84	5672.41	5633.22	7589.61	3419.52	5872.48	10808.41	3614.55	4066.71	2061.24	2468.49	4671.57	3820.7	11745.96	2796.65	3081.75	4298.64	4671.57
PPP1R8	320.8	426.57	327.56	285.03	299.25	271.48	258.57	400.71	332.14	307.69	269.6	759.08	878.17	591.22	669.92	947.83	764.36	759.08	764.36	848.22	703.28	703.28	813.63	743.43	780.44	921.88	884.29	896.64	854.13	866.07	738.29	738.29	429.54	595.34	830.75	819.3	503.95	848.22	713.11	595.34	775.05	769.69
PPP4R1	703.28	743.43	669.92	836.53	713.11	854.13	884.29	738.29	902.89	718.08	780.44	4358.66	1359.57	1340.84	2855.44	2875.3	3168.41	1216.75	1540.37	1457.23	1322.37	1651.0	1467.37	1529.73	2133.97	2287.2	4450.27	2351.53	1340.84	3039.3	2935.74	961.07	1119.56	1447.15	1572.76	2090.03	1819.35	2682.69	1572.76	1417.35	2090.03	2451.44
PPP6C	543.96	555.41	547.75	490.14	599.49	507.46	532.74	551.56	518.15	559.28	624.99	1781.89	1794.29	974.5	1331.57	3491.39	1427.22	1313.23	995.0	1225.22	941.27	1369.04	1819.35	1104.13	1769.57	1467.37	2351.53	1551.09	995.0	1628.26	1709.26	819.3	896.64	587.13	1143.1	1044.52	902.89	2209.26	860.08	961.07	1023.0	1662.49
PRKAR1A	1617.0	1745.2	1674.06	1417.35	1745.2	1781.89	2163.77	1909.85	1674.06	1674.06	2303.12	6561.36	8247.98	2816.11	8840.04	5076.84	8658.09	5329.3	7032.37	6983.79	4639.29	3901.01	5555.65	3372.43	9808.75	10084.54	13492.72	8363.13	6471.02	7485.11	5329.3	4903.87	6337.83	4123.49	4181.07	6607.01	4704.07	7032.37	3491.39	4239.45	4802.93	6516.03
RAB18	599.49	878.17	1397.83	579.04	633.73	718.08	656.11	884.29	688.78	651.58	872.1	1721.16	2664.15	808.0	1407.55	2835.7	1628.26	1639.59	1407.55	1721.16	1477.58	902.89	2032.85	753.83	3081.75	2609.3	3928.15	2645.74	1191.69	2367.9	2502.97	733.19	967.76	733.19	1268.46	1023.0	1051.79	5147.73	934.76	988.12	961.07	2720.15
RAD23B	808.0	1199.98	872.1	743.43	884.29	769.69	764.36	1088.92	802.41	884.29	1001.93	3540.14	2287.2	802.41	1819.35	2287.2	2075.59	1477.58	2148.82	1498.22	988.12	1685.71	1697.45	1277.29	2271.4	2400.97	3540.14	3060.45	1674.06	2400.97	1721.16	1216.75	1883.54	860.08	1111.82	2193.99	1199.98	3419.52	1088.92	1388.16	1233.75	2591.27
RBM47	20.26	31.45	35.25	25.35	21.01	29.48	44.25	37.05	24.63	34.02	46.18	1923.14	1936.53	974.5	1208.34	1059.11	1870.53	995.0	1733.13	1369.04	1159.07	1023.0	1508.65	1088.92	1721.16	1674.06	1832.01	1617.0	1388.16	1977.24	921.88	1259.69	1417.35	1008.9	896.64	2417.67	1216.75	1806.78	1427.22	1066.48	890.44	1397.83
RNF145	1096.5	836.53	728.11	825.0	902.89	808.0	1023.0	872.1	1051.79	1066.48	1073.91	7589.61	7589.61	4239.45	6471.02	7642.41	10659.59	4450.27	4450.27	6699.25	5479.15	3018.3	10585.95	3982.99	5112.16	7331.05	6207.38	5329.3	6652.97	7966.99	8718.32	3820.7	6607.01	5441.3	5555.65	9151.82	7130.55	8421.31	6250.56	5255.91	4210.15	7331.05
RP11-286N22.8	389.72	536.45	267.73	228.13	473.41	417.77	339.14	500.46	432.53	698.41	389.72	1286.18	988.12	753.83	890.44	872.1	1159.07	819.3	791.35	1066.48	718.08	1051.79	1233.75	1183.45	1340.84	1127.35	1447.15	1208.34	995.0	1127.35	1199.98	896.64	743.43	674.59	934.76	1369.04	514.56	1340.84	1001.93	703.28	1268.46	902.89
RPN1	1151.06	1909.85	1167.14	1088.92	1304.15	878.17	1304.15	1551.09	1119.56	1551.09	1081.39	4671.57	6121.9	2816.11	4836.35	5329.3	4543.8	5594.3	4010.71	3395.89	5076.84	5441.3	4836.35	4298.64	6207.38	5441.3	5872.48	5751.61	4671.57	4575.41	5329.3	5183.54	3665.02	2451.44	4298.64	5366.37	4704.07	5441.3	4481.23	3190.46	4450.27	4769.75
RRAS2	239.52	651.58	264.03	353.59	366.09	397.93	346.29	629.35	312.0	400.71	368.65	1540.37	854.13	343.89	928.3	2163.77	775.05	1340.84	579.04	723.08	848.22	825.0	967.76	521.76	1769.57	1059.11	1769.57	1457.23	473.41	1191.69	1617.0	555.41	514.56	403.5	698.41	813.63	483.38	2555.58	547.75	366.09	785.88	1963.57
RSL24D1	896.64	713.11	703.28	825.0	921.88	674.59	1059.11	743.43	830.75	1208.34	684.02	1617.0	1721.16	1023.0	890.44	3540.14	2240.11	1447.15	1001.93	1175.27	1233.75	669.92	1769.57	1159.07	1697.45	1733.13	2240.11	2255.7	1015.93	1225.22	2351.53	974.5	813.63	1030.12	1369.04	1073.91	1322.37	3847.29	974.5	575.03	1447.15	1487.87
SDR16C5	11.13	1.31	13.42	1.91	1.33	7.88	6.26	5.32	5.28	24.46	1.91	6840.04	4419.52	759.08	3018.3	7130.55	4298.64	2816.11	2664.15	3419.52	3982.99	2627.46	6337.83	4328.55	3467.27	4607.24	5594.3	5329.3	2976.74	4639.29	3395.89	2976.74	3103.19	2351.53	2573.36	3395.89	4181.07	4358.66	2502.97	2018.8	4543.8	3081.75
SEP15	2133.97	2502.97	2133.97	1529.73	2133.97	1923.14	2434.5	2075.59	1819.35	2104.58	2018.8	4972.34	10440.2	3564.78	4010.71	7382.04	5594.3	5954.47	4152.18	4481.23	5292.48	3955.48	9279.58	5441.3	9474.59	8658.09	10808.41	11424.74	6792.79	5076.84	9808.75	5441.3	3190.46	2555.58	5633.22	4671.57	3690.52	17927.91	4704.07	2417.67	4836.35	5751.61
SERPINB8	90.77	99.43	44.25	66.65	67.59	61.68	91.41	78.89	96.68	148.09	58.3	1216.75	559.28	271.48	327.56	728.11	521.76	281.09	373.81	332.14	295.11	305.55	406.31	341.51	808.0	688.78	1175.27	748.61	356.05	1277.29	414.87	231.32	152.28	223.41	265.87	555.41	204.07	791.35	215.77	277.2	392.44	791.35
SFTPC	12.83	64.34	2.86	3.26	12.09	26.47	3.82	70.01	70.01	0.0	21.16	2.880867455E7	5.882801313E7	1.381756339E7	7.92550749E7	3.402283342E7	4.811555286E7	3.174442598E7	3.003205688E7	2.706640506E7	4.188702152E7	3.130739107E7	2.880867455E7	2.542950323E7	2.138357795E7	2.260282772E7	1.004517844E7	8624442.87	5.761735011E7	1.927195942E7	3.801327429E7	2.260282772E7	4.878722096E7	1.501602794E7	2.706640506E7	5.228884881E7	1.0826562323E8	1.391367215E7	3.109113511E7	6.17527469E7	2.578448588E7	1.66613263E7
SGMS2	228.13	248.0	149.12	287.01	264.03	303.44	258.57	414.87	262.2	223.41	314.17	15499.21	2148.82	414.87	3081.75	3168.41	6471.02	902.89	1143.1	769.69	473.41	665.29	1617.0	890.44	1030.12	2468.49	8963.45	1991.0	1225.22	2855.44	1175.27	1008.9	1175.27	403.5	743.43	2047.0	1745.2	4328.55	728.11	890.44	884.29	2018.8
SHOC2	312.0	303.44	301.33	295.11	253.23	299.25	320.8	316.37	251.48	323.03	406.31	791.35	796.86	336.79	616.37	848.22	665.29	587.13	551.56	514.56	460.44	412.0	476.71	397.93	941.27	802.41	1104.13	947.83	429.54	836.53	616.37	353.59	334.46	305.55	435.55	450.94	366.09	1037.29	332.14	312.0	547.75	819.3
SLC25A33	88.26	77.25	100.13	83.45	88.26	55.49	90.77	73.54	87.65	87.03	59.55	189.02	162.14	59.97	105.15	172.65	185.11	208.38	102.97	75.64	106.63	73.03	102.25	114.36	135.24	109.66	161.02	158.79	105.89	123.5	147.06	108.14	53.19	78.34	99.43	123.5	136.19	156.59	113.56	84.63	122.64	134.3
SLC25A44	283.05	267.73	185.11	314.17	231.32	209.84	193.01	320.8	312.0	353.59	262.2	1073.91	583.07	392.44	486.75	941.27	830.75	441.64	420.68	420.68	444.72	575.03	579.04	551.56	698.41	540.19	854.13	559.28	567.1	785.88	438.59	339.14	287.01	470.14	629.35	674.59	409.15	532.74	463.65	397.93	713.11	540.19
SLC30A6	147.06	150.17	155.5	121.79	86.43	148.09	139.07	149.12	149.12	108.9	147.06	229.72	305.55	185.11	255.0	218.79	244.57	234.57	221.86	206.94	218.79	234.57	295.11	223.41	303.44	305.55	348.71	395.18	253.23	251.48	339.14	228.13	149.12	226.54	277.2	214.27	155.5	392.44	223.41	228.13	264.03	348.71
SLC30A9	307.69	384.34	389.72	368.65	291.04	483.38	356.05	320.8	473.41	215.77	417.77	785.88	974.5	420.68	808.0	941.27	703.28	473.41	743.43	802.41	713.11	470.14	1191.69	521.76	1167.14	1259.69	1427.22	1159.07	819.3	802.41	679.29	759.08	412.0	563.18	909.17	616.37	599.49	1369.04	503.95	567.1	802.41	872.1
SLC35A3	150.17	121.79	140.04	139.07	115.97	154.42	153.34	135.24	209.84	87.65	134.3	336.79	361.04	403.5	460.44	486.75	503.95	258.57	426.57	277.2	312.0	265.87	417.77	381.68	441.64	507.46	796.86	669.92	289.02	341.51	679.29	316.37	189.02	332.14	381.68	323.03	228.13	743.43	211.31	217.27	473.41	463.65
SLC35B1	633.73	866.07	708.18	738.29	567.1	684.02	693.58	791.35	759.08	599.49	595.34	1519.15	1781.89	1096.5	1199.98	1977.24	1096.5	1250.98	1191.69	1259.69	1397.83	1477.58	1487.87	1295.13	1183.45	1216.75	1322.37	1781.89	1417.35	1378.57	1427.22	1225.22	934.76	1127.35	1104.13	1457.23	1119.56	1674.06	1208.34	1023.0	1378.57	1143.1
SLMO2	327.56	379.04	363.56	371.22	460.44	348.71	414.87	406.31	341.51	417.77	373.81	2224.63	1639.59	514.56	1437.15	1529.73	1583.71	738.29	854.13	896.64	647.07	521.76	1111.82	518.15	1167.14	1733.13	2816.11	1397.83	738.29	1208.34	1088.92	575.03	796.86	361.04	507.46	909.17	981.29	1936.53	607.87	723.08	748.61	902.89
SMAP1	312.0	409.15	295.11	314.17	376.41	353.59	295.11	371.22	305.55	309.83	316.37	518.15	503.95	320.8	348.71	733.19	642.59	447.82	309.83	400.71	307.69	356.05	363.56	329.84	674.59	759.08	624.99	819.3	384.34	486.75	638.15	361.04	389.72	246.28	406.31	514.56	327.56	1096.5	420.68	297.17	454.09	733.19
SNW1	660.68	629.35	733.19	785.88	813.63	703.28	825.0	642.59	808.0	860.08	665.29	2004.85	1359.57	967.76	1594.73	1605.83	1295.13	1397.83	1143.1	1259.69	1721.16	1151.06	2148.82	1159.07	1923.14	1268.46	1498.22	1617.0	1015.93	1806.78	2018.8	1199.98	995.0	921.88	1167.14	1540.37	1167.14	1781.89	1467.37	769.69	1191.69	2451.44
SNX4	279.14	241.19	329.84	332.14	232.94	334.46	289.02	264.03	283.05	260.38	320.8	813.63	1151.06	518.15	693.58	728.11	890.44	665.29	819.3	733.19	759.08	591.22	981.29	547.75	1135.2	1277.29	1417.35	1081.39	830.75	890.44	866.07	591.22	447.82	420.68	738.29	842.36	521.76	1397.83	563.18	583.07	656.11	915.51
SPTLC1	511.0	444.72	463.65	376.41	392.44	447.82	497.0	450.94	525.39	379.04	518.15	1417.35	1350.18	753.83	1407.55	1857.6	1407.55	909.17	1159.07	967.76	872.1	1143.1	1216.75	934.76	1769.57	1794.29	2287.2	1936.53	1340.84	1388.16	1378.57	947.83	669.92	753.83	1447.15	1175.27	780.44	1781.89	967.76	921.88	1208.34	1417.35
SPTSSA	379.04	543.96	336.79	529.06	521.76	327.56	759.08	490.14	450.94	629.35	567.1	2997.45	3419.52	629.35	1991.0	2855.44	2417.67	1781.89	1208.34	1909.85	2997.45	1540.37	2384.37	2739.08	2609.3	2976.74	4639.29	1529.73	2075.59	1950.0	1583.71	1923.14	1832.01	1457.23	1909.85	2555.58	2163.77	4358.66	1427.22	759.08	2209.26	2468.49
SRP72	738.29	656.11	733.19	547.75	607.87	603.67	638.15	599.49	571.05	612.11	603.67	1909.85	1437.15	848.22	1322.37	1870.53	1096.5	1151.06	1277.29	995.0	954.43	1127.35	1417.35	1037.29	1651.0	1487.87	2004.85	2682.69	1295.13	1477.58	1551.09	1059.11	775.05	780.44	1066.48	1407.55	866.07	3103.19	1066.48	872.1	1369.04	1662.49
STX3	293.07	392.44	237.86	457.25	332.14	351.14	791.35	476.71	460.44	368.65	819.3	1104.13	878.17	848.22	890.44	1397.83	1397.83	1477.58	1225.22	915.51	1277.29	780.44	947.83	813.63	1397.83	1427.22	1883.54	1498.22	769.69	1745.2	1769.57	872.1	1199.98	896.64	819.3	1437.15	728.11	1073.91	1081.39	656.11	934.76	1111.82
SYPL1	1457.23	1199.98	1721.16	1242.34	1277.29	1159.07	1295.13	1304.15	1216.75	1407.55	1467.37	1697.45	4268.94	988.12	2468.49	3124.78	2555.58	3168.41	1745.2	1628.26	2075.59	1216.75	3742.05	1896.65	5219.6	4419.52	6426.31	3690.52	1733.13	2032.85	5183.54	2163.77	1870.53	988.12	2271.4	2720.15	1709.26	4869.99	1487.87	934.76	2240.11	2895.31
TES	890.44	1407.55	193.01	738.29	1208.34	921.88	1037.29	1378.57	1175.27	775.05	1225.22	3081.75	2417.67	981.29	2384.37	2502.97	3419.52	1457.23	1991.0	1250.98	1487.87	1498.22	1991.0	1437.15	1936.53	2351.53	4575.41	2148.82	1417.35	2609.3	2573.36	1388.16	1331.57	1250.98	1457.23	2061.24	2303.12	2351.53	1286.18	1594.73	1745.2	1832.01
TGS1	163.28	115.97	166.73	124.37	73.03	140.04	106.63	116.78	143.01	124.37	123.5	389.72	265.87	194.36	258.57	305.55	275.28	262.2	273.37	224.97	260.38	236.21	307.69	262.2	264.03	312.0	521.76	384.34	323.03	332.14	366.09	275.28	130.6	208.38	262.2	279.14	132.44	348.71	215.77	175.07	291.04	341.51
TMED2	1268.46	1583.71	1250.98	1051.79	1088.92	1023.0	1199.98	1487.87	1066.48	1331.57	1183.45	4972.34	4450.27	1662.49	3742.05	5633.22	2976.74	2796.65	2915.45	2855.44	1909.85	3018.3	3372.43	3372.43	3018.3	4419.52	5517.27	4802.93	3540.14	3564.78	3540.14	3018.3	2664.15	2303.12	2796.65	3103.19	2777.33	5517.27	2537.92	2816.11	2468.49	3467.27
TMED5	260.38	346.29	320.8	217.27	255.0	181.28	392.44	283.05	293.07	435.55	291.04	1832.01	2104.58	733.19	1111.82	1662.49	1819.35	1159.07	1066.48	896.64	733.19	967.76	1457.23	854.13	1936.53	1870.53	2255.7	2224.63	1277.29	1096.5	1313.23	915.51	961.07	928.3	1030.12	1159.07	1008.9	2701.35	981.29	616.37	1073.91	2485.67
TMED7	612.11	599.49	665.29	529.06	616.37	551.56	571.05	629.35	486.75	559.28	525.39	1066.48	1572.76	438.59	1001.93	1572.76	854.13	954.43	825.0	629.35	647.07	595.34	947.83	684.02	1397.83	1295.13	1857.6	1819.35	872.1	1015.93	1081.39	921.88	884.29	463.65	748.61	819.3	780.44	2434.5	624.99	525.39	842.36	1313.23
TMEM30B	36.79	95.34	39.5	39.79	40.93	42.41	83.45	82.29	109.66	39.22	66.65	1081.39	896.64	395.18	1216.75	1044.52	1066.48	842.36	825.0	563.18	733.19	674.59	743.43	599.49	954.43	1044.52	1151.06	884.29	629.35	486.75	743.43	708.18	780.44	647.07	629.35	802.41	791.35	902.89	473.41	591.22	703.28	941.27
TP53BP2	246.28	215.77	323.03	265.87	236.21	198.47	264.03	224.97	265.87	341.51	255.0	1277.29	571.05	476.71	915.51	954.43	718.08	521.76	679.29	540.19	540.19	607.87	638.15	651.58	713.11	679.29	1250.98	693.58	571.05	872.1	579.04	483.38	559.28	339.14	518.15	753.83	575.03	642.59	536.45	559.28	723.08	733.19
TRAM1	764.36	1151.06	808.0	743.43	718.08	896.64	896.64	1119.56	791.35	785.88	995.0	5555.65	8963.45	2701.35	5112.16	9344.14	6426.31	3716.2	4972.34	5006.93	2855.44	3589.58	5872.48	3212.66	6381.92	9279.58	15824.9	14867.79	4481.23	5711.87	9025.81	3928.15	4671.57	2133.97	5006.93	4869.99	3742.05	12764.83	4736.79	3103.19	3303.0	6983.79
TSPAN3	2384.37	3515.68	3955.48	1594.73	2976.74	2502.97	1617.0	2502.97	2351.53	1819.35	2664.15	12589.08	16496.96	5479.15	10225.32	29531.18	10084.54	12160.22	9344.14	10368.08	11035.54	11504.21	13399.51	9808.75	11827.67	18689.27	22850.48	17078.76	10014.87	10368.08	14765.09	8421.31	13586.57	4671.57	7433.4	13776.25	11189.6	18052.61	11267.44	6426.31	8305.36	10225.32
UBE2J1	305.55	351.14	316.37	309.83	271.48	241.19	381.68	358.54	271.48	309.83	329.84	1216.75	1015.93	656.11	384.34	1551.09	884.29	638.15	669.92	536.45	466.88	511.0	563.18	503.95	902.89	842.36	2104.58	1242.34	703.28	1350.18	616.37	395.18	366.09	361.04	679.29	599.49	447.82	1806.78	454.09	346.29	540.19	759.08
UBR7	316.37	265.87	228.13	289.02	251.48	208.38	231.32	318.57	264.03	273.37	275.28	587.13	412.0	277.2	497.0	791.35	432.53	447.82	293.07	447.82	269.6	395.18	387.02	387.02	503.95	521.76	665.29	563.18	392.44	403.5	728.11	348.71	187.71	241.19	599.49	441.64	197.09	769.69	318.57	267.73	503.95	507.46
UCHL5	231.32	260.38	271.48	195.72	237.86	214.27	251.48	291.04	220.32	176.29	253.23	595.34	438.59	275.28	303.44	450.94	400.71	341.51	406.31	420.68	397.93	409.15	555.41	336.79	514.56	486.75	674.59	764.36	463.65	438.59	638.15	373.81	256.78	256.78	392.44	363.56	279.14	902.89	299.25	320.8	493.56	414.87
UFM1	759.08	743.43	947.83	988.12	551.56	961.07	1119.56	791.35	1088.92	607.87	836.53	1407.55	1594.73	872.1	941.27	1923.14	1662.49	1073.91	1111.82	909.17	1313.23	665.29	1447.15	872.1	1340.84	1561.89	2417.67	2178.83	1183.45	1605.83	1467.37	1242.34	1304.15	1104.13	1447.15	1104.13	967.76	2119.22	753.83	651.58	1208.34	1605.83
VAMP7	145.02	169.07	134.3	135.24	144.01	145.02	152.28	137.14	142.01	128.79	181.28	301.33	503.95	228.13	323.03	525.39	297.17	312.0	229.72	361.04	258.57	265.87	392.44	223.41	540.19	507.46	791.35	559.28	265.87	1216.75	376.41	260.38	206.94	158.79	379.04	336.79	153.34	780.44	279.14	206.94	312.0	463.65
VAPA	1457.23	2163.77	1781.89	1583.71	1923.14	1397.83	1950.0	2018.8	1639.59	2047.0	2018.8	7433.4	5791.62	2701.35	5112.16	6164.49	7032.37	5041.77	5112.16	5711.87	4010.71	4481.23	6935.54	3467.27	8078.22	6337.83	9740.98	8191.0	3928.15	6983.79	8658.09	3820.7	5366.37	2591.27	3540.14	5041.77	4869.99	11267.44	3794.3	4210.15	4769.75	8901.53
VEZT	490.14	438.59	493.56	532.74	447.82	769.69	633.73	525.39	591.22	363.56	603.67	1313.23	1015.93	974.5	1457.23	493.56	1096.5	587.13	1051.79	1059.11	884.29	543.96	1225.22	921.88	1167.14	1175.27	1963.57	1769.57	928.3	1295.13	1781.89	1127.35	567.1	728.11	915.51	842.36	642.59	1331.57	738.29	842.36	974.5	1151.06
VIMP	961.07	1540.37	802.41	759.08	947.83	813.63	1037.29	1096.5	967.76	1208.34	848.22	2502.97	4328.55	1950.0	2451.44	5329.3	3419.52	2573.36	2485.67	1977.24	2485.67	2018.8	2417.67	1806.78	3212.66	3349.13	4298.64	2682.69	3257.52	2682.69	2485.67	2451.44	1457.23	1617.0	2271.4	2777.33	2895.31	2956.17	2018.8	1397.83	1757.34	2271.4
VPS26A	514.56	463.65	476.71	503.95	543.96	503.95	660.68	511.0	507.46	583.07	507.46	842.36	1605.83	403.5	669.92	2104.58	967.76	825.0	780.44	612.11	941.27	638.15	1081.39	583.07	1417.35	1159.07	1662.49	1685.71	728.11	890.44	1477.58	575.03	759.08	764.36	884.29	878.17	743.43	3103.19	647.07	633.73	974.5	1447.15
XRN2	444.72	351.14	358.54	358.54	423.61	358.54	417.77	366.09	444.72	567.1	423.61	1529.73	1096.5	651.58	1001.93	1697.45	1088.92	909.17	915.51	988.12	624.99	866.07	1073.91	941.27	1561.89	1277.29	1322.37	1896.65	967.76	1639.59	1477.58	718.08	860.08	693.58	1127.35	1467.37	571.05	2303.12	1051.79	738.29	1199.98	1806.78
YME1L1	647.07	713.11	579.04	547.75	587.13	579.04	624.99	656.11	616.37	616.37	599.49	1467.37	1313.23	748.61	1001.93	1605.83	1051.79	872.1	1151.06	961.07	759.08	896.64	1331.57	974.5	1388.16	1313.23	1819.35	2434.5	1127.35	1143.1	1709.26	909.17	878.17	684.02	836.53	1037.29	825.0	2178.83	860.08	802.41	1088.92	1572.76
ZFAND6	1088.92	884.29	1030.12	860.08	1059.11	890.44	974.5	974.5	921.88	1104.13	1199.98	1923.14	3168.41	1769.57	1709.26	3395.89	2645.74	2335.28	2271.4	2032.85	2645.74	1529.73	3124.78	1477.58	3928.15	3955.48	3349.13	3018.3	1519.15	2875.3	2777.33	1572.76	2104.58	1457.23	2061.24	1819.35	1896.65	5219.6	1651.0	1350.18	2915.45	2485.67
