	TCGA.DM.A28G.01A.11R.A16W.07	TCGA.KN.8419.01A.11R.2315.07	TCGA.KM.8438.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KO.8405.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KM.8441.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	GTEX.QDVN.1626.SM.48TZC	GTEX.Y5V6.2026.SM.5IFHO	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.GL.A9DE.01A.11R.A37K.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.UZ.A9PO.01A.11R.A38C.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.R5.A805.01A.11R.A36D.31	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.VQ.A94U.01A.12R.A414.31	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.E8.A417.01A.21R.A23N.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EL.A3T3.01A.11R.A22L.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.FY.A3BL.01A.11R.A19O.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.E8.A419.01A.11R.A23N.07	TCGA.EL.A3ZT.01A.12R.A23N.07	TCGA.H2.A421.01A.11R.A23N.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07	GTEX.Y3I4.0226.SM.4TT27	GTEX.14AS3.0226.SM.5Q5B6	GTEX.PWOO.0926.SM.2I3EC	GTEX.V1D1.0926.SM.4JBHQ
CHKB-CPT1B	224.97	88.88	29.48	17.13	15.56	64.34	89.51	66.18	90.14	16.75	84.04	57.49	78.89	57.08	31.67	7.46	89.51	19.11	0.0	53.19	135.24	65.26	38.4	29.7	90.14	733.19	63.45	56.68	31.22	71.0	43.02	31.67	45.85	37.85	8.99	124.37	49.56	81.14	53.19	163.28	262.2	118.43	232.94	269.6	16.63	128.79	67.59	39.5	275.28	11.3	406.31	126.12	223.41	81.71	205.5	291.04	297.17	547.75	199.85	226.54	59.55	117.6	211.31	529.06	723.08	486.75	46.5	44.89	208.38	161.02	346.29	149.12	624.99
CHTOP	1508.65	656.11	551.56	599.49	748.61	1023.0	743.43	476.71	802.41	791.35	543.96	890.44	656.11	785.88	791.35	651.58	708.18	563.18	656.11	785.88	954.43	1104.13	830.75	583.07	961.07	1216.75	748.61	825.0	718.08	1159.07	808.0	775.05	713.11	909.17	785.88	934.76	1008.9	890.44	1733.13	1119.56	1583.71	1096.5	1709.26	2061.24	890.44	1806.78	1407.55	934.76	1519.15	1340.84	1923.14	1407.55	1572.76	1268.46	1295.13	2148.82	1605.83	1639.59	1359.57	1519.15	1175.27	1066.48	1407.55	1617.0	1857.6	1832.01	1378.57	1191.69	1721.16	1844.76	2104.58	2351.53	2468.49
CIR1	808.0	441.64	441.64	647.07	529.06	571.05	497.0	289.02	507.46	591.22	329.84	441.64	426.57	441.64	476.71	406.31	575.03	264.03	518.15	371.22	902.89	679.29	500.46	277.2	417.77	389.72	599.49	536.45	181.28	327.56	389.72	389.72	1359.57	318.57	559.28	444.72	511.0	185.11	660.68	656.11	967.76	708.18	1447.15	775.05	693.58	866.07	432.53	417.77	1001.93	503.95	1081.39	713.11	791.35	669.92	603.67	830.75	718.08	860.08	1572.76	759.08	339.14	420.68	435.55	954.43	1044.52	1104.13	753.83	563.18	915.51	1008.9	1331.57	928.3	1199.98
CSAD	1037.29	176.29	173.85	171.45	171.45	320.8	698.41	246.28	267.73	275.28	237.86	244.57	205.5	285.03	181.28	105.15	480.04	297.17	81.14	155.5	713.11	447.82	171.45	96.68	279.14	1008.9	180.02	108.9	87.03	211.31	156.59	85.82	147.06	62.56	83.45	275.28	201.25	140.04	503.95	543.96	1044.52	547.75	1477.58	1104.13	332.14	878.17	426.57	363.56	961.07	540.19	1350.18	540.19	1340.84	346.29	629.35	1143.1	748.61	1066.48	368.65	679.29	299.25	921.88	518.15	1127.35	2133.97	1407.55	346.29	339.14	693.58	583.07	1208.34	693.58	1437.15
CUL9	890.44	183.82	251.48	285.03	198.47	511.0	397.93	346.29	444.72	336.79	249.73	295.11	392.44	341.51	358.54	305.55	444.72	277.2	81.14	409.15	860.08	493.56	368.65	379.04	559.28	1143.1	457.25	486.75	473.41	547.75	438.59	493.56	532.74	454.09	392.44	514.56	444.72	796.86	638.15	583.07	1216.75	571.05	974.5	848.22	371.22	802.41	1037.29	988.12	866.07	872.1	928.3	532.74	1023.0	638.15	599.49	896.64	995.0	1001.93	660.68	1199.98	703.28	738.29	854.13	941.27	1066.48	1183.45	679.29	759.08	825.0	1044.52	1030.12	1304.15	1277.29
DDX31	329.84	47.5	114.36	75.11	62.56	157.68	142.01	101.54	126.12	113.56	96.01	115.16	128.79	145.02	102.97	119.26	147.06	78.34	92.7	177.53	275.28	130.6	147.06	140.04	122.64	229.72	68.07	138.1	182.55	178.77	137.14	159.9	149.12	126.12	162.14	218.79	109.66	163.28	220.32	232.94	150.17	186.4	341.51	232.94	81.14	329.84	253.23	180.02	325.29	353.59	307.69	384.34	346.29	460.44	356.05	297.17	334.46	269.6	182.55	373.81	351.14	175.07	426.57	301.33	271.48	297.17	358.54	141.02	285.03	698.41	525.39	532.74	529.06
DMTF1	947.83	312.0	220.32	226.54	185.11	239.52	307.69	265.87	387.02	358.54	343.89	341.51	260.38	351.14	239.52	187.71	447.82	500.46	309.83	579.04	928.3	660.68	353.59	132.44	409.15	2591.27	289.02	229.72	106.63	412.0	293.07	403.5	297.17	198.47	185.11	607.87	395.18	400.71	571.05	791.35	2090.03	941.27	1073.91	1963.57	327.56	1088.92	780.44	435.55	1081.39	1183.45	1628.26	890.44	1304.15	896.64	813.63	1250.98	1023.0	1304.15	738.29	1081.39	612.11	587.13	1135.2	1628.26	2104.58	1437.15	674.59	463.65	1001.93	1304.15	2193.99	1447.15	2335.28
DNAJC17	454.09	299.25	384.34	316.37	329.84	571.05	441.64	500.46	353.59	332.14	287.01	356.05	307.69	353.59	376.41	303.44	258.57	228.13	182.55	279.14	327.56	327.56	368.65	258.57	473.41	423.61	607.87	336.79	303.44	384.34	214.27	307.69	579.04	373.81	450.94	384.34	438.59	343.89	665.29	244.57	406.31	361.04	483.38	463.65	351.14	579.04	409.15	392.44	764.36	287.01	674.59	490.14	559.28	429.54	460.44	647.07	620.67	698.41	603.67	612.11	403.5	363.56	361.04	633.73	665.29	748.61	493.56	389.72	563.18	665.29	547.75	521.76	669.92
DOCK6	1088.92	607.87	1208.34	551.56	450.94	759.08	518.15	830.75	587.13	656.11	1044.52	567.1	525.39	555.41	387.02	185.11	769.69	318.57	928.3	256.78	656.11	642.59	346.29	316.37	267.73	507.46	341.51	325.29	358.54	265.87	297.17	307.69	403.5	309.83	255.0	189.02	669.92	312.0	1781.89	1088.92	1073.91	1540.37	1594.73	1572.76	457.25	1447.15	1427.22	1242.34	1477.58	1081.39	1359.57	1199.98	2119.22	1540.37	1250.98	1617.0	1594.73	1950.0	1268.46	1540.37	1175.27	567.1	1159.07	1378.57	2400.97	2004.85	1605.83	1359.57	1286.18	1175.27	1216.75	1208.34	1159.07
DPH7	995.0	113.56	381.68	129.69	180.02	368.65	395.18	260.38	320.8	329.84	358.54	242.88	353.59	285.03	151.22	96.68	435.55	217.27	144.01	229.72	521.76	309.83	234.57	169.07	237.86	1378.57	199.85	190.34	220.32	251.48	314.17	194.36	305.55	255.0	201.25	318.57	309.83	373.81	514.56	392.44	703.28	435.55	1151.06	612.11	417.77	674.59	412.0	241.19	638.15	536.45	866.07	511.0	791.35	476.71	497.0	785.88	703.28	974.5	486.75	753.83	503.95	341.51	547.75	1008.9	1233.75	941.27	426.57	371.22	567.1	629.35	1216.75	723.08	1081.39
EFHC1	229.72	22.1	28.45	52.82	27.05	78.34	34.26	28.04	46.84	32.36	32.36	138.1	15.11	164.42	180.02	138.1	34.75	246.28	96.68	264.03	358.54	193.01	232.94	95.34	180.02	902.89	83.45	229.72	175.07	242.88	68.07	183.82	226.54	144.01	129.69	269.6	285.03	189.02	118.43	178.77	273.37	226.54	318.57	283.05	147.06	269.6	303.44	176.29	341.51	271.48	397.93	264.03	325.29	226.54	249.73	363.56	299.25	483.38	223.41	435.55	175.07	157.68	253.23	358.54	532.74	384.34	143.01	166.73	209.84	547.75	1044.52	525.39	743.43
EP400NL	181.28	53.19	49.21	40.36	41.81	75.11	65.26	75.11	74.06	103.69	71.5	58.71	66.18	58.71	70.51	33.06	88.26	65.26	35.25	58.71	41.81	64.8	75.64	65.26	62.56	182.55	70.01	40.07	59.55	103.69	59.97	53.19	54.33	38.4	71.5	117.6	41.52	96.01	178.77	99.43	260.38	112.77	165.57	283.05	46.84	146.03	81.71	82.29	141.02	104.42	205.5	178.77	172.65	124.37	88.26	249.73	116.78	248.0	100.83	127.89	141.02	114.36	204.07	173.85	242.88	236.21	105.15	116.78	98.73	209.84	211.31	151.22	307.69
ERCC3	723.08	371.22	325.29	463.65	395.18	397.93	351.14	323.03	376.41	351.14	358.54	435.55	361.04	460.44	373.81	336.79	387.02	379.04	260.38	412.0	669.92	503.95	693.58	343.89	563.18	866.07	343.89	387.02	403.5	470.14	353.59	466.88	525.39	376.41	309.83	476.71	447.82	379.04	575.03	591.22	842.36	532.74	988.12	603.67	318.57	836.53	490.14	665.29	808.0	429.54	974.5	633.73	748.61	660.68	638.15	718.08	728.11	764.36	536.45	738.29	426.57	412.0	450.94	872.1	954.43	842.36	473.41	412.0	759.08	785.88	1096.5	813.63	1096.5
FAM178A	217.27	97.36	120.1	178.77	77.79	164.42	53.57	118.43	94.67	76.17	140.04	176.29	67.12	214.27	148.09	72.01	98.04	218.79	120.94	162.14	305.55	180.02	124.37	85.82	163.28	285.03	108.9	234.57	77.79	170.25	144.01	156.59	145.02	89.51	111.21	157.68	237.86	156.59	170.25	237.86	595.34	264.03	187.71	381.68	109.66	318.57	265.87	172.65	279.14	251.48	316.37	182.55	291.04	209.84	231.32	291.04	277.2	208.38	195.72	291.04	260.38	163.28	507.46	277.2	327.56	251.48	201.25	110.43	267.73	305.55	463.65	293.07	525.39
FAM206A	356.05	139.07	215.77	197.09	82.29	403.5	281.09	97.36	191.67	285.03	231.32	358.54	175.07	423.61	177.53	223.41	256.78	167.9	334.46	206.94	417.77	275.28	231.32	158.79	303.44	256.78	202.66	214.27	165.57	211.31	234.57	198.47	279.14	209.84	223.41	226.54	297.17	194.36	279.14	336.79	307.69	303.44	612.11	283.05	329.84	514.56	283.05	194.36	540.19	267.73	587.13	356.05	500.46	429.54	497.0	624.99	493.56	320.8	438.59	400.71	332.14	236.21	327.56	432.53	518.15	450.94	466.88	373.81	559.28	493.56	493.56	438.59	521.76
FAM73B	226.54	234.57	514.56	255.0	366.09	426.57	642.59	275.28	384.34	334.46	571.05	262.2	571.05	318.57	293.07	283.05	525.39	246.28	57.89	208.38	314.17	279.14	429.54	423.61	312.0	612.11	218.79	389.72	392.44	293.07	540.19	444.72	295.11	339.14	289.02	275.28	343.89	279.14	293.07	460.44	490.14	514.56	674.59	432.53	334.46	764.36	540.19	358.54	476.71	392.44	647.07	698.41	748.61	575.03	567.1	656.11	607.87	555.41	277.2	543.96	612.11	466.88	607.87	595.34	759.08	651.58	603.67	438.59	540.19	674.59	656.11	872.1	802.41
FIP1L1	1143.1	921.88	780.44	612.11	902.89	921.88	559.28	547.75	665.29	713.11	638.15	796.86	629.35	819.3	473.41	559.28	693.58	540.19	392.44	441.64	733.19	830.75	376.41	291.04	409.15	603.67	441.64	511.0	341.51	371.22	379.04	417.77	493.56	397.93	476.71	563.18	551.56	351.14	638.15	575.03	780.44	693.58	860.08	514.56	490.14	967.76	612.11	612.11	848.22	743.43	1015.93	733.19	775.05	684.02	651.58	878.17	780.44	902.89	1268.46	698.41	532.74	748.61	909.17	995.0	967.76	995.0	738.29	808.0	909.17	1175.27	1457.23	819.3	1119.56
FNBP4	1369.04	346.29	281.09	325.29	194.36	242.88	204.07	301.33	480.04	497.0	325.29	323.03	325.29	316.37	253.23	291.04	563.18	373.81	281.09	438.59	915.51	638.15	295.11	155.5	299.25	1104.13	189.02	267.73	137.14	389.72	269.6	301.33	368.65	201.25	181.28	353.59	409.15	305.55	698.41	947.83	2816.11	1277.29	1295.13	3212.66	409.15	1277.29	547.75	444.72	1088.92	743.43	1639.59	878.17	1183.45	674.59	785.88	1250.98	896.64	1359.57	961.07	941.27	563.18	665.29	518.15	1697.45	2319.15	1427.22	607.87	518.15	848.22	1397.83	1923.14	1030.12	1639.59
FOXO6	96.68	8.19	1.38	0.93	14.89	30.12	5.32	17.9	1.25	16.51	0.91	10.31	4.54	1.25	1.95	50.98	3.44	0.42	28.45	1.64	3.08	7.06	3.82	9.48	3.14	8.19	5.59	3.89	5.5	18.56	3.79	0.8	27.05	0.0	5.45	8.38	62.12	1.0	7.82	21.78	19.39	24.11	37.85	115.16	50.98	171.45	47.5	78.34	67.12	45.21	50.63	74.06	126.12	37.05	63.0	175.07	84.63	88.88	57.89	75.64	43.94	15.68	159.9	75.11	111.21	84.04	102.97	40.07	318.57	78.34	93.35	92.05	155.5
FRA10AC1	470.14	181.28	281.09	305.55	171.45	466.88	177.53	113.56	220.32	346.29	373.81	547.75	180.02	460.44	438.59	241.19	178.77	571.05	287.01	329.84	543.96	490.14	264.03	173.85	454.09	309.83	387.02	616.37	206.94	275.28	189.02	277.2	624.99	271.48	301.33	409.15	417.77	239.52	358.54	327.56	713.11	403.5	507.46	1127.35	341.51	669.92	406.31	432.53	836.53	406.31	836.53	583.07	708.18	511.0	579.04	642.59	607.87	490.14	1001.93	1023.0	320.8	486.75	473.41	559.28	738.29	738.29	571.05	262.2	684.02	665.29	718.08	819.3	872.1
FRS3	220.32	46.84	111.21	65.72	46.84	127.89	82.29	112.77	56.68	43.63	70.01	75.11	74.06	90.77	69.52	47.17	70.01	61.25	17.51	55.89	82.29	92.05	82.29	60.39	112.77	127.0	111.99	96.68	63.45	66.65	59.97	60.39	102.97	47.5	81.71	124.37	60.39	89.51	120.1	43.32	159.9	55.89	72.52	215.77	66.65	143.01	165.57	94.01	182.55	108.14	232.94	145.02	175.07	162.14	123.5	248.0	148.09	258.57	149.12	172.65	132.44	85.22	112.77	175.07	301.33	237.86	143.01	122.64	157.68	217.27	251.48	241.19	447.82
GABBR1	339.14	112.77	33.54	26.28	100.13	191.67	107.38	81.14	131.51	96.01	22.26	98.04	121.79	279.14	169.07	30.34	221.86	356.05	56.28	133.36	679.29	248.0	95.34	30.78	47.5	684.02	57.89	96.68	81.71	143.01	119.26	31.9	214.27	36.53	119.26	118.43	217.27	78.34	289.02	214.27	679.29	327.56	483.38	1044.52	163.28	540.19	358.54	126.12	438.59	191.67	381.68	339.14	674.59	346.29	575.03	423.61	376.41	764.36	379.04	334.46	316.37	73.54	256.78	780.44	995.0	836.53	275.28	185.11	435.55	368.65	1008.9	603.67	890.44
GLCCI1	72.52	312.0	555.41	255.0	199.85	23.76	587.13	195.72	336.79	536.45	543.96	60.39	543.96	77.79	26.1	71.5	521.76	96.68	80.01	101.54	131.51	189.02	65.26	20.26	31.22	142.01	17.25	49.56	40.93	47.5	37.32	50.98	40.36	14.89	36.27	59.97	32.59	43.02	42.11	193.01	432.53	150.17	221.86	651.58	176.29	248.0	178.77	115.97	435.55	125.24	698.41	334.46	214.27	454.09	551.56	967.76	703.28	988.12	339.14	563.18	231.32	239.52	309.83	796.86	1745.2	529.06	329.84	150.17	536.45	2075.59	1909.85	780.44	1651.0
GNB3	167.9	0.91	0.53	3.79	0.0	7.34	6.36	12.74	4.28	3.03	0.0	2.73	1.35	8.51	2.36	2.73	12.18	19.11	6.57	4.62	59.55	14.56	10.24	4.74	1.14	32.36	5.82	8.45	22.92	9.06	1.81	2.07	4.9	0.0	9.85	5.59	18.16	5.06	26.28	18.16	35.76	21.16	23.08	147.06	30.78	87.03	7.57	13.22	104.42	9.34	142.01	35.5	127.89	39.5	46.18	74.06	96.01	231.32	38.4	70.01	33.78	47.84	38.12	165.57	187.71	195.72	17.9	12.45	29.48	131.51	193.01	195.72	74.06
GOLGA8B	1015.93	121.79	191.67	170.25	171.45	435.55	165.57	131.51	392.44	23.76	258.57	301.33	120.94	253.23	155.5	69.03	532.74	122.64	74.06	162.14	1794.29	438.59	189.02	94.67	217.27	624.99	169.07	138.1	45.53	239.52	163.28	101.54	466.88	76.71	52.08	229.72	327.56	231.32	890.44	483.38	1844.76	1001.93	3491.39	1781.89	193.01	8078.22	860.08	624.99	3820.7	1331.57	6079.61	4123.49	8134.41	1487.87	5255.91	10154.69	3103.19	4298.64	693.58	3491.39	1487.87	825.0	988.12	5711.87	9025.81	1051.79	2032.85	381.68	8718.32	981.29	7180.15	1175.27	7331.05
GPBP1L1	1651.0	1388.16	909.17	1437.15	1023.0	1437.15	785.88	947.83	753.83	934.76	1073.91	1447.15	733.19	1651.0	813.63	1051.79	872.1	1175.27	1159.07	1322.37	941.27	1605.83	921.88	808.0	1183.45	1066.48	1135.2	1175.27	679.29	1225.22	974.5	1313.23	1001.93	1030.12	1023.0	1268.46	1183.45	1295.13	836.53	1674.06	1594.73	1508.65	1806.78	1950.0	1151.06	1540.37	1583.71	1674.06	1709.26	1628.26	1896.65	1487.87	1561.89	1551.09	1369.04	1447.15	1832.01	1594.73	1417.35	1709.26	1183.45	1175.27	1369.04	1651.0	1467.37	1508.65	1540.37	1044.52	1870.53	1697.45	1991.0	2075.59	1896.65
GPCPD1	995.0	100.83	80.01	68.55	95.34	107.38	120.94	120.94	178.77	135.24	117.6	141.02	66.65	136.19	173.85	111.21	163.28	150.17	301.33	267.73	309.83	305.55	223.41	96.01	81.71	579.04	76.17	177.53	123.5	218.79	87.03	150.17	98.73	92.7	70.51	206.94	211.31	127.0	175.07	392.44	708.18	343.89	361.04	384.34	194.36	423.61	248.0	318.57	447.82	503.95	785.88	444.72	723.08	341.51	543.96	688.78	457.25	642.59	525.39	688.78	287.01	426.57	318.57	723.08	769.69	728.11	441.64	309.83	463.65	599.49	633.73	638.15	708.18
GRIPAP1	743.43	529.06	514.56	356.05	351.14	629.35	540.19	529.06	486.75	507.46	454.09	507.46	567.1	543.96	395.18	332.14	466.88	264.03	143.01	366.09	591.22	536.45	525.39	356.05	454.09	660.68	376.41	371.22	409.15	500.46	454.09	473.41	511.0	497.0	403.5	447.82	595.34	473.41	521.76	642.59	878.17	607.87	723.08	1073.91	275.28	1143.1	934.76	454.09	796.86	830.75	967.76	718.08	961.07	616.37	796.86	988.12	878.17	967.76	540.19	802.41	802.41	575.03	890.44	1051.79	1015.93	1008.9	791.35	620.67	941.27	728.11	954.43	896.64	1037.29
HMGN2	8718.32	3372.43	3794.3	3928.15	2240.11	6079.61	3847.29	2335.28	4450.27	5219.6	3639.7	5255.91	3190.46	4736.79	5441.3	5255.91	4543.8	4937.99	10440.2	5633.22	3982.99	7485.11	4937.99	3515.68	6699.25	6337.83	5517.27	6607.01	4358.66	5441.3	4607.24	4836.35	4181.07	4836.35	6699.25	6887.62	6250.56	5954.47	5791.62	4671.57	10440.2	5329.3	15824.9	10296.45	6607.01	16843.62	7382.04	8134.41	10512.82	12160.22	13681.08	7966.99	12943.04	6745.86	13033.07	19082.0	13306.94	11504.21	9540.5	13492.72	9279.58	5555.65	9474.59	11909.94	12160.22	13399.51	15715.58	6699.25	19214.73	14663.09	14765.09	13306.94	17437.64
HNRNPUL2	1143.1	825.0	988.12	547.75	909.17	915.51	447.82	1015.93	656.11	909.17	860.08	693.58	961.07	780.44	728.11	665.29	1001.93	718.08	500.46	521.76	728.11	941.27	551.56	470.14	808.0	775.05	583.07	466.88	454.09	633.73	460.44	543.96	616.37	629.35	529.06	651.58	934.76	583.07	543.96	884.29	1015.93	780.44	791.35	928.3	848.22	1151.06	854.13	915.51	1015.93	981.29	1081.39	819.3	961.07	769.69	748.61	1008.9	1111.82	915.51	1225.22	995.0	723.08	780.44	599.49	1015.93	1159.07	1104.13	928.3	713.11	909.17	967.76	1191.69	1066.48	1119.56
HOOK2	1417.35	693.58	769.69	974.5	656.11	830.75	1183.45	1295.13	656.11	954.43	934.76	902.89	1015.93	1008.9	400.71	497.0	1388.16	480.04	141.02	426.57	1225.22	848.22	334.46	473.41	718.08	1295.13	232.94	212.78	373.81	555.41	878.17	447.82	432.53	511.0	236.21	432.53	967.76	591.22	441.64	1059.11	1175.27	866.07	3467.27	2104.58	848.22	2609.3	1437.15	1183.45	1697.45	2287.2	2875.3	1685.71	2997.45	1407.55	1923.14	1977.24	1909.85	2720.15	825.0	1437.15	1208.34	2468.49	2061.24	2520.38	3540.14	2271.4	1096.5	1208.34	1936.53	2758.13	3395.89	2434.5	3955.48
HOOK3	88.26	265.87	51.35	155.5	88.88	68.55	56.68	31.45	80.01	149.12	49.91	152.28	58.71	140.04	84.04	71.0	80.01	111.99	100.83	118.43	144.01	132.44	67.12	45.53	116.78	162.14	70.51	149.12	43.63	75.11	70.01	185.11	76.17	49.91	76.17	112.77	127.0	71.0	94.67	309.83	532.74	403.5	244.57	441.64	92.05	480.04	183.82	220.32	497.0	120.94	612.11	287.01	490.14	221.86	432.53	423.61	551.56	334.46	555.41	490.14	137.14	170.25	265.87	540.19	432.53	441.64	262.2	67.59	303.44	555.41	651.58	500.46	575.03
ICA1L	44.89	16.39	12.18	22.43	17.0	37.32	8.99	25.91	13.93	30.78	7.94	52.45	12.36	63.45	48.87	28.04	20.56	39.79	14.67	43.94	66.18	59.97	89.51	42.71	26.28	53.95	7.63	24.46	10.08	44.57	28.04	47.5	20.41	18.56	37.05	57.08	88.26	40.93	22.75	34.26	127.89	70.01	123.5	93.35	21.47	246.28	55.1	66.65	165.57	127.0	181.28	79.45	186.4	82.29	220.32	241.19	170.25	133.36	119.26	152.28	72.52	61.68	63.0	141.02	209.84	175.07	102.25	71.5	152.28	122.64	153.34	91.41	239.52
IK	1991.0	995.0	842.36	1127.35	1015.93	1745.2	1427.22	529.06	941.27	1883.54	688.78	1191.69	1340.84	1242.34	1639.59	1594.73	1963.57	1662.49	1250.98	1477.58	2367.9	1806.78	1540.37	1242.34	1936.53	1769.57	1651.0	1794.29	1639.59	1388.16	1447.15	1561.89	2032.85	1662.49	1561.89	1794.29	1733.13	1417.35	1745.2	1870.53	2061.24	1540.37	1628.26	1561.89	1427.22	2682.69	1757.34	1529.73	2502.97	2178.83	2555.58	2004.85	2032.85	1498.22	1781.89	2209.26	2303.12	2193.99	2664.15	2193.99	1781.89	2148.82	1883.54	2367.9	2468.49	2555.58	2255.7	1350.18	2520.38	2367.9	1857.6	2148.82	2384.37
IKZF4	112.77	118.43	79.45	55.89	44.25	57.08	120.1	59.97	67.12	83.45	100.13	67.59	87.65	68.55	72.01	91.41	99.43	88.88	28.24	74.58	70.01	119.26	64.8	72.52	33.54	69.52	26.67	55.89	38.12	59.97	42.41	68.55	32.82	25.54	55.49	77.25	83.45	49.91	76.71	76.71	178.77	130.6	169.07	90.77	77.25	242.88	71.0	54.33	208.38	111.99	287.01	135.24	170.25	108.9	194.36	208.38	237.86	164.42	220.32	258.57	110.43	69.52	136.19	221.86	228.13	242.88	138.1	48.87	248.0	119.26	236.21	231.32	241.19
ILKAP	890.44	316.37	275.28	246.28	432.53	551.56	389.72	351.14	409.15	403.5	246.28	463.65	301.33	473.41	305.55	305.55	381.68	309.83	341.51	353.59	547.75	547.75	521.76	312.0	629.35	638.15	381.68	417.77	346.29	441.64	514.56	358.54	189.02	397.93	381.68	426.57	454.09	426.57	660.68	603.67	764.36	525.39	1167.14	651.58	389.72	1447.15	540.19	665.29	1119.56	591.22	1268.46	981.29	1250.98	728.11	1015.93	1313.23	1151.06	1427.22	808.0	1175.27	563.18	476.71	575.03	1175.27	1467.37	1313.23	1104.13	511.0	1295.13	1119.56	1216.75	1225.22	1605.83
INPP5F	166.73	112.77	89.51	148.09	127.0	98.04	46.18	70.51	111.21	139.07	114.36	134.3	73.54	169.07	212.78	253.23	100.83	327.56	116.78	126.12	212.78	236.21	78.89	106.63	149.12	118.43	150.17	90.14	91.41	96.68	90.14	127.0	96.01	63.89	114.36	116.78	165.57	112.77	84.63	217.27	285.03	177.53	68.07	293.07	117.6	167.9	164.42	246.28	371.22	105.89	341.51	204.07	271.48	100.13	275.28	157.68	363.56	353.59	277.2	303.44	87.03	178.77	150.17	305.55	371.22	293.07	246.28	95.34	102.97	218.79	366.09	312.0	185.11
IP6K2	3742.05	669.92	902.89	642.59	1051.79	1583.71	1721.16	775.05	1397.83	1216.75	1066.48	954.43	1295.13	1088.92	1322.37	1268.46	2004.85	1923.14	819.3	934.76	1721.16	1883.54	2104.58	1059.11	1498.22	4066.71	1651.0	1030.12	1268.46	743.43	988.12	1870.53	1397.83	1572.76	1059.11	981.29	1259.69	1304.15	1561.89	1350.18	1896.65	1216.75	3124.78	1896.65	1322.37	2351.53	1674.06	1572.76	2384.37	1936.53	3564.78	1857.6	2777.33	1685.71	1651.0	2895.31	2609.3	3235.01	2209.26	2485.67	3060.45	921.88	1923.14	2835.7	4639.29	4358.66	1769.57	1359.57	2502.97	2739.08	5041.77	2855.44	4836.35
JMJD7-PLA2G4B	198.47	18.97	14.89	12.09	12.0	18.7	52.45	22.43	47.17	26.86	25.17	17.13	33.78	25.54	8.78	10.63	60.82	18.29	13.52	18.56	38.12	46.84	24.99	10.71	25.72	96.68	20.26	8.51	26.28	19.97	16.88	21.32	18.43	5.41	9.41	26.28	28.24	32.36	59.97	50.63	148.09	59.97	166.73	193.01	28.45	178.77	48.18	42.71	150.17	47.84	215.77	108.14	281.09	51.35	102.97	316.37	113.56	154.42	57.49	95.34	36.79	51.71	74.06	138.1	334.46	172.65	83.45	57.08	126.12	165.57	642.59	137.14	379.04
