	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A18J.11A.31R.A12D.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.BH.A1FM.11B.23R.A13Q.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.T6MO.0326.SM.32QOK	GTEX.11ZTT.2326.SM.5EQLG	GTEX.132AR.0826.SM.5EGK6	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.133LE.1726.SM.5K7VQ	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.14753.1626.SM.5NQ9L
PGM2L1	80.57	59.13	23.25	56.68	22.92	107.38	105.15	58.71	41.81	56.68	38.12	65.26	44.89	48.87	100.83	38.12	27.64	45.21	186.4	50.98	102.97	53.95	52.08	18.16	53.57	37.85	16.75	28.86	49.91	104.42	84.63	30.34	38.95	12.45	13.83	2.05	1.53	6.52	5.23	7.28	7.28	4.98	1.69
PHC1	825.0	595.34	187.71	341.51	191.67	684.02	723.08	420.68	316.37	409.15	336.79	718.08	384.34	341.51	703.28	358.54	229.72	287.01	514.56	228.13	441.64	371.22	454.09	177.53	473.41	214.27	146.03	204.07	400.71	656.11	346.29	406.31	249.73	228.13	78.34	55.1	63.89	50.63	61.25	61.68	79.45	46.84	24.63
PIAS3	1397.83	854.13	299.25	612.11	368.65	1127.35	1331.57	713.11	595.34	802.41	441.64	1498.22	603.67	607.87	1175.27	616.37	435.55	688.78	629.35	241.19	872.1	759.08	1044.52	339.14	532.74	325.29	228.13	318.57	466.88	854.13	896.64	1183.45	620.67	540.19	153.34	58.71	86.43	89.51	91.41	79.45	96.01	77.79	28.24
POLDIP3	1427.22	1199.98	796.86	693.58	647.07	1304.15	1540.37	1111.82	961.07	974.5	703.28	1529.73	902.89	954.43	1407.55	769.69	995.0	928.3	934.76	587.13	1340.84	1242.34	1561.89	651.58	813.63	595.34	571.05	555.41	836.53	941.27	961.07	1551.09	616.37	629.35	420.68	325.29	438.59	447.82	346.29	423.61	555.41	500.46	204.07
POLR3A	212.78	197.09	84.04	142.01	117.6	204.07	211.31	153.34	133.36	165.57	111.99	239.52	144.01	117.6	183.82	133.36	107.38	133.36	178.77	82.87	206.94	159.9	132.44	92.7	120.1	104.42	92.05	128.79	157.68	176.29	217.27	193.01	108.14	97.36	71.5	59.97	65.72	75.64	61.25	81.71	69.52	41.81	31.9
POMT2	320.8	473.41	154.42	285.03	264.03	376.41	387.02	199.85	180.02	217.27	206.94	348.71	293.07	218.79	291.04	265.87	285.03	146.03	224.97	180.02	309.83	236.21	289.02	177.53	262.2	373.81	135.24	195.72	279.14	371.22	341.51	307.69	173.85	221.86	224.97	161.02	217.27	129.69	98.73	185.11	141.02	158.79	71.0
PPP1R12A	1572.76	753.83	231.32	698.41	397.93	1233.75	941.27	748.61	616.37	967.76	665.29	1208.34	693.58	684.02	1447.15	679.29	336.79	579.04	1030.12	587.13	1143.1	1037.29	612.11	312.0	507.46	373.81	358.54	607.87	555.41	674.59	1225.22	540.19	890.44	599.49	125.24	76.71	30.34	78.89	113.56	100.13	111.21	132.44	71.0
PRDM8	87.03	66.65	43.63	85.22	24.99	57.08	105.15	78.89	48.18	51.71	30.12	47.84	77.25	67.59	43.02	48.18	43.02	75.64	36.27	30.56	36.27	43.02	37.32	6.31	85.82	14.67	8.58	10.55	28.45	71.5	81.14	44.57	33.06	20.41	4.94	0.83	1.36	0.87	0.83	1.45	6.31	0.0	0.15
QTRTD1	381.68	343.89	96.01	220.32	140.04	368.65	392.44	246.28	181.28	186.4	158.79	450.94	178.77	198.47	343.89	190.34	114.36	229.72	205.5	241.19	435.55	271.48	281.09	84.04	258.57	209.84	156.59	146.03	214.27	253.23	289.02	303.44	206.94	206.94	60.39	69.03	52.82	63.89	100.83	72.52	83.45	76.17	31.9
RBM23	1529.73	1605.83	633.73	665.29	518.15	1605.83	1477.58	961.07	748.61	878.17	603.67	1617.0	693.58	872.1	1487.87	571.05	616.37	836.53	1023.0	620.67	1447.15	1259.69	1143.1	567.1	988.12	599.49	607.87	571.05	674.59	1081.39	1051.79	1340.84	1191.69	902.89	620.67	555.41	656.11	507.46	547.75	775.05	616.37	473.41	447.82
RFWD3	291.04	217.27	90.14	162.14	95.34	303.44	297.17	171.45	155.5	180.02	147.06	348.71	140.04	190.34	273.37	142.01	93.35	169.07	217.27	108.14	293.07	323.03	307.69	77.25	104.42	154.42	94.67	75.11	158.79	283.05	318.57	420.68	159.9	161.02	64.8	55.49	45.85	56.68	50.27	56.68	70.51	51.35	27.05
RNMT	656.11	529.06	264.03	460.44	348.71	497.0	607.87	466.88	384.34	438.59	403.5	665.29	497.0	403.5	575.03	400.71	339.14	420.68	389.72	323.03	500.46	447.82	395.18	264.03	316.37	327.56	255.0	275.28	346.29	334.46	599.49	559.28	327.56	267.73	242.88	275.28	136.19	205.5	244.57	205.5	218.79	229.72	136.19
RSRC2	1697.45	1909.85	759.08	1216.75	1350.18	2148.82	1950.0	1529.73	1350.18	1605.83	1268.46	2384.37	1268.46	1561.89	2163.77	1183.45	1407.55	1487.87	1199.98	1096.5	1923.14	1936.53	1407.55	1008.9	1250.98	1081.39	915.51	1304.15	1059.11	1519.15	1819.35	1651.0	1388.16	1023.0	802.41	454.09	309.83	483.38	514.56	669.92	473.41	708.18	490.14
SART3	669.92	674.59	299.25	361.04	305.55	651.58	791.35	567.1	429.54	514.56	376.41	872.1	403.5	457.25	713.11	373.81	373.81	429.54	490.14	346.29	679.29	638.15	507.46	316.37	376.41	389.72	295.11	332.14	432.53	536.45	591.22	629.35	363.56	373.81	231.32	181.28	178.77	175.07	220.32	217.27	199.85	185.11	82.87
SCAF4	473.41	403.5	223.41	325.29	279.14	507.46	511.0	351.14	295.11	353.59	295.11	463.65	327.56	325.29	438.59	299.25	287.01	289.02	376.41	262.2	412.0	480.04	329.84	193.01	258.57	339.14	214.27	258.57	291.04	406.31	521.76	392.44	356.05	303.44	249.73	217.27	191.67	197.09	218.79	205.5	183.82	183.82	112.77
SF1	4704.07	5147.73	2271.4	2895.31	2573.36	5441.3	6294.04	3540.14	3018.3	3443.31	3081.75	5041.77	2835.7	3419.52	5672.41	2935.74	3060.45	2855.44	3665.02	3081.75	4268.94	4328.55	4268.94	2384.37	2400.97	3257.52	2645.74	3349.13	2855.44	3742.05	4181.07	4543.8	3443.31	3491.39	1709.26	1617.0	1388.16	1447.15	1769.57	1583.71	1519.15	1870.53	1119.56
SH3PXD2B	599.49	525.39	251.48	447.82	198.47	738.29	674.59	567.1	361.04	323.03	397.93	603.67	327.56	363.56	536.45	255.0	258.57	988.12	223.41	463.65	500.46	395.18	397.93	368.65	514.56	218.79	178.77	320.8	518.15	356.05	954.43	780.44	332.14	291.04	42.11	25.54	22.1	39.5	71.0	38.67	38.12	42.41	41.52
SLC4A7	842.36	1073.91	23.59	133.36	40.64	660.68	780.44	297.17	173.85	351.14	111.99	1407.55	171.45	251.48	441.64	95.34	55.1	204.07	167.9	82.29	339.14	473.41	303.44	60.39	133.36	96.01	37.59	72.52	140.04	309.83	384.34	187.71	122.64	101.54	29.91	19.97	15.8	27.44	27.84	15.34	19.11	11.21	13.12
SMARCC1	860.08	866.07	244.57	420.68	291.04	884.29	967.76	579.04	457.25	612.11	371.22	1322.37	470.14	500.46	842.36	389.72	297.17	503.95	603.67	376.41	915.51	981.29	842.36	187.71	412.0	356.05	237.86	356.05	470.14	836.53	860.08	759.08	366.09	275.28	187.71	139.07	145.02	208.38	169.07	181.28	166.73	136.19	135.24
SMC1A	813.63	921.88	239.52	457.25	339.14	860.08	1191.69	684.02	595.34	733.19	748.61	902.89	429.54	674.59	866.07	423.61	397.93	379.04	866.07	366.09	902.89	1331.57	463.65	273.37	511.0	902.89	255.0	432.53	486.75	896.64	921.88	1350.18	387.02	432.53	193.01	156.59	177.53	237.86	218.79	379.04	289.02	177.53	190.34
SNRNP200	2400.97	2163.77	1369.04	1407.55	1208.34	2451.44	2855.44	2018.8	1757.34	2090.03	1709.26	2816.11	1685.71	1651.0	2739.08	1617.0	1572.76	1639.59	1477.58	1191.69	2701.35	2090.03	2287.2	1159.07	1551.09	1572.76	1096.5	1233.75	1583.71	2104.58	2075.59	3060.45	1572.76	1417.35	1208.34	1066.48	1151.06	1135.2	723.08	1388.16	1111.82	941.27	764.36
STK11IP	403.5	470.14	133.36	140.04	136.19	287.01	376.41	221.86	172.65	186.4	155.5	351.14	139.07	212.78	303.44	148.09	127.89	132.44	234.57	110.43	275.28	242.88	221.86	127.89	281.09	123.5	121.79	166.73	195.72	218.79	277.2	228.13	251.48	220.32	92.05	94.67	88.88	76.17	58.3	80.01	73.54	102.25	21.63
STRIP1	559.28	497.0	279.14	363.56	343.89	579.04	642.59	444.72	353.59	387.02	356.05	543.96	400.71	414.87	532.74	327.56	348.71	356.05	518.15	244.57	575.03	483.38	429.54	246.28	291.04	361.04	215.77	305.55	363.56	603.67	497.0	470.14	379.04	346.29	147.06	112.77	133.36	147.06	118.43	127.0	133.36	81.14	65.72
SUDS3	629.35	567.1	187.71	327.56	212.78	633.73	607.87	361.04	318.57	400.71	251.48	743.43	356.05	363.56	511.0	277.2	215.77	343.89	454.09	221.86	536.45	507.46	432.53	198.47	281.09	255.0	171.45	334.46	327.56	397.93	476.71	441.64	289.02	208.38	182.55	142.01	120.1	173.85	158.79	155.5	151.22	221.86	128.79
TADA2A	353.59	301.33	106.63	234.57	204.07	314.17	299.25	269.6	211.31	295.11	198.47	406.31	198.47	220.32	341.51	255.0	209.84	199.85	176.29	166.73	209.84	267.73	271.48	129.69	167.9	229.72	108.14	334.46	260.38	226.54	287.01	260.38	223.41	177.53	85.22	78.34	52.82	105.89	115.97	124.37	78.89	73.54	68.07
TAF4B	139.07	113.56	27.64	84.04	42.71	106.63	101.54	98.04	64.8	66.65	49.91	190.34	99.43	75.64	96.68	114.36	78.89	81.14	27.44	75.11	108.14	182.55	206.94	14.03	22.26	62.12	23.93	69.03	81.71	94.67	165.57	176.29	39.79	57.49	6.41	0.6	1.06	1.66	1.57	2.58	1.19	1.89	0.39
TANC1	500.46	438.59	228.13	253.23	228.13	591.22	503.95	429.54	275.28	361.04	269.6	529.06	275.28	351.14	450.94	332.14	191.67	183.82	423.61	307.69	483.38	329.84	346.29	149.12	176.29	215.77	187.71	444.72	426.57	244.57	480.04	305.55	409.15	212.78	84.04	38.4	49.21	57.08	59.97	78.89	42.11	71.0	60.82
TBC1D32	170.25	115.97	31.22	40.64	24.63	123.5	142.01	54.33	53.95	56.28	31.22	156.59	48.52	63.0	119.26	35.25	22.59	59.55	62.56	21.47	97.36	128.79	78.34	21.94	47.84	25.35	13.62	21.47	58.71	78.89	79.45	100.83	27.25	26.47	11.73	5.59	3.23	7.11	10.0	9.27	7.34	48.18	4.31
TRAF5	373.81	327.56	59.55	214.27	92.05	325.29	381.68	246.28	149.12	131.51	135.24	327.56	121.79	186.4	312.0	137.14	73.54	141.02	187.71	98.73	195.72	161.02	124.37	49.21	145.02	63.45	57.89	87.65	149.12	237.86	283.05	134.3	224.97	166.73	36.79	6.01	8.92	11.73	21.47	14.03	12.83	21.32	14.24
TRAFD1	738.29	647.07	361.04	417.77	299.25	674.59	743.43	607.87	423.61	540.19	387.02	679.29	406.31	503.95	669.92	387.02	281.09	406.31	460.44	281.09	688.78	603.67	493.56	236.21	447.82	258.57	295.11	346.29	392.44	521.76	518.15	642.59	384.34	325.29	228.13	122.64	191.67	181.28	142.01	187.71	198.47	128.79	73.03
TRIT1	521.76	460.44	154.42	206.94	194.36	403.5	417.77	318.57	289.02	314.17	221.86	620.67	301.33	303.44	334.46	204.07	264.03	273.37	197.09	204.07	470.14	379.04	260.38	154.42	185.11	153.34	178.77	186.4	256.78	323.03	403.5	426.57	139.07	189.02	161.02	163.28	93.35	187.71	173.85	183.82	162.14	71.5	44.25
TTLL5	460.44	406.31	133.36	212.78	181.28	406.31	414.87	318.57	295.11	277.2	239.52	540.19	305.55	269.6	518.15	305.55	165.57	285.03	285.03	178.77	447.82	409.15	314.17	186.4	348.71	239.52	159.9	183.82	376.41	329.84	376.41	353.59	285.03	197.09	110.43	105.89	90.77	111.21	82.87	77.25	56.28	113.56	106.63
TXLNA	819.3	764.36	366.09	470.14	460.44	723.08	836.53	743.43	518.15	540.19	463.65	813.63	435.55	591.22	836.53	438.59	368.65	620.67	775.05	466.88	753.83	616.37	723.08	503.95	1111.82	507.46	376.41	457.25	808.0	713.11	660.68	878.17	497.0	503.95	417.77	366.09	371.22	336.79	371.22	341.51	412.0	343.89	231.32
USP42	218.79	157.68	55.89	121.79	78.34	208.38	202.66	119.26	88.88	112.77	93.35	198.47	131.51	111.99	199.85	101.54	70.51	122.64	170.25	95.34	156.59	212.78	157.68	53.57	84.63	113.56	59.13	105.89	159.9	158.79	228.13	132.44	132.44	91.41	53.19	40.36	38.67	36.01	47.17	44.25	37.59	28.04	27.25
UTP18	738.29	624.99	289.02	417.77	283.05	679.29	660.68	551.56	435.55	480.04	287.01	796.86	412.0	426.57	665.29	379.04	361.04	571.05	371.22	423.61	480.04	514.56	543.96	241.19	358.54	307.69	161.02	218.79	470.14	780.44	603.67	796.86	389.72	486.75	316.37	305.55	273.37	312.0	332.14	303.44	339.14	289.02	214.27
WDR43	743.43	665.29	236.21	473.41	409.15	769.69	769.69	480.04	457.25	460.44	423.61	848.22	483.38	463.65	651.58	483.38	454.09	854.13	376.41	836.53	543.96	708.18	791.35	293.07	283.05	1066.48	450.94	540.19	591.22	718.08	1111.82	802.41	376.41	414.87	218.79	167.9	115.97	158.79	368.65	171.45	158.79	169.07	198.47
ZNF121	497.0	473.41	130.6	264.03	169.07	373.81	341.51	267.73	221.86	249.73	152.28	555.41	244.57	251.48	466.88	195.72	153.34	258.57	226.54	218.79	395.18	295.11	435.55	104.42	170.25	223.41	142.01	234.57	279.14	406.31	368.65	387.02	295.11	205.5	202.66	165.57	62.12	189.02	251.48	133.36	85.82	264.03	186.4
ZNF131	753.83	738.29	381.68	432.53	435.55	884.29	703.28	595.34	441.64	500.46	387.02	896.64	521.76	536.45	813.63	457.25	521.76	587.13	579.04	656.11	728.11	769.69	480.04	371.22	441.64	559.28	260.38	493.56	444.72	555.41	708.18	575.03	518.15	384.34	223.41	181.28	80.01	204.07	255.0	173.85	195.72	172.65	177.53
ZNF142	339.14	314.17	98.04	171.45	118.43	348.71	371.22	217.27	146.03	220.32	164.42	341.51	176.29	191.67	303.44	173.85	131.51	178.77	221.86	151.22	244.57	265.87	297.17	142.01	176.29	217.27	121.79	136.19	178.77	190.34	244.57	242.88	175.07	134.3	45.85	38.12	46.84	40.64	34.75	38.4	57.49	36.01	15.8
ZNF202	218.79	237.86	64.34	105.15	81.14	239.52	293.07	166.73	102.25	136.19	98.04	318.57	98.73	123.5	211.31	87.03	106.63	127.0	143.01	102.97	169.07	195.72	190.34	60.82	164.42	95.34	86.43	61.25	156.59	214.27	155.5	241.19	98.73	127.89	49.56	32.59	23.59	34.26	53.19	33.78	31.22	20.71	7.0
ZNF232	218.79	204.07	141.02	118.43	103.69	249.73	239.52	194.36	129.69	295.11	86.43	483.38	170.25	159.9	167.9	107.38	114.36	149.12	195.72	127.0	185.11	157.68	205.5	66.65	145.02	77.25	66.18	112.77	117.6	231.32	426.57	211.31	525.39	77.25	88.26	88.26	43.94	84.04	89.51	66.65	99.43	76.17	24.46
ZNF317	629.35	483.38	314.17	450.94	343.89	525.39	591.22	525.39	392.44	412.0	329.84	638.15	366.09	497.0	525.39	325.29	255.0	373.81	417.77	450.94	547.75	379.04	480.04	253.23	343.89	346.29	339.14	363.56	384.34	409.15	642.59	647.07	395.18	379.04	341.51	307.69	231.32	201.25	318.57	231.32	279.14	241.19	122.64
ZNF337	392.44	371.22	162.14	256.78	182.55	438.59	409.15	314.17	244.57	223.41	190.34	429.54	236.21	295.11	457.25	246.28	189.02	256.78	358.54	175.07	423.61	312.0	309.83	110.43	255.0	135.24	138.1	212.78	271.48	341.51	312.0	329.84	158.79	120.94	52.82	47.5	36.79	62.12	56.28	38.95	40.64	82.29	26.28
ZNF548	389.72	325.29	110.43	237.86	142.01	381.68	397.93	209.84	204.07	265.87	170.25	406.31	244.57	204.07	412.0	190.34	140.04	205.5	289.02	154.42	297.17	379.04	214.27	155.5	312.0	173.85	138.1	202.66	201.25	314.17	309.83	269.6	241.19	114.36	69.52	54.33	53.19	66.65	57.89	70.01	100.13	85.82	70.01
ZNF649	361.04	287.01	98.73	154.42	119.26	346.29	323.03	199.85	136.19	212.78	124.37	325.29	171.45	163.28	318.57	124.37	96.68	137.14	211.31	52.45	246.28	397.93	205.5	76.17	57.08	87.65	66.65	52.45	131.51	237.86	277.2	215.77	124.37	105.15	44.89	44.89	27.64	37.32	67.12	41.22	36.79	20.26	19.53
ZNF830	395.18	444.72	356.05	201.25	206.94	500.46	473.41	387.02	279.14	293.07	258.57	500.46	262.2	323.03	457.25	170.25	299.25	287.01	334.46	334.46	454.09	457.25	249.73	122.64	218.79	212.78	202.66	249.73	264.03	376.41	381.68	397.93	218.79	187.71	199.85	209.84	144.01	217.27	205.5	229.72	211.31	162.14	67.59
