	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.AAD2.01A.11R.A41C.07	TCGA.ED.A8O5.01A.11R.A36F.07	TCGA.RC.A6M5.01A.11R.A32O.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.ES.A2HT.11A.11R.A180.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A114.11A.12R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13FTW.1126.SM.5J2NV	GTEX.UTHO.2426.SM.4JBHD	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.WQUQ.1926.SM.4OOSA	GTEX.145MF.0826.SM.5QGQA	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.13NZ9.1326.SM.5MR3V	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.RWSA.1426.SM.47JXA	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.WHSB.0326.SM.5FQSD	GTEX.13NYS.1626.SM.5J2MU	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.13FTZ.0526.SM.5IJCW	GTEX.ZYY3.0926.SM.5E454	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.13O3P.1026.SM.5N9E7	GTEX.11EI6.0826.SM.5985V	GTEX.O5YV.0526.SM.2I5GE	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13PVQ.0926.SM.5IJFD	GTEX.131YS.0926.SM.5IJB9	GTEX.OXRO.0326.SM.33HBM	GTEX.13YAN.1026.SM.5O9CF	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.N7MT.0126.SM.2D7VT	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.QDT8.0926.SM.32PL2	GTEX.U3ZH.0526.SM.3DB75	GTEX.1477Z.0626.SM.5NQB7	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	GTEX.11ZUS.0126.SM.5EQM5	GTEX.PLZ4.0726.SM.2TC6Q	GTEX.13QJ3.1026.SM.5QGQU	GTEX.12ZZW.0926.SM.5LZUD	GTEX.13JVG.1426.SM.5MR4W	GTEX.OXRP.0526.SM.2I3EW	GTEX.N7MS.0926.SM.2HMIZ	GTEX.XPVG.1026.SM.4B64Y	GTEX.SN8G.0926.SM.4DM5I	GTEX.1212Z.1026.SM.5EGJ8	GTEX.X261.1026.SM.3NMDL	GTEX.111VG.0726.SM.5GIDC	GTEX.11O72.1326.SM.5BC5A	GTEX.12KS4.0726.SM.5FQSX	GTEX.RTLS.0926.SM.2TF5X	GTEX.WYBS.1126.SM.3NMAM	GTEX.ZYVF.1726.SM.5E443	GTEX.146FH.1226.SM.5NQB6	GTEX.11DZ1.0426.SM.5H11A	GTEX.NPJ8.0326.SM.2D7VV	GTEX.QMR6.1926.SM.32PL9	GTEX.13FHO.1026.SM.5KM1Q
EML1	17.0	50.98	81.14	74.06	75.11	114.36	44.89	49.21	57.08	58.71	46.84	45.21	73.03	72.01	90.14	32.36	14.03	172.65	114.36	111.21	90.77	74.58	234.57	181.28	31.9	75.64	22.43	19.82	72.52	63.89	94.01	53.57	37.85	178.77	29.7	67.12	25.72	99.43	43.32	98.73	31.0	80.57	151.22	638.15	130.6	348.71	698.41	52.08	183.82	665.29	486.75	139.07	220.32	587.13	316.37	162.14	1250.98	521.76	287.01	1259.69	748.61	384.34	915.51	583.07	441.64	1277.29	603.67	121.79	271.48	647.07	518.15	1540.37	249.73	363.56	232.94	796.86	356.05	173.85	890.44	169.07	145.02	224.97	1066.48	397.93	384.34	1143.1	540.19	536.45	366.09	265.87
EXOC6B	39.22	46.84	48.52	60.39	86.43	90.14	86.43	41.81	78.34	31.22	68.55	44.57	80.57	41.52	91.41	44.25	34.02	87.65	52.45	63.89	48.18	71.0	131.51	80.01	58.71	59.13	36.01	39.5	59.55	41.22	118.43	61.68	50.98	68.07	43.02	118.43	27.44	46.18	44.89	55.89	45.85	74.58	94.67	307.69	283.05	98.73	384.34	368.65	232.94	647.07	139.07	256.78	295.11	269.6	148.09	115.97	503.95	414.87	353.59	429.54	397.93	141.02	228.13	599.49	470.14	215.77	248.0	299.25	320.8	283.05	293.07	607.87	145.02	264.03	277.2	177.53	271.48	182.55	287.01	224.97	417.77	107.38	638.15	193.01	264.03	175.07	273.37	189.02	285.03	307.69
FAM167A	7.28	9.2	92.7	3.56	1.36	253.23	4.9	1.89	0.91	17.9	6.41	1.79	6.94	5.32	8.85	1.73	12.36	20.56	28.04	5.15	3.26	40.93	38.4	0.44	1.53	17.38	0.29	54.33	10.88	0.93	27.64	118.43	0.33	21.32	0.55	9.41	2.25	26.86	2.12	2.03	53.19	11.91	63.0	1572.76	53.57	28.86	48.87	111.21	327.56	9.63	748.61	197.09	412.0	92.7	69.52	47.84	669.92	830.75	121.79	693.58	199.85	616.37	500.46	19.68	190.34	591.22	43.32	19.11	175.07	18.97	718.08	420.68	43.02	177.53	366.09	723.08	346.29	104.42	120.94	101.54	237.86	221.86	748.61	175.07	642.59	540.19	163.28	176.29	48.52	152.28
FAM189A1	2.25	1.68	0.0	3.06	1.31	1.01	1.31	0.44	1.25	5.32	2.23	0.0	4.78	0.62	1.06	1.68	0.0	1.13	3.41	0.03	0.09	0.0	2.07	23.25	7.88	0.0	2.84	62.12	0.0	1.45	1.58	1.48	1.31	0.54	2.89	2.97	0.8	4.31	1.64	2.1	8.0	1.36	3.17	30.56	23.42	11.04	63.45	6.36	44.57	30.12	24.63	22.1	128.79	20.56	7.0	35.5	145.02	38.95	7.63	64.8	13.93	17.77	40.07	19.39	9.7	82.87	47.84	31.22	66.18	14.89	21.47	68.55	44.57	12.0	185.11	70.51	18.43	59.97	48.87	15.34	39.79	21.01	32.13	3.63	16.39	51.35	28.65	11.73	23.42	70.51
FAM20B	185.11	279.14	181.28	275.28	429.54	202.66	423.61	275.28	248.0	111.99	178.77	181.28	212.78	146.03	208.38	180.02	169.07	287.01	271.48	277.2	329.84	195.72	307.69	251.48	195.72	83.45	244.57	159.9	88.26	271.48	220.32	156.59	103.69	228.13	88.26	187.71	195.72	190.34	165.57	178.77	110.43	209.84	98.73	435.55	400.71	190.34	521.76	656.11	426.57	514.56	376.41	507.46	384.34	490.14	256.78	277.2	967.76	728.11	348.71	647.07	563.18	265.87	414.87	620.67	334.46	669.92	412.0	423.61	575.03	559.28	616.37	547.75	387.02	684.02	651.58	392.44	638.15	371.22	902.89	616.37	902.89	400.71	543.96	343.89	629.35	518.15	457.25	281.09	854.13	563.18
FLI1	59.55	244.57	37.59	166.73	135.24	202.66	74.06	165.57	76.17	61.68	106.63	64.8	173.85	96.01	228.13	84.63	69.52	249.73	138.1	111.21	86.43	124.37	358.54	201.25	166.73	53.57	85.82	77.79	176.29	74.58	136.19	78.34	98.04	299.25	105.15	256.78	74.06	157.68	76.71	221.86	105.15	154.42	76.17	890.44	1135.2	251.48	2400.97	493.56	769.69	540.19	403.5	1225.22	1175.27	1001.93	748.61	981.29	2609.3	1605.83	860.08	2032.85	1295.13	703.28	791.35	5594.3	603.67	3467.27	909.17	1757.34	1639.59	368.65	708.18	909.17	1250.98	1001.93	1832.01	1216.75	435.55	1662.49	2224.63	1540.37	1008.9	638.15	733.19	620.67	409.15	1417.35	616.37	656.11	3124.78	1909.85
FRY	135.24	125.24	253.23	392.44	409.15	316.37	267.73	395.18	305.55	176.29	332.14	248.0	395.18	262.2	231.32	264.03	928.3	728.11	220.32	265.87	251.48	444.72	307.69	165.57	289.02	126.12	144.01	256.78	312.0	140.04	287.01	110.43	193.01	135.24	111.99	392.44	684.02	305.55	117.6	185.11	389.72	264.03	295.11	791.35	583.07	466.88	723.08	106.63	473.41	579.04	460.44	842.36	1697.45	733.19	551.56	723.08	4010.71	2520.38	934.76	2555.58	1857.6	555.41	503.95	1151.06	395.18	2163.77	1088.92	753.83	1551.09	1605.83	1030.12	981.29	221.86	728.11	2119.22	1143.1	454.09	1151.06	607.87	559.28	2148.82	258.57	941.27	353.59	507.46	866.07	819.3	173.85	708.18	866.07
FRYL	178.77	133.36	135.24	175.07	255.0	199.85	145.02	204.07	130.6	46.18	187.71	162.14	206.94	100.83	185.11	125.24	158.79	108.9	172.65	113.56	189.02	145.02	220.32	226.54	120.1	71.5	96.01	122.64	108.14	129.69	130.6	170.25	166.73	116.78	104.42	128.79	126.12	176.29	142.01	164.42	100.13	135.24	102.25	473.41	497.0	255.0	733.19	356.05	363.56	314.17	403.5	348.71	493.56	314.17	303.44	381.68	1059.11	830.75	412.0	599.49	688.78	400.71	327.56	733.19	780.44	647.07	397.93	559.28	540.19	441.64	518.15	638.15	305.55	231.32	518.15	575.03	191.67	507.46	567.1	366.09	327.56	195.72	480.04	392.44	356.05	258.57	327.56	332.14	842.36	435.55
GAB1	31.9	35.5	59.97	63.0	64.8	108.9	83.45	21.01	34.51	28.45	59.55	127.89	107.38	48.18	127.0	85.22	75.64	43.63	62.12	34.75	50.63	81.71	212.78	171.45	97.36	47.5	61.68	27.25	36.53	14.45	84.63	106.63	115.97	142.01	85.22	137.14	73.54	59.13	83.45	111.21	43.94	82.29	72.01	204.07	417.77	244.57	830.75	273.37	371.22	381.68	532.74	242.88	647.07	540.19	532.74	258.57	1583.71	728.11	273.37	1340.84	934.76	295.11	366.09	529.06	743.43	587.13	435.55	389.72	764.36	312.0	532.74	559.28	129.69	423.61	872.1	476.71	271.48	409.15	607.87	269.6	587.13	111.99	400.71	237.86	356.05	353.59	332.14	256.78	473.41	303.44
GAPVD1	98.04	93.35	100.83	132.44	167.9	181.28	178.77	98.73	74.06	65.26	113.56	97.36	191.67	98.73	177.53	98.73	100.83	180.02	138.1	150.17	173.85	139.07	110.43	100.13	137.14	135.24	82.29	204.07	98.73	190.34	111.21	150.17	140.04	114.36	72.52	144.01	131.51	123.5	136.19	115.97	156.59	191.67	175.07	305.55	309.83	301.33	384.34	525.39	466.88	540.19	343.89	392.44	387.02	346.29	438.59	414.87	607.87	406.31	764.36	429.54	612.11	291.04	438.59	583.07	457.25	343.89	476.71	669.92	830.75	299.25	221.86	346.29	339.14	429.54	878.17	483.38	169.07	738.29	314.17	389.72	493.56	218.79	493.56	490.14	309.83	301.33	480.04	287.01	775.05	420.68
GCOM1	18.03	0.0	4.1	0.0	0.0	0.56	8.85	1.2	0.0	0.0	0.54	13.12	12.45	0.0	10.0	4.7	1.36	21.01	0.75	8.71	5.23	1.04	1.46	21.01	4.86	10.47	3.72	1.55	17.0	2.81	17.77	22.59	6.57	2.86	0.53	22.1	0.0	0.0	3.26	1.07	1.77	9.85	1.95	126.12	62.56	4.7	109.66	77.79	30.34	43.63	113.56	53.57	28.86	25.72	33.54	115.97	303.44	161.02	353.59	177.53	67.59	105.15	61.25	122.64	43.63	157.68	44.25	15.68	190.34	111.21	397.93	190.34	36.79	60.82	107.38	318.57	8.06	39.22	48.18	8.19	28.04	9.78	71.0	31.22	20.26	242.88	84.63	21.01	48.18	299.25
GIMAP8	57.49	159.9	74.58	87.03	91.41	248.0	59.97	79.45	48.87	45.85	77.79	84.63	205.5	102.25	166.73	94.67	41.22	208.38	173.85	212.78	127.89	153.34	129.69	246.28	48.52	108.9	23.76	64.8	161.02	103.69	201.25	99.43	87.65	185.11	34.26	177.53	45.85	251.48	151.22	289.02	46.5	182.55	68.55	1467.37	819.3	93.35	450.94	193.01	463.65	629.35	603.67	1037.29	305.55	934.76	198.47	665.29	1104.13	607.87	1259.69	708.18	351.14	366.09	791.35	2796.65	334.46	2720.15	941.27	780.44	2004.85	318.57	358.54	2075.59	651.58	301.33	2240.11	915.51	281.09	579.04	688.78	575.03	273.37	336.79	403.5	175.07	518.15	1030.12	802.41	547.75	1561.89	2758.13
GNAQ	178.77	186.4	195.72	190.34	403.5	229.72	287.01	178.77	269.6	100.83	220.32	241.19	285.03	155.5	299.25	193.01	400.71	244.57	149.12	212.78	297.17	183.82	283.05	318.57	327.56	110.43	172.65	102.25	173.85	161.02	301.33	205.5	195.72	271.48	265.87	371.22	189.02	165.57	151.22	251.48	186.4	251.48	209.84	1233.75	1259.69	384.34	780.44	1073.91	1119.56	1096.5	1023.0	665.29	1111.82	802.41	460.44	842.36	2417.67	1594.73	723.08	1088.92	1167.14	896.64	974.5	1709.26	1175.27	1331.57	866.07	825.0	703.28	638.15	616.37	1331.57	397.93	426.57	1605.83	1277.29	450.94	974.5	854.13	651.58	718.08	400.71	981.29	599.49	551.56	718.08	928.3	470.14	1388.16	753.83
GPR107	151.22	221.86	293.07	397.93	305.55	426.57	341.51	285.03	277.2	129.69	191.67	181.28	249.73	137.14	202.66	198.47	190.34	454.09	223.41	185.11	251.48	173.85	180.02	228.13	88.88	169.07	195.72	221.86	206.94	194.36	241.19	409.15	161.02	264.03	128.79	301.33	339.14	224.97	229.72	159.9	90.77	301.33	156.59	854.13	381.68	836.53	441.64	214.27	518.15	808.0	532.74	540.19	791.35	571.05	665.29	988.12	1250.98	684.02	796.86	890.44	988.12	708.18	723.08	642.59	457.25	583.07	764.36	1322.37	890.44	612.11	607.87	785.88	775.05	599.49	1001.93	703.28	368.65	1088.92	540.19	567.1	536.45	575.03	579.04	536.45	693.58	429.54	915.51	285.03	669.92	591.22
GRK5	87.65	201.25	84.63	246.28	159.9	438.59	157.68	155.5	100.13	129.69	237.86	178.77	228.13	148.09	232.94	223.41	241.19	255.0	173.85	248.0	152.28	177.53	1295.13	211.31	251.48	105.15	123.5	129.69	229.72	206.94	175.07	80.01	239.52	371.22	153.34	387.02	138.1	187.71	94.67	228.13	258.57	185.11	155.5	2434.5	1832.01	486.75	1397.83	1477.58	3081.75	2417.67	1605.83	2090.03	3146.52	688.78	733.19	3303.0	2468.49	2434.5	2956.17	1909.85	1487.87	915.51	1519.15	1896.65	1143.1	2956.17	2240.11	2434.5	2627.46	1286.18	2816.11	5403.7	1963.57	1651.0	3257.52	1832.01	2701.35	1651.0	3081.75	2104.58	2178.83	1709.26	1639.59	1313.23	1651.0	2303.12	1697.45	2573.36	1388.16	2976.74
HECW2	7.22	62.56	37.05	49.21	37.59	73.54	24.28	12.74	14.78	15.91	12.36	13.42	46.84	22.26	36.01	22.75	16.27	45.53	35.25	73.54	36.79	46.18	59.97	41.52	13.52	16.88	25.17	46.5	31.45	32.82	31.67	120.1	46.84	58.3	19.39	35.0	4.54	27.64	77.79	56.68	28.04	28.45	29.06	141.02	187.71	22.75	120.94	27.25	241.19	173.85	271.48	356.05	463.65	135.24	231.32	211.31	647.07	638.15	463.65	218.79	164.42	72.52	137.14	80.01	18.43	363.56	253.23	253.23	195.72	231.32	291.04	131.51	170.25	82.87	915.51	463.65	96.01	409.15	848.22	101.54	171.45	142.01	224.97	125.24	84.63	371.22	63.0	43.94	144.01	323.03
HIP1	142.01	141.02	191.67	231.32	116.78	307.69	89.51	126.12	158.79	139.07	132.44	114.36	201.25	98.73	189.02	140.04	80.01	307.69	173.85	264.03	256.78	251.48	208.38	256.78	69.03	136.19	124.37	55.1	99.43	115.16	208.38	217.27	94.01	191.67	56.68	246.28	138.1	151.22	133.36	154.42	52.08	269.6	115.97	1322.37	1135.2	144.01	595.34	400.71	1397.83	753.83	473.41	830.75	890.44	607.87	379.04	392.44	961.07	551.56	967.76	819.3	915.51	660.68	896.64	490.14	392.44	854.13	934.76	463.65	507.46	674.59	780.44	988.12	718.08	305.55	1508.65	1216.75	656.11	769.69	1104.13	633.73	703.28	249.73	1151.06	830.75	819.3	551.56	796.86	1617.0	684.02	376.41
INPP5A	142.01	211.31	221.86	297.17	387.02	273.37	241.19	275.28	163.28	212.78	195.72	269.6	211.31	190.34	218.79	258.57	392.44	420.68	256.78	307.69	291.04	258.57	346.29	264.03	262.2	114.36	159.9	432.53	161.02	141.02	177.53	194.36	242.88	279.14	201.25	193.01	201.25	193.01	182.55	178.77	301.33	264.03	186.4	1066.48	603.67	483.38	728.11	642.59	808.0	591.22	595.34	651.58	743.43	486.75	540.19	748.61	693.58	463.65	836.53	796.86	941.27	748.61	693.58	514.56	728.11	825.0	1159.07	629.35	1008.9	802.41	954.43	915.51	759.08	551.56	791.35	941.27	825.0	825.0	981.29	1008.9	954.43	420.68	941.27	738.29	559.28	591.22	603.67	429.54	703.28	599.49
INPP5K	381.68	299.25	211.31	490.14	536.45	543.96	301.33	575.03	802.41	438.59	332.14	334.46	403.5	332.14	432.53	366.09	285.03	332.14	346.29	275.28	253.23	387.02	785.88	392.44	275.28	480.04	303.44	332.14	435.55	241.19	429.54	444.72	460.44	620.67	316.37	669.92	346.29	638.15	988.12	334.46	346.29	361.04	361.04	2090.03	1030.12	718.08	1540.37	616.37	1662.49	1359.57	1111.82	934.76	1233.75	791.35	941.27	902.89	1427.22	1427.22	2119.22	2148.82	884.29	1191.69	1059.11	1487.87	1242.34	1936.53	1457.23	1104.13	1551.09	1135.2	1417.35	2004.85	1628.26	1015.93	1923.14	1674.06	981.29	1096.5	1551.09	1059.11	679.29	728.11	1199.98	967.76	890.44	1883.54	1059.11	1427.22	1250.98	1183.45
JAM3	36.01	180.02	46.84	164.42	142.01	368.65	47.84	46.18	45.53	32.36	55.1	36.27	52.08	39.5	51.71	43.32	44.57	128.79	65.26	54.33	80.01	46.5	412.0	69.52	84.63	24.46	30.34	28.24	52.82	45.85	49.21	22.26	38.95	154.42	42.71	163.28	32.13	66.18	18.29	42.41	65.72	60.82	50.63	466.88	769.69	723.08	2209.26	813.63	884.29	629.35	361.04	902.89	1909.85	525.39	511.0	785.88	1233.75	1183.45	780.44	860.08	808.0	334.46	316.37	607.87	395.18	1225.22	738.29	934.76	743.43	1397.83	1819.35	1322.37	1457.23	813.63	854.13	575.03	819.3	1216.75	1259.69	1519.15	2777.33	708.18	848.22	785.88	490.14	656.11	1008.9	414.87	457.25	738.29
KCNMB4	4.66	34.75	3.23	12.0	19.82	27.64	1.25	15.91	4.46	6.26	5.45	17.64	30.12	8.06	14.35	8.58	24.46	28.65	26.28	10.71	33.54	38.67	22.43	22.59	10.16	9.2	0.26	4.35	19.68	13.03	40.93	23.59	34.26	29.7	4.31	12.09	9.34	22.26	18.56	24.46	3.86	11.64	6.67	334.46	297.17	24.46	114.36	121.79	444.72	267.73	198.47	287.01	170.25	43.02	43.02	115.16	466.88	713.11	403.5	563.18	199.85	265.87	102.97	193.01	100.13	275.28	255.0	205.5	236.21	295.11	85.22	688.78	59.97	49.21	571.05	197.09	80.01	154.42	126.12	120.1	116.78	59.55	68.55	75.11	159.9	30.34	242.88	83.45	320.8	384.34
KIAA0355	58.71	91.41	54.72	112.77	187.71	178.77	147.06	96.68	57.49	66.18	75.11	101.54	123.5	87.03	109.66	79.45	138.1	208.38	96.68	107.38	139.07	85.22	120.94	84.04	41.22	185.11	54.33	73.03	103.69	112.77	94.01	128.79	172.65	114.36	52.45	144.01	82.29	152.28	146.03	115.97	94.67	116.78	127.89	381.68	373.81	177.53	708.18	293.07	265.87	486.75	327.56	351.14	764.36	301.33	283.05	267.73	447.82	532.74	483.38	532.74	651.58	208.38	351.14	295.11	255.0	543.96	559.28	373.81	620.67	305.55	279.14	571.05	371.22	503.95	532.74	384.34	269.6	563.18	624.99	466.88	525.39	244.57	497.0	218.79	214.27	341.51	521.76	325.29	209.84	197.09
KIDINS220	121.79	120.1	135.24	186.4	217.27	232.94	287.01	182.55	135.24	76.17	147.06	186.4	237.86	155.5	248.0	149.12	162.14	237.86	178.77	271.48	248.0	167.9	258.57	264.03	205.5	145.02	138.1	122.64	83.45	178.77	291.04	323.03	166.73	217.27	77.79	307.69	137.14	291.04	112.77	264.03	96.01	197.09	146.03	563.18	733.19	595.34	1030.12	616.37	518.15	1127.35	684.02	529.06	669.92	583.07	540.19	366.09	1259.69	915.51	607.87	1119.56	1551.09	507.46	612.11	1477.58	1044.52	698.41	743.43	629.35	1037.29	629.35	559.28	563.18	607.87	669.92	591.22	780.44	403.5	785.88	660.68	575.03	813.63	384.34	947.83	674.59	669.92	791.35	567.1	511.0	825.0	733.19
KL	0.88	5.96	6.89	2.92	21.16	9.93	3.11	1.71	0.4	1.35	0.84	0.54	21.78	3.96	6.21	1.03	2.56	4.03	3.08	1.28	5.15	2.71	2.14	4.13	3.82	2.66	1.93	1.33	1.91	1.33	10.63	3.0	9.2	4.13	3.5	6.21	2.63	1.35	1.04	16.75	5.06	2.84	3.79	111.99	86.43	5.41	264.03	45.21	32.13	125.24	316.37	138.1	79.45	82.29	43.32	77.79	480.04	67.59	163.28	693.58	61.25	143.01	173.85	470.14	33.54	612.11	77.79	38.12	42.71	102.97	102.25	94.01	45.21	131.51	341.51	202.66	49.21	57.89	483.38	33.54	58.71	363.56	205.5	27.84	109.66	420.68	48.87	176.29	403.5	170.25
LDB2	117.6	412.0	159.9	195.72	327.56	551.56	127.89	58.3	61.68	137.14	140.04	262.2	211.31	220.32	231.32	291.04	88.26	314.17	368.65	307.69	473.41	423.61	785.88	312.0	138.1	246.28	87.65	94.01	334.46	218.79	271.48	234.57	148.09	941.27	150.17	305.55	122.64	376.41	312.0	796.86	224.97	336.79	353.59	1151.06	3768.09	444.72	2485.67	947.83	2119.22	2287.2	1044.52	3395.89	2104.58	1963.57	995.0	1733.13	4639.29	3955.48	2739.08	2835.7	1378.57	493.56	1066.48	5219.6	974.5	3589.58	1417.35	2935.74	1322.37	708.18	2303.12	4298.64	2004.85	860.08	2855.44	1313.23	1519.15	2018.8	3742.05	1008.9	1437.15	896.64	1561.89	981.29	2240.11	3190.46	2319.15	1427.22	3928.15	4210.15
LIFR	13.72	32.13	18.16	23.42	40.64	89.51	21.63	5.82	8.25	81.71	173.85	164.42	262.2	127.89	269.6	137.14	118.43	158.79	463.65	438.59	303.44	305.55	723.08	476.71	162.14	90.14	49.56	38.4	144.01	122.64	164.42	224.97	175.07	890.44	163.28	223.41	21.94	743.43	159.9	444.72	202.66	343.89	116.78	1225.22	1183.45	78.34	559.28	511.0	497.0	457.25	486.75	279.14	579.04	420.68	457.25	723.08	4450.27	651.58	612.11	1135.2	2645.74	450.94	480.04	4419.52	688.78	1008.9	703.28	1250.98	2255.7	638.15	351.14	1313.23	143.01	190.34	1508.65	1304.15	244.57	785.88	669.92	563.18	830.75	194.36	1250.98	941.27	285.03	285.03	941.27	275.28	2758.13	836.53
LIMCH1	57.49	156.59	190.34	133.36	87.65	336.79	33.54	209.84	159.9	41.22	107.38	125.24	226.54	105.15	112.77	109.66	55.49	180.02	146.03	211.31	420.68	191.67	186.4	175.07	110.43	133.36	41.52	547.75	334.46	59.13	127.0	135.24	229.72	267.73	22.1	187.71	172.65	287.01	45.21	129.69	108.9	223.41	500.46	8479.89	2935.74	314.17	15285.81	2520.38	3081.75	1081.39	2816.11	2855.44	4450.27	1628.26	2148.82	2609.3	30785.28	5479.15	6426.31	15499.21	6426.31	3820.7	5672.41	12329.98	4704.07	4038.61	9945.68	3467.27	8363.13	1883.54	8538.88	12244.81	981.29	2178.83	10440.2	7280.4	6935.54	2537.92	6935.54	8247.98	11112.3	1242.34	8305.36	3325.99	3639.7	2367.9	3235.01	3168.41	23009.42	8658.09
LMTK2	94.67	67.59	70.01	151.22	167.9	154.42	94.01	121.79	145.02	63.89	103.69	90.14	138.1	63.45	118.43	89.51	117.6	138.1	73.54	87.03	193.01	59.97	59.97	98.04	70.51	63.0	64.34	55.89	39.22	97.36	96.01	134.3	126.12	43.32	32.59	115.97	403.5	105.89	94.01	95.34	63.0	102.25	84.63	414.87	117.6	94.01	142.01	138.1	165.57	202.66	249.73	134.3	209.84	115.16	89.51	120.94	206.94	187.71	223.41	253.23	183.82	169.07	236.21	173.85	148.09	229.72	107.38	146.03	215.77	156.59	182.55	148.09	117.6	150.17	334.46	299.25	111.21	181.28	133.36	176.29	166.73	96.68	204.07	135.24	197.09	136.19	120.1	100.13	128.79	140.04
LPHN2	336.79	307.69	1295.13	540.19	518.15	842.36	47.5	497.0	406.31	457.25	633.73	503.95	995.0	483.38	813.63	607.87	483.38	460.44	679.29	1015.93	2255.7	603.67	3491.39	954.43	728.11	361.04	802.41	854.13	309.83	1143.1	748.61	567.1	575.03	1015.93	612.11	753.83	1023.0	1417.35	202.66	674.59	743.43	1167.14	785.88	1477.58	988.12	212.78	1572.76	363.56	3419.52	1769.57	2400.97	4543.8	2032.85	674.59	1304.15	1369.04	4358.66	9088.59	2777.33	1883.54	1594.73	525.39	1417.35	2319.15	679.29	2915.45	2645.74	1417.35	1540.37	1322.37	1322.37	1119.56	2047.0	500.46	3639.7	1583.71	1023.0	2209.26	5913.33	802.41	2351.53	1066.48	1936.53	896.64	1662.49	2627.46	1167.14	543.96	1896.65	2148.82
LRCH1	53.95	94.01	57.89	115.97	186.4	120.94	144.01	123.5	74.06	78.34	146.03	122.64	111.21	82.87	158.79	85.82	99.43	136.19	76.17	137.14	77.25	93.35	217.27	132.44	90.77	31.45	105.15	182.55	85.22	201.25	120.1	112.77	91.41	173.85	303.44	176.29	105.89	69.52	74.58	127.89	189.02	77.25	111.99	251.48	521.76	214.27	406.31	403.5	309.83	323.03	348.71	241.19	435.55	223.41	220.32	297.17	536.45	518.15	395.18	389.72	679.29	221.86	180.02	336.79	307.69	277.2	403.5	514.56	409.15	567.1	769.69	435.55	395.18	253.23	607.87	285.03	289.02	450.94	293.07	466.88	476.71	232.94	371.22	387.02	186.4	293.07	432.53	152.28	301.33	291.04
LSM14A	620.67	954.43	934.76	780.44	1529.73	1119.56	1051.79	764.36	902.89	473.41	848.22	830.75	872.1	684.02	813.63	616.37	743.43	1561.89	708.18	836.53	1030.12	836.53	830.75	947.83	703.28	571.05	830.75	909.17	866.07	808.0	1088.92	583.07	785.88	934.76	651.58	921.88	1127.35	629.35	551.56	547.75	343.89	860.08	830.75	2133.97	2485.67	1745.2	1819.35	1583.71	1001.93	1870.53	1745.2	1295.13	1175.27	2104.58	1369.04	836.53	2351.53	1923.14	1936.53	1769.57	2319.15	1135.2	1769.57	1551.09	1551.09	1286.18	2133.97	808.0	1819.35	1806.78	1268.46	2682.69	878.17	1697.45	1059.11	1936.53	1233.75	1104.13	2148.82	848.22	1639.59	1208.34	1561.89	1216.75	1286.18	1923.14	1295.13	884.29	1674.06	1051.79
