	TCGA.T9.A92H.01A.11R.A37K.07	TCGA.G4.6309.01A.21R.1839.07	GTEX.131XE.0826.SM.5HL9W	GTEX.1399R.2226.SM.5P9JB	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.146FQ.1926.SM.5NQBY	GTEX.14E6E.1526.SM.5RQIG	GTEX.R53T.1326.SM.48FCQ	GTEX.111CU.1426.SM.5GZYP	GTEX.144GM.1226.SM.5LU52	GTEX.PWOO.1326.SM.48TCJ	GTEX.11TT1.1026.SM.5PNW7	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.11EM3.1526.SM.5A5KN	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.1122O.1526.SM.5N9CL	GTEX.OHPM.1426.SM.3TW8Y	GTEX.S4UY.0826.SM.4AD4Z	GTEX.XMK1.1726.SM.4B64Z	GTEX.11DXZ.1726.SM.5H12M	GTEX.XV7Q.2126.SM.4BRVX	GTEX.T5JW.1126.SM.4DM5V	GTEX.Y3IK.1826.SM.4WWDS	GTEX.QMRM.1226.SM.447C6	GTEX.ZT9W.1826.SM.51MQX	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.11ZTS.1426.SM.5EQMM	GTEX.PX3G.0826.SM.48TZS	GTEX.13FTZ.0726.SM.5IFFY	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.Q2AI.0826.SM.48TZO
NFE2L3	1001.93	974.5	262.2	293.07	447.82	346.29	366.09	387.02	237.86	343.89	211.31	341.51	543.96	1242.34	633.73	490.14	473.41	316.37	376.41	334.46	295.11	348.71	314.17	287.01	193.01	255.0	503.95	185.11	563.18	438.59	325.29	318.57	334.46	40.36	6.78	29.48	23.93	111.21	19.82	37.85	72.52	38.67	20.41	37.59	46.18	105.89	34.02	118.43	109.66	4.9	148.09	191.67
NOL10	511.0	518.15	281.09	303.44	329.84	327.56	289.02	417.77	327.56	480.04	204.07	412.0	379.04	540.19	366.09	563.18	312.0	301.33	307.69	256.78	293.07	318.57	260.38	255.0	267.73	269.6	353.59	323.03	287.01	368.65	305.55	438.59	277.2	228.13	351.14	172.65	229.72	195.72	173.85	204.07	232.94	190.34	223.41	249.73	205.5	212.78	197.09	226.54	190.34	177.53	204.07	334.46
NOP16	1651.0	1870.53	842.36	878.17	974.5	555.41	603.67	1073.91	748.61	1183.45	316.37	915.51	1259.69	1286.18	1127.35	1417.35	733.19	656.11	575.03	743.43	500.46	624.99	624.99	400.71	507.46	503.95	878.17	460.44	934.76	1030.12	785.88	1143.1	656.11	373.81	819.3	312.0	312.0	269.6	432.53	447.82	507.46	417.77	299.25	532.74	438.59	346.29	341.51	327.56	450.94	275.28	376.41	493.56
NOP2	1709.26	2104.58	738.29	518.15	1023.0	587.13	414.87	764.36	532.74	830.75	249.73	995.0	866.07	1135.2	921.88	836.53	397.93	511.0	490.14	595.34	255.0	567.1	387.02	336.79	329.84	406.31	718.08	480.04	563.18	791.35	438.59	890.44	612.11	241.19	287.01	256.78	156.59	229.72	148.09	275.28	320.8	180.02	185.11	293.07	186.4	325.29	251.48	237.86	336.79	81.14	267.73	426.57
NOP56	5711.87	8538.88	3395.89	2351.53	3515.68	1896.65	1639.59	3564.78	2645.74	6079.61	521.76	4639.29	2855.44	4704.07	4388.98	5831.91	1991.0	2061.24	1991.0	2502.97	1250.98	1857.6	1781.89	1008.9	1551.09	1233.75	3716.2	1923.14	3168.41	2645.74	1844.76	4123.49	1745.2	633.73	1066.48	819.3	486.75	460.44	500.46	638.15	1277.29	529.06	483.38	884.29	318.57	1023.0	571.05	753.83	1073.91	154.42	728.11	2287.2
NUP205	1030.12	1030.12	473.41	514.56	532.74	551.56	376.41	620.67	444.72	651.58	346.29	813.63	543.96	633.73	723.08	684.02	532.74	575.03	395.18	497.0	371.22	521.76	463.65	329.84	373.81	480.04	603.67	497.0	769.69	591.22	497.0	616.37	525.39	218.79	438.59	253.23	181.28	242.88	198.47	137.14	264.03	206.94	186.4	356.05	172.65	198.47	169.07	260.38	273.37	94.67	249.73	493.56
NUP93	2335.28	1769.57	854.13	1059.11	759.08	656.11	521.76	866.07	796.86	1127.35	368.65	1059.11	791.35	825.0	743.43	830.75	642.59	629.35	753.83	638.15	343.89	688.78	759.08	363.56	426.57	507.46	909.17	620.67	723.08	872.1	665.29	1096.5	555.41	389.72	493.56	320.8	312.0	293.07	181.28	151.22	312.0	277.2	228.13	473.41	220.32	271.48	248.0	228.13	255.0	136.19	181.28	591.22
PA2G4	4358.66	5292.48	2573.36	2537.92	2956.17	1819.35	2018.8	3443.31	2555.58	3901.01	642.59	2758.13	3018.3	4210.15	3395.89	5255.91	2758.13	2271.4	2193.99	2018.8	1561.89	1923.14	2148.82	1322.37	1896.65	1529.73	3168.41	1870.53	2627.46	2609.3	2351.53	3467.27	1844.76	1183.45	2271.4	698.41	1286.18	866.07	1073.91	947.83	1697.45	1135.2	1447.15	1242.34	947.83	928.3	934.76	1111.82	1015.93	890.44	1104.13	2434.5
PBDC1	1008.9	872.1	796.86	884.29	1242.34	802.41	961.07	890.44	802.41	1135.2	368.65	941.27	1023.0	1529.73	775.05	1277.29	848.22	813.63	764.36	802.41	638.15	759.08	703.28	665.29	612.11	718.08	1096.5	884.29	780.44	974.5	974.5	1183.45	878.17	536.45	974.5	555.41	429.54	432.53	420.68	497.0	567.1	371.22	470.14	688.78	441.64	414.87	463.65	503.95	460.44	397.93	366.09	575.03
PDCD11	665.29	698.41	332.14	376.41	320.8	285.03	234.57	358.54	346.29	447.82	144.01	486.75	283.05	470.14	483.38	521.76	281.09	343.89	258.57	334.46	199.85	346.29	262.2	191.67	189.02	232.94	371.22	293.07	514.56	332.14	327.56	368.65	289.02	161.02	191.67	206.94	183.82	115.97	221.86	215.77	150.17	242.88	154.42	172.65	204.07	206.94	177.53	170.25	209.84	76.17	127.89	237.86
POLR1C	1199.98	1844.76	698.41	679.29	878.17	563.18	571.05	785.88	624.99	813.63	323.03	988.12	915.51	1008.9	954.43	921.88	529.06	575.03	651.58	575.03	414.87	633.73	551.56	339.14	507.46	567.1	769.69	532.74	753.83	866.07	642.59	967.76	599.49	366.09	379.04	275.28	318.57	289.02	297.17	291.04	450.94	339.14	271.48	368.65	339.14	384.34	381.68	395.18	457.25	121.79	291.04	660.68
PPAN	1583.71	1685.71	796.86	759.08	995.0	583.07	518.15	713.11	688.78	961.07	325.29	934.76	616.37	1008.9	941.27	1023.0	571.05	583.07	703.28	591.22	368.65	708.18	525.39	389.72	514.56	470.14	830.75	543.96	629.35	669.92	733.19	1066.48	529.06	348.71	435.55	358.54	281.09	303.44	316.37	368.65	463.65	339.14	287.01	457.25	381.68	389.72	392.44	303.44	366.09	153.34	384.34	540.19
PPAT	218.79	291.04	95.34	51.71	142.01	73.03	80.57	117.6	93.35	122.64	25.91	193.01	95.34	164.42	175.07	173.85	109.66	123.5	94.01	69.03	47.5	125.24	66.18	48.87	54.33	51.71	118.43	72.01	129.69	76.71	67.12	96.68	36.53	31.45	166.73	30.12	43.02	126.12	45.21	49.56	63.0	41.81	49.21	64.34	44.25	58.3	34.02	77.79	57.08	27.05	41.81	75.11
PRMT1	6037.61	7803.01	3190.46	2335.28	2720.15	1883.54	1167.14	2555.58	2384.37	4066.71	642.59	2720.15	2133.97	2915.45	3124.78	3491.39	2271.4	2303.12	1697.45	1870.53	1340.84	2163.77	1769.57	941.27	1963.57	1572.76	2720.15	1477.58	3395.89	2502.97	2468.49	3639.7	1572.76	703.28	1051.79	836.53	1037.29	890.44	669.92	1001.93	1295.13	1175.27	878.17	1001.93	981.29	1059.11	1216.75	1242.34	1127.35	392.44	941.27	1721.16
PSMG1	2777.33	2956.17	1044.52	1572.76	1225.22	1143.1	1199.98	1781.89	1313.23	1709.26	409.15	1572.76	1685.71	1286.18	2417.67	3395.89	1322.37	1561.89	1350.18	1119.56	1159.07	1277.29	1216.75	1250.98	1096.5	791.35	1529.73	1295.13	1359.57	2004.85	1540.37	1870.53	497.0	679.29	2591.27	463.65	890.44	866.07	872.1	780.44	1119.56	759.08	638.15	1216.75	785.88	540.19	551.56	1059.11	536.45	674.59	796.86	1023.0
PTBP1	5366.37	4869.99	4937.99	4450.27	4836.35	4268.94	4210.15	5366.37	4388.98	5672.41	3665.02	5183.54	4869.99	4903.87	5147.73	4869.99	4481.23	5006.93	4736.79	4210.15	4095.0	4903.87	4543.8	4152.18	3540.14	3928.15	5147.73	4575.41	4512.4	4123.49	4123.49	4181.07	4066.71	2875.3	2645.74	2367.9	2335.28	2400.97	1594.73	2520.38	2148.82	2119.22	1540.37	2701.35	1594.73	2739.08	2434.5	2224.63	2739.08	1127.35	1870.53	3639.7
PUS7	346.29	438.59	186.4	77.79	142.01	86.43	98.73	180.02	90.14	167.9	36.27	187.71	115.97	228.13	165.57	201.25	100.13	121.79	117.6	76.71	65.26	142.01	69.03	57.08	99.43	118.43	137.14	69.52	136.19	121.79	84.04	159.9	82.87	63.89	95.34	47.5	104.42	91.41	24.63	53.57	98.73	34.51	38.67	80.01	57.89	92.7	50.98	79.45	38.4	25.54	73.03	78.34
RARS	1295.13	1551.09	1066.48	1199.98	1268.46	1127.35	1378.57	1467.37	1111.82	1378.57	769.69	1208.34	1183.45	1519.15	1225.22	2351.53	1051.79	1167.14	1051.79	890.44	941.27	1044.52	1051.79	947.83	759.08	1037.29	1378.57	1096.5	1199.98	1662.49	1295.13	1199.98	1259.69	426.57	988.12	563.18	599.49	688.78	532.74	441.64	583.07	450.94	595.34	511.0	642.59	409.15	493.56	928.3	603.67	287.01	543.96	1044.52
RCC2	1407.55	1397.83	1008.9	1286.18	1304.15	1008.9	825.0	1322.37	1030.12	1286.18	389.72	1378.57	1208.34	1378.57	1651.0	1551.09	928.3	1104.13	934.76	1175.27	890.44	1143.1	1008.9	759.08	769.69	808.0	1359.57	1030.12	1313.23	1104.13	995.0	1143.1	860.08	158.79	180.02	281.09	178.77	204.07	155.5	193.01	237.86	136.19	144.01	283.05	224.97	211.31	258.57	289.02	228.13	51.35	281.09	503.95
RQCD1	785.88	909.17	447.82	395.18	583.07	417.77	493.56	599.49	426.57	633.73	241.19	769.69	563.18	571.05	674.59	708.18	423.61	470.14	536.45	409.15	361.04	476.71	371.22	356.05	291.04	503.95	612.11	373.81	529.06	559.28	414.87	529.06	409.15	209.84	341.51	217.27	229.72	281.09	191.67	220.32	197.09	246.28	154.42	312.0	323.03	246.28	275.28	341.51	234.57	223.41	228.13	403.5
RRP1	1104.13	1111.82	476.71	368.65	521.76	389.72	260.38	417.77	381.68	698.41	166.73	518.15	497.0	921.88	733.19	791.35	318.57	503.95	314.17	463.65	289.02	312.0	305.55	215.77	293.07	258.57	567.1	373.81	500.46	366.09	353.59	743.43	273.37	201.25	351.14	275.28	283.05	197.09	275.28	255.0	379.04	239.52	248.0	289.02	260.38	256.78	305.55	279.14	249.73	221.86	271.48	417.77
RRP9	1088.92	1529.73	417.77	536.45	497.0	307.69	277.2	473.41	497.0	665.29	156.59	483.38	490.14	836.53	633.73	1216.75	339.14	343.89	409.15	384.34	289.02	297.17	327.56	269.6	285.03	327.56	521.76	283.05	466.88	503.95	503.95	708.18	307.69	211.31	307.69	117.6	142.01	148.09	178.77	221.86	256.78	156.59	190.34	265.87	258.57	195.72	249.73	164.42	220.32	102.25	194.36	295.11
SRRT	2816.11	3372.43	2209.26	2047.0	2193.99	1870.53	1369.04	2004.85	1605.83	2627.46	1340.84	2240.11	1685.71	1757.34	2224.63	2018.8	1561.89	1674.06	1457.23	1896.65	1242.34	1819.35	1477.58	1359.57	1447.15	1397.83	2148.82	1757.34	1819.35	2061.24	1662.49	1819.35	1963.57	884.29	813.63	1151.06	988.12	1051.79	813.63	1183.45	1081.39	988.12	656.11	1175.27	860.08	1529.73	1183.45	1447.15	1397.83	507.46	890.44	1561.89
SRSF2	5041.77	5329.3	3901.01	3874.05	4639.29	4066.71	3874.05	5041.77	3955.48	4972.34	2119.22	4358.66	4181.07	4972.34	4298.64	4298.64	3081.75	3901.01	3794.3	3820.7	2855.44	3235.01	3874.05	3018.3	2555.58	3212.66	4903.87	3955.48	3515.68	4450.27	3716.2	4481.23	4038.61	1909.85	2451.44	2417.67	2032.85	2148.82	1447.15	1819.35	1977.24	1819.35	1001.93	2209.26	1794.29	2537.92	2468.49	2434.5	3081.75	1167.14	1806.78	2895.31
TIMM44	2119.22	1662.49	1081.39	954.43	1233.75	1216.75	764.36	1051.79	1143.1	1135.2	759.08	1023.0	934.76	1111.82	1127.35	1295.13	872.1	728.11	753.83	1111.82	813.63	1037.29	842.36	780.44	1023.0	967.76	1059.11	1001.93	813.63	1233.75	1268.46	1369.04	954.43	647.07	603.67	679.29	669.92	728.11	540.19	836.53	780.44	603.67	567.1	579.04	961.07	921.88	718.08	842.36	813.63	368.65	525.39	718.08
TOMM40	2485.67	2701.35	1519.15	2061.24	1519.15	1498.22	1216.75	2609.3	2032.85	2720.15	616.37	1896.65	2075.59	1991.0	2163.77	2271.4	1583.71	1487.87	1417.35	1457.23	1127.35	1159.07	1277.29	928.3	995.0	1059.11	2004.85	1199.98	1963.57	2434.5	1923.14	3018.3	1662.49	583.07	1447.15	389.72	688.78	529.06	543.96	607.87	679.29	587.13	497.0	780.44	896.64	559.28	559.28	395.18	547.75	483.38	563.18	1073.91
TTLL4	665.29	825.0	532.74	341.51	353.59	432.53	193.01	348.71	258.57	514.56	305.55	441.64	351.14	497.0	420.68	493.56	336.79	312.0	248.0	483.38	217.27	400.71	246.28	279.14	226.54	253.23	368.65	423.61	493.56	420.68	438.59	400.71	277.2	108.14	49.21	341.51	94.67	177.53	79.45	103.69	291.04	114.36	83.45	172.65	116.78	171.45	320.8	264.03	96.01	12.93	140.04	327.56
UBE2I	2627.46	3349.13	1477.58	1594.73	1639.59	1447.15	1175.27	1923.14	1407.55	2104.58	860.08	1870.53	1832.01	1883.54	1721.16	2591.27	1561.89	1457.23	1745.2	1322.37	1277.29	1340.84	1477.58	1369.04	1457.23	1225.22	1697.45	1340.84	1757.34	1936.53	1651.0	2255.7	1519.15	780.44	1159.07	915.51	890.44	473.41	555.41	638.15	819.3	603.67	532.74	1277.29	591.22	599.49	718.08	896.64	941.27	376.41	723.08	1594.73
UTP18	860.08	1066.48	438.59	571.05	665.29	547.75	493.56	660.68	540.19	743.43	239.52	733.19	493.56	947.83	825.0	967.76	497.0	575.03	420.68	532.74	334.46	651.58	466.88	327.56	384.34	348.71	674.59	518.15	728.11	656.11	656.11	633.73	463.65	384.34	559.28	269.6	376.41	297.17	249.73	285.03	444.72	299.25	264.03	483.38	239.52	358.54	246.28	348.71	341.51	214.27	454.09	511.0
WBSCR22	3419.52	3060.45	1991.0	1909.85	2209.26	1605.83	1322.37	2271.4	1844.76	2271.4	660.68	2163.77	1769.57	2303.12	2451.44	2609.3	1127.35	1407.55	1909.85	1685.71	988.12	1857.6	1721.16	802.41	1378.57	1183.45	2240.11	1378.57	2335.28	2664.15	1909.85	2701.35	1191.69	1378.57	1639.59	896.64	1605.83	872.1	1447.15	1477.58	1540.37	1529.73	1437.15	1508.65	1487.87	974.5	1572.76	1313.23	961.07	1340.84	1487.87	2609.3
XPO5	624.99	616.37	289.02	226.54	412.0	255.0	199.85	285.03	267.73	301.33	98.73	447.82	253.23	579.04	379.04	426.57	237.86	236.21	244.57	205.5	144.01	264.03	211.31	209.84	189.02	228.13	327.56	255.0	273.37	279.14	211.31	353.59	198.47	120.94	126.12	201.25	119.26	108.14	127.89	138.1	169.07	150.17	93.35	231.32	88.88	136.19	199.85	183.82	204.07	52.82	156.59	395.18
