	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.A2.A3XW.01A.11R.A239.07	GTEX.NPJ8.2026.SM.3TW91	GTEX.S4Q7.0526.SM.4AD5N	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KN.8428.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.N7MS.1626.SM.3LK5F	GTEX.13OW6.1826.SM.5N9F9	GTEX.1497J.0826.SM.5NQAJ	GTEX.12WSG.0826.SM.5EQ5A	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.13YAN.1026.SM.5O9CF	GTEX.12ZZW.0926.SM.5LZUD	GTEX.12WSA.1026.SM.5EGHN	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.FY.A40M.01A.11R.A23N.07	TCGA.BJ.A191.01A.11R.A13Y.07	TCGA.BJ.A2NA.11A.11R.A19O.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.13OVJ.0626.SM.5J2O2	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.QEL4.0726.SM.3GIJ5	GTEX.11EI6.0726.SM.59866	GTEX.11DZ1.2726.SM.5A5KH	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.1399U.0326.SM.5P9G5	GTEX.146FR.0326.SM.5SI8U	GTEX.11TTK.0826.SM.5N9EG	GTEX.ZGAY.1026.SM.4WWBR	GTEX.OXRK.0626.SM.2HMJ5	GTEX.XMK1.0626.SM.4B65A	GTEX.U3ZM.0126.SM.3DB8M	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW	GTEX.117YX.1226.SM.5H11S
FDX1	507.46	273.37	107.38	139.07	173.85	525.39	679.29	612.11	848.22	693.58	587.13	728.11	1540.37	444.72	429.54	1583.71	981.29	679.29	629.35	325.29	363.56	316.37	161.02	896.64	743.43	713.11	848.22	808.0	802.41	633.73	656.11	764.36	802.41	713.11	708.18	928.3	796.86	669.92	733.19	718.08	703.28	738.29	698.41	723.08	813.63	808.0	476.71	785.88	616.37	255.0	181.28	769.69	624.99	559.28	780.44	575.03	595.34	738.29	532.74	684.02	791.35	708.18	579.04	507.46	620.67	708.18	698.41	206.94	193.01	221.86	363.56	195.72	199.85	463.65	743.43	384.34	237.86	358.54	376.41	329.84	444.72	441.64	529.06	389.72	334.46	476.71	444.72	551.56	293.07	525.39	356.05	579.04	457.25	412.0	320.8	429.54	320.8	368.65	444.72
GLS	279.14	339.14	125.24	713.11	679.29	5751.61	4607.24	4298.64	5219.6	5479.15	4328.55	5112.16	18560.17	4481.23	4512.4	10733.74	7485.11	5954.47	4836.35	3168.41	2701.35	2061.24	3235.01	7911.95	8134.41	7081.29	5219.6	6561.36	5913.33	5633.22	7803.01	6561.36	7433.4	5255.91	6935.54	8134.41	10440.2	6840.04	7382.04	6121.9	6250.56	6250.56	7857.29	5831.91	7280.4	7280.4	4903.87	6699.25	6337.83	2609.3	1936.53	3820.7	4419.52	5672.41	8778.97	4388.98	5872.48	5479.15	4704.07	8191.0	7589.61	8598.28	4671.57	5076.84	6294.04	7695.57	299.25	642.59	819.3	612.11	743.43	591.22	599.49	884.29	915.51	620.67	1417.35	878.17	961.07	848.22	995.0	1199.98	638.15	947.83	995.0	1066.48	878.17	1096.5	638.15	1001.93	780.44	967.76	674.59	1159.07	1015.93	1066.48	1551.09	684.02	921.88
GPX3	135693.24	836.53	3982.99	129266.49	275175.93	353168.2	239554.43	121448.75	783730.52	391864.76	191899.64	394590.4	417089.23	327241.36	305326.92	215898.44	237899.7	378516.38	355624.68	336441.4	265802.39	492579.5	226632.25	736332.6	434801.29	246289.25	334117.42	434801.29	450134.56	303217.87	641014.63	327241.36	417089.23	316094.29	296977.71	517068.97	482442.34	311742.51	322736.12	296977.71	305326.92	299043.36	561916.97	318292.9	320506.81	400098.69	383800.28	389157.95	472513.8	3901.01	299043.36	267651.2	389157.95	453265.5	772940.66	358098.26	422911.59	254974.66	378516.38	711250.37	668235.84	767601.56	524287.0	466008.55	577714.63	696613.03	320506.81	220434.95	156954.93	128373.58	189257.69	155870.75	249727.34	244588.0	324980.94	195931.88	546551.29	499455.67	419990.32	405683.88	246289.25	275175.93	279017.26	296977.71	290865.98	338781.54	320506.81	269512.87	334117.42	313910.86	211455.3	269512.87	288856.81	305326.92	428815.23	284880.02	249727.34	513497.31	301123.38
HSDL2	656.11	435.55	255.0	325.29	656.11	1286.18	1225.22	1295.13	2400.97	1467.37	1508.65	1572.76	5112.16	2384.37	1183.45	3303.0	2104.58	2956.17	1407.55	1359.57	947.83	769.69	775.05	2240.11	2400.97	1594.73	1487.87	1508.65	1617.0	1350.18	1594.73	2224.63	2209.26	1583.71	2032.85	2319.15	2255.7	1617.0	2032.85	1769.57	1977.24	1745.2	2018.8	1745.2	2193.99	3212.66	1104.13	1639.59	1583.71	273.37	239.52	1143.1	1617.0	1286.18	1781.89	1340.84	1561.89	1183.45	1233.75	1674.06	1896.65	1757.34	1135.2	1304.15	1437.15	1467.37	902.89	547.75	497.0	1143.1	521.76	297.17	423.61	665.29	785.88	884.29	684.02	915.51	1023.0	486.75	759.08	698.41	547.75	791.35	409.15	563.18	571.05	684.02	579.04	616.37	420.68	591.22	480.04	647.07	532.74	872.1	642.59	563.18	599.49
MMACHC	36.79	39.22	38.95	37.32	34.02	128.79	127.89	112.77	126.12	96.01	104.42	137.14	190.34	182.55	56.68	224.97	118.43	134.3	138.1	74.58	138.1	43.02	30.56	153.34	162.14	118.43	136.19	99.43	108.14	105.15	98.73	166.73	149.12	119.26	145.02	123.5	154.42	175.07	157.68	162.14	127.89	142.01	150.17	154.42	38.95	105.89	84.63	75.64	155.5	40.64	67.12	130.6	142.01	102.25	129.69	167.9	166.73	109.66	165.57	146.03	142.01	145.02	129.69	155.5	113.56	124.37	108.14	16.63	23.42	23.59	52.08	46.18	50.27	71.5	102.25	41.81	30.56	60.82	30.34	51.71	60.39	69.52	59.97	66.65	61.68	39.79	36.79	64.8	40.07	36.01	69.52	46.18	42.11	50.98	34.02	54.33	27.64	64.34	60.39
MOB1A	1259.69	813.63	387.02	567.1	1023.0	1508.65	1259.69	1242.34	1268.46	1508.65	1286.18	1487.87	3467.27	884.29	1066.48	2400.97	1417.35	1388.16	1857.6	808.0	915.51	1277.29	1023.0	1794.29	1572.76	1662.49	1467.37	1551.09	1639.59	1628.26	1457.23	1487.87	1477.58	1407.55	1561.89	1697.45	1857.6	1721.16	1628.26	1477.58	1572.76	1594.73	1617.0	1477.58	2104.58	1651.0	1359.57	1721.16	1508.65	624.99	473.41	1073.91	1250.98	1685.71	1417.35	1259.69	1447.15	1407.55	1225.22	1697.45	1388.16	1561.89	1304.15	1540.37	1295.13	1388.16	575.03	796.86	1044.52	808.0	540.19	518.15	733.19	878.17	934.76	651.58	802.41	981.29	713.11	656.11	836.53	934.76	684.02	1023.0	728.11	748.61	713.11	819.3	559.28	769.69	941.27	688.78	612.11	813.63	785.88	1030.12	642.59	842.36	848.22
MOCS2	511.0	483.38	551.56	743.43	738.29	2240.11	2835.7	2417.67	4010.71	2163.77	2148.82	3372.43	4903.87	1709.26	2104.58	4903.87	3190.46	1651.0	2400.97	2351.53	1477.58	1651.0	988.12	2555.58	2664.15	2591.27	2720.15	2485.67	2664.15	2047.0	2271.4	2720.15	2701.35	2502.97	2935.74	3395.89	2502.97	2555.58	2468.49	2664.15	2287.2	2777.33	3257.52	2367.9	2520.38	2502.97	1870.53	2796.65	2303.12	808.0	518.15	2609.3	2032.85	1709.26	2520.38	2148.82	2004.85	2148.82	1950.0	2104.58	2224.63	2090.03	1963.57	1508.65	1819.35	2209.26	995.0	507.46	1037.29	921.88	915.51	591.22	665.29	1457.23	1639.59	1216.75	1081.39	1143.1	1322.37	1378.57	1119.56	1794.29	1583.71	1286.18	1259.69	1561.89	1119.56	1651.0	1457.23	1073.91	1350.18	1250.98	1359.57	1096.5	1051.79	1331.57	974.5	1111.82	1721.16
MRPL19	723.08	293.07	320.8	287.01	432.53	1331.57	1151.06	1044.52	1388.16	1167.14	1151.06	961.07	2609.3	819.3	921.88	2367.9	1457.23	1313.23	1051.79	669.92	988.12	830.75	406.31	1304.15	1259.69	1313.23	961.07	1427.22	1225.22	1388.16	1208.34	1233.75	1519.15	1304.15	1388.16	1437.15	1447.15	1233.75	1605.83	1277.29	1225.22	1340.84	1277.29	1388.16	1242.34	1628.26	1167.14	995.0	1331.57	351.14	417.77	1286.18	1242.34	934.76	1487.87	1088.92	1015.93	884.29	1191.69	1359.57	1268.46	1233.75	1183.45	1183.45	728.11	1397.83	1015.93	221.86	277.2	351.14	420.68	301.33	209.84	638.15	759.08	463.65	384.34	521.76	476.71	503.95	684.02	624.99	457.25	579.04	603.67	429.54	616.37	612.11	438.59	432.53	693.58	571.05	642.59	638.15	395.18	819.3	368.65	575.03	633.73
MRPS35	373.81	500.46	603.67	387.02	733.19	1733.13	2209.26	1832.01	3018.3	1745.2	1896.65	2451.44	4239.45	2018.8	1225.22	3349.13	2018.8	2163.77	1870.53	1259.69	1322.37	1594.73	1059.11	2468.49	2047.0	1806.78	2075.59	1844.76	1662.49	1745.2	1923.14	2163.77	2090.03	1896.65	2209.26	2682.69	2163.77	2119.22	2090.03	1977.24	1721.16	2240.11	2502.97	2047.0	2047.0	2319.15	1572.76	2178.83	1662.49	698.41	813.63	2075.59	1857.6	1378.57	2004.85	1794.29	1721.16	1477.58	1662.49	1857.6	1745.2	2032.85	1923.14	1529.73	1583.71	1745.2	1183.45	325.29	518.15	547.75	612.11	555.41	713.11	1051.79	1250.98	728.11	559.28	836.53	796.86	791.35	934.76	1030.12	830.75	728.11	802.41	703.28	836.53	934.76	780.44	842.36	848.22	890.44	934.76	854.13	642.59	1037.29	563.18	848.22	1088.92
MSH3	80.57	79.45	53.95	43.02	63.45	373.81	334.46	224.97	483.38	239.52	305.55	346.29	921.88	169.07	175.07	599.49	454.09	239.52	214.27	145.02	100.13	183.82	115.97	656.11	665.29	500.46	389.72	329.84	441.64	334.46	400.71	547.75	420.68	397.93	567.1	612.11	493.56	511.0	432.53	507.46	361.04	389.72	603.67	450.94	379.04	463.65	267.73	403.5	460.44	66.65	15.8	191.67	332.14	325.29	497.0	303.44	239.52	299.25	244.57	409.15	432.53	450.94	332.14	334.46	460.44	463.65	94.67	92.05	100.83	98.04	84.04	94.67	92.7	150.17	165.57	117.6	136.19	194.36	189.02	146.03	147.06	163.28	126.12	182.55	157.68	193.01	132.44	164.42	260.38	181.28	147.06	153.34	126.12	147.06	105.89	147.06	103.69	156.59	228.13
MTFR1	514.56	348.71	146.03	432.53	320.8	866.07	688.78	819.3	1594.73	866.07	713.11	1051.79	1806.78	802.41	651.58	1651.0	1119.56	961.07	819.3	647.07	551.56	1991.0	540.19	1617.0	1167.14	902.89	769.69	1023.0	764.36	921.88	1143.1	1175.27	1073.91	848.22	1225.22	1498.22	1628.26	934.76	941.27	915.51	866.07	1104.13	1397.83	995.0	1127.35	974.5	583.07	1104.13	961.07	305.55	146.03	769.69	780.44	679.29	1233.75	703.28	890.44	620.67	728.11	1111.82	1044.52	1119.56	842.36	738.29	830.75	902.89	392.44	379.04	381.68	305.55	241.19	177.53	195.72	351.14	490.14	198.47	403.5	412.0	466.88	358.54	273.37	693.58	353.59	389.72	507.46	532.74	361.04	540.19	295.11	260.38	497.0	221.86	373.81	813.63	409.15	460.44	607.87	373.81	384.34
MUT	121.79	202.66	127.89	199.85	392.44	1008.9	941.27	769.69	1208.34	878.17	802.41	995.0	1477.58	1216.75	785.88	1175.27	1135.2	961.07	872.1	441.64	638.15	507.46	226.54	1015.93	1331.57	928.3	974.5	878.17	1015.93	954.43	612.11	1268.46	1277.29	1059.11	1225.22	1066.48	1529.73	1119.56	1208.34	1111.82	974.5	1051.79	947.83	1208.34	915.51	1073.91	738.29	1159.07	1037.29	214.27	228.13	896.64	878.17	802.41	1088.92	967.76	1119.56	660.68	848.22	1059.11	1322.37	1286.18	860.08	866.07	988.12	1159.07	688.78	320.8	381.68	389.72	195.72	255.0	271.48	409.15	438.59	307.69	358.54	423.61	426.57	406.31	376.41	373.81	366.09	323.03	532.74	314.17	417.77	518.15	318.57	518.15	389.72	480.04	417.77	466.88	429.54	483.38	258.57	575.03	567.1
NPR3	6.78	6.89	11.82	3.08	11.21	1883.54	1208.34	1233.75	2271.4	1233.75	1044.52	1233.75	7537.18	1151.06	255.0	8840.04	4512.4	1340.84	616.37	1561.89	29.91	551.56	28.86	2701.35	2915.45	1551.09	1225.22	1594.73	1857.6	1794.29	4769.75	3419.52	2739.08	2119.22	2335.28	2502.97	3820.7	2627.46	1769.57	2609.3	1628.26	2004.85	2434.5	2090.03	2061.24	1709.26	1487.87	1923.14	2240.11	64.34	21.78	860.08	1697.45	1487.87	1572.76	1832.01	1977.24	1388.16	1015.93	2240.11	2119.22	2609.3	1529.73	1208.34	1883.54	1883.54	50.27	211.31	84.63	575.03	15.22	4.28	6.31	134.3	555.41	3.5	45.85	90.14	291.04	68.07	525.39	708.18	135.24	60.39	141.02	323.03	141.02	583.07	35.76	368.65	197.09	100.83	571.05	743.43	329.84	379.04	65.26	466.88	287.01
NUBPL	94.01	47.5	78.89	75.11	124.37	271.48	269.6	267.73	285.03	256.78	241.19	273.37	612.11	234.57	197.09	583.07	353.59	265.87	190.34	113.56	187.71	164.42	102.97	318.57	341.51	295.11	277.2	248.0	258.57	275.28	327.56	339.14	368.65	293.07	356.05	332.14	381.68	379.04	256.78	343.89	332.14	307.69	301.33	334.46	316.37	387.02	231.32	291.04	327.56	98.04	94.01	232.94	289.02	251.48	305.55	244.57	275.28	212.78	223.41	303.44	307.69	406.31	241.19	248.0	236.21	287.01	35.5	90.77	175.07	142.01	108.14	104.42	129.69	189.02	183.82	95.34	187.71	182.55	140.04	149.12	146.03	206.94	146.03	156.59	167.9	145.02	172.65	195.72	149.12	181.28	126.12	167.9	137.14	199.85	153.34	162.14	108.14	147.06	164.42
OTOGL	1.38	5.63	0.38	16.75	11.13	98.04	21.78	35.0	18.29	86.43	19.68	11.64	36.27	17.0	5.96	80.57	457.25	6.06	33.54	6.73	1.71	41.52	9.13	29.27	205.5	60.82	13.42	212.78	209.84	17.64	441.64	299.25	371.22	122.64	120.1	102.97	974.5	11.73	88.26	83.45	40.64	22.43	406.31	113.56	400.71	62.12	36.27	22.92	20.26	0.95	0.37	109.66	37.32	318.57	22.1	93.35	52.08	40.93	108.14	476.71	21.01	297.17	26.28	13.22	13.03	100.83	0.13	7.4	1.75	0.0	5.36	3.0	0.68	1.6	1.11	4.58	1.03	1.64	4.94	2.58	0.52	3.23	1.73	0.99	4.94	1.53	0.56	0.58	3.72	0.83	0.37	4.1	0.79	1.57	3.35	7.51	3.2	2.66	2.81
PANK1	74.06	136.19	72.01	36.27	29.91	759.08	909.17	669.92	1295.13	713.11	780.44	693.58	3280.18	679.29	470.14	2303.12	1388.16	1037.29	575.03	209.84	460.44	249.73	145.02	1322.37	1909.85	830.75	764.36	713.11	854.13	616.37	954.43	1225.22	1167.14	1044.52	1191.69	1096.5	981.29	1119.56	1015.93	1073.91	934.76	842.36	1233.75	967.76	896.64	2090.03	406.31	743.43	909.17	22.59	244.57	791.35	909.17	559.28	1096.5	1030.12	1015.93	575.03	665.29	884.29	1119.56	947.83	684.02	476.71	909.17	961.07	665.29	34.02	38.4	66.18	102.97	80.57	103.69	232.94	267.73	237.86	144.01	295.11	373.81	167.9	244.57	339.14	178.77	228.13	158.79	181.28	228.13	265.87	108.9	297.17	218.79	175.07	229.72	169.07	212.78	318.57	46.84	224.97	348.71
PDSS2	191.67	133.36	125.24	108.9	205.5	559.28	532.74	480.04	647.07	543.96	532.74	660.68	1216.75	567.1	420.68	947.83	669.92	579.04	563.18	297.17	368.65	656.11	150.17	738.29	607.87	567.1	503.95	555.41	551.56	532.74	738.29	785.88	693.58	551.56	603.67	713.11	743.43	651.58	713.11	647.07	525.39	620.67	679.29	551.56	647.07	684.02	463.65	624.99	579.04	172.65	185.11	460.44	536.45	583.07	813.63	567.1	587.13	470.14	511.0	713.11	607.87	738.29	493.56	616.37	567.1	647.07	301.33	201.25	260.38	348.71	305.55	231.32	279.14	334.46	409.15	412.0	262.2	361.04	277.2	297.17	368.65	325.29	381.68	327.56	387.02	309.83	309.83	423.61	293.07	361.04	299.25	420.68	366.09	376.41	258.57	400.71	275.28	287.01	363.56
PPM1A	780.44	460.44	336.79	441.64	476.71	1183.45	1295.13	1233.75	1605.83	1322.37	1111.82	1359.57	2004.85	915.51	961.07	2148.82	1023.0	1977.24	1745.2	497.0	1059.11	769.69	460.44	1844.76	1806.78	1437.15	1233.75	1639.59	1498.22	1467.37	1685.71	1709.26	1508.65	1304.15	1529.73	1697.45	2240.11	1583.71	1662.49	1487.87	1508.65	1674.06	1857.6	1551.09	1583.71	1447.15	1001.93	1437.15	1388.16	395.18	438.59	1208.34	1277.29	1295.13	1662.49	1175.27	1331.57	1167.14	1088.92	1605.83	1605.83	1977.24	1216.75	1167.14	1286.18	1572.76	723.08	713.11	796.86	1037.29	567.1	536.45	620.67	651.58	753.83	503.95	616.37	587.13	819.3	511.0	693.58	698.41	688.78	603.67	514.56	607.87	595.34	656.11	540.19	563.18	718.08	417.77	607.87	633.73	934.76	819.3	521.76	547.75	603.67
RAB7L1	204.07	123.5	132.44	314.17	1059.11	1883.54	1407.55	1242.34	1870.53	1806.78	1313.23	1870.53	4736.79	1304.15	872.1	5479.15	1498.22	3716.2	1295.13	872.1	497.0	1457.23	181.28	2758.13	2855.44	1769.57	1143.1	1605.83	1388.16	1529.73	2573.36	1806.78	1745.2	1605.83	1991.0	2303.12	2645.74	1819.35	1977.24	1498.22	1721.16	1733.13	2148.82	1733.13	1733.13	1572.76	1143.1	1674.06	1844.76	177.53	796.86	1104.13	1208.34	1806.78	2287.2	1044.52	2271.4	1268.46	1304.15	2119.22	2240.11	2537.92	1662.49	1340.84	1662.49	2209.26	256.78	123.5	309.83	271.48	291.04	82.87	182.55	718.08	1104.13	486.75	551.56	507.46	642.59	915.51	651.58	934.76	567.1	988.12	1331.57	473.41	555.41	1030.12	713.11	642.59	599.49	1073.91	872.1	884.29	497.0	775.05	536.45	447.82	688.78
RABL3	187.71	181.28	129.69	191.67	339.14	480.04	450.94	457.25	493.56	444.72	435.55	500.46	1001.93	320.8	265.87	947.83	603.67	480.04	473.41	307.69	258.57	450.94	136.19	454.09	607.87	559.28	483.38	486.75	493.56	543.96	435.55	551.56	521.76	441.64	555.41	518.15	587.13	511.0	525.39	514.56	490.14	543.96	529.06	432.53	563.18	457.25	483.38	547.75	473.41	139.07	126.12	356.05	379.04	356.05	470.14	381.68	371.22	389.72	366.09	423.61	423.61	511.0	400.71	438.59	353.59	400.71	327.56	226.54	237.86	186.4	201.25	161.02	193.01	373.81	525.39	358.54	384.34	346.29	346.29	368.65	341.51	387.02	447.82	406.31	435.55	368.65	444.72	373.81	297.17	327.56	277.2	514.56	420.68	490.14	271.48	426.57	316.37	423.61	348.71
RPE	255.0	166.73	224.97	336.79	429.54	769.69	764.36	733.19	836.53	728.11	629.35	848.22	2047.0	669.92	629.35	1199.98	915.51	785.88	748.61	444.72	500.46	780.44	397.93	813.63	819.3	713.11	860.08	753.83	896.64	819.3	825.0	796.86	954.43	753.83	909.17	890.44	921.88	748.61	759.08	769.69	808.0	836.53	878.17	728.11	866.07	842.36	759.08	921.88	848.22	289.02	301.33	698.41	647.07	769.69	872.1	638.15	669.92	802.41	629.35	854.13	819.3	848.22	775.05	825.0	571.05	753.83	297.17	348.71	397.93	197.09	356.05	392.44	511.0	547.75	555.41	529.06	543.96	490.14	497.0	532.74	503.95	698.41	525.39	629.35	536.45	612.11	423.61	595.34	540.19	381.68	497.0	470.14	417.77	660.68	320.8	612.11	583.07	457.25	514.56
SETD3	651.58	420.68	543.96	708.18	995.0	2178.83	1963.57	1733.13	1991.0	2303.12	2047.0	2004.85	4095.0	2061.24	1191.69	3395.89	2664.15	2351.53	2627.46	1572.76	1605.83	1322.37	775.05	2468.49	2591.27	2104.58	1617.0	2133.97	1950.0	2178.83	2287.2	2627.46	2351.53	2287.2	2537.92	2351.53	3103.19	2502.97	2400.97	2178.83	2090.03	2303.12	2148.82	2255.7	1923.14	2384.37	1639.59	2287.2	2240.11	1151.06	791.35	1909.85	1844.76	2133.97	2758.13	1896.65	2271.4	1806.78	1794.29	2303.12	2591.27	2609.3	1909.85	1794.29	2193.99	2384.37	638.15	1111.82	1295.13	1199.98	1104.13	728.11	785.88	1225.22	1350.18	1167.14	1059.11	1135.2	1551.09	1015.93	1051.79	1498.22	1259.69	1073.91	1277.29	1225.22	1059.11	1295.13	1350.18	1313.23	1081.39	1059.11	1059.11	1216.75	1104.13	1583.71	842.36	1340.84	1397.83
SGPP1	164.42	94.01	43.32	176.29	185.11	819.3	633.73	842.36	896.64	1023.0	620.67	854.13	718.08	698.41	583.07	211.31	1199.98	1143.1	1008.9	139.07	450.94	444.72	218.79	825.0	961.07	854.13	1127.35	808.0	808.0	1051.79	1023.0	884.29	915.51	934.76	921.88	961.07	1331.57	684.02	1030.12	842.36	967.76	791.35	836.53	967.76	1208.34	1008.9	813.63	1066.48	802.41	144.01	301.33	780.44	780.44	684.02	909.17	693.58	693.58	842.36	775.05	1066.48	842.36	1135.2	808.0	656.11	684.02	830.75	307.69	242.88	264.03	205.5	123.5	104.42	106.63	199.85	175.07	146.03	214.27	189.02	198.47	146.03	202.66	202.66	182.55	154.42	141.02	175.07	176.29	199.85	115.16	228.13	140.04	206.94	256.78	214.27	119.26	267.73	155.5	206.94	198.47
SLC25A46	183.82	199.85	111.99	221.86	447.82	713.11	567.1	612.11	802.41	612.11	603.67	764.36	915.51	470.14	277.2	603.67	651.58	679.29	830.75	271.48	397.93	595.34	289.02	830.75	796.86	684.02	642.59	693.58	698.41	743.43	791.35	796.86	759.08	563.18	753.83	866.07	884.29	684.02	660.68	713.11	633.73	728.11	848.22	624.99	1008.9	759.08	629.35	738.29	748.61	242.88	114.36	454.09	567.1	633.73	743.43	551.56	669.92	551.56	480.04	708.18	620.67	665.29	599.49	679.29	555.41	669.92	269.6	493.56	441.64	476.71	249.73	241.19	289.02	403.5	387.02	336.79	551.56	483.38	579.04	507.46	412.0	423.61	307.69	293.07	417.77	353.59	536.45	473.41	314.17	470.14	279.14	392.44	384.34	450.94	633.73	575.03	507.46	500.46	507.46
SLC30A9	503.95	291.04	256.78	269.6	503.95	1617.0	1397.83	1477.58	1844.76	1551.09	1313.23	1721.16	4607.24	1250.98	1051.79	3491.39	2400.97	1594.73	1639.59	674.59	808.0	1467.37	232.94	1950.0	2148.82	1806.78	1697.45	1883.54	1697.45	1617.0	1977.24	2061.24	1991.0	1508.65	2047.0	1745.2	2537.92	2018.8	1709.26	1883.54	1733.13	1733.13	1909.85	1769.57	2075.59	1883.54	1508.65	1909.85	1745.2	466.88	265.87	1143.1	1417.35	1519.15	1936.53	1388.16	1467.37	1388.16	1304.15	1757.34	1769.57	1963.57	1313.23	1487.87	1359.57	1769.57	285.03	624.99	555.41	733.19	503.95	503.95	563.18	665.29	830.75	808.0	1233.75	651.58	878.17	733.19	764.36	579.04	884.29	718.08	825.0	693.58	961.07	802.41	785.88	796.86	497.0	775.05	607.87	1030.12	813.63	954.43	733.19	928.3	941.27
SLC39A9	669.92	780.44	447.82	470.14	497.0	1119.56	1059.11	1059.11	941.27	921.88	902.89	1030.12	1331.57	1268.46	872.1	934.76	1159.07	995.0	1191.69	521.76	796.86	660.68	607.87	1286.18	1233.75	1191.69	1369.04	1286.18	1447.15	1286.18	1250.98	1617.0	1159.07	1175.27	1359.57	1159.07	1529.73	1369.04	1427.22	1417.35	1277.29	1277.29	1313.23	1457.23	1313.23	1259.69	1191.69	1225.22	1322.37	642.59	624.99	928.3	1199.98	1008.9	1233.75	1268.46	1216.75	1030.12	1250.98	1183.45	1096.5	1250.98	1119.56	1286.18	1104.13	1199.98	583.07	547.75	633.73	674.59	540.19	463.65	521.76	728.11	934.76	571.05	460.44	679.29	607.87	780.44	629.35	703.28	684.02	595.34	651.58	665.29	703.28	713.11	575.03	620.67	656.11	728.11	708.18	660.68	521.76	728.11	547.75	764.36	698.41
