	TCGA.FD.A62N.01A.11R.A30C.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CV.7410.01A.21R.2081.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CQ.7065.01A.11R.2081.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CV.6943.01A.11R.1915.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.A4CA.01A.11R.A24Z.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07
ITGB7	723.08	1295.13	547.75	40.36	69.03	134.3	267.73	76.17	24.28	191.67	25.35	208.38	126.12	50.63	323.03	107.38	65.26	110.43	56.68	193.01	224.97	312.0	155.5	267.73	69.03	536.45	140.04	120.94	246.28	62.12	92.7	334.46	56.28	12.27	177.53	381.68	159.9	105.89	218.79	90.14	50.27	624.99	142.01	656.11	125.24	318.57	45.21	67.12	346.29	258.57	71.5	221.86	127.0
ITK	157.68	17.77	267.73	4.35	19.97	41.81	108.14	5.92	3.26	39.79	12.83	84.63	21.78	7.28	28.45	17.13	4.39	31.22	23.76	54.33	114.36	112.77	32.13	19.39	5.5	171.45	45.21	18.56	77.25	13.32	13.72	66.65	8.25	1.53	37.32	195.72	23.08	14.89	67.12	0.92	7.63	158.79	35.25	63.0	31.0	34.51	3.63	27.44	249.73	40.07	20.11	90.14	67.59
JAK3	620.67	44.57	543.96	8.51	21.78	77.25	136.19	24.46	31.45	109.66	29.06	94.01	71.5	15.91	100.83	43.63	30.56	73.03	32.59	81.71	197.09	120.94	78.34	53.95	19.39	239.52	62.12	59.97	159.9	53.95	24.81	316.37	27.64	15.34	70.51	327.56	52.82	34.51	111.99	13.93	13.83	267.73	45.85	169.07	60.39	59.97	35.5	44.57	343.89	89.51	33.3	123.5	88.88
JAKMIP1	122.64	9.63	51.35	0.75	1.27	17.51	53.95	1.93	0.74	20.11	2.03	28.04	10.88	4.31	19.68	2.86	6.94	8.13	5.19	24.63	35.5	22.43	7.34	11.13	1.69	57.08	12.45	5.54	35.25	4.66	4.74	38.67	3.14	0.41	13.52	38.12	9.56	9.34	26.47	0.44	0.82	72.01	6.36	37.85	12.27	15.22	1.93	6.31	85.22	27.05	4.39	28.65	17.51
KRT17	258533.99	4953441.24	137587.47	453265.5	475800.4	408505.64	305326.92	971597.0	350728.68	542775.98	485798.0	363097.14	589853.66	428815.23	453265.5	466008.55	716197.51	701458.36	593956.43	437825.58	368165.8	365622.68	524287.0	524287.0	542775.98	294926.33	565825.41	645473.24	447025.24	513497.31	368165.8	373305.21	425853.18	299043.36	331809.5	397335.0	546551.29	632189.57	242898.5	263966.36	450134.56	244588.0	466008.55	309589.14	350728.68	425853.18	585779.24	912837.43	331809.5	546551.29	475800.4	271387.49	506427.83
LAT	1359.57	37.59	1183.45	57.49	48.52	127.89	368.65	42.11	24.46	267.73	44.89	186.4	159.9	31.22	500.46	120.94	86.43	120.94	52.08	218.79	314.17	253.23	137.14	90.14	44.57	571.05	150.17	101.54	218.79	91.41	63.45	332.14	34.75	16.63	264.03	323.03	89.51	113.56	198.47	16.03	50.98	603.67	109.66	353.59	113.56	90.77	381.68	80.01	688.78	186.4	102.25	325.29	371.22
LCK	1088.92	163.28	1096.5	11.91	55.89	131.51	329.84	25.54	13.93	133.36	28.04	262.2	81.71	66.65	145.02	54.33	41.81	88.26	50.63	141.02	343.89	403.5	158.79	106.63	51.71	674.59	120.94	50.98	295.11	43.94	52.82	309.83	21.47	107.38	185.11	412.0	94.01	173.85	260.38	8.51	22.59	733.19	98.73	224.97	118.43	111.99	82.29	54.72	698.41	186.4	58.71	305.55	256.78
LGALS2	728.11	27.64	656.11	7.63	44.89	51.35	299.25	8.06	2.63	41.22	29.48	42.41	10.63	17.25	114.36	21.47	16.27	80.57	27.05	17.64	297.17	79.45	94.67	17.38	18.29	100.13	133.36	23.76	283.05	6.89	34.75	241.19	0.0	0.0	231.32	231.32	88.26	27.64	264.03	5.11	16.88	525.39	25.35	99.43	53.19	175.07	9.93	61.25	395.18	146.03	40.07	167.9	215.77
LTB	2004.85	651.58	4450.27	47.17	115.97	341.51	559.28	24.46	89.51	255.0	120.1	124.37	281.09	46.18	301.33	45.85	80.57	83.45	33.3	114.36	669.92	607.87	244.57	140.04	130.6	301.33	167.9	75.11	441.64	116.78	64.34	343.89	39.79	67.12	450.94	647.07	157.68	150.17	303.44	72.01	24.11	915.51	151.22	480.04	215.77	169.07	66.18	143.01	454.09	301.33	124.37	507.46	753.83
MAP4K1	796.86	89.51	1175.27	54.33	15.0	96.01	267.73	11.73	10.96	229.72	43.32	127.0	129.69	31.45	169.07	25.17	18.84	102.97	98.73	193.01	273.37	187.71	137.14	77.79	27.44	307.69	170.25	67.59	201.25	51.71	46.84	277.2	9.56	21.94	91.41	332.14	75.64	72.52	162.14	5.02	32.13	429.54	57.08	285.03	71.5	88.88	68.07	46.5	460.44	131.51	40.36	209.84	201.25
MMP25	193.01	23.42	73.54	2.84	24.46	47.84	138.1	84.63	6.73	191.67	23.08	64.8	23.93	24.11	45.21	84.04	29.7	172.65	9.93	98.73	173.85	63.0	29.7	158.79	10.71	131.51	28.24	60.39	127.89	9.93	34.26	246.28	15.34	17.0	29.27	144.01	107.38	25.72	171.45	25.35	15.45	124.37	60.39	102.97	48.87	53.19	62.12	10.79	88.88	85.22	18.84	159.9	62.56
MS4A14	51.71	1.87	35.5	1.43	0.71	7.94	28.65	1.33	7.22	7.94	5.28	10.79	26.67	8.71	31.67	13.32	6.78	5.63	5.5	11.73	27.84	8.19	15.45	6.94	7.46	14.89	20.56	12.74	19.11	6.57	7.63	49.91	4.28	0.62	46.5	26.86	16.03	0.73	11.91	0.67	1.1	11.38	9.63	32.59	7.88	8.51	9.78	4.82	29.91	20.41	9.06	8.71	4.74
MYO1F	718.08	36.79	470.14	27.84	74.58	66.18	295.11	22.59	24.11	128.79	26.67	163.28	133.36	29.7	228.13	43.32	47.5	171.45	50.63	137.14	291.04	190.34	101.54	83.45	36.01	480.04	124.37	76.17	293.07	57.49	44.89	358.54	31.67	10.79	191.67	633.73	68.55	46.84	256.78	22.26	24.81	483.38	85.22	277.2	80.57	87.03	32.82	59.97	366.09	226.54	67.59	197.09	152.28
N4BP2L1	299.25	153.34	281.09	33.06	29.06	51.35	117.6	15.22	9.56	51.71	9.93	92.05	69.03	9.93	101.54	33.3	28.65	53.57	83.45	96.01	93.35	98.73	62.56	105.15	33.54	120.1	59.13	38.95	126.12	44.25	58.3	140.04	51.71	5.11	134.3	189.02	26.1	40.07	149.12	13.22	15.56	218.79	45.21	105.15	44.89	85.82	34.75	46.5	291.04	104.42	22.43	167.9	81.71
NAIP	173.85	68.55	111.99	39.22	28.86	74.58	98.04	15.68	21.01	59.55	28.24	67.59	71.5	15.11	77.25	38.95	33.78	58.71	23.59	112.77	92.7	70.51	47.5	30.78	39.22	185.11	60.82	30.78	124.37	33.06	34.51	190.34	16.03	6.01	71.5	133.36	41.81	12.27	124.37	16.15	27.05	122.64	47.84	176.29	43.02	68.07	71.5	21.94	75.64	89.51	50.27	72.52	60.39
NFKBID	206.94	70.51	180.02	76.17	20.41	76.71	178.77	19.97	69.52	151.22	75.11	88.88	52.08	68.07	135.24	69.03	78.34	111.21	76.17	92.05	183.82	112.77	77.25	96.68	85.82	96.01	85.22	144.01	111.21	113.56	44.57	140.04	54.33	32.82	94.67	169.07	69.03	90.77	112.77	34.02	95.34	141.02	60.39	102.25	69.52	95.34	88.88	49.21	260.38	81.71	83.45	108.9	128.79
NKG7	5006.93	775.05	559.28	10.71	90.77	329.84	961.07	70.01	19.97	314.17	31.22	738.29	525.39	66.18	368.65	59.55	26.28	163.28	202.66	518.15	921.88	571.05	164.42	336.79	80.01	1378.57	299.25	117.6	872.1	170.25	128.79	769.69	48.18	23.42	199.85	808.0	186.4	327.56	796.86	12.64	23.93	2555.58	211.31	679.29	239.52	343.89	49.21	119.26	2255.7	1015.93	95.34	713.11	555.41
PARP15	51.35	10.96	197.09	4.5	1.64	18.7	35.25	2.41	1.81	14.45	2.1	19.68	11.13	1.04	18.7	7.51	2.41	15.56	6.21	19.53	28.24	15.34	10.24	8.45	5.45	34.75	7.51	8.78	17.77	3.99	3.0	33.54	1.07	1.03	21.94	51.35	11.21	5.02	18.7	2.36	4.43	35.5	6.21	22.26	10.96	13.72	2.41	9.63	75.11	15.91	10.96	24.99	12.64
PDCD1	381.68	22.75	173.85	2.84	4.86	23.42	125.24	4.31	4.78	34.26	4.82	71.0	43.32	8.99	48.18	10.79	7.51	29.91	15.11	43.63	109.66	71.5	20.56	29.27	8.51	154.42	16.03	17.64	117.6	14.24	18.56	81.71	4.62	9.48	54.33	114.36	22.1	31.9	59.97	0.0	8.78	194.36	23.25	111.21	25.35	43.02	5.68	15.91	215.77	102.25	23.25	70.51	66.65
PREX1	429.54	60.82	669.92	14.56	55.1	59.55	264.03	50.63	15.34	111.99	38.4	204.07	84.63	39.79	155.5	86.43	67.59	87.03	56.68	131.51	312.0	236.21	142.01	82.87	29.27	447.82	88.88	63.45	273.37	67.59	49.21	264.03	30.12	21.16	134.3	603.67	66.18	77.25	215.77	26.86	29.48	525.39	101.54	217.27	99.43	90.14	43.02	88.88	289.02	201.25	43.94	211.31	140.04
PTPN7	599.49	125.24	808.0	13.72	27.05	69.52	327.56	17.77	8.0	123.5	21.78	182.55	124.37	24.63	138.1	28.45	29.91	85.82	31.9	127.89	325.29	169.07	70.01	60.82	31.9	400.71	105.89	43.63	262.2	28.45	53.19	281.09	24.46	9.27	189.02	323.03	70.51	45.53	231.32	3.38	17.38	497.0	57.08	228.13	83.45	116.78	24.46	38.95	307.69	183.82	49.56	191.67	158.79
PTPRC	802.41	118.43	2209.26	20.11	215.77	142.01	511.0	28.45	18.43	194.36	54.72	444.72	108.14	40.93	162.14	71.0	30.34	129.69	74.58	267.73	733.19	684.02	244.57	94.67	32.36	1477.58	197.09	65.72	633.73	61.25	90.14	490.14	40.93	6.84	287.01	1498.22	120.94	87.65	563.18	11.3	29.06	1030.12	198.47	249.73	187.71	312.0	19.39	114.36	878.17	334.46	82.87	555.41	312.0
PTPRCAP	2855.44	124.37	3081.75	56.28	65.72	239.52	454.09	32.82	20.26	255.0	38.95	303.44	157.68	44.89	287.01	96.68	52.45	115.16	123.5	212.78	693.58	723.08	339.14	177.53	80.57	848.22	208.38	97.36	616.37	63.89	81.14	547.75	31.22	16.39	202.66	860.08	111.99	175.07	376.41	6.84	18.7	1674.06	167.9	571.05	185.11	194.36	58.71	159.9	1066.48	476.71	78.34	500.46	575.03
RASAL3	575.03	80.57	656.11	18.03	20.11	85.22	231.32	15.34	17.38	110.43	18.43	139.07	66.65	21.16	152.28	28.86	22.1	84.63	47.5	84.63	234.57	140.04	73.03	51.71	19.11	316.37	72.52	47.84	195.72	46.5	24.63	229.72	17.64	7.06	127.89	283.05	61.25	43.63	156.59	7.46	14.78	420.68	50.98	189.02	58.71	54.72	20.11	46.5	395.18	107.38	43.02	139.07	114.36
RGL4	170.25	6.26	108.9	1.77	6.94	12.64	25.72	1.48	1.41	14.14	2.03	19.39	5.87	3.35	14.45	7.06	5.87	11.47	5.54	20.11	31.22	33.54	12.55	7.11	5.15	63.45	14.67	5.15	21.01	5.68	2.81	48.87	0.44	0.42	11.91	59.13	7.34	10.88	32.36	0.0	1.19	86.43	17.25	34.51	9.63	10.88	4.1	6.73	66.65	23.42	4.35	37.05	21.94
RLTPR	314.17	24.99	493.56	6.94	7.22	43.02	79.45	9.41	12.18	64.8	16.88	33.78	27.25	7.88	57.49	23.25	28.45	38.12	21.78	49.21	72.52	52.08	27.05	24.63	12.27	127.89	31.45	30.78	54.33	12.45	14.45	76.17	10.47	28.04	48.52	106.63	26.28	29.91	50.98	25.91	11.82	110.43	25.54	89.51	22.59	17.9	14.78	19.97	141.02	51.71	25.54	53.19	59.97
SARDH	105.15	12.36	77.79	3.89	7.28	13.32	34.51	2.03	1.14	8.85	3.72	20.86	17.9	2.81	16.75	2.97	4.28	6.62	1.66	14.56	51.71	30.34	17.77	7.46	1.79	30.12	8.32	4.17	21.16	5.59	3.35	34.02	2.25	1.46	16.51	24.63	6.57	5.19	25.72	15.0	2.73	66.65	7.88	21.01	8.58	8.51	6.52	8.99	52.45	15.22	6.94	25.91	23.25
SASH3	947.83	75.64	1583.71	24.81	53.57	103.69	376.41	19.39	9.27	118.43	30.78	220.32	129.69	49.56	189.02	43.94	33.3	105.89	53.57	100.13	463.65	314.17	144.01	93.35	41.22	620.67	132.44	48.87	406.31	43.32	63.0	403.5	31.67	5.73	215.77	583.07	90.14	87.03	307.69	6.36	14.24	813.63	125.24	316.37	129.69	149.12	21.32	62.12	400.71	287.01	63.45	361.04	275.28
SEPT6	1561.89	241.19	1819.35	150.17	82.29	212.78	579.04	126.12	229.72	214.27	273.37	536.45	346.29	156.59	256.78	181.28	68.07	180.02	231.32	181.28	638.15	466.88	242.88	221.86	90.77	866.07	518.15	228.13	902.89	202.66	187.71	708.18	314.17	178.77	389.72	1096.5	232.94	183.82	813.63	81.71	117.6	848.22	267.73	1104.13	255.0	237.86	165.57	363.56	961.07	651.58	118.43	595.34	389.72
SH2D1A	209.84	12.45	218.79	6.11	9.27	23.08	51.35	5.73	1.97	30.78	6.31	44.25	12.55	3.82	31.0	4.98	3.59	13.32	7.46	36.79	63.89	80.01	31.0	15.91	2.53	159.9	24.28	7.51	41.52	6.16	7.46	38.12	2.68	0.0	27.44	104.42	10.96	14.35	46.84	0.4	2.48	129.69	18.29	37.32	19.11	24.46	5.63	20.71	176.29	56.28	10.08	79.45	59.13
SIRPG	563.18	69.52	358.54	5.15	10.0	62.12	178.77	10.47	14.45	44.89	9.93	139.07	82.87	15.11	56.28	11.3	12.83	37.05	16.03	89.51	190.34	111.21	69.52	48.18	10.96	246.28	40.07	24.63	159.9	10.79	32.82	197.09	5.92	1.91	71.0	148.09	50.27	42.11	129.69	1.1	3.86	267.73	36.01	116.78	57.49	73.03	14.14	35.25	332.14	137.14	30.56	117.6	105.89
SIT1	579.04	182.55	616.37	8.92	16.63	31.22	135.24	10.39	3.69	49.56	14.35	85.22	42.71	11.21	64.8	21.63	4.46	33.3	19.25	47.17	132.44	123.5	66.65	28.86	9.48	246.28	53.57	16.03	132.44	17.25	21.78	110.43	14.56	2.36	58.71	169.07	30.34	34.02	72.52	0.0	0.82	281.09	46.84	114.36	41.81	41.52	3.38	22.75	223.41	108.9	17.51	131.51	153.34
SLA2	195.72	14.35	162.14	2.43	8.85	37.59	94.67	9.48	3.66	34.75	8.45	113.56	32.36	10.88	27.05	7.46	4.82	26.47	22.59	48.87	90.14	110.43	25.91	31.45	10.96	187.71	37.85	13.72	120.94	25.17	28.45	104.42	5.82	2.68	30.12	194.36	29.7	27.44	75.11	1.55	5.06	198.47	28.86	71.5	38.4	36.79	9.41	15.45	281.09	60.39	27.25	69.03	53.95
SLFN12L	57.89	23.93	28.45	1.95	10.88	19.25	30.12	2.63	6.41	20.56	13.62	33.54	12.18	6.41	18.56	9.78	7.94	18.16	4.9	32.59	33.3	19.53	8.45	9.7	5.28	47.84	15.68	6.84	37.32	5.11	3.5	44.89	21.47	6.01	19.25	43.32	11.55	6.73	21.63	5.15	9.63	46.18	12.74	27.64	15.22	15.68	10.96	3.29	68.55	13.32	10.88	26.28	4.62
SNX20	426.57	37.05	460.44	6.36	16.03	45.85	180.02	11.3	6.89	55.1	24.63	81.71	72.01	14.67	68.55	15.11	24.11	49.91	16.27	55.1	212.78	145.02	52.08	34.26	17.51	215.77	65.72	28.65	176.29	21.32	22.59	187.71	11.47	3.0	123.5	241.19	40.64	23.93	132.44	11.04	7.22	309.83	46.84	132.44	55.89	57.89	8.78	32.36	211.31	114.36	20.56	136.19	142.01
SPN	409.15	74.06	503.95	14.45	15.34	37.05	255.0	10.55	6.94	60.82	18.97	175.07	115.97	14.45	53.57	29.7	12.45	40.36	19.11	84.04	244.57	244.57	73.54	55.49	15.8	417.77	57.89	36.27	197.09	19.82	28.65	231.32	12.45	3.69	146.03	277.2	40.07	50.27	187.71	7.28	7.63	400.71	58.71	102.25	62.56	55.1	10.63	40.07	260.38	111.99	29.06	212.78	152.28
SPNS3	33.54	74.58	45.21	2.27	2.66	3.69	11.04	5.23	1.6	6.21	1.89	4.28	2.16	0.67	9.41	4.17	0.39	6.06	3.2	1.11	13.93	13.62	10.88	10.31	1.58	14.89	7.22	5.28	13.93	3.44	0.79	14.35	0.0	0.0	3.53	33.3	2.89	4.74	15.45	1.77	0.73	21.78	6.06	31.22	6.84	5.11	0.0	1.43	18.16	14.03	4.13	30.56	18.56
STAB1	3614.55	139.07	1277.29	111.99	356.05	460.44	854.13	177.53	151.22	703.28	262.2	532.74	909.17	100.13	1268.46	281.09	258.57	896.64	297.17	802.41	595.34	759.08	738.29	420.68	204.07	1519.15	420.68	438.59	967.76	575.03	234.57	2148.82	269.6	102.25	748.61	1781.89	444.72	206.94	1030.12	118.43	212.78	1781.89	376.41	2935.74	435.55	543.96	381.68	353.59	1896.65	813.63	197.09	642.59	412.0
SUSD3	954.43	12.18	500.46	27.44	43.63	49.21	166.73	13.32	4.98	71.5	16.39	60.39	58.3	31.67	92.7	21.01	27.25	34.26	27.64	42.71	138.1	140.04	42.11	143.01	17.13	215.77	65.26	29.91	129.69	33.06	17.25	129.69	20.26	62.56	131.51	177.53	30.12	84.04	96.68	22.75	10.16	353.59	58.71	183.82	60.39	69.52	15.56	43.02	269.6	104.42	18.16	108.14	106.63
TBC1D10C	1119.56	180.02	1175.27	23.59	33.06	120.1	267.73	14.24	9.27	182.55	15.0	146.03	76.71	12.36	163.28	51.35	31.67	108.9	54.72	154.42	208.38	198.47	104.42	72.52	20.71	334.46	88.88	49.21	198.47	25.35	29.06	303.44	10.71	2.43	139.07	287.01	55.49	48.87	150.17	8.58	15.91	540.19	58.71	303.44	74.06	73.03	19.97	53.57	441.64	165.57	37.32	237.86	182.55
TBX21	88.88	13.32	62.56	0.0	0.93	7.4	49.21	1.55	1.14	17.0	2.12	21.16	11.47	3.11	17.51	3.35	0.51	9.2	5.73	13.52	25.54	22.1	6.16	6.94	2.76	40.93	6.06	3.72	46.5	3.03	4.46	31.0	2.23	1.79	9.06	31.22	6.52	4.7	26.86	1.23	1.6	70.51	8.51	18.56	6.62	10.0	1.64	4.06	70.51	26.47	4.9	24.81	21.94
TCN2	2351.53	68.55	381.68	115.97	85.22	46.5	269.6	70.01	34.75	89.51	26.28	201.25	68.07	100.13	269.6	82.29	42.71	49.91	45.53	197.09	366.09	264.03	269.6	159.9	32.36	651.58	166.73	39.79	346.29	118.43	67.59	348.71	171.45	3.99	139.07	500.46	127.0	48.52	154.42	81.14	26.47	583.07	293.07	633.73	115.16	95.34	108.14	85.22	368.65	363.56	45.85	536.45	141.02
TNFRSF14	3039.3	514.56	1572.76	256.78	283.05	384.34	1225.22	152.28	131.51	511.0	120.94	525.39	518.15	358.54	591.22	246.28	283.05	612.11	406.31	830.75	819.3	493.56	376.41	392.44	242.88	860.08	246.28	361.04	878.17	376.41	265.87	1073.91	624.99	45.21	854.13	995.0	353.59	466.88	947.83	165.57	293.07	1417.35	432.53	1183.45	463.65	595.34	358.54	208.38	1477.58	1037.29	232.94	1081.39	674.59
TTC24	9.56	7.28	40.36	0.0	0.47	4.7	27.64	0.0	2.41	7.82	0.47	8.19	3.06	0.0	5.11	0.0	0.0	9.63	1.95	6.11	9.41	5.23	2.89	3.89	2.03	17.13	6.84	4.03	11.47	0.44	3.63	18.29	0.42	0.0	3.79	23.42	2.71	5.06	10.71	0.0	0.0	12.45	2.51	15.56	0.85	3.0	2.68	4.46	39.5	8.99	3.66	8.99	5.59
UBA7	1467.37	438.59	1268.46	17.77	142.01	444.72	1457.23	180.02	111.99	395.18	195.72	974.5	470.14	260.38	559.28	141.02	189.02	1001.93	825.0	1088.92	921.88	638.15	275.28	738.29	409.15	1508.65	102.97	500.46	1417.35	351.14	486.75	1268.46	49.56	25.54	651.58	753.83	599.49	193.01	974.5	201.25	267.73	1407.55	599.49	1159.07	616.37	607.87	201.25	323.03	1508.65	1023.0	403.5	733.19	713.11
UBASH3A	129.69	39.5	142.01	3.0	1.22	15.68	51.71	1.43	1.68	27.64	4.21	35.25	11.3	2.32	17.77	4.31	1.51	12.64	7.17	22.92	60.82	46.5	21.01	14.45	1.64	102.25	12.55	10.63	40.36	6.26	6.11	42.41	1.41	1.33	21.47	69.03	11.13	11.47	46.18	0.78	1.48	121.79	11.13	34.02	17.9	13.72	2.23	7.06	72.01	30.78	9.13	63.45	39.5
WAS	974.5	30.12	1111.82	13.12	90.14	87.03	353.59	21.32	18.43	141.02	30.56	197.09	146.03	38.12	197.09	49.91	27.84	98.04	55.1	129.69	343.89	220.32	115.97	88.88	44.57	466.88	141.02	52.08	295.11	72.52	50.27	303.44	39.5	4.82	180.02	669.92	78.89	56.28	242.88	11.47	16.03	603.67	116.78	281.09	111.21	120.94	34.51	59.55	409.15	283.05	47.5	231.32	241.19
ZAP70	629.35	108.14	599.49	9.41	17.13	87.65	158.79	4.82	7.11	118.43	10.79	96.68	46.84	10.96	130.6	32.36	18.56	101.54	40.64	117.6	144.01	132.44	51.35	60.82	19.25	265.87	45.85	47.5	120.94	24.99	18.43	183.82	4.39	3.11	102.97	221.86	53.57	40.93	123.5	3.86	13.93	271.48	34.26	150.17	57.49	45.21	6.73	27.64	540.19	72.01	35.25	124.37	114.36
ZNF438	202.66	65.26	91.41	72.52	19.68	52.45	85.22	54.72	40.07	58.3	80.01	80.57	136.19	41.22	76.17	77.25	47.5	63.89	68.55	78.89	92.05	107.38	87.03	76.17	58.3	94.01	84.63	72.01	96.68	92.7	46.5	92.05	90.77	51.71	98.04	109.66	63.0	75.64	93.35	65.26	48.87	133.36	94.67	121.79	85.82	102.97	57.89	53.19	99.43	99.43	46.84	96.68	57.89
