	GTEX.12BJ1.1426.SM.5BC5Q	GTEX.1211K.1026.SM.5EQ4B	GTEX.S4Q7.0526.SM.4AD5N	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.1399S.0526.SM.5IJG8	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.DJ.A1QL.01A.11R.A14Y.07	TCGA.BJ.A2NA.11A.11R.A19O.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.148VJ.0726.SM.5LU8J	GTEX.11P81.0126.SM.5HL5Y	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.1399U.0326.SM.5P9G5	GTEX.11TTK.0826.SM.5N9EG	GTEX.ZGAY.1026.SM.4WWBR	GTEX.XMK1.0626.SM.4B65A	GTEX.U3ZM.0126.SM.3DB8M	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW
NUDT12	173.85	287.01	169.07	406.31	753.83	376.41	1277.29	229.72	620.67	665.29	521.76	493.56	497.0	511.0	656.11	540.19	684.02	830.75	633.73	860.08	470.14	389.72	559.28	511.0	457.25	303.44	563.18	591.22	490.14	454.09	579.04	426.57	400.71	450.94	536.45	94.67	121.79	224.97	301.33	366.09	346.29	629.35	397.93	381.68	403.5	149.12	339.14	121.79	363.56	287.01	373.81	214.27	432.53	314.17	305.55	351.14
OTOGL	18.97	5.54	11.13	98.04	18.29	86.43	36.27	10.39	29.27	205.5	13.42	212.78	209.84	17.64	441.64	371.22	102.97	974.5	88.26	406.31	62.12	36.27	22.92	20.26	37.32	318.57	22.1	52.08	476.71	21.01	297.17	26.28	13.22	13.03	100.83	0.13	5.36	1.6	1.11	1.03	1.64	4.94	6.89	2.58	4.94	1.53	0.56	3.72	0.83	4.1	0.79	1.57	3.35	7.51	3.2	2.66
PAFAH2	87.65	253.23	107.38	529.06	629.35	500.46	981.29	314.17	651.58	688.78	587.13	571.05	559.28	476.71	708.18	674.59	595.34	718.08	688.78	633.73	540.19	470.14	595.34	587.13	540.19	518.15	651.58	629.35	612.11	620.67	688.78	525.39	612.11	728.11	633.73	400.71	318.57	351.14	470.14	170.25	314.17	241.19	130.6	260.38	607.87	307.69	249.73	269.6	320.8	309.83	267.73	356.05	341.51	305.55	232.94	454.09
PANK1	23.93	33.54	29.91	759.08	1295.13	713.11	3280.18	277.2	1322.37	1909.85	764.36	713.11	854.13	616.37	954.43	1167.14	1096.5	981.29	1015.93	1233.75	2090.03	406.31	743.43	909.17	909.17	559.28	1096.5	1015.93	884.29	1119.56	947.83	684.02	476.71	909.17	961.07	665.29	102.97	232.94	267.73	144.01	295.11	373.81	67.59	167.9	158.79	181.28	228.13	108.9	297.17	175.07	229.72	169.07	212.78	318.57	46.84	224.97
PCCA	579.04	599.49	444.72	3190.46	5479.15	3491.39	4704.07	1081.39	3235.01	4210.15	3235.01	3589.58	3124.78	3235.01	4038.61	4010.71	4450.27	4769.75	3847.29	4181.07	4239.45	2417.67	3901.01	3820.7	3168.41	2935.74	4671.57	3564.78	3768.09	4123.49	4607.24	2573.36	2434.5	3103.19	4010.71	780.44	579.04	713.11	890.44	486.75	780.44	909.17	389.72	490.14	743.43	647.07	591.22	693.58	748.61	733.19	728.11	571.05	543.96	674.59	518.15	603.67
PCCB	334.46	348.71	269.6	2061.24	3212.66	2104.58	5329.3	1023.0	2835.7	2502.97	2148.82	2018.8	2018.8	2090.03	3280.18	2701.35	2645.74	2777.33	2573.36	2627.46	2367.9	2032.85	2271.4	2271.4	2090.03	2178.83	3103.19	2627.46	3515.68	2777.33	2956.17	2119.22	2271.4	2303.12	2627.46	1594.73	638.15	748.61	836.53	356.05	567.1	679.29	239.52	616.37	988.12	351.14	698.41	543.96	780.44	753.83	808.0	587.13	603.67	759.08	400.71	759.08
PDSS2	229.72	215.77	205.5	559.28	647.07	543.96	1216.75	351.14	738.29	607.87	503.95	555.41	551.56	532.74	738.29	693.58	713.11	743.43	713.11	679.29	684.02	463.65	624.99	579.04	536.45	583.07	813.63	587.13	713.11	607.87	738.29	493.56	616.37	567.1	647.07	301.33	305.55	334.46	409.15	262.2	361.04	277.2	162.14	297.17	387.02	309.83	309.83	293.07	361.04	420.68	366.09	376.41	258.57	400.71	275.28	287.01
PEPD	1457.23	1111.82	1709.26	12076.21	19618.49	10808.41	18431.96	3716.2	22692.63	19214.73	9215.48	10883.59	14262.1	10808.41	19348.38	16045.82	24321.43	15392.14	14163.58	16496.96	25354.3	7537.18	11267.44	13306.94	13681.08	13872.08	24153.43	17437.64	23330.64	22225.61	17437.64	15075.35	15180.22	23656.34	23330.64	4836.35	1304.15	1628.26	1628.26	866.07	1605.83	1340.84	543.96	1508.65	1745.2	1388.16	1331.57	1191.69	1733.13	1685.71	1662.49	1519.15	1059.11	1594.73	1030.12	1350.18
PET112	177.53	287.01	221.86	684.02	1001.93	660.68	1233.75	607.87	884.29	733.19	674.59	665.29	607.87	620.67	738.29	830.75	825.0	718.08	791.35	780.44	825.0	612.11	684.02	693.58	860.08	624.99	830.75	688.78	688.78	733.19	808.0	748.61	579.04	718.08	753.83	511.0	275.28	376.41	412.0	202.66	241.19	303.44	130.6	269.6	348.71	283.05	239.52	237.86	312.0	323.03	246.28	329.84	248.0	303.44	193.01	303.44
PEX7	113.56	135.24	82.87	373.81	575.03	409.15	890.44	239.52	368.65	480.04	547.75	397.93	403.5	312.0	412.0	483.38	403.5	497.0	521.76	397.93	486.75	329.84	417.77	417.77	414.87	353.59	563.18	358.54	420.68	476.71	409.15	348.71	334.46	376.41	454.09	195.72	163.28	283.05	299.25	256.78	329.84	312.0	138.1	255.0	314.17	241.19	316.37	289.02	329.84	316.37	223.41	253.23	309.83	287.01	209.84	262.2
PLCL1	376.41	395.18	180.02	688.78	748.61	620.67	1605.83	329.84	595.34	1073.91	759.08	860.08	981.29	521.76	656.11	796.86	759.08	1119.56	1199.98	775.05	890.44	567.1	759.08	759.08	961.07	536.45	647.07	1001.93	555.41	896.64	764.36	555.41	403.5	743.43	825.0	4.82	48.52	74.06	149.12	107.38	100.83	153.34	43.02	46.5	74.58	137.14	71.5	38.12	50.27	68.55	77.79	73.54	79.45	121.79	42.71	100.13
PNPLA1	7.46	7.28	0.0	105.15	163.28	142.01	384.34	13.72	256.78	239.52	72.01	59.13	75.64	83.45	159.9	144.01	186.4	131.51	140.04	260.38	71.5	35.25	71.0	136.19	104.42	154.42	143.01	182.55	211.31	191.67	316.37	115.97	69.52	220.32	194.36	2.97	1.1	5.36	2.81	0.89	3.17	0.55	2.63	2.68	1.93	3.72	1.28	0.0	2.41	1.23	2.68	4.86	0.0	0.89	0.87	3.08
PNPLA4	185.11	376.41	256.78	808.0	1896.65	1277.29	2520.38	638.15	1208.34	1437.15	1151.06	703.28	656.11	723.08	872.1	878.17	1225.22	743.43	1340.84	2367.9	860.08	575.03	759.08	802.41	988.12	866.07	1051.79	1605.83	974.5	896.64	1388.16	848.22	866.07	1674.06	1572.76	309.83	466.88	503.95	836.53	361.04	775.05	587.13	244.57	830.75	1233.75	647.07	813.63	995.0	808.0	607.87	688.78	713.11	547.75	536.45	426.57	791.35
PODXL	356.05	540.19	473.41	5831.91	2193.99	7180.15	20030.74	802.41	4328.55	8022.41	10733.74	9808.75	11992.79	6250.56	2417.67	8421.31	3928.15	6652.97	7749.1	2468.49	6294.04	13776.25	7589.61	10084.54	6652.97	6207.38	7081.29	4010.71	5672.41	4575.41	6745.86	5479.15	3716.2	7081.29	6164.49	132.44	2255.7	1088.92	656.11	1051.79	769.69	305.55	312.0	698.41	708.18	1127.35	769.69	373.81	954.43	669.92	1936.53	674.59	1721.16	660.68	473.41	486.75
PPA2	1369.04	1388.16	1015.93	2682.69	4972.34	3146.52	6426.31	1709.26	3982.99	2835.7	2739.08	2758.13	2555.58	2777.33	3325.99	3349.13	4639.29	3235.01	3060.45	4239.45	3614.55	2664.15	3349.13	2701.35	2739.08	2351.53	3491.39	2573.36	2816.11	2976.74	2956.17	2627.46	2032.85	2335.28	2777.33	1844.76	1572.76	2018.8	2047.0	1508.65	1733.13	1561.89	1119.56	1583.71	2319.15	1697.45	1709.26	1870.53	2047.0	1819.35	1477.58	1794.29	1721.16	2255.7	1561.89	1806.78
PTH1R	154.42	312.0	199.85	8305.36	8778.97	9215.48	25530.66	1721.16	11827.67	9673.69	10225.32	8363.13	9025.81	8658.09	11112.3	12329.98	14663.09	6699.25	9025.81	8479.89	11345.82	9088.59	6840.04	11827.67	15607.02	14065.74	14765.09	11504.21	17558.94	16843.62	11827.67	14971.21	12160.22	19754.96	13586.57	2682.69	53.57	88.88	146.03	49.56	73.54	100.83	25.54	42.71	140.04	122.64	71.0	38.12	85.82	10.08	74.58	134.3	180.02	91.41	17.0	97.36
PTPN20B	27.64	2.73	17.13	33.78	98.04	19.68	71.5	30.34	54.72	73.03	40.93	37.05	48.18	34.51	110.43	24.99	111.99	70.01	66.18	39.22	56.28	34.51	43.63	38.95	49.56	29.7	37.85	31.45	52.08	10.71	44.89	38.4	41.22	11.21	32.59	4.54	0.39	22.92	37.85	7.88	22.59	32.59	0.89	12.27	33.3	8.25	0.0	4.54	25.17	3.69	9.34	5.92	13.93	57.49	0.29	6.36
PTPN3	22.1	61.25	48.87	1268.46	435.55	961.07	921.88	307.69	1044.52	1104.13	830.75	1216.75	1037.29	1159.07	1030.12	1081.39	612.11	1757.34	1295.13	896.64	1127.35	684.02	954.43	1127.35	890.44	743.43	934.76	1096.5	941.27	1159.07	1259.69	1008.9	995.0	1088.92	1119.56	540.19	267.73	366.09	318.57	483.38	251.48	381.68	511.0	299.25	395.18	312.0	314.17	532.74	241.19	297.17	301.33	255.0	267.73	376.41	432.53	220.32
RAB11FIP3	981.29	1096.5	1331.57	4268.94	12415.75	4328.55	7382.04	1936.53	10368.08	6381.92	3665.02	3768.09	2502.97	3540.14	4972.34	5995.9	6840.04	4010.71	3794.3	8598.28	4038.61	2104.58	3146.52	5006.93	5555.65	4450.27	6207.38	6121.9	8658.09	6164.49	6037.61	6561.36	4358.66	10368.08	6250.56	457.25	819.3	684.02	633.73	612.11	607.87	684.02	679.29	848.22	723.08	780.44	633.73	603.67	679.29	674.59	698.41	713.11	785.88	647.07	775.05	583.07
RAB11FIP5	583.07	748.61	583.07	1832.01	1143.1	1551.09	2434.5	1066.48	1950.0	2133.97	1561.89	1832.01	1674.06	1127.35	1909.85	1896.65	1572.76	2351.53	2240.11	1781.89	1487.87	1216.75	1369.04	1923.14	1685.71	1923.14	1870.53	2303.12	2193.99	2287.2	2255.7	1950.0	1896.65	2777.33	2502.97	336.79	320.8	429.54	511.0	332.14	327.56	237.86	312.0	346.29	281.09	283.05	412.0	339.14	460.44	293.07	441.64	441.64	348.71	395.18	283.05	320.8
RAB7L1	651.58	518.15	1059.11	1883.54	1870.53	1806.78	4736.79	954.43	2758.13	2855.44	1143.1	1605.83	1388.16	1529.73	2573.36	1745.2	2303.12	2645.74	1977.24	2148.82	1572.76	1143.1	1674.06	1844.76	1208.34	1806.78	2287.2	2271.4	2119.22	2240.11	2537.92	1662.49	1340.84	1662.49	2209.26	256.78	291.04	718.08	1104.13	551.56	507.46	642.59	258.57	915.51	1331.57	473.41	555.41	713.11	642.59	1073.91	872.1	884.29	497.0	775.05	536.45	447.82
RALYL	2.58	0.83	0.74	339.14	703.28	275.28	559.28	75.64	351.14	511.0	423.61	483.38	525.39	314.17	312.0	551.56	660.68	463.65	583.07	532.74	395.18	267.73	293.07	395.18	638.15	125.24	384.34	397.93	381.68	281.09	429.54	291.04	172.65	202.66	429.54	26.86	0.0	7.69	2.12	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.49	0.0	1.33	1.45	0.0	0.0	0.74	0.0	1.43	0.0
RBM47	249.73	81.71	149.12	2018.8	1143.1	1651.0	3103.19	1159.07	1819.35	2209.26	1794.29	2061.24	2075.59	1923.14	1781.89	2148.82	1883.54	2591.27	2335.28	1819.35	2018.8	1437.15	2271.4	2434.5	1721.16	1923.14	1709.26	2555.58	2193.99	2319.15	2434.5	1639.59	2255.7	2271.4	2417.67	363.56	1199.98	1250.98	2104.58	1119.56	1529.73	1529.73	808.0	1583.71	1745.2	1572.76	1721.16	1340.84	1674.06	1745.2	1457.23	1781.89	1561.89	1991.0	1135.2	1508.65
RENBP	199.85	158.79	187.71	2319.15	2468.49	1977.24	3847.29	941.27	2090.03	2434.5	1407.55	1397.83	1191.69	1175.27	3589.58	1896.65	1857.6	1397.83	2018.8	2351.53	1457.23	1388.16	1388.16	1781.89	2303.12	1467.37	2976.74	2645.74	2609.3	3257.52	2701.35	2485.67	2209.26	3257.52	2835.7	559.28	117.6	265.87	96.68	64.8	171.45	63.89	11.55	246.28	220.32	50.63	78.89	162.14	249.73	134.3	105.89	129.69	102.25	103.69	86.43	77.79
RNF14	825.0	842.36	713.11	1183.45	1447.15	1104.13	1909.85	941.27	1529.73	1437.15	1051.79	1199.98	1286.18	1340.84	1561.89	1605.83	1617.0	1572.76	1378.57	1794.29	1143.1	1119.56	1437.15	1268.46	1151.06	1081.39	1295.13	1001.93	1250.98	1151.06	1304.15	1183.45	1378.57	941.27	1191.69	665.29	638.15	995.0	1051.79	674.59	848.22	1066.48	547.75	728.11	854.13	780.44	830.75	733.19	902.89	825.0	842.36	780.44	995.0	934.76	583.07	723.08
RNLS	82.87	51.35	53.57	511.0	1151.06	423.61	1529.73	279.14	718.08	693.58	500.46	616.37	493.56	454.09	780.44	723.08	825.0	571.05	559.28	915.51	607.87	447.82	540.19	743.43	688.78	503.95	780.44	616.37	728.11	688.78	775.05	555.41	457.25	616.37	808.0	159.9	101.54	260.38	314.17	156.59	262.2	211.31	90.14	199.85	236.21	211.31	242.88	190.34	267.73	341.51	244.57	283.05	138.1	262.2	97.36	211.31
RP11-536G4.1	0.0	0.0	0.0	34.75	339.14	52.45	45.85	21.94	73.03	87.03	18.97	7.51	28.04	23.93	42.41	28.65	146.03	38.67	43.32	48.87	11.04	9.78	47.84	22.92	69.52	56.28	16.51	53.19	25.17	127.89	46.84	22.92	6.62	58.71	38.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SAMM50	603.67	629.35	607.87	1322.37	1923.14	1037.29	1745.2	1183.45	1519.15	1313.23	1111.82	1159.07	1277.29	1151.06	1583.71	1551.09	1551.09	1457.23	1427.22	1540.37	1437.15	909.17	1378.57	1286.18	1487.87	1225.22	1745.2	1498.22	1540.37	1628.26	1617.0	1322.37	1242.34	1447.15	1487.87	1059.11	764.36	896.64	791.35	733.19	819.3	669.92	381.68	842.36	796.86	866.07	713.11	802.41	941.27	813.63	703.28	780.44	708.18	764.36	536.45	642.59
SATL1	22.75	23.42	21.63	26.28	24.99	21.01	28.65	21.63	24.81	46.5	36.53	50.63	27.84	26.86	34.51	24.81	36.79	48.87	41.81	38.12	30.34	27.05	26.86	40.64	26.28	34.26	46.18	38.4	24.46	28.65	38.67	26.67	24.63	22.59	38.67	12.74	19.25	18.84	27.84	16.88	18.03	20.56	8.45	14.56	12.74	15.34	16.75	12.36	14.24	18.03	15.68	22.43	18.29	20.56	10.16	18.56
SETD3	1508.65	1183.45	995.0	2178.83	1991.0	2303.12	4095.0	1378.57	2468.49	2591.27	1617.0	2133.97	1950.0	2178.83	2287.2	2351.53	2351.53	3103.19	2400.97	2148.82	2384.37	1639.59	2287.2	2240.11	1844.76	2133.97	2758.13	2271.4	2303.12	2591.27	2609.3	1909.85	1794.29	2193.99	2384.37	638.15	1104.13	1225.22	1350.18	1059.11	1135.2	1551.09	1167.14	1015.93	1277.29	1225.22	1059.11	1350.18	1313.23	1059.11	1059.11	1216.75	1104.13	1583.71	842.36	1340.84
SFXN2	79.45	195.72	166.73	1407.55	2915.45	1183.45	3928.15	532.74	2303.12	3491.39	1794.29	1417.35	1159.07	974.5	2664.15	2451.44	3303.0	2148.82	1561.89	3280.18	1896.65	1066.48	1769.57	2875.3	2119.22	2434.5	3212.66	2520.38	3081.75	3589.58	3395.89	1870.53	1991.0	3212.66	3982.99	269.6	236.21	486.75	579.04	361.04	480.04	389.72	251.48	483.38	703.28	251.48	466.88	309.83	540.19	603.67	500.46	320.8	275.28	397.93	262.2	660.68
SH3GL2	143.01	47.5	66.65	341.51	473.41	412.0	9673.69	59.55	466.88	511.0	379.04	341.51	414.87	429.54	312.0	406.31	521.76	395.18	351.14	497.0	497.0	299.25	409.15	397.93	303.44	279.14	603.67	339.14	450.94	595.34	486.75	301.33	258.57	486.75	426.57	1.23	0.45	52.82	21.94	16.63	28.86	18.84	0.0	25.35	44.57	24.63	11.91	65.26	10.96	3.59	19.53	144.01	7.69	2.41	117.6	8.45
SLC12A3	0.0	0.0	0.78	4010.71	4328.55	7081.29	4481.23	2075.59	4972.34	6887.62	14971.21	9215.48	7642.41	3303.0	2573.36	9876.98	2502.97	8363.13	8598.28	3349.13	9344.14	7230.1	4450.27	6983.79	11267.44	4268.94	7081.29	3060.45	6561.36	7130.55	6250.56	5006.93	3690.52	10659.59	7485.11	0.74	0.51	3.89	0.92	0.49	3.23	0.0	0.85	0.87	0.0	0.0	0.0	0.51	0.89	0.0	1.99	4.7	0.0	2.71	1.55	0.51
SLC13A1	0.0	0.0	0.0	1561.89	1350.18	1950.0	2303.12	96.68	2417.67	1477.58	656.11	909.17	808.0	1583.71	3443.31	1331.57	1936.53	3443.31	1794.29	2193.99	1832.01	1096.5	1977.24	1340.84	1088.92	2061.24	2400.97	1313.23	2367.9	2090.03	3124.78	1111.82	2061.24	1806.78	2451.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC13A2	0.0	0.0	1.71	1572.76	2400.97	1950.0	1477.58	159.9	2148.82	2209.26	981.29	1066.48	928.3	813.63	3742.05	2915.45	2451.44	2502.97	3060.45	1757.34	2555.58	1096.5	1242.34	1519.15	2061.24	2796.65	3146.52	2468.49	4210.15	2485.67	4328.55	2319.15	1896.65	2591.27	2796.65	0.28	0.72	0.39	0.88	0.0	0.0	0.0	0.0	0.57	1.33	0.0	0.0	0.0	0.59	0.56	0.0	0.85	0.0	0.0	0.0	0.58
SLC13A3	32.82	47.5	20.11	10014.87	6745.86	7589.61	1561.89	961.07	15285.81	8718.32	4704.07	6079.61	5366.37	7911.95	18689.27	11345.82	10733.74	17927.91	11424.74	10808.41	6079.61	6337.83	10225.32	13776.25	7911.95	12853.63	17437.64	10733.74	23169.48	18819.27	21468.49	10808.41	17558.94	16611.71	16269.83	0.99	93.35	35.0	59.55	19.39	72.01	15.34	64.34	44.89	52.08	21.47	42.71	64.8	52.82	39.22	53.19	51.71	169.07	46.5	117.6	103.69
SLC16A12	12.27	21.01	22.43	1268.46	2682.69	909.17	518.15	1427.22	2032.85	1674.06	718.08	1037.29	1369.04	2537.92	3124.78	2627.46	1936.53	2935.74	1295.13	2018.8	1059.11	808.0	1923.14	2400.97	1819.35	1350.18	1628.26	1870.53	2090.03	3081.75	1369.04	1519.15	1427.22	1208.34	2004.85	1.97	30.78	68.55	69.52	138.1	62.56	122.64	246.28	37.32	78.89	13.83	137.14	23.59	176.29	31.9	142.01	142.01	176.29	209.84	52.82	126.12
SLC16A9	2.12	32.82	17.25	3395.89	2384.37	2895.31	3395.89	397.93	4239.45	3349.13	2133.97	2004.85	2384.37	3212.66	6607.01	5076.84	5403.7	5147.73	3982.99	5441.3	3212.66	3589.58	3928.15	3955.48	2855.44	2682.69	6426.31	2956.17	4328.55	6516.03	4972.34	2537.92	4358.66	5255.91	6207.38	3.44	334.46	318.57	785.88	103.69	518.15	234.57	178.77	470.14	860.08	149.12	176.29	107.38	314.17	229.72	269.6	540.19	149.12	607.87	591.22	547.75
SLC17A1	0.0	0.0	0.0	2609.3	4836.35	3124.78	941.27	723.08	4210.15	2537.92	1111.82	2520.38	1685.71	2976.74	5366.37	3257.52	2796.65	5517.27	3614.55	4419.52	3146.52	2209.26	3614.55	3794.3	2520.38	2796.65	4769.75	2976.74	6079.61	3564.78	5594.3	2537.92	2627.46	3235.01	4152.18	343.89	0.91	0.34	1.85	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.0	0.72	1.45	0.0	3.14	2.48	0.0	0.0	0.0	0.0
SLC22A11	0.0	0.0	0.88	2555.58	2645.74	3742.05	1977.24	201.25	3982.99	2240.11	1322.37	2520.38	1806.78	2303.12	3564.78	2384.37	3081.75	3491.39	3257.52	2835.7	2720.15	1745.2	1733.13	2520.38	3190.46	2895.31	3928.15	3212.66	5872.48	3665.02	4869.99	2915.45	3168.41	4419.52	3303.0	4.7	3.89	0.85	2.03	0.0	0.79	0.0	1.45	2.78	4.74	0.77	1.5	1.73	1.51	2.32	0.0	1.73	0.55	0.0	7.34	0.0
SLC22A12	0.0	0.0	0.0	7803.01	3955.48	10808.41	4903.87	400.71	7130.55	4671.57	1870.53	4671.57	4038.61	2664.15	12329.98	6121.9	5147.73	10084.54	7589.61	8963.45	7230.1	1832.01	3103.19	5633.22	8718.32	6983.79	10883.59	9673.69	18950.18	9474.59	13776.25	7485.11	11424.74	14262.1	8363.13	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.89	0.0	0.0	0.87	0.84	0.0
SLC22A13	0.0	1.55	1.38	255.0	182.55	205.5	392.44	22.1	647.07	295.11	175.07	131.51	175.07	167.9	525.39	351.14	373.81	503.95	392.44	500.46	307.69	181.28	239.52	351.14	397.93	438.59	551.56	497.0	791.35	525.39	612.11	368.65	351.14	629.35	633.73	1.85	0.0	0.0	0.14	1.43	1.99	0.74	0.33	1.91	1.41	0.73	1.1	0.35	0.36	1.55	1.27	0.74	0.14	0.89	1.36	0.55
SLC22A6	0.75	0.74	0.0	7537.18	14163.58	8191.0	4836.35	995.0	17197.56	8901.53	4937.99	4388.98	5366.37	5633.22	12764.83	9344.14	11909.94	9808.75	7081.29	11345.82	13215.02	4481.23	7857.29	9409.14	14461.21	12589.08	16383.0	9740.98	18052.61	17078.76	12502.12	12853.63	10440.2	19482.97	16496.96	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	0.0	0.0	0.0	0.0	0.0	0.0
SLC22A8	0.0	0.0	4.94	13033.07	13681.08	15499.21	4419.52	791.35	20881.4	13586.57	8421.31	11664.82	9876.98	10225.32	17927.91	14971.21	14065.74	21026.65	12943.04	17197.56	17317.18	7230.1	12415.75	15715.58	15607.02	15824.9	23986.58	11584.24	30999.42	22535.88	28132.47	15715.58	17197.56	26986.43	23820.89	0.0	0.78	0.0	0.0	2.18	0.0	0.75	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.0
SLC23A3	5.82	26.86	37.32	928.3	2796.65	551.56	8479.89	88.26	2816.11	2591.27	684.02	629.35	638.15	967.76	2997.45	1923.14	1950.0	1697.45	1605.83	2956.17	733.19	497.0	947.83	1832.01	2720.15	1561.89	1794.29	3690.52	1963.57	3614.55	2835.7	1594.73	1378.57	2502.97	2591.27	74.06	37.32	13.32	36.27	10.31	65.72	37.05	10.24	73.54	50.63	65.26	35.76	14.67	25.72	55.1	39.79	63.45	14.56	42.11	43.32	51.35
SLC25A30	194.36	117.6	105.15	1059.11	543.96	571.05	2855.44	497.0	785.88	1233.75	1001.93	934.76	1135.2	1096.5	759.08	934.76	603.67	1447.15	1250.98	819.3	967.76	836.53	1015.93	1183.45	647.07	674.59	638.15	902.89	555.41	1066.48	825.0	915.51	802.41	872.1	866.07	441.64	132.44	189.02	108.9	95.34	199.85	157.68	61.25	226.54	265.87	265.87	80.57	105.89	191.67	195.72	190.34	181.28	117.6	239.52	109.66	94.01
SLC25A48	0.0	1.28	7.17	470.14	921.88	329.84	2075.59	75.11	915.51	1088.92	299.25	358.54	312.0	217.27	764.36	368.65	669.92	848.22	791.35	1008.9	232.94	104.42	420.68	361.04	579.04	441.64	620.67	1467.37	769.69	842.36	819.3	967.76	221.86	769.69	733.19	0.32	24.81	0.0	6.01	6.62	7.51	10.16	2.73	0.0	1.04	6.11	0.0	0.0	0.68	0.0	0.0	11.13	0.71	0.0	10.79	0.68
SLC30A9	684.02	651.58	503.95	1617.0	1844.76	1551.09	4607.24	748.61	1950.0	2148.82	1697.45	1883.54	1697.45	1617.0	1977.24	1991.0	1745.2	2537.92	1709.26	1909.85	1883.54	1508.65	1909.85	1745.2	1417.35	1519.15	1936.53	1467.37	1757.34	1769.57	1963.57	1313.23	1487.87	1359.57	1769.57	285.03	503.95	665.29	830.75	1233.75	651.58	878.17	813.63	733.19	825.0	693.58	961.07	785.88	796.86	775.05	607.87	1030.12	813.63	954.43	733.19	928.3
SLC34A1	0.0	0.0	0.0	6887.62	4181.07	5183.54	5112.16	248.0	11112.3	5219.6	2956.17	3794.3	5076.84	7081.29	7433.4	6699.25	5292.48	5517.27	4328.55	8963.45	3639.7	6699.25	5219.6	5751.61	6983.79	9540.5	15934.98	7433.4	14867.79	11664.82	13492.72	6250.56	8247.98	13872.08	9808.75	11.73	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	1.11	0.0	0.0	0.77	0.0	0.0	0.38	0.0	0.39	0.0	0.72	0.0
SLC34A3	0.0	1.0	0.58	928.3	921.88	299.25	575.03	36.79	1331.57	860.08	559.28	356.05	571.05	397.93	819.3	764.36	921.88	536.45	409.15	1216.75	389.72	381.68	435.55	674.59	1378.57	679.29	1572.76	1540.37	1561.89	1340.84	1096.5	1104.13	825.0	1487.87	1322.37	0.0	84.04	3.32	8.25	2.07	0.45	0.44	3.72	1.93	4.43	2.43	2.84	6.21	2.01	5.41	1.41	1.79	3.35	1.89	2.63	1.81
