	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.L5.A4OM.11A.11R.A260.31	TCGA.L5.A4OG.11A.12R.A260.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.P4QT.0626.SM.3NMCP	GTEX.11XUK.0826.SM.5GU6P	TCGA.38.4625.01A.01R.1206.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.1117F.3026.SM.5GZYU	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.HU.A4HB.01A.12R.A251.31	TCGA.MX.A666.01A.11R.A31P.31	TCGA.D7.8578.01A.21R.2343.13	TCGA.HU.A4GJ.01A.11R.A251.31	TCGA.VQ.A8PC.01A.11R.A39E.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.VQ.A927.01A.12R.A414.31	TCGA.VQ.A8PM.01A.21R.A414.31	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.BR.8296.01A.11R.2343.13	TCGA.D7.6817.01A.11R.1884.13	TCGA.CG.5720.11A.01R.1602.13	GTEX.Y8E4.1526.SM.4WWDI	GTEX.Y9LG.1026.SM.5IFJN
SMPD3	67.12	19.11	99.43	3.06	17.51	35.0	24.81	12.93	228.13	133.36	19.25	61.25	995.0	447.82	0.0	25.91	25.35	21.01	69.03	96.68	4.06	177.53	41.22	974.5	309.83	480.04	325.29	470.14	525.39	1721.16	420.68	633.73	265.87	497.0	1651.0	314.17	1096.5
SPDEF	45.85	1.35	13.52	0.0	0.0	0.0	16.63	12.18	51.71	47.5	0.0	0.74	2451.44	373.81	0.0	1.06	0.0	16.63	24.81	43.02	3.53	21.16	4.46	291.04	131.51	195.72	341.51	1572.76	1199.98	1015.93	480.04	423.61	3235.01	536.45	1963.57	277.2	483.38
SST	16.15	21.63	0.0	0.0	0.0	0.0	0.0	0.0	46.5	397.93	0.0	0.0	3257.52	123.5	0.0	4.78	6.06	0.0	0.0	5.28	3.89	12.36	4.74	1806.78	336.79	1104.13	1950.0	2148.82	25708.25	5517.27	607.87	9409.14	147.06	543.96	14361.31	1991.0	3515.68
SULT1C2	67.12	1.57	34.26	0.0	0.0	0.0	1.11	0.0	121.79	43.32	0.0	0.0	8778.97	19.39	0.0	28.04	0.0	0.82	7.34	15.34	0.0	0.28	0.0	6471.02	417.77	743.43	6207.38	1417.35	3928.15	6699.25	1208.34	8840.04	2384.37	3280.18	7280.4	679.29	1407.55
SYCP2	0.88	8.06	13.12	3.82	23.25	11.47	39.79	21.47	105.15	67.12	15.22	6.78	197.09	59.13	0.0	0.73	0.0	1.5	7.06	9.56	0.0	5.23	0.08	29.06	54.72	64.8	52.82	78.34	126.12	92.7	108.9	59.55	152.28	153.34	38.95	15.91	80.01
SYT13	0.0	1.57	8.65	0.0	0.27	0.0	3.32	0.32	7.75	16.75	0.0	0.0	171.45	24.11	0.0	1.33	0.0	0.0	2.53	1.57	0.52	0.39	0.0	218.79	253.23	198.47	130.6	441.64	232.94	497.0	351.14	241.19	1096.5	521.76	167.9	33.54	25.72
TESC	7.88	34.26	81.71	13.83	17.25	15.0	102.25	17.0	432.53	332.14	39.5	42.71	9673.69	59.55	0.0	39.22	33.3	41.81	57.08	44.25	53.19	79.45	21.94	1909.85	679.29	1242.34	3901.01	1508.65	3665.02	2758.13	1662.49	2400.97	4836.35	2240.11	3589.58	909.17	1806.78
TFF2	22.26	0.0	11.13	0.0	0.0	0.0	1.19	0.0	241.19	199.85	0.0	0.0	301123.38	223.41	0.0	2.73	0.0	0.47	2.34	8.13	0.0	1.83	0.0	31870.96	15075.35	25179.16	39785.74	130165.62	123144.13	155870.75	18304.63	35609.13	11189.6	28923.41	105727.15	7857.29	74760.09
TMC5	122.64	36.01	87.03	1.69	5.41	3.5	45.53	20.86	120.94	48.87	6.01	2.89	3716.2	718.08	1044.52	74.06	0.74	9.34	129.69	61.25	43.32	101.54	76.71	2739.08	248.0	981.29	483.38	961.07	2520.38	2855.44	4543.8	4481.23	2148.82	3589.58	3901.01	381.68	693.58
TMPRSS3	161.02	9.27	38.67	0.01	4.94	0.78	9.27	3.53	48.87	17.13	0.04	0.62	5791.62	53.19	0.0	16.75	0.0	1.51	43.02	67.12	4.9	33.06	0.39	638.15	177.53	332.14	301.33	785.88	1104.13	915.51	836.53	629.35	2303.12	500.46	1216.75	115.97	275.28
TNFRSF17	0.0	3.79	10.0	0.0	4.06	2.86	0.51	10.71	6.21	46.84	0.0	3.44	131.51	35.0	0.0	22.59	0.0	0.39	8.38	34.26	54.72	11.82	0.2	353.59	64.8	37.32	599.49	194.36	1023.0	173.85	599.49	93.35	95.34	120.1	587.13	92.05	226.54
TOX3	35.0	2.39	21.32	0.0	0.0	0.0	2.92	4.31	31.9	29.27	0.13	0.44	373.81	111.21	0.0	3.92	0.22	1.87	8.19	29.91	0.06	5.28	0.57	438.59	336.79	713.11	232.94	941.27	629.35	896.64	674.59	684.02	878.17	1030.12	521.76	228.13	314.17
TPH1	3.66	2.63	5.11	1.22	1.75	1.33	3.47	0.52	14.56	16.39	1.19	0.95	450.94	7.28	3.86	0.0	1.45	0.26	1.14	9.63	0.61	2.29	0.35	18.97	38.4	16.51	37.59	29.91	400.71	40.93	156.59	12.0	42.71	69.52	63.89	32.59	57.89
TRIM31	339.14	25.17	50.63	0.47	3.69	4.66	17.13	4.98	40.93	20.11	2.05	0.93	3372.43	221.86	0.0	21.63	2.32	7.82	24.46	14.45	1.25	5.02	0.07	2133.97	1286.18	967.76	688.78	603.67	1250.98	1250.98	967.76	3564.78	281.09	1721.16	507.46	62.12	728.11
TRPA1	1.77	11.38	38.12	22.92	3.17	1.71	18.03	0.72	59.97	58.3	1.31	9.85	426.57	45.21	0.0	18.56	0.0	19.97	5.92	5.63	2.36	6.62	0.0	224.97	507.46	72.52	126.12	693.58	185.11	693.58	507.46	256.78	114.36	141.02	191.67	74.06	156.59
TSPAN1	15285.81	85.82	688.78	27.05	48.87	7.63	193.01	255.0	660.68	336.79	426.57	28.24	23169.48	5913.33	514.56	137.14	17.64	215.77	323.03	540.19	48.87	171.45	57.89	9606.86	1135.2	3690.52	2935.74	9876.98	5219.6	18304.63	3372.43	8901.53	9088.59	3690.52	15499.21	1359.57	7589.61
TSPAN8	14.24	43.02	265.87	1.06	8.78	4.58	90.77	4.24	325.29	289.02	20.11	15.8	181548.07	15607.02	0.0	21.63	2.66	17.51	59.55	106.63	5.59	32.82	13.42	33922.56	4972.34	8840.04	8191.0	20881.4	15499.21	34158.52	21172.91	37639.55	9740.98	110216.97	17804.06	2240.11	5329.3
TTLL6	0.41	8.0	31.9	0.0	1.58	0.0	9.48	1.51	8.71	6.46	2.51	0.0	27.44	2.86	0.0	0.89	0.68	2.73	0.89	2.94	0.0	4.17	1.2	190.34	112.77	92.05	15.45	57.08	45.53	129.69	144.01	260.38	25.91	36.01	63.89	18.97	18.97
UNC5CL	23.08	29.7	61.68	7.4	14.03	13.03	18.84	11.04	88.88	82.87	19.82	9.13	1697.45	111.21	0.0	0.88	4.62	0.16	2.61	41.81	7.46	11.82	7.51	612.11	351.14	358.54	358.54	297.17	450.94	733.19	397.93	470.14	796.86	563.18	1268.46	175.07	733.19
USH1C	3.14	15.0	38.4	0.08	0.0	0.0	20.71	3.06	51.71	26.47	1.79	0.35	9088.59	341.51	0.0	2.36	4.03	11.3	0.95	0.89	3.86	4.43	2.81	1639.59	1183.45	872.1	532.74	2591.27	748.61	2303.12	1242.34	1674.06	1936.53	1617.0	2997.45	189.02	819.3
VILL	35.0	85.22	291.04	18.97	36.79	43.02	101.54	35.5	748.61	395.18	154.42	115.16	2367.9	688.78	0.0	58.71	70.51	46.18	94.67	429.54	70.01	98.73	68.07	2119.22	497.0	1143.1	718.08	2075.59	1427.22	5872.48	1605.83	1277.29	848.22	3124.78	3820.7	703.28	3280.18
VSIG2	90.77	29.7	108.14	0.0	11.91	21.78	36.53	10.88	703.28	723.08	65.72	87.03	10959.3	1104.13	0.0	23.08	7.51	23.93	159.9	1233.75	31.22	279.14	78.89	5555.65	674.59	2796.65	5366.37	2895.31	11745.96	11035.54	3395.89	1605.83	8778.97	2555.58	16269.83	3491.39	8778.97
VWA7	38.4	19.97	44.89	5.54	12.55	8.19	33.78	9.13	70.01	73.54	13.62	4.5	198.47	34.26	0.0	3.86	16.39	25.17	26.86	190.34	19.39	17.38	3.63	178.77	229.72	332.14	128.79	217.27	183.82	358.54	363.56	223.41	412.0	514.56	256.78	104.42	361.04
ZFPM1	91.41	38.95	88.88	36.27	31.22	28.86	37.85	45.21	139.07	65.72	36.79	30.78	521.76	71.5	0.0	10.08	49.91	54.72	24.11	31.0	54.72	45.85	35.25	249.73	198.47	426.57	412.0	748.61	293.07	412.0	426.57	476.71	656.11	595.34	647.07	224.97	400.71
ZNF69	22.43	15.0	30.78	3.23	5.68	7.46	17.64	9.85	75.64	90.77	6.52	13.83	327.56	74.06	0.0	4.9	0.37	1.35	18.43	33.06	7.63	13.52	2.53	181.28	151.22	74.06	126.12	620.67	277.2	314.17	164.42	307.69	301.33	51.71	190.34	76.71	145.02
ZSCAN4	0.66	0.09	3.72	0.0	0.55	0.12	0.37	1.04	12.83	8.45	0.09	0.14	18.43	3.79	0.0	0.0	0.64	0.75	3.79	4.43	2.53	1.08	0.37	12.74	1.62	6.73	7.88	1.17	3.32	92.7	1.89	12.93	10.31	4.06	3.47	2.58	3.2
