	GTEX.WZTO.0426.SM.3NM99	GTEX.11WQC.0626.SM.5EQMF	GTEX.131XW.1126.SM.5EGK4	GTEX.117YW.0526.SM.5H11C	GTEX.13O3Q.0526.SM.5KM18	GTEX.N7MS.0926.SM.2HMIZ	GTEX.Q2AG.1026.SM.33HBW	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.ET.A25N.01A.11R.A16R.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYW4.1126.SM.5SI99	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.148VJ.0726.SM.5LU8J	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.139UW.0126.SM.5KM1B	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.YF7O.0726.SM.4W213	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.RTLS.0626.SM.5SI7Z	GTEX.13D11.0226.SM.5LZXL	GTEX.13OVI.0826.SM.5KLZ8	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.13O3P.0726.SM.5J2OM
DPCD	361.04	167.9	237.86	348.71	229.72	281.09	316.37	633.73	567.1	769.69	890.44	1143.1	988.12	500.46	915.51	1059.11	802.41	1208.34	866.07	1030.12	854.13	651.58	511.0	860.08	743.43	854.13	866.07	1340.84	813.63	1350.18	384.34	1096.5	1135.2	866.07	1015.93	642.59	1051.79	1059.11	872.1	1015.93	1397.83	802.41	1259.69	559.28	896.64	1127.35	1183.45	1359.57	1208.34	896.64	1088.92	854.13	1304.15	1135.2	1159.07	796.86	866.07	1359.57	1191.69	1151.06	647.07	1233.75	753.83	819.3	941.27	1008.9	928.3	974.5	684.02	1008.9	1119.56	476.71
EBNA1BP2	555.41	363.56	486.75	438.59	463.65	540.19	525.39	1081.39	1250.98	1073.91	1359.57	1572.76	1340.84	896.64	1225.22	1583.71	1417.35	1745.2	1208.34	1313.23	967.76	1167.14	1242.34	1397.83	1225.22	1286.18	1467.37	1487.87	1225.22	1794.29	1111.82	1378.57	1583.71	1378.57	1745.2	1225.22	1467.37	1331.57	1529.73	1896.65	1508.65	1437.15	1819.35	1044.52	1467.37	1437.15	1870.53	1340.84	1709.26	1350.18	1529.73	1457.23	1605.83	1313.23	1769.57	1427.22	1225.22	1350.18	1313.23	1745.2	1216.75	1397.83	1081.39	1111.82	1277.29	1467.37	1487.87	1331.57	1313.23	1628.26	1250.98	1059.11
EIF2B2	389.72	444.72	343.89	269.6	343.89	460.44	267.73	1519.15	961.07	1015.93	1023.0	3124.78	2287.2	1674.06	1183.45	1883.54	1572.76	1909.85	1313.23	1617.0	1350.18	890.44	1143.1	1073.91	954.43	1674.06	1745.2	1605.83	1159.07	2417.67	995.0	1721.16	2075.59	1369.04	1304.15	934.76	1304.15	1870.53	1991.0	2895.31	1639.59	1819.35	1519.15	1233.75	2104.58	1427.22	1936.53	1832.01	2133.97	1208.34	1407.55	1359.57	2047.0	1896.65	2502.97	1617.0	1487.87	1685.71	2061.24	2335.28	780.44	2193.99	703.28	890.44	1151.06	1529.73	2018.8	2163.77	1651.0	1639.59	2417.67	954.43
ERI3	591.22	293.07	896.64	791.35	665.29	624.99	514.56	1030.12	981.29	1023.0	1167.14	1617.0	1295.13	813.63	1407.55	1277.29	1268.46	1457.23	1216.75	1233.75	928.3	988.12	1111.82	1437.15	1081.39	1304.15	1277.29	1242.34	620.67	1508.65	928.3	1477.58	1427.22	1447.15	1268.46	1044.52	1286.18	1378.57	1277.29	1628.26	1583.71	1407.55	1540.37	878.17	1304.15	1322.37	1477.58	1662.49	1286.18	1259.69	1340.84	1242.34	1561.89	1350.18	1844.76	1199.98	1295.13	1745.2	1159.07	1733.13	1037.29	1572.76	1135.2	884.29	1268.46	1417.35	1359.57	1477.58	1051.79	1350.18	1378.57	791.35
FAM32A	1001.93	1216.75	1313.23	947.83	1008.9	1008.9	830.75	1135.2	1331.57	1594.73	1268.46	1936.53	1844.76	1073.91	1806.78	1806.78	1467.37	1662.49	1216.75	1551.09	1111.82	1350.18	1216.75	1769.57	1561.89	1628.26	1806.78	1572.76	1313.23	1617.0	1119.56	1781.89	1769.57	1963.57	1529.73	1427.22	1697.45	1709.26	2004.85	1896.65	2032.85	1870.53	1870.53	1350.18	1561.89	1806.78	1769.57	1721.16	1605.83	1467.37	1844.76	1806.78	2032.85	1286.18	1896.65	1709.26	1369.04	1832.01	1806.78	1508.65	1304.15	2133.97	1583.71	1388.16	1674.06	1870.53	1498.22	1628.26	1697.45	1651.0	1832.01	1073.91
FH	476.71	275.28	447.82	353.59	503.95	438.59	529.06	679.29	543.96	791.35	848.22	1268.46	981.29	688.78	1104.13	1359.57	1388.16	1199.98	698.41	1001.93	669.92	521.76	473.41	1127.35	796.86	872.1	1397.83	1199.98	559.28	2255.7	525.39	1143.1	1508.65	633.73	785.88	518.15	571.05	830.75	902.89	1378.57	934.76	1066.48	1674.06	674.59	1721.16	1151.06	1159.07	1457.23	2047.0	748.61	1015.93	1119.56	1540.37	909.17	1529.73	1340.84	1119.56	1437.15	1407.55	1819.35	540.19	1388.16	728.11	579.04	1037.29	1709.26	954.43	995.0	842.36	941.27	1066.48	435.55
GMDS	258.57	158.79	223.41	387.02	269.6	376.41	236.21	429.54	289.02	441.64	497.0	555.41	368.65	251.48	473.41	379.04	633.73	571.05	226.54	525.39	450.94	237.86	420.68	476.71	384.34	356.05	743.43	444.72	373.81	934.76	126.12	607.87	796.86	356.05	497.0	376.41	414.87	607.87	417.77	429.54	435.55	295.11	620.67	287.01	698.41	483.38	473.41	579.04	591.22	289.02	237.86	529.06	665.29	511.0	616.37	346.29	583.07	759.08	607.87	802.41	307.69	444.72	223.41	476.71	363.56	536.45	363.56	511.0	500.46	417.77	389.72	234.57
HARBI1	21.16	32.36	39.5	21.94	25.72	27.05	10.79	40.93	23.93	29.7	57.49	61.68	70.01	29.7	41.52	54.72	74.06	42.71	39.79	40.64	12.93	20.26	38.12	48.87	29.48	69.52	69.52	57.89	30.12	73.03	32.13	53.95	67.12	45.85	66.65	45.85	33.3	40.36	69.52	96.68	36.53	52.45	71.5	47.84	65.26	60.82	88.26	59.55	90.77	43.32	53.95	44.89	96.68	55.1	92.05	73.03	45.85	49.56	51.35	61.68	35.76	77.79	45.21	45.85	35.5	52.08	43.94	41.81	50.98	43.94	45.53	29.7
HRASLS	21.78	0.97	28.86	6.41	4.54	7.06	2.07	111.21	19.11	82.87	116.78	173.85	84.63	58.3	135.24	237.86	287.01	108.14	78.89	202.66	72.52	22.59	43.94	144.01	105.15	105.89	301.33	96.68	54.72	239.52	9.63	92.7	182.55	75.64	55.1	63.89	55.89	43.32	140.04	363.56	131.51	176.29	232.94	41.81	267.73	181.28	186.4	180.02	217.27	87.65	187.71	124.37	208.38	88.26	297.17	100.13	211.31	373.81	180.02	244.57	19.53	267.73	101.54	21.32	180.02	289.02	85.22	107.38	84.63	89.51	92.7	21.32
HSD17B10	1199.98	551.56	854.13	896.64	848.22	934.76	567.1	1498.22	1313.23	1883.54	2047.0	3540.14	2739.08	1883.54	3018.3	3349.13	3146.52	3874.05	2061.24	2816.11	2075.59	1605.83	1457.23	3639.7	2335.28	3060.45	3081.75	3018.3	1540.37	4869.99	1628.26	2451.44	3467.27	2319.15	2701.35	1369.04	2400.97	2627.46	2997.45	5183.54	3190.46	2875.3	4152.18	1923.14	4268.94	3540.14	4152.18	3928.15	4095.0	2148.82	3124.78	2739.08	3874.05	2609.3	4903.87	2835.7	3146.52	4972.34	3212.66	4210.15	1437.15	3794.3	2255.7	1233.75	2895.31	3794.3	2335.28	3589.58	2148.82	2895.31	2956.17	1199.98
KIF9	193.01	52.08	82.87	88.88	101.54	108.14	246.28	830.75	708.18	518.15	633.73	2384.37	1143.1	738.29	723.08	1081.39	684.02	1304.15	1066.48	1388.16	1304.15	836.53	785.88	961.07	733.19	995.0	954.43	764.36	743.43	872.1	708.18	728.11	896.64	819.3	842.36	660.68	974.5	902.89	866.07	1662.49	1233.75	1457.23	947.83	607.87	941.27	915.51	854.13	934.76	995.0	769.69	1322.37	967.76	1023.0	1001.93	1572.76	759.08	981.29	921.88	928.3	884.29	571.05	1540.37	796.86	775.05	947.83	769.69	753.83	1059.11	854.13	909.17	1242.34	417.77
LAMTOR1	1457.23	1225.22	1745.2	2287.2	1359.57	1519.15	1721.16	3168.41	2255.7	3235.01	3280.18	5403.7	4671.57	2240.11	3874.05	5041.77	4607.24	5112.16	2468.49	5183.54	3768.09	3103.19	2367.9	4704.07	2739.08	4181.07	4388.98	4388.98	2004.85	5076.84	2061.24	4704.07	4512.4	4239.45	4481.23	2875.3	4298.64	4736.79	4095.0	4937.99	5711.87	4095.0	4769.75	2367.9	4575.41	3928.15	4607.24	4736.79	4639.29	3716.2	4268.94	4239.45	4836.35	3325.99	5479.15	3716.2	4152.18	4388.98	4972.34	5517.27	2645.74	5112.16	3146.52	3190.46	4358.66	4239.45	3540.14	5219.6	3589.58	3982.99	4358.66	1781.89
LSM3	142.01	108.14	132.44	140.04	108.14	159.9	124.37	253.23	234.57	279.14	343.89	559.28	470.14	209.84	414.87	392.44	323.03	460.44	258.57	493.56	239.52	267.73	256.78	389.72	327.56	309.83	417.77	353.59	232.94	403.5	218.79	363.56	412.0	387.02	348.71	231.32	384.34	373.81	379.04	450.94	463.65	389.72	417.77	262.2	392.44	320.8	356.05	493.56	409.15	320.8	339.14	348.71	429.54	283.05	525.39	363.56	327.56	571.05	414.87	395.18	224.97	423.61	299.25	307.69	400.71	397.93	318.57	470.14	312.0	414.87	476.71	228.13
MANBAL	947.83	536.45	1008.9	1088.92	830.75	947.83	698.41	1819.35	1561.89	1628.26	1477.58	2895.31	2133.97	1208.34	2163.77	2240.11	1857.6	2468.49	1427.22	2384.37	1340.84	1594.73	1447.15	2451.44	1369.04	2148.82	2075.59	2148.82	1388.16	2061.24	1216.75	2335.28	2417.67	2047.0	1936.53	1508.65	1857.6	2434.5	1883.54	2591.27	2777.33	2335.28	2468.49	1447.15	2193.99	2485.67	2104.58	2875.3	2240.11	1844.76	2255.7	2193.99	2287.2	1936.53	2367.9	2193.99	1857.6	2976.74	2148.82	2351.53	1561.89	2758.13	1909.85	1617.0	2004.85	2148.82	1857.6	2303.12	2004.85	2163.77	2384.37	1073.91
MDH1	1709.26	954.43	1167.14	1605.83	934.76	981.29	1870.53	2997.45	2335.28	2319.15	3212.66	4038.61	3467.27	1870.53	3257.52	3639.7	2956.17	3395.89	2645.74	3325.99	2451.44	1963.57	2417.67	3212.66	2335.28	3235.01	3982.99	3190.46	2047.0	4210.15	1457.23	3467.27	3564.78	2255.7	2758.13	2148.82	2609.3	2537.92	2758.13	3212.66	3303.0	2609.3	3742.05	2163.77	3491.39	3060.45	3349.13	3690.52	4358.66	2351.53	2835.7	2520.38	3540.14	2956.17	4066.71	3349.13	3540.14	3515.68	3419.52	4181.07	1870.53	3928.15	1883.54	2502.97	3039.3	3794.3	3124.78	3419.52	2627.46	2915.45	3419.52	1844.76
MINOS1	2148.82	1594.73	2555.58	3928.15	2451.44	2061.24	1685.71	2520.38	2004.85	2537.92	2178.83	4607.24	3280.18	2075.59	3168.41	4328.55	2609.3	3190.46	2502.97	4388.98	2384.37	1844.76	2133.97	3257.52	2664.15	2915.45	5329.3	2609.3	1794.29	5633.22	1844.76	4639.29	4268.94	2591.27	2255.7	2075.59	2537.92	3212.66	3039.3	4010.71	4903.87	2915.45	4736.79	2417.67	8538.88	2915.45	3060.45	6037.61	5633.22	2855.44	2485.67	2976.74	4481.23	2682.69	4736.79	3540.14	2855.44	6207.38	4123.49	6983.79	1936.53	4152.18	2119.22	2915.45	2555.58	4419.52	3716.2	4010.71	2537.92	3235.01	3768.09	2319.15
MIPEP	201.25	55.89	158.79	138.1	153.34	175.07	212.78	281.09	236.21	361.04	366.09	435.55	373.81	154.42	366.09	400.71	466.88	500.46	525.39	314.17	255.0	206.94	161.02	376.41	384.34	356.05	540.19	432.53	190.34	684.02	199.85	503.95	536.45	253.23	323.03	236.21	198.47	281.09	397.93	563.18	432.53	438.59	525.39	241.19	571.05	473.41	417.77	563.18	525.39	329.84	412.0	389.72	587.13	297.17	579.04	426.57	457.25	438.59	536.45	511.0	260.38	423.61	353.59	255.0	480.04	507.46	441.64	327.56	209.84	447.82	356.05	220.32
MRP63	190.34	149.12	175.07	221.86	127.0	119.26	143.01	514.56	423.61	579.04	483.38	909.17	775.05	323.03	642.59	620.67	518.15	921.88	567.1	866.07	540.19	470.14	555.41	595.34	551.56	656.11	708.18	713.11	368.65	587.13	314.17	616.37	612.11	638.15	688.78	500.46	791.35	780.44	679.29	759.08	738.29	607.87	733.19	454.09	753.83	607.87	599.49	854.13	825.0	642.59	738.29	599.49	830.75	547.75	878.17	476.71	486.75	915.51	620.67	536.45	420.68	785.88	480.04	529.06	698.41	616.37	595.34	660.68	507.46	708.18	813.63	463.65
MRPL12	540.19	389.72	361.04	429.54	536.45	454.09	318.57	599.49	559.28	703.28	540.19	1331.57	796.86	490.14	1119.56	1119.56	1030.12	1081.39	693.58	836.53	591.22	435.55	738.29	915.51	503.95	1015.93	1437.15	1259.69	723.08	2061.24	490.14	981.29	1044.52	738.29	866.07	759.08	759.08	909.17	981.29	1498.22	796.86	759.08	1437.15	738.29	2209.26	808.0	1397.83	1781.89	1447.15	728.11	934.76	825.0	1806.78	769.69	2018.8	791.35	954.43	1832.01	954.43	2319.15	571.05	1540.37	595.34	473.41	830.75	1359.57	981.29	995.0	708.18	921.88	1119.56	591.22
MRPL24	665.29	409.15	607.87	674.59	493.56	941.27	466.88	1477.58	1159.07	1467.37	974.5	2758.13	1769.57	1111.82	1662.49	1977.24	1605.83	2319.15	1529.73	1709.26	1268.46	974.5	1437.15	2224.63	1304.15	2032.85	2047.0	2018.8	928.3	3589.58	947.83	2178.83	2178.83	1794.29	1572.76	1225.22	1594.73	1844.76	2287.2	2335.28	2104.58	1447.15	2777.33	1001.93	3081.75	1769.57	2915.45	2520.38	2682.69	1781.89	1844.76	1709.26	2384.37	1745.2	2701.35	1806.78	1950.0	2224.63	1757.34	2997.45	1216.75	2434.5	1151.06	1519.15	1909.85	2148.82	1923.14	1832.01	1508.65	1909.85	1806.78	1233.75
MRPL27	599.49	567.1	595.34	723.08	525.39	698.41	540.19	1369.04	1340.84	1388.16	1331.57	2104.58	1529.73	1096.5	1605.83	2384.37	2061.24	1844.76	1487.87	1757.34	1073.91	1008.9	1498.22	1896.65	1199.98	1628.26	2209.26	1991.0	961.07	2976.74	842.36	2119.22	2104.58	1437.15	1467.37	1331.57	1277.29	1498.22	2061.24	2682.69	1806.78	1963.57	2720.15	1023.0	3325.99	1909.85	2609.3	2682.69	2935.74	1628.26	1628.26	1806.78	2739.08	1674.06	2573.36	1883.54	1757.34	2627.46	2193.99	2701.35	1159.07	2627.46	1313.23	1051.79	1769.57	2319.15	1991.0	1685.71	1651.0	1794.29	1844.76	967.76
MRPS17	150.17	128.79	138.1	69.52	75.11	127.89	76.17	173.85	139.07	229.72	228.13	285.03	275.28	150.17	277.2	281.09	264.03	185.11	142.01	244.57	141.02	108.14	251.48	239.52	198.47	223.41	301.33	241.19	193.01	351.14	182.55	244.57	314.17	185.11	195.72	175.07	204.07	157.68	273.37	376.41	208.38	258.57	343.89	182.55	299.25	223.41	341.51	412.0	320.8	175.07	255.0	246.28	343.89	173.85	420.68	281.09	226.54	285.03	221.86	339.14	146.03	320.8	180.02	221.86	246.28	285.03	190.34	229.72	206.94	241.19	217.27	201.25
MRPS28	656.11	371.22	241.19	483.38	379.04	518.15	723.08	1001.93	961.07	1295.13	1437.15	2133.97	1923.14	988.12	1529.73	1909.85	1745.2	1977.24	1417.35	1769.57	813.63	947.83	1151.06	1733.13	1167.14	1119.56	1794.29	1397.83	941.27	2148.82	629.35	1745.2	1963.57	1199.98	1216.75	1073.91	1015.93	1519.15	1617.0	2047.0	1467.37	1561.89	2119.22	995.0	2090.03	1617.0	1498.22	2287.2	2119.22	1167.14	1359.57	1628.26	2032.85	1540.37	2224.63	1617.0	1551.09	1857.6	1832.01	2047.0	890.44	2178.83	1242.34	1119.56	1551.09	1832.01	1605.83	1359.57	1508.65	1322.37	1651.0	974.5
MRPS33	423.61	332.14	406.31	432.53	281.09	277.2	543.96	1508.65	1143.1	1639.59	1923.14	3124.78	2758.13	974.5	1674.06	1551.09	1923.14	2271.4	1378.57	2417.67	1051.79	1295.13	1487.87	1794.29	1467.37	1794.29	2609.3	1378.57	954.43	2796.65	579.04	1870.53	2075.59	1540.37	1745.2	1233.75	1662.49	1923.14	2224.63	2303.12	2271.4	1651.0	2271.4	1059.11	2451.44	1857.6	1757.34	2739.08	2835.7	1697.45	1977.24	1551.09	2287.2	1519.15	2664.15	1794.29	1936.53	2163.77	2434.5	2555.58	981.29	3124.78	1540.37	1896.65	1709.26	2335.28	2032.85	2119.22	2303.12	1508.65	2193.99	902.89
MRPS7	559.28	490.14	551.56	688.78	579.04	629.35	607.87	1119.56	967.76	1159.07	1051.79	1447.15	1151.06	1015.93	1340.84	1594.73	1378.57	1340.84	836.53	1250.98	1295.13	961.07	1143.1	1388.16	1175.27	1322.37	1467.37	1304.15	967.76	2075.59	934.76	1340.84	1427.22	1216.75	1331.57	1044.52	1447.15	1340.84	1397.83	1709.26	1508.65	1369.04	1794.29	1143.1	1745.2	1605.83	1870.53	1605.83	1583.71	1225.22	1388.16	1487.87	1487.87	1159.07	1870.53	1561.89	1378.57	1844.76	1467.37	1870.53	921.88	1936.53	995.0	1015.93	1417.35	1498.22	1340.84	1628.26	1259.69	1369.04	1487.87	981.29
MTX1	414.87	336.79	460.44	769.69	412.0	366.09	283.05	698.41	647.07	813.63	819.3	1295.13	1111.82	848.22	1111.82	1135.2	1151.06	1268.46	988.12	961.07	769.69	669.92	764.36	1143.1	848.22	1088.92	1081.39	1119.56	759.08	1721.16	759.08	1167.14	1259.69	967.76	1088.92	684.02	954.43	1037.29	1127.35	1628.26	1143.1	1135.2	1519.15	842.36	1709.26	1175.27	1331.57	1529.73	1417.35	902.89	1044.52	1008.9	1674.06	1096.5	1628.26	1143.1	1127.35	1572.76	1051.79	1508.65	808.0	1594.73	995.0	599.49	1304.15	1304.15	1167.14	1044.52	842.36	1151.06	1135.2	540.19
NDUFA1	1977.24	1832.01	2384.37	1977.24	1909.85	1745.2	988.12	2163.77	2047.0	2895.31	3419.52	6983.79	4575.41	2855.44	3540.14	5954.47	3901.01	6121.9	3168.41	5329.3	3491.39	2855.44	2645.74	4481.23	3303.0	2935.74	4181.07	3690.52	2451.44	6426.31	1467.37	3742.05	4481.23	3443.31	3491.39	2485.67	4268.94	4543.8	3820.7	4181.07	4239.45	3768.09	6381.92	2816.11	8421.31	4328.55	4066.71	5594.3	7749.1	3443.31	4268.94	4358.66	4543.8	4239.45	5831.91	3742.05	3820.7	5329.3	5995.9	5751.61	2119.22	5441.3	2720.15	2915.45	3982.99	5403.7	3639.7	4736.79	2720.15	4419.52	5255.91	2367.9
NDUFA12	1208.34	1127.35	796.86	1059.11	693.58	759.08	1030.12	1923.14	1857.6	1963.57	2193.99	3820.7	2895.31	1896.65	2915.45	2935.74	2384.37	2816.11	2133.97	3515.68	2468.49	1896.65	2004.85	2468.49	2417.67	2287.2	3540.14	2895.31	1359.57	3467.27	1397.83	2777.33	3257.52	2351.53	1883.54	1757.34	2935.74	2555.58	2720.15	2895.31	3419.52	2451.44	3874.05	1909.85	4450.27	2895.31	2796.65	4450.27	4010.71	2319.15	2664.15	2739.08	4298.64	2591.27	4268.94	2384.37	2758.13	4239.45	3124.78	4328.55	2193.99	4671.57	2664.15	1950.0	2664.15	3665.02	2555.58	3303.0	2758.13	2758.13	3372.43	2451.44
NDUFA6	860.08	819.3	890.44	848.22	638.15	1651.0	647.07	1322.37	1051.79	1250.98	1277.29	2485.67	2075.59	1216.75	1757.34	2701.35	1781.89	2090.03	1225.22	1733.13	1551.09	1259.69	1167.14	2061.24	1277.29	1295.13	2047.0	1923.14	1073.91	3820.7	921.88	1991.0	1651.0	1369.04	1175.27	934.76	1487.87	1487.87	1697.45	1977.24	2047.0	2701.35	2417.67	1242.34	3768.09	1651.0	1844.76	2956.17	3103.19	2287.2	1529.73	1268.46	1832.01	1617.0	2758.13	1991.0	1529.73	4512.4	2119.22	2758.13	791.35	1963.57	1709.26	1639.59	1340.84	2502.97	2627.46	1977.24	1208.34	1977.24	2004.85	1051.79
NDUFA8	909.17	518.15	872.1	567.1	599.49	679.29	591.22	1175.27	961.07	1359.57	1259.69	2271.4	1832.01	842.36	1508.65	1883.54	1733.13	1991.0	1127.35	1745.2	995.0	718.08	1151.06	1639.59	1277.29	1721.16	2417.67	1936.53	1030.12	3124.78	723.08	1923.14	2090.03	1151.06	1447.15	1407.55	1295.13	1340.84	1819.35	2240.11	1551.09	1457.23	2451.44	1059.11	2976.74	1697.45	1963.57	2758.13	2875.3	1135.2	1605.83	1447.15	2400.97	1369.04	2573.36	1674.06	1628.26	2224.63	2209.26	2520.38	1175.27	2520.38	1304.15	1167.14	1540.37	2485.67	1498.22	1529.73	1457.23	1447.15	1605.83	1051.79
NDUFAB1	1119.56	713.11	1051.79	1001.93	1104.13	612.11	896.64	1909.85	1721.16	1447.15	1721.16	2777.33	2018.8	1304.15	2271.4	2319.15	2434.5	2240.11	1519.15	2061.24	1477.58	1277.29	1819.35	2287.2	1388.16	2004.85	3081.75	2119.22	1331.57	3372.43	1175.27	2018.8	2555.58	1378.57	1651.0	1628.26	1733.13	1794.29	2047.0	3103.19	1870.53	2090.03	2875.3	1583.71	2935.74	1991.0	2758.13	3564.78	3820.7	1697.45	2148.82	2018.8	3419.52	1883.54	4095.0	2209.26	2335.28	2645.74	2090.03	3768.09	1191.69	3190.46	1757.34	1208.34	2303.12	2701.35	1991.0	2255.7	1745.2	1806.78	2351.53	1467.37
NDUFB1	4123.49	3280.18	3690.52	4903.87	3467.27	2502.97	2701.35	5751.61	4704.07	5711.87	5872.48	12943.04	9025.81	5292.48	8901.53	10959.3	9474.59	8718.32	6426.31	9474.59	6121.9	5479.15	5183.54	9409.14	6337.83	6516.03	13306.94	7180.15	3820.7	13399.51	4010.71	6935.54	11504.21	5147.73	6840.04	4937.99	7589.61	7485.11	6699.25	12076.21	9540.5	8963.45	12676.65	4575.41	27745.15	8022.41	8479.89	16727.26	18950.18	8421.31	8363.13	6207.38	12943.04	6840.04	13123.73	5872.48	7485.11	20030.74	12076.21	14867.79	4937.99	12502.12	7966.99	6207.38	8305.36	11345.82	9279.58	10883.59	5366.37	9215.48	8305.36	5219.6
NDUFB10	1709.26	1119.56	1388.16	1950.0	1037.29	1159.07	1159.07	2537.92	2209.26	2451.44	2627.46	4903.87	4038.61	2032.85	3081.75	3768.09	3540.14	4010.71	2468.49	3874.05	2335.28	2209.26	2193.99	3103.19	2664.15	3794.3	3665.02	3564.78	1583.71	4671.57	1857.6	3639.7	4123.49	3716.2	3665.02	2384.37	3742.05	3794.3	3665.02	4066.71	4123.49	2855.44	4937.99	2224.63	5479.15	3794.3	3372.43	4903.87	4639.29	3280.18	3639.7	3168.41	4903.87	2835.7	5403.7	2609.3	3081.75	6381.92	4181.07	4802.93	2468.49	4937.99	2758.13	2384.37	3060.45	4543.8	3540.14	4095.0	2720.15	4328.55	4123.49	1870.53
NDUFB2	4298.64	2417.67	2520.38	3614.55	3168.41	3491.39	2351.53	11189.6	7589.61	9025.81	8421.31	25179.16	15824.9	8078.22	13306.94	18304.63	16843.62	16611.71	9215.48	14361.31	11112.3	5076.84	8363.13	13215.02	7433.4	13215.02	25887.07	14561.8	7695.57	25887.07	3874.05	18431.96	18819.27	9945.68	12943.04	9740.98	14461.21	14262.1	16157.44	23820.89	19348.38	12160.22	21320.18	6887.62	38430.46	14361.31	19618.49	32540.65	26248.46	11424.74	12160.22	13306.94	29327.18	12502.12	24832.5	14561.8	18689.27	23656.34	22225.61	28923.41	4937.99	22380.2	5555.65	8778.97	13399.51	18178.19	13586.57	23492.92	14065.74	12589.08	16611.71	6699.25
NDUFB3	1008.9	679.29	587.13	591.22	536.45	607.87	647.07	1286.18	1059.11	1304.15	1529.73	3665.02	2555.58	1127.35	1991.0	2417.67	2075.59	2758.13	1685.71	2758.13	1322.37	954.43	1216.75	1977.24	1417.35	1551.09	2537.92	2004.85	928.3	3103.19	665.29	2061.24	2384.37	1498.22	1651.0	1427.22	1721.16	1733.13	2090.03	2682.69	2400.97	1781.89	2816.11	1044.52	3467.27	1883.54	2193.99	3589.58	3395.89	1572.76	1709.26	1745.2	2573.36	2004.85	3280.18	1896.65	2047.0	2555.58	2417.67	3443.31	1059.11	2739.08	1175.27	1605.83	1781.89	2739.08	2018.8	2816.11	1617.0	1794.29	2485.67	1167.14
NDUFB6	854.13	293.07	417.77	441.64	376.41	497.0	540.19	974.5	878.17	941.27	1151.06	1883.54	1583.71	1051.79	1268.46	1551.09	1551.09	2061.24	1030.12	1467.37	902.89	808.0	902.89	1551.09	988.12	1277.29	1832.01	1487.87	866.07	1870.53	660.68	1467.37	1477.58	866.07	1073.91	872.1	1594.73	1167.14	1350.18	1733.13	1709.26	1359.57	1977.24	1111.82	2148.82	1322.37	1551.09	2400.97	2287.2	1216.75	1268.46	1250.98	2075.59	1208.34	2255.7	1378.57	1427.22	1806.78	1561.89	1806.78	624.99	1651.0	1008.9	854.13	1407.55	1359.57	1304.15	1540.37	1277.29	1191.69	1498.22	954.43
