	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.A2.A0EP.01A.52R.A22U.07	TCGA.A2.A0T5.01A.21R.A084.07	TCGA.B6.A0IQ.01A.11R.A034.07	TCGA.BH.A0B9.01A.11R.A056.07	TCGA.E2.A15J.01A.11R.A12P.07	TCGA.B6.A0X0.01A.21R.A115.07	TCGA.BH.A0E0.01A.11R.A056.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.AA.3675.01A.02R.0905.07	TCGA.AZ.6606.01A.11R.1839.07	TCGA.ZR.A9CJ.01B.11R.A38D.31	TCGA.D6.6827.01A.11R.1915.07	TCGA.2Z.A9JI.01A.11R.A42S.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	TCGA.86.8076.01A.31R.2241.07	TCGA.78.7162.01A.21R.2066.07	TCGA.55.6983.01A.11R.1949.07	TCGA.78.7158.01A.11R.2039.07	TCGA.37.A5EN.01A.21R.A26W.07	TCGA.AF.2693.01A.02R.1736.07	TCGA.E6.A2P9.01A.11R.A19W.07	TCGA.A5.AB3J.01A.11R.A40A.07
RPL26	81244.48	72715.74	165904.25	80683.28	100719.65	146444.06	152662.96	105727.15	63302.6	72715.74	88905.42	81244.48	40621.74	76861.91	66912.05	48643.87	80125.95	29943.43	46339.95	23330.64	26614.89	41188.81	28723.62	22535.88	33455.53	32540.65	28132.47	30785.28	28525.2	49666.0	37379.55	38164.99	27363.16	38966.94	29327.18	40062.48	29736.59	22225.61	37379.55	25708.25	29124.6	45386.27	38697.77	24660.96	41188.81	19618.49	40341.14	37379.55	41475.31	130165.62	59063.35	79572.48	111755.56	51062.33	60304.42	104996.83	90146.51
RPL27	85283.74	62865.33	81809.59	65082.31	68318.04	85876.94	81244.48	81809.59	51417.5	59887.86	99333.0	60723.88	53601.03	117311.73	104996.83	31215.04	47313.67	25708.25	37901.36	23986.58	20030.74	20881.4	21617.82	21617.82	31432.17	18950.18	27553.49	21320.18	26800.01	32994.92	29327.18	23169.48	17681.08	28525.2	23169.48	37639.55	29124.6	19082.0	29943.43	16960.78	18819.27	34635.37	32767.0	20593.91	38430.46	17317.18	33224.42	28328.16	24321.43	88905.42	56657.31	62431.08	84109.6	69753.56	71714.63	67846.12	66912.05
RPL27A	154794.07	83528.61	136637.07	145432.49	248002.34	102125.66	189257.69	185362.8	75280.1	81244.48	106462.55	61999.83	65990.84	241220.67	111755.56	42641.37	52863.07	32092.64	52863.07	22535.88	25530.66	26614.89	20310.37	22535.88	36106.23	27363.16	34876.28	26431.04	30151.71	28328.16	41763.8	26800.01	20170.07	39237.98	26800.01	40341.14	34635.37	26614.89	27174.14	25005.23	22225.61	30999.42	47313.67	24321.43	54349.29	21026.65	35856.82	46339.95	26986.43	109455.64	76330.98	88905.42	137587.47	76861.91	93974.69	161367.56	110216.97
RPL28	84694.64	73221.53	86474.27	85283.74	118949.35	71714.63	86474.27	130165.62	42054.3	56657.31	94628.34	66449.85	45386.27	90773.53	51775.15	26431.04	46019.85	15824.9	21320.18	15715.58	18304.63	14765.09	16045.82	13681.08	24832.5	13492.72	24660.96	16843.62	18178.19	19892.37	26248.46	20881.4	11112.3	21320.18	16960.78	26248.46	21026.65	20593.91	17927.91	12502.12	15392.14	28923.41	31215.04	18431.96	28923.41	9409.14	23330.64	34635.37	19754.96	97965.44	46019.85	59887.86	82951.62	37121.34	61146.25	91404.92	85283.74
RPL29	104271.56	50011.46	101420.22	71219.26	55877.28	99333.0	110216.97	71714.63	44761.41	45386.27	76861.91	50359.33	30999.42	103551.29	45701.96	35363.15	44145.15	28328.16	29124.6	22225.61	25530.66	18819.27	18431.96	16960.78	33224.42	21617.82	21919.61	20170.07	25005.23	30151.71	25887.07	35118.87	17437.64	30999.42	31215.04	26614.89	25179.16	20030.74	30999.42	20737.16	24153.43	33224.42	26986.43	23656.34	33688.23	15715.58	30572.63	32767.0	30151.71	75803.72	43537.38	42937.97	76861.91	39237.98	38430.46	82951.62	67377.47
RPL3	81809.59	75280.1	177811.84	76330.98	89523.81	134755.94	197294.7	81809.59	49322.93	63302.6	119776.72	73221.53	30785.28	165904.25	75280.1	44761.41	64632.75	35118.87	36357.37	28923.41	39785.74	24321.43	24321.43	20593.91	30361.44	27553.49	24660.96	28923.41	36106.23	33922.56	40904.3	30572.63	26248.46	44145.15	38164.99	47642.77	29327.18	26067.14	37901.36	31650.8	37379.55	44145.15	49322.93	48982.22	37379.55	19892.37	35609.13	30785.28	28132.47	130165.62	56265.94	85283.74	148488.36	57051.4	68318.04	128373.58	109455.64
RPL30	168220.2	67846.12	131071.0	114897.47	190574.09	100023.92	84694.64	139508.13	46662.28	55491.3	88905.42	74760.09	74243.68	127486.83	95286.54	47313.67	69271.73	43537.38	52497.92	30572.63	29531.18	52863.07	37379.55	26067.14	42054.3	37901.36	25354.3	36106.23	34876.28	40062.48	41475.31	38430.46	27745.15	40341.14	40621.74	60723.88	40904.3	20881.4	44761.41	31650.8	35363.15	67846.12	43537.38	32092.64	43840.21	21172.91	40062.48	47313.67	35609.13	95286.54	58655.36	60723.88	121448.75	65990.84	78476.96	82951.62	87681.42
RPL31	82378.63	101420.22	149521.18	115696.65	189257.69	124863.17	146444.06	109455.64	57847.82	73730.83	114103.8	86474.27	61571.56	162489.97	131982.68	68793.23	85283.74	49666.0	53973.86	46662.28	31870.96	34876.28	44452.21	33688.23	48982.22	41475.31	50359.33	39237.98	51417.5	58250.19	45386.27	42937.97	45701.96	47642.77	43236.64	64632.75	44145.15	29736.59	62865.33	37901.36	33688.23	63302.6	42346.82	29943.43	57448.23	34635.37	53601.03	60723.88	59474.18	120609.84	70238.75	110983.6	124863.17	80125.95	94628.34	126606.21	114103.8
RPL32	131071.0	66912.05	117311.73	75803.72	79572.48	100719.65	110983.6	87075.75	53973.86	64186.29	116501.39	59887.86	52863.07	125731.67	53973.86	44145.15	70238.75	34635.37	48307.85	31215.04	22692.63	33455.53	30361.44	21468.49	42641.37	28132.47	32994.92	24321.43	33224.42	40341.14	44452.21	36864.92	23009.42	36106.23	32092.64	49666.0	32092.64	23009.42	44452.21	25179.16	26248.46	52497.92	38430.46	27745.15	38966.94	22692.63	41188.81	40621.74	34635.37	99333.0	60723.88	58250.19	100719.65	49322.93	77934.88	92040.7	94628.34
RPL34	82951.62	69753.56	133825.1	59887.86	116501.39	93325.55	114897.47	69753.56	47974.16	57847.82	68793.23	55877.28	51062.33	110216.97	70238.75	42937.97	51775.15	30999.42	36357.37	23330.64	26067.14	23656.34	19482.97	17437.64	28723.62	26067.14	20310.37	21617.82	28723.62	37121.34	29124.6	25530.66	17317.18	27363.16	25005.23	31650.8	24832.5	23986.58	34396.12	17437.64	24321.43	38164.99	33688.23	22692.63	32540.65	17681.08	24490.61	29736.59	22850.48	95949.32	57847.82	72715.74	84109.6	42937.97	35609.13	95949.32	91404.92
RPL35	57051.4	59887.86	76861.91	135693.24	67846.12	53601.03	69753.56	73730.83	50709.61	45701.96	92680.9	58250.19	68318.04	89523.81	52863.07	23492.92	37639.55	20030.74	33455.53	21468.49	18431.96	14971.21	16045.82	15499.21	29531.18	14262.1	28923.41	14663.09	19482.97	23330.64	25887.07	24832.5	11664.82	19082.0	18819.27	21026.65	20310.37	23986.58	18950.18	11189.6	14461.21	28132.47	32767.0	23330.64	31870.96	17681.08	24321.43	27745.15	20310.37	79572.48	50709.61	53230.77	69271.73	59474.18	70727.3	65082.31	68793.23
RPL35A	65082.31	48643.87	89523.81	91404.92	128373.58	67846.12	78476.96	88291.3	35363.15	43840.21	66449.85	44761.41	32994.92	68318.04	69271.73	21617.82	31432.17	16611.71	20451.65	16383.0	14461.21	13586.57	12943.04	10883.59	19618.49	13776.25	12853.63	13215.02	18560.17	20310.37	18819.27	13399.51	11035.54	17437.64	14971.21	17927.91	15499.21	10585.95	15392.14	11345.82	11189.6	21617.82	19214.73	11584.24	20310.37	9474.59	15499.21	15075.35	13033.07	79022.82	39237.98	45386.27	75280.1	62865.33	51062.33	77396.54	61571.56
RPL36	49322.93	45072.75	66449.85	100719.65	50011.46	55877.28	59887.86	56657.31	29943.43	27363.16	80683.28	41188.81	19618.49	69753.56	54727.32	20170.07	24660.96	11827.67	18689.27	10883.59	12244.81	5147.73	9606.86	8247.98	15715.58	11745.96	12415.75	11827.67	11664.82	15934.98	16960.78	16157.44	7537.18	13586.57	12244.81	16045.82	13033.07	9945.68	13681.08	8778.97	9740.98	18950.18	21172.91	13399.51	17197.56	10368.08	13492.72	22380.2	11745.96	53230.77	18178.19	38164.99	55107.99	28132.47	42641.37	61146.25	63742.91
RPL36A	104271.56	57051.4	122293.5	155870.75	121448.75	87681.42	124000.67	154794.07	44761.41	46019.85	90773.53	72213.45	40621.74	107948.72	83528.61	25530.66	50709.61	11827.67	26614.89	10883.59	9088.59	11504.21	11424.74	8778.97	18304.63	10959.3	13586.57	10296.45	14867.79	22535.88	18560.17	16843.62	8598.28	21026.65	18819.27	21768.19	13586.57	12853.63	20310.37	9673.69	12676.65	22850.48	19482.97	12415.75	21172.91	9540.5	16611.71	15607.02	14361.31	81244.48	47642.77	69753.56	96616.71	72715.74	101420.22	65535.0	73730.83
RPL37	56657.31	70238.75	95949.32	177811.84	108699.57	87681.42	90146.51	109455.64	65990.84	55877.28	87075.75	59063.35	67846.12	134755.94	101420.22	45701.96	70238.75	29531.18	50709.61	26248.46	25887.07	27174.14	26986.43	14663.09	39510.91	26431.04	23656.34	25005.23	25530.66	38430.46	43537.38	35856.82	15715.58	37639.55	32540.65	55877.28	30572.63	31215.04	36610.26	23009.42	26248.46	46662.28	40621.74	36610.26	29736.59	16611.71	34635.37	36357.37	27174.14	118127.7	64186.29	82951.62	124863.17	61571.56	75280.1	92040.7	114103.8
RPL37A	142439.51	110216.97	156954.93	184082.4	194578.47	145432.49	158046.64	145432.49	81244.48	87681.42	156954.93	103551.29	77396.54	217400.14	164758.26	58655.36	106462.55	39237.98	78476.96	29736.59	36610.26	25530.66	33922.56	26431.04	60304.42	36106.23	54727.32	30999.42	50011.46	57051.4	53973.86	53230.77	27174.14	50359.33	57847.82	59887.86	46662.28	32540.65	39237.98	26800.01	26067.14	46339.95	49666.0	43236.64	65535.0	24321.43	59474.18	70727.3	36610.26	174152.51	127486.83	134755.94	207103.59	105727.15	121448.75	142439.51	143430.26
RPL38	104996.83	48643.87	65535.0	112532.89	105727.15	65535.0	71219.26	85283.74	32092.64	46986.85	73730.83	47313.67	57847.82	93325.55	107948.72	26800.01	42346.82	18304.63	30999.42	18431.96	14361.31	22850.48	21468.49	15180.22	27363.16	19348.38	20030.74	16727.26	15499.21	26614.89	26800.01	27745.15	14361.31	26431.04	20593.91	25887.07	21468.49	21172.91	23986.58	16269.83	19214.73	29943.43	31870.96	23330.64	26067.14	13306.94	24490.61	25530.66	22692.63	67377.47	42641.37	44761.41	61146.25	61146.25	56657.31	57448.23	67846.12
RPL39	233003.78	102125.66	176583.6	267651.2	440870.9	128373.58	140478.49	269512.87	82378.63	93325.55	139508.13	101420.22	54349.29	171754.88	172949.54	48982.22	93325.55	49322.93	73221.53	80125.95	38164.99	65082.31	59063.35	39785.74	52497.92	40062.48	53601.03	37379.55	94628.34	55491.3	44761.41	47974.16	35118.87	60304.42	51417.5	52135.28	49666.0	35856.82	60304.42	32092.64	29124.6	62865.33	66449.85	35118.87	65535.0	36610.26	60723.88	77396.54	40341.14	145432.49	80683.28	138544.47	159145.95	101420.22	159145.95	126606.21	110216.97
RPL4	61999.83	61146.25	112532.89	70238.75	89523.81	116501.39	108699.57	83528.61	51062.33	68793.23	124000.67	76330.98	44452.21	172949.54	53973.86	34396.12	72715.74	32092.64	37901.36	32315.87	24321.43	42346.82	25354.3	20170.07	31650.8	25005.23	24490.61	27553.49	28525.2	35118.87	37639.55	30361.44	23169.48	42937.97	33922.56	44145.15	35856.82	32994.92	33224.42	29943.43	30572.63	60304.42	33922.56	32540.65	33455.53	16045.82	37639.55	27938.14	41475.31	108699.57	60304.42	51062.33	113315.62	73730.83	105727.15	95949.32	91404.92
RPL41	155870.75	108699.57	144427.91	118127.7	162489.97	148488.36	174152.51	83528.61	73221.53	90146.51	158046.64	103551.29	81809.59	163620.18	115696.65	60723.88	87681.42	52497.92	86474.27	44145.15	52863.07	39510.91	52135.28	34635.37	56265.94	46019.85	47974.16	46339.95	67846.12	50011.46	59063.35	42937.97	34158.52	72213.45	55491.3	75803.72	57448.23	29943.43	55877.28	38697.77	32092.64	63302.6	74243.68	65082.31	51417.5	24490.61	59887.86	58655.36	38164.99	152662.96	75803.72	107203.06	141455.6	117311.73	117311.73	99333.0	88291.3
RPL5	32994.92	34396.12	64186.29	59887.86	95949.32	53230.77	48982.22	53973.86	28923.41	36357.37	71714.63	37121.34	29736.59	66912.05	34158.52	19082.0	30361.44	14163.58	16269.83	11745.96	11035.54	19618.49	11909.94	8538.88	13586.57	12676.65	10368.08	11827.67	13968.57	19348.38	16727.26	13492.72	10512.82	16496.96	15180.22	15392.14	15607.02	11424.74	13399.51	10733.74	15285.81	23330.64	13968.57	10733.74	15715.58	7642.41	14361.31	13968.57	13968.57	56265.94	33688.23	37901.36	68318.04	25530.66	52863.07	42937.97	54349.29
RPL6	40062.48	51775.15	74243.68	65082.31	92040.7	50709.61	54727.32	55491.3	33224.42	45072.75	53973.86	42054.3	37901.36	87681.42	65535.0	22225.61	41475.31	20030.74	25354.3	17927.91	13968.57	24832.5	17197.56	16045.82	20737.16	16383.0	18689.27	13681.08	19482.97	23492.92	22692.63	18819.27	15607.02	20737.16	17927.91	21172.91	18431.96	18950.18	18689.27	14561.8	13492.72	29531.18	20881.4	13586.57	25708.25	12764.83	25005.23	22380.2	22380.2	58655.36	36864.92	36357.37	70238.75	34158.52	48643.87	57051.4	56657.31
RPL7	139508.13	60304.42	179048.63	62431.08	124863.17	185362.8	118127.7	97965.44	41475.31	64632.75	87075.75	84694.64	52863.07	105727.15	90773.53	40904.3	84109.6	28328.16	40904.3	28328.16	24832.5	45701.96	31650.8	21768.19	26248.46	29736.59	22225.61	25530.66	40621.74	39510.91	34635.37	26614.89	24660.96	38697.77	35363.15	38430.46	32092.64	13215.02	38697.77	26800.01	25530.66	57448.23	33688.23	23169.48	31650.8	16611.71	37901.36	31215.04	38697.77	102125.66	50359.33	57051.4	107203.06	48307.85	68793.23	83528.61	74760.09
RPL7A	68318.04	60723.88	121448.75	91404.92	75803.72	117311.73	148488.36	70727.3	50011.46	56657.31	111755.56	63742.91	48307.85	125731.67	50709.61	26248.46	46019.85	17558.94	27938.14	16269.83	14971.21	16157.44	16727.26	10883.59	24321.43	14561.8	24490.61	15180.22	22850.48	26248.46	25887.07	21026.65	15075.35	25005.23	21768.19	25530.66	21320.18	18304.63	20310.37	15180.22	15824.9	28132.47	29531.18	23009.42	26067.14	11267.44	27174.14	29736.59	21172.91	88905.42	56657.31	69271.73	107948.72	55877.28	79572.48	107203.06	92040.7
RPL8	254974.66	72715.74	150561.19	101420.22	134755.94	136637.07	118949.35	161367.56	52135.28	62431.08	115696.65	77396.54	69271.73	132900.7	118127.7	32315.87	59063.35	22225.61	36610.26	19082.0	19482.97	12076.21	20030.74	11992.79	33224.42	16269.83	31650.8	17437.64	38430.46	40904.3	44145.15	25708.25	17681.08	23330.64	23009.42	46019.85	28723.62	22380.2	30361.44	13872.08	20737.16	46662.28	46662.28	22380.2	32994.92	14065.74	38164.99	37379.55	21320.18	139508.13	79572.48	87075.75	160252.91	81244.48	87075.75	80683.28	100719.65
RPL9	138544.47	46986.85	73221.53	60304.42	99333.0	61999.83	67846.12	90146.51	30151.71	44452.21	81244.48	34158.52	36864.92	69753.56	39237.98	21919.61	32315.87	17681.08	29943.43	30151.71	21026.65	26614.89	12764.83	11584.24	21468.49	13123.73	19618.49	17927.91	23009.42	25530.66	22850.48	18304.63	15499.21	15934.98	18304.63	36864.92	15285.81	17197.56	22850.48	13306.94	14765.09	24660.96	17197.56	18304.63	25708.25	14765.09	22535.88	26614.89	18560.17	75280.1	50011.46	49666.0	53601.03	57051.4	52497.92	49322.93	86474.27
RPLP0	87681.42	70238.75	121448.75	110983.6	175363.84	94628.34	165904.25	97965.44	53230.77	72213.45	128373.58	71219.26	51775.15	182810.84	104271.56	23986.58	68318.04	28132.47	40341.14	25179.16	25354.3	23009.42	24321.43	18689.27	27938.14	17558.94	36864.92	16960.78	46986.85	29531.18	47313.67	22850.48	17558.94	24490.61	30572.63	38430.46	32315.87	26986.43	31650.8	15285.81	23986.58	61146.25	51062.33	25708.25	33688.23	14867.79	36357.37	20310.37	25708.25	114103.8	54349.29	84694.64	132900.7	68793.23	103551.29	107203.06	99333.0
RPLP1	100719.65	85283.74	123144.13	92040.7	118127.7	127486.83	169390.27	113315.62	70238.75	69753.56	125731.67	57847.82	50709.61	154794.07	82378.63	34876.28	54349.29	29531.18	47642.77	19482.97	19214.73	12076.21	28525.2	21617.82	40341.14	20593.91	41188.81	18304.63	48982.22	43236.64	38430.46	33922.56	17197.56	28723.62	38697.77	33922.56	23986.58	29124.6	38966.94	19618.49	20310.37	35609.13	40621.74	29943.43	56657.31	22535.88	34876.28	46019.85	20310.37	109455.64	59887.86	80683.28	97288.74	116501.39	93325.55	96616.71	130165.62
RPLP2	102125.66	56265.94	57051.4	96616.71	103551.29	55491.3	107203.06	120609.84	32767.0	46986.85	72213.45	40904.3	37379.55	138544.47	73221.53	22072.07	38966.94	17927.91	31650.8	18431.96	11584.24	10959.3	19618.49	11827.67	27938.14	14765.09	19892.37	16611.71	18689.27	19618.49	22380.2	18304.63	9606.86	22535.88	21172.91	28132.47	22072.07	13306.94	18819.27	14461.21	14461.21	28132.47	22072.07	14262.1	26431.04	12415.75	26986.43	31650.8	15180.22	60723.88	27745.15	48982.22	61571.56	32767.0	61146.25	45701.96	58250.19
RPS10	55877.28	50709.61	62865.33	79572.48	107203.06	58250.19	78476.96	79572.48	38966.94	45072.75	82951.62	42937.97	56657.31	90146.51	34396.12	20030.74	40341.14	19082.0	26614.89	13123.73	13968.57	10959.3	13399.51	13123.73	20170.07	11827.67	23009.42	12764.83	20881.4	19214.73	19482.97	15715.58	10585.95	17558.94	18431.96	21617.82	17197.56	11345.82	20451.65	9088.59	10296.45	20030.74	25887.07	15824.9	26248.46	9808.75	24153.43	26614.89	17804.06	69271.73	52863.07	40904.3	93325.55	29736.59	89523.81	56265.94	64186.29
RPS11	119776.72	101420.22	132900.7	182810.84	152662.96	107948.72	139508.13	151608.43	78476.96	72213.45	124863.17	102125.66	46019.85	180294.02	68793.23	50359.33	77934.88	42346.82	66449.85	37901.36	38164.99	33922.56	36610.26	28328.16	53601.03	33224.42	47642.77	31650.8	48643.87	47642.77	47974.16	42641.37	27174.14	41763.8	40621.74	56265.94	42346.82	24321.43	47642.77	28923.41	29327.18	52497.92	46662.28	32092.64	55877.28	29943.43	50709.61	65082.31	33688.23	131982.68	85876.94	100023.92	132900.7	57051.4	99333.0	150561.19	124000.67
RPS12	67846.12	70238.75	102125.66	117311.73	211455.3	97965.44	105727.15	122293.5	45701.96	70238.75	102125.66	58250.19	61571.56	116501.39	55877.28	28923.41	76861.91	26431.04	52497.92	26067.14	17317.18	20881.4	25530.66	16157.44	30999.42	15392.14	34876.28	17927.91	33922.56	27938.14	37639.55	19482.97	15499.21	31650.8	28525.2	27363.16	30999.42	15075.35	30785.28	16269.83	17317.18	46339.95	38697.77	20030.74	42641.37	16611.71	41763.8	41188.81	28525.2	121448.75	46662.28	51775.15	53230.77	60723.88	44452.21	73730.83	59887.86
RPS13	58655.36	36357.37	51417.5	35118.87	87681.42	48307.85	74760.09	61571.56	26067.14	34635.37	54727.32	31432.17	27745.15	112532.89	50709.61	21172.91	34396.12	19348.38	21468.49	17317.18	14361.31	23492.92	16269.83	14361.31	19082.0	14262.1	15499.21	14663.09	20451.65	20030.74	20170.07	17681.08	12943.04	17804.06	16383.0	25708.25	17804.06	12160.22	21468.49	11992.79	15180.22	24832.5	19214.73	11345.82	21768.19	11504.21	18304.63	21172.91	20310.37	42346.82	28525.2	28923.41	46662.28	23986.58	38164.99	35609.13	51775.15
RPS14	73221.53	51062.33	74760.09	78476.96	100023.92	75280.1	74760.09	65082.31	37121.34	38430.46	77934.88	55491.3	34876.28	76330.98	73221.53	33455.53	43840.21	15075.35	23169.48	12160.22	26248.46	16157.44	15824.9	12244.81	20030.74	16611.71	19214.73	20451.65	20737.16	26248.46	18431.96	25354.3	13306.94	25005.23	21919.61	17197.56	16611.71	16157.44	17437.64	13492.72	19082.0	29124.6	23656.34	23009.42	24832.5	12764.83	22225.61	22692.63	19892.37	48982.22	44452.21	57847.82	59474.18	32767.0	51775.15	54349.29	57448.23
RPS15A	77934.88	73221.53	167058.21	98646.85	158046.64	114103.8	125731.67	73221.53	44145.15	61999.83	73730.83	51062.33	53230.77	100719.65	74760.09	31215.04	42054.3	27745.15	36357.37	20310.37	23330.64	25887.07	19618.49	18819.27	25179.16	23009.42	23330.64	23656.34	26431.04	28328.16	25005.23	25179.16	19754.96	25179.16	24153.43	30572.63	24490.61	15075.35	31870.96	17437.64	19082.0	28132.47	31870.96	21768.19	30999.42	18689.27	27745.15	30785.28	22692.63	84694.64	51417.5	59887.86	79022.82	65082.31	66449.85	73730.83	70238.75
RPS16	70727.3	61999.83	85876.94	89523.81	82378.63	82378.63	79022.82	128373.58	50359.33	46019.85	104996.83	76330.98	50709.61	127486.83	57448.23	32092.64	67846.12	20737.16	32540.65	17804.06	19482.97	19082.0	22225.61	16269.83	29736.59	20310.37	28923.41	21320.18	24660.96	34158.52	33455.53	24490.61	16045.82	26067.14	25887.07	34876.28	24832.5	20030.74	21172.91	16727.26	20030.74	38164.99	36357.37	21768.19	33922.56	15285.81	29327.18	32540.65	26800.01	92040.7	57051.4	64186.29	79572.48	32540.65	73221.53	62431.08	82378.63
RPS18	215898.44	122293.5	322736.12	267651.2	378516.38	254974.66	334117.42	290865.98	88905.42	124000.67	267651.2	124000.67	123144.13	299043.36	114103.8	59063.35	116501.39	43840.21	74243.68	34396.12	29124.6	18819.27	27174.14	21172.91	42346.82	27938.14	40904.3	31870.96	46019.85	46339.95	51417.5	30151.71	25708.25	31215.04	42937.97	65990.84	29531.18	25354.3	62865.33	26800.01	24490.61	69753.56	57847.82	39510.91	51775.15	21617.82	50359.33	65535.0	34635.37	204252.32	153724.82	112532.89	378516.38	93974.69	205673.01	176583.6	175363.84
RPS2	118127.7	81809.59	231394.29	113315.62	161367.56	174152.51	217400.14	131982.68	57448.23	84694.64	132900.7	79572.48	71219.26	141455.6	85283.74	30151.71	68318.04	27745.15	30151.71	26614.89	17078.76	13586.57	19892.37	11504.21	30151.71	12329.98	47642.77	13586.57	37901.36	26431.04	47313.67	22072.07	13586.57	28525.2	25708.25	30361.44	26248.46	25530.66	20170.07	14867.79	17927.91	45386.27	38430.46	21768.19	32315.87	18431.96	37379.55	50709.61	20170.07	138544.47	59474.18	94628.34	149521.18	92680.9	98646.85	124863.17	91404.92
RPS21	102125.66	66449.85	94628.34	135693.24	155870.75	78476.96	86474.27	149521.18	57051.4	48982.22	128373.58	82378.63	67377.47	220434.95	97288.74	31650.8	49322.93	31650.8	36357.37	26248.46	21768.19	16383.0	25005.23	17437.64	34876.28	17078.76	36106.23	22380.2	32315.87	31870.96	32994.92	27553.49	16269.83	23656.34	26986.43	42054.3	28328.16	12329.98	26986.43	14867.79	15934.98	40621.74	38966.94	13492.72	39785.74	17437.64	31650.8	42937.97	25179.16	87681.42	53601.03	63742.91	87075.75	79572.48	125731.67	89523.81	89523.81
RPS23	95286.54	77934.88	131071.0	104996.83	82951.62	82378.63	92680.9	103551.29	72715.74	65990.84	112532.89	103551.29	63302.6	155870.75	141455.6	51062.33	71714.63	30151.71	48643.87	28328.16	25887.07	35118.87	34396.12	32540.65	41188.81	35856.82	30785.28	27745.15	36610.26	45386.27	41763.8	33688.23	26986.43	36357.37	39237.98	37639.55	36864.92	17197.56	48643.87	29531.18	35609.13	54727.32	35609.13	25708.25	46986.85	22380.2	39785.74	42054.3	40904.3	92040.7	69271.73	80683.28	93974.69	51062.33	86474.27	108699.57	107948.72
RPS24	158046.64	101420.22	198667.0	146444.06	365622.68	172949.54	198667.0	237899.7	93325.55	99333.0	103551.29	109455.64	99333.0	154794.07	187950.38	63302.6	111755.56	46019.85	66449.85	37901.36	26431.04	60723.88	47974.16	37379.55	60304.42	39785.74	66912.05	35856.82	52863.07	56657.31	61146.25	46662.28	38966.94	54349.29	48982.22	65535.0	46662.28	33922.56	65082.31	35118.87	32315.87	76330.98	65082.31	35118.87	67377.47	40621.74	60723.88	62865.33	46986.85	228208.61	110983.6	110216.97	155870.75	102125.66	126606.21	215898.44	132900.7
RPS25	29736.59	30785.28	51062.33	46339.95	80125.95	47642.77	79572.48	51775.15	21468.49	30151.71	38966.94	25708.25	23492.92	91404.92	28923.41	19214.73	26800.01	15285.81	18819.27	12589.08	12076.21	15715.58	13215.02	12415.75	16045.82	11189.6	12853.63	11992.79	14163.58	14971.21	16269.83	13968.57	10659.59	12943.04	13492.72	16157.44	14461.21	11424.74	13123.73	10512.82	10883.59	19754.96	20310.37	12589.08	18052.61	8658.09	14262.1	13681.08	13033.07	40621.74	31650.8	32092.64	44761.41	26067.14	22225.61	37379.55	42641.37
RPS27	239554.43	195931.88	394590.4	207103.59	459592.86	348306.01	365622.68	440870.9	134755.94	136637.07	305326.92	198667.0	125731.67	462789.59	177811.84	81244.48	136637.07	65990.84	94628.34	52135.28	64632.75	87075.75	45072.75	51062.33	52863.07	52863.07	77934.88	47974.16	56265.94	81244.48	54727.32	59474.18	43537.38	47642.77	51775.15	72213.45	49322.93	38966.94	62431.08	32540.65	30999.42	56657.31	80125.95	41475.31	78476.96	44761.41	61571.56	92040.7	52497.92	292889.12	169390.27	191899.64	363097.14	168220.2	172949.54	305326.92	262143.0
