	GTEX.13G51.2126.SM.5IJD9	GTEX.YJ8O.1426.SM.5PNV9	GTEX.139TS.2226.SM.5J2N1	GTEX.131YS.2926.SM.5EGKI	GTEX.ZPU1.1726.SM.4WWFV	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y8LW.1226.SM.4WWDP	GTEX.R55G.1226.SM.48FDC	GTEX.1212Z.1826.SM.5FQSH	GTEX.14E6E.1726.SM.5S2R6	GTEX.11ZTT.1626.SM.5EQKR	GTEX.117XS.2226.SM.5GIE1	GTEX.ZTSS.1226.SM.51MSZ	GTEX.ZP4G.1526.SM.57WE5	GTEX.13CF2.1826.SM.5N9GK	GTEX.OXRL.1426.SM.3NM9E	GTEX.11P81.1426.SM.5P9JN	GTEX.WHPG.1626.SM.4M1ZL	GTEX.X15G.1526.SM.4PQZM	GTEX.YECK.2826.SM.5IFHF	GTEX.13O21.2426.SM.5MR4A	GTEX.147JS.2626.SM.5S2UX	GTEX.11P7K.1826.SM.5HL5A	GTEX.1399R.2126.SM.5K7WZ	GTEX.1399U.2226.SM.5KLZI	GTEX.11EMC.1426.SM.5N9E4	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.11GS4.1826.SM.5HL4T	GTEX.13OW6.2226.SM.5N9FL	GTEX.139UW.2326.SM.5KM1Y	GTEX.ZT9W.1726.SM.51MS3	GTEX.ZVT2.1726.SM.51MRO	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.ZDTS.2726.SM.5L3E2	GTEX.132NY.2726.SM.5PNY2	GTEX.ZPCL.1626.SM.57WGC	GTEX.12WSJ.0826.SM.5PNWV	GTEX.YJ8O.0326.SM.5RQJW	GTEX.Y111.1826.SM.4SOIR	GTEX.13OVL.2726.SM.5J2MP	GTEX.Y111.1726.SM.4SOIQ	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.13QJ3.1826.SM.5S2PT	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.WZTO.1526.SM.4PQYQ	TCGA.AK.3447.01A.01R.1766.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.Y9LG.1826.SM.4VBQC	GTEX.11TUW.2126.SM.5GU7B	GTEX.13CF2.2426.SM.5LZYL	GTEX.QXCU.1926.SM.48FE4	GTEX.R55G.1626.SM.48FF4
L3MBTL1	121.79	291.04	255.0	206.94	224.97	111.99	90.77	41.52	260.38	112.77	63.45	154.42	22.43	106.63	269.6	111.21	102.97	150.17	241.19	204.07	42.11	256.78	64.8	138.1	26.67	226.54	158.79	133.36	255.0	167.9	35.76	24.63	275.28	157.68	37.59	138.1	33.06	44.25	348.71	420.68	397.93	432.53	591.22	698.41	633.73	447.82	395.18	575.03	651.58	463.65	19.97	118.43	78.89	104.42	25.17	69.03	28.86
LRIT3	5.36	5.45	3.26	3.23	1.64	2.25	1.38	1.14	3.38	2.03	1.64	6.26	3.17	5.59	4.74	3.5	1.69	2.56	4.21	2.63	2.73	5.87	1.87	1.31	0.74	7.22	2.29	7.22	11.21	4.54	4.03	4.98	3.72	5.87	1.35	2.29	2.27	0.62	12.27	13.42	15.45	11.04	23.08	19.97	8.71	12.09	9.7	17.51	14.78	13.72	14.03	1.64	1.46	1.87	1.5	0.47	1.79
MADD	473.41	860.08	796.86	836.53	603.67	555.41	435.55	540.19	780.44	473.41	470.14	854.13	293.07	642.59	775.05	624.99	543.96	493.56	708.18	723.08	764.36	1051.79	356.05	607.87	305.55	890.44	642.59	563.18	698.41	480.04	384.34	429.54	909.17	708.18	318.57	607.87	466.88	269.6	1127.35	1175.27	854.13	1167.14	1088.92	1322.37	1159.07	967.76	921.88	1183.45	1127.35	1397.83	33.06	703.28	647.07	447.82	432.53	414.87	297.17
MAFK	848.22	1350.18	2018.8	1721.16	813.63	947.83	728.11	497.0	1417.35	638.15	543.96	1508.65	808.0	813.63	1757.34	759.08	656.11	813.63	1628.26	1457.23	591.22	1447.15	802.41	791.35	559.28	2240.11	1295.13	988.12	1639.59	1936.53	624.99	723.08	1909.85	1870.53	2133.97	1369.04	860.08	532.74	2104.58	3419.52	3349.13	3820.7	2148.82	3325.99	2537.92	2468.49	2224.63	3124.78	2682.69	2148.82	78.34	435.55	412.0	591.22	1066.48	1023.0	197.09
MAST2	698.41	780.44	947.83	981.29	775.05	825.0	688.78	1721.16	1023.0	688.78	633.73	947.83	417.77	567.1	902.89	567.1	518.15	656.11	954.43	813.63	1781.89	896.64	665.29	665.29	532.74	1143.1	1059.11	947.83	974.5	1030.12	775.05	457.25	1191.69	1175.27	1037.29	1001.93	728.11	599.49	1111.82	1561.89	1135.2	1651.0	1151.06	1259.69	1313.23	1127.35	1259.69	1617.0	1037.29	1322.37	15.45	356.05	314.17	346.29	1250.98	483.38	470.14
MBD1	866.07	1023.0	1015.93	1030.12	1127.35	947.83	902.89	703.28	878.17	738.29	848.22	878.17	400.71	813.63	1073.91	890.44	836.53	842.36	1259.69	825.0	728.11	1159.07	713.11	1044.52	603.67	1111.82	1313.23	808.0	1001.93	791.35	483.38	387.02	1015.93	902.89	679.29	813.63	679.29	480.04	1037.29	1322.37	981.29	1259.69	1331.57	1378.57	1447.15	1015.93	1242.34	1407.55	1561.89	1397.83	151.22	723.08	813.63	764.36	476.71	1119.56	466.88
MCM9	166.73	224.97	165.57	133.36	170.25	164.42	153.34	155.5	211.31	166.73	228.13	134.3	88.88	93.35	201.25	109.66	171.45	117.6	137.14	115.16	152.28	157.68	103.69	181.28	73.03	190.34	209.84	138.1	187.71	140.04	81.71	84.63	164.42	166.73	66.65	152.28	69.52	77.25	187.71	217.27	183.82	156.59	204.07	186.4	226.54	221.86	157.68	212.78	197.09	172.65	10.79	172.65	193.01	167.9	84.04	176.29	56.68
MEF2B	63.89	60.82	212.78	100.83	34.26	34.51	28.45	27.44	67.12	23.25	53.95	181.28	49.56	15.68	141.02	100.83	28.24	52.45	79.45	133.36	30.12	120.94	11.82	87.65	32.36	94.67	117.6	64.34	244.57	30.12	20.11	34.75	85.82	269.6	66.18	86.43	27.44	15.68	93.35	142.01	120.1	152.28	177.53	154.42	116.78	147.06	143.01	178.77	85.82	158.79	0.0	85.22	87.65	69.03	45.85	91.41	20.56
METTL17	1191.69	1757.34	1806.78	1721.16	1277.29	1088.92	896.64	1477.58	1733.13	688.78	884.29	1397.83	915.51	1407.55	1909.85	1096.5	693.58	1015.93	1806.78	1662.49	2133.97	1369.04	941.27	733.19	728.11	1769.57	1127.35	1143.1	1857.6	1437.15	1127.35	1487.87	1508.65	1617.0	559.28	1127.35	1008.9	1008.9	1963.57	2384.37	2240.11	2895.31	2367.9	2720.15	2434.5	1819.35	2720.15	2004.85	2434.5	2193.99	902.89	954.43	1037.29	463.65	612.11	629.35	620.67
MINK1	896.64	1340.84	1519.15	1388.16	1233.75	1001.93	896.64	2417.67	1397.83	825.0	1037.29	1437.15	629.35	1059.11	1594.73	1044.52	1008.9	1044.52	1447.15	1388.16	3124.78	1628.26	775.05	1015.93	674.59	1498.22	1295.13	1208.34	1350.18	1044.52	759.08	748.61	1745.2	1313.23	785.88	1199.98	769.69	500.46	1529.73	1769.57	1378.57	1819.35	1721.16	1844.76	1745.2	1519.15	1605.83	1674.06	1806.78	2163.77	77.79	974.5	656.11	1242.34	1295.13	1340.84	363.56
MKNK1	780.44	1551.09	1191.69	1233.75	1378.57	954.43	860.08	753.83	1350.18	813.63	808.0	1111.82	616.37	1008.9	1674.06	890.44	660.68	884.29	967.76	1457.23	713.11	1143.1	791.35	780.44	607.87	1143.1	753.83	1250.98	1277.29	802.41	733.19	713.11	1313.23	1037.29	559.28	1225.22	669.92	633.73	1225.22	1427.22	1437.15	1529.73	1331.57	1551.09	1340.84	1242.34	1417.35	1378.57	1594.73	1685.71	316.37	395.18	470.14	295.11	490.14	718.08	277.2
MROH1	217.27	275.28	368.65	305.55	299.25	220.32	215.77	591.22	258.57	218.79	197.09	244.57	85.22	260.38	336.79	236.21	241.19	237.86	376.41	327.56	688.78	366.09	144.01	199.85	132.44	366.09	295.11	220.32	295.11	265.87	132.44	91.41	351.14	212.78	239.52	264.03	193.01	111.99	356.05	536.45	356.05	583.07	420.68	551.56	543.96	441.64	435.55	559.28	543.96	521.76	105.15	400.71	283.05	406.31	139.07	363.56	77.25
MRPS25	1304.15	2434.5	2119.22	1896.65	1216.75	1081.39	1250.98	1594.73	2573.36	1397.83	1233.75	1883.54	1340.84	1313.23	3060.45	1388.16	819.3	1208.34	1721.16	2255.7	1923.14	2209.26	1066.48	1119.56	1111.82	2209.26	1950.0	1977.24	2417.67	1950.0	1322.37	1551.09	2163.77	2417.67	1250.98	1322.37	1088.92	1477.58	2451.44	2997.45	3564.78	3928.15	2875.3	3716.2	3212.66	2816.11	3081.75	3146.52	2777.33	2739.08	1923.14	1081.39	961.07	698.41	1208.34	796.86	669.92
MTMR11	759.08	1208.34	1242.34	1135.2	684.02	753.83	1191.69	4836.35	954.43	514.56	503.95	1277.29	312.0	769.69	1208.34	813.63	718.08	836.53	1199.98	1143.1	5995.9	1295.13	718.08	665.29	387.02	1151.06	1167.14	981.29	1397.83	764.36	444.72	503.95	1819.35	1008.9	665.29	961.07	571.05	149.12	1551.09	954.43	1037.29	974.5	1143.1	1388.16	1295.13	1073.91	1233.75	1498.22	1250.98	1175.27	12.45	55.89	77.25	92.7	256.78	172.65	123.5
MYO19	368.65	540.19	470.14	493.56	379.04	381.68	412.0	866.07	587.13	320.8	346.29	414.87	241.19	403.5	603.67	473.41	341.51	395.18	511.0	595.34	1001.93	470.14	269.6	253.23	249.73	563.18	620.67	429.54	603.67	417.77	299.25	339.14	435.55	575.03	277.2	503.95	242.88	287.01	802.41	928.3	660.68	884.29	819.3	1015.93	848.22	591.22	928.3	718.08	836.53	967.76	260.38	279.14	205.5	420.68	454.09	909.17	208.38
NEK9	1008.9	1001.93	1037.29	902.89	988.12	947.83	848.22	476.71	1015.93	902.89	921.88	995.0	733.19	928.3	1104.13	1088.92	759.08	995.0	1044.52	921.88	420.68	1023.0	796.86	902.89	713.11	1081.39	872.1	995.0	1135.2	995.0	759.08	791.35	967.76	1015.93	738.29	928.3	738.29	616.37	1250.98	1322.37	1397.83	1487.87	1487.87	1594.73	1572.76	1487.87	1572.76	1397.83	1350.18	1437.15	115.97	728.11	902.89	679.29	616.37	395.18	764.36
NEURL4	346.29	575.03	642.59	563.18	518.15	353.59	363.56	307.69	551.56	229.72	518.15	518.15	237.86	532.74	748.61	473.41	307.69	384.34	738.29	595.34	334.46	583.07	346.29	275.28	246.28	688.78	490.14	353.59	511.0	486.75	336.79	320.8	511.0	429.54	185.11	441.64	291.04	279.14	830.75	1183.45	775.05	1242.34	1030.12	1208.34	1104.13	947.83	775.05	1175.27	1023.0	890.44	24.28	334.46	336.79	323.03	269.6	201.25	248.0
NFATC2IP	463.65	571.05	540.19	567.1	476.71	470.14	595.34	698.41	547.75	450.94	490.14	503.95	253.23	476.71	603.67	575.03	400.71	470.14	476.71	480.04	819.3	583.07	366.09	457.25	289.02	529.06	525.39	521.76	599.49	368.65	283.05	293.07	511.0	432.53	279.14	511.0	291.04	260.38	579.04	647.07	612.11	698.41	738.29	796.86	819.3	743.43	785.88	785.88	890.44	728.11	50.98	346.29	325.29	271.48	186.4	244.57	236.21
NRF1	267.73	279.14	262.2	249.73	267.73	273.37	206.94	172.65	283.05	223.41	197.09	281.09	204.07	224.97	265.87	267.73	251.48	234.57	291.04	269.6	126.12	239.52	209.84	224.97	204.07	265.87	220.32	273.37	275.28	229.72	224.97	214.27	293.07	299.25	199.85	262.2	199.85	109.66	283.05	320.8	312.0	339.14	305.55	379.04	339.14	366.09	260.38	334.46	293.07	279.14	35.0	198.47	205.5	170.25	226.54	221.86	205.5
PAN2	476.71	981.29	1151.06	896.64	518.15	693.58	423.61	493.56	1151.06	417.77	507.46	928.3	191.67	651.58	1369.04	583.07	343.89	529.06	1208.34	947.83	629.35	1037.29	379.04	447.82	204.07	1350.18	866.07	656.11	1073.91	718.08	297.17	438.59	1051.79	1066.48	356.05	638.15	258.57	392.44	1819.35	2434.5	2104.58	2739.08	2335.28	3124.78	3103.19	1936.53	2645.74	2255.7	2627.46	2451.44	50.27	441.64	470.14	242.88	246.28	297.17	273.37
PBX2	1135.2	1605.83	1313.23	1359.57	1277.29	1250.98	1096.5	591.22	1340.84	854.13	1286.18	1561.89	878.17	1233.75	1447.15	1135.2	981.29	1216.75	1295.13	1313.23	473.41	1674.06	1119.56	1175.27	688.78	1286.18	1457.23	1268.46	1457.23	1051.79	842.36	1191.69	1909.85	1073.91	723.08	995.0	713.11	400.71	1832.01	1844.76	1769.57	1857.6	1844.76	2451.44	2032.85	1757.34	2193.99	2209.26	2148.82	2417.67	63.0	1008.9	915.51	785.88	607.87	769.69	1008.9
PDE8A	551.56	703.28	587.13	551.56	480.04	387.02	447.82	1628.26	743.43	356.05	409.15	612.11	483.38	493.56	688.78	490.14	361.04	514.56	529.06	688.78	1378.57	629.35	395.18	417.77	400.71	669.92	575.03	595.34	848.22	612.11	536.45	587.13	555.41	775.05	379.04	607.87	518.15	285.03	796.86	1135.2	928.3	1183.45	941.27	1167.14	967.76	890.44	1044.52	872.1	1023.0	995.0	171.45	283.05	376.41	336.79	241.19	769.69	241.19
PDZD4	409.15	457.25	642.59	511.0	329.84	215.77	155.5	44.89	343.89	211.31	287.01	624.99	152.28	244.57	587.13	220.32	165.57	195.72	503.95	503.95	13.83	507.46	264.03	587.13	186.4	693.58	563.18	373.81	693.58	251.48	143.01	67.59	785.88	629.35	400.71	555.41	239.52	232.94	825.0	1073.91	884.29	1135.2	624.99	1001.93	1096.5	896.64	1023.0	1250.98	941.27	802.41	3.59	59.97	61.68	92.7	41.81	169.07	193.01
PIGG	674.59	1268.46	1397.83	1073.91	988.12	954.43	808.0	759.08	1286.18	703.28	1023.0	1111.82	651.58	1159.07	1487.87	1127.35	599.49	890.44	1322.37	1175.27	638.15	1295.13	748.61	599.49	651.58	1447.15	1037.29	1001.93	1277.29	1208.34	665.29	909.17	1388.16	1340.84	547.75	775.05	638.15	583.07	1519.15	2119.22	2018.8	2645.74	2287.2	2400.97	2434.5	1844.76	2209.26	1870.53	2319.15	1950.0	703.28	872.1	819.3	718.08	226.54	723.08	403.5
POGZ	836.53	1259.69	1051.79	1216.75	764.36	808.0	518.15	497.0	1183.45	616.37	642.59	1081.39	368.65	603.67	1104.13	684.02	624.99	688.78	693.58	1127.35	466.88	1233.75	555.41	708.18	297.17	1073.91	872.1	954.43	1561.89	808.0	392.44	441.64	1119.56	974.5	486.75	954.43	400.71	260.38	2090.03	2720.15	2537.92	2875.3	2976.74	3039.3	3124.78	2417.67	2178.83	2384.37	3018.3	2591.27	38.12	551.56	796.86	529.06	406.31	591.22	358.54
POMT1	775.05	974.5	1119.56	896.64	743.43	543.96	518.15	486.75	890.44	435.55	656.11	981.29	507.46	738.29	934.76	547.75	466.88	547.75	775.05	981.29	559.28	974.5	387.02	486.75	454.09	981.29	616.37	860.08	1059.11	802.41	555.41	698.41	1037.29	872.1	447.82	769.69	521.76	518.15	1457.23	1883.54	1832.01	2047.0	1794.29	2224.63	1709.26	1447.15	1617.0	1277.29	1991.0	1551.09	283.05	674.59	679.29	848.22	361.04	420.68	327.56
PPFIBP1	536.45	633.73	368.65	521.76	307.69	348.71	341.51	172.65	607.87	536.45	547.75	551.56	186.4	297.17	373.81	316.37	334.46	521.76	356.05	583.07	194.36	674.59	463.65	521.76	185.11	473.41	575.03	624.99	567.1	368.65	178.77	293.07	651.58	432.53	392.44	511.0	220.32	98.04	679.29	928.3	532.74	718.08	1044.52	1044.52	1143.1	785.88	842.36	796.86	842.36	961.07	67.59	414.87	748.61	249.73	629.35	332.14	303.44
PPP2R5B	463.65	532.74	738.29	684.02	297.17	403.5	438.59	435.55	629.35	486.75	466.88	679.29	358.54	466.88	669.92	656.11	363.56	460.44	567.1	603.67	171.45	743.43	507.46	559.28	409.15	684.02	607.87	620.67	808.0	551.56	409.15	353.59	642.59	559.28	785.88	651.58	457.25	490.14	660.68	753.83	738.29	813.63	638.15	674.59	684.02	748.61	890.44	934.76	733.19	708.18	182.55	204.07	189.02	191.67	403.5	170.25	325.29
PPT2-EGFL8	40.93	128.79	156.59	105.89	49.91	75.64	39.5	64.8	118.43	25.54	38.4	102.97	6.11	41.81	130.6	66.18	40.93	49.91	146.03	92.7	77.25	110.43	30.12	64.8	21.94	101.54	76.71	83.45	141.02	67.59	21.78	28.86	57.49	111.99	32.59	81.71	21.94	63.45	260.38	363.56	260.38	356.05	312.0	309.83	323.03	211.31	248.0	202.66	291.04	361.04	2.1	37.32	21.94	25.72	57.49	19.11	22.75
PXN	1407.55	3325.99	3742.05	2777.33	2287.2	2178.83	2148.82	2537.92	3168.41	1447.15	2018.8	2163.77	967.76	1950.0	2915.45	2720.15	1369.04	2193.99	4419.52	3235.01	2240.11	3325.99	2209.26	1594.73	1540.37	4937.99	2104.58	2335.28	3419.52	3395.89	1250.98	1417.35	3419.52	3540.14	1757.34	2537.92	1870.53	1051.79	2835.7	2997.45	2520.38	3103.19	2591.27	2758.13	3639.7	2119.22	3235.01	3280.18	3395.89	2645.74	1259.69	866.07	1119.56	1350.18	1359.57	1551.09	954.43
RALGPS1	262.2	289.02	256.78	289.02	295.11	228.13	163.28	454.09	329.84	226.54	221.86	351.14	137.14	271.48	341.51	164.42	154.42	251.48	267.73	312.0	536.45	339.14	166.73	260.38	106.63	265.87	336.79	283.05	265.87	208.38	135.24	133.36	356.05	249.73	187.71	295.11	162.14	35.5	571.05	543.96	674.59	463.65	624.99	872.1	698.41	563.18	532.74	723.08	583.07	536.45	432.53	248.0	105.15	155.5	98.04	423.61	63.0
RASA2	142.01	170.25	171.45	143.01	107.38	99.43	100.13	121.79	194.36	93.35	105.89	182.55	91.41	102.97	194.36	131.51	70.01	163.28	149.12	144.01	148.09	181.28	81.71	84.04	54.33	202.66	150.17	143.01	260.38	115.97	84.63	105.15	175.07	154.42	94.01	138.1	78.89	36.27	195.72	223.41	193.01	189.02	256.78	248.0	249.73	202.66	271.48	193.01	215.77	248.0	17.0	79.45	109.66	77.79	72.01	63.0	68.07
RNF44	525.39	521.76	633.73	620.67	769.69	536.45	555.41	1023.0	830.75	426.57	633.73	688.78	387.02	583.07	842.36	620.67	406.31	743.43	669.92	738.29	1572.76	884.29	392.44	503.95	316.37	713.11	616.37	507.46	647.07	525.39	511.0	438.59	791.35	603.67	299.25	607.87	397.93	314.17	842.36	1183.45	866.07	1044.52	967.76	1051.79	909.17	866.07	1008.9	902.89	1066.48	1208.34	112.77	376.41	351.14	339.14	295.11	647.07	275.28
RNPC3	301.33	536.45	327.56	441.64	379.04	460.44	305.55	301.33	507.46	353.59	285.03	353.59	149.12	301.33	579.04	358.54	264.03	334.46	363.56	503.95	371.22	435.55	226.54	260.38	166.73	547.75	435.55	395.18	486.75	543.96	170.25	183.82	507.46	384.34	221.86	285.03	167.9	209.84	764.36	866.07	698.41	775.05	934.76	1088.92	1151.06	967.76	738.29	915.51	1104.13	819.3	152.28	181.28	241.19	133.36	172.65	153.34	102.25
RP11-295P9.3	217.27	400.71	281.09	218.79	134.3	132.44	157.68	159.9	341.51	94.01	129.69	295.11	83.45	209.84	361.04	199.85	89.51	136.19	346.29	260.38	246.28	366.09	85.22	165.57	48.18	409.15	353.59	269.6	470.14	206.94	120.94	97.36	309.83	503.95	95.34	285.03	71.5	68.55	656.11	961.07	723.08	947.83	651.58	1151.06	728.11	647.07	780.44	669.92	988.12	884.29	11.3	132.44	161.02	131.51	31.67	80.01	69.52
RP11-644F5.10	86.43	237.86	164.42	105.15	76.17	120.94	94.01	111.99	164.42	69.03	55.49	127.0	68.55	58.71	212.78	124.37	46.18	98.73	153.34	136.19	147.06	111.21	70.01	65.72	37.32	163.28	105.89	135.24	166.73	100.13	68.55	63.89	163.28	157.68	211.31	113.56	60.82	35.0	175.07	204.07	198.47	202.66	187.71	279.14	166.73	248.0	201.25	223.41	212.78	186.4	46.5	23.08	25.17	15.45	76.71	27.44	52.08
RYR3	68.07	111.99	50.98	87.65	92.7	76.71	63.0	16.88	103.69	67.59	129.69	98.04	37.59	60.82	133.36	76.17	62.12	67.12	75.64	110.43	6.84	98.73	98.04	78.89	49.21	97.36	136.19	108.9	127.0	102.25	51.35	57.89	97.36	63.0	46.84	68.07	51.35	25.54	201.25	120.94	209.84	221.86	253.23	353.59	189.02	217.27	253.23	241.19	269.6	368.65	3.59	7.88	20.86	24.81	100.83	135.24	74.06
S100PBP	297.17	316.37	307.69	249.73	194.36	255.0	232.94	182.55	368.65	198.47	183.82	264.03	180.02	223.41	329.84	242.88	180.02	237.86	273.37	281.09	186.4	297.17	178.77	218.79	120.94	318.57	281.09	301.33	356.05	295.11	178.77	215.77	323.03	309.83	173.85	242.88	121.79	125.24	483.38	693.58	547.75	624.99	638.15	698.41	583.07	551.56	567.1	476.71	579.04	620.67	35.76	182.55	241.19	231.32	158.79	125.24	170.25
SLC23A2	205.5	291.04	215.77	212.78	215.77	201.25	111.99	64.8	264.03	115.16	191.67	248.0	92.7	157.68	215.77	183.82	152.28	269.6	108.9	232.94	46.84	314.17	170.25	173.85	91.41	185.11	191.67	264.03	249.73	181.28	119.26	140.04	170.25	224.97	109.66	209.84	82.29	61.25	343.89	432.53	412.0	373.81	473.41	412.0	346.29	343.89	384.34	273.37	371.22	447.82	39.22	279.14	511.0	514.56	114.36	244.57	127.89
STAMBPL1	287.01	228.13	299.25	173.85	137.14	69.03	202.66	251.48	307.69	120.1	84.04	275.28	94.01	92.7	209.84	139.07	105.89	151.22	201.25	242.88	376.41	223.41	117.6	129.69	66.18	181.28	267.73	253.23	212.78	120.1	88.88	118.43	231.32	253.23	134.3	237.86	103.69	53.95	269.6	334.46	231.32	279.14	361.04	441.64	361.04	256.78	426.57	346.29	249.73	400.71	69.03	20.86	21.16	18.29	249.73	56.28	32.82
STK11IP	316.37	493.56	669.92	511.0	327.56	277.2	277.2	414.87	547.75	283.05	228.13	595.34	201.25	376.41	575.03	260.38	279.14	301.33	607.87	444.72	521.76	583.07	214.27	346.29	224.97	733.19	483.38	397.93	579.04	273.37	236.21	244.57	575.03	397.93	287.01	466.88	287.01	209.84	759.08	775.05	723.08	866.07	825.0	830.75	836.53	813.63	688.78	819.3	836.53	866.07	59.13	325.29	201.25	212.78	211.31	264.03	253.23
STX16	866.07	1295.13	1295.13	1111.82	759.08	988.12	728.11	555.41	1540.37	902.89	723.08	1066.48	316.37	698.41	1350.18	884.29	473.41	796.86	1286.18	1135.2	441.64	1407.55	575.03	660.68	307.69	1685.71	909.17	1183.45	1561.89	819.3	406.31	389.72	1127.35	1259.69	414.87	988.12	348.71	447.82	1498.22	2303.12	2075.59	2384.37	2032.85	2555.58	2434.5	2163.77	2224.63	2178.83	2335.28	2148.82	80.57	638.15	728.11	417.77	400.71	379.04	473.41
STX1A	199.85	373.81	366.09	432.53	277.2	249.73	228.13	102.97	271.48	223.41	153.34	395.18	105.15	211.31	361.04	191.67	236.21	277.2	403.5	334.46	51.35	366.09	182.55	277.2	124.37	327.56	363.56	283.05	329.84	241.19	157.68	113.56	346.29	351.14	128.79	339.14	190.34	129.69	660.68	656.11	429.54	708.18	514.56	642.59	728.11	638.15	483.38	435.55	473.41	547.75	9.13	116.78	85.82	87.65	54.72	61.25	100.83
TAOK2	432.53	665.29	836.53	629.35	563.18	616.37	414.87	607.87	651.58	379.04	514.56	674.59	316.37	493.56	688.78	595.34	518.15	454.09	567.1	559.28	555.41	693.58	353.59	518.15	334.46	860.08	651.58	575.03	836.53	387.02	376.41	346.29	733.19	616.37	395.18	612.11	392.44	336.79	1216.75	1331.57	854.13	1388.16	1051.79	1037.29	1127.35	934.76	1216.75	1037.29	1151.06	1259.69	61.25	555.41	473.41	490.14	473.41	301.33	483.38
TAS2R5	14.24	35.76	14.14	23.25	16.63	15.34	19.11	17.9	31.22	5.92	7.69	20.11	3.11	5.59	34.26	8.99	5.36	11.82	20.26	27.64	21.47	21.16	11.64	6.57	1.87	32.13	18.29	21.01	22.26	6.62	5.36	3.53	20.11	24.11	5.32	20.26	3.35	0.0	55.49	64.34	53.95	61.68	36.79	96.01	60.39	42.71	66.65	38.67	64.8	53.19	0.0	8.92	8.32	4.46	7.06	0.0	4.13
TCHP	226.54	392.44	409.15	356.05	429.54	366.09	341.51	234.57	397.93	299.25	309.83	343.89	275.28	341.51	447.82	318.57	341.51	287.01	366.09	353.59	332.14	381.68	314.17	395.18	185.11	483.38	397.93	246.28	435.55	289.02	334.46	323.03	351.14	521.76	142.01	334.46	271.48	217.27	361.04	473.41	392.44	483.38	447.82	438.59	389.72	373.81	412.0	400.71	384.34	400.71	50.63	199.85	336.79	173.85	248.0	159.9	231.32
TLDC2	115.97	253.23	229.72	134.3	90.77	138.1	212.78	521.76	297.17	119.26	76.17	229.72	95.34	130.6	191.67	181.28	106.63	78.89	267.73	381.68	684.02	262.2	97.36	82.29	61.25	371.22	221.86	190.34	497.0	248.0	122.64	108.14	170.25	142.01	92.7	144.01	71.5	36.79	96.68	143.01	226.54	209.84	123.5	208.38	265.87	204.07	381.68	111.21	312.0	173.85	1.99	17.38	14.56	18.7	19.82	146.03	11.04
TMEM120B	99.43	163.28	208.38	171.45	96.01	117.6	93.35	78.34	201.25	81.71	102.97	135.24	81.71	101.54	237.86	126.12	86.43	137.14	204.07	199.85	99.43	211.31	58.3	100.13	69.03	232.94	182.55	185.11	228.13	155.5	75.11	92.7	189.02	211.31	95.34	194.36	77.25	93.35	397.93	656.11	389.72	764.36	457.25	665.29	473.41	612.11	450.94	518.15	529.06	457.25	275.28	156.59	197.09	145.02	131.51	166.73	198.47
TNK2	1023.0	1183.45	1551.09	1277.29	872.1	575.03	400.71	341.51	1350.18	457.25	583.07	1350.18	361.04	629.35	1350.18	447.82	547.75	684.02	1191.69	1417.35	307.69	1183.45	571.05	688.78	397.93	1233.75	785.88	1044.52	1242.34	1088.92	454.09	423.61	1745.2	1551.09	466.88	941.27	633.73	255.0	1388.16	2468.49	2609.3	2875.3	2178.83	2758.13	2178.83	1674.06	1561.89	1617.0	2090.03	1896.65	11.21	1457.23	674.59	1331.57	974.5	603.67	244.57
TNPO2	567.1	651.58	679.29	669.92	723.08	872.1	555.41	429.54	612.11	595.34	718.08	656.11	269.6	583.07	647.07	603.67	698.41	718.08	728.11	775.05	432.53	842.36	473.41	559.28	384.34	624.99	728.11	629.35	651.58	684.02	341.51	318.57	842.36	454.09	379.04	620.67	353.59	189.02	1135.2	1242.34	954.43	1088.92	1216.75	1331.57	1295.13	1233.75	947.83	1159.07	1359.57	1167.14	183.82	679.29	819.3	1008.9	441.64	796.86	507.46
TP53BP1	363.56	547.75	423.61	500.46	457.25	351.14	376.41	208.38	559.28	397.93	366.09	551.56	291.04	420.68	460.44	299.25	356.05	384.34	521.76	529.06	291.04	620.67	318.57	500.46	163.28	426.57	511.0	412.0	571.05	325.29	269.6	249.73	473.41	368.65	327.56	414.87	285.03	151.22	414.87	483.38	435.55	525.39	620.67	543.96	607.87	536.45	624.99	647.07	563.18	791.35	90.14	473.41	366.09	395.18	289.02	193.01	336.79
