	TCGA.VS.A8QH.01A.11R.A37O.07	TCGA.W5.AA2I.11A.11R.A41I.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.147F3.1926.SM.5SIB9	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.U4B1.1126.SM.4DXV3	GTEX.Q2AI.0926.SM.48U1F	GTEX.146FQ.1926.SM.5NQBY	GTEX.R55G.1226.SM.48FDC	GTEX.14E6E.1526.SM.5RQIG	GTEX.11LCK.2026.SM.5A5MA	GTEX.R53T.1326.SM.48FCQ	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.144GM.1226.SM.5LU52	GTEX.PWOO.1326.SM.48TCJ	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.ZPCL.1826.SM.57WF1	GTEX.13D11.0826.SM.5KLZJ	GTEX.132AR.2726.SM.5PNVN	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.OIZH.1426.SM.3NB1O	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.O5YT.1426.SM.3MJHC	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.139YR.2126.SM.5KM11	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.13QBU.1826.SM.5IJG3	GTEX.13PL7.2526.SM.5IFGR	GTEX.W5WG.2426.SM.4LMI6	GTEX.OHPM.1426.SM.3TW8Y	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.T5JW.1126.SM.4DM5V	GTEX.144GN.1126.SM.5LU33	GTEX.14DAR.1526.SM.5RQIX	GTEX.YF7O.1726.SM.5IFJ9	GTEX.QCQG.1626.SM.48U26	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.P78B.1726.SM.3P5ZV	GTEX.QMRM.1226.SM.447C6	GTEX.XUW1.1926.SM.4BOP1	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZT9W.1826.SM.51MQX	TCGA.CC.A9FW.01A.11R.A37K.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.CC.A5UC.01A.11R.A28V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.11ZTS.1426.SM.5EQMM	GTEX.PX3G.0826.SM.48TZS	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.RU72.1426.SM.46MUF	GTEX.11DXY.0526.SM.5EGGQ	GTEX.145MO.2326.SM.5NQ9K	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.UPIC.0926.SM.4IHLV	GTEX.13VXU.0926.SM.5IFFH	GTEX.VUSG.0126.SM.4KL1X	GTEX.Q2AI.0826.SM.48TZO
LILRB4	18.84	16.51	84.04	656.11	854.13	84.04	221.86	507.46	68.07	87.65	205.5	236.21	693.58	353.59	262.2	175.07	204.07	135.24	139.07	17.77	110.43	255.0	447.82	127.89	49.21	384.34	226.54	332.14	89.51	1008.9	521.76	115.97	368.65	127.89	819.3	346.29	353.59	376.41	40.93	60.82	684.02	154.42	127.89	59.13	191.67	356.05	642.59	320.8	157.68	237.86	435.55	81.71	476.71	486.75	127.0	450.94	808.0	135.24	785.88	92.05	158.79	138.1	1286.18	8.19	397.93	698.41	351.14	132.44	395.18	63.45	70.51	325.29	563.18	182.55	665.29	206.94	120.1	1313.23	148.09	62.12	23.93	26.67	111.99	15.56	8.92	371.22	124.37	119.26	78.34	217.27	35.76	1.89	10.08	13.12	31.45	129.69	156.59	107.38	22.43	120.94	136.19	62.56	58.3	93.35	79.45	66.65	30.78	17.9	248.0	30.78	78.89	32.59
LY96	31.0	77.25	214.27	529.06	511.0	105.89	595.34	432.53	70.01	138.1	84.63	332.14	624.99	358.54	305.55	283.05	202.66	138.1	190.34	28.86	205.5	647.07	435.55	146.03	450.94	221.86	295.11	511.0	100.83	587.13	1015.93	159.9	132.44	234.57	551.56	1073.91	420.68	305.55	249.73	171.45	575.03	323.03	94.67	83.45	248.0	325.29	684.02	186.4	540.19	454.09	497.0	79.45	591.22	371.22	128.79	368.65	518.15	131.51	486.75	73.03	78.89	112.77	780.44	47.5	269.6	318.57	228.13	167.9	429.54	124.37	112.77	336.79	241.19	220.32	447.82	426.57	59.97	1044.52	221.86	249.73	135.24	16.03	248.0	88.26	66.65	1388.16	397.93	246.28	73.03	312.0	122.64	88.88	33.3	67.12	35.0	239.52	69.03	208.38	69.52	38.95	723.08	141.02	206.94	178.77	204.07	307.69	64.8	163.28	329.84	6.84	470.14	400.71
LYN	409.15	173.85	426.57	417.77	450.94	363.56	368.65	518.15	329.84	356.05	476.71	638.15	447.82	483.38	571.05	507.46	493.56	403.5	457.25	320.8	373.81	660.68	660.68	309.83	400.71	381.68	466.88	532.74	529.06	896.64	607.87	368.65	559.28	361.04	500.46	497.0	555.41	620.67	435.55	400.71	629.35	511.0	438.59	332.14	500.46	665.29	660.68	532.74	514.56	559.28	490.14	303.44	642.59	457.25	327.56	518.15	563.18	450.94	796.86	435.55	638.15	493.56	583.07	476.71	457.25	486.75	503.95	450.94	769.69	444.72	444.72	450.94	575.03	429.54	497.0	497.0	260.38	848.22	476.71	368.65	244.57	142.01	234.57	153.34	124.37	728.11	279.14	529.06	139.07	555.41	89.51	178.77	155.5	102.25	173.85	291.04	275.28	312.0	121.79	281.09	361.04	214.27	175.07	277.2	226.54	123.5	226.54	358.54	353.59	169.07	397.93	291.04
MARCH1	22.92	17.64	87.65	120.1	108.9	9.34	76.71	50.63	47.17	52.08	68.55	118.43	87.65	88.88	116.78	108.9	69.03	41.81	53.57	11.04	67.59	172.65	218.79	44.57	16.39	59.97	55.49	111.99	27.44	327.56	187.71	96.68	105.15	31.22	145.02	82.87	152.28	109.66	41.52	55.89	256.78	53.95	40.64	79.45	46.18	147.06	173.85	77.25	130.6	81.71	61.25	178.77	154.42	105.15	32.36	88.26	108.14	34.26	115.16	71.5	111.99	165.57	206.94	57.49	81.14	80.01	151.22	46.5	151.22	56.68	98.04	79.45	152.28	80.01	148.09	82.29	49.91	223.41	25.17	12.27	4.9	5.54	17.9	11.55	5.63	25.17	24.46	22.59	24.11	33.54	21.78	36.53	21.78	39.22	27.25	36.27	32.36	27.64	31.0	6.57	23.42	60.82	52.08	39.5	75.64	60.39	6.11	29.27	55.89	62.56	5.73	14.78
MPEG1	9.13	43.63	221.86	791.35	1183.45	264.03	819.3	1135.2	183.82	325.29	387.02	836.53	1540.37	954.43	974.5	441.64	454.09	392.44	607.87	55.1	332.14	1857.6	1487.87	256.78	303.44	961.07	575.03	642.59	343.89	1378.57	884.29	629.35	1225.22	486.75	830.75	759.08	1268.46	854.13	285.03	305.55	3146.52	547.75	329.84	112.77	392.44	928.3	1104.13	400.71	981.29	223.41	1216.75	167.9	1127.35	842.36	291.04	860.08	1437.15	480.04	1721.16	212.78	226.54	536.45	1651.0	226.54	967.76	1096.5	780.44	334.46	1369.04	198.47	226.54	718.08	1639.59	312.0	860.08	1183.45	248.0	2351.53	476.71	48.18	43.02	16.75	102.25	40.93	37.32	1081.39	176.29	447.82	114.36	493.56	93.35	57.89	36.53	67.12	65.72	172.65	220.32	163.28	44.25	58.71	262.2	124.37	60.82	170.25	121.79	133.36	56.28	50.27	529.06	70.51	189.02	101.54
NCF4	33.3	33.54	483.38	1331.57	909.17	624.99	1617.0	813.63	353.59	368.65	791.35	1023.0	1001.93	769.69	507.46	693.58	435.55	497.0	336.79	201.25	500.46	1457.23	842.36	403.5	612.11	693.58	420.68	1457.23	255.0	836.53	902.89	483.38	743.43	392.44	808.0	532.74	941.27	536.45	312.0	285.03	854.13	607.87	232.94	175.07	283.05	890.44	1259.69	688.78	866.07	521.76	688.78	148.09	848.22	638.15	244.57	854.13	915.51	356.05	981.29	543.96	493.56	511.0	1397.83	356.05	954.43	514.56	759.08	435.55	753.83	244.57	346.29	642.59	1081.39	447.82	1457.23	1167.14	332.14	1313.23	616.37	116.78	23.76	18.84	141.02	70.51	42.41	435.55	127.89	86.43	45.21	221.86	74.58	34.51	27.44	76.71	43.32	320.8	186.4	285.03	26.1	85.82	198.47	86.43	29.91	141.02	105.15	61.25	54.72	102.97	131.51	25.35	183.82	98.73
P2RY13	3.2	11.04	40.93	103.69	214.27	52.08	68.07	170.25	18.56	46.84	41.52	101.54	194.36	141.02	116.78	85.22	54.72	55.1	70.01	7.51	46.84	76.71	170.25	34.75	36.53	165.57	75.11	98.73	30.12	273.37	237.86	59.97	109.66	59.13	177.53	93.35	111.21	100.13	52.45	54.72	234.57	56.68	22.92	16.88	46.5	83.45	273.37	92.7	100.13	43.94	84.04	17.38	114.36	114.36	32.13	98.04	186.4	42.11	156.59	35.76	76.17	50.98	100.83	20.26	142.01	117.6	102.25	25.91	178.77	35.25	37.85	137.14	165.57	69.03	166.73	170.25	33.78	262.2	34.51	4.54	3.06	1.28	20.71	22.26	10.08	96.68	17.77	57.08	31.0	134.3	16.88	22.59	8.32	13.83	7.69	38.12	110.43	51.35	14.45	12.93	44.89	29.7	18.97	34.75	33.78	11.64	15.56	40.36	114.36	12.64	19.97	0.0
P2RY6	22.75	8.45	46.18	187.71	99.43	81.71	169.07	74.06	29.48	48.87	67.59	72.01	129.69	166.73	69.03	118.43	65.72	80.01	38.95	6.94	67.59	212.78	120.1	61.25	57.08	68.07	88.26	193.01	36.01	612.11	165.57	113.56	155.5	32.59	158.79	149.12	118.43	102.25	29.06	30.56	147.06	92.7	76.71	23.25	111.99	147.06	214.27	85.22	120.1	76.17	102.97	34.75	92.7	112.77	26.28	140.04	172.65	59.97	265.87	53.19	47.84	56.28	186.4	19.39	166.73	72.52	45.85	82.87	177.53	25.91	85.22	78.89	124.37	84.63	318.57	205.5	61.25	279.14	67.59	16.03	5.54	1.71	150.17	10.96	6.84	19.11	11.47	21.01	7.88	112.77	18.03	9.85	7.06	6.89	11.21	12.09	30.12	24.11	13.52	2.41	42.41	9.13	15.22	15.0	16.51	11.73	10.79	3.53	43.32	4.54	15.0	57.89
PLXNC1	14.67	12.83	84.63	142.01	84.63	42.11	102.25	148.09	71.0	70.51	39.5	91.41	144.01	103.69	154.42	155.5	44.25	74.58	59.13	8.58	141.02	205.5	169.07	70.01	44.25	80.57	125.24	100.83	64.8	176.29	122.64	38.95	82.29	49.91	178.77	148.09	193.01	135.24	43.02	63.0	234.57	71.5	53.19	97.36	64.34	195.72	244.57	97.36	183.82	129.69	166.73	36.27	166.73	79.45	34.02	122.64	182.55	71.5	202.66	44.25	96.01	109.66	212.78	53.57	190.34	101.54	84.04	82.87	218.79	26.1	88.88	108.14	183.82	93.35	185.11	136.19	37.85	346.29	45.53	111.21	156.59	10.71	67.12	8.19	8.19	61.25	47.5	28.24	23.76	3.72	6.36	19.25	6.01	7.57	25.72	18.43	14.24	91.41	0.33	4.31	11.91	48.87	2.56	3.89	41.81	21.94	13.62	21.63	12.83	40.93	9.27	17.51
PTAFR	27.25	11.82	109.66	171.45	206.94	54.72	99.43	172.65	50.63	87.65	62.56	97.36	151.22	173.85	193.01	86.43	105.15	92.05	68.07	29.91	156.59	204.07	186.4	111.99	85.22	211.31	87.03	214.27	81.71	267.73	218.79	70.51	107.38	105.15	262.2	96.01	143.01	163.28	58.3	84.63	341.51	80.57	68.55	50.98	361.04	106.63	198.47	92.7	108.14	108.14	144.01	124.37	224.97	131.51	51.35	105.15	202.66	53.19	187.71	48.18	115.97	38.12	154.42	39.79	125.24	124.37	161.02	92.7	289.02	42.11	134.3	169.07	170.25	56.68	167.9	136.19	87.03	314.17	84.04	13.72	4.35	3.56	17.13	8.32	10.39	679.29	19.68	105.89	11.04	85.22	31.22	9.41	14.67	21.63	6.16	36.53	33.3	24.46	11.38	8.85	16.15	45.21	23.59	14.45	20.41	9.85	5.15	14.45	78.34	8.65	29.91	55.89
PTGER2	8.51	11.64	256.78	177.53	343.89	180.02	218.79	258.57	166.73	197.09	121.79	305.55	473.41	224.97	532.74	435.55	232.94	228.13	220.32	115.16	339.14	476.71	400.71	167.9	262.2	334.46	264.03	320.8	341.51	379.04	624.99	371.22	248.0	157.68	480.04	423.61	301.33	429.54	185.11	170.25	368.65	218.79	228.13	182.55	387.02	285.03	400.71	323.03	295.11	258.57	301.33	234.57	343.89	299.25	149.12	228.13	457.25	258.57	389.72	217.27	204.07	255.0	497.0	157.68	171.45	241.19	206.94	339.14	466.88	189.02	242.88	299.25	336.79	189.02	318.57	406.31	125.24	483.38	208.38	15.8	2.53	0.0	7.88	5.06	6.84	231.32	27.64	16.15	6.78	25.35	33.78	21.78	25.72	37.05	19.97	51.71	10.79	57.08	11.3	8.71	20.56	40.93	3.47	26.28	40.93	22.59	20.11	52.82	19.97	15.91	17.13	202.66
RGS18	2.18	5.15	26.28	53.57	96.01	18.43	48.87	76.17	8.71	23.08	35.25	29.27	56.68	34.75	79.45	43.94	33.78	29.06	35.0	7.11	47.84	61.68	95.34	11.13	18.16	44.25	30.56	53.57	14.78	138.1	74.06	53.95	63.45	33.3	90.77	81.71	40.36	105.89	16.75	61.25	89.51	33.3	18.97	29.27	22.59	58.3	64.34	50.27	108.14	69.03	45.21	15.45	65.72	105.89	19.25	41.81	67.59	24.99	76.17	19.68	39.79	48.52	127.89	16.88	69.52	34.51	34.75	10.88	125.24	34.51	39.5	47.17	110.43	17.0	59.55	85.22	22.92	135.24	13.72	3.96	1.83	0.34	7.82	14.03	5.15	97.36	29.48	21.63	13.62	18.84	15.68	8.51	7.4	13.22	8.19	33.54	12.55	28.86	8.45	11.73	40.07	24.63	1.43	30.12	39.79	21.78	33.06	26.47	50.63	15.11	19.39	13.52
SASH3	41.52	35.25	525.39	607.87	447.82	412.0	607.87	412.0	275.28	234.57	316.37	624.99	493.56	555.41	329.84	318.57	206.94	177.53	161.02	85.22	376.41	1467.37	759.08	285.03	218.79	371.22	366.09	518.15	199.85	612.11	769.69	224.97	571.05	177.53	503.95	403.5	1088.92	525.39	158.79	229.72	332.14	669.92	127.0	85.22	236.21	1167.14	808.0	559.28	406.31	902.89	397.93	99.43	679.29	395.18	108.9	647.07	651.58	234.57	872.1	187.71	409.15	476.71	909.17	320.8	624.99	500.46	703.28	356.05	532.74	248.0	301.33	336.79	791.35	329.84	1008.9	343.89	148.09	1427.22	293.07	63.45	22.92	13.72	84.63	54.72	29.48	384.34	132.44	54.33	47.84	343.89	121.79	61.68	48.87	78.34	46.18	79.45	70.51	199.85	60.39	7.75	100.83	150.17	18.29	51.71	154.42	60.82	13.12	100.83	112.77	28.65	88.26	75.64
SELPLG	56.68	41.22	281.09	463.65	620.67	255.0	518.15	351.14	154.42	209.84	198.47	395.18	376.41	417.77	211.31	264.03	139.07	113.56	135.24	80.01	255.0	642.59	612.11	267.73	189.02	567.1	269.6	529.06	144.01	432.53	460.44	206.94	412.0	253.23	500.46	500.46	624.99	320.8	178.77	140.04	409.15	397.93	131.51	81.14	248.0	616.37	688.78	332.14	432.53	571.05	514.56	69.03	457.25	297.17	162.14	480.04	587.13	172.65	603.67	72.01	267.73	312.0	1167.14	157.68	447.82	423.61	551.56	299.25	426.57	164.42	185.11	366.09	521.76	201.25	555.41	397.93	107.38	1037.29	193.01	71.5	25.54	14.03	87.65	47.84	35.25	753.83	277.2	142.01	30.56	316.37	38.12	40.64	64.8	81.14	70.51	120.94	146.03	189.02	28.65	81.14	82.87	65.26	23.59	92.05	77.79	59.55	90.14	97.36	158.79	31.67	159.9	73.54
SLAMF8	30.12	17.51	89.51	251.48	540.19	112.77	256.78	753.83	42.11	105.89	241.19	303.44	674.59	395.18	248.0	275.28	348.71	125.24	183.82	23.59	162.14	397.93	583.07	64.8	105.15	381.68	195.72	483.38	93.35	591.22	713.11	136.19	209.84	145.02	633.73	305.55	312.0	226.54	81.71	139.07	669.92	136.19	107.38	84.04	224.97	329.84	718.08	195.72	316.37	299.25	400.71	139.07	466.88	353.59	108.9	285.03	759.08	175.07	579.04	166.73	215.77	112.77	260.38	64.34	265.87	441.64	381.68	63.89	447.82	140.04	115.16	277.2	457.25	93.35	536.45	559.28	62.56	2645.74	167.9	43.32	12.93	11.47	58.71	15.45	4.06	660.68	51.35	135.24	12.74	44.25	16.88	15.68	9.27	18.56	9.63	21.94	28.04	16.03	11.91	15.22	10.39	55.1	16.63	33.06	19.97	32.13	6.41	14.03	58.3	5.73	27.84	23.25
SPI1	104.42	97.36	384.34	995.0	1088.92	543.96	738.29	813.63	237.86	420.68	587.13	733.19	884.29	1008.9	438.59	417.77	616.37	323.03	406.31	37.85	624.99	1096.5	961.07	353.59	555.41	934.76	460.44	1295.13	305.55	1135.2	1001.93	480.04	753.83	373.81	1088.92	525.39	1191.69	633.73	277.2	214.27	1605.83	656.11	253.23	178.77	486.75	848.22	1498.22	500.46	808.0	563.18	567.1	206.94	1044.52	688.78	301.33	785.88	1233.75	343.89	1844.76	348.71	476.71	320.8	1662.49	171.45	796.86	698.41	743.43	341.51	1242.34	260.38	684.02	791.35	915.51	412.0	1457.23	954.43	318.57	2367.9	423.61	215.77	53.95	56.28	316.37	124.37	95.34	1757.34	511.0	429.54	146.03	647.07	111.99	73.03	78.34	117.6	115.97	348.71	438.59	532.74	62.56	166.73	283.05	140.04	144.01	267.73	228.13	194.36	234.57	356.05	599.49	53.57	432.53	271.48
ST8SIA4	7.4	9.7	56.68	117.6	80.57	52.08	94.01	77.25	37.05	46.18	44.57	75.64	157.68	75.64	111.99	99.43	47.84	63.0	42.11	18.84	43.32	191.67	115.16	35.25	81.71	61.68	59.55	78.34	42.41	182.55	126.12	104.42	81.71	33.54	115.16	132.44	133.36	79.45	30.12	56.68	145.02	101.54	42.41	29.27	77.79	171.45	140.04	62.12	126.12	81.71	105.15	23.08	97.36	59.55	35.0	78.89	92.7	59.13	120.94	31.22	45.53	69.03	217.27	31.45	82.87	52.82	76.17	57.08	115.97	37.32	43.94	70.51	103.69	64.8	120.94	88.26	44.57	165.57	47.5	8.92	7.46	2.14	23.59	5.63	4.39	67.59	78.34	12.64	4.1	13.42	23.42	13.03	16.75	11.73	6.36	28.24	10.31	38.95	4.94	10.31	10.47	54.72	13.12	10.24	29.7	12.93	20.11	15.11	16.63	5.41	11.13	10.71
TLR7	0.71	1.66	32.13	45.21	60.39	12.09	49.56	33.06	10.55	11.64	16.15	55.49	50.98	85.82	83.45	68.07	15.34	11.73	60.39	5.54	7.28	132.44	57.49	7.11	73.54	43.32	23.93	46.5	9.93	90.77	64.8	43.94	59.97	20.41	92.7	46.84	95.34	25.54	9.27	20.11	79.45	45.21	8.13	6.73	4.78	96.01	57.49	24.63	71.0	19.68	44.57	2.53	53.19	26.86	14.03	52.45	44.57	16.27	120.94	11.73	29.27	36.01	31.45	18.84	62.12	50.98	23.25	25.54	35.76	11.21	10.79	22.92	114.36	26.86	51.35	78.34	21.63	85.82	11.3	1.68	0.56	0.2	3.82	1.31	0.31	5.63	1.91	4.24	0.0	21.63	1.85	3.32	0.0	3.41	1.81	4.58	3.11	3.17	1.95	0.0	3.14	8.65	1.93	3.47	3.26	4.74	0.0	1.81	5.77	3.41	7.22	6.01
TLR8	0.99	1.87	1.33	28.04	69.52	4.5	20.26	37.32	11.91	10.39	12.0	44.25	80.01	52.82	20.86	25.35	23.59	10.16	32.13	2.61	10.55	43.02	80.57	11.13	18.29	62.12	18.84	64.8	18.7	112.77	99.43	37.85	18.43	17.38	110.43	49.21	33.3	33.06	7.82	10.39	95.34	17.13	12.74	4.78	46.5	55.1	85.82	23.59	53.95	34.75	36.01	2.16	81.71	39.79	15.56	24.63	172.65	18.56	90.77	17.77	16.63	4.94	38.95	8.58	29.48	43.02	29.91	16.03	88.88	7.11	8.32	31.9	68.07	7.82	36.79	60.39	14.67	208.38	21.94	1.5	0.96	0.54	2.56	0.99	0.83	68.55	2.01	18.29	4.74	20.26	2.76	6.36	2.01	7.57	1.87	4.17	12.36	3.47	1.16	4.74	2.61	3.69	2.01	5.68	6.26	4.28	6.31	8.06	16.63	0.0	14.03	3.06
TNFAIP8L2	19.53	23.42	90.14	256.78	281.09	158.79	187.71	214.27	88.26	105.89	148.09	148.09	237.86	226.54	149.12	129.69	176.29	98.73	136.19	37.05	135.24	356.05	246.28	85.22	100.83	211.31	118.43	267.73	105.15	277.2	279.14	99.43	163.28	102.97	211.31	215.77	191.67	223.41	109.66	63.0	201.25	162.14	73.03	41.52	149.12	241.19	214.27	132.44	158.79	161.02	215.77	47.17	232.94	248.0	100.13	173.85	220.32	89.51	320.8	56.68	128.79	106.63	159.9	59.13	273.37	176.29	189.02	100.83	332.14	70.51	128.79	202.66	258.57	118.43	363.56	258.57	78.89	387.02	132.44	43.94	18.56	8.85	101.54	45.85	23.08	312.0	46.84	145.02	51.35	220.32	44.89	43.32	23.42	39.79	18.29	39.22	164.42	53.57	22.59	25.91	81.14	56.68	18.43	21.94	54.72	52.08	9.85	32.13	218.79	34.02	75.64	52.45
TRPM2	163.28	15.8	109.66	211.31	265.87	60.39	124.37	241.19	85.22	54.33	139.07	176.29	381.68	228.13	98.73	158.79	100.83	103.69	72.01	34.26	62.12	297.17	220.32	57.89	94.01	123.5	224.97	289.02	87.03	314.17	175.07	180.02	78.34	94.67	291.04	101.54	262.2	87.65	55.89	56.68	221.86	212.78	112.77	46.18	86.43	166.73	180.02	124.37	137.14	102.25	153.34	16.51	139.07	150.17	49.91	121.79	244.57	71.0	226.54	98.73	113.56	63.0	253.23	36.53	146.03	126.12	96.01	85.22	255.0	60.39	82.29	195.72	346.29	66.65	497.0	323.03	46.18	633.73	93.35	16.75	9.85	2.32	10.47	10.88	7.82	38.4	11.3	11.21	23.59	20.41	51.71	9.56	6.94	10.96	1.41	13.93	10.0	35.0	12.64	14.45	11.47	9.13	11.91	30.78	7.57	8.51	11.13	57.49	11.38	7.17	28.24	19.68
WAS	28.45	73.03	314.17	532.74	529.06	267.73	579.04	507.46	198.47	177.53	244.57	579.04	555.41	395.18	253.23	239.52	190.34	155.5	139.07	74.06	295.11	759.08	620.67	318.57	183.82	476.71	281.09	547.75	223.41	525.39	521.76	194.36	327.56	162.14	463.65	348.71	802.41	387.02	126.12	172.65	414.87	406.31	108.9	87.65	206.94	728.11	848.22	389.72	343.89	476.71	466.88	105.89	713.11	303.44	144.01	511.0	674.59	262.2	698.41	204.07	356.05	273.37	1407.55	167.9	551.56	460.44	575.03	325.29	559.28	169.07	248.0	323.03	642.59	122.64	703.28	403.5	141.02	1304.15	249.73	139.07	36.27	31.22	92.7	71.5	73.54	373.81	217.27	111.99	92.7	281.09	167.9	57.89	107.38	105.89	78.34	314.17	131.51	215.77	154.42	133.36	135.24	118.43	87.65	146.03	147.06	110.43	146.03	154.42	195.72	51.71	166.73	72.52
WDFY4	9.34	7.63	57.08	111.21	163.28	72.52	114.36	172.65	121.79	58.3	40.07	151.22	181.28	229.72	141.02	97.36	38.95	52.45	38.95	30.56	56.28	480.04	318.57	59.55	39.5	114.36	87.03	138.1	70.01	236.21	205.5	61.68	224.97	44.25	177.53	113.56	463.65	189.02	34.75	46.5	183.82	90.14	36.79	27.84	55.1	363.56	181.28	102.25	108.9	202.66	140.04	21.94	166.73	127.0	24.99	180.02	159.9	63.45	205.5	40.07	124.37	99.43	384.34	79.45	173.85	128.79	320.8	110.43	208.38	33.06	49.21	68.55	287.01	42.41	171.45	122.64	43.02	457.25	100.83	17.0	2.32	6.78	14.67	12.64	12.18	99.43	50.98	14.24	16.63	43.02	20.56	2.94	6.89	66.18	16.03	29.48	47.84	51.71	5.45	12.0	66.18	22.75	12.18	49.21	25.91	38.12	7.75	12.55	65.26	8.32	51.71	21.63
