	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.ZT9W.1226.SM.57WE4	GTEX.111YS.1026.SM.5GZYE	GTEX.WRHK.0426.SM.4MVOG	GTEX.13QBU.0926.SM.5K7WQ	TCGA.97.8174.01A.11R.2287.07	GTEX.111YS.0626.SM.5GZXV	GTEX.13113.0426.SM.5GCOD	GTEX.ZT9W.0726.SM.4YCDC	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.77.7335.11A.01R.2045.07	TCGA.BR.6452.01A.12R.1802.13	TCGA.VQ.AA6I.01A.11R.A414.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5726.01A.11R.1602.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6802.01A.11R.1884.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.VQ.A8PX.01A.12R.A414.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.D7.6820.01A.11R.1884.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.BR.6457.11A.01R.1802.13	TCGA.HU.A4GN.11A.12R.A251.31	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.HU.A4G3.11A.11R.A24K.31	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	TCGA.AX.A0IZ.11A.11R.A27V.07
NOB1	748.61	669.92	559.28	483.38	373.81	525.39	813.63	450.94	728.11	599.49	698.41	791.35	1498.22	1870.53	1066.48	1561.89	2520.38	1572.76	1447.15	1143.1	1313.23	1407.55	1561.89	1044.52	1304.15	1304.15	1096.5	1277.29	1096.5	915.51	743.43	890.44	902.89	1135.2	1359.57	1242.34	1151.06	808.0	1135.2	1388.16	1407.55
NOC2L	819.3	878.17	796.86	713.11	688.78	915.51	1242.34	579.04	860.08	718.08	802.41	381.68	1397.83	1794.29	733.19	1159.07	2209.26	1286.18	1857.6	1721.16	1617.0	529.06	1331.57	1359.57	1519.15	2319.15	974.5	941.27	954.43	796.86	624.99	738.29	738.29	775.05	759.08	915.51	312.0	642.59	738.29	753.83	902.89
NOP2	507.46	500.46	373.81	314.17	258.57	327.56	536.45	211.31	403.5	603.67	202.66	226.54	1250.98	796.86	633.73	780.44	1175.27	743.43	1119.56	961.07	1167.14	743.43	775.05	1242.34	1407.55	1487.87	500.46	796.86	417.77	379.04	356.05	417.77	295.11	684.02	457.25	525.39	204.07	373.81	503.95	567.1	299.25
ORC1	5.11	5.11	6.01	4.7	4.24	4.86	26.86	3.76	12.64	11.04	5.68	3.92	172.65	279.14	48.87	50.98	206.94	126.12	118.43	113.56	120.94	64.8	72.52	63.89	28.04	105.89	55.49	49.56	28.24	38.95	2.29	36.01	3.38	28.86	19.97	74.06	26.47	3.47	32.36	74.58	1.79
PDF	54.33	85.22	50.63	109.66	103.69	80.01	44.89	88.88	96.68	72.01	88.26	76.71	260.38	366.09	187.71	339.14	483.38	190.34	309.83	334.46	283.05	212.78	264.03	175.07	212.78	361.04	242.88	327.56	142.01	176.29	136.19	197.09	118.43	242.88	201.25	251.48	152.28	155.5	212.78	220.32	69.03
PDIA3	3540.14	3060.45	3018.3	3901.01	4210.15	3690.52	10512.82	6887.62	8134.41	6381.92	7589.61	7695.57	17197.56	13215.02	10659.59	12764.83	14361.31	12329.98	11267.44	20593.91	14361.31	8421.31	17078.76	12076.21	14663.09	18819.27	15392.14	11992.79	13399.51	14262.1	3768.09	11345.82	5403.7	8191.0	9808.75	12415.75	6561.36	3303.0	12676.65	7230.1	5633.22
PGC	8046889.67	1634025.56	144.01	3443.31	934.76	0.0	887875.81	585779.24	577714.63	431797.89	2729110.67	3146.52	48307.85	462789.59	2310861.52	1535204.12	34876.28	2310861.52	535303.41	2310861.52	363097.14	3200796.55	1.011504819E7	1131651.83	5128124.01	757033.75	1851161.35	1956711.0	2068278.89	5690009.96	647.07	2025714.3	6121.9	2025714.3	2126426.15	851707.37	1634025.56	12.93	4885245.74	2654482.97	0.0
PGM3	187.71	221.86	176.29	201.25	162.14	332.14	358.54	232.94	277.2	368.65	182.55	417.77	941.27	595.34	708.18	470.14	647.07	616.37	848.22	1369.04	684.02	638.15	389.72	1015.93	583.07	934.76	624.99	540.19	764.36	688.78	172.65	473.41	186.4	470.14	346.29	921.88	454.09	108.14	435.55	480.04	273.37
PKMYT1	19.53	22.43	21.01	26.86	32.36	22.26	87.03	49.91	46.84	66.18	70.51	26.47	759.08	1794.29	271.48	460.44	1447.15	684.02	995.0	669.92	1369.04	332.14	995.0	281.09	361.04	813.63	318.57	463.65	273.37	197.09	13.32	115.16	30.56	234.57	239.52	559.28	102.97	8.92	285.03	379.04	13.72
PKP3	81.14	22.75	7.17	17.77	19.25	21.47	293.07	392.44	287.01	384.34	490.14	167.9	1529.73	2061.24	620.67	703.28	2701.35	1605.83	3124.78	2976.74	1208.34	961.07	1397.83	1745.2	1936.53	2645.74	1769.57	2468.49	1529.73	1081.39	3.14	1378.57	301.33	358.54	872.1	1769.57	265.87	2.03	967.76	429.54	1.91
PLK1	77.79	54.33	27.64	11.55	34.02	41.22	118.43	7.88	38.67	44.57	43.63	31.45	1250.98	3303.0	400.71	728.11	2777.33	1313.23	1572.76	1769.57	1498.22	595.34	1487.87	808.0	514.56	1572.76	607.87	1015.93	444.72	341.51	7.63	327.56	33.54	397.93	381.68	1096.5	154.42	14.78	587.13	1030.12	7.51
POC1A	28.45	20.56	28.86	11.73	14.89	18.03	55.49	33.3	50.98	50.27	46.5	49.91	281.09	395.18	94.67	99.43	389.72	180.02	215.77	269.6	518.15	156.59	438.59	139.07	155.5	301.33	183.82	246.28	140.04	103.69	4.54	127.89	19.11	161.02	117.6	267.73	126.12	11.73	198.47	190.34	15.0
PPP1R14B	1216.75	860.08	616.37	872.1	1001.93	1159.07	1044.52	423.61	718.08	656.11	928.3	1199.98	2855.44	2351.53	2224.63	2417.67	3847.29	2451.44	2555.58	3665.02	5633.22	2895.31	3124.78	2367.9	2485.67	3847.29	2119.22	2895.31	1709.26	1508.65	1639.59	1594.73	1844.76	2956.17	2271.4	2664.15	2855.44	1322.37	2895.31	2855.44	620.67
PTBP1	2573.36	2627.46	2119.22	2224.63	2193.99	2417.67	3589.58	3349.13	3212.66	3372.43	1923.14	2133.97	6935.54	7749.1	4419.52	6792.79	9606.86	5672.41	7911.95	6983.79	6745.86	6745.86	7230.1	6164.49	4450.27	6381.92	5076.84	5913.33	5041.77	4123.49	2335.28	4239.45	2573.36	3716.2	4066.71	5183.54	1437.15	2287.2	3540.14	3280.18	2104.58
RAB11FIP4	28.65	23.08	21.94	24.11	18.7	23.76	165.57	237.86	102.97	258.57	329.84	59.97	429.54	248.0	351.14	620.67	703.28	723.08	466.88	738.29	435.55	412.0	316.37	497.0	642.59	1313.23	466.88	909.17	884.29	703.28	6.26	878.17	82.87	301.33	423.61	373.81	99.43	10.31	595.34	269.6	10.47
RAD51	20.56	7.17	20.41	11.82	14.45	9.41	29.27	16.63	27.44	67.59	27.25	24.11	392.44	283.05	117.6	99.43	318.57	295.11	139.07	244.57	356.05	39.79	277.2	170.25	221.86	229.72	172.65	113.56	64.8	74.06	7.06	85.82	16.39	93.35	79.45	242.88	87.65	5.5	116.78	183.82	35.76
RECQL4	78.34	57.49	40.36	46.5	40.64	48.18	142.01	15.56	51.35	36.01	63.0	33.3	599.49	1088.92	234.57	98.73	1143.1	476.71	902.89	343.89	813.63	246.28	262.2	896.64	457.25	848.22	130.6	204.07	150.17	136.19	11.55	80.57	23.76	159.9	119.26	202.66	30.56	23.59	97.36	153.34	40.93
RIBC2	2.63	3.06	2.71	0.93	3.76	6.62	10.63	29.06	9.41	11.64	53.95	29.27	61.68	115.97	33.78	31.0	43.02	15.56	42.11	55.1	25.35	41.22	35.25	28.04	26.47	73.03	25.72	12.93	29.91	25.91	8.78	23.93	6.21	14.67	21.16	43.02	24.63	0.65	15.34	29.06	8.51
RTCA	376.41	368.65	381.68	343.89	361.04	392.44	332.14	373.81	525.39	423.61	543.96	454.09	525.39	432.53	703.28	511.0	476.71	529.06	679.29	928.3	624.99	612.11	703.28	674.59	497.0	521.76	460.44	529.06	403.5	507.46	291.04	579.04	447.82	571.05	441.64	607.87	647.07	348.71	563.18	490.14	417.77
RUVBL2	1030.12	854.13	1001.93	954.43	848.22	884.29	921.88	961.07	1143.1	941.27	1407.55	872.1	1378.57	2976.74	1127.35	1936.53	2664.15	1427.22	1883.54	1909.85	1733.13	1397.83	1662.49	1594.73	1233.75	1397.83	1397.83	1427.22	1304.15	1066.48	981.29	1037.29	1051.79	1268.46	1397.83	1745.2	988.12	947.83	1417.35	1487.87	1001.93
SAPCD2	5.82	10.0	2.58	1.95	5.06	3.76	41.22	6.84	9.63	12.27	19.11	4.54	638.15	432.53	93.35	271.48	441.64	679.29	209.84	518.15	339.14	117.6	791.35	329.84	429.54	1044.52	251.48	258.57	170.25	146.03	1.46	147.06	2.89	132.44	125.24	258.57	94.01	0.83	191.67	162.14	0.59
SCRIB	703.28	759.08	679.29	587.13	713.11	647.07	854.13	435.55	743.43	579.04	872.1	271.48	1572.76	2664.15	981.29	981.29	2895.31	1331.57	2976.74	1467.37	2758.13	1457.23	1143.1	3349.13	2163.77	2502.97	1225.22	1030.12	1225.22	1088.92	607.87	791.35	642.59	802.41	961.07	848.22	229.72	688.78	1015.93	647.07	466.88
SEC23B	285.03	267.73	221.86	264.03	285.03	255.0	1378.57	1191.69	1286.18	1268.46	1167.14	1051.79	1508.65	1151.06	1051.79	1561.89	1936.53	1340.84	1605.83	3235.01	1111.82	934.76	1769.57	1437.15	1697.45	2193.99	1378.57	1073.91	1199.98	1857.6	173.85	1447.15	307.69	1066.48	988.12	1498.22	780.44	194.36	1268.46	866.07	363.56
SEC61A1	1757.34	1617.0	1651.0	1605.83	1540.37	1709.26	3325.99	2047.0	2835.7	2367.9	2835.7	2061.24	5076.84	2739.08	4038.61	5517.27	2997.45	4450.27	5954.47	8718.32	5517.27	7230.1	4972.34	5633.22	5183.54	4419.52	4543.8	3928.15	5076.84	5479.15	1605.83	5255.91	1950.0	3395.89	3690.52	4543.8	1583.71	1709.26	4066.71	2609.3	1950.0
SGK2	301.33	54.72	13.93	1.13	5.77	45.21	28.86	5.68	5.19	5.92	98.04	7.57	616.37	246.28	373.81	249.73	974.5	136.19	1208.34	1259.69	248.0	387.02	69.52	521.76	56.28	60.39	497.0	1081.39	525.39	693.58	15.91	1037.29	172.65	497.0	503.95	872.1	417.77	16.88	854.13	384.34	5.59
SHB	205.5	183.82	124.37	164.42	212.78	171.45	172.65	384.34	299.25	389.72	267.73	191.67	470.14	583.07	269.6	647.07	397.93	406.31	759.08	587.13	928.3	961.07	780.44	426.57	555.41	624.99	587.13	1030.12	470.14	400.71	447.82	435.55	307.69	291.04	339.14	470.14	215.77	239.52	258.57	283.05	158.79
SLC35F6	395.18	327.56	325.29	279.14	351.14	325.29	307.69	518.15	693.58	587.13	723.08	460.44	555.41	909.17	480.04	688.78	603.67	723.08	830.75	733.19	708.18	532.74	748.61	669.92	1066.48	1304.15	603.67	616.37	674.59	543.96	450.94	497.0	500.46	361.04	503.95	543.96	368.65	497.0	441.64	356.05	351.14
SLC52A2	426.57	435.55	460.44	392.44	397.93	262.2	981.29	620.67	890.44	638.15	753.83	429.54	2451.44	1674.06	842.36	1529.73	2816.11	1745.2	3395.89	2701.35	2875.3	1561.89	2720.15	3146.52	2664.15	4543.8	1340.84	1268.46	1191.69	1037.29	283.05	1015.93	363.56	890.44	1066.48	1794.29	698.41	264.03	967.76	909.17	271.48
SNRPA	1457.23	1096.5	1183.45	848.22	915.51	1175.27	1498.22	480.04	780.44	532.74	748.61	981.29	2400.97	2895.31	2075.59	2133.97	3168.41	2573.36	2816.11	2956.17	2591.27	1896.65	2032.85	1832.01	1745.2	1950.0	2104.58	2075.59	1883.54	1487.87	1896.65	1437.15	2384.37	2224.63	2434.5	2400.97	1151.06	2090.03	2303.12	3146.52	1529.73
SRC	1457.23	947.83	813.63	698.41	595.34	872.1	764.36	500.46	563.18	366.09	688.78	420.68	2133.97	2133.97	1175.27	2104.58	2271.4	1923.14	3443.31	2895.31	1769.57	2645.74	2209.26	3325.99	1721.16	4152.18	2555.58	2417.67	3103.19	2609.3	688.78	2400.97	1073.91	1127.35	1923.14	2209.26	928.3	633.73	1870.53	1135.2	713.11
SRSF2	2835.7	3018.3	2555.58	2627.46	2796.65	2816.11	2777.33	2720.15	2555.58	3235.01	2520.38	2855.44	5041.77	4328.55	4704.07	3540.14	6652.97	4736.79	4095.0	5479.15	4639.29	3716.2	3168.41	3742.05	3018.3	3901.01	3614.55	5255.91	3665.02	2935.74	3124.78	2627.46	2895.31	4298.64	3349.13	4802.93	3443.31	2609.3	3168.41	4937.99	1674.06
STIL	6.11	5.23	4.9	15.11	10.88	3.47	37.59	12.93	14.67	14.89	24.28	9.27	201.25	327.56	113.56	96.01	142.01	221.86	114.36	115.97	234.57	161.02	353.59	460.44	128.79	267.73	76.17	45.21	35.5	50.98	15.34	28.86	8.25	63.89	33.54	92.7	30.12	9.27	31.67	78.89	7.82
STT3A	1044.52	1023.0	842.36	872.1	830.75	872.1	2018.8	1331.57	1662.49	1233.75	2133.97	1857.6	3540.14	1963.57	2319.15	2303.12	2627.46	2816.11	3018.3	5006.93	2163.77	2627.46	3847.29	3467.27	2335.28	3614.55	3190.46	2148.82	3564.78	3419.52	1073.91	2777.33	1304.15	2520.38	2609.3	2400.97	1605.83	1127.35	3768.09	1832.01	2240.11
SUV39H1	90.77	105.15	85.22	50.63	71.5	83.45	104.42	114.36	92.05	104.42	142.01	74.58	197.09	323.03	111.21	180.02	281.09	169.07	136.19	242.88	438.59	132.44	373.81	223.41	140.04	346.29	146.03	150.17	123.5	146.03	73.54	113.56	80.57	134.3	126.12	198.47	82.87	89.51	124.37	185.11	87.03
TBL3	624.99	521.76	638.15	563.18	483.38	540.19	656.11	703.28	909.17	547.75	808.0	441.64	728.11	1350.18	503.95	1233.75	1277.29	872.1	974.5	1159.07	890.44	563.18	878.17	642.59	785.88	813.63	791.35	884.29	941.27	665.29	397.93	775.05	397.93	688.78	723.08	808.0	353.59	379.04	819.3	583.07	743.43
TIAF1	183.82	135.24	149.12	99.43	132.44	153.34	177.53	66.65	111.99	105.89	183.82	91.41	131.51	169.07	212.78	251.48	170.25	208.38	551.56	397.93	417.77	211.31	202.66	214.27	327.56	684.02	155.5	251.48	226.54	264.03	96.01	249.73	155.5	242.88	341.51	106.63	75.64	100.13	412.0	161.02	162.14
TMEM214	1498.22	1216.75	1268.46	1216.75	1119.56	1259.69	1119.56	748.61	1001.93	941.27	967.76	1044.52	2319.15	2627.46	2255.7	2104.58	1819.35	2627.46	3982.99	4671.57	2627.46	2367.9	3212.66	3168.41	3280.18	3742.05	2758.13	2502.97	2816.11	3060.45	1127.35	2816.11	1225.22	1977.24	2485.67	2739.08	1059.11	1059.11	2163.77	1651.0	974.5
TMEM8A	1001.93	836.53	842.36	684.02	684.02	1111.82	1286.18	738.29	1467.37	1159.07	1991.0	497.0	2163.77	1963.57	1088.92	2090.03	1135.2	1639.59	2915.45	3039.3	2351.53	2224.63	1417.35	1081.39	1832.01	3372.43	1844.76	2502.97	2875.3	2061.24	447.82	1745.2	728.11	1340.84	2032.85	2163.77	669.92	612.11	2627.46	981.29	307.69
TOMM40	633.73	607.87	551.56	536.45	521.76	579.04	842.36	551.56	802.41	775.05	1208.34	403.5	2163.77	2777.33	808.0	1896.65	3614.55	2178.83	2319.15	2627.46	2032.85	981.29	1733.13	1561.89	1397.83	2384.37	1066.48	1529.73	1051.79	796.86	612.11	974.5	612.11	954.43	909.17	1417.35	518.15	551.56	1199.98	961.07	409.15
TONSL	33.54	27.84	20.26	17.13	17.77	13.83	70.51	19.53	40.64	22.75	24.46	11.55	529.06	500.46	131.51	101.54	825.0	366.09	325.29	226.54	460.44	165.57	156.59	323.03	172.65	273.37	163.28	126.12	147.06	96.68	46.84	79.45	49.91	87.65	81.71	119.26	34.51	63.89	90.14	84.04	33.06
TPX2	4.1	17.25	5.82	10.63	13.03	6.84	87.03	17.9	38.95	45.85	31.0	33.54	543.96	1008.9	170.25	316.37	974.5	457.25	579.04	507.46	616.37	314.17	642.59	616.37	224.97	934.76	303.44	293.07	147.06	173.85	3.47	153.34	9.63	208.38	159.9	312.0	92.05	2.43	283.05	432.53	7.11
TRABD	703.28	620.67	500.46	480.04	529.06	629.35	974.5	454.09	426.57	688.78	583.07	253.23	1540.37	1674.06	1388.16	1340.84	1991.0	1709.26	1832.01	2664.15	2255.7	688.78	1242.34	1709.26	1286.18	1286.18	1467.37	1551.09	1183.45	1242.34	327.56	947.83	483.38	1806.78	1295.13	2104.58	540.19	289.02	796.86	1529.73	246.28
TRIP13	24.99	14.14	9.13	12.74	15.22	5.87	35.76	29.27	41.81	21.78	45.85	16.88	289.02	1331.57	97.36	107.38	256.78	264.03	368.65	239.52	332.14	151.22	224.97	242.88	323.03	406.31	103.69	98.04	49.21	40.07	14.67	46.5	18.29	91.41	47.5	139.07	65.26	11.3	81.14	118.43	16.75
TUBA1C	2287.2	2061.24	2090.03	2287.2	2133.97	1447.15	1819.35	2645.74	3280.18	4802.93	3146.52	2956.17	7589.61	6516.03	4736.79	7081.29	10585.95	5441.3	12244.81	14561.8	7485.11	7032.37	10225.32	6840.04	9945.68	10368.08	6792.79	12853.63	6337.83	5711.87	1529.73	7032.37	3540.14	3018.3	4836.35	11112.3	6337.83	738.29	7331.05	6840.04	1467.37
TUBB4B	4512.4	4123.49	4419.52	4639.29	5147.73	2468.49	2367.9	5183.54	5872.48	8022.41	6121.9	3768.09	8191.0	9474.59	3955.48	6381.92	11664.82	6792.79	9808.75	16157.44	10512.82	4512.4	10296.45	5041.77	6840.04	18689.27	7280.4	11424.74	7032.37	5183.54	3235.01	8247.98	3395.89	4181.07	5751.61	8658.09	4358.66	2664.15	8840.04	5913.33	1709.26
TUBG1	743.43	769.69	902.89	890.44	921.88	684.02	518.15	493.56	848.22	620.67	454.09	518.15	1304.15	1359.57	660.68	1225.22	1437.15	813.63	1159.07	2119.22	1685.71	1001.93	1896.65	718.08	1015.93	1359.57	1286.18	1119.56	1096.5	915.51	708.18	860.08	733.19	1001.93	1088.92	1540.37	638.15	688.78	1111.82	1059.11	376.41
UBE2S	633.73	447.82	587.13	591.22	638.15	336.79	780.44	595.34	629.35	529.06	299.25	332.14	1628.26	2935.74	728.11	2384.37	2976.74	1662.49	1697.45	2609.3	2935.74	791.35	1651.0	1286.18	1769.57	1733.13	1191.69	1417.35	872.1	540.19	412.0	642.59	764.36	1407.55	1073.91	1757.34	909.17	301.33	1159.07	2434.5	400.71
VAC14	563.18	543.96	507.46	633.73	679.29	409.15	647.07	688.78	819.3	669.92	1104.13	525.39	1059.11	1457.23	1088.92	1870.53	1059.11	1073.91	1369.04	1369.04	1467.37	813.63	896.64	947.83	629.35	1167.14	884.29	1059.11	860.08	1008.9	620.67	860.08	511.0	1037.29	1051.79	995.0	529.06	503.95	1242.34	830.75	412.0
VDAC1	2335.28	2240.11	2148.82	2335.28	2555.58	2133.97	3018.3	2018.8	2664.15	2240.11	2935.74	2468.49	6745.86	5913.33	5006.93	6426.31	5913.33	7130.55	8963.45	5791.62	5791.62	5672.41	1857.6	5555.65	5913.33	12160.22	5633.22	5403.7	5112.16	6037.61	1769.57	6471.02	3235.01	4181.07	5112.16	5292.48	5147.73	1697.45	6337.83	3768.09	1199.98
WDR34	612.11	518.15	389.72	381.68	543.96	371.22	780.44	723.08	967.76	633.73	1225.22	624.99	1651.0	1733.13	878.17	1175.27	2240.11	1286.18	1447.15	1977.24	1832.01	684.02	1447.15	1508.65	1104.13	2271.4	1135.2	1457.23	1151.06	947.83	334.46	830.75	476.71	941.27	1066.48	1540.37	1008.9	329.84	1183.45	830.75	595.34
WDR62	8.25	9.85	5.59	2.94	7.63	10.16	26.1	10.08	14.78	16.27	12.0	10.24	135.24	239.52	52.45	111.99	121.79	101.54	131.51	132.44	138.1	44.57	96.68	76.17	68.55	134.3	50.63	44.25	25.35	29.48	3.92	20.86	5.06	28.86	20.56	50.98	3.82	5.63	29.27	54.72	4.98
YARS	647.07	674.59	651.58	616.37	559.28	656.11	1617.0	872.1	1104.13	1015.93	836.53	825.0	1977.24	1628.26	1378.57	1617.0	1540.37	1331.57	1651.0	2061.24	1259.69	693.58	1175.27	1313.23	1159.07	1331.57	1350.18	1674.06	1769.57	2163.77	616.37	1350.18	587.13	1159.07	1286.18	1529.73	703.28	575.03	1457.23	1151.06	483.38
ZC3H18	669.92	591.22	540.19	616.37	403.5	579.04	563.18	441.64	559.28	591.22	423.61	287.01	612.11	1066.48	521.76	796.86	796.86	684.02	660.68	679.29	775.05	603.67	688.78	665.29	463.65	1417.35	624.99	651.58	674.59	521.76	480.04	529.06	429.54	599.49	638.15	764.36	140.04	587.13	500.46	518.15	511.0
ZC3H3	441.64	376.41	329.84	234.57	297.17	262.2	318.57	223.41	228.13	346.29	224.97	139.07	607.87	748.61	363.56	389.72	733.19	563.18	583.07	444.72	854.13	483.38	497.0	698.41	647.07	860.08	444.72	441.64	450.94	341.51	283.05	258.57	217.27	348.71	348.71	316.37	96.68	309.83	312.0	285.03	205.5
