	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.L5.A4OG.11A.12R.A260.31	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A2.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.FV.A23B.11A.11R.A16W.07	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.VQ.A923.01A.11R.A414.31	TCGA.HU.A4G8.01A.11R.A251.31	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.D7.A4YV.01A.11R.A251.31
VPS8	476.71	511.0	193.01	162.14	463.65	78.34	95.34	68.55	102.25	102.97	224.97	540.19	934.76	438.59	633.73	629.35	521.76
WDR52	358.54	674.59	133.36	77.79	305.55	51.35	31.45	25.72	2.58	23.25	71.0	255.0	624.99	182.55	281.09	591.22	211.31
WFDC2	1.736886224E7	2.009035788E7	529.06	105.15	353.59	60.39	81.14	45.85	88.88	334.46	158.79	3901.01	87.65	371.22	18.29	2468.49	703.28
YEATS2	181.28	199.85	76.17	78.34	295.11	30.12	44.89	19.97	29.48	46.84	75.64	414.87	511.0	277.2	417.77	397.93	507.46
ZBP1	22.59	69.03	46.84	34.51	59.13	5.63	7.51	4.31	11.38	7.75	50.27	199.85	161.02	122.64	258.57	232.94	96.68
ZBTB11	166.73	215.77	136.19	98.73	193.01	61.68	74.06	59.55	23.25	65.72	114.36	305.55	343.89	299.25	368.65	297.17	309.83
ZBTB2	267.73	400.71	154.42	114.36	159.9	93.35	119.26	104.42	43.63	85.82	113.56	228.13	239.52	185.11	316.37	271.48	190.34
ZDHHC5	603.67	848.22	684.02	674.59	785.88	497.0	529.06	567.1	575.03	518.15	660.68	1268.46	1208.34	808.0	1143.1	1199.98	1037.29
ZNF195	543.96	387.02	237.86	193.01	316.37	140.04	145.02	88.88	35.76	115.97	178.77	583.07	1467.37	718.08	651.58	764.36	1030.12
ZNF236	70.01	72.01	39.22	27.44	108.14	18.7	25.91	18.43	16.15	17.77	44.25	122.64	116.78	134.3	183.82	144.01	115.97
ZNF41	123.5	178.77	61.25	47.84	115.16	37.05	38.67	21.16	13.52	26.67	59.97	162.14	173.85	115.97	251.48	166.73	140.04
ZNF587	126.12	400.71	102.97	73.54	358.54	67.12	27.44	26.28	35.25	31.67	77.79	684.02	1044.52	429.54	1001.93	941.27	743.43
ZNF587B	85.22	127.89	100.13	87.03	135.24	75.64	43.94	65.26	43.63	37.85	91.41	348.71	387.02	395.18	379.04	373.81	205.5
ZNF782	42.11	77.79	35.25	22.43	55.49	12.09	24.11	16.75	10.55	8.99	30.12	59.97	86.43	57.49	105.89	67.12	73.54
ZNF827	164.42	156.59	31.22	22.59	163.28	9.48	8.25	1.93	4.46	5.63	16.39	275.28	129.69	80.57	327.56	318.57	64.8
ZNF92	66.65	105.15	45.53	36.79	102.25	20.86	29.27	11.73	2.68	18.03	37.59	140.04	195.72	164.42	229.72	189.02	183.82
