	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.LT.A5Z6.01A.11R.A28M.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8324.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.13OW6.1826.SM.5N9F9	GTEX.1497J.0826.SM.5NQAJ	GTEX.13OVI.1126.SM.5KLZF	GTEX.147F4.2626.SM.5Q5CS	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5679.11A.01R.1541.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.B0.5694.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.CW.5589.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.B0.5705.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.BQ.7051.11A.02R.1965.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.RWSA.1426.SM.47JXA	GTEX.REY6.1226.SM.48FDR	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.11TTK.0826.SM.5N9EG	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW
GPX3	135693.24	198.47	265.87	728.11	10808.41	540.19	738.29	2796.65	1233.75	3982.99	353168.2	239554.43	783730.52	391864.76	191899.64	394590.4	417089.23	327241.36	305326.92	299043.36	237899.7	378516.38	144427.91	37121.34	355624.68	365622.68	336441.4	265802.39	492579.5	736332.6	434801.29	150561.19	246289.25	334117.42	207103.59	176583.6	434801.29	450134.56	303217.87	641014.63	327241.36	417089.23	316094.29	296977.71	517068.97	482442.34	311742.51	322736.12	228208.61	296977.71	5831.91	305326.92	299043.36	561916.97	93974.69	318292.9	320506.81	400098.69	383800.28	389157.95	102836.01	472513.8	186652.11	299043.36	267651.2	389157.95	453265.5	772940.66	358098.26	422911.59	254974.66	378516.38	711250.37	668235.84	767601.56	524287.0	466008.55	577714.63	696613.03	20451.65	61146.25	30785.28	47974.16	52863.07	48982.22	19892.37	17078.76	320506.81	8479.89	180294.02	546551.29	499455.67	419990.32	405683.88	334117.42	428815.23	284880.02	513497.31
KIAA1279	351.14	346.29	444.72	291.04	287.01	215.77	220.32	155.5	253.23	293.07	476.71	423.61	256.78	473.41	412.0	327.56	361.04	532.74	358.54	599.49	381.68	500.46	595.34	514.56	511.0	536.45	490.14	447.82	620.67	363.56	438.59	511.0	450.94	400.71	547.75	540.19	376.41	503.95	551.56	490.14	466.88	503.95	486.75	480.04	368.65	507.46	476.71	438.59	480.04	483.38	854.13	466.88	463.65	314.17	551.56	444.72	480.04	460.44	551.56	547.75	759.08	490.14	373.81	327.56	460.44	361.04	392.44	450.94	438.59	466.88	476.71	389.72	387.02	403.5	409.15	373.81	466.88	351.14	426.57	76.17	204.07	165.57	147.06	202.66	150.17	158.79	107.38	256.78	133.36	87.03	339.14	463.65	500.46	447.82	303.44	490.14	543.96	507.46
KLHL2	53.95	159.9	146.03	183.82	136.19	55.89	89.51	44.57	88.26	55.49	346.29	329.84	299.25	366.09	316.37	320.8	403.5	256.78	307.69	332.14	267.73	373.81	500.46	470.14	559.28	258.57	182.55	316.37	220.32	366.09	432.53	486.75	417.77	351.14	429.54	420.68	463.65	432.53	507.46	420.68	454.09	414.87	291.04	420.68	420.68	525.39	406.31	346.29	368.65	406.31	708.18	497.0	387.02	307.69	444.72	358.54	381.68	403.5	435.55	435.55	616.37	457.25	242.88	191.67	366.09	314.17	351.14	387.02	281.09	325.29	379.04	314.17	329.84	361.04	397.93	323.03	392.44	295.11	307.69	85.82	218.79	195.72	127.89	194.36	265.87	201.25	231.32	603.67	244.57	638.15	381.68	373.81	265.87	281.09	329.84	363.56	473.41	392.44
LANCL1	153.34	166.73	154.42	248.0	195.72	186.4	186.4	173.85	208.38	358.54	1037.29	808.0	669.92	723.08	791.35	813.63	1096.5	595.34	559.28	941.27	1023.0	947.83	1191.69	1757.34	1127.35	915.51	466.88	432.53	921.88	713.11	941.27	974.5	995.0	961.07	974.5	884.29	981.29	974.5	842.36	884.29	1051.79	967.76	802.41	1023.0	738.29	974.5	1030.12	1001.93	890.44	1044.52	1487.87	896.64	836.53	791.35	1167.14	988.12	1135.2	921.88	915.51	902.89	1143.1	902.89	441.64	224.97	656.11	743.43	759.08	764.36	738.29	796.86	780.44	738.29	738.29	603.67	866.07	713.11	723.08	638.15	785.88	341.51	420.68	199.85	204.07	273.37	217.27	327.56	191.67	190.34	113.56	112.77	518.15	483.38	438.59	441.64	323.03	432.53	423.61	366.09
LCA5	33.3	22.43	26.1	34.75	29.06	44.57	24.11	18.29	33.06	7.28	79.45	59.13	36.27	69.03	51.71	51.35	59.13	31.0	59.97	21.63	123.5	57.89	249.73	201.25	74.58	92.7	41.52	45.21	108.9	50.63	67.12	119.26	110.43	65.72	98.04	108.9	96.01	88.26	92.7	63.89	90.14	72.01	64.34	97.36	49.91	86.43	85.22	78.34	55.49	92.7	327.56	89.51	84.04	69.03	82.29	67.12	95.34	70.01	82.87	108.14	95.34	98.73	19.53	5.87	49.56	50.27	78.34	56.68	45.21	48.52	57.89	57.49	49.56	49.21	52.08	52.82	62.12	54.72	59.13	4.82	3.99	1.71	2.86	1.19	7.46	2.61	2.53	27.44	5.63	1.85	309.83	214.27	187.71	164.42	161.02	158.79	218.79	95.34
LNPEP	50.27	52.08	70.01	131.51	57.49	57.08	57.49	54.72	90.14	58.3	237.86	178.77	62.12	163.28	178.77	103.69	100.13	139.07	206.94	212.78	121.79	299.25	633.73	543.96	295.11	170.25	120.1	90.14	239.52	136.19	264.03	329.84	309.83	269.6	316.37	301.33	236.21	246.28	239.52	186.4	275.28	194.36	173.85	265.87	115.97	256.78	236.21	277.2	246.28	269.6	947.83	273.37	211.31	138.1	403.5	246.28	217.27	229.72	215.77	218.79	348.71	258.57	72.01	40.07	106.63	165.57	191.67	129.69	180.02	182.55	209.84	229.72	142.01	130.6	187.71	157.68	244.57	182.55	151.22	36.79	65.26	26.1	30.34	38.95	29.48	20.71	21.47	19.97	30.12	29.91	175.07	144.01	224.97	180.02	59.97	182.55	248.0	147.06
MEF2A	301.33	144.01	212.78	226.54	98.73	194.36	117.6	158.79	232.94	220.32	723.08	559.28	366.09	669.92	703.28	447.82	624.99	392.44	432.53	414.87	780.44	607.87	1963.57	1447.15	693.58	769.69	607.87	480.04	802.41	567.1	785.88	1104.13	954.43	753.83	1088.92	902.89	743.43	915.51	860.08	595.34	836.53	872.1	638.15	825.0	579.04	796.86	759.08	703.28	813.63	961.07	1250.98	808.0	688.78	500.46	878.17	679.29	785.88	764.36	830.75	728.11	1143.1	791.35	232.94	83.45	470.14	563.18	647.07	579.04	540.19	603.67	660.68	603.67	476.71	503.95	575.03	551.56	728.11	529.06	579.04	226.54	241.19	152.28	236.21	115.97	217.27	104.42	110.43	140.04	136.19	186.4	688.78	473.41	493.56	525.39	389.72	743.43	543.96	466.88
MSI2	444.72	583.07	620.67	802.41	583.07	490.14	559.28	728.11	728.11	389.72	1225.22	1617.0	941.27	1159.07	1037.29	1167.14	1674.06	543.96	2434.5	1437.15	1397.83	1331.57	1127.35	1340.84	2816.11	1295.13	591.22	1059.11	579.04	1127.35	1685.71	1870.53	1883.54	2032.85	1350.18	1651.0	1733.13	1388.16	1066.48	995.0	1447.15	1529.73	1304.15	1685.71	1081.39	1467.37	1487.87	1628.26	1388.16	1605.83	1498.22	1594.73	1427.22	1015.93	1794.29	1617.0	1208.34	1498.22	1208.34	1350.18	1628.26	1457.23	780.44	463.65	967.76	1437.15	1073.91	1199.98	1250.98	1225.22	1605.83	1651.0	1151.06	1175.27	1268.46	1437.15	1030.12	1143.1	1233.75	242.88	507.46	158.79	348.71	7.51	129.69	500.46	199.85	476.71	205.5	414.87	967.76	921.88	1331.57	836.53	620.67	961.07	915.51	921.88
NCKAP1	753.83	693.58	684.02	507.46	698.41	679.29	591.22	693.58	493.56	457.25	1757.34	1359.57	981.29	1498.22	1304.15	1242.34	1757.34	1143.1	1008.9	1313.23	1437.15	1832.01	2485.67	2193.99	2148.82	2434.5	1167.14	1242.34	1304.15	1674.06	1832.01	1896.65	1757.34	1561.89	1977.24	1662.49	1685.71	1794.29	2018.8	1936.53	1883.54	1685.71	1605.83	1857.6	1685.71	2193.99	1757.34	1806.78	1709.26	1721.16	3349.13	1721.16	1733.13	1508.65	1963.57	1617.0	2047.0	1662.49	1551.09	1896.65	2090.03	1685.71	1023.0	406.31	1295.13	1199.98	1487.87	1781.89	1277.29	1594.73	1277.29	1259.69	1583.71	1639.59	1832.01	1322.37	1594.73	1350.18	1909.85	466.88	796.86	417.77	358.54	414.87	486.75	373.81	303.44	647.07	224.97	301.33	1508.65	1388.16	1923.14	1259.69	1143.1	1359.57	1781.89	1225.22
NEK1	55.49	38.67	74.06	70.01	30.34	43.94	49.21	33.54	44.25	34.51	144.01	121.79	96.01	119.26	120.1	95.34	128.79	111.99	102.97	109.66	158.79	106.63	183.82	244.57	141.02	164.42	105.15	127.89	194.36	116.78	161.02	171.45	171.45	166.73	202.66	167.9	143.01	153.34	138.1	123.5	175.07	151.22	128.79	173.85	104.42	178.77	153.34	169.07	125.24	175.07	253.23	163.28	147.06	105.15	209.84	150.17	138.1	119.26	152.28	144.01	172.65	167.9	82.87	27.84	107.38	121.79	140.04	112.77	115.97	125.24	162.14	127.89	115.97	107.38	134.3	122.64	122.64	92.05	119.26	21.94	43.02	25.35	21.47	24.63	48.87	43.02	19.53	30.12	42.11	34.75	169.07	145.02	148.09	154.42	165.57	101.54	211.31	141.02
PIK3CA	189.02	78.89	73.54	63.89	84.63	118.43	108.14	82.29	157.68	46.5	231.32	150.17	111.21	208.38	170.25	140.04	138.1	111.99	214.27	181.28	231.32	198.47	759.08	376.41	299.25	358.54	135.24	144.01	234.57	221.86	356.05	307.69	373.81	265.87	423.61	332.14	285.03	346.29	397.93	277.2	368.65	273.37	253.23	381.68	218.79	379.04	279.14	273.37	275.28	356.05	629.35	332.14	262.2	232.94	379.04	303.44	320.8	291.04	258.57	361.04	320.8	323.03	158.79	30.34	131.51	202.66	267.73	205.5	195.72	234.57	234.57	229.72	195.72	208.38	277.2	217.27	265.87	199.85	201.25	59.13	95.34	34.26	45.85	70.51	82.87	42.71	32.13	53.57	79.45	69.52	232.94	299.25	258.57	204.07	128.79	220.32	387.02	115.97
POLR2M	260.38	234.57	205.5	287.01	194.36	348.71	242.88	153.34	409.15	215.77	563.18	511.0	493.56	397.93	423.61	503.95	825.0	314.17	518.15	329.84	703.28	438.59	738.29	981.29	629.35	555.41	373.81	346.29	708.18	503.95	599.49	684.02	679.29	543.96	743.43	728.11	723.08	638.15	612.11	559.28	567.1	540.19	460.44	633.73	540.19	629.35	551.56	638.15	503.95	638.15	1015.93	547.75	616.37	651.58	629.35	551.56	854.13	532.74	616.37	718.08	848.22	532.74	232.94	112.77	392.44	406.31	503.95	441.64	420.68	432.53	432.53	447.82	373.81	414.87	450.94	423.61	473.41	409.15	444.72	190.34	165.57	102.25	156.59	167.9	186.4	141.02	112.77	234.57	147.06	177.53	563.18	583.07	688.78	571.05	563.18	500.46	567.1	403.5
PPP1R9A	54.72	41.22	21.78	42.41	0.38	35.76	22.43	69.52	46.84	8.0	112.77	83.45	35.5	100.13	85.82	52.82	53.95	101.54	56.68	88.26	121.79	175.07	295.11	167.9	215.77	146.03	44.25	120.94	94.01	100.13	123.5	165.57	128.79	94.67	150.17	134.3	106.63	121.79	148.09	109.66	135.24	103.69	99.43	130.6	75.64	144.01	127.0	125.24	132.44	120.94	215.77	134.3	112.77	89.51	193.01	126.12	92.7	111.21	101.54	113.56	144.01	135.24	57.89	16.51	60.82	80.57	96.01	58.3	80.57	89.51	105.15	115.16	91.41	98.04	110.43	96.01	111.99	110.43	95.34	2.78	10.47	7.22	2.71	0.99	2.51	1.57	1.69	9.2	3.79	0.87	144.01	110.43	177.53	98.73	93.35	135.24	100.13	111.99
PRKACB	521.76	115.97	336.79	297.17	106.63	435.55	172.65	148.09	198.47	68.07	647.07	591.22	409.15	555.41	529.06	525.39	921.88	384.34	435.55	480.04	651.58	457.25	974.5	1081.39	679.29	438.59	297.17	299.25	339.14	500.46	674.59	764.36	753.83	688.78	819.3	698.41	708.18	848.22	660.68	665.29	698.41	651.58	660.68	785.88	698.41	780.44	769.69	738.29	679.29	764.36	1259.69	638.15	656.11	647.07	921.88	684.02	1088.92	679.29	616.37	830.75	791.35	629.35	237.86	142.01	529.06	470.14	599.49	486.75	521.76	571.05	493.56	463.65	426.57	490.14	529.06	503.95	587.13	466.88	543.96	155.5	159.9	106.63	108.14	131.51	165.57	84.63	87.03	149.12	76.17	193.01	185.11	366.09	275.28	258.57	262.2	181.28	400.71	224.97
PRRG1	107.38	19.11	9.7	21.16	20.56	17.13	37.85	135.24	118.43	23.76	332.14	283.05	189.02	217.27	269.6	218.79	212.78	318.57	183.82	175.07	287.01	381.68	361.04	384.34	231.32	307.69	97.36	125.24	218.79	156.59	187.71	376.41	256.78	279.14	277.2	291.04	277.2	258.57	339.14	251.48	414.87	190.34	269.6	283.05	127.89	299.25	318.57	334.46	332.14	275.28	1583.71	275.28	289.02	273.37	633.73	307.69	271.48	190.34	262.2	301.33	490.14	208.38	98.73	63.45	199.85	199.85	193.01	150.17	273.37	343.89	155.5	218.79	156.59	181.28	264.03	208.38	198.47	177.53	201.25	50.27	57.08	45.21	31.22	46.84	88.26	41.81	57.49	47.5	57.89	70.51	234.57	176.29	239.52	156.59	82.29	159.9	212.78	97.36
RAB3GAP1	325.29	358.54	457.25	237.86	299.25	329.84	301.33	246.28	215.77	414.87	616.37	503.95	273.37	543.96	441.64	368.65	389.72	414.87	420.68	521.76	454.09	607.87	723.08	890.44	753.83	813.63	616.37	423.61	743.43	417.77	607.87	642.59	651.58	599.49	718.08	665.29	563.18	612.11	616.37	551.56	669.92	603.67	547.75	638.15	397.93	713.11	620.67	629.35	571.05	624.99	866.07	607.87	563.18	460.44	684.02	583.07	579.04	633.73	693.58	660.68	616.37	660.68	397.93	316.37	403.5	454.09	559.28	525.39	507.46	532.74	490.14	514.56	525.39	476.71	607.87	441.64	579.04	507.46	567.1	262.2	217.27	195.72	206.94	180.02	208.38	182.55	189.02	212.78	191.67	169.07	500.46	698.41	665.29	638.15	518.15	521.76	718.08	571.05
RBM27	98.04	84.63	73.03	129.69	109.66	115.16	98.73	91.41	170.25	61.25	208.38	167.9	124.37	185.11	164.42	138.1	249.73	98.04	125.24	165.57	191.67	191.67	409.15	432.53	224.97	209.84	142.01	115.16	334.46	182.55	251.48	281.09	237.86	256.78	303.44	275.28	226.54	249.73	273.37	204.07	251.48	206.94	193.01	283.05	186.4	277.2	262.2	241.19	223.41	267.73	473.41	260.38	214.27	164.42	246.28	237.86	231.32	214.27	221.86	251.48	279.14	260.38	71.5	16.15	106.63	178.77	218.79	166.73	173.85	189.02	214.27	189.02	176.29	176.29	211.31	159.9	248.0	177.53	190.34	73.03	126.12	58.3	71.0	80.57	80.01	82.29	22.26	85.22	63.89	47.84	218.79	246.28	242.88	231.32	186.4	186.4	264.03	264.03
RNGTT	73.54	74.06	111.21	79.45	76.71	69.52	100.83	65.26	83.45	57.08	137.14	113.56	91.41	124.37	109.66	117.6	128.79	109.66	101.54	187.71	100.13	162.14	159.9	212.78	138.1	176.29	106.63	117.6	201.25	151.22	157.68	191.67	187.71	173.85	169.07	175.07	152.28	150.17	183.82	133.36	157.68	149.12	129.69	164.42	130.6	175.07	146.03	151.22	119.26	142.01	320.8	156.59	123.5	123.5	158.79	143.01	191.67	159.9	171.45	169.07	169.07	162.14	167.9	52.45	87.65	106.63	121.79	131.51	104.42	111.21	113.56	121.79	109.66	128.79	120.1	105.15	170.25	95.34	111.99	94.67	127.89	45.53	52.45	51.35	94.67	75.11	81.71	125.24	68.55	94.67	97.36	111.21	103.69	106.63	89.51	102.25	162.14	89.51
SHOC2	480.04	206.94	353.59	373.81	293.07	283.05	291.04	343.89	255.0	231.32	503.95	432.53	395.18	497.0	438.59	414.87	466.88	287.01	389.72	384.34	490.14	638.15	813.63	693.58	638.15	575.03	438.59	361.04	674.59	476.71	575.03	708.18	595.34	503.95	638.15	603.67	543.96	591.22	728.11	575.03	612.11	525.39	521.76	629.35	525.39	591.22	507.46	583.07	521.76	555.41	1427.22	599.49	532.74	500.46	579.04	490.14	808.0	518.15	571.05	723.08	842.36	540.19	265.87	156.59	429.54	397.93	503.95	473.41	395.18	457.25	444.72	387.02	397.93	470.14	444.72	363.56	555.41	403.5	463.65	143.01	289.02	234.57	166.73	214.27	206.94	231.32	180.02	387.02	193.01	253.23	497.0	536.45	563.18	473.41	384.34	521.76	674.59	575.03
SLC39A10	68.07	114.36	102.25	125.24	87.03	197.09	116.78	117.6	101.54	57.49	262.2	228.13	135.24	199.85	201.25	166.73	85.22	157.68	299.25	154.42	205.5	336.79	466.88	497.0	295.11	149.12	111.99	129.69	293.07	144.01	186.4	343.89	249.73	271.48	316.37	287.01	253.23	248.0	320.8	197.09	208.38	190.34	193.01	275.28	176.29	307.69	220.32	279.14	255.0	231.32	656.11	255.0	237.86	209.84	212.78	241.19	291.04	221.86	291.04	305.55	314.17	269.6	197.09	52.45	156.59	158.79	212.78	155.5	178.77	234.57	180.02	185.11	151.22	157.68	226.54	218.79	237.86	156.59	180.02	140.04	127.0	39.79	77.25	7.06	50.98	53.57	14.89	49.56	6.26	32.36	529.06	947.83	540.19	1457.23	444.72	373.81	1143.1	941.27
SOCS5	180.02	84.04	126.12	134.3	78.34	125.24	121.79	104.42	143.01	63.45	224.97	181.28	129.69	181.28	185.11	169.07	164.42	90.14	175.07	130.6	166.73	170.25	346.29	607.87	217.27	164.42	129.69	136.19	148.09	195.72	267.73	289.02	237.86	249.73	318.57	285.03	221.86	244.57	332.14	221.86	293.07	190.34	206.94	255.0	191.67	264.03	221.86	248.0	258.57	258.57	669.92	265.87	212.78	182.55	262.2	224.97	343.89	214.27	267.73	281.09	371.22	242.88	79.45	52.82	170.25	172.65	223.41	170.25	166.73	191.67	197.09	182.55	155.5	169.07	190.34	166.73	218.79	178.77	195.72	118.43	123.5	60.39	53.19	41.22	76.17	43.94	38.67	92.05	44.57	72.01	208.38	221.86	209.84	241.19	180.02	202.66	256.78	195.72
SP3	348.71	285.03	346.29	275.28	368.65	273.37	293.07	305.55	395.18	256.78	642.59	525.39	368.65	571.05	507.46	414.87	567.1	264.03	356.05	334.46	540.19	363.56	1388.16	1407.55	616.37	656.11	371.22	423.61	878.17	507.46	674.59	808.0	748.61	638.15	791.35	785.88	660.68	684.02	775.05	559.28	708.18	559.28	551.56	703.28	551.56	759.08	638.15	620.67	624.99	647.07	1259.69	669.92	633.73	521.76	638.15	595.34	780.44	660.68	603.67	748.61	896.64	698.41	204.07	135.24	447.82	493.56	603.67	486.75	429.54	547.75	555.41	493.56	450.94	507.46	540.19	450.94	624.99	518.15	521.76	368.65	473.41	239.52	185.11	173.85	262.2	140.04	155.5	228.13	156.59	267.73	1191.69	1167.14	1051.79	1143.1	718.08	1119.56	1259.69	860.08
STAM2	221.86	193.01	214.27	126.12	130.6	166.73	149.12	127.89	197.09	85.22	435.55	373.81	397.93	348.71	325.29	406.31	334.46	161.02	275.28	283.05	521.76	384.34	733.19	607.87	559.28	346.29	204.07	264.03	389.72	358.54	466.88	497.0	500.46	438.59	466.88	457.25	460.44	460.44	426.57	336.79	563.18	395.18	392.44	473.41	368.65	518.15	373.81	444.72	463.65	511.0	928.3	429.54	435.55	392.44	559.28	466.88	466.88	403.5	356.05	389.72	480.04	476.71	120.94	39.5	295.11	361.04	325.29	343.89	318.57	363.56	379.04	327.56	291.04	305.55	397.93	348.71	358.54	285.03	316.37	112.77	134.3	119.26	84.63	132.44	124.37	105.89	49.91	122.64	62.56	163.28	316.37	329.84	432.53	341.51	186.4	395.18	353.59	312.0
STXBP4	35.25	12.09	34.26	27.25	29.27	36.53	23.42	40.93	44.89	18.84	113.56	91.41	67.12	94.67	82.87	98.73	114.36	54.33	95.34	102.97	147.06	92.05	166.73	211.31	167.9	145.02	73.54	83.45	130.6	110.43	150.17	131.51	178.77	130.6	162.14	122.64	123.5	146.03	130.6	112.77	170.25	128.79	108.9	211.31	92.05	162.14	154.42	163.28	147.06	175.07	208.38	139.07	126.12	112.77	332.14	148.09	127.89	119.26	125.24	116.78	199.85	165.57	54.72	21.01	85.82	111.99	108.14	104.42	128.79	120.94	127.0	108.14	100.13	100.83	123.5	96.68	145.02	80.57	84.63	17.64	35.0	17.64	25.91	20.56	25.17	24.63	5.19	21.78	2.89	15.45	77.25	64.34	66.65	83.45	29.06	48.52	158.79	62.56
TCF12	267.73	177.53	231.32	356.05	256.78	293.07	190.34	177.53	269.6	176.29	769.69	571.05	325.29	551.56	529.06	486.75	579.04	239.52	579.04	376.41	665.29	575.03	1127.35	1639.59	981.29	947.83	371.22	371.22	679.29	607.87	785.88	825.0	759.08	733.19	1008.9	934.76	748.61	1008.9	995.0	665.29	848.22	587.13	529.06	796.86	587.13	830.75	780.44	764.36	728.11	785.88	1199.98	825.0	679.29	591.22	954.43	718.08	748.61	698.41	728.11	738.29	733.19	785.88	314.17	73.03	397.93	493.56	780.44	583.07	497.0	555.41	633.73	503.95	567.1	518.15	616.37	595.34	791.35	447.82	669.92	158.79	178.77	141.02	127.89	148.09	197.09	107.38	87.03	182.55	166.73	139.07	679.29	540.19	473.41	703.28	373.81	483.38	825.0	563.18
TM9SF3	1447.15	651.58	656.11	1191.69	791.35	890.44	909.17	995.0	872.1	563.18	1628.26	1277.29	708.18	1417.35	1119.56	934.76	1023.0	1135.2	1313.23	1628.26	1427.22	1508.65	2520.38	2682.69	1870.53	1233.75	921.88	909.17	2119.22	1286.18	1745.2	2133.97	2163.77	1819.35	2133.97	2018.8	1508.65	1806.78	1909.85	1529.73	2163.77	1508.65	1651.0	1806.78	1127.35	1963.57	1662.49	2061.24	1806.78	1697.45	7130.55	1844.76	1561.89	1183.45	2104.58	1769.57	1936.53	1883.54	1745.2	2075.59	1909.85	1936.53	796.86	525.39	1081.39	1242.34	1378.57	1259.69	1268.46	1407.55	1250.98	1487.87	1250.98	1340.84	1583.71	1159.07	1685.71	1216.75	1487.87	454.09	909.17	813.63	551.56	769.69	954.43	848.22	493.56	629.35	775.05	1135.2	1216.75	1397.83	1662.49	1295.13	1001.93	1388.16	1757.34	1388.16
TMEM30A	947.83	665.29	1001.93	995.0	1001.93	884.29	967.76	679.29	728.11	312.0	1651.0	1397.83	909.17	1551.09	1397.83	1183.45	981.29	1322.37	1388.16	1369.04	1721.16	1794.29	2555.58	2645.74	2018.8	2777.33	947.83	1167.14	1508.65	1331.57	1639.59	2271.4	2032.85	1819.35	2075.59	2119.22	1662.49	1870.53	2032.85	1583.71	1923.14	1594.73	1721.16	1832.01	1350.18	1923.14	1769.57	1936.53	1794.29	1896.65	4972.34	1819.35	1508.65	1295.13	2061.24	1709.26	2209.26	1844.76	2148.82	2209.26	2061.24	1781.89	934.76	579.04	1447.15	1340.84	1561.89	1397.83	1427.22	1605.83	1397.83	1417.35	1369.04	1388.16	1498.22	1208.34	1407.55	1340.84	1594.73	769.69	872.1	381.68	651.58	336.79	743.43	476.71	642.59	748.61	457.25	872.1	1594.73	1540.37	1721.16	1286.18	1286.18	1378.57	2004.85	1331.57
TNPO1	299.25	226.54	255.0	387.02	258.57	157.68	281.09	400.71	507.46	106.63	808.0	612.11	532.74	647.07	529.06	669.92	759.08	387.02	417.77	723.08	507.46	718.08	1233.75	967.76	848.22	703.28	307.69	289.02	629.35	813.63	1066.48	954.43	941.27	791.35	1001.93	819.3	674.59	909.17	947.83	791.35	1051.79	854.13	656.11	909.17	733.19	1127.35	802.41	848.22	819.3	854.13	2485.67	896.64	728.11	723.08	915.51	842.36	1059.11	848.22	775.05	909.17	842.36	825.0	457.25	193.01	409.15	587.13	651.58	684.02	587.13	620.67	688.78	633.73	728.11	647.07	775.05	624.99	896.64	591.22	660.68	175.07	281.09	170.25	127.0	279.14	255.0	341.51	116.78	206.94	126.12	164.42	802.41	723.08	981.29	915.51	397.93	595.34	1427.22	842.36
