	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.YJ.A8SW.01A.11R.A37L.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.FP.8209.01A.11R.2343.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.IN.AB1X.11A.21R.A39E.31	TCGA.IN.AB1V.11A.11R.A414.31
LAMTOR2	2209.26	2004.85	4239.45	2816.11	1662.49	1662.49	2935.74	2816.11	2915.45	2287.2	1870.53	3614.55	2609.3	2739.08	1769.57	1674.06	1832.01	2875.3	3103.19	2119.22	2520.38	2209.26	4512.4	2485.67	5479.15	1757.34	3540.14	3235.01	2956.17	2956.17	1685.71	1806.78	1605.83	3060.45	4769.75	2720.15	1617.0	3419.52	2915.45	3395.89	3419.52	3540.14	2915.45	2209.26	1331.57	2163.77	1781.89	1561.89	3257.52	1551.09	909.17	1081.39	1331.57	1191.69
LMAN2	3690.52	4769.75	6652.97	4671.57	2701.35	4903.87	6652.97	4903.87	5112.16	5041.77	4298.64	5292.48	4066.71	5329.3	2777.33	2163.77	3901.01	4639.29	4802.93	3589.58	4450.27	4481.23	6699.25	3901.01	4607.24	3168.41	10733.74	4095.0	5112.16	4704.07	3639.7	2816.11	4066.71	4450.27	6607.01	5479.15	4450.27	4972.34	4181.07	4639.29	5041.77	4512.4	5711.87	5006.93	3280.18	4512.4	4298.64	3820.7	5292.48	1447.15	2434.5	1832.01	2627.46	2720.15
LRPAP1	3820.7	4298.64	5183.54	4450.27	2451.44	4210.15	4671.57	3901.01	4419.52	5831.91	4038.61	5147.73	3742.05	4512.4	2816.11	1437.15	2061.24	4388.98	4152.18	2400.97	4038.61	3847.29	7642.41	3280.18	3874.05	2816.11	5594.3	4481.23	4066.71	4123.49	2777.33	1936.53	2935.74	2555.58	5872.48	4802.93	3847.29	3955.48	4095.0	4152.18	5831.91	4481.23	4388.98	3614.55	3081.75	3639.7	2777.33	3742.05	3955.48	1963.57	2240.11	2209.26	1183.45	1498.22
LRRC23	285.03	181.28	295.11	226.54	193.01	258.57	242.88	336.79	260.38	256.78	251.48	441.64	211.31	420.68	198.47	155.5	178.77	208.38	246.28	260.38	157.68	248.0	223.41	195.72	348.71	113.56	236.21	334.46	232.94	361.04	217.27	193.01	275.28	336.79	503.95	182.55	190.34	253.23	201.25	279.14	256.78	327.56	226.54	341.51	223.41	389.72	215.77	295.11	358.54	173.85	142.01	164.42	71.5	94.01
LSM2	753.83	723.08	1104.13	884.29	733.19	878.17	1073.91	961.07	802.41	825.0	733.19	1081.39	1051.79	1073.91	785.88	884.29	563.18	1199.98	928.3	713.11	854.13	974.5	1242.34	693.58	1529.73	954.43	860.08	1151.06	928.3	921.88	791.35	733.19	703.28	934.76	1159.07	921.88	830.75	1242.34	878.17	878.17	928.3	1037.29	1030.12	947.83	796.86	878.17	769.69	830.75	1350.18	780.44	764.36	775.05	708.18	688.78
LSM4	1844.76	1963.57	3257.52	2720.15	1359.57	2835.7	2895.31	2555.58	2537.92	2287.2	2004.85	3212.66	2319.15	3018.3	1769.57	1733.13	1286.18	2664.15	3018.3	2004.85	2645.74	2240.11	4181.07	2591.27	3303.0	1844.76	4607.24	2520.38	2682.69	3081.75	1540.37	1709.26	1757.34	2609.3	4575.41	2591.27	1819.35	3928.15	2178.83	3257.52	2335.28	3146.52	2835.7	2287.2	1487.87	2555.58	2485.67	2032.85	3443.31	981.29	1268.46	1551.09	1322.37	1135.2
MED11	595.34	603.67	1037.29	748.61	444.72	941.27	915.51	854.13	915.51	825.0	665.29	934.76	759.08	825.0	518.15	457.25	381.68	830.75	872.1	669.92	769.69	693.58	1037.29	693.58	1183.45	591.22	1135.2	872.1	961.07	753.83	543.96	540.19	633.73	656.11	1037.29	753.83	616.37	872.1	525.39	1037.29	934.76	1037.29	842.36	713.11	599.49	791.35	669.92	674.59	1001.93	497.0	363.56	409.15	555.41	457.25
MED19	318.57	563.18	669.92	480.04	343.89	412.0	536.45	470.14	476.71	493.56	414.87	486.75	529.06	409.15	409.15	486.75	334.46	536.45	571.05	397.93	575.03	420.68	791.35	387.02	490.14	429.54	591.22	486.75	503.95	559.28	473.41	450.94	511.0	540.19	454.09	579.04	373.81	583.07	497.0	507.46	591.22	595.34	559.28	579.04	316.37	521.76	457.25	371.22	551.56	224.97	339.14	312.0	371.22	279.14
MPDU1	2004.85	2287.2	3060.45	2573.36	1397.83	2701.35	3212.66	2664.15	3349.13	2133.97	1477.58	2935.74	2796.65	3280.18	1745.2	1909.85	1066.48	2956.17	2682.69	1685.71	2240.11	2434.5	1721.16	2400.97	2502.97	934.76	2573.36	2209.26	2104.58	2351.53	1896.65	2224.63	2400.97	1529.73	2997.45	2303.12	2004.85	2609.3	1896.65	2701.35	2384.37	3325.99	2520.38	2502.97	1183.45	2816.11	2148.82	1745.2	3955.48	397.93	656.11	808.0	647.07	563.18
MPG	1268.46	1757.34	2739.08	1832.01	1143.1	1605.83	2351.53	1819.35	2032.85	1540.37	1487.87	2018.8	1685.71	2004.85	1268.46	1216.75	981.29	1977.24	1963.57	1286.18	1870.53	1208.34	2609.3	2047.0	2367.9	1073.91	2777.33	2032.85	2032.85	1896.65	1268.46	1096.5	1359.57	1529.73	2591.27	1883.54	1277.29	2163.77	1662.49	2271.4	2400.97	2061.24	2119.22	1697.45	1242.34	2119.22	1477.58	1359.57	2468.49	836.53	842.36	947.83	642.59	579.04
MRP63	728.11	902.89	1225.22	934.76	503.95	1001.93	1073.91	866.07	1081.39	909.17	780.44	1073.91	921.88	947.83	454.09	620.67	507.46	854.13	988.12	775.05	890.44	656.11	1225.22	780.44	1477.58	647.07	1369.04	854.13	1051.79	860.08	743.43	497.0	651.58	1037.29	1242.34	1037.29	713.11	1008.9	890.44	1037.29	836.53	872.1	921.88	830.75	493.56	872.1	819.3	607.87	995.0	660.68	414.87	406.31	376.41	376.41
MRPL20	3491.39	4210.15	7642.41	4903.87	3742.05	4836.35	5255.91	4937.99	4836.35	5517.27	4181.07	5329.3	4358.66	5479.15	3794.3	3443.31	3124.78	5255.91	5751.61	4181.07	4481.23	4066.71	7382.04	4152.18	7230.1	3303.0	6250.56	4869.99	6121.9	5479.15	3303.0	4123.49	3349.13	4210.15	6471.02	5366.37	3060.45	6381.92	4607.24	6207.38	4450.27	6561.36	5366.37	4038.61	3257.52	4769.75	4123.49	3443.31	6037.61	3235.01	1936.53	2255.7	2148.82	2004.85
MRPL27	1508.65	1745.2	3257.52	2287.2	1397.83	2004.85	2520.38	2384.37	2664.15	2287.2	1757.34	3124.78	2148.82	2485.67	1417.35	1313.23	1388.16	2178.83	2739.08	1651.0	2209.26	2075.59	3515.68	2061.24	3665.02	1417.35	3190.46	2303.12	2875.3	2664.15	1498.22	1721.16	1651.0	2075.59	3124.78	2319.15	1519.15	2627.46	1733.13	2664.15	2555.58	2976.74	2384.37	1896.65	1313.23	2468.49	1857.6	1639.59	3280.18	1127.35	813.63	872.1	1216.75	1159.07
MRPL28	1037.29	1662.49	2627.46	1883.54	1073.91	1498.22	2090.03	1923.14	1950.0	1322.37	1477.58	2468.49	1540.37	2104.58	981.29	1008.9	934.76	1662.49	1769.57	1331.57	1844.76	1208.34	2591.27	1487.87	2367.9	1111.82	2178.83	1909.85	2209.26	1605.83	1295.13	1183.45	1233.75	1583.71	2193.99	1781.89	1059.11	1963.57	1529.73	1963.57	1639.59	2104.58	1794.29	1477.58	1104.13	1923.14	1467.37	1561.89	2224.63	1081.39	967.76	947.83	884.29	775.05
MRPL52	2240.11	2384.37	6079.61	2434.5	1870.53	3690.52	3372.43	3325.99	4210.15	2609.3	2004.85	3768.09	3564.78	3768.09	2047.0	1651.0	2758.13	3443.31	4972.34	2400.97	1870.53	2645.74	4575.41	2701.35	6516.03	1857.6	4450.27	2895.31	2739.08	3901.01	1769.57	2075.59	2148.82	3742.05	5147.73	2956.17	1896.65	3467.27	2739.08	3928.15	2835.7	4607.24	3540.14	2758.13	2090.03	3303.0	2400.97	2451.44	4123.49	1883.54	967.76	808.0	1594.73	1427.22
MRPL54	2018.8	2400.97	5219.6	2682.69	1674.06	2758.13	3146.52	2835.7	3515.68	2758.13	1651.0	3955.48	2664.15	2956.17	1651.0	1561.89	1359.57	2485.67	2956.17	1923.14	2520.38	2287.2	4152.18	2537.92	4152.18	1447.15	2627.46	2502.97	3060.45	2895.31	1844.76	1769.57	1709.26	2645.74	3955.48	2485.67	1651.0	2758.13	2335.28	2573.36	3018.3	3280.18	2956.17	2573.36	1427.22	2627.46	2255.7	2209.26	3589.58	981.29	909.17	1175.27	995.0	796.86
MRPS34	2004.85	1963.57	3901.01	2555.58	1519.15	3303.0	2956.17	2796.65	3103.19	2739.08	1909.85	3257.52	3168.41	3168.41	1583.71	1639.59	2163.77	3768.09	3491.39	1923.14	2895.31	2271.4	4450.27	2520.38	5006.93	1844.76	3515.68	2520.38	3395.89	3018.3	1551.09	1781.89	1662.49	2573.36	4328.55	3146.52	1950.0	4210.15	3124.78	3081.75	2682.69	4010.71	3540.14	2400.97	1340.84	2591.27	2047.0	1685.71	3639.7	1030.12	909.17	1191.69	1313.23	1242.34
N6AMT2	327.56	277.2	503.95	409.15	325.29	309.83	470.14	271.48	409.15	376.41	392.44	441.64	366.09	341.51	368.65	183.82	208.38	423.61	368.65	363.56	403.5	470.14	438.59	297.17	389.72	339.14	450.94	400.71	476.71	327.56	256.78	336.79	249.73	450.94	454.09	497.0	348.71	457.25	403.5	466.88	368.65	283.05	460.44	285.03	293.07	339.14	334.46	323.03	409.15	273.37	163.28	129.69	128.79	150.17
NDUFA2	2468.49	3039.3	4543.8	3820.7	1896.65	3955.48	4066.71	3665.02	4095.0	3419.52	2645.74	4298.64	3614.55	4010.71	2163.77	2004.85	2720.15	3467.27	4575.41	2875.3	2835.7	3168.41	5219.6	3395.89	6207.38	2178.83	6337.83	3742.05	3794.3	4210.15	2119.22	2645.74	2335.28	3901.01	5791.62	4010.71	2319.15	2303.12	3614.55	4268.94	3515.68	5633.22	3874.05	3614.55	1832.01	3212.66	2645.74	2434.5	5183.54	1350.18	954.43	1051.79	1519.15	1359.57
NDUFAF3	2855.44	3190.46	5633.22	4066.71	1896.65	3928.15	4239.45	3081.75	4010.71	2609.3	2485.67	4481.23	3820.7	3874.05	2319.15	1015.93	2573.36	3901.01	3794.3	2720.15	3349.13	2739.08	4328.55	2701.35	4210.15	2061.24	4575.41	2895.31	4419.52	3564.78	3103.19	2178.83	2240.11	4123.49	4210.15	3955.48	2255.7	3955.48	4038.61	4358.66	4358.66	5183.54	3467.27	3168.41	2178.83	3190.46	2997.45	2502.97	3874.05	1745.2	1359.57	1111.82	921.88	981.29
NDUFC1	4152.18	4543.8	7130.55	6037.61	4481.23	4869.99	6745.86	5112.16	6337.83	4298.64	4671.57	5954.47	4972.34	5555.65	4239.45	3794.3	3325.99	4388.98	6471.02	4607.24	4181.07	5479.15	5913.33	4575.41	7966.99	4066.71	7331.05	4575.41	2875.3	5329.3	3614.55	4736.79	3794.3	5147.73	6037.61	5441.3	4736.79	5872.48	4769.75	5479.15	5329.3	6935.54	5672.41	5872.48	3515.68	5403.7	4836.35	3982.99	7130.55	3901.01	1950.0	1844.76	3060.45	2209.26
NHP2L1	3419.52	3395.89	5479.15	4298.64	2555.58	4328.55	4543.8	3982.99	4123.49	3257.52	3124.78	5041.77	3982.99	4388.98	3325.99	1991.0	2976.74	4903.87	5219.6	2855.44	3639.7	3955.48	4671.57	3349.13	5403.7	2701.35	5366.37	3716.2	4239.45	3901.01	2351.53	2777.33	2816.11	4450.27	5006.93	4388.98	3280.18	5479.15	3820.7	4210.15	4358.66	4802.93	4419.52	3515.68	2720.15	4095.0	3349.13	2956.17	4607.24	2178.83	1745.2	1551.09	1857.6	1769.57
NUDC	1819.35	2240.11	3039.3	2400.97	1709.26	2271.4	2935.74	2537.92	2701.35	2303.12	2193.99	3212.66	2384.37	3168.41	1662.49	1529.73	1487.87	2875.3	2739.08	1628.26	2148.82	1991.0	3372.43	2119.22	2758.13	1594.73	3103.19	2664.15	2591.27	2537.92	1617.0	1936.53	2018.8	2627.46	2997.45	2104.58	1662.49	2895.31	2240.11	2682.69	2178.83	2777.33	2701.35	2090.03	1819.35	2664.15	2075.59	1963.57	2895.31	1508.65	1457.23	1540.37	954.43	1191.69
POLDIP2	2004.85	1819.35	2255.7	1923.14	1331.57	2287.2	2018.8	1883.54	2075.59	1685.71	1594.73	2240.11	2032.85	1963.57	1561.89	1697.45	1572.76	2417.67	2119.22	1508.65	1832.01	1883.54	2319.15	1857.6	2351.53	1519.15	2119.22	1870.53	1909.85	2018.8	1721.16	1628.26	1467.37	1923.14	2271.4	2032.85	1794.29	2255.7	2004.85	2133.97	2061.24	2335.28	2133.97	1909.85	1437.15	1651.0	1594.73	1572.76	2240.11	1233.75	1127.35	1233.75	1369.04	1519.15
PPIB	18560.17	20170.07	36357.37	26800.01	14461.21	19082.0	32540.65	22225.61	24490.61	33224.42	16611.71	29327.18	18950.18	20451.65	14765.09	12589.08	8901.53	35856.82	25887.07	15392.14	35856.82	29124.6	37121.34	14971.21	38697.77	16496.96	51062.33	23492.92	30572.63	25887.07	16157.44	12676.65	12943.04	25530.66	41188.81	31650.8	23330.64	37639.55	19618.49	26248.46	31432.17	24832.5	38697.77	15934.98	11112.3	15499.21	14361.31	13681.08	22535.88	4769.75	4903.87	5076.84	5006.93	4358.66
PPIH	825.0	684.02	1350.18	884.29	915.51	1096.5	1015.93	1111.82	947.83	884.29	802.41	1191.69	1104.13	961.07	728.11	961.07	753.83	1135.2	1304.15	947.83	934.76	1001.93	1369.04	884.29	1674.06	947.83	1304.15	1059.11	954.43	1208.34	665.29	785.88	748.61	1183.45	1191.69	1175.27	780.44	1378.57	915.51	1191.69	1030.12	1096.5	1044.52	981.29	599.49	981.29	848.22	780.44	1242.34	500.46	536.45	486.75	791.35	638.15
PPME1	921.88	954.43	1259.69	1008.9	813.63	890.44	1417.35	1030.12	1427.22	961.07	860.08	1331.57	1304.15	1199.98	967.76	1037.29	1059.11	1369.04	1066.48	1119.56	974.5	921.88	1073.91	988.12	915.51	825.0	1143.1	1407.55	967.76	1104.13	1030.12	866.07	909.17	1250.98	1199.98	1023.0	738.29	1066.48	1183.45	1242.34	1073.91	1233.75	878.17	995.0	848.22	1167.14	934.76	830.75	1225.22	848.22	532.74	599.49	947.83	848.22
PPP2R1A	5292.48	6079.61	9808.75	7081.29	4607.24	6887.62	7642.41	7911.95	6745.86	6426.31	6426.31	9740.98	9215.48	8247.98	5751.61	4972.34	3443.31	8598.28	7331.05	3742.05	8363.13	6037.61	8247.98	6792.79	6983.79	5479.15	9540.5	7803.01	6164.49	6699.25	4836.35	5112.16	5441.3	6426.31	8421.31	7180.15	5403.7	8134.41	6207.38	7081.29	7589.61	7642.41	7081.29	5255.91	4937.99	8134.41	6207.38	6037.61	7433.4	4210.15	4095.0	3589.58	5255.91	5183.54
PSMB6	2627.46	3325.99	5441.3	3928.15	2163.77	3794.3	4802.93	3928.15	4268.94	3540.14	2720.15	4181.07	3540.14	4419.52	2956.17	2777.33	3768.09	4066.71	3901.01	3146.52	3443.31	3491.39	5555.65	3235.01	4358.66	2609.3	5594.3	3540.14	3901.01	3928.15	2682.69	2997.45	2777.33	2591.27	5006.93	4181.07	2701.35	4575.41	2701.35	3794.3	3564.78	5183.54	3768.09	3303.0	2591.27	3901.01	3372.43	3303.0	4607.24	2976.74	1857.6	1832.01	2573.36	2485.67
PSMC5	3081.75	3467.27	6294.04	3982.99	2997.45	4239.45	4512.4	4210.15	4066.71	3955.48	3349.13	4298.64	3540.14	4239.45	2997.45	2855.44	3395.89	3847.29	4181.07	3325.99	4095.0	3372.43	5112.16	3491.39	4575.41	3257.52	4095.0	3847.29	4210.15	4268.94	3168.41	3443.31	3124.78	4328.55	4704.07	4038.61	3235.01	4543.8	3690.52	4419.52	3768.09	4268.94	4607.24	3515.68	3419.52	4358.66	3589.58	3515.68	4419.52	2816.11	2367.9	2835.7	2664.15	2739.08
RNASET2	1909.85	1963.57	4038.61	1883.54	1721.16	1551.09	3060.45	2367.9	2555.58	2351.53	2895.31	3690.52	3235.01	2758.13	2384.37	1313.23	1340.84	3103.19	3443.31	1498.22	1199.98	3491.39	3820.7	1605.83	5041.77	1340.84	3467.27	1498.22	2319.15	2895.31	808.0	2271.4	1651.0	3039.3	4671.57	3955.48	3235.01	3060.45	2485.67	2502.97	2835.7	2720.15	2915.45	2193.99	2287.2	2400.97	2319.15	1870.53	3564.78	674.59	1583.71	1044.52	629.35	414.87
RNF167	2720.15	2720.15	4152.18	3589.58	2148.82	2855.44	3716.2	2976.74	3955.48	2956.17	2573.36	3395.89	3614.55	4512.4	2502.97	2520.38	2163.77	3742.05	3589.58	3564.78	3820.7	3665.02	3690.52	2555.58	4010.71	2609.3	3564.78	3665.02	4123.49	3257.52	2895.31	3018.3	2609.3	2367.9	3794.3	3168.41	2664.15	4419.52	2915.45	3901.01	3589.58	4010.71	2997.45	3146.52	2645.74	3820.7	3235.01	2875.3	4419.52	1617.0	1639.59	1674.06	2537.92	2645.74
RNF40	1883.54	1923.14	1936.53	1857.6	1540.37	1844.76	1936.53	2032.85	2384.37	1508.65	1909.85	2193.99	2209.26	2319.15	1745.2	1794.29	1369.04	2061.24	1896.65	1407.55	2209.26	1572.76	1769.57	1781.89	1605.83	1794.29	1819.35	1991.0	1896.65	2240.11	2148.82	1617.0	1819.35	1991.0	2193.99	1745.2	1617.0	2032.85	2075.59	2209.26	2047.0	2193.99	1844.76	1733.13	1628.26	2319.15	1806.78	1662.49	1963.57	842.36	1111.82	1437.15	1295.13	1447.15
RPP38	371.22	536.45	547.75	409.15	358.54	473.41	423.61	480.04	518.15	457.25	432.53	532.74	438.59	395.18	363.56	432.53	323.03	447.82	450.94	368.65	432.53	417.77	559.28	392.44	567.1	406.31	473.41	457.25	325.29	583.07	420.68	368.65	476.71	463.65	463.65	493.56	460.44	521.76	379.04	518.15	460.44	373.81	633.73	358.54	325.29	389.72	343.89	332.14	463.65	343.89	334.46	384.34	387.02	387.02
RPS19BP1	2976.74	2976.74	5555.65	3540.14	1709.26	4010.71	4298.64	3665.02	4736.79	3190.46	2835.7	4298.64	3257.52	4038.61	1963.57	981.29	1819.35	3467.27	4268.94	3325.99	3467.27	2537.92	5711.87	3589.58	5594.3	1757.34	7382.04	3540.14	5292.48	4152.18	1572.76	1923.14	2417.67	3419.52	7280.4	4010.71	2271.4	3589.58	2609.3	4181.07	3820.7	4639.29	4298.64	3303.0	2047.0	4010.71	2855.44	2609.3	4181.07	1322.37	1359.57	1340.84	1286.18	1127.35
RPS27L	3372.43	3901.01	5006.93	4802.93	4388.98	4038.61	4268.94	4010.71	3540.14	5441.3	4152.18	4388.98	4066.71	4010.71	4358.66	2209.26	4066.71	3847.29	4802.93	2701.35	2997.45	4543.8	5041.77	3955.48	6561.36	2976.74	5954.47	3901.01	3768.09	4802.93	2720.15	4769.75	3419.52	4298.64	6471.02	4038.61	4010.71	2875.3	2758.13	6037.61	4268.94	4512.4	5831.91	3419.52	3564.78	3639.7	3235.01	3540.14	4607.24	3768.09	1709.26	2303.12	1175.27	1183.45
SAP18	3614.55	3589.58	6079.61	4802.93	4388.98	5112.16	5555.65	4736.79	5183.54	3982.99	4095.0	5633.22	4358.66	4298.64	3982.99	3639.7	3081.75	4869.99	5183.54	3982.99	4038.61	6121.9	4972.34	4388.98	6887.62	4328.55	5831.91	4512.4	5147.73	5329.3	3146.52	4239.45	3874.05	5441.3	6164.49	4639.29	4095.0	6337.83	4543.8	5831.91	4802.93	3820.7	5329.3	3742.05	2758.13	4038.61	3372.43	3614.55	5366.37	3467.27	2032.85	1950.0	2591.27	2537.92
SDF2L1	848.22	1037.29	2739.08	1340.84	447.82	1073.91	1417.35	1757.34	1572.76	1572.76	848.22	1806.78	1268.46	1628.26	825.0	267.73	620.67	1733.13	2224.63	934.76	2434.5	1594.73	2163.77	1119.56	1685.71	587.13	3614.55	1909.85	1594.73	2502.97	1088.92	595.34	981.29	1674.06	3280.18	995.0	902.89	1350.18	1233.75	2032.85	1662.49	2133.97	2367.9	866.07	607.87	1096.5	1044.52	947.83	1350.18	497.0	511.0	595.34	381.68	400.71
SF3B5	3018.3	3955.48	5751.61	4512.4	2351.53	3768.09	5041.77	4869.99	4903.87	3928.15	3190.46	5441.3	3928.15	5517.27	2816.11	1857.6	2758.13	5006.93	4328.55	3190.46	3491.39	3280.18	5831.91	3419.52	7130.55	1628.26	6745.86	4903.87	4450.27	4903.87	3235.01	2855.44	3103.19	4152.18	6471.02	4543.8	2664.15	4869.99	3639.7	3982.99	4639.29	5751.61	4543.8	4481.23	2555.58	4704.07	3589.58	3190.46	6699.25	2193.99	1806.78	2090.03	2417.67	2193.99
SLC38A10	2075.59	2537.92	2537.92	1883.54	1159.07	1936.53	2537.92	2018.8	1963.57	2485.67	1950.0	2287.2	1769.57	2271.4	1175.27	1437.15	1088.92	2193.99	2520.38	1594.73	1844.76	1551.09	2451.44	1757.34	1963.57	1268.46	4268.94	2163.77	2573.36	2451.44	1991.0	1199.98	1757.34	1745.2	3235.01	2090.03	1883.54	1662.49	1757.34	2997.45	3039.3	2367.9	2591.27	1407.55	1651.0	1617.0	1551.09	1883.54	1832.01	995.0	1605.83	1447.15	848.22	947.83
SLC39A3	878.17	947.83	1977.24	1151.06	647.07	1073.91	1561.89	1059.11	1498.22	1008.9	836.53	1551.09	1073.91	1388.16	665.29	718.08	813.63	1427.22	1322.37	769.69	1135.2	1001.93	1896.65	909.17	1628.26	819.3	974.5	1340.84	1467.37	1277.29	967.76	921.88	848.22	1059.11	1757.34	1208.34	785.88	1427.22	1369.04	1407.55	1519.15	1359.57	1216.75	967.76	651.58	1225.22	1001.93	860.08	1721.16	514.56	633.73	551.56	275.28	318.57
SNUPN	441.64	409.15	665.29	518.15	483.38	559.28	571.05	638.15	599.49	438.59	500.46	620.67	579.04	543.96	417.77	432.53	420.68	591.22	575.03	511.0	511.0	514.56	559.28	551.56	693.58	470.14	813.63	647.07	591.22	507.46	406.31	551.56	400.71	536.45	679.29	607.87	529.06	607.87	529.06	571.05	563.18	518.15	567.1	583.07	457.25	529.06	540.19	473.41	633.73	351.14	371.22	376.41	325.29	334.46
SPAG7	1457.23	1819.35	2739.08	2133.97	1088.92	1977.24	2417.67	2075.59	2133.97	1857.6	1662.49	1950.0	1977.24	2090.03	1350.18	1745.2	1001.93	1857.6	1936.53	1350.18	2193.99	1769.57	2240.11	2004.85	2061.24	1322.37	2485.67	2032.85	2018.8	1769.57	1397.83	1662.49	1605.83	1487.87	1991.0	2119.22	1378.57	2061.24	1340.84	1936.53	1909.85	2502.97	1909.85	1936.53	1397.83	2485.67	1806.78	1794.29	2287.2	1143.1	836.53	1001.93	796.86	785.88
SPINT2	9808.75	11664.82	17681.08	13033.07	8538.88	19082.0	16843.62	14663.09	16157.44	9215.48	13033.07	13968.57	19618.49	15824.9	7433.4	7280.4	13399.51	17558.94	16269.83	6426.31	12415.75	17317.18	13776.25	12943.04	19482.97	8078.22	32315.87	12853.63	9025.81	18689.27	8901.53	10084.54	9088.59	13033.07	24153.43	14561.8	9673.69	25354.3	12076.21	17558.94	23492.92	11827.67	13399.51	12943.04	5711.87	13681.08	10959.3	6381.92	18304.63	395.18	988.12	1561.89	5219.6	5995.9
STK16	836.53	796.86	1397.83	1001.93	830.75	1216.75	1066.48	1277.29	890.44	995.0	981.29	1417.35	1175.27	1127.35	830.75	791.35	629.35	988.12	1233.75	902.89	1167.14	791.35	1295.13	974.5	1508.65	836.53	1037.29	1127.35	1199.98	947.83	698.41	836.53	785.88	1111.82	1331.57	1183.45	854.13	1295.13	941.27	1066.48	1225.22	1001.93	1135.2	967.76	713.11	1104.13	947.83	738.29	1191.69	493.56	624.99	507.46	441.64	490.14
STOML1	232.94	191.67	511.0	273.37	185.11	368.65	356.05	320.8	287.01	307.69	228.13	346.29	371.22	463.65	202.66	134.3	149.12	246.28	314.17	260.38	220.32	248.0	361.04	260.38	389.72	214.27	318.57	251.48	476.71	248.0	199.85	201.25	211.31	291.04	460.44	303.44	180.02	248.0	305.55	490.14	314.17	395.18	258.57	289.02	285.03	381.68	251.48	400.71	348.71	318.57	267.73	269.6	98.73	149.12
TIMM10	796.86	1119.56	2240.11	1378.57	665.29	1216.75	1208.34	1498.22	1378.57	1733.13	698.41	1883.54	1674.06	848.22	1127.35	848.22	802.41	1477.58	1233.75	836.53	981.29	1350.18	1769.57	872.1	2573.36	890.44	2271.4	1477.58	2119.22	1268.46	728.11	785.88	890.44	1427.22	1896.65	1304.15	1277.29	1832.01	1286.18	2119.22	1277.29	2047.0	2520.38	1233.75	1023.0	1286.18	842.36	1208.34	2287.2	603.67	733.19	356.05	1151.06	583.07
TMED9	6207.38	7382.04	11345.82	7180.15	4268.94	7642.41	8078.22	7966.99	8421.31	7749.1	5403.7	8658.09	8479.89	8421.31	4575.41	4802.93	4802.93	9279.58	9279.58	4769.75	7966.99	8363.13	10440.2	6250.56	9279.58	4704.07	13306.94	8718.32	9151.82	8718.32	5255.91	6037.61	6250.56	6745.86	9606.86	7485.11	6037.61	7803.01	6792.79	7589.61	12415.75	8840.04	8134.41	6337.83	4671.57	6652.97	5517.27	4802.93	9215.48	1583.71	2133.97	2255.7	1529.73	1340.84
