	TCGA.E7.A7PW.01A.11R.A352.07	GTEX.145ME.1526.SM.5Q5F2	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.CC.A9FW.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.KR.A7K8.01A.11R.A33J.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.EP.A3RK.01A.11R.A22L.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.CC.A8HU.01A.11R.A36F.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.WQUQ.1926.SM.4OOSA	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.145MO.2326.SM.5NQ9K	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.UPK5.1426.SM.4JBHH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.V1.A8WV.01A.11R.A37L.07
RGS14	599.49	79.45	638.15	4010.71	2537.92	1674.06	2240.11	2502.97	3190.46	2163.77	1529.73	1950.0	2573.36	1870.53	2609.3	1832.01	1883.54	2434.5	3103.19	1467.37	1498.22	988.12	1183.45	1304.15	1216.75	802.41	339.14	830.75	1175.27	567.1	497.0	1008.9	884.29	470.14	1378.57	540.19	1250.98	587.13	1359.57	921.88	1199.98	2018.8	0.0	0.56	571.05
RHEB	3190.46	2816.11	1359.57	2555.58	3395.89	2119.22	1963.57	2520.38	4419.52	4388.98	2384.37	3081.75	3443.31	2224.63	2018.8	1519.15	5292.48	2835.7	2384.37	1963.57	2796.65	1709.26	1242.34	1407.55	1628.26	1551.09	1572.76	1685.71	1674.06	2351.53	1806.78	1617.0	1143.1	2018.8	1936.53	1199.98	1119.56	1572.76	2351.53	1639.59	1208.34	1233.75	0.0	1.16	2119.22
SAA1	61.68	2068278.89	1290947.48	16611.71	978355.0	711250.37	2343119.96	1715263.94	200048.85	606436.73	5791.62	311742.51	249727.34	721179.07	305326.92	1668359.93	1617.0	561916.97	462789.59	912837.43	236256.4	2845004.48	4194303.0	2126426.15	1221310.69	2011721.67	3336720.86	3178687.03	951601.81	280957.98	998912.34	1070607.81	1775752.63	875652.15	1255646.43	1204496.53	2097151.0	1055868.42	1535204.12	1229805.58	1364554.84	1327240.99	0.0	0.57	669.92
SCAMP3	3190.46	769.69	830.75	2855.44	3081.75	2384.37	1233.75	1417.35	4181.07	4671.57	1909.85	3349.13	3928.15	2720.15	3768.09	1159.07	4328.55	3257.52	4543.8	1437.15	3103.19	1199.98	1023.0	1008.9	890.44	1096.5	921.88	896.64	753.83	780.44	1066.48	1313.23	1594.73	1369.04	1331.57	872.1	791.35	1242.34	1119.56	830.75	1191.69	679.29	2335.28	660.68	2502.97
SGSM3	1963.57	332.14	669.92	1605.83	884.29	791.35	988.12	791.35	2148.82	1143.1	884.29	934.76	1313.23	884.29	1066.48	780.44	902.89	1030.12	1950.0	1023.0	1143.1	642.59	518.15	595.34	612.11	665.29	583.07	559.28	473.41	361.04	341.51	351.14	836.53	466.88	780.44	420.68	463.65	518.15	555.41	397.93	708.18	718.08	0.0	1.1	4671.57
SMYD3	1286.18	130.6	195.72	1745.2	447.82	366.09	244.57	195.72	166.73	813.63	500.46	336.79	1561.89	346.29	432.53	157.68	669.92	473.41	353.59	255.0	493.56	242.88	163.28	182.55	159.9	193.01	138.1	187.71	194.36	327.56	47.5	105.15	248.0	117.6	339.14	101.54	215.77	193.01	285.03	89.51	154.42	403.5	0.0	0.44	483.38
SPNS1	1286.18	262.2	507.46	1216.75	1135.2	785.88	693.58	808.0	1277.29	1594.73	819.3	1104.13	1806.78	1225.22	1950.0	684.02	1977.24	1073.91	1233.75	842.36	1427.22	547.75	547.75	493.56	438.59	599.49	389.72	450.94	301.33	205.5	336.79	314.17	656.11	341.51	503.95	366.09	429.54	426.57	400.71	341.51	493.56	429.54	0.0	0.56	2400.97
SUV420H2	305.55	47.17	93.35	299.25	241.19	125.24	104.42	118.43	218.79	169.07	135.24	205.5	140.04	229.72	167.9	96.68	612.11	144.01	269.6	291.04	251.48	85.22	43.02	50.27	55.89	111.21	40.36	49.91	16.39	18.7	34.02	36.27	59.97	46.5	51.71	28.24	39.5	55.1	108.14	28.45	85.82	81.71	0.0	0.46	432.53
SYCP3	25.17	10.96	2.34	43.02	2.58	20.71	11.55	34.26	80.01	87.03	83.45	29.06	18.29	31.22	20.26	3.0	115.97	59.13	30.34	3.17	138.1	12.64	3.96	1.41	24.11	43.02	0.0	1.46	6.31	6.62	5.54	0.0	8.19	0.0	7.46	0.69	1.99	0.79	19.97	0.19	1.6	0.0	0.0	0.27	64.34
TARBP1	575.03	236.21	162.14	796.86	674.59	406.31	397.93	454.09	536.45	438.59	521.76	595.34	796.86	470.14	511.0	262.2	1081.39	392.44	890.44	441.64	503.95	368.65	132.44	142.01	134.3	167.9	152.28	166.73	99.43	157.68	81.71	113.56	87.65	42.71	71.5	221.86	116.78	256.78	102.25	202.66	110.43	95.34	0.0	0.43	1923.14
TAZ	995.0	381.68	291.04	830.75	1369.04	529.06	493.56	703.28	2075.59	1331.57	1340.84	743.43	988.12	1104.13	518.15	473.41	1508.65	995.0	638.15	669.92	836.53	312.0	260.38	325.29	277.2	293.07	301.33	264.03	202.66	155.5	141.02	133.36	373.81	149.12	351.14	236.21	236.21	264.03	260.38	211.31	312.0	371.22	0.0	0.97	974.5
TEX22	31.0	5.32	0.78	8.51	17.51	11.55	0.66	2.56	6.78	22.92	13.32	45.21	6.16	5.5	4.06	1.95	28.24	7.34	13.52	1.11	3.82	3.66	9.7	0.0	0.0	6.01	0.75	0.79	0.0	0.0	0.0	0.0	1.39	0.04	2.43	0.05	8.19	0.78	0.78	1.55	0.02	0.03	0.0	0.27	59.97
THEM6	2075.59	239.52	514.56	1322.37	2193.99	896.64	1277.29	1088.92	2434.5	2271.4	1397.83	1487.87	1832.01	2271.4	2645.74	620.67	1295.13	1216.75	2520.38	995.0	2367.9	447.82	603.67	612.11	674.59	612.11	457.25	486.75	441.64	246.28	283.05	275.28	612.11	223.41	246.28	476.71	490.14	563.18	620.67	785.88	507.46	825.0	0.0	0.1	403.5
TMEM161A	748.61	195.72	693.58	2255.7	1268.46	764.36	902.89	995.0	1023.0	1628.26	1733.13	1088.92	1923.14	1183.45	1498.22	909.17	1417.35	909.17	1733.13	848.22	967.76	642.59	476.71	454.09	567.1	796.86	493.56	540.19	457.25	406.31	358.54	307.69	595.34	435.55	698.41	532.74	529.06	660.68	728.11	764.36	836.53	463.65	0.0	0.61	1397.83
TMEM55B	460.44	483.38	314.17	1023.0	693.58	457.25	486.75	450.94	1216.75	525.39	1051.79	599.49	497.0	665.29	559.28	500.46	928.3	693.58	603.67	547.75	718.08	540.19	336.79	368.65	417.77	329.84	316.37	307.69	244.57	283.05	244.57	361.04	547.75	409.15	400.71	314.17	301.33	397.93	395.18	209.84	327.56	483.38	0.0	0.85	748.61
TRMT2A	1583.71	312.0	669.92	1923.14	1111.82	1044.52	1066.48	1111.82	2090.03	1529.73	1359.57	1540.37	1662.49	1378.57	1331.57	1167.14	1397.83	974.5	1519.15	1313.23	1135.2	791.35	435.55	651.58	748.61	785.88	500.46	514.56	420.68	323.03	366.09	353.59	981.29	563.18	748.61	830.75	651.58	684.02	591.22	728.11	802.41	575.03	0.0	0.87	2758.13
TSR3	1963.57	1001.93	1015.93	1407.55	1183.45	1350.18	1037.29	1295.13	1551.09	2417.67	1923.14	1936.53	2739.08	1870.53	1508.65	1044.52	2400.97	1628.26	1832.01	1225.22	1806.78	1175.27	928.3	981.29	974.5	1167.14	759.08	915.51	591.22	432.53	796.86	791.35	1183.45	819.3	1081.39	785.88	713.11	848.22	1030.12	718.08	1008.9	934.76	0.0	0.34	2271.4
UBL4A	723.08	525.39	441.64	902.89	1950.0	633.73	507.46	414.87	1662.49	1417.35	1242.34	981.29	1662.49	1286.18	909.17	435.55	1191.69	1127.35	665.29	583.07	713.11	358.54	363.56	361.04	417.77	417.77	529.06	312.0	351.14	267.73	400.71	265.87	412.0	470.14	363.56	470.14	470.14	417.77	483.38	346.29	285.03	336.79	0.0	0.22	733.19
ZNF205	698.41	66.65	108.14	226.54	253.23	197.09	165.57	195.72	339.14	323.03	220.32	341.51	309.83	309.83	301.33	170.25	647.07	237.86	258.57	209.84	305.55	153.34	96.01	157.68	131.51	132.44	82.29	88.88	81.71	48.52	65.26	77.25	193.01	85.22	163.28	99.43	90.14	128.79	127.0	69.52	139.07	167.9	0.0	0.43	769.69
ZNF524	1250.98	183.82	353.59	514.56	603.67	457.25	432.53	432.53	1175.27	693.58	842.36	633.73	1183.45	624.99	674.59	463.65	595.34	507.46	688.78	341.51	791.35	400.71	285.03	343.89	363.56	389.72	244.57	285.03	206.94	145.02	232.94	256.78	429.54	149.12	395.18	244.57	309.83	305.55	353.59	251.48	358.54	457.25	0.0	0.29	1322.37
ZNF692	2255.7	152.28	301.33	902.89	1359.57	647.07	559.28	457.25	854.13	1104.13	819.3	896.64	1023.0	753.83	796.86	420.68	1359.57	785.88	1639.59	679.29	723.08	248.0	143.01	249.73	206.94	287.01	171.45	170.25	111.21	95.34	93.35	76.71	412.0	185.11	363.56	152.28	169.07	293.07	229.72	111.21	287.01	267.73	0.0	1.11	3515.68
