	GTEX.14C38.2626.SM.5RQI4	TCGA.HE.7128.01A.11R.1965.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.UB.A7MD.01A.12R.A352.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.R53T.0326.SM.48FEC	TCGA.35.5375.01A.01R.1628.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4631.01A.01R.1755.07	TCGA.95.7043.01A.11R.1949.07	TCGA.50.5066.01A.01R.1628.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.ZYFG.0226.SM.5GIDT	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.YB5E.0726.SM.4VDSH	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.13N2G.0826.SM.5IJE6	GTEX.132QS.0726.SM.5IJE9	GTEX.13O3Q.0526.SM.5KM18	GTEX.PWOO.0726.SM.2I3EB	GTEX.11NUK.0826.SM.5HL4U	GTEX.N7MS.0926.SM.2HMIZ	GTEX.SIU8.0926.SM.5SI87	GTEX.S7SF.0426.SM.3K2B7	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.XOT4.1426.SM.4B65T	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	TCGA.18.3411.01A.01R.0980.07	TCGA.77.8007.11A.01R.2187.07
NPM3	186.4	460.44	941.27	866.07	1331.57	591.22	1183.45	669.92	547.75	287.01	583.07	507.46	373.81	1175.27	599.49	379.04	57.08	444.72	723.08	1605.83	753.83	2935.74	493.56	1733.13	629.35	1397.83	954.43	244.57	928.3	473.41	2451.44	703.28	269.6	1001.93	163.28	301.33	397.93	4972.34	555.41	2047.0	1662.49	3614.55	518.15	379.04	532.74	1769.57	366.09	435.55	1183.45	256.78	116.78	133.36	255.0	206.94	190.34	201.25	753.83	251.48	679.29	239.52	206.94	341.51	1529.73	301.33	500.46	209.84	351.14	417.77	341.51	141.02	2417.67	902.89
NUDT5	1359.57	878.17	1350.18	1216.75	1540.37	1639.59	2209.26	1896.65	1313.23	1477.58	2555.58	2627.46	2090.03	3982.99	1896.65	2351.53	1628.26	1286.18	2555.58	2384.37	2855.44	2645.74	2956.17	3372.43	2209.26	3235.01	5672.41	2777.33	1721.16	1216.75	3564.78	2119.22	2178.83	3491.39	2537.92	1721.16	2400.97	2090.03	1001.93	1651.0	1757.34	2682.69	1216.75	1143.1	1127.35	1639.59	1350.18	1322.37	1477.58	1268.46	320.8	486.75	336.79	896.64	454.09	1427.22	830.75	466.88	1832.01	693.58	497.0	518.15	2287.2	1340.84	1359.57	454.09	961.07	1008.9	540.19	514.56	1883.54	1457.23
OLA1	587.13	1437.15	1417.35	1529.73	1487.87	1519.15	1073.91	1191.69	1529.73	1225.22	2573.36	1757.34	1081.39	2104.58	1594.73	988.12	1417.35	656.11	1540.37	1883.54	2209.26	2090.03	2193.99	2303.12	1769.57	1199.98	4388.98	1551.09	642.59	738.29	1844.76	947.83	738.29	1175.27	1340.84	480.04	1081.39	7857.29	941.27	2417.67	2075.59	4869.99	2119.22	1111.82	1183.45	1135.2	1175.27	1551.09	1498.22	860.08	567.1	371.22	397.93	607.87	575.03	642.59	1551.09	457.25	1030.12	878.17	493.56	718.08	2255.7	1769.57	941.27	679.29	967.76	813.63	934.76	591.22	3419.52	2018.8
PDSS1	665.29	81.14	88.26	167.9	101.54	77.25	54.33	146.03	72.52	269.6	343.89	273.37	220.32	371.22	152.28	248.0	262.2	450.94	320.8	283.05	191.67	291.04	136.19	251.48	177.53	133.36	432.53	99.43	85.22	121.79	373.81	32.82	82.29	84.63	66.18	58.71	48.52	229.72	151.22	151.22	173.85	253.23	173.85	186.4	111.99	180.02	71.5	141.02	150.17	83.45	56.68	53.95	126.12	66.65	50.27	29.91	79.45	26.28	180.02	46.84	156.59	115.16	314.17	148.09	92.7	53.57	78.34	51.71	50.98	116.78	156.59	133.36
PFDN6	836.53	1369.04	2701.35	2319.15	2148.82	2502.97	1844.76	1870.53	1685.71	3081.75	3372.43	8305.36	2520.38	10440.2	4769.75	3515.68	4268.94	2935.74	4010.71	3540.14	4543.8	5292.48	3955.48	3190.46	5872.48	9540.5	6037.61	4575.41	3419.52	3039.3	8022.41	2271.4	3491.39	2664.15	1551.09	2018.8	1794.29	6561.36	1340.84	3257.52	2255.7	4802.93	1529.73	1794.29	2032.85	1909.85	1143.1	1313.23	2758.13	1540.37	785.88	819.3	785.88	866.07	854.13	1233.75	1819.35	1135.2	1950.0	1143.1	733.19	947.83	2855.44	1794.29	1487.87	836.53	775.05	961.07	967.76	1111.82	1111.82	1709.26
POLR2G	1051.79	1477.58	1950.0	1950.0	2451.44	1721.16	1977.24	2119.22	1721.16	2004.85	2240.11	2915.45	1447.15	2895.31	1936.53	2319.15	1819.35	1605.83	2255.7	2240.11	2209.26	2061.24	1896.65	2434.5	3589.58	1909.85	2895.31	2816.11	1175.27	813.63	3018.3	1605.83	848.22	995.0	1259.69	947.83	981.29	5633.22	2163.77	3325.99	3349.13	5006.93	2777.33	2255.7	2485.67	2451.44	2384.37	1819.35	2645.74	2303.12	1030.12	629.35	825.0	1268.46	995.0	1304.15	2367.9	884.29	3614.55	1896.65	819.3	1388.16	4388.98	2335.28	2104.58	1037.29	1806.78	1487.87	728.11	713.11	3874.05	2835.7
POP7	688.78	595.34	915.51	842.36	890.44	633.73	909.17	688.78	921.88	1427.22	1331.57	1199.98	1498.22	2148.82	1191.69	1745.2	1331.57	1135.2	1096.5	669.92	848.22	1936.53	921.88	1151.06	1806.78	1081.39	587.13	1427.22	759.08	785.88	1427.22	967.76	1572.76	1322.37	759.08	808.0	713.11	2609.3	633.73	2271.4	1870.53	3124.78	813.63	872.1	1175.27	669.92	819.3	575.03	802.41	921.88	253.23	186.4	271.48	325.29	220.32	435.55	961.07	283.05	947.83	336.79	214.27	218.79	1250.98	819.3	616.37	217.27	503.95	309.83	242.88	366.09	2090.03	878.17
PRDX4	1259.69	1844.76	2400.97	1991.0	4639.29	1844.76	4181.07	2777.33	1769.57	4358.66	5995.9	5219.6	5255.91	6607.01	4123.49	11745.96	6561.36	2367.9	10084.54	2956.17	3564.78	3955.48	2018.8	4010.71	3491.39	5831.91	8963.45	3928.15	4066.71	3103.19	4769.75	5594.3	5594.3	8022.41	7180.15	2090.03	7911.95	10512.82	1977.24	8538.88	3419.52	12160.22	3303.0	2400.97	3146.52	4328.55	1844.76	1721.16	3168.41	1709.26	909.17	915.51	791.35	1199.98	1001.93	1233.75	1909.85	1008.9	4010.71	1104.13	559.28	896.64	6745.86	3443.31	2032.85	796.86	2209.26	1870.53	1397.83	961.07	6121.9	3395.89
PSMC2	860.08	1757.34	2255.7	1745.2	1757.34	1605.83	1628.26	1498.22	1857.6	2915.45	3639.7	2682.69	3395.89	2287.2	1963.57	2758.13	2163.77	1143.1	2400.97	1447.15	3018.3	2739.08	2485.67	3212.66	3443.31	2720.15	2104.58	4123.49	1639.59	1467.37	2835.7	1508.65	1769.57	2384.37	2133.97	961.07	2032.85	4639.29	1477.58	5872.48	2555.58	4123.49	2537.92	1794.29	2555.58	2335.28	1508.65	974.5	1551.09	1359.57	1088.92	902.89	915.51	1437.15	1066.48	1295.13	2417.67	1096.5	1832.01	1407.55	1066.48	1950.0	3395.89	2451.44	1350.18	995.0	1936.53	1378.57	1143.1	1216.75	4239.45	2104.58
PSMC4	1313.23	1806.78	2090.03	2032.85	1651.0	2303.12	2351.53	2367.9	1794.29	2468.49	4095.0	3794.3	2384.37	4769.75	2133.97	2591.27	3190.46	1733.13	3419.52	1769.57	4038.61	3874.05	1286.18	5555.65	3060.45	2468.49	3190.46	3018.3	1896.65	1685.71	2701.35	1208.34	1721.16	2287.2	1457.23	866.07	1551.09	4639.29	1304.15	2915.45	3955.48	2997.45	1639.59	1572.76	1977.24	2178.83	848.22	1030.12	1697.45	1322.37	1295.13	738.29	2240.11	753.83	1304.15	733.19	2701.35	981.29	2133.97	1015.93	1208.34	1073.91	4123.49	1628.26	1143.1	796.86	1167.14	836.53	860.08	1417.35	2255.7	1617.0
PSMD4	2319.15	2351.53	3235.01	3614.55	3742.05	2758.13	3235.01	2816.11	2537.92	6983.79	6699.25	11189.6	5403.7	10440.2	8901.53	11909.94	8538.88	6840.04	7695.57	10084.54	8078.22	9344.14	13123.73	12676.65	13123.73	16843.62	12076.21	8658.09	5517.27	3168.41	6699.25	3928.15	4869.99	6164.49	3235.01	3039.3	2367.9	6887.62	3060.45	3325.99	5672.41	10084.54	3103.19	3018.3	3955.48	3847.29	2835.7	3325.99	4607.24	3614.55	1487.87	1304.15	1467.37	1242.34	1388.16	2018.8	3081.75	1397.83	4388.98	3018.3	1896.65	2061.24	8191.0	2591.27	2434.5	1378.57	1977.24	1498.22	1529.73	1111.82	5441.3	3060.45
PSMG1	624.99	518.15	902.89	718.08	934.76	947.83	713.11	656.11	660.68	890.44	2319.15	1066.48	1183.45	1781.89	1143.1	995.0	915.51	457.25	1487.87	1250.98	490.14	1331.57	961.07	1073.91	1639.59	693.58	1199.98	909.17	830.75	759.08	1628.26	872.1	780.44	1119.56	638.15	624.99	802.41	2468.49	791.35	1594.73	1023.0	3742.05	1397.83	961.07	909.17	808.0	633.73	536.45	995.0	785.88	486.75	297.17	406.31	500.46	395.18	460.44	1350.18	301.33	1001.93	559.28	307.69	529.06	1685.71	1397.83	825.0	295.11	559.28	802.41	514.56	525.39	1617.0	1143.1
PYCRL	38.4	221.86	208.38	251.48	182.55	336.79	220.32	283.05	155.5	647.07	599.49	743.43	723.08	318.57	281.09	1081.39	872.1	466.88	500.46	190.34	217.27	417.77	476.71	738.29	1216.75	571.05	466.88	656.11	409.15	221.86	186.4	201.25	185.11	153.34	127.89	226.54	90.14	279.14	130.6	336.79	493.56	318.57	146.03	155.5	169.07	228.13	122.64	46.18	183.82	111.99	55.1	45.53	36.79	80.57	71.5	79.45	102.97	43.94	273.37	67.12	59.97	40.64	409.15	215.77	134.3	60.82	96.68	47.84	54.33	48.52	275.28	162.14
RFC4	113.56	251.48	381.68	348.71	297.17	218.79	123.5	151.22	206.94	358.54	733.19	450.94	281.09	878.17	890.44	368.65	373.81	450.94	796.86	616.37	392.44	934.76	708.18	1135.2	651.58	514.56	866.07	356.05	110.43	82.29	909.17	241.19	108.14	406.31	92.7	115.97	120.1	2047.0	214.27	733.19	743.43	1639.59	191.67	182.55	368.65	825.0	199.85	253.23	457.25	172.65	36.53	70.01	59.97	149.12	24.99	36.27	181.28	87.65	647.07	87.03	69.52	165.57	802.41	162.14	104.42	99.43	92.7	53.95	30.78	89.51	2400.97	305.55
RPP40	83.45	101.54	159.9	129.69	169.07	152.28	176.29	181.28	112.77	162.14	476.71	447.82	172.65	423.61	186.4	236.21	507.46	161.02	358.54	371.22	318.57	483.38	409.15	205.5	507.46	358.54	791.35	291.04	244.57	217.27	454.09	220.32	185.11	223.41	190.34	139.07	329.84	769.69	76.17	181.28	366.09	497.0	190.34	88.26	157.68	162.14	62.12	117.6	228.13	78.34	35.5	26.1	32.82	22.1	35.76	27.25	102.97	29.06	94.67	16.27	22.43	7.17	234.57	143.01	96.01	37.05	55.1	16.27	33.78	15.11	258.57	228.13
SF3B14	4388.98	1242.34	2335.28	2520.38	2271.4	2119.22	2287.2	1572.76	1757.34	2104.58	2627.46	4152.18	2104.58	3039.3	2875.3	2271.4	2816.11	1870.53	2502.97	2997.45	2451.44	3257.52	3847.29	3874.05	2148.82	2609.3	5183.54	2537.92	1757.34	1977.24	3467.27	2104.58	2739.08	2209.26	1561.89	1477.58	1936.53	4239.45	2104.58	4769.75	3467.27	6207.38	3168.41	2335.28	2956.17	3039.3	2018.8	1685.71	3303.0	2895.31	1096.5	866.07	902.89	947.83	1030.12	1529.73	1991.0	1135.2	1806.78	1427.22	785.88	1127.35	5403.7	2935.74	1662.49	995.0	1427.22	1340.84	1331.57	1191.69	3564.78	2485.67
SHFM1	2335.28	2224.63	8963.45	7749.1	6471.02	3690.52	6516.03	2609.3	3716.2	13033.07	8134.41	10084.54	15180.22	17317.18	14065.74	15934.98	8421.31	7966.99	7803.01	5831.91	9151.82	23820.89	10368.08	16045.82	11189.6	11189.6	5831.91	19214.73	5913.33	3794.3	13586.57	9673.69	7230.1	10084.54	7749.1	5366.37	4802.93	22535.88	3540.14	23492.92	14065.74	11745.96	3982.99	3325.99	7749.1	6935.54	5517.27	3467.27	4769.75	3168.41	3212.66	2468.49	2090.03	2061.24	2976.74	4937.99	7032.37	1594.73	5292.48	5076.84	2468.49	2915.45	8421.31	2537.92	2434.5	1437.15	2777.33	3491.39	4210.15	2451.44	6745.86	4181.07
SLIRP	2090.03	2119.22	3874.05	4298.64	3901.01	3820.7	3419.52	2032.85	2367.9	5479.15	3665.02	4268.94	3690.52	14663.09	5751.61	5751.61	6983.79	3235.01	3349.13	3847.29	7230.1	8191.0	4010.71	7695.57	7081.29	3665.02	4358.66	4903.87	4358.66	3614.55	11189.6	5403.7	5831.91	4639.29	2855.44	2895.31	3443.31	10154.69	2367.9	4607.24	4639.29	6652.97	3820.7	3235.01	3614.55	3060.45	2303.12	1819.35	5672.41	3039.3	1304.15	967.76	1233.75	988.12	1023.0	1417.35	2682.69	1183.45	3372.43	1819.35	1073.91	1477.58	7382.04	4095.0	1769.57	1044.52	1685.71	1350.18	1540.37	1427.22	4903.87	3467.27
SLX1A	638.15	246.28	1437.15	1081.39	1268.46	1350.18	947.83	1015.93	371.22	1605.83	848.22	1977.24	1540.37	1242.34	718.08	1806.78	507.46	1199.98	1023.0	1119.56	543.96	1407.55	1051.79	1208.34	1250.98	1331.57	1088.92	1250.98	830.75	555.41	1963.57	1023.0	651.58	500.46	353.59	921.88	532.74	967.76	679.29	1639.59	656.11	995.0	825.0	890.44	860.08	438.59	567.1	167.9	896.64	1175.27	96.68	260.38	241.19	551.56	400.71	412.0	466.88	368.65	825.0	450.94	224.97	529.06	708.18	518.15	291.04	293.07	616.37	406.31	441.64	175.07	571.05	1225.22
SNF8	1277.29	2758.13	3820.7	4328.55	3190.46	2591.27	3325.99	2224.63	2287.2	2319.15	2997.45	2537.92	2537.92	5292.48	2915.45	2777.33	3235.01	2855.44	2609.3	2701.35	4298.64	4512.4	3303.0	4704.07	3742.05	3982.99	3443.31	3589.58	2061.24	1519.15	3325.99	2537.92	1605.83	2335.28	2417.67	1250.98	2739.08	3325.99	2664.15	3639.7	8134.41	3349.13	2075.59	2224.63	2875.3	3060.45	2032.85	2271.4	4010.71	2224.63	1304.15	848.22	1388.16	1233.75	1191.69	1388.16	2303.12	1073.91	2701.35	1467.37	1359.57	1551.09	3928.15	2468.49	2367.9	1216.75	1991.0	1551.09	1437.15	1191.69	2895.31	2434.5
SNRPC	743.43	2537.92	2485.67	2739.08	2956.17	2255.7	2485.67	2351.53	2875.3	2739.08	3665.02	7331.05	3794.3	5791.62	3874.05	3874.05	4298.64	2796.65	5076.84	5711.87	4010.71	7130.55	4769.75	4388.98	7433.4	6121.9	5633.22	4639.29	1870.53	1225.22	4972.34	2367.9	2255.7	2287.2	2451.44	1685.71	2090.03	11035.54	2485.67	4210.15	3168.41	5711.87	3146.52	3018.3	3467.27	3168.41	2271.4	1709.26	3742.05	3280.18	1143.1	808.0	684.02	1331.57	1286.18	1794.29	2555.58	796.86	3212.66	1936.53	703.28	1183.45	4802.93	3168.41	2384.37	1037.29	1870.53	1350.18	1111.82	928.3	4543.8	2915.45
SNRPD2	7966.99	5006.93	7180.15	6250.56	6164.49	5292.48	7382.04	5255.91	5913.33	5751.61	10585.95	8598.28	6471.02	13586.57	5831.91	8421.31	7433.4	5831.91	7433.4	10368.08	5366.37	16843.62	9945.68	13492.72	9409.14	6652.97	10368.08	6699.25	3349.13	3349.13	13123.73	4639.29	5441.3	5672.41	2835.7	4607.24	2895.31	47974.16	6337.83	22380.2	20170.07	28723.62	9279.58	8134.41	6745.86	6471.02	7537.18	4639.29	15075.35	8598.28	3614.55	3982.99	8363.13	2997.45	1397.83	5791.62	8022.41	3564.78	15499.21	6745.86	2739.08	4066.71	15607.02	7382.04	6840.04	3901.01	3768.09	6079.61	3690.52	4181.07	17681.08	8963.45
SNRPE	1583.71	1447.15	2555.58	2816.11	2224.63	2178.83	2104.58	1896.65	1909.85	5913.33	5403.7	8305.36	3081.75	8901.53	8778.97	8658.09	6337.83	4239.45	5403.7	6607.01	4736.79	9409.14	5633.22	6840.04	8078.22	9215.48	7803.01	4639.29	2351.53	1819.35	6250.56	2119.22	2224.63	2400.97	1639.59	1685.71	1617.0	9945.68	2400.97	5517.27	4543.8	7537.18	2997.45	2193.99	3491.39	3955.48	1832.01	1991.0	3589.58	2018.8	1286.18	684.02	967.76	1015.93	1008.9	1388.16	1936.53	941.27	3235.01	1350.18	1233.75	1208.34	6607.01	2417.67	1369.04	780.44	1498.22	1378.57	1199.98	1051.79	7280.4	2720.15
SNRPF	603.67	571.05	981.29	974.5	759.08	529.06	764.36	409.15	638.15	902.89	981.29	947.83	1015.93	2609.3	1427.22	1233.75	967.76	591.22	1350.18	1127.35	934.76	2240.11	1159.07	1757.34	1437.15	738.29	854.13	1001.93	688.78	529.06	1697.45	854.13	521.76	878.17	693.58	376.41	603.67	2090.03	551.56	1639.59	1037.29	1135.2	866.07	642.59	934.76	1175.27	624.99	629.35	1183.45	543.96	426.57	239.52	293.07	244.57	403.5	457.25	791.35	295.11	819.3	463.65	339.14	346.29	1806.78	728.11	279.14	262.2	426.57	426.57	595.34	267.73	1151.06	878.17
SRPRB	599.49	1277.29	1331.57	1286.18	1467.37	1769.57	1066.48	995.0	954.43	2090.03	1340.84	1651.0	2255.7	2777.33	1369.04	1685.71	2303.12	1167.14	3515.68	571.05	2178.83	2351.53	1870.53	2777.33	3564.78	2935.74	2997.45	2133.97	1674.06	995.0	1143.1	1208.34	1096.5	1594.73	1295.13	698.41	1322.37	4210.15	842.36	3018.3	2047.0	2335.28	1304.15	791.35	961.07	1605.83	642.59	954.43	1051.79	480.04	279.14	346.29	249.73	426.57	312.0	603.67	961.07	277.2	1233.75	316.37	435.55	348.71	1757.34	915.51	708.18	307.69	688.78	647.07	476.71	525.39	2319.15	1561.89
SSB	1127.35	1044.52	1081.39	1721.16	995.0	473.41	180.02	356.05	679.29	1225.22	2193.99	1909.85	902.89	2224.63	1529.73	1457.23	1697.45	866.07	2627.46	1832.01	1304.15	2287.2	2451.44	3060.45	1551.09	1857.6	5147.73	1508.65	1427.22	813.63	2224.63	674.59	1183.45	988.12	848.22	638.15	860.08	3540.14	1477.58	2417.67	2502.97	2758.13	1781.89	1697.45	2384.37	2758.13	1359.57	1583.71	3124.78	1583.71	1051.79	954.43	679.29	1359.57	995.0	1233.75	1286.18	796.86	1397.83	1388.16	1030.12	1199.98	2895.31	1697.45	1427.22	974.5	1037.29	842.36	1066.48	1051.79	2240.11	1806.78
SSBP1	728.11	2485.67	4671.57	3874.05	2935.74	3018.3	2434.5	2609.3	3081.75	3639.7	5147.73	4298.64	3303.0	4152.18	4210.15	4972.34	4210.15	1674.06	3349.13	2997.45	4450.27	6337.83	2645.74	5555.65	5672.41	3212.66	3018.3	4268.94	2875.3	2032.85	5517.27	2271.4	3018.3	3081.75	2209.26	1250.98	2417.67	10368.08	2451.44	7280.4	4903.87	5076.84	3982.99	2895.31	4152.18	3665.02	2895.31	1896.65	3081.75	2895.31	1350.18	878.17	587.13	1397.83	1639.59	1991.0	3491.39	1059.11	3716.2	2417.67	1081.39	1467.37	5913.33	4095.0	2178.83	1322.37	2895.31	1709.26	1857.6	1073.91	6250.56	3491.39
STRA13	1359.57	802.41	1233.75	1350.18	1030.12	860.08	1008.9	896.64	660.68	2047.0	2895.31	2163.77	1963.57	3212.66	1447.15	2004.85	1857.6	1896.65	1685.71	1151.06	1551.09	4123.49	6699.25	6840.04	4671.57	6426.31	6652.97	5672.41	2520.38	878.17	1175.27	1721.16	2090.03	2209.26	878.17	2090.03	1331.57	5872.48	1008.9	4328.55	4038.61	5751.61	1617.0	1769.57	1963.57	1073.91	974.5	551.56	2303.12	1936.53	314.17	738.29	902.89	1008.9	283.05	1844.76	981.29	441.64	2451.44	665.29	444.72	633.73	5403.7	1769.57	1870.53	583.07	995.0	713.11	656.11	483.38	3103.19	1781.89
TAF10	7433.4	3419.52	5147.73	5255.91	4450.27	5255.91	5479.15	4671.57	4152.18	5112.16	6250.56	8538.88	4903.87	9606.86	5041.77	6792.79	5954.47	7382.04	4575.41	5594.3	8840.04	4239.45	3742.05	6516.03	8658.09	6652.97	5672.41	5751.61	4152.18	2796.65	7382.04	2384.37	3491.39	3395.89	2335.28	2682.69	2485.67	4607.24	3303.0	7695.57	7966.99	6561.36	4543.8	4937.99	3349.13	6426.31	3419.52	3124.78	5292.48	2739.08	2777.33	3665.02	3982.99	1936.53	3690.52	3212.66	4210.15	2537.92	7081.29	4210.15	2796.65	4639.29	5995.9	3212.66	2682.69	2520.38	3742.05	3901.01	3847.29	2573.36	4066.71	5255.91
TBCE	316.37	193.01	336.79	277.2	343.89	339.14	361.04	199.85	271.48	656.11	1216.75	915.51	450.94	1015.93	1015.93	878.17	723.08	579.04	665.29	995.0	669.92	728.11	995.0	1066.48	665.29	1369.04	1295.13	753.83	273.37	214.27	785.88	246.28	169.07	329.84	258.57	279.14	244.57	679.29	312.0	698.41	457.25	656.11	441.64	336.79	441.64	476.71	316.37	414.87	438.59	343.89	122.64	149.12	150.17	167.9	181.28	170.25	500.46	154.42	381.68	234.57	285.03	193.01	555.41	460.44	368.65	199.85	237.86	191.67	239.52	220.32	866.07	444.72
THOC3	208.38	486.75	514.56	518.15	316.37	860.08	529.06	941.27	460.44	423.61	684.02	915.51	473.41	1340.84	595.34	802.41	638.15	708.18	947.83	1208.34	591.22	2193.99	599.49	2701.35	1059.11	884.29	947.83	460.44	529.06	583.07	1008.9	551.56	299.25	902.89	493.56	320.8	417.77	6079.61	497.0	836.53	599.49	884.29	339.14	414.87	376.41	890.44	373.81	183.82	1250.98	281.09	198.47	70.51	39.79	224.97	100.83	339.14	921.88	154.42	1081.39	361.04	239.52	201.25	688.78	718.08	460.44	152.28	708.18	412.0	189.02	90.77	1508.65	567.1
TIMM17A	1233.75	656.11	775.05	1037.29	1127.35	1096.5	915.51	819.3	603.67	1832.01	1950.0	1519.15	860.08	1508.65	967.76	2148.82	2104.58	1844.76	2004.85	915.51	1963.57	1477.58	2816.11	1794.29	2148.82	3395.89	3716.2	2796.65	1088.92	909.17	1950.0	909.17	1183.45	1277.29	1096.5	934.76	1540.37	1073.91	961.07	1175.27	909.17	1685.71	1088.92	928.3	1044.52	1551.09	688.78	543.96	802.41	738.29	813.63	583.07	620.67	507.46	587.13	490.14	896.64	511.0	961.07	521.76	607.87	587.13	1857.6	967.76	647.07	384.34	785.88	521.76	607.87	802.41	1519.15	1216.75
TIMM50	497.0	1167.14	1331.57	1594.73	1096.5	1721.16	2271.4	1561.89	1250.98	1605.83	2956.17	1977.24	1397.83	3103.19	1781.89	1870.53	2384.37	1594.73	1781.89	2032.85	2047.0	3168.41	1051.79	3928.15	2384.37	1685.71	2468.49	1427.22	1242.34	1175.27	3690.52	1242.34	884.29	1119.56	830.75	1104.13	1127.35	3235.01	1030.12	2997.45	3168.41	3168.41	1037.29	1233.75	1250.98	1857.6	1030.12	961.07	1674.06	995.0	651.58	595.34	733.19	536.45	529.06	567.1	1519.15	503.95	1350.18	603.67	603.67	536.45	2555.58	1498.22	981.29	603.67	902.89	476.71	540.19	540.19	2224.63	1104.13
TIMM9	884.29	624.99	915.51	1096.5	1407.55	651.58	775.05	743.43	941.27	1447.15	603.67	902.89	878.17	1745.2	1745.2	1208.34	1397.83	1066.48	1628.26	1023.0	1322.37	2240.11	1175.27	1991.0	1721.16	1936.53	1159.07	1051.79	660.68	1051.79	954.43	642.59	934.76	819.3	511.0	665.29	921.88	3955.48	825.0	1427.22	1397.83	2451.44	1088.92	825.0	902.89	1208.34	759.08	1119.56	1051.79	974.5	612.11	373.81	518.15	336.79	426.57	529.06	748.61	327.56	620.67	500.46	389.72	532.74	1167.14	669.92	830.75	267.73	583.07	796.86	511.0	967.76	2178.83	1008.9
TIPRL	624.99	392.44	348.71	314.17	441.64	295.11	241.19	346.29	373.81	587.13	928.3	878.17	293.07	813.63	575.03	728.11	748.61	297.17	813.63	698.41	954.43	728.11	638.15	796.86	651.58	836.53	759.08	591.22	420.68	358.54	616.37	363.56	301.33	450.94	392.44	197.09	444.72	1259.69	389.72	1044.52	796.86	1331.57	674.59	514.56	607.87	921.88	476.71	603.67	423.61	403.5	307.69	236.21	177.53	190.34	297.17	281.09	507.46	277.2	384.34	303.44	237.86	256.78	591.22	660.68	339.14	283.05	423.61	283.05	262.2	379.04	1242.34	620.67
UBE2V2	1104.13	612.11	547.75	612.11	638.15	490.14	307.69	376.41	651.58	3280.18	2400.97	2240.11	2075.59	802.41	1467.37	1572.76	866.07	934.76	1167.14	1295.13	813.63	825.0	1437.15	1175.27	2119.22	1111.82	2193.99	1286.18	848.22	860.08	1008.9	703.28	1208.34	830.75	718.08	536.45	1143.1	2434.5	775.05	1437.15	1447.15	3540.14	1191.69	813.63	1143.1	1498.22	612.11	769.69	1167.14	780.44	463.65	336.79	316.37	426.57	486.75	775.05	759.08	454.09	551.56	473.41	476.71	529.06	1832.01	866.07	490.14	426.57	490.14	387.02	599.49	848.22	1487.87	1191.69
