	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	GTEX.TMMY.0726.SM.33HBE	TCGA.VN.A88P.01A.11R.A352.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.11P82.1126.SM.5BC5K	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N
PPM1D	297.17	343.89	591.22	126.12	66.65	197.09	117.6	194.36	133.36	48.52	165.57	122.64	150.17	147.06	44.89	80.57	183.82	96.68	87.65	119.26	149.12	193.01	108.14	144.01	94.67	73.03	195.72	106.63	79.45	110.43	156.59	119.26	137.14	195.72	139.07	108.14	125.24	155.5	139.07	138.1	158.79	199.85	138.1	189.02	178.77	189.02	246.28	155.5	110.43	163.28	143.01	143.01	98.04	150.17
PPP2R5E	651.58	575.03	743.43	205.5	115.97	414.87	182.55	480.04	209.84	129.69	414.87	204.07	212.78	185.11	102.25	121.79	447.82	163.28	134.3	205.5	358.54	307.69	215.77	169.07	153.34	120.94	412.0	180.02	142.01	170.25	218.79	165.57	132.44	346.29	281.09	214.27	199.85	231.32	209.84	309.83	231.32	255.0	185.11	339.14	361.04	312.0	226.54	320.8	198.47	246.28	273.37	185.11	139.07	218.79
PPP4R2	1023.0	872.1	954.43	476.71	277.2	860.08	395.18	981.29	327.56	217.27	825.0	389.72	470.14	368.65	265.87	241.19	896.64	320.8	312.0	518.15	647.07	684.02	389.72	325.29	320.8	244.57	718.08	392.44	343.89	332.14	414.87	384.34	327.56	656.11	473.41	460.44	361.04	612.11	379.04	571.05	379.04	493.56	376.41	525.39	674.59	463.65	417.77	647.07	414.87	397.93	490.14	395.18	239.52	417.77
PUM2	1721.16	1733.13	2004.85	769.69	460.44	1685.71	733.19	1572.76	1023.0	457.25	1685.71	961.07	934.76	780.44	457.25	503.95	1572.76	780.44	728.11	1023.0	1331.57	1044.52	866.07	780.44	651.58	555.41	1313.23	848.22	665.29	854.13	1023.0	748.61	629.35	1457.23	1051.79	872.1	878.17	1051.79	860.08	1183.45	941.27	941.27	941.27	1208.34	1844.76	1417.35	1119.56	1250.98	848.22	902.89	1250.98	785.88	713.11	860.08
RAB14	1757.34	1697.45	1781.89	921.88	769.69	1651.0	890.44	1487.87	995.0	743.43	1331.57	988.12	1030.12	974.5	638.15	412.0	1388.16	819.3	713.11	1066.48	1427.22	1304.15	1081.39	791.35	941.27	759.08	1359.57	915.51	791.35	947.83	1073.91	947.83	780.44	1350.18	1030.12	1119.56	961.07	1199.98	967.76	1250.98	988.12	1073.91	1088.92	1286.18	1508.65	1304.15	995.0	1304.15	1051.79	1208.34	1081.39	1044.52	890.44	1059.11
RAB3GAP2	454.09	575.03	363.56	183.82	127.89	351.14	147.06	373.81	228.13	103.69	371.22	224.97	191.67	185.11	56.68	103.69	334.46	135.24	115.97	215.77	301.33	277.2	187.71	163.28	120.94	111.21	301.33	167.9	93.35	165.57	209.84	118.43	167.9	291.04	242.88	191.67	153.34	248.0	163.28	271.48	212.78	242.88	205.5	277.2	226.54	214.27	205.5	275.28	165.57	212.78	346.29	173.85	157.68	281.09
RBM27	353.59	454.09	420.68	208.38	100.13	334.46	153.34	351.14	181.28	81.71	376.41	162.14	178.77	148.09	132.44	88.88	339.14	143.01	109.66	194.36	281.09	251.48	180.02	167.9	124.37	112.77	320.8	150.17	105.15	141.02	173.85	151.22	123.5	289.02	221.86	170.25	159.9	221.86	152.28	244.57	177.53	194.36	149.12	255.0	281.09	371.22	231.32	293.07	148.09	178.77	256.78	173.85	103.69	191.67
RNF6	753.83	1081.39	698.41	397.93	195.72	497.0	384.34	825.0	447.82	96.68	518.15	454.09	454.09	273.37	161.02	193.01	633.73	348.71	244.57	493.56	540.19	612.11	373.81	329.84	234.57	341.51	536.45	429.54	264.03	356.05	483.38	353.59	376.41	591.22	356.05	371.22	379.04	624.99	329.84	460.44	540.19	435.55	490.14	547.75	703.28	651.58	463.65	493.56	432.53	620.67	476.71	444.72	249.73	291.04
RPAP3	612.11	884.29	599.49	381.68	281.09	432.53	287.01	551.56	368.65	242.88	555.41	356.05	336.79	318.57	297.17	249.73	356.05	264.03	299.25	343.89	423.61	412.0	307.69	251.48	353.59	242.88	473.41	361.04	242.88	297.17	314.17	309.83	258.57	447.82	348.71	389.72	255.0	536.45	237.86	358.54	368.65	356.05	400.71	376.41	414.87	435.55	373.81	460.44	341.51	406.31	420.68	334.46	236.21	293.07
RRM2B	529.06	718.08	470.14	262.2	170.25	638.15	241.19	638.15	281.09	147.06	490.14	232.94	262.2	209.84	229.72	149.12	463.65	187.71	198.47	277.2	463.65	353.59	260.38	426.57	167.9	211.31	426.57	242.88	194.36	281.09	258.57	246.28	248.0	423.61	356.05	363.56	251.48	490.14	242.88	368.65	271.48	303.44	255.0	371.22	454.09	447.82	551.56	336.79	234.57	323.03	309.83	242.88	178.77	209.84
RTF1	808.0	921.88	954.43	339.14	309.83	629.35	444.72	703.28	563.18	336.79	738.29	473.41	514.56	476.71	361.04	314.17	698.41	493.56	379.04	536.45	698.41	518.15	518.15	358.54	429.54	305.55	693.58	476.71	373.81	470.14	497.0	403.5	376.41	733.19	547.75	457.25	454.09	536.45	514.56	620.67	563.18	493.56	529.06	698.41	738.29	791.35	603.67	595.34	423.61	656.11	647.07	579.04	441.64	500.46
SBNO1	417.77	343.89	423.61	141.02	67.59	221.86	142.01	348.71	189.02	84.04	351.14	166.73	171.45	141.02	102.97	85.22	366.09	132.44	115.16	185.11	289.02	273.37	171.45	80.01	116.78	79.45	293.07	164.42	90.14	140.04	178.77	98.73	105.89	320.8	221.86	136.19	135.24	190.34	171.45	271.48	185.11	215.77	161.02	232.94	332.14	283.05	209.84	271.48	146.03	209.84	195.72	152.28	129.69	145.02
SCYL2	688.78	638.15	708.18	432.53	153.34	802.41	299.25	764.36	392.44	108.14	616.37	395.18	417.77	334.46	131.51	220.32	748.61	287.01	267.73	460.44	620.67	642.59	253.23	381.68	226.54	186.4	571.05	353.59	221.86	371.22	406.31	363.56	320.8	579.04	454.09	490.14	351.14	540.19	371.22	532.74	361.04	409.15	397.93	620.67	647.07	642.59	551.56	607.87	346.29	426.57	698.41	447.82	171.45	521.76
SEC24B	651.58	791.35	1081.39	325.29	212.78	540.19	275.28	607.87	343.89	202.66	551.56	346.29	343.89	283.05	197.09	186.4	525.39	229.72	229.72	373.81	470.14	379.04	314.17	249.73	251.48	217.27	547.75	291.04	199.85	287.01	343.89	279.14	241.19	497.0	397.93	343.89	297.17	341.51	287.01	514.56	406.31	356.05	366.09	486.75	476.71	493.56	381.68	463.65	237.86	334.46	483.38	289.02	201.25	305.55
SENP1	275.28	417.77	358.54	101.54	53.95	149.12	76.17	202.66	119.26	49.56	218.79	126.12	100.83	113.56	48.52	69.52	129.69	84.04	79.45	130.6	124.37	132.44	105.89	73.03	74.58	59.55	152.28	100.13	83.45	100.13	117.6	85.82	72.01	171.45	123.5	110.43	83.45	146.03	108.14	122.64	115.16	123.5	125.24	163.28	185.11	163.28	133.36	141.02	80.01	115.97	133.36	105.15	72.01	84.04
SHOC2	896.64	1250.98	954.43	444.72	260.38	633.73	400.71	884.29	366.09	229.72	612.11	316.37	426.57	444.72	253.23	295.11	633.73	341.51	287.01	457.25	620.67	638.15	429.54	343.89	387.02	356.05	656.11	397.93	327.56	368.65	371.22	397.93	389.72	638.15	435.55	559.28	426.57	612.11	470.14	483.38	348.71	460.44	381.68	567.1	733.19	620.67	438.59	536.45	403.5	497.0	473.41	470.14	291.04	450.94
SLC25A46	728.11	830.75	802.41	339.14	198.47	571.05	283.05	698.41	379.04	147.06	551.56	329.84	384.34	281.09	135.24	180.02	607.87	277.2	242.88	371.22	540.19	518.15	329.84	285.03	228.13	206.94	532.74	307.69	154.42	305.55	379.04	242.88	291.04	497.0	483.38	642.59	295.11	708.18	320.8	435.55	387.02	366.09	356.05	543.96	612.11	616.37	547.75	591.22	220.32	414.87	616.37	381.68	175.07	361.04
SMEK2	1191.69	1183.45	1427.22	656.11	389.72	1216.75	693.58	1268.46	775.05	389.72	1127.35	728.11	764.36	579.04	381.68	463.65	1175.27	511.0	547.75	825.0	947.83	961.07	764.36	521.76	500.46	444.72	1081.39	647.07	454.09	633.73	660.68	543.96	642.59	915.51	759.08	819.3	688.78	1015.93	638.15	769.69	684.02	753.83	693.58	872.1	1242.34	902.89	848.22	1286.18	567.1	728.11	1088.92	620.67	583.07	902.89
SOCS4	275.28	289.02	371.22	105.89	60.39	147.06	106.63	197.09	97.36	46.18	187.71	110.43	113.56	87.03	52.08	69.03	218.79	89.51	76.17	105.15	190.34	199.85	90.14	130.6	63.89	75.11	215.77	92.05	74.06	81.14	115.16	108.9	94.01	154.42	134.3	129.69	87.65	234.57	108.14	103.69	85.82	154.42	102.97	159.9	152.28	161.02	125.24	127.89	75.64	96.68	121.79	138.1	61.25	118.43
SPAG9	1208.34	1242.34	1066.48	293.07	146.03	642.59	199.85	599.49	353.59	132.44	529.06	346.29	309.83	291.04	138.1	154.42	551.56	248.0	181.28	403.5	476.71	444.72	255.0	285.03	190.34	136.19	651.58	299.25	197.09	234.57	387.02	249.73	229.72	532.74	376.41	299.25	246.28	409.15	327.56	450.94	438.59	450.94	353.59	656.11	463.65	447.82	441.64	536.45	246.28	368.65	603.67	218.79	226.54	389.72
SRFBP1	251.48	277.2	301.33	166.73	59.55	218.79	117.6	214.27	132.44	51.35	201.25	115.97	119.26	95.34	94.01	63.0	209.84	78.34	80.01	132.44	141.02	152.28	103.69	106.63	81.71	71.0	182.55	96.68	60.39	89.51	100.83	100.83	111.21	165.57	127.89	136.19	98.73	169.07	71.0	124.37	105.15	127.0	96.01	128.79	138.1	171.45	191.67	156.59	87.03	145.02	114.36	122.64	52.08	78.89
STAG1	607.87	432.53	860.08	202.66	72.52	389.72	176.29	346.29	215.77	59.55	389.72	258.57	199.85	186.4	78.89	89.51	318.57	162.14	120.94	224.97	281.09	236.21	194.36	152.28	143.01	118.43	384.34	181.28	119.26	172.65	256.78	162.14	157.68	356.05	231.32	133.36	171.45	218.79	205.5	242.88	226.54	275.28	220.32	281.09	384.34	281.09	248.0	220.32	147.06	221.86	199.85	187.71	141.02	215.77
STAG2	1605.83	1583.71	1819.35	441.64	409.15	1340.84	540.19	1457.23	693.58	265.87	1286.18	591.22	629.35	493.56	305.55	249.73	1143.1	473.41	387.02	713.11	928.3	743.43	616.37	514.56	409.15	368.65	1175.27	473.41	412.0	483.38	620.67	426.57	447.82	1015.93	743.43	656.11	511.0	802.41	529.06	780.44	651.58	728.11	579.04	866.07	1216.75	1151.06	733.19	1001.93	575.03	591.22	796.86	503.95	497.0	651.58
SUZ12	543.96	708.18	748.61	248.0	129.69	536.45	231.32	543.96	228.13	182.55	490.14	265.87	267.73	229.72	141.02	162.14	583.07	193.01	197.09	341.51	423.61	376.41	297.17	193.01	186.4	162.14	441.64	249.73	180.02	249.73	295.11	202.66	205.5	389.72	241.19	248.0	226.54	325.29	285.03	320.8	260.38	323.03	265.87	351.14	507.46	429.54	358.54	307.69	199.85	301.33	438.59	234.57	197.09	255.0
SYNCRIP	2367.9	2485.67	2400.97	947.83	358.54	1277.29	698.41	1781.89	1066.48	460.44	1781.89	1051.79	928.3	819.3	368.65	607.87	1781.89	748.61	738.29	1023.0	1277.29	1378.57	764.36	738.29	595.34	435.55	1457.23	866.07	540.19	708.18	878.17	579.04	764.36	1331.57	802.41	579.04	813.63	733.19	884.29	1044.52	896.64	1096.5	921.88	1313.23	1685.71	1286.18	974.5	1313.23	708.18	1015.93	981.29	902.89	417.77	954.43
TAF2	429.54	583.07	514.56	206.94	87.03	486.75	153.34	358.54	234.57	112.77	358.54	228.13	209.84	195.72	171.45	94.67	366.09	146.03	131.51	232.94	269.6	253.23	199.85	208.38	101.54	140.04	287.01	187.71	114.36	199.85	209.84	157.68	171.45	279.14	234.57	191.67	150.17	258.57	201.25	209.84	212.78	277.2	199.85	305.55	376.41	275.28	234.57	269.6	143.01	211.31	253.23	173.85	96.01	231.32
TAOK1	1183.45	733.19	629.35	152.28	66.18	363.56	146.03	409.15	197.09	84.04	392.44	183.82	185.11	132.44	89.51	87.65	441.64	140.04	109.66	226.54	327.56	228.13	153.34	125.24	98.73	92.7	387.02	165.57	120.94	141.02	211.31	137.14	125.24	309.83	201.25	132.44	157.68	204.07	169.07	246.28	195.72	199.85	181.28	305.55	379.04	301.33	211.31	283.05	118.43	217.27	279.14	151.22	102.25	218.79
TBCEL	316.37	273.37	305.55	169.07	98.04	392.44	191.67	395.18	204.07	115.97	341.51	218.79	186.4	138.1	78.34	92.7	314.17	153.34	149.12	256.78	269.6	201.25	150.17	157.68	90.77	111.99	291.04	197.09	137.14	172.65	190.34	150.17	123.5	237.86	217.27	198.47	215.77	180.02	181.28	194.36	166.73	202.66	217.27	323.03	305.55	299.25	358.54	271.48	118.43	195.72	258.57	172.65	127.89	163.28
TNKS2	860.08	1322.37	1359.57	277.2	193.01	674.59	301.33	759.08	423.61	208.38	647.07	366.09	373.81	287.01	138.1	176.29	703.28	229.72	258.57	387.02	521.76	450.94	318.57	256.78	223.41	204.07	607.87	318.57	226.54	318.57	353.59	249.73	255.0	547.75	400.71	277.2	256.78	470.14	320.8	435.55	400.71	454.09	314.17	483.38	620.67	483.38	417.77	460.44	218.79	356.05	595.34	199.85	195.72	353.59
TOX4	1111.82	1119.56	1225.22	866.07	555.41	1015.93	669.92	1119.56	780.44	563.18	1066.48	848.22	836.53	819.3	457.25	748.61	1111.82	759.08	603.67	808.0	947.83	1143.1	813.63	651.58	769.69	607.87	1051.79	688.78	529.06	780.44	738.29	718.08	555.41	1008.9	988.12	848.22	708.18	909.17	928.3	878.17	1001.93	1015.93	830.75	1088.92	1104.13	1081.39	1030.12	1073.91	624.99	1088.92	1104.13	769.69	591.22	909.17
TP53BP2	591.22	583.07	718.08	277.2	211.31	336.79	237.86	327.56	291.04	159.9	371.22	264.03	264.03	295.11	36.53	190.34	379.04	236.21	211.31	307.69	244.57	387.02	253.23	206.94	185.11	202.66	373.81	248.0	195.72	260.38	258.57	226.54	204.07	351.14	269.6	153.34	202.66	269.6	267.73	361.04	376.41	314.17	277.2	327.56	309.83	325.29	334.46	283.05	217.27	262.2	341.51	224.97	167.9	289.02
TRIP11	579.04	543.96	693.58	139.07	141.02	400.71	157.68	543.96	264.03	102.97	379.04	218.79	248.0	154.42	127.89	122.64	438.59	127.0	108.14	180.02	332.14	336.79	175.07	136.19	150.17	155.5	379.04	169.07	148.09	143.01	205.5	165.57	173.85	343.89	208.38	112.77	130.6	193.01	142.01	271.48	265.87	237.86	209.84	224.97	444.72	241.19	242.88	244.57	156.59	291.04	301.33	204.07	135.24	209.84
UBE3A	1066.48	1313.23	1322.37	518.15	368.65	1015.93	476.71	981.29	579.04	371.22	928.3	583.07	518.15	463.65	361.04	329.84	896.64	400.71	403.5	536.45	866.07	728.11	624.99	435.55	426.57	403.5	848.22	486.75	358.54	500.46	551.56	473.41	409.15	775.05	620.67	555.41	525.39	656.11	490.14	665.29	559.28	642.59	603.67	728.11	1135.2	860.08	647.07	785.88	476.71	583.07	669.92	490.14	395.18	624.99
UBR1	309.83	379.04	450.94	106.63	90.14	307.69	128.79	327.56	189.02	88.26	314.17	190.34	214.27	151.22	58.3	78.89	297.17	138.1	108.14	171.45	279.14	262.2	144.01	120.94	120.94	102.97	291.04	175.07	96.01	170.25	198.47	122.64	149.12	297.17	206.94	170.25	155.5	224.97	185.11	258.57	231.32	189.02	248.0	293.07	262.2	237.86	218.79	264.03	129.69	186.4	221.86	176.29	108.9	260.38
USP37	176.29	246.28	199.85	34.51	7.46	145.02	27.64	127.0	64.34	5.06	136.19	60.82	53.19	52.08	18.43	14.56	133.36	28.45	21.32	60.82	94.01	101.54	43.63	42.41	19.25	16.03	111.99	37.59	21.32	46.18	61.68	26.67	23.08	115.97	81.71	69.52	31.9	86.43	52.08	98.04	64.34	74.06	59.97	96.01	88.26	96.68	85.22	110.43	37.32	51.35	60.39	33.06	23.25	86.43
UTP20	260.38	218.79	185.11	83.45	48.52	191.67	63.45	139.07	112.77	59.13	158.79	105.15	90.77	97.36	77.79	46.18	149.12	64.8	62.56	96.01	110.43	119.26	87.65	84.63	68.55	55.49	125.24	84.63	77.25	88.26	98.04	58.71	54.33	152.28	100.13	59.97	63.89	80.57	74.58	110.43	107.38	111.99	126.12	144.01	121.79	123.5	90.77	124.37	70.51	111.21	111.99	77.25	51.71	83.45
VPS4B	1250.98	1340.84	2148.82	483.38	269.6	830.75	441.64	1073.91	684.02	287.01	961.07	599.49	579.04	480.04	145.02	301.33	884.29	417.77	444.72	567.1	743.43	713.11	607.87	389.72	384.34	279.14	1008.9	511.0	305.55	507.46	559.28	387.02	400.71	928.3	718.08	587.13	457.25	718.08	490.14	759.08	808.0	669.92	612.11	738.29	1295.13	884.29	647.07	860.08	497.0	728.11	733.19	551.56	457.25	551.56
WAC	2351.53	2520.38	3060.45	1242.34	708.18	2148.82	1127.35	2004.85	1551.09	802.41	2335.28	1388.16	1378.57	1111.82	665.29	738.29	2133.97	1119.56	909.17	1417.35	1794.29	1487.87	1259.69	1059.11	967.76	825.0	1781.89	1111.82	808.0	1167.14	1397.83	1119.56	934.76	1806.78	1508.65	1159.07	1135.2	1378.57	1208.34	1662.49	1519.15	1331.57	1313.23	1651.0	1844.76	1745.2	1583.71	1529.73	1119.56	1259.69	1617.0	1001.93	947.83	1487.87
XPO4	236.21	351.14	273.37	84.63	39.79	170.25	72.01	232.94	117.6	39.5	211.31	98.73	95.34	85.82	46.84	43.02	158.79	68.07	69.52	90.77	182.55	146.03	78.89	61.25	63.45	48.52	187.71	81.14	59.13	74.06	105.15	73.54	64.34	169.07	113.56	70.01	70.51	116.78	88.26	135.24	115.97	147.06	97.36	167.9	180.02	122.64	140.04	156.59	72.01	113.56	182.55	92.05	73.03	115.16
YTHDF3	884.29	988.12	1143.1	476.71	265.87	1233.75	525.39	1143.1	583.07	217.27	872.1	444.72	536.45	426.57	183.82	295.11	941.27	406.31	395.18	595.34	896.64	842.36	536.45	647.07	366.09	366.09	954.43	466.88	309.83	473.41	493.56	497.0	395.18	718.08	599.49	748.61	500.46	780.44	483.38	651.58	497.0	603.67	435.55	769.69	902.89	656.11	642.59	775.05	316.37	583.07	738.29	420.68	406.31	450.94
ZC3H12C	116.78	92.05	289.02	47.84	25.35	75.64	48.18	102.97	59.13	15.68	98.04	45.53	46.5	40.93	16.88	23.42	101.54	38.4	32.82	72.52	91.41	96.68	62.56	61.25	27.44	29.27	120.1	53.95	34.75	36.27	72.01	52.08	40.07	97.36	63.45	55.49	58.71	88.88	56.28	67.59	70.01	85.22	57.49	89.51	101.54	62.12	98.04	64.8	41.22	62.12	63.45	38.95	40.64	66.18
ZFP91	1030.12	902.89	1781.89	490.14	237.86	791.35	417.77	909.17	563.18	265.87	866.07	473.41	426.57	409.15	214.27	255.0	825.0	397.93	318.57	540.19	679.29	543.96	470.14	381.68	289.02	262.2	813.63	397.93	271.48	387.02	493.56	323.03	255.0	674.59	497.0	412.0	417.77	547.75	457.25	587.13	473.41	551.56	483.38	698.41	764.36	796.86	540.19	571.05	381.68	463.65	518.15	490.14	262.2	497.0
ZNF770	703.28	703.28	1059.11	172.65	45.21	463.65	143.01	511.0	231.32	38.67	514.56	175.07	166.73	127.89	37.32	39.5	536.45	131.51	76.71	193.01	348.71	291.04	182.55	131.51	69.03	91.41	412.0	215.77	100.83	158.79	183.82	122.64	111.21	303.44	234.57	181.28	135.24	248.0	152.28	269.6	214.27	190.34	177.53	316.37	450.94	373.81	389.72	291.04	100.83	197.09	241.19	287.01	38.4	142.01
