	TCGA.44.2657.11A.01R.1758.07	TCGA.49.4512.11A.01R.1858.07	TCGA.55.6983.11A.01R.1949.07	GTEX.139TT.0726.SM.5K7XW	GTEX.YF7O.0626.SM.4W21R	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.11DXZ.0726.SM.5N9C4	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.11NSD.0326.SM.5A5LS	GTEX.S7SE.0926.SM.2XCD6	GTEX.147F4.0926.SM.5Q5EO	GTEX.WZTO.0426.SM.3NM99	GTEX.ZT9X.0326.SM.51MTE	GTEX.X585.1026.SM.46MW6	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.TML8.0326.SM.4GICN	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.ZDXO.1326.SM.57WBS	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.PX3G.0526.SM.2I3EM	GTEX.OHPL.0526.SM.3NM8U	GTEX.13FLV.0426.SM.5KLZA	GTEX.WRHU.0226.SM.3MJFV	GTEX.13VXU.2726.SM.5LU4N	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.145MF.0726.SM.5Q5BT	GTEX.145MO.1326.SM.5Q5EF	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.PLZ6.0426.SM.5IFK2	GTEX.ZYT6.0526.SM.5GIEA	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.ZPIC.0626.SM.57WDY	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.VJYA.0326.SM.3GAEX	GTEX.T2IS.0526.SM.32QP9	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.WYVS.0526.SM.3NM9W	GTEX.131XH.0426.SM.5DUWU	TCGA.77.7337.11A.01R.2045.07	TCGA.56.8309.11A.01R.2296.07
MEF2BNB	656.11	808.0	629.35	361.04	921.88	642.59	476.71	638.15	656.11	1066.48	728.11	748.61	775.05	237.86	343.89	1191.69	693.58	503.95	1159.07	842.36	381.68	529.06	293.07	521.76	591.22	423.61	303.44	579.04	1037.29	579.04	400.71	334.46	208.38	995.0	638.15	426.57	733.19	529.06	518.15	435.55	995.0	848.22	511.0	819.3	967.76	802.41	915.51	688.78	764.36	780.44	536.45	412.0	209.84	339.14	412.0	392.44	206.94	819.3	392.44	514.56	796.86
MLST8	954.43	718.08	629.35	316.37	934.76	571.05	239.52	466.88	575.03	1175.27	603.67	872.1	753.83	176.29	295.11	1037.29	616.37	607.87	1001.93	854.13	366.09	444.72	246.28	514.56	759.08	547.75	239.52	423.61	1350.18	902.89	432.53	336.79	267.73	988.12	656.11	420.68	454.09	500.46	693.58	547.75	896.64	708.18	620.67	909.17	825.0	915.51	848.22	808.0	866.07	1037.29	420.68	271.48	180.02	412.0	332.14	361.04	194.36	884.29	325.29	665.29	748.61
MPND	612.11	753.83	579.04	275.28	713.11	656.11	189.02	769.69	651.58	830.75	928.3	909.17	872.1	148.09	395.18	1183.45	723.08	665.29	1059.11	775.05	256.78	285.03	363.56	412.0	620.67	314.17	189.02	327.56	995.0	651.58	457.25	260.38	108.14	1001.93	854.13	339.14	466.88	353.59	525.39	587.13	612.11	842.36	616.37	769.69	674.59	1277.29	759.08	1143.1	559.28	1111.82	389.72	392.44	202.66	579.04	285.03	532.74	277.2	612.11	320.8	395.18	785.88
MRPL11	1617.0	2417.67	1104.13	529.06	1721.16	1127.35	395.18	1233.75	860.08	1551.09	1896.65	1304.15	1322.37	325.29	547.75	2777.33	1216.75	1008.9	1844.76	1639.59	536.45	665.29	320.8	587.13	1397.83	808.0	353.59	665.29	2255.7	1628.26	450.94	432.53	301.33	1242.34	974.5	860.08	819.3	1199.98	1259.69	902.89	2032.85	1378.57	1304.15	2133.97	1066.48	1359.57	2303.12	1781.89	1709.26	1561.89	463.65	567.1	277.2	830.75	536.45	532.74	379.04	2075.59	629.35	961.07	1066.48
MRPL27	1662.49	2502.97	1208.34	698.41	1991.0	1199.98	525.39	1191.69	1233.75	2739.08	1417.35	2104.58	1561.89	511.0	599.49	3303.0	1037.29	1277.29	2133.97	1628.26	624.99	909.17	595.34	1233.75	1583.71	723.08	392.44	842.36	2468.49	1639.59	480.04	547.75	616.37	2032.85	854.13	1001.93	1030.12	884.29	1350.18	708.18	2209.26	1757.34	1508.65	1896.65	1250.98	1397.83	2502.97	1709.26	1639.59	1697.45	780.44	813.63	616.37	674.59	808.0	813.63	543.96	2271.4	674.59	1331.57	1583.71
MRPL37	1304.15	1340.84	1081.39	318.57	1350.18	1030.12	483.38	860.08	743.43	1794.29	1407.55	995.0	848.22	435.55	507.46	1883.54	1037.29	1096.5	1175.27	1127.35	514.56	802.41	384.34	583.07	1268.46	708.18	301.33	688.78	2032.85	1208.34	563.18	591.22	470.14	1208.34	693.58	974.5	780.44	967.76	1340.84	532.74	1639.59	890.44	995.0	1498.22	1167.14	1388.16	1561.89	902.89	1059.11	1111.82	500.46	470.14	320.8	780.44	620.67	536.45	529.06	1936.53	543.96	995.0	1015.93
MRPL53	1936.53	2351.53	1378.57	836.53	2915.45	1909.85	743.43	2193.99	1135.2	2777.33	3124.78	1870.53	1233.75	848.22	713.11	2451.44	961.07	1167.14	2875.3	1721.16	967.76	866.07	1119.56	743.43	1242.34	753.83	647.07	1685.71	1498.22	1487.87	921.88	1104.13	567.1	2591.27	1487.87	1199.98	1781.89	1467.37	1233.75	1304.15	2758.13	1936.53	1508.65	2004.85	1709.26	1857.6	733.19	2287.2	1295.13	2573.36	902.89	1044.52	684.02	1233.75	1104.13	728.11	1096.5	2104.58	785.88	1350.18	1745.2
MRPS11	995.0	1037.29	796.86	371.22	1104.13	836.53	212.78	642.59	684.02	1407.55	713.11	878.17	860.08	158.79	379.04	2090.03	759.08	830.75	1208.34	947.83	309.83	447.82	262.2	518.15	896.64	420.68	260.38	525.39	1540.37	981.29	327.56	518.15	303.44	854.13	620.67	536.45	490.14	651.58	748.61	444.72	1388.16	1051.79	1001.93	1119.56	896.64	974.5	1250.98	1008.9	902.89	884.29	457.25	334.46	181.28	536.45	497.0	318.57	269.6	1369.04	339.14	753.83	759.08
MRPS16	1781.89	2193.99	1447.15	669.92	1721.16	1331.57	819.3	1508.65	1088.92	2148.82	1605.83	1498.22	1175.27	500.46	748.61	2609.3	1242.34	1378.57	1819.35	1540.37	872.1	934.76	679.29	878.17	1529.73	693.58	536.45	1037.29	2240.11	1794.29	713.11	896.64	780.44	1437.15	1151.06	1225.22	1350.18	1066.48	1508.65	878.17	2075.59	1417.35	1447.15	2032.85	1447.15	1923.14	2148.82	1340.84	1605.83	1628.26	830.75	642.59	518.15	1044.52	988.12	796.86	769.69	2104.58	1015.93	1268.46	1340.84
MRPS33	1388.16	2400.97	1286.18	457.25	1639.59	1030.12	346.29	769.69	934.76	2148.82	1175.27	1628.26	1199.98	327.56	423.61	1950.0	708.18	693.58	1628.26	1540.37	297.17	503.95	450.94	595.34	1175.27	476.71	269.6	738.29	1268.46	1388.16	279.14	567.1	305.55	1662.49	660.68	507.46	1081.39	738.29	1909.85	514.56	2271.4	1388.16	1540.37	1870.53	1030.12	1594.73	2240.11	1066.48	995.0	1331.57	473.41	536.45	309.83	684.02	486.75	397.93	277.2	2148.82	688.78	688.78	1088.92
MRPS7	1551.09	1923.14	1127.35	567.1	1909.85	1417.35	753.83	1427.22	1250.98	2075.59	1304.15	1508.65	860.08	412.0	559.28	3081.75	1044.52	1651.0	1594.73	1844.76	791.35	1030.12	476.71	1059.11	1350.18	684.02	432.53	1135.2	2451.44	1572.76	470.14	688.78	551.56	1745.2	947.83	1447.15	1216.75	1066.48	1073.91	674.59	1923.14	1662.49	1457.23	2133.97	1417.35	1781.89	2032.85	1259.69	1437.15	1583.71	738.29	769.69	679.29	780.44	890.44	780.44	559.28	2287.2	543.96	1417.35	1378.57
NDUFA8	1350.18	2163.77	1250.98	674.59	1781.89	1359.57	432.53	1143.1	1540.37	1651.0	1331.57	2148.82	1151.06	529.06	909.17	2319.15	1250.98	1096.5	1628.26	1508.65	563.18	540.19	591.22	890.44	1322.37	656.11	403.5	872.1	1977.24	1605.83	555.41	1008.9	587.13	1883.54	884.29	909.17	1059.11	836.53	1417.35	647.07	2119.22	1757.34	2075.59	1857.6	1268.46	1447.15	2303.12	1617.0	1417.35	1304.15	669.92	848.22	450.94	842.36	785.88	665.29	460.44	2061.24	915.51	1167.14	1407.55
NDUFS3	2627.46	3874.05	2090.03	941.27	2915.45	2090.03	848.22	1733.13	1697.45	3325.99	2178.83	2193.99	2090.03	642.59	941.27	4671.57	1427.22	2255.7	3639.7	2468.49	928.3	1909.85	842.36	1388.16	2520.38	1175.27	808.0	1225.22	3639.7	2335.28	1340.84	1167.14	579.04	3060.45	2119.22	1508.65	1745.2	1551.09	2434.5	1963.57	3168.41	2777.33	1819.35	2777.33	2240.11	2240.11	4038.61	2148.82	2555.58	2777.33	1030.12	909.17	693.58	1561.89	1059.11	1096.5	543.96	2502.97	1111.82	1757.34	2119.22
NEDD8	5441.3	9025.81	5076.84	3614.55	7331.05	6037.61	2287.2	6294.04	6164.49	8658.09	5183.54	7081.29	2915.45	2271.4	3874.05	19214.73	3847.29	6294.04	5711.87	5633.22	3325.99	2148.82	3639.7	5441.3	6840.04	3614.55	3325.99	3794.3	10014.87	6079.61	2664.15	3847.29	2451.44	6079.61	5711.87	3443.31	3190.46	4671.57	5479.15	3820.7	11992.79	8191.0	7280.4	7280.4	4358.66	4937.99	7032.37	6079.61	5913.33	3874.05	2351.53	5219.6	2997.45	3190.46	5872.48	4704.07	2997.45	6840.04	3742.05	5147.73	5633.22
NPM3	679.29	723.08	429.54	205.5	325.29	297.17	327.56	447.82	166.73	688.78	693.58	211.31	400.71	223.41	248.0	1259.69	173.85	500.46	483.38	363.56	116.78	145.02	133.36	540.19	389.72	217.27	255.0	289.02	878.17	808.0	190.34	204.07	176.29	297.17	239.52	336.79	312.0	633.73	299.25	341.51	759.08	309.83	325.29	507.46	293.07	301.33	486.75	275.28	698.41	500.46	209.84	202.66	220.32	417.77	293.07	341.51	141.02	1073.91	141.02	264.03	400.71
ORAI3	567.1	466.88	387.02	150.17	587.13	438.59	154.42	429.54	329.84	567.1	688.78	529.06	426.57	159.9	285.03	417.77	454.09	293.07	575.03	511.0	167.9	165.57	215.77	82.29	679.29	289.02	194.36	325.29	511.0	384.34	248.0	454.09	186.4	486.75	320.8	180.02	260.38	325.29	412.0	371.22	603.67	392.44	698.41	532.74	595.34	529.06	466.88	629.35	329.84	802.41	244.57	137.14	170.25	384.34	301.33	264.03	181.28	343.89	244.57	454.09	417.77
OSTC	2209.26	4607.24	2209.26	1286.18	2997.45	1407.55	1175.27	2335.28	1628.26	2720.15	4095.0	1733.13	2351.53	1167.14	1073.91	3901.01	1457.23	2739.08	2271.4	2485.67	954.43	1369.04	728.11	1551.09	1662.49	1322.37	656.11	1551.09	3039.3	3820.7	928.3	1709.26	1081.39	1819.35	1073.91	1427.22	1806.78	2537.92	2609.3	1551.09	4239.45	1508.65	2075.59	3395.89	1350.18	2720.15	3564.78	1733.13	2104.58	1857.6	1001.93	934.76	785.88	1340.84	1159.07	1457.23	890.44	4704.07	947.83	2061.24	1662.49
PAFAH1B3	497.0	642.59	312.0	189.02	420.68	281.09	172.65	291.04	336.79	1477.58	493.56	511.0	529.06	98.04	237.86	1651.0	583.07	339.14	825.0	457.25	241.19	151.22	232.94	358.54	291.04	285.03	231.32	155.5	1605.83	587.13	159.9	177.53	100.13	392.44	251.48	153.34	341.51	173.85	633.73	186.4	616.37	363.56	480.04	567.1	285.03	387.02	583.07	460.44	633.73	400.71	167.9	119.26	115.16	212.78	205.5	209.84	148.09	915.51	145.02	242.88	373.81
PCCB	723.08	684.02	684.02	239.52	854.13	466.88	197.09	320.8	493.56	1167.14	500.46	748.61	429.54	248.0	336.79	1104.13	368.65	591.22	450.94	669.92	273.37	277.2	201.25	271.48	518.15	351.14	195.72	493.56	830.75	785.88	336.79	423.61	202.66	854.13	400.71	454.09	525.39	384.34	460.44	285.03	884.29	409.15	476.71	995.0	728.11	1259.69	860.08	329.84	536.45	684.02	236.21	343.89	183.82	511.0	285.03	397.93	223.41	1023.0	285.03	470.14	447.82
PDCD6	2287.2	3257.52	1936.53	941.27	3491.39	3146.52	1259.69	1991.0	2193.99	2855.44	1685.71	2537.92	2701.35	612.11	1199.98	2796.65	1806.78	1397.83	3039.3	3280.18	884.29	1697.45	599.49	1477.58	2997.45	854.13	656.11	1551.09	2739.08	2935.74	988.12	1498.22	713.11	3443.31	1977.24	1806.78	2591.27	1769.57	2573.36	1242.34	3665.02	3515.68	2148.82	3395.89	2351.53	2855.44	3901.01	2758.13	2133.97	2224.63	1096.5	1208.34	665.29	1183.45	1242.34	1044.52	1030.12	2627.46	1096.5	2075.59	2367.9
PGLS	2351.53	2090.03	1685.71	728.11	2119.22	1397.83	470.14	1794.29	1233.75	3515.68	2777.33	1936.53	1806.78	400.71	656.11	2664.15	1781.89	1733.13	3742.05	2032.85	674.59	642.59	603.67	1175.27	1639.59	1151.06	743.43	988.12	2935.74	1923.14	1015.93	995.0	521.76	2104.58	1225.22	921.88	1407.55	1008.9	1896.65	1781.89	2796.65	1769.57	1662.49	2075.59	1487.87	2417.67	2018.8	2664.15	1685.71	2895.31	1081.39	429.54	412.0	1331.57	819.3	890.44	603.67	2240.11	878.17	1295.13	1605.83
PHF5A	1023.0	1697.45	759.08	318.57	1457.23	698.41	412.0	1167.14	825.0	866.07	511.0	1088.92	514.56	387.02	316.37	1745.2	579.04	819.3	1001.93	1001.93	412.0	679.29	246.28	555.41	1015.93	297.17	441.64	669.92	1583.71	967.76	214.27	490.14	353.59	860.08	325.29	995.0	490.14	620.67	660.68	406.31	1159.07	967.76	902.89	1143.1	780.44	791.35	2004.85	748.61	493.56	728.11	194.36	490.14	769.69	470.14	507.46	327.56	660.68	1508.65	575.03	808.0	703.28
POLR2F	1806.78	2502.97	1487.87	1175.27	2502.97	1508.65	703.28	1883.54	2451.44	2335.28	1991.0	2271.4	1135.2	967.76	1191.69	3874.05	1487.87	1950.0	3039.3	1651.0	785.88	688.78	1030.12	1508.65	1950.0	915.51	848.22	1268.46	2061.24	1991.0	830.75	684.02	571.05	1991.0	1417.35	1135.2	748.61	1369.04	866.07	848.22	3235.01	3372.43	2287.2	2537.92	1794.29	1477.58	1832.01	3039.3	2004.85	1857.6	738.29	1066.48	848.22	1143.1	954.43	718.08	525.39	2209.26	981.29	1369.04	1963.57
POLR2G	2537.92	3146.52	1662.49	708.18	2209.26	1769.57	500.46	1561.89	1832.01	3039.3	2720.15	2004.85	2163.77	547.75	708.18	4010.71	1617.0	1923.14	2777.33	2537.92	1030.12	1044.52	629.35	1437.15	2758.13	1233.75	825.0	1015.93	3690.52	2417.67	995.0	1096.5	872.1	2209.26	1896.65	981.29	1073.91	1340.84	3235.01	1388.16	3614.55	2627.46	2178.83	3124.78	2061.24	2335.28	3614.55	2555.58	2047.0	2104.58	1037.29	967.76	500.46	1487.87	1023.0	728.11	713.11	3018.3	813.63	1950.0	2075.59
POLR2J	2287.2	2209.26	1832.01	988.12	2796.65	1819.35	819.3	1936.53	1561.89	2573.36	2193.99	2061.24	1397.83	656.11	1008.9	4268.94	1427.22	1529.73	2351.53	1639.59	928.3	1135.2	1104.13	1216.75	1857.6	947.83	909.17	1487.87	2319.15	1844.76	1183.45	836.53	698.41	2018.8	1242.34	1286.18	1119.56	1135.2	1662.49	1081.39	4152.18	2645.74	2104.58	2573.36	1674.06	1617.0	2627.46	2224.63	2075.59	1819.35	915.51	1111.82	836.53	1167.14	764.36	571.05	1081.39	2018.8	1059.11	1794.29	2119.22
POLR2L	6699.25	7642.41	4972.34	3665.02	12329.98	4358.66	2627.46	6037.61	5633.22	14262.1	3124.78	8479.89	3190.46	1721.16	4152.18	14765.09	4268.94	4419.52	4298.64	6745.86	2032.85	1819.35	3060.45	5791.62	4450.27	2777.33	3928.15	2997.45	13215.02	5913.33	3190.46	3690.52	2178.83	6037.61	5255.91	3212.66	3443.31	2816.11	4066.71	2335.28	11189.6	7695.57	5255.91	7589.61	7130.55	6121.9	3060.45	5672.41	5995.9	5995.9	2502.97	6792.79	4268.94	2367.9	4671.57	2255.7	2935.74	6337.83	3982.99	3874.05	5219.6
POMGNT1	1111.82	1313.23	1096.5	447.82	1008.9	854.13	796.86	1191.69	1359.57	1135.2	674.59	1191.69	1407.55	371.22	836.53	1397.83	1066.48	1088.92	848.22	1477.58	819.3	595.34	1008.9	688.78	723.08	941.27	567.1	460.44	1883.54	1104.13	738.29	1051.79	791.35	1551.09	1183.45	872.1	2163.77	521.76	647.07	802.41	878.17	995.0	890.44	1023.0	1096.5	1378.57	1806.78	1467.37	1685.71	1697.45	1225.22	748.61	307.69	698.41	543.96	551.56	457.25	1477.58	1051.79	902.89	1044.52
POP4	1529.73	1844.76	1457.23	547.75	2520.38	1437.15	551.56	1268.46	1167.14	2701.35	1369.04	1733.13	1322.37	567.1	423.61	2758.13	1001.93	1331.57	1923.14	2178.83	703.28	1199.98	525.39	915.51	1697.45	647.07	567.1	995.0	2163.77	1883.54	825.0	775.05	616.37	2224.63	1023.0	1304.15	1427.22	1104.13	1639.59	961.07	2451.44	1662.49	1467.37	2417.67	1605.83	1991.0	2485.67	1487.87	1417.35	1709.26	497.0	713.11	511.0	1191.69	902.89	587.13	529.06	1923.14	743.43	1268.46	1583.71
PPP1CA	5555.65	5006.93	3395.89	2075.59	5711.87	3768.09	1745.2	3874.05	3540.14	5672.41	3168.41	5006.93	3039.3	1540.37	1991.0	6840.04	3146.52	3982.99	5076.84	5041.77	2193.99	2451.44	2004.85	3467.27	3639.7	2018.8	2895.31	2520.38	6652.97	4450.27	2367.9	2417.67	1674.06	5041.77	3742.05	3325.99	3212.66	2573.36	4298.64	2573.36	5041.77	3820.7	3768.09	5112.16	4298.64	4358.66	5183.54	3820.7	4607.24	4736.79	2335.28	2434.5	2075.59	2720.15	2956.17	2664.15	2178.83	5183.54	2090.03	3325.99	3540.14
PRADC1	583.07	854.13	417.77	223.41	647.07	346.29	87.03	339.14	441.64	738.29	361.04	466.88	470.14	144.01	212.78	909.17	444.72	417.77	775.05	579.04	169.07	165.57	149.12	277.2	775.05	303.44	175.07	151.22	878.17	733.19	176.29	186.4	123.5	470.14	231.32	187.71	149.12	256.78	373.81	264.03	698.41	547.75	379.04	629.35	483.38	454.09	769.69	713.11	638.15	674.59	241.19	214.27	120.1	181.28	133.36	154.42	84.04	567.1	153.34	366.09	403.5
PSMD4	3190.46	3955.48	2701.35	1268.46	2875.3	3190.46	1437.15	2468.49	2075.59	4575.41	2739.08	3190.46	2739.08	1397.83	1437.15	9151.82	2224.63	3325.99	4704.07	2739.08	1487.87	1963.57	1304.15	2739.08	4298.64	1639.59	1467.37	2351.53	4210.15	2758.13	1388.16	1477.58	1143.1	2664.15	3018.3	1477.58	2018.8	2367.9	2417.67	2061.24	3820.7	3564.78	2777.33	3614.55	2895.31	2591.27	3639.7	3018.3	2875.3	2434.5	1378.57	1561.89	896.64	1498.22	2178.83	1529.73	1111.82	3372.43	1685.71	2682.69	3146.52
PSMD9	1427.22	1870.53	1191.69	612.11	2061.24	1127.35	587.13	1096.5	1268.46	1662.49	1277.29	1508.65	1369.04	457.25	825.0	2240.11	1359.57	1216.75	1467.37	1487.87	669.92	890.44	660.68	1208.34	1498.22	830.75	624.99	713.11	1963.57	1806.78	624.99	759.08	463.65	1605.83	988.12	1119.56	759.08	934.76	1199.98	733.19	2384.37	1295.13	1159.07	1745.2	1359.57	1529.73	1883.54	1991.0	1457.23	1674.06	759.08	802.41	571.05	785.88	878.17	775.05	587.13	1745.2	708.18	995.0	1388.16
PSMG4	518.15	723.08	473.41	155.5	684.02	470.14	329.84	412.0	307.69	483.38	392.44	575.03	591.22	138.1	339.14	532.74	149.12	287.01	507.46	540.19	353.59	389.72	185.11	277.2	551.56	273.37	120.94	339.14	688.78	612.11	318.57	376.41	127.89	866.07	432.53	563.18	796.86	438.59	336.79	211.31	819.3	480.04	281.09	503.95	748.61	480.04	289.02	486.75	728.11	490.14	215.77	267.73	155.5	363.56	420.68	406.31	228.13	447.82	271.48	379.04	500.46
RABEPK	400.71	514.56	379.04	177.53	470.14	332.14	197.09	381.68	379.04	429.54	435.55	376.41	305.55	154.42	209.84	753.83	353.59	395.18	507.46	536.45	206.94	277.2	125.24	258.57	514.56	236.21	115.16	258.57	563.18	497.0	176.29	165.57	185.11	289.02	249.73	320.8	281.09	281.09	426.57	273.37	571.05	503.95	412.0	521.76	392.44	387.02	532.74	559.28	432.53	384.34	217.27	239.52	124.37	239.52	214.27	139.07	141.02	583.07	171.45	376.41	395.18
RBFA	327.56	412.0	301.33	147.06	438.59	295.11	136.19	285.03	363.56	693.58	366.09	403.5	339.14	98.73	209.84	679.29	432.53	295.11	444.72	444.72	155.5	343.89	187.71	353.59	435.55	363.56	102.97	262.2	759.08	480.04	260.38	220.32	116.78	392.44	389.72	358.54	323.03	376.41	351.14	166.73	599.49	460.44	267.73	400.71	361.04	361.04	571.05	438.59	518.15	457.25	231.32	265.87	99.43	211.31	191.67	269.6	139.07	521.76	176.29	301.33	384.34
RGS19	1191.69	785.88	525.39	447.82	1313.23	660.68	660.68	1088.92	848.22	836.53	547.75	1143.1	616.37	285.03	343.89	2434.5	842.36	928.3	2148.82	1159.07	303.44	343.89	435.55	679.29	896.64	283.05	379.04	389.72	928.3	1066.48	587.13	397.93	320.8	961.07	555.41	497.0	327.56	607.87	733.19	688.78	967.76	967.76	928.3	830.75	591.22	1051.79	1359.57	1127.35	603.67	909.17	490.14	463.65	329.84	555.41	532.74	743.43	669.92	1096.5	289.02	518.15	921.88
RHOD	426.57	473.41	379.04	106.63	514.56	400.71	101.54	256.78	244.57	1628.26	555.41	447.82	414.87	55.89	166.73	612.11	307.69	466.88	389.72	325.29	85.82	63.89	169.07	204.07	297.17	248.0	85.22	172.65	665.29	423.61	65.26	124.37	50.98	490.14	205.5	295.11	363.56	205.5	214.27	175.07	490.14	483.38	366.09	748.61	373.81	743.43	249.73	358.54	358.54	753.83	289.02	152.28	62.56	127.89	149.12	133.36	153.34	941.27	119.26	258.57	397.93
ROM1	150.17	241.19	131.51	107.38	131.51	123.5	185.11	115.16	139.07	176.29	63.45	119.26	47.5	90.77	105.89	114.36	248.0	105.89	163.28	124.37	100.83	144.01	65.72	71.5	267.73	96.68	43.94	138.1	249.73	211.31	32.82	68.07	84.63	88.88	88.88	214.27	63.0	63.89	90.77	116.78	466.88	74.58	231.32	236.21	234.57	87.65	211.31	217.27	353.59	201.25	75.11	47.5	54.72	95.34	37.05	85.82	83.45	132.44	66.18	83.45	136.19
RPP25L	802.41	802.41	480.04	143.01	743.43	346.29	121.79	346.29	379.04	791.35	450.94	713.11	444.72	111.21	190.34	872.1	420.68	361.04	796.86	825.0	165.57	209.84	139.07	211.31	579.04	231.32	84.04	273.37	947.83	674.59	198.47	197.09	201.25	733.19	329.84	256.78	379.04	323.03	638.15	186.4	961.07	616.37	563.18	780.44	836.53	651.58	813.63	555.41	473.41	775.05	212.78	148.09	101.54	303.44	190.34	158.79	189.02	819.3	202.66	429.54	547.75
RTN4IP1	143.01	135.24	111.21	36.27	142.01	128.79	25.72	78.34	98.04	138.1	88.88	101.54	116.78	19.82	37.32	214.27	90.14	71.5	104.42	120.1	80.01	106.63	30.78	48.52	133.36	38.4	15.56	45.53	185.11	132.44	50.63	49.91	40.07	132.44	84.04	71.5	141.02	84.04	171.45	67.59	144.01	143.01	68.07	134.3	133.36	155.5	142.01	91.41	134.3	131.51	62.12	31.0	19.25	73.03	48.52	31.67	69.52	197.09	59.97	92.7	105.15
S1PR4	728.11	620.67	343.89	201.25	884.29	866.07	234.57	400.71	669.92	406.31	194.36	1350.18	902.89	68.55	114.36	1572.76	395.18	466.88	1313.23	703.28	76.71	158.79	129.69	291.04	441.64	237.86	120.1	66.65	599.49	656.11	128.79	106.63	58.3	785.88	397.93	162.14	120.1	204.07	334.46	242.88	473.41	525.39	1427.22	575.03	575.03	1030.12	764.36	1242.34	205.5	1250.98	187.71	141.02	125.24	94.67	199.85	148.09	368.65	988.12	47.84	297.17	629.35
SDHC	2627.46	3847.29	2351.53	1135.2	3794.3	2875.3	1709.26	2193.99	2255.7	4543.8	2796.65	2417.67	1870.53	1233.75	1199.98	4869.99	1651.0	2351.53	3146.52	2796.65	2451.44	2119.22	1277.29	2090.03	2682.69	1923.14	872.1	2287.2	5006.93	3614.55	2148.82	2163.77	1119.56	3515.68	2485.67	2303.12	3190.46	2935.74	4038.61	2032.85	4607.24	2502.97	2319.15	4481.23	3124.78	3768.09	4388.98	1794.29	3146.52	2976.74	1378.57	2004.85	830.75	2090.03	1733.13	2573.36	1073.91	4010.71	1909.85	2609.3	2777.33
SIGMAR1	1127.35	1008.9	830.75	277.2	1066.48	441.64	371.22	698.41	775.05	1242.34	902.89	791.35	808.0	339.14	483.38	1870.53	967.76	733.19	921.88	909.17	392.44	334.46	381.68	599.49	1167.14	642.59	199.85	607.87	1519.15	1277.29	511.0	400.71	387.02	1008.9	688.78	713.11	507.46	769.69	660.68	400.71	1225.22	808.0	738.29	1216.75	1051.79	1159.07	1233.75	769.69	1378.57	1044.52	466.88	400.71	217.27	551.56	470.14	511.0	406.31	1369.04	400.71	764.36	802.41
SLC25A11	1605.83	1457.23	1059.11	511.0	1857.6	1030.12	414.87	1119.56	1277.29	1651.0	1015.93	1832.01	1096.5	414.87	769.69	2148.82	1295.13	1277.29	1721.16	1529.73	591.22	490.14	540.19	878.17	1304.15	688.78	764.36	733.19	2255.7	1467.37	665.29	684.02	551.56	1572.76	1008.9	728.11	785.88	769.69	1135.2	748.61	1594.73	1628.26	1208.34	1561.89	1508.65	1794.29	1733.13	1437.15	1457.23	1540.37	703.28	780.44	483.38	769.69	759.08	708.18	521.76	1594.73	543.96	1119.56	1313.23
SMUG1	775.05	1259.69	647.07	271.48	759.08	629.35	180.02	775.05	575.03	988.12	854.13	802.41	759.08	136.19	297.17	1073.91	624.99	616.37	1066.48	665.29	244.57	323.03	246.28	339.14	688.78	329.84	177.53	395.18	1088.92	819.3	327.56	356.05	189.02	785.88	514.56	473.41	444.72	470.14	748.61	514.56	995.0	764.36	718.08	796.86	708.18	780.44	759.08	808.0	693.58	974.5	273.37	234.57	164.42	387.02	379.04	262.2	277.2	848.22	172.65	563.18	769.69
SNRNP25	1001.93	808.0	684.02	426.57	665.29	1088.92	226.54	412.0	616.37	1819.35	764.36	624.99	769.69	150.17	603.67	1781.89	397.93	599.49	842.36	759.08	242.88	149.12	309.83	356.05	656.11	197.09	2627.46	269.6	1487.87	674.59	327.56	309.83	128.79	684.02	616.37	341.51	486.75	316.37	624.99	397.93	802.41	995.0	571.05	1015.93	536.45	511.0	665.29	587.13	902.89	674.59	262.2	271.48	275.28	473.41	256.78	381.68	137.14	1350.18	423.61	423.61	713.11
