	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.12WSJ.0826.SM.5PNWV	GTEX.12C56.1226.SM.5FQSU	GTEX.V1D1.1026.SM.4JBHE	GTEX.11P7K.1326.SM.5BC5G	GTEX.X3Y1.1326.SM.4PQZB	GTEX.13OVI.2626.SM.5KM4T	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.ZVT2.1326.SM.5E45H	GTEX.U3ZM.0526.SM.4DXTB	GTEX.11P81.0826.SM.5P9GR	GTEX.131XG.1026.SM.5GCMX	GTEX.QV44.1126.SM.4R1KO	GTEX.14AS3.0626.SM.5QGQD	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.BA.4074.01A.01R.1436.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.CV.7089.01A.11R.2016.07	TCGA.BA.4075.01A.01R.1436.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.7423.11A.01R.2081.07	TCGA.CV.7250.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.35.4122.01A.01R.1107.07	TCGA.38.4629.01A.02R.1206.07	TCGA.33.4589.01A.01R.1443.07	TCGA.37.3783.01A.01R.1201.07	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZT9W.2126.SM.51MSF
GOLGA2	285.03	2255.7	785.88	1225.22	1529.73	974.5	1617.0	1044.52	1427.22	1259.69	1417.35	1378.57	1250.98	967.76	1572.76	389.72	2075.59	2193.99	2224.63	2075.59	2061.24	2178.83	2148.82	2061.24	2224.63	2271.4	2047.0	2209.26	346.29	212.78	595.34	1498.22	217.27	1605.83	981.29	1023.0	1051.79	647.07	718.08	260.38	147.06	529.06	224.97	269.6	2148.82	961.07	1369.04	947.83
GOLPH3L	275.28	866.07	226.54	1191.69	866.07	153.34	536.45	281.09	599.49	447.82	1030.12	791.35	616.37	236.21	890.44	307.69	830.75	1096.5	941.27	1175.27	961.07	1322.37	1037.29	1111.82	947.83	1088.92	2061.24	1081.39	470.14	153.34	195.72	460.44	466.88	525.39	379.04	579.04	723.08	1199.98	432.53	348.71	486.75	351.14	356.05	351.14	890.44	1561.89	733.19	591.22
GORASP1	454.09	460.44	351.14	934.76	1135.2	791.35	1175.27	947.83	902.89	759.08	967.76	1096.5	1001.93	599.49	1088.92	819.3	1030.12	1242.34	1127.35	1437.15	1331.57	1199.98	1304.15	1030.12	974.5	1104.13	1242.34	1225.22	242.88	236.21	368.65	532.74	351.14	785.88	454.09	583.07	647.07	603.67	0.0	0.82	381.68	397.93	181.28	285.03	536.45	567.1	438.59	384.34
GPR78	0.0	384.34	9.34	1674.06	1685.71	85.82	753.83	967.76	2148.82	358.54	2956.17	2351.53	361.04	71.5	3395.89	1.23	279.14	476.71	426.57	334.46	260.38	348.71	273.37	275.28	217.27	201.25	269.6	267.73	49.21	0.47	0.0	35.0	1.77	20.41	5.36	25.91	32.36	35.0	0.0	0.21	17.25	7.57	0.92	0.0	854.13	152.28	212.78	287.01
GSE1	16.75	842.36	124.37	466.88	406.31	248.0	454.09	327.56	351.14	417.77	466.88	348.71	358.54	248.0	591.22	226.54	785.88	1127.35	579.04	591.22	587.13	486.75	490.14	748.61	540.19	759.08	733.19	775.05	57.89	57.49	87.65	189.02	73.03	400.71	241.19	231.32	301.33	144.01	0.0	0.92	72.52	137.14	36.79	74.58	242.88	327.56	137.14	176.29
HEATR5B	62.56	198.47	52.08	231.32	255.0	134.3	314.17	115.97	231.32	205.5	234.57	190.34	162.14	150.17	214.27	85.22	373.81	309.83	476.71	381.68	384.34	293.07	381.68	301.33	341.51	426.57	358.54	309.83	145.02	28.24	35.0	126.12	38.67	295.11	85.22	147.06	153.34	97.36	0.0	0.27	46.84	53.95	23.25	87.03	206.94	108.9	141.02	103.69
HECTD4	103.69	432.53	201.25	595.34	599.49	329.84	703.28	529.06	583.07	543.96	753.83	579.04	525.39	334.46	775.05	320.8	813.63	921.88	866.07	974.5	753.83	854.13	941.27	1001.93	775.05	988.12	764.36	836.53	129.69	47.84	121.79	212.78	32.36	423.61	220.32	256.78	241.19	157.68	0.0	0.93	76.71	122.64	32.59	115.16	559.28	229.72	223.41	376.41
HIP1R	231.32	1909.85	237.86	307.69	336.79	547.75	463.65	466.88	199.85	307.69	318.57	457.25	371.22	400.71	376.41	241.19	890.44	1030.12	842.36	753.83	1104.13	791.35	775.05	1073.91	759.08	1059.11	669.92	1216.75	220.32	121.79	368.65	543.96	134.3	825.0	297.17	323.03	371.22	205.5	0.0	0.88	269.6	297.17	244.57	232.94	249.73	384.34	373.81	249.73
HOOK1	1.85	483.38	77.79	151.22	116.78	116.78	563.18	45.85	258.57	116.78	205.5	81.71	109.66	1.25	665.29	3.96	713.11	575.03	902.89	633.73	420.68	567.1	674.59	785.88	703.28	775.05	638.15	642.59	76.71	55.1	23.08	194.36	12.93	473.41	144.01	169.07	277.2	223.41	98.73	116.78	60.82	48.18	45.53	108.9	547.75	312.0	536.45	638.15
HOOK2	149.12	2319.15	293.07	1051.79	1407.55	339.14	1350.18	698.41	1487.87	961.07	1551.09	1447.15	1037.29	366.09	1407.55	198.47	1794.29	2875.3	1757.34	2209.26	2193.99	1721.16	1781.89	1487.87	1551.09	1583.71	1991.0	2537.92	669.92	135.24	164.42	518.15	198.47	1096.5	748.61	802.41	669.92	551.56	0.0	0.85	241.19	397.93	125.24	334.46	988.12	551.56	848.22	470.14
IDUA	54.33	71.5	63.0	182.55	297.17	88.88	273.37	373.81	264.03	248.0	267.73	237.86	239.52	120.94	223.41	229.72	384.34	466.88	215.77	441.64	450.94	351.14	392.44	293.07	220.32	392.44	327.56	258.57	59.55	18.56	70.01	125.24	62.56	140.04	54.72	84.63	116.78	25.17	0.0	1.0	108.9	209.84	13.03	83.45	29.7	86.43	45.21	28.86
IKZF2	6.78	1617.0	12.55	785.88	1111.82	19.68	878.17	373.81	571.05	507.46	1295.13	1037.29	708.18	14.24	1467.37	15.34	500.46	571.05	595.34	543.96	603.67	511.0	476.71	412.0	532.74	363.56	748.61	718.08	48.52	63.89	10.31	166.73	13.42	301.33	139.07	90.77	339.14	395.18	0.0	0.24	37.59	37.32	6.46	38.67	1242.34	441.64	860.08	358.54
IL22RA1	31.67	2777.33	61.25	791.35	738.29	71.0	480.04	599.49	162.14	395.18	981.29	1044.52	376.41	220.32	3847.29	9.34	555.41	356.05	660.68	591.22	529.06	587.13	426.57	583.07	547.75	490.14	420.68	514.56	140.04	6.62	146.03	476.71	33.54	341.51	77.79	206.94	299.25	361.04	0.0	0.05	15.56	46.18	71.0	89.51	1819.35	674.59	1437.15	1909.85
INADL	97.36	1119.56	277.2	358.54	559.28	376.41	708.18	291.04	603.67	536.45	563.18	387.02	426.57	173.85	612.11	87.03	764.36	703.28	860.08	532.74	825.0	587.13	571.05	708.18	748.61	633.73	759.08	785.88	312.0	92.7	98.73	293.07	153.34	616.37	312.0	336.79	381.68	392.44	269.6	320.8	101.54	128.79	131.51	151.22	511.0	297.17	476.71	406.31
IPCEF1	2.76	15.68	4.13	20.41	36.27	4.06	23.08	28.04	29.06	8.0	48.87	32.13	45.53	5.82	18.16	7.75	51.35	57.89	36.79	39.5	38.67	19.97	29.91	40.36	18.29	51.35	38.95	71.0	7.06	6.06	6.21	7.57	11.38	46.84	10.24	19.97	37.05	37.05	0.0	0.38	37.05	20.26	3.38	53.19	14.14	43.63	21.94	10.16
ITSN2	153.34	2434.5	260.38	1427.22	1081.39	497.0	1216.75	708.18	1159.07	1216.75	1359.57	1286.18	1183.45	624.99	1208.34	339.14	1286.18	1844.76	2163.77	1407.55	1540.37	1617.0	1709.26	1551.09	1268.46	1605.83	1896.65	1628.26	457.25	209.84	139.07	571.05	127.89	1313.23	389.72	624.99	995.0	902.89	0.0	0.88	267.73	264.03	217.27	500.46	1540.37	1001.93	1397.83	1143.1
JMJD7-PLA2G4B	8.38	267.73	13.12	163.28	190.34	135.24	205.5	226.54	214.27	234.57	264.03	180.02	80.01	150.17	299.25	33.3	346.29	363.56	246.28	332.14	532.74	316.37	279.14	301.33	262.2	314.17	285.03	587.13	59.55	13.83	7.17	82.87	18.7	194.36	46.5	61.68	49.56	75.11	0.0	1.06	9.7	16.15	3.26	17.13	105.15	84.04	99.43	46.5
KANK1	129.69	1651.0	277.2	1427.22	2047.0	1331.57	1697.45	1313.23	1662.49	1088.92	2701.35	1104.13	802.41	1304.15	2835.7	836.53	1769.57	1991.0	1697.45	2032.85	1819.35	1769.57	1832.01	1519.15	2319.15	1605.83	1561.89	1909.85	309.83	102.25	229.72	995.0	175.07	1651.0	466.88	842.36	698.41	1044.52	135.24	78.34	87.65	167.9	327.56	150.17	5183.54	420.68	4328.55	4937.99
KIAA0556	73.54	234.57	66.18	175.07	384.34	157.68	325.29	187.71	228.13	202.66	361.04	287.01	212.78	142.01	318.57	101.54	624.99	486.75	429.54	764.36	511.0	503.95	607.87	571.05	346.29	514.56	540.19	420.68	55.49	54.33	81.14	177.53	46.84	264.03	106.63	117.6	242.88	186.4	0.0	0.51	69.03	86.43	34.26	34.02	193.01	156.59	256.78	205.5
KIAA1432	102.25	264.03	178.77	265.87	281.09	262.2	466.88	214.27	323.03	279.14	339.14	265.87	287.01	183.82	384.34	94.67	301.33	239.52	283.05	226.54	289.02	236.21	291.04	271.48	246.28	309.83	246.28	195.72	84.63	92.7	131.51	165.57	105.15	236.21	111.99	125.24	173.85	130.6	0.0	0.64	84.63	139.07	78.34	106.63	246.28	167.9	267.73	158.79
KIAA1958	14.56	32.36	16.75	16.27	18.29	9.56	31.67	13.32	15.22	13.42	18.03	15.11	12.09	7.4	27.44	8.13	51.35	79.45	59.55	74.58	80.57	63.0	75.11	60.39	75.64	102.25	64.8	49.91	13.32	15.22	8.51	30.56	13.32	41.52	22.75	24.81	37.85	38.12	0.0	0.19	20.26	13.12	5.02	11.82	21.94	39.5	14.56	10.31
KSR1	60.82	339.14	19.68	1208.34	1540.37	332.14	1044.52	1127.35	967.76	743.43	1709.26	1583.71	713.11	289.02	1721.16	176.29	1286.18	1806.78	1175.27	1832.01	808.0	1407.55	1111.82	1081.39	1437.15	1135.2	1331.57	1119.56	146.03	77.79	43.32	366.09	66.18	599.49	583.07	255.0	909.17	503.95	0.0	0.96	116.78	215.77	81.14	297.17	1331.57	1832.01	967.76	738.29
LARP4B	221.86	1088.92	112.77	503.95	842.36	540.19	813.63	525.39	708.18	651.58	708.18	656.11	567.1	698.41	660.68	191.67	981.29	1037.29	1066.48	1030.12	988.12	1008.9	890.44	1135.2	1037.29	1183.45	928.3	1008.9	229.72	186.4	228.13	476.71	198.47	813.63	665.29	559.28	713.11	361.04	723.08	674.59	295.11	395.18	163.28	248.0	1208.34	995.0	878.17	1023.0
LETM1	591.22	514.56	224.97	414.87	866.07	647.07	656.11	836.53	514.56	583.07	480.04	1417.35	470.14	353.59	651.58	185.11	854.13	915.51	718.08	1175.27	802.41	733.19	921.88	866.07	1073.91	1008.9	819.3	830.75	157.68	112.77	660.68	633.73	74.58	738.29	503.95	532.74	703.28	387.02	327.56	941.27	162.14	476.71	127.0	181.28	1286.18	1870.53	928.3	947.83
LMTK3	2.16	1819.35	41.81	90.14	103.69	51.35	85.82	89.51	228.13	87.65	72.01	100.83	48.18	69.52	119.26	10.39	141.02	111.99	113.56	145.02	123.5	104.42	107.38	146.03	74.58	107.38	111.21	85.22	27.64	6.36	74.06	65.26	13.93	54.33	49.21	46.18	60.39	29.06	46.84	69.03	22.26	52.82	15.11	14.67	37.85	176.29	244.57	80.01
LPAR5	78.34	3794.3	126.12	341.51	813.63	305.55	214.27	629.35	289.02	177.53	866.07	988.12	133.36	244.57	1594.73	28.04	669.92	802.41	684.02	723.08	647.07	769.69	547.75	607.87	854.13	521.76	612.11	688.78	130.6	20.41	162.14	384.34	83.45	414.87	129.69	368.65	346.29	303.44	47.17	128.79	100.83	99.43	128.79	144.01	981.29	674.59	1030.12	872.1
LRBA	155.5	2682.69	161.02	500.46	587.13	164.42	607.87	158.79	587.13	612.11	748.61	371.22	532.74	32.59	579.04	146.03	1001.93	802.41	1104.13	1023.0	1088.92	791.35	954.43	860.08	921.88	1015.93	995.0	713.11	258.57	379.04	198.47	454.09	197.09	1023.0	392.44	435.55	540.19	368.65	341.51	708.18	193.01	480.04	126.12	154.42	1417.35	738.29	1104.13	890.44
LRRC1	104.42	665.29	166.73	723.08	457.25	503.95	536.45	420.68	473.41	423.61	500.46	647.07	547.75	480.04	387.02	146.03	633.73	599.49	551.56	575.03	616.37	599.49	518.15	483.38	540.19	567.1	473.41	521.76	332.14	253.23	195.72	376.41	307.69	463.65	155.5	450.94	438.59	551.56	0.0	0.28	198.47	167.9	63.0	244.57	1104.13	262.2	1159.07	1051.79
MAGI3	40.64	265.87	88.26	166.73	121.79	44.89	158.79	73.03	162.14	113.56	215.77	164.42	126.12	105.15	190.34	57.49	514.56	334.46	432.53	381.68	420.68	642.59	612.11	366.09	334.46	392.44	435.55	403.5	85.82	88.26	57.49	162.14	29.91	334.46	92.05	141.02	178.77	271.48	0.0	0.23	56.68	105.89	37.59	47.84	713.11	166.73	318.57	612.11
MAML3	8.32	221.86	3.82	96.68	169.07	56.28	162.14	60.39	151.22	81.14	218.79	125.24	87.03	14.67	258.57	16.27	205.5	241.19	281.09	327.56	423.61	177.53	251.48	205.5	239.52	231.32	189.02	198.47	23.42	10.96	6.78	57.08	2.34	169.07	40.07	82.29	137.14	120.1	0.0	0.35	12.74	29.91	2.92	31.22	429.54	49.56	483.38	249.73
MAPK7	92.7	928.3	126.12	583.07	1111.82	575.03	988.12	759.08	713.11	607.87	1096.5	703.28	607.87	348.71	1304.15	381.68	738.29	934.76	616.37	769.69	669.92	743.43	866.07	890.44	961.07	808.0	743.43	1008.9	251.48	90.14	253.23	414.87	226.54	521.76	170.25	341.51	318.57	277.2	0.0	0.61	136.19	232.94	103.69	99.43	1037.29	435.55	819.3	759.08
MARCH7	1183.45	3103.19	587.13	1857.6	1745.2	1519.15	2451.44	1378.57	2485.67	2163.77	2956.17	1870.53	1977.24	2178.83	2335.28	339.14	2485.67	2209.26	3419.52	1857.6	2090.03	2609.3	2468.49	2627.46	1757.34	2796.65	3146.52	2835.7	2609.3	1407.55	764.36	1457.23	1896.65	2119.22	1331.57	1104.13	1662.49	2855.44	0.0	0.47	988.12	802.41	1119.56	961.07	2976.74	1721.16	2935.74	2875.3
MAST4	69.03	5555.65	199.85	483.38	981.29	775.05	866.07	759.08	629.35	551.56	1023.0	660.68	493.56	575.03	1340.84	107.38	1081.39	1277.29	1304.15	1225.22	1015.93	1037.29	1001.93	1081.39	1167.14	1199.98	1023.0	656.11	202.66	102.25	204.07	540.19	70.01	808.0	507.46	435.55	607.87	293.07	53.19	291.04	50.98	63.89	146.03	236.21	1359.57	1159.07	1417.35	1487.87
MECOM	57.49	403.5	37.05	141.02	148.09	12.74	229.72	90.14	164.42	97.36	125.24	166.73	159.9	22.59	182.55	60.82	656.11	866.07	842.36	967.76	860.08	723.08	728.11	480.04	674.59	902.89	1417.35	684.02	57.08	49.91	83.45	124.37	76.71	63.89	115.16	90.14	470.14	279.14	0.0	0.49	165.57	75.64	5.5	46.18	177.53	45.21	211.31	37.32
MEGF6	22.43	551.56	94.67	373.81	363.56	82.29	258.57	255.0	332.14	297.17	279.14	176.29	329.84	147.06	409.15	78.89	420.68	753.83	463.65	703.28	629.35	612.11	435.55	518.15	476.71	387.02	579.04	543.96	180.02	37.32	70.01	88.26	83.45	232.94	175.07	291.04	117.6	35.0	0.0	0.8	77.25	115.97	16.63	75.64	457.25	117.6	205.5	211.31
MON1B	232.94	129.69	269.6	463.65	567.1	503.95	392.44	490.14	384.34	400.71	444.72	514.56	441.64	423.61	423.61	251.48	536.45	665.29	460.44	753.83	536.45	540.19	529.06	536.45	633.73	688.78	454.09	473.41	217.27	129.69	194.36	358.54	314.17	361.04	226.54	303.44	426.57	236.21	320.8	140.04	229.72	236.21	155.5	140.04	314.17	264.03	262.2	127.0
MTMR3	102.97	866.07	132.44	599.49	703.28	329.84	718.08	438.59	647.07	543.96	842.36	665.29	583.07	297.17	921.88	128.79	848.22	1119.56	842.36	988.12	1286.18	995.0	1081.39	1073.91	647.07	1059.11	1143.1	967.76	204.07	132.44	127.89	412.0	110.43	575.03	358.54	356.05	490.14	358.54	0.0	0.65	128.79	177.53	101.54	127.89	669.92	412.0	521.76	336.79
MYO19	693.58	1844.76	1159.07	753.83	1340.84	808.0	1417.35	1407.55	1037.29	836.53	728.11	967.76	540.19	2303.12	1143.1	287.01	1378.57	1685.71	1322.37	1340.84	1583.71	1359.57	1674.06	1322.37	1498.22	1457.23	1127.35	1175.27	1167.14	808.0	934.76	967.76	579.04	1159.07	423.61	909.17	703.28	483.38	0.0	1.27	444.72	896.64	603.67	1001.93	1143.1	679.29	575.03	444.72
NBPF10	43.63	674.59	275.28	902.89	825.0	473.41	698.41	733.19	738.29	854.13	1191.69	728.11	555.41	769.69	967.76	204.07	941.27	1159.07	1096.5	988.12	1233.75	808.0	1104.13	967.76	780.44	974.5	974.5	738.29	163.28	141.02	228.13	420.68	94.01	595.34	131.51	336.79	231.32	199.85	0.0	0.96	69.03	119.26	25.91	318.57	703.28	215.77	358.54	780.44
NBPF16	9.56	47.5	72.52	241.19	246.28	104.42	202.66	183.82	229.72	223.41	251.48	176.29	162.14	191.67	260.38	125.24	373.81	314.17	346.29	463.65	332.14	242.88	371.22	285.03	277.2	384.34	256.78	312.0	39.22	38.12	19.53	58.3	11.3	176.29	19.25	50.27	38.4	53.19	0.0	0.95	4.46	11.3	8.51	21.01	43.63	50.27	53.95	50.63
NEBL	6.46	16727.26	4.03	409.15	928.3	12.64	1127.35	232.94	547.75	279.14	1143.1	483.38	567.1	21.32	995.0	10.79	884.29	819.3	1159.07	981.29	896.64	791.35	1073.91	890.44	974.5	1225.22	785.88	802.41	170.25	116.78	9.34	275.28	80.57	1081.39	316.37	334.46	595.34	1127.35	0.0	0.52	169.07	215.77	43.94	146.03	2758.13	460.44	1331.57	1721.16
NFAT5	43.32	249.73	29.7	248.0	231.32	163.28	432.53	195.72	305.55	249.73	234.57	170.25	260.38	224.97	260.38	27.64	256.78	356.05	361.04	253.23	309.83	253.23	248.0	307.69	297.17	376.41	291.04	368.65	42.71	29.06	29.7	96.01	44.57	212.78	118.43	68.07	96.01	54.72	0.0	0.48	17.51	39.22	8.78	35.5	154.42	81.14	105.89	50.63
NIN	180.02	237.86	242.88	178.77	231.32	214.27	287.01	167.9	248.0	206.94	186.4	186.4	214.27	202.66	241.19	53.19	312.0	269.6	612.11	603.67	329.84	438.59	432.53	316.37	435.55	674.59	532.74	231.32	165.57	127.89	182.55	244.57	102.25	316.37	152.28	195.72	249.73	136.19	0.0	0.58	74.58	119.26	115.97	866.07	334.46	215.77	334.46	279.14
NIPAL3	291.04	1159.07	264.03	214.27	412.0	76.71	248.0	127.0	316.37	291.04	444.72	291.04	209.84	249.73	432.53	123.5	575.03	476.71	575.03	563.18	470.14	438.59	444.72	575.03	379.04	808.0	607.87	476.71	242.88	156.59	325.29	500.46	285.03	480.04	231.32	301.33	358.54	450.94	256.78	507.46	122.64	149.12	148.09	193.01	583.07	373.81	769.69	660.68
NPEPPS	866.07	3928.15	486.75	6207.38	7081.29	2485.67	6699.25	2875.3	7130.55	5555.65	11504.21	5441.3	4836.35	2434.5	11035.54	791.35	4671.57	7230.1	7433.4	3901.01	6792.79	4769.75	5403.7	4836.35	4239.45	5872.48	3901.01	4328.55	1594.73	656.11	309.83	1794.29	563.18	3372.43	1896.65	1551.09	2417.67	2451.44	0.0	0.73	1104.13	1870.53	444.72	878.17	4903.87	2047.0	5292.48	3280.18
OSBPL2	215.77	1745.2	178.77	967.76	860.08	483.38	967.76	738.29	733.19	612.11	909.17	981.29	813.63	361.04	1059.11	301.33	1051.79	1151.06	1340.84	1111.82	1191.69	1088.92	1208.34	1088.92	1030.12	1250.98	1044.52	1066.48	295.11	165.57	289.02	571.05	256.78	896.64	521.76	551.56	656.11	674.59	0.0	0.77	217.27	267.73	224.97	236.21	860.08	674.59	1015.93	1359.57
PAQR5	76.71	507.46	32.13	36.27	273.37	187.71	199.85	178.77	161.02	68.07	420.68	140.04	21.16	72.52	423.61	11.21	507.46	387.02	454.09	438.59	454.09	575.03	457.25	447.82	620.67	579.04	503.95	665.29	85.82	271.48	71.0	161.02	70.01	275.28	368.65	177.53	185.11	325.29	58.3	59.13	90.77	127.89	65.26	61.25	4450.27	555.41	1519.15	2119.22
PASK	62.12	206.94	79.45	234.57	87.65	55.89	258.57	127.0	126.12	295.11	115.97	177.53	130.6	121.79	183.82	37.32	291.04	307.69	234.57	232.94	283.05	189.02	285.03	176.29	239.52	248.0	217.27	147.06	57.49	39.5	37.05	66.18	18.16	159.9	20.11	70.01	100.13	26.86	0.0	0.71	47.17	67.59	22.1	72.01	72.52	43.02	28.24	24.46
PCLO	8.25	397.93	0.35	42.71	31.67	2.14	6.16	21.32	100.13	19.25	40.64	33.3	34.51	33.54	38.12	2.14	154.42	90.77	221.86	133.36	136.19	69.03	141.02	75.11	155.5	136.19	108.14	53.19	17.38	1.28	29.7	7.28	18.43	41.22	18.43	4.31	27.64	16.39	0.0	0.09	3.2	13.32	0.41	10.31	17.0	3.23	4.78	20.86
PDPK1	190.34	356.05	141.02	438.59	403.5	291.04	389.72	285.03	435.55	392.44	400.71	371.22	287.01	273.37	486.75	121.79	476.71	607.87	587.13	529.06	543.96	483.38	490.14	476.71	587.13	764.36	406.31	547.75	92.05	115.97	180.02	239.52	170.25	514.56	281.09	255.0	325.29	158.79	0.0	0.47	92.05	249.73	92.05	105.89	264.03	166.73	423.61	314.17
PDXDC1	480.04	406.31	493.56	1127.35	988.12	660.68	1143.1	842.36	884.29	896.64	872.1	988.12	1191.69	660.68	1096.5	583.07	1844.76	1151.06	1304.15	1498.22	2224.63	1870.53	2193.99	1617.0	1697.45	1733.13	1073.91	1259.69	332.14	460.44	813.63	808.0	466.88	1051.79	836.53	540.19	934.76	785.88	0.0	1.1	813.63	995.0	412.0	555.41	629.35	693.58	514.56	543.96
PIK3C2B	30.78	301.33	23.42	343.89	341.51	42.41	348.71	183.82	226.54	123.5	309.83	305.55	215.77	36.79	480.04	60.82	466.88	571.05	387.02	669.92	490.14	409.15	525.39	307.69	493.56	638.15	486.75	555.41	40.07	16.03	15.22	102.97	18.03	275.28	102.25	151.22	339.14	187.71	101.54	103.69	29.48	44.25	8.51	38.4	872.1	159.9	432.53	198.47
PITPNM2	60.82	53.19	34.51	148.09	215.77	156.59	185.11	204.07	186.4	186.4	166.73	176.29	85.82	154.42	202.66	142.01	221.86	303.44	221.86	301.33	236.21	218.79	232.94	195.72	170.25	191.67	142.01	156.59	52.08	61.25	67.12	86.43	34.51	69.52	98.04	104.42	88.26	46.84	0.0	0.51	94.67	75.11	52.82	64.8	154.42	111.21	80.57	74.06
PKN2	325.29	785.88	217.27	559.28	493.56	303.44	830.75	316.37	698.41	599.49	703.28	540.19	507.46	454.09	497.0	124.37	665.29	791.35	934.76	633.73	836.53	902.89	872.1	872.1	669.92	941.27	1233.75	713.11	381.68	490.14	177.53	312.0	190.34	529.06	220.32	242.88	395.18	403.5	341.51	181.28	185.11	186.4	178.77	309.83	397.93	309.83	363.56	457.25
PLAGL1	155.5	141.02	20.11	521.76	599.49	67.59	521.76	397.93	514.56	426.57	642.59	473.41	426.57	114.36	836.53	79.45	860.08	684.02	642.59	764.36	866.07	769.69	713.11	665.29	599.49	551.56	698.41	507.46	169.07	224.97	93.35	176.29	17.38	457.25	275.28	194.36	256.78	329.84	201.25	150.17	185.11	59.13	24.46	466.88	1030.12	241.19	237.86	63.89
PLEKHA7	3.72	1721.16	35.0	1015.93	1322.37	97.36	693.58	444.72	698.41	698.41	1407.55	1313.23	988.12	185.11	1721.16	70.51	1977.24	2075.59	1857.6	2664.15	2855.44	1605.83	2224.63	1721.16	1697.45	1487.87	1540.37	1519.15	320.8	29.7	70.01	607.87	44.89	902.89	256.78	323.03	866.07	665.29	0.0	0.55	197.09	180.02	32.82	33.3	1605.83	262.2	2935.74	379.04
PP13439	0.0	3.86	0.87	16.63	11.21	1.04	34.02	3.2	18.43	6.67	19.97	10.63	5.15	7.63	21.16	0.0	26.28	32.82	24.81	21.63	28.65	26.67	22.59	14.67	10.24	19.97	12.18	34.26	4.46	1.95	0.82	3.38	1.19	13.42	1.77	3.76	2.94	4.39	0.0	0.23	4.13	0.61	0.6	2.39	7.4	1.45	7.28	8.99
PPAPDC2	99.43	312.0	66.65	190.34	123.5	113.56	101.54	88.26	125.24	78.34	120.1	104.42	198.47	94.67	103.69	96.68	206.94	215.77	239.52	181.28	199.85	175.07	194.36	142.01	224.97	191.67	181.28	224.97	91.41	52.45	121.79	159.9	92.7	187.71	61.68	145.02	142.01	149.12	0.0	0.25	81.14	90.77	114.36	56.28	148.09	83.45	189.02	158.79
PPIL2	221.86	808.0	547.75	656.11	1127.35	743.43	890.44	775.05	872.1	599.49	915.51	1151.06	836.53	579.04	981.29	406.31	1081.39	1191.69	1073.91	1286.18	1923.14	909.17	1304.15	1008.9	896.64	1259.69	830.75	981.29	379.04	231.32	543.96	713.11	195.72	780.44	414.87	743.43	633.73	371.22	0.0	0.77	165.57	376.41	211.31	409.15	866.07	305.55	1015.93	444.72
PPP1R13B	103.69	1388.16	181.28	587.13	607.87	172.65	525.39	497.0	620.67	500.46	703.28	728.11	392.44	273.37	669.92	242.88	961.07	974.5	842.36	1015.93	1008.9	656.11	909.17	928.3	733.19	808.0	785.88	1044.52	142.01	91.41	161.02	305.55	171.45	551.56	194.36	336.79	392.44	400.71	0.0	0.72	102.97	228.13	60.82	141.02	414.87	356.05	718.08	417.77
PPT2	351.14	217.27	397.93	551.56	603.67	307.69	679.29	723.08	514.56	511.0	698.41	525.39	432.53	246.28	1199.98	403.5	466.88	830.75	624.99	733.19	454.09	708.18	1037.29	1151.06	764.36	1151.06	785.88	1369.04	312.0	289.02	444.72	567.1	368.65	579.04	633.73	316.37	429.54	460.44	0.0	0.79	127.0	125.24	128.79	255.0	1051.79	819.3	595.34	753.83
PSD4	73.03	1909.85	186.4	358.54	400.71	226.54	197.09	532.74	201.25	237.86	406.31	395.18	435.55	289.02	559.28	56.28	688.78	902.89	759.08	902.89	872.1	733.19	733.19	698.41	780.44	591.22	674.59	921.88	299.25	194.36	271.48	507.46	262.2	579.04	224.97	638.15	642.59	332.14	246.28	108.9	236.21	361.04	232.94	277.2	476.71	348.71	518.15	320.8
