	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.60.2715.01A.01R.0851.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.EL.A3GR.01A.21R.A206.07	TCGA.DO.A1JZ.01A.11R.A13Y.07	TCGA.CE.A485.01A.11R.A23W.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.J8.A3O2.01A.11R.A23N.07	TCGA.J8.A3O0.01A.11R.A21D.07	TCGA.DJ.A3V9.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A3ZS.01A.12R.A23N.07	TCGA.H2.A3RH.01A.11R.A220.07	TCGA.FY.A4B3.01A.11R.A23W.07	TCGA.EL.A3CL.01A.11R.A19O.07	TCGA.DJ.A4UQ.01A.11R.A250.07	TCGA.ET.A3BV.01A.11R.A19O.07	TCGA.FY.A3I4.01A.11R.A21D.07	TCGA.A5.A1OH.01A.21R.A22K.07
FOXP1	119.26	202.66	129.69	193.01	128.79	161.02	239.52	172.65	148.09	206.94	148.09	172.65	111.21	90.77	139.07	185.11	197.09	255.0	348.71	156.59	202.66	221.86	497.0	395.18	150.17	180.02	163.28	167.9	1628.26	521.76	1066.48	1350.18	591.22	1135.2	423.61	503.95	836.53	339.14	409.15	251.48	285.03	395.18	339.14	320.8	420.68	366.09	435.55	500.46	563.18	206.94
GBX2	0.0	0.0	3.92	0.0	0.0	0.0	14.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	6.11	29.27	1.89	19.68	112.77	2.94	0.89	0.91	2.92	1.53	4.17	9.93	4.17	3.44	21.16	52.82	5.06	0.57	6.67	37.32	8.51
GFAP	13.22	47.84	146.03	44.25	29.06	5.54	17.9	0.92	39.22	14.89	22.26	0.14	14.24	11.47	48.18	4.13	33.78	5.73	13.83	165.57	15.91	10.08	0.0	5.28	1.2	3.23	3.29	0.0	0.58	6.89	11.47	37.59	43.02	571.05	48.52	75.11	41.52	62.56	92.7	47.5	52.82	28.45	12.27	71.0	32.36	9.85	66.18	21.78	58.3	23.59
GGN	3.06	4.58	0.67	0.34	3.17	0.27	2.51	1.16	0.0	0.84	7.22	2.51	0.6	7.28	0.0	0.0	0.0	0.0	0.0	3.23	0.29	6.26	2.2	0.29	0.26	1.91	1.08	0.0	0.23	17.64	22.59	14.67	48.18	139.07	51.71	73.03	62.56	73.03	90.77	77.79	58.71	65.72	77.25	78.34	59.55	76.17	120.94	80.57	88.88	26.86
GJA4	237.86	351.14	116.78	500.46	249.73	255.0	265.87	183.82	169.07	395.18	279.14	291.04	353.59	244.57	703.28	559.28	575.03	351.14	215.77	255.0	387.02	101.54	267.73	334.46	204.07	423.61	163.28	0.0	0.48	647.07	392.44	791.35	2976.74	9808.75	2555.58	7589.61	3589.58	4802.93	5791.62	4239.45	4298.64	2367.9	1388.16	7280.4	1259.69	7180.15	1697.45	769.69	2434.5	1427.22
GRIK2	0.0	2.23	0.79	0.84	1.99	0.0	5.73	0.64	2.34	0.25	0.74	0.0	0.0	0.0	27.05	0.61	1.08	0.0	0.33	0.83	1.66	0.26	0.0	1.2	0.67	0.0	0.0	0.0	0.18	1.71	52.82	17.25	64.8	258.57	18.43	121.79	58.3	107.38	80.57	29.06	38.12	11.73	52.08	47.5	47.84	52.82	46.84	26.86	74.58	20.41
GSDMA	1.83	2.81	5.87	0.0	1.73	0.0	3.89	8.99	8.38	3.32	0.97	0.0	5.45	8.92	21.32	1.64	5.28	0.0	5.73	7.11	8.85	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.36	2.32	8.38	32.13	88.88	36.27	55.49	78.89	7.94	6.78	49.56	75.11	34.75	21.01	21.16	57.89	53.57	22.43	13.03	86.43	1.35
GSTP1	1233.75	4181.07	406.31	1295.13	1407.55	599.49	3395.89	769.69	1477.58	6699.25	444.72	1037.29	4181.07	878.17	1359.57	703.28	1304.15	679.29	283.05	1127.35	860.08	351.14	343.89	3060.45	2240.11	1733.13	500.46	0.0	1.28	36357.37	23169.48	19482.97	25179.16	37901.36	17804.06	33455.53	25887.07	24490.61	48982.22	24321.43	30151.71	20310.37	23656.34	36610.26	34635.37	26431.04	24660.96	38430.46	40904.3	25354.3
GTF3C1	348.71	669.92	305.55	447.82	642.59	316.37	612.11	1096.5	480.04	733.19	555.41	551.56	493.56	529.06	551.56	703.28	470.14	813.63	579.04	583.07	348.71	616.37	420.68	738.29	791.35	693.58	551.56	0.0	0.8	1437.15	1378.57	890.44	1250.98	3716.2	1427.22	1628.26	1104.13	1175.27	2956.17	1427.22	2104.58	1794.29	1697.45	2935.74	1151.06	2271.4	1437.15	1498.22	2417.67	1378.57
HECW1	0.93	3.08	0.96	0.0	1.79	0.89	0.99	0.0	21.16	0.0	0.0	2.03	3.99	0.0	1.06	0.0	0.88	0.0	0.95	5.73	0.0	0.0	0.0	2.97	0.0	7.75	0.0	0.0	0.13	15.8	49.21	31.45	6.21	169.07	4.17	3.59	3.69	6.94	3.92	6.89	4.03	1.6	5.77	0.24	1.57	0.52	5.92	4.54	15.56	18.97
HOMER3	143.01	162.14	75.11	145.02	165.57	122.64	529.06	53.19	343.89	540.19	61.25	159.9	194.36	68.07	182.55	297.17	130.6	25.54	96.01	248.0	81.14	39.79	54.72	94.01	191.67	127.89	107.38	3235.01	693.58	1259.69	476.71	559.28	825.0	3982.99	1397.83	1819.35	967.76	1757.34	1794.29	1417.35	1286.18	1175.27	1167.14	1467.37	1417.35	1286.18	1216.75	1685.71	1844.76	2645.74
HP	9635979.21	1.307221145E7	1.202888747E7	3.671840259E7	1.219680449E7	3049200.37	1.654623811E7	8744835.62	3.174442598E7	1.410789979E7	1.533154663E7	1.785716745E7	1.430483875E7	1.598261246E7	3.066309426E7	4495342.72	1.501602794E7	1.169995688E7	1.325469274E7	8159220.07	1.512047268E7	9307742.35	2.614442391E7	9179599.9	1.381756339E7	1.025624901E7	9838451.64	0.0	0.21	2451.44	20.71	490.14	314.17	56.68	150.17	62.56	49.56	155.5	57.89	64.8	35.25	38.4	108.9	55.89	29.27	0.0	371.22	117.6	153.34	41.52
HPDL	3.32	2.12	1.55	1.6	0.84	3.72	2.86	1.77	0.0	0.0	6.73	2.2	1.39	0.42	5.45	3.96	4.86	0.0	0.0	0.0	7.46	0.0	0.0	1.46	0.83	0.0	1.17	0.0	0.39	120.94	94.01	11.13	15.22	132.44	9.13	12.09	9.2	8.58	13.12	18.56	21.94	15.11	8.25	15.45	5.96	10.79	5.77	12.55	16.27	181.28
HR	5.28	26.86	11.21	3.03	6.94	2.66	7.88	6.57	15.0	3.99	9.63	10.71	63.89	5.59	22.26	0.43	3.82	8.71	0.0	12.36	41.22	2.48	2.73	8.51	5.15	5.68	11.47	0.0	0.62	285.03	133.36	120.1	183.82	256.78	94.67	73.54	249.73	100.13	185.11	150.17	109.66	66.18	115.97	223.41	99.43	265.87	90.77	229.72	209.84	110.43
HRCT1	9.78	136.19	44.89	4.39	23.93	7.11	53.95	0.0	47.5	22.75	72.01	15.45	165.57	35.25	57.49	50.27	117.6	57.89	8.99	74.58	41.81	16.63	12.36	81.14	21.16	24.46	15.45	0.0	0.06	52.82	88.26	63.0	70.51	361.04	149.12	698.41	131.51	169.07	54.72	111.21	21.78	93.35	323.03	96.01	43.02	53.57	218.79	171.45	295.11	66.18
HS3ST4	0.0	0.0	0.0	13.42	3.2	0.0	1.22	5.96	20.86	0.0	0.0	54.33	0.0	1.13	1.36	0.0	0.0	0.0	0.0	1.22	0.0	0.0	0.0	0.0	1.0	0.0	0.88	0.0	0.0	0.42	104.42	9.56	0.83	57.08	0.46	1.79	3.79	5.28	1.5	4.31	12.64	0.46	1.14	3.47	1.75	1.75	3.66	0.51	7.75	33.78
HYAL4	0.0	0.0	0.0	0.44	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.83	0.0	3.17	0.0	0.43	0.0	0.0	1.04	0.0	1.39	0.0	3.76	0.0	0.02	0.74	1.38	6.94	0.0	7.94	0.0	0.49	0.0	1.99	1.48	3.0	0.49	0.49	0.97	0.47	0.48	0.48	2.46	0.0	0.0	0.0
IGF2BP2	5.59	297.17	10.08	16.27	46.18	4.24	27.44	9.2	12.74	64.34	11.47	40.07	135.24	12.27	22.59	13.52	23.25	21.78	11.82	22.59	6.26	1.55	7.75	23.25	16.51	6.57	4.66	0.0	1.06	1111.82	2384.37	392.44	769.69	961.07	698.41	848.22	796.86	679.29	665.29	854.13	769.69	780.44	563.18	656.11	921.88	921.88	733.19	813.63	616.37	2417.67
IGFBP5	111.99	2148.82	759.08	1519.15	753.83	73.54	1295.13	397.93	503.95	567.1	293.07	941.27	2384.37	493.56	1066.48	271.48	1167.14	1151.06	403.5	343.89	647.07	53.19	1143.1	1104.13	336.79	2417.67	412.0	808.0	890.44	2855.44	4481.23	12244.81	23169.48	69271.73	22072.07	33688.23	29531.18	20310.37	3742.05	28132.47	41763.8	19348.38	20310.37	1950.0	17927.91	18052.61	27363.16	6745.86	18304.63	3847.29
IL34	39.79	48.18	31.67	14.03	40.07	30.12	78.34	10.24	30.78	60.39	13.83	88.26	48.52	40.64	62.56	33.06	18.7	38.12	13.52	60.82	4.06	26.28	14.35	10.16	95.34	22.92	25.35	0.0	0.14	148.09	117.6	96.68	111.99	559.28	229.72	395.18	82.87	406.31	316.37	178.77	147.06	234.57	178.77	514.56	42.11	162.14	211.31	289.02	138.1	67.59
INPP5D	165.57	205.5	59.13	89.51	239.52	134.3	244.57	73.54	208.38	167.9	96.68	214.27	115.16	66.18	163.28	49.56	132.44	81.71	100.13	248.0	83.45	86.43	171.45	177.53	214.27	80.57	59.55	0.0	0.69	629.35	283.05	753.83	579.04	1806.78	395.18	351.14	483.38	389.72	432.53	567.1	176.29	470.14	854.13	967.76	813.63	684.02	361.04	1167.14	688.78	71.0
IPO5	441.64	753.83	1143.1	988.12	1066.48	1037.29	1216.75	529.06	819.3	521.76	728.11	493.56	947.83	708.18	728.11	796.86	825.0	414.87	1313.23	587.13	775.05	379.04	371.22	748.61	432.53	954.43	909.17	0.0	0.74	954.43	1781.89	1551.09	1111.82	3168.41	921.88	1561.89	1199.98	954.43	1088.92	1233.75	1015.93	842.36	764.36	791.35	1008.9	1066.48	902.89	1167.14	1044.52	2816.11
IQCA1	0.61	3.76	4.46	1.25	6.73	0.57	3.17	0.06	3.2	27.44	1.14	0.0	14.03	0.1	3.47	0.49	1.57	9.41	0.0	12.0	1.71	2.66	0.14	2.32	2.73	15.68	2.46	0.0	0.14	58.3	31.9	34.51	743.43	1628.26	791.35	954.43	878.17	928.3	785.88	954.43	738.29	1037.29	860.08	1030.12	575.03	848.22	571.05	595.34	642.59	153.34
IZUMO1	0.0	0.6	0.6	0.93	0.54	0.55	2.32	0.0	0.33	0.49	5.15	0.0	0.0	3.47	3.92	1.23	0.53	1.38	1.41	0.92	0.29	2.71	0.02	3.23	1.3	3.82	0.46	0.0	0.68	34.26	7.34	7.75	1.55	23.08	13.42	15.11	3.47	3.44	4.1	7.69	3.96	25.91	5.92	4.43	3.96	6.36	6.46	5.77	3.56	9.56
IZUMO2	2.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	11.13	53.19	0.0	60.82	5.68	0.0	0.0	8.25	0.0	1.66	30.78	4.03	4.31	6.21	3.17	7.69	1.39	6.84	2.34	20.71
KAZN	26.28	74.06	58.3	29.91	125.24	15.22	113.56	58.3	165.57	47.84	25.54	110.43	53.95	76.17	66.65	32.13	84.63	76.71	47.17	86.43	21.32	29.91	12.93	43.63	92.7	44.57	96.01	0.0	0.67	231.32	262.2	177.53	414.87	1757.34	314.17	743.43	384.34	318.57	703.28	299.25	981.29	255.0	305.55	718.08	403.5	450.94	242.88	264.03	447.82	476.71
KCNG3	0.0	0.0	0.0	1.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.28	13.62	3.59	5.23	3.66	0.34	0.62	0.0	0.34	0.34	0.91	0.33	0.33	5.54	0.31	0.89	0.61	1.99	0.37	0.66	6.57
KCNH3	0.0	7.63	6.73	1.48	5.59	0.67	8.06	3.69	17.64	2.43	0.0	11.73	9.78	1.81	21.78	0.0	0.22	0.32	0.0	7.0	11.55	0.0	0.09	8.19	3.96	5.77	1.2	0.0	0.13	19.53	134.3	7.46	23.42	470.14	35.76	147.06	42.71	60.39	139.07	38.12	368.65	59.55	44.89	154.42	20.11	30.78	99.43	38.95	49.91	255.0
KIF3C	8.71	22.59	12.09	21.16	14.56	25.54	53.95	10.88	122.64	29.27	6.78	33.78	56.68	6.84	114.36	5.73	13.32	14.35	24.63	22.26	5.11	5.96	3.35	32.36	16.39	19.39	16.51	0.0	0.34	182.55	181.28	242.88	88.26	323.03	88.26	98.04	82.29	173.85	88.26	86.43	80.01	157.68	147.06	53.95	59.97	283.05	82.87	142.01	120.94	122.64
KLHDC8A	2.51	0.0	2.12	3.2	0.26	0.0	11.91	3.96	7.69	0.58	0.0	1.22	0.27	0.0	0.0	0.0	6.57	0.0	0.0	1.69	0.0	0.99	0.0	1.13	0.25	11.13	8.78	0.0	0.05	96.68	34.26	32.59	708.18	2417.67	884.29	1233.75	836.53	559.28	540.19	1023.0	1628.26	1119.56	536.45	1407.55	1331.57	551.56	872.1	384.34	703.28	72.01
KLK10	28.24	20.11	0.62	5.5	15.56	0.0	0.07	3.2	11.38	6.16	1.97	3.17	8.19	10.31	9.2	8.32	6.52	3.72	0.58	2.2	435.55	3.26	11.82	0.56	1.73	16.03	0.33	0.0	0.28	414.87	14.56	10.96	902.89	11504.21	1037.29	8901.53	2193.99	3168.41	1030.12	2956.17	6935.54	1583.71	1135.2	1769.57	2047.0	2485.67	1477.58	974.5	1331.57	579.04
KLK12	1.66	2.86	0.0	0.0	0.85	0.0	0.0	1.5	1.5	0.82	0.0	0.0	0.88	1.66	0.0	1.48	1.77	0.89	0.0	0.69	0.0	1.06	0.0	0.0	0.0	0.87	0.0	0.0	0.09	82.87	8.99	2.14	3.79	743.43	22.75	438.59	15.45	65.72	58.71	30.78	728.11	139.07	9.2	248.0	9.27	66.18	22.75	10.08	4.62	2.43
KLK13	7.4	4.06	0.0	2.63	0.0	0.0	0.58	0.58	1.13	5.15	0.0	0.0	8.38	2.39	0.15	0.0	3.86	0.01	2.71	0.0	0.0	13.42	0.11	0.03	2.14	6.94	2.63	0.0	0.01	181.28	8.0	3.5	36.53	273.37	58.3	339.14	137.14	105.15	65.72	88.26	205.5	115.97	76.17	77.25	90.77	194.36	78.34	84.63	39.5	172.65
KLK14	1.69	0.47	0.11	0.0	1.89	0.0	0.0	3.38	1.27	2.89	0.79	2.92	0.58	0.0	2.78	1.91	2.03	1.13	1.53	1.25	1.14	4.06	0.0	0.09	0.0	0.0	1.22	0.0	0.21	9.34	5.02	4.35	1.79	56.28	7.22	9.27	3.44	5.02	2.32	11.38	10.71	10.88	11.91	28.86	3.32	11.64	4.43	4.9	5.28	10.79
MICAL1	44.25	258.57	36.79	65.72	65.72	34.75	165.57	89.51	33.3	202.66	81.71	66.18	109.66	63.45	94.67	19.82	67.59	59.55	23.08	45.85	36.27	24.28	37.85	149.12	82.87	120.94	24.63	0.0	1.14	718.08	1030.12	540.19	432.53	1233.75	728.11	417.77	507.46	571.05	551.56	518.15	470.14	638.15	896.64	301.33	688.78	376.41	406.31	703.28	595.34	242.88
MMP17	3.99	37.32	5.06	10.16	8.06	1.45	12.36	2.63	6.26	13.62	16.39	4.39	18.84	3.2	11.3	4.58	1.73	18.7	1.62	6.16	5.28	0.77	21.32	12.83	6.67	17.51	11.64	0.0	0.89	232.94	191.67	82.87	11.38	551.56	75.11	27.84	165.57	95.34	55.1	43.02	43.02	33.78	176.29	14.35	194.36	262.2	57.89	111.21	195.72	351.14
MN1	3.06	8.38	2.61	14.03	35.0	0.13	18.43	4.13	11.82	15.11	1.41	7.06	8.32	1.93	8.0	0.04	4.39	3.53	19.39	8.78	2.41	3.06	12.27	0.55	7.88	5.28	18.7	0.0	0.54	161.02	214.27	279.14	73.03	260.38	149.12	31.45	47.17	18.7	56.68	20.71	38.12	39.5	28.24	87.03	29.06	25.35	26.67	332.14	87.03	209.84
MRC2	64.8	176.29	102.25	58.3	146.03	20.26	281.09	55.49	142.01	126.12	44.25	123.5	291.04	24.99	119.26	18.03	44.89	38.67	28.04	248.0	19.39	51.35	17.38	92.7	88.26	115.16	85.22	0.0	0.71	2163.77	1023.0	728.11	3124.78	5076.84	2032.85	4152.18	2997.45	2148.82	3325.99	2417.67	2758.13	2537.92	2163.77	2701.35	3146.52	3564.78	2555.58	4066.71	3982.99	1639.59
MTNR1B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.6	0.0	0.0	0.0	0.66	0.0	1.97	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.39	0.0	0.0	3.38	0.0	0.34
MYL10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51	0.0	2.94	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.34	4.98
NARF	995.0	738.29	346.29	603.67	500.46	543.96	665.29	1015.93	417.77	1561.89	595.34	759.08	579.04	603.67	480.04	1757.34	511.0	1143.1	591.22	341.51	529.06	995.0	486.75	848.22	796.86	733.19	438.59	0.0	0.85	2468.49	1594.73	995.0	1191.69	1857.6	1167.14	1709.26	1044.52	1477.58	1295.13	1378.57	1388.16	1304.15	1151.06	1127.35	2209.26	1540.37	1023.0	1437.15	1340.84	2451.44
NBPF1	256.78	157.68	186.4	353.59	194.36	206.94	271.48	320.8	309.83	193.01	175.07	334.46	229.72	231.32	346.29	185.11	127.89	90.14	353.59	171.45	147.06	112.77	43.02	98.04	195.72	444.72	400.71	0.0	0.17	397.93	693.58	480.04	543.96	1151.06	403.5	543.96	612.11	536.45	698.41	693.58	327.56	457.25	279.14	503.95	361.04	486.75	441.64	429.54	376.41	490.14
NEGR1	3.11	4.5	9.78	2.1	9.48	0.79	23.08	2.16	0.42	0.28	1.36	11.82	3.53	3.11	2.97	0.69	0.75	3.03	0.38	8.45	0.84	4.46	4.86	0.0	1.73	2.92	4.13	0.0	0.27	77.79	104.42	429.54	27.84	1135.2	17.25	17.0	16.27	38.67	39.5	17.25	40.93	17.64	34.02	9.56	13.52	16.63	43.32	158.79	60.82	17.51
NLRP1	51.35	171.45	29.91	64.8	82.87	20.56	138.1	55.89	59.55	87.65	52.08	46.5	94.01	24.11	127.0	53.19	69.03	44.89	40.07	92.7	74.58	22.43	59.13	104.42	115.97	82.87	38.67	0.0	0.95	698.41	287.01	395.18	305.55	1963.57	1135.2	1397.83	708.18	842.36	884.29	1151.06	961.07	1167.14	1008.9	1407.55	693.58	1857.6	1540.37	665.29	830.75	1208.34
NODAL	0.0	0.77	0.0	4.66	1.64	0.0	0.8	0.0	0.0	0.34	0.0	1.51	2.63	1.43	2.01	1.83	0.68	0.0	1.08	1.51	0.0	0.66	1.19	0.0	0.36	0.0	2.05	0.0	0.22	3.72	164.42	12.55	8.92	127.89	4.13	1.64	2.16	2.63	4.66	0.0	2.56	3.56	2.61	7.11	6.41	4.43	0.0	6.21	5.36	12.83
NPAS1	3.59	29.06	2.56	2.03	3.38	4.98	4.86	0.0	0.0	49.91	1.91	4.31	52.45	0.0	4.62	10.24	2.34	2.43	1.93	8.19	0.0	0.74	1.45	14.45	3.86	6.01	1.69	0.0	0.13	50.98	12.09	7.82	65.72	158.79	25.91	124.37	37.32	63.45	55.89	102.25	79.45	42.11	39.22	140.04	69.03	96.01	26.1	29.91	109.66	150.17
NR2F1	239.52	351.14	215.77	334.46	293.07	205.5	616.37	107.38	547.75	281.09	226.54	134.3	287.01	209.84	665.29	457.25	244.57	202.66	180.02	555.41	132.44	54.33	55.89	346.29	450.94	454.09	318.57	0.0	0.83	521.76	543.96	1304.15	447.82	1066.48	902.89	305.55	497.0	246.28	113.56	209.84	234.57	336.79	379.04	165.57	346.29	248.0	473.41	466.88	583.07	674.59
NTRK3	6.67	29.91	3.99	15.45	3.99	2.25	18.56	7.75	6.06	11.55	5.28	6.01	31.22	8.0	36.53	3.26	8.06	21.01	16.88	13.62	4.78	3.82	7.63	19.82	9.93	17.38	1.53	0.0	0.53	29.27	14.35	38.4	248.0	1745.2	432.53	967.76	164.42	98.04	123.5	221.86	94.01	201.25	111.99	547.75	82.29	22.75	239.52	158.79	54.33	145.02
NUDT3	109.66	119.26	83.45	108.9	80.57	169.07	142.01	67.59	127.89	131.51	118.43	152.28	73.54	62.56	77.79	82.87	110.43	135.24	85.82	117.6	155.5	90.77	61.68	48.87	100.83	111.99	111.99	149.12	180.02	309.83	201.25	301.33	376.41	583.07	295.11	381.68	287.01	353.59	629.35	260.38	301.33	376.41	249.73	279.14	220.32	320.8	395.18	195.72	271.48	389.72
OBP2B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	1.19	4.82	2.39	1.39	2163.77	3.96	147.06	8.71	6.01	24.46	7.94	8.92	29.27	5.11	99.43	3.82	255.0	1.68	6.57	0.0	7.06
ODC1	1023.0	1709.26	981.29	1721.16	665.29	1088.92	457.25	830.75	532.74	2133.97	2351.53	713.11	1304.15	813.63	1096.5	1617.0	1950.0	1519.15	848.22	679.29	2997.45	1037.29	981.29	921.88	417.77	1268.46	379.04	0.0	0.59	2777.33	6887.62	1044.52	2895.31	13776.25	1857.6	4769.75	1487.87	1769.57	1651.0	3395.89	5183.54	2104.58	1936.53	2502.97	1909.85	4181.07	1350.18	1066.48	1519.15	4543.8
OPCML	0.0	2.12	3.41	0.0	1.93	3.14	1.01	0.0	0.0	0.87	2.03	1.01	0.92	0.0	7.22	0.0	0.0	0.0	3.32	2.16	0.0	0.88	0.0	0.0	0.0	0.0	1.73	0.0	0.04	8.0	11.82	7.06	15.91	205.5	53.19	16.63	6.84	35.5	52.08	33.78	10.71	24.81	17.64	6.36	45.53	7.28	63.0	163.28	5.06	117.6
PCBP4	144.01	186.4	111.21	126.12	166.73	66.65	248.0	186.4	114.36	217.27	125.24	187.71	258.57	195.72	157.68	145.02	154.42	124.37	132.44	138.1	112.77	147.06	98.04	167.9	201.25	201.25	108.9	0.0	0.69	529.06	796.86	780.44	642.59	1388.16	1059.11	656.11	842.36	728.11	1183.45	1023.0	738.29	1242.34	967.76	1350.18	1242.34	909.17	1051.79	1051.79	1081.39	1191.69
PCSK1N	0.0	595.34	26.67	21.47	47.5	0.0	1.57	0.0	0.77	12.36	2.23	2.05	0.87	2.27	7.22	0.99	0.46	0.93	18.29	256.78	16.75	1.43	1.23	110.43	0.18	1.62	3.72	0.0	0.39	89.51	2997.45	860.08	2061.24	4575.41	2133.97	967.76	703.28	2537.92	3928.15	2148.82	896.64	454.09	2032.85	2537.92	1477.58	1572.76	1896.65	1936.53	4802.93	371.22
PCSK5	6.46	28.45	30.56	22.26	11.13	7.51	28.86	13.83	14.67	21.47	40.36	25.35	27.44	17.51	17.77	4.46	17.77	13.12	4.98	25.35	9.06	14.03	5.11	22.59	18.43	20.56	14.56	0.0	0.49	147.06	119.26	59.55	224.97	1015.93	358.54	185.11	150.17	90.14	215.77	161.02	624.99	253.23	127.89	507.46	134.3	197.09	102.25	145.02	169.07	108.14
PDGFRL	38.12	134.3	80.57	46.18	26.67	40.07	92.7	64.8	4.9	193.01	26.1	88.26	47.5	35.76	45.21	215.77	22.59	521.76	3.17	57.08	2.01	128.79	211.31	63.89	87.65	47.84	28.24	0.0	0.13	551.56	131.51	480.04	713.11	2287.2	902.89	1407.55	764.36	1242.34	1051.79	1111.82	1498.22	995.0	967.76	1437.15	791.35	612.11	1001.93	1259.69	890.44	301.33
PIP5K1C	87.03	118.43	38.4	95.34	133.36	49.56	124.37	94.01	96.68	137.14	81.71	109.66	142.01	87.65	110.43	124.37	109.66	70.01	83.45	104.42	69.52	58.71	37.05	151.22	147.06	115.16	68.55	0.0	0.67	507.46	713.11	1088.92	540.19	713.11	555.41	633.73	629.35	403.5	579.04	551.56	559.28	660.68	500.46	543.96	547.75	708.18	647.07	679.29	764.36	447.82
PPY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93	0.0	28.45	0.0	79.45	1.36	0.0	0.0	0.6	0.42	4.35	6.57	1.33	3.03	5.15	0.0	0.0	0.57	0.92	20.11	6.26
PTGER4	28.24	33.06	20.71	82.29	32.59	51.71	45.85	11.55	32.36	49.91	9.78	59.13	18.16	15.56	53.57	5.92	25.91	20.41	10.71	31.9	16.27	17.9	14.35	27.05	35.76	7.88	21.94	0.0	0.39	303.44	106.63	112.77	209.84	486.75	269.6	75.11	107.38	88.26	43.63	93.35	87.65	72.52	103.69	258.57	121.79	40.36	117.6	177.53	181.28	185.11
RAB39B	2.71	4.5	1.19	2.89	8.58	1.1	6.62	2.39	2.03	3.89	1.87	4.7	4.21	0.46	4.06	0.39	2.46	0.45	0.47	3.72	0.0	1.03	1.27	2.66	2.46	2.56	0.38	0.0	0.19	13.52	10.24	15.0	25.17	90.77	19.53	63.89	39.22	50.63	73.54	39.5	47.84	40.93	45.21	54.33	11.21	75.11	23.76	30.56	13.32	17.9
