	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.12ZZY.0826.SM.5EQMT	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.139YR.1226.SM.5IFEU	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.OOBK.2626.SM.2HMKY	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
CHML	53.57	37.05	53.57	24.11	42.71	38.4	37.59	36.27	30.78	56.68	49.91	27.25	34.26	28.65	44.57	29.7	31.67	32.59	23.93	38.67	44.25	42.71	43.94	40.93	26.1	37.59	36.53	40.64	16.15	101.54	114.36	162.14	115.97	63.0	91.41	68.07	77.25	109.66	74.06	63.89	83.45	60.39	85.22	165.57	57.89	153.34	75.11	69.52	50.63	64.34	70.51	44.25	82.29	63.0	70.01	50.98	105.15	68.55	46.18	61.25	75.11	69.03	64.34	78.34	92.7	120.94	69.52	134.3	46.18	52.08	65.72	71.5	109.66	108.9	60.39	96.01	38.95	136.19	63.0	62.12	81.14	84.63	90.77	97.36	87.65	44.25	79.45	41.52	94.67	75.64	76.71	57.89	53.57	61.68	52.08	72.01	65.26	64.8
CNST	206.94	262.2	236.21	119.26	161.02	236.21	172.65	161.02	101.54	127.89	170.25	189.02	155.5	149.12	163.28	128.79	137.14	214.27	151.22	159.9	195.72	158.79	204.07	191.67	167.9	217.27	134.3	182.55	111.21	426.57	480.04	325.29	420.68	198.47	314.17	189.02	239.52	251.48	341.51	406.31	503.95	361.04	444.72	426.57	221.86	334.46	271.48	232.94	223.41	218.79	381.68	178.77	397.93	255.0	273.37	264.03	325.29	346.29	361.04	555.41	334.46	239.52	325.29	312.0	185.11	303.44	301.33	409.15	221.86	214.27	358.54	285.03	371.22	336.79	299.25	723.08	299.25	353.59	237.86	316.37	381.68	363.56	429.54	403.5	343.89	264.03	275.28	293.07	320.8	316.37	329.84	397.93	295.11	193.01	248.0	361.04	384.34	287.01
CNTLN	54.33	45.85	43.63	22.26	34.02	55.89	39.79	44.57	23.76	36.79	36.53	30.34	37.32	19.97	28.86	36.27	30.12	48.52	36.79	32.13	33.54	30.34	39.22	31.22	26.86	38.67	38.67	37.85	23.08	94.67	80.01	110.43	111.21	51.35	67.59	49.91	66.65	75.11	97.36	73.54	101.54	30.78	85.82	75.64	88.88	105.15	97.36	54.72	61.25	63.45	57.08	43.94	96.01	65.26	59.55	80.57	112.77	105.89	63.45	105.89	68.07	84.04	59.55	80.01	64.34	69.03	96.68	158.79	74.58	47.84	84.63	62.56	105.15	80.01	50.27	142.01	47.84	116.78	57.89	64.34	105.89	55.89	78.89	80.57	53.19	44.57	48.18	41.52	132.44	58.3	60.82	86.43	63.0	59.13	90.14	97.36	80.57	82.87
CPNE3	511.0	447.82	500.46	334.46	435.55	518.15	441.64	420.68	353.59	493.56	438.59	529.06	599.49	379.04	389.72	358.54	348.71	503.95	325.29	387.02	493.56	476.71	579.04	454.09	503.95	555.41	460.44	547.75	483.38	1322.37	1508.65	1151.06	1529.73	633.73	1295.13	896.64	1350.18	1159.07	1111.82	1286.18	1233.75	813.63	1051.79	1844.76	954.43	1322.37	775.05	878.17	954.43	1167.14	954.43	836.53	1322.37	1427.22	1001.93	785.88	1259.69	941.27	890.44	981.29	1199.98	1008.9	1059.11	1081.39	947.83	1191.69	1167.14	1896.65	848.22	785.88	1037.29	1081.39	1073.91	1313.23	872.1	1388.16	896.64	974.5	967.76	1286.18	1104.13	1143.1	1167.14	1467.37	1104.13	633.73	1023.0	708.18	1159.07	1199.98	1037.29	921.88	796.86	612.11	988.12	1529.73	1051.79	947.83
CTDSPL2	170.25	164.42	234.57	111.21	130.6	201.25	148.09	162.14	88.26	130.6	151.22	62.12	108.9	136.19	135.24	109.66	123.5	158.79	75.64	116.78	177.53	152.28	175.07	132.44	100.83	181.28	115.16	133.36	80.01	389.72	373.81	551.56	376.41	139.07	246.28	191.67	217.27	237.86	193.01	323.03	264.03	201.25	253.23	325.29	212.78	305.55	232.94	236.21	231.32	267.73	193.01	153.34	267.73	190.34	177.53	172.65	379.04	271.48	224.97	204.07	237.86	193.01	269.6	258.57	195.72	239.52	323.03	473.41	198.47	151.22	205.5	189.02	258.57	336.79	217.27	387.02	166.73	336.79	191.67	212.78	314.17	204.07	237.86	283.05	258.57	140.04	209.84	145.02	289.02	248.0	208.38	332.14	140.04	151.22	241.19	299.25	223.41	189.02
CWC22	371.22	283.05	307.69	249.73	224.97	307.69	267.73	356.05	224.97	164.42	255.0	175.07	214.27	246.28	258.57	307.69	262.2	273.37	226.54	194.36	301.33	339.14	287.01	224.97	152.28	316.37	295.11	221.86	151.22	547.75	473.41	503.95	507.46	277.2	384.34	371.22	490.14	348.71	397.93	438.59	457.25	320.8	429.54	571.05	392.44	438.59	414.87	312.0	329.84	348.71	277.2	312.0	480.04	373.81	373.81	486.75	460.44	521.76	336.79	414.87	373.81	414.87	389.72	486.75	395.18	417.77	473.41	669.92	368.65	327.56	435.55	368.65	518.15	503.95	314.17	595.34	249.73	466.88	351.14	332.14	460.44	376.41	299.25	497.0	363.56	256.78	343.89	305.55	466.88	348.71	361.04	438.59	334.46	339.14	376.41	361.04	395.18	490.14
CWF19L2	193.01	117.6	140.04	122.64	120.1	154.42	111.99	138.1	139.07	115.16	116.78	87.03	94.01	147.06	138.1	118.43	119.26	125.24	127.89	82.87	122.64	119.26	150.17	133.36	95.34	157.68	119.26	103.69	95.34	384.34	373.81	281.09	301.33	139.07	228.13	164.42	170.25	231.32	307.69	258.57	314.17	156.59	273.37	279.14	199.85	217.27	232.94	165.57	199.85	202.66	223.41	134.3	241.19	361.04	221.86	256.78	384.34	318.57	262.2	267.73	341.51	470.14	201.25	265.87	214.27	212.78	295.11	409.15	267.73	177.53	242.88	201.25	241.19	283.05	208.38	356.05	166.73	312.0	176.29	214.27	253.23	220.32	269.6	281.09	167.9	151.22	209.84	197.09	400.71	193.01	223.41	258.57	178.77	175.07	182.55	303.44	249.73	228.13
CXorf22	0.0	0.0	0.68	0.06	0.18	1.07	0.11	0.0	0.0	0.0	0.13	0.08	3.82	0.0	0.0	1.19	0.0	0.0	0.37	0.12	0.1	0.39	0.42	0.09	3.53	0.0	0.4	0.0	0.4	4.43	5.73	8.51	6.01	4.78	6.11	3.06	2.25	3.69	5.06	8.78	5.82	5.54	9.93	10.24	3.66	2.68	5.73	3.14	2.66	1.79	4.74	4.7	7.51	4.86	1.39	3.96	9.2	4.28	2.97	10.63	4.43	5.96	1.81	8.06	5.73	3.66	3.99	13.32	2.66	3.35	5.32	4.35	3.35	4.66	3.92	10.79	3.11	14.89	4.35	8.19	11.13	6.57	6.06	4.13	4.31	1.71	2.78	2.68	3.14	5.63	10.31	5.36	0.89	0.0	5.36	5.06	4.03	5.41
CYBRD1	3124.78	2255.7	2627.46	2163.77	2004.85	2682.69	1963.57	2739.08	1870.53	1757.34	1639.59	1844.76	1844.76	2047.0	2119.22	1674.06	1359.57	2351.53	2591.27	1733.13	2335.28	2104.58	2485.67	2319.15	2573.36	2240.11	2090.03	1883.54	1295.13	7966.99	6079.61	6792.79	9474.59	4388.98	5403.7	3820.7	5076.84	6887.62	7032.37	3716.2	8305.36	3190.46	3589.58	10084.54	4836.35	7280.4	5219.6	3039.3	3928.15	4607.24	4575.41	2627.46	7180.15	6381.92	4607.24	5913.33	10296.45	8840.04	4903.87	7966.99	6121.9	5183.54	4358.66	8778.97	5479.15	6426.31	8078.22	8421.31	4419.52	2075.59	5594.3	5403.7	9808.75	8718.32	3928.15	9808.75	4639.29	6983.79	4512.4	4358.66	6381.92	5594.3	4836.35	6471.02	6164.49	4512.4	6079.61	5112.16	6699.25	4972.34	4358.66	3168.41	3794.3	3690.52	5041.77	6207.38	6037.61	5329.3
CYP20A1	205.5	181.28	149.12	111.99	166.73	180.02	157.68	164.42	134.3	156.59	158.79	187.71	159.9	146.03	149.12	173.85	181.28	173.85	123.5	180.02	176.29	198.47	201.25	166.73	173.85	226.54	166.73	208.38	161.02	414.87	497.0	253.23	351.14	273.37	348.71	244.57	269.6	269.6	303.44	312.0	381.68	182.55	251.48	518.15	341.51	293.07	248.0	316.37	239.52	346.29	295.11	285.03	279.14	336.79	275.28	226.54	438.59	320.8	275.28	287.01	307.69	371.22	299.25	248.0	248.0	381.68	358.54	521.76	239.52	281.09	351.14	293.07	182.55	318.57	267.73	476.71	307.69	289.02	285.03	275.28	260.38	248.0	262.2	361.04	318.57	285.03	291.04	281.09	287.01	363.56	256.78	265.87	285.03	234.57	232.94	301.33	299.25	309.83
DIXDC1	202.66	209.84	170.25	111.99	212.78	190.34	143.01	167.9	107.38	125.24	191.67	185.11	123.5	115.97	161.02	175.07	232.94	226.54	121.79	115.16	167.9	176.29	217.27	170.25	215.77	237.86	205.5	157.68	100.13	444.72	444.72	432.53	447.82	178.77	406.31	269.6	255.0	271.48	260.38	218.79	332.14	211.31	351.14	473.41	289.02	318.57	269.6	246.28	339.14	291.04	314.17	201.25	497.0	371.22	325.29	368.65	567.1	476.71	217.27	376.41	287.01	287.01	318.57	441.64	205.5	395.18	412.0	514.56	260.38	180.02	316.37	366.09	486.75	507.46	199.85	384.34	231.32	406.31	176.29	307.69	420.68	277.2	384.34	325.29	409.15	156.59	212.78	303.44	441.64	318.57	255.0	320.8	193.01	181.28	305.55	356.05	293.07	417.77
DNAJB4	432.53	575.03	277.2	246.28	353.59	575.03	303.44	400.71	173.85	205.5	389.72	309.83	289.02	287.01	289.02	312.0	264.03	511.0	332.14	226.54	438.59	348.71	343.89	229.72	171.45	403.5	698.41	329.84	166.73	743.43	1304.15	780.44	1508.65	642.59	866.07	679.29	603.67	902.89	764.36	1477.58	1304.15	651.58	1322.37	1519.15	854.13	819.3	1015.93	769.69	769.69	1127.35	819.3	669.92	1044.52	660.68	860.08	684.02	2004.85	915.51	660.68	1096.5	1059.11	1208.34	679.29	1015.93	718.08	995.0	1119.56	1378.57	669.92	607.87	981.29	780.44	941.27	1119.56	753.83	2163.77	819.3	2133.97	1151.06	638.15	1350.18	764.36	1540.37	860.08	743.43	571.05	733.19	842.36	1059.11	921.88	878.17	915.51	713.11	974.5	688.78	1529.73	825.0	909.17
DSEL	14.67	5.87	11.21	3.56	9.06	5.73	9.2	6.11	6.21	4.54	5.45	6.16	7.75	4.9	3.44	4.43	7.75	10.55	9.93	3.44	6.21	8.19	10.39	11.73	7.82	11.38	8.38	4.39	4.03	36.01	32.82	31.45	31.67	16.51	24.46	17.51	18.84	38.67	21.01	9.2	30.34	3.35	15.56	33.3	43.63	24.63	20.71	21.32	18.97	20.71	15.0	16.03	44.25	21.47	24.28	20.86	61.68	37.85	8.45	28.45	22.43	23.08	21.94	38.95	28.65	25.91	35.5	28.86	7.17	9.34	15.45	22.59	30.34	35.5	15.68	25.91	14.89	28.24	13.52	20.71	23.42	15.91	16.03	28.65	22.43	15.56	15.0	20.41	25.91	15.68	17.64	13.12	12.45	7.28	15.0	21.63	33.3	18.16
EEA1	70.01	76.17	71.0	47.5	71.5	85.22	79.45	81.71	43.94	62.56	84.04	54.33	58.3	69.52	66.65	51.35	70.01	69.03	40.36	63.89	90.14	78.34	96.68	83.45	59.97	98.04	62.56	79.45	48.87	165.57	169.07	182.55	170.25	80.57	120.1	92.05	108.14	148.09	128.79	151.22	158.79	98.04	153.34	239.52	117.6	143.01	99.43	97.36	87.65	125.24	85.82	82.87	122.64	112.77	95.34	78.34	217.27	138.1	67.12	116.78	90.14	101.54	92.7	125.24	92.05	123.5	194.36	211.31	74.58	66.65	94.01	95.34	126.12	145.02	81.14	198.47	65.72	155.5	124.37	102.97	145.02	115.16	118.43	169.07	115.97	62.56	115.97	54.33	118.43	124.37	96.01	125.24	92.7	71.0	85.22	115.97	111.99	134.3
EP300	339.14	395.18	285.03	275.28	314.17	241.19	217.27	297.17	201.25	229.72	205.5	228.13	279.14	231.32	291.04	251.48	182.55	309.83	163.28	293.07	327.56	371.22	341.51	255.0	269.6	371.22	305.55	312.0	151.22	483.38	665.29	599.49	587.13	297.17	473.41	555.41	497.0	633.73	743.43	587.13	438.59	289.02	454.09	674.59	567.1	536.45	511.0	381.68	536.45	483.38	674.59	438.59	595.34	529.06	503.95	738.29	638.15	669.92	381.68	511.0	651.58	466.88	507.46	669.92	507.46	599.49	830.75	808.0	348.71	334.46	532.74	703.28	587.13	497.0	480.04	536.45	239.52	547.75	441.64	660.68	486.75	629.35	497.0	693.58	525.39	260.38	547.75	555.41	813.63	575.03	563.18	500.46	318.57	376.41	540.19	718.08	521.76	555.41
EPB41L2	346.29	384.34	283.05	149.12	409.15	406.31	417.77	563.18	262.2	173.85	327.56	287.01	376.41	307.69	246.28	351.14	316.37	435.55	620.67	255.0	329.84	406.31	470.14	358.54	218.79	397.93	368.65	417.77	208.38	723.08	1175.27	1331.57	1498.22	490.14	651.58	521.76	688.78	915.51	1216.75	780.44	1268.46	265.87	1037.29	934.76	974.5	486.75	1059.11	928.3	624.99	457.25	775.05	651.58	1583.71	780.44	830.75	1487.87	2047.0	1529.73	753.83	2047.0	896.64	1159.07	674.59	1529.73	808.0	830.75	1340.84	1286.18	616.37	376.41	1096.5	571.05	1081.39	785.88	511.0	1437.15	441.64	1594.73	603.67	713.11	1268.46	547.75	954.43	1015.93	490.14	314.17	361.04	543.96	1143.1	599.49	738.29	1191.69	656.11	503.95	961.07	1191.69	660.68	961.07
EPC2	301.33	318.57	343.89	231.32	226.54	334.46	253.23	301.33	186.4	191.67	265.87	198.47	195.72	301.33	256.78	229.72	249.73	279.14	248.0	244.57	289.02	241.19	332.14	242.88	205.5	318.57	232.94	237.86	161.02	638.15	563.18	571.05	497.0	273.37	423.61	376.41	363.56	438.59	612.11	525.39	612.11	223.41	397.93	633.73	497.0	466.88	406.31	312.0	353.59	417.77	379.04	277.2	511.0	376.41	305.55	432.53	679.29	595.34	373.81	412.0	447.82	403.5	387.02	466.88	429.54	497.0	563.18	733.19	351.14	279.14	486.75	412.0	480.04	511.0	334.46	551.56	265.87	603.67	346.29	389.72	540.19	493.56	387.02	518.15	387.02	279.14	395.18	339.14	463.65	366.09	336.79	486.75	291.04	473.41	316.37	470.14	400.71	463.65
EPHA3	29.06	33.06	19.39	11.3	57.49	13.93	58.71	74.58	25.17	13.42	63.89	30.12	104.42	26.67	30.34	46.84	39.79	30.34	58.71	29.91	14.45	53.57	67.59	159.9	89.51	40.93	38.12	58.71	63.89	441.64	896.64	414.87	967.76	157.68	420.68	180.02	228.13	327.56	599.49	206.94	624.99	73.54	371.22	825.0	109.66	336.79	638.15	253.23	198.47	215.77	102.97	112.77	995.0	239.52	190.34	363.56	454.09	447.82	218.79	1030.12	567.1	447.82	194.36	1044.52	299.25	283.05	514.56	954.43	76.17	127.89	532.74	218.79	713.11	251.48	150.17	796.86	85.22	723.08	115.16	190.34	217.27	144.01	466.88	248.0	205.5	51.71	105.15	208.38	255.0	131.51	204.07	351.14	135.24	47.84	450.94	620.67	164.42	334.46
ERAP1	186.4	214.27	258.57	204.07	170.25	181.28	199.85	185.11	159.9	148.09	154.42	166.73	146.03	142.01	139.07	134.3	151.22	275.28	185.11	166.73	237.86	162.14	251.48	128.79	237.86	211.31	145.02	204.07	191.67	327.56	579.04	435.55	373.81	228.13	289.02	172.65	441.64	323.03	460.44	447.82	379.04	185.11	314.17	486.75	379.04	215.77	329.84	339.14	277.2	460.44	279.14	323.03	363.56	256.78	325.29	239.52	426.57	423.61	202.66	269.6	507.46	279.14	248.0	414.87	262.2	423.61	896.64	521.76	150.17	197.09	283.05	251.48	314.17	493.56	361.04	403.5	217.27	460.44	358.54	239.52	339.14	366.09	312.0	551.56	318.57	217.27	237.86	329.84	441.64	389.72	239.52	314.17	201.25	277.2	281.09	358.54	307.69	226.54
EXOC5	221.86	229.72	211.31	170.25	195.72	229.72	209.84	195.72	147.06	246.28	220.32	175.07	187.71	165.57	199.85	172.65	161.02	202.66	143.01	202.66	202.66	182.55	224.97	251.48	180.02	249.73	220.32	220.32	108.14	473.41	368.65	607.87	473.41	251.48	332.14	232.94	309.83	339.14	329.84	309.83	483.38	371.22	381.68	447.82	237.86	332.14	258.57	264.03	228.13	327.56	283.05	197.09	356.05	256.78	220.32	287.01	536.45	420.68	301.33	301.33	406.31	358.54	265.87	417.77	283.05	327.56	480.04	591.22	260.38	229.72	447.82	228.13	389.72	429.54	295.11	555.41	223.41	429.54	297.17	309.83	366.09	273.37	327.56	473.41	341.51	182.55	264.03	178.77	529.06	303.44	309.83	285.03	269.6	343.89	267.73	429.54	307.69	363.56
FAM13B	187.71	237.86	234.57	166.73	191.67	205.5	195.72	236.21	133.36	181.28	164.42	128.79	220.32	218.79	202.66	146.03	154.42	187.71	153.34	117.6	215.77	198.47	249.73	218.79	159.9	181.28	193.01	152.28	146.03	400.71	432.53	718.08	466.88	212.78	373.81	361.04	323.03	426.57	318.57	514.56	403.5	281.09	289.02	493.56	269.6	356.05	343.89	224.97	228.13	336.79	291.04	202.66	409.15	289.02	361.04	343.89	536.45	486.75	323.03	343.89	373.81	277.2	299.25	438.59	295.11	397.93	414.87	674.59	281.09	202.66	327.56	351.14	490.14	457.25	217.27	555.41	242.88	503.95	392.44	339.14	476.71	301.33	417.77	447.82	314.17	194.36	325.29	232.94	406.31	373.81	414.87	327.56	229.72	273.37	373.81	376.41	307.69	532.74
FAM63B	86.43	102.25	94.01	92.05	81.71	104.42	99.43	111.21	46.18	58.71	106.63	52.82	82.87	90.77	85.82	67.59	85.22	102.97	77.79	87.03	114.36	103.69	114.36	58.71	63.89	114.36	80.57	89.51	43.32	275.28	214.27	260.38	295.11	141.02	195.72	123.5	166.73	182.55	244.57	195.72	336.79	75.64	214.27	329.84	115.16	194.36	201.25	140.04	155.5	228.13	131.51	101.54	242.88	186.4	130.6	194.36	241.19	283.05	166.73	214.27	180.02	229.72	138.1	239.52	129.69	212.78	234.57	316.37	186.4	120.1	234.57	133.36	255.0	226.54	133.36	299.25	145.02	234.57	127.89	148.09	291.04	133.36	190.34	158.79	147.06	120.94	172.65	100.13	336.79	176.29	152.28	206.94	183.82	204.07	157.68	242.88	141.02	220.32
FAM73A	135.24	122.64	120.1	56.68	100.83	172.65	105.89	116.78	49.91	83.45	85.82	69.52	60.39	98.04	94.01	49.21	58.3	98.73	43.02	80.57	121.79	78.89	137.14	71.0	80.01	113.56	88.26	98.73	43.32	283.05	432.53	327.56	366.09	145.02	318.57	229.72	239.52	253.23	295.11	291.04	312.0	180.02	251.48	438.59	269.6	267.73	161.02	217.27	283.05	279.14	185.11	153.34	244.57	215.77	237.86	171.45	334.46	221.86	156.59	249.73	253.23	229.72	265.87	269.6	249.73	275.28	417.77	518.15	118.43	96.68	194.36	287.01	269.6	271.48	176.29	384.34	114.36	295.11	150.17	384.34	314.17	332.14	244.57	299.25	258.57	76.17	332.14	134.3	318.57	341.51	201.25	293.07	125.24	148.09	155.5	327.56	255.0	132.44
GABPA	236.21	283.05	279.14	202.66	236.21	287.01	273.37	303.44	125.24	178.77	264.03	215.77	269.6	242.88	256.78	205.5	212.78	277.2	135.24	191.67	251.48	297.17	299.25	281.09	307.69	309.83	236.21	229.72	146.03	567.1	629.35	563.18	624.99	215.77	500.46	323.03	371.22	392.44	441.64	420.68	476.71	231.32	400.71	866.07	329.84	423.61	381.68	309.83	368.65	480.04	293.07	262.2	447.82	376.41	323.03	301.33	540.19	444.72	246.28	314.17	435.55	376.41	406.31	466.88	343.89	480.04	559.28	780.44	255.0	271.48	389.72	341.51	507.46	543.96	303.44	612.11	309.83	463.65	293.07	366.09	447.82	334.46	414.87	417.77	486.75	258.57	329.84	343.89	567.1	447.82	346.29	438.59	262.2	320.8	373.81	476.71	392.44	470.14
GALC	343.89	293.07	323.03	248.0	275.28	392.44	248.0	299.25	195.72	271.48	236.21	208.38	226.54	248.0	339.14	199.85	246.28	327.56	194.36	371.22	336.79	283.05	339.14	358.54	209.84	303.44	241.19	234.57	244.57	703.28	571.05	579.04	647.07	358.54	493.56	358.54	417.77	412.0	633.73	543.96	674.59	363.56	480.04	665.29	387.02	343.89	540.19	341.51	480.04	521.76	507.46	356.05	567.1	435.55	432.53	435.55	656.11	669.92	363.56	559.28	638.15	511.0	420.68	603.67	373.81	684.02	651.58	884.29	346.29	285.03	603.67	470.14	723.08	624.99	376.41	638.15	406.31	713.11	379.04	450.94	599.49	493.56	583.07	521.76	480.04	381.68	417.77	406.31	656.11	503.95	371.22	432.53	348.71	358.54	470.14	708.18	518.15	532.74
GDAP1	136.19	137.14	96.01	102.97	128.79	114.36	127.0	120.1	45.85	128.79	102.25	82.87	87.65	134.3	111.21	70.51	100.13	88.88	76.17	122.64	132.44	90.77	157.68	169.07	183.82	108.14	109.66	102.97	63.45	318.57	236.21	414.87	346.29	193.01	269.6	226.54	157.68	231.32	329.84	341.51	239.52	198.47	242.88	208.38	199.85	231.32	264.03	217.27	198.47	265.87	156.59	199.85	275.28	277.2	239.52	208.38	293.07	309.83	226.54	244.57	185.11	351.14	236.21	237.86	165.57	201.25	217.27	454.09	221.86	212.78	291.04	215.77	273.37	182.55	195.72	275.28	153.34	327.56	183.82	242.88	368.65	209.84	327.56	281.09	218.79	138.1	198.47	100.83	154.42	299.25	187.71	283.05	175.07	115.16	258.57	287.01	186.4	309.83
GHR	24.28	22.75	27.25	3.79	17.9	31.67	26.86	23.08	12.74	31.0	26.28	41.81	75.11	11.55	16.75	14.56	23.08	57.49	25.72	38.12	16.88	24.99	44.25	66.18	46.5	26.47	40.93	22.43	37.85	159.9	165.57	117.6	141.02	40.64	185.11	58.71	75.11	129.69	111.99	44.57	167.9	15.56	65.72	295.11	246.28	108.14	111.99	84.04	147.06	117.6	187.71	124.37	172.65	75.11	94.67	146.03	309.83	177.53	62.12	169.07	112.77	111.21	87.03	134.3	117.6	301.33	187.71	187.71	45.53	43.63	157.68	137.14	149.12	165.57	55.49	246.28	82.29	138.1	39.79	181.28	94.01	81.71	74.58	126.12	72.52	53.19	73.03	93.35	187.71	54.33	113.56	110.43	56.68	31.45	87.03	138.1	128.79	139.07
GLTSCR1L	172.65	199.85	191.67	140.04	153.34	201.25	152.28	176.29	94.01	90.77	157.68	107.38	121.79	156.59	143.01	115.97	119.26	155.5	115.97	126.12	157.68	150.17	215.77	143.01	141.02	194.36	150.17	153.34	88.26	361.04	320.8	381.68	366.09	126.12	251.48	199.85	241.19	231.32	291.04	339.14	285.03	132.44	226.54	341.51	220.32	283.05	267.73	217.27	239.52	229.72	204.07	151.22	314.17	260.38	217.27	260.38	432.53	316.37	187.71	275.28	341.51	217.27	220.32	334.46	214.27	262.2	323.03	361.04	167.9	167.9	256.78	248.0	301.33	379.04	182.55	320.8	176.29	339.14	176.29	220.32	327.56	223.41	248.0	228.13	224.97	144.01	214.27	234.57	281.09	262.2	205.5	234.57	164.42	167.9	248.0	281.09	239.52	332.14
GMCL1	167.9	193.01	157.68	170.25	185.11	172.65	141.02	214.27	132.44	169.07	154.42	132.44	131.51	177.53	157.68	119.26	135.24	138.1	112.77	108.14	175.07	129.69	189.02	135.24	100.13	180.02	149.12	165.57	100.13	248.0	244.57	212.78	289.02	150.17	204.07	191.67	177.53	172.65	217.27	226.54	336.79	234.57	224.97	264.03	112.77	248.0	237.86	167.9	181.28	198.47	182.55	149.12	256.78	149.12	189.02	226.54	373.81	289.02	156.59	223.41	189.02	201.25	172.65	208.38	155.5	226.54	244.57	312.0	215.77	134.3	241.19	205.5	269.6	224.97	135.24	299.25	215.77	251.48	221.86	180.02	267.73	199.85	197.09	211.31	189.02	172.65	194.36	166.73	229.72	197.09	182.55	218.79	211.31	157.68	194.36	264.03	198.47	277.2
