	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.1211K.1726.SM.5FQUJ	GTEX.XBEW.1926.SM.4SOJO	GTEX.13O21.2426.SM.5MR4A	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZPIC.2226.SM.57WDX	GTEX.14DAR.1526.SM.5RQIX	GTEX.Y3IK.1826.SM.4WWDS	GTEX.11VI4.1526.SM.5EQKC	GTEX.ZT9W.1826.SM.51MQX	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	TCGA.KL.8335.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KN.8430.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.BP.4989.01A.01R.1334.07	TCGA.A3.3324.01A.02R.1325.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3313.01A.02R.1325.07	TCGA.CJ.4884.01A.01R.1305.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.B9.4617.01A.01R.1193.07	GTEX.131XF.1026.SM.5BC6A	TCGA.BR.8682.01A.11R.2402.13	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CD.8534.01A.11R.2343.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.BR.8483.01A.31R.2402.13	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.WFON.1126.SM.4LVMA	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
KANSL1	450.94	521.76	769.69	525.39	638.15	426.57	450.94	500.46	387.02	743.43	376.41	981.29	947.83	249.73	358.54	236.21	262.2	318.57	275.28	242.88	256.78	258.57	264.03	426.57	329.84	267.73	351.14	297.17	232.94	432.53	791.35	500.46	819.3	547.75	37.05	796.86	616.37	361.04	514.56	503.95	660.68	713.11	921.88	1023.0	808.0	473.41	866.07	1051.79	1331.57	748.61	941.27	547.75	348.71	684.02	486.75	323.03
KBTBD2	361.04	289.02	327.56	279.14	463.65	293.07	358.54	346.29	275.28	450.94	339.14	708.18	525.39	309.83	473.41	432.53	307.69	316.37	301.33	299.25	325.29	454.09	323.03	387.02	329.84	444.72	633.73	293.07	325.29	551.56	629.35	674.59	665.29	612.11	99.43	587.13	514.56	373.81	466.88	547.75	503.95	860.08	638.15	624.99	395.18	397.93	679.29	457.25	507.46	633.73	346.29	361.04	381.68	514.56	571.05	435.55
KCTD18	242.88	189.02	211.31	189.02	241.19	217.27	236.21	208.38	189.02	299.25	139.07	175.07	265.87	153.34	198.47	178.77	98.73	152.28	140.04	145.02	110.43	142.01	108.9	214.27	148.09	150.17	231.32	111.99	142.01	183.82	309.83	325.29	208.38	281.09	63.89	348.71	244.57	171.45	226.54	244.57	256.78	400.71	269.6	307.69	379.04	195.72	205.5	301.33	348.71	316.37	403.5	267.73	297.17	271.48	239.52	156.59
KDM3A	368.65	323.03	486.75	358.54	514.56	332.14	353.59	540.19	289.02	447.82	221.86	902.89	748.61	392.44	447.82	281.09	412.0	241.19	389.72	228.13	262.2	289.02	332.14	221.86	414.87	361.04	540.19	299.25	420.68	583.07	743.43	679.29	684.02	567.1	110.43	450.94	909.17	497.0	379.04	366.09	299.25	607.87	571.05	503.95	733.19	343.89	620.67	571.05	718.08	616.37	684.02	529.06	277.2	503.95	450.94	279.14
KIAA0825	10.63	3.92	7.0	11.38	6.78	12.18	8.71	9.06	12.93	9.13	7.0	27.44	19.53	7.63	12.27	11.38	8.78	6.01	4.13	8.85	10.24	4.28	7.63	12.0	8.99	6.57	9.06	7.94	3.35	14.67	40.07	39.5	25.91	31.67	12.45	25.72	31.9	20.41	29.27	39.22	14.78	18.97	15.56	22.1	45.85	19.11	21.16	28.24	35.25	9.2	25.35	7.46	14.56	23.76	21.16	14.35
KIAA1377	84.63	102.97	64.8	102.25	80.01	127.89	27.25	30.78	36.27	118.43	17.9	217.27	291.04	5.73	2.76	8.78	2.51	1.95	0.46	7.46	11.04	1.36	4.17	25.35	3.66	2.84	17.0	9.13	6.89	65.26	176.29	171.45	119.26	93.35	0.42	54.72	23.42	16.03	67.12	67.59	28.65	52.08	47.84	82.87	141.02	19.25	84.63	71.0	85.82	27.84	165.57	29.91	22.75	57.08	73.03	27.25
KIRREL	56.28	76.71	70.01	115.16	23.93	59.97	35.5	41.22	56.28	177.53	30.56	242.88	356.05	98.04	89.51	30.12	23.76	47.5	20.11	128.79	82.87	72.52	40.36	49.91	42.11	71.0	145.02	72.01	221.86	518.15	493.56	698.41	1225.22	995.0	5.54	332.14	371.22	193.01	775.05	579.04	234.57	336.79	480.04	309.83	842.36	211.31	185.11	796.86	842.36	120.1	414.87	69.52	121.79	158.79	514.56	120.1
KLF8	33.3	78.34	37.85	121.79	23.76	30.12	20.41	42.11	29.06	81.71	13.03	152.28	189.02	39.22	42.41	76.71	58.71	100.13	42.71	81.14	44.25	17.77	30.78	63.45	52.45	46.84	49.21	28.24	36.27	206.94	417.77	206.94	269.6	195.72	0.84	96.01	150.17	190.34	135.24	108.14	162.14	195.72	102.97	123.5	128.79	16.39	52.82	186.4	193.01	35.5	182.55	69.52	130.6	111.21	164.42	85.82
KLRG1	11.3	11.73	11.55	40.64	21.94	11.47	16.39	13.42	30.78	13.83	7.28	173.85	47.5	15.34	4.46	2.89	0.0	15.91	5.45	7.69	9.85	9.48	5.68	21.32	4.35	21.47	38.95	12.74	0.0	90.77	154.42	105.15	77.79	82.29	12.27	33.54	92.05	25.91	73.54	61.25	85.82	18.97	73.54	176.29	63.0	34.75	55.1	66.18	126.12	8.65	62.56	26.86	59.13	14.89	19.82	19.11
KMT2A	144.01	138.1	181.28	157.68	142.01	175.07	157.68	127.0	117.6	267.73	71.0	269.6	314.17	232.94	148.09	88.88	59.13	100.13	135.24	148.09	150.17	137.14	138.1	140.04	150.17	137.14	220.32	190.34	128.79	205.5	339.14	466.88	329.84	214.27	12.45	417.77	220.32	162.14	256.78	348.71	138.1	198.47	587.13	693.58	629.35	279.14	591.22	660.68	848.22	307.69	813.63	191.67	165.57	221.86	218.79	88.88
KRBOX4	89.51	129.69	127.89	154.42	129.69	94.01	107.38	119.26	130.6	159.9	80.57	356.05	480.04	158.79	120.94	104.42	185.11	120.94	237.86	154.42	209.84	198.47	150.17	180.02	214.27	175.07	239.52	155.5	206.94	221.86	299.25	277.2	426.57	267.73	108.9	162.14	206.94	291.04	255.0	187.71	162.14	287.01	201.25	351.14	325.29	124.37	267.73	312.0	267.73	332.14	323.03	154.42	169.07	221.86	255.0	241.19
LATS2	86.43	69.03	64.8	92.05	33.54	64.8	36.53	43.63	93.35	98.04	40.07	312.0	297.17	65.26	118.43	47.84	33.06	66.65	98.73	234.57	151.22	36.79	66.18	224.97	95.34	120.1	133.36	106.63	62.12	318.57	206.94	255.0	301.33	368.65	22.75	490.14	289.02	155.5	339.14	325.29	180.02	567.1	303.44	215.77	567.1	223.41	239.52	525.39	583.07	234.57	395.18	129.69	143.01	234.57	223.41	100.83
LCA5	8.58	9.48	10.39	17.64	6.78	8.71	5.82	8.45	10.55	19.82	5.59	64.34	97.36	16.75	13.32	10.08	12.09	8.45	8.0	30.34	30.78	15.11	19.39	86.43	19.25	14.89	25.35	14.67	22.1	85.82	57.89	140.04	66.18	173.85	5.02	48.87	95.34	28.45	96.01	90.14	33.3	46.5	65.72	57.89	76.71	37.32	63.0	78.89	76.71	87.65	72.52	21.01	32.36	120.1	167.9	30.34
LIX1L	90.77	89.51	85.22	153.34	47.5	75.64	83.45	76.71	98.04	144.01	51.71	607.87	599.49	65.26	130.6	55.49	43.94	86.43	73.54	132.44	100.83	71.0	55.89	89.51	71.5	102.25	115.16	76.71	119.26	629.35	543.96	547.75	780.44	599.49	39.22	351.14	368.65	147.06	316.37	208.38	265.87	341.51	473.41	836.53	1073.91	177.53	289.02	902.89	947.83	226.54	1216.75	121.79	281.09	271.48	316.37	177.53
MAP3K12	189.02	185.11	173.85	256.78	60.82	92.7	73.03	84.04	118.43	194.36	101.54	466.88	872.1	66.18	53.95	43.63	53.57	91.41	52.82	106.63	85.82	85.22	86.43	69.03	92.05	62.12	99.43	90.77	104.42	269.6	571.05	343.89	915.51	403.5	10.55	343.89	215.77	162.14	187.71	88.88	186.4	287.01	353.59	470.14	547.75	151.22	334.46	743.43	633.73	176.29	579.04	98.04	185.11	400.71	595.34	182.55
MBNL2	256.78	277.2	267.73	346.29	423.61	366.09	273.37	293.07	312.0	426.57	206.94	961.07	1175.27	285.03	406.31	246.28	164.42	175.07	256.78	327.56	202.66	141.02	121.79	429.54	177.53	327.56	444.72	193.01	327.56	890.44	665.29	1088.92	796.86	854.13	366.09	909.17	947.83	490.14	988.12	1167.14	660.68	890.44	1508.65	974.5	2090.03	884.29	759.08	1233.75	1447.15	457.25	1769.57	563.18	607.87	444.72	633.73	371.22
MDM1	105.15	105.89	97.36	226.54	73.54	99.43	115.16	113.56	122.64	134.3	60.82	303.44	305.55	154.42	94.67	71.5	170.25	53.95	89.51	61.25	124.37	69.03	47.17	170.25	144.01	65.72	110.43	98.73	202.66	156.59	325.29	164.42	204.07	341.51	39.79	198.47	260.38	221.86	208.38	181.28	223.41	148.09	236.21	603.67	1216.75	87.03	265.87	518.15	728.11	167.9	854.13	147.06	124.37	277.2	144.01	237.86
MSL2	237.86	258.57	218.79	251.48	297.17	211.31	283.05	289.02	220.32	253.23	132.44	186.4	332.14	236.21	173.85	173.85	199.85	84.04	221.86	269.6	189.02	199.85	208.38	221.86	258.57	236.21	260.38	185.11	185.11	287.01	426.57	241.19	325.29	249.73	38.95	279.14	273.37	303.44	307.69	291.04	157.68	395.18	403.5	507.46	507.46	251.48	473.41	450.94	381.68	229.72	332.14	226.54	301.33	285.03	239.52	137.14
MT-ATP8	3832885.91	3454390.1	3601083.44	4987895.16	2986448.72	3406832.48	3028138.0	3502611.6	2884719.27	3223059.86	2672946.37	3156730.23	2459612.16	3178687.03	3551506.25	5308966.95	2924988.47	3134925.09	3156730.23	2884719.27	5057523.59	2247670.86	2359417.65	4252853.3	2459612.16	2864793.06	3091765.64	2924988.47	4079609.54	3313672.43	3178687.03	1679964.3	2691538.19	3049200.37	1482909.4	3676749.88	2459612.16	4919225.32	3178687.03	3134925.09	4342214.81	2636147.11	3995652.37	2156109.97	2039804.27	3070409.25	3832885.91	2232145.06	1956711.0	4653870.67	2845004.48	3601083.44	3502611.6	3406832.48	5128124.01	3728075.41
NEDD4	38.67	33.54	74.58	44.25	28.45	35.76	35.76	30.56	33.3	81.14	17.38	111.99	141.02	49.56	19.82	18.43	15.45	17.51	13.52	47.17	55.1	27.05	11.55	135.24	26.67	30.78	149.12	25.72	34.51	177.53	115.97	251.48	133.36	146.03	7.4	305.55	220.32	58.3	175.07	204.07	62.56	145.02	403.5	146.03	332.14	94.67	154.42	241.19	236.21	100.13	289.02	57.89	92.05	145.02	143.01	96.68
NFATC3	105.89	98.04	123.5	104.42	111.21	92.7	116.78	116.78	94.67	159.9	90.77	234.57	228.13	125.24	90.77	102.97	76.17	74.06	146.03	122.64	75.64	92.05	80.57	144.01	110.43	116.78	113.56	107.38	130.6	226.54	291.04	283.05	189.02	156.59	10.47	244.57	303.44	208.38	351.14	381.68	197.09	536.45	325.29	567.1	327.56	273.37	281.09	361.04	397.93	201.25	389.72	150.17	164.42	183.82	149.12	84.63
NIN	158.79	121.79	73.54	116.78	52.08	153.34	150.17	156.59	77.25	81.71	81.14	303.44	309.83	29.91	69.03	39.79	41.81	88.26	19.53	102.25	98.73	38.4	34.02	226.54	12.09	50.63	150.17	34.02	69.03	249.73	356.05	299.25	303.44	198.47	30.34	334.46	242.88	92.7	220.32	242.88	176.29	211.31	329.84	525.39	417.77	92.05	142.01	392.44	435.55	39.22	457.25	142.01	195.72	181.28	226.54	173.85
NOTCH2	226.54	218.79	256.78	220.32	265.87	169.07	178.77	226.54	214.27	376.41	70.01	320.8	417.77	90.77	35.5	23.25	19.11	31.22	7.22	60.39	24.28	17.51	31.45	285.03	11.21	40.64	88.88	21.94	45.53	209.84	447.82	536.45	620.67	392.44	11.64	486.75	262.2	129.69	447.82	450.94	312.0	384.34	563.18	551.56	988.12	181.28	563.18	759.08	921.88	262.2	785.88	165.57	351.14	346.29	629.35	134.3
OSMR	78.34	72.01	76.17	96.01	35.76	92.05	36.79	40.93	59.13	146.03	37.85	400.71	307.69	72.01	209.84	87.03	62.56	85.82	86.43	134.3	134.3	25.35	112.77	218.79	78.34	157.68	159.9	161.02	114.36	638.15	1350.18	1617.0	808.0	1769.57	25.17	305.55	684.02	177.53	312.0	256.78	151.22	503.95	748.61	698.41	2090.03	387.02	460.44	1331.57	1111.82	130.6	555.41	141.02	226.54	256.78	723.08	208.38
PAIP2	1044.52	775.05	830.75	981.29	1066.48	872.1	1015.93	954.43	1143.1	1378.57	1001.93	1242.34	1529.73	1216.75	1286.18	698.41	1487.87	371.22	1051.79	1340.84	1572.76	785.88	1242.34	1639.59	1191.69	1388.16	995.0	1340.84	1628.26	3325.99	2935.74	3103.19	1781.89	2976.74	1277.29	2287.2	3467.27	1991.0	2537.92	2739.08	2502.97	2895.31	1437.15	2434.5	2682.69	1037.29	1883.54	1769.57	2047.0	1250.98	3018.3	1304.15	1950.0	2384.37	2255.7	1001.93
PAK2	420.68	441.64	454.09	381.68	397.93	414.87	480.04	447.82	341.51	633.73	429.54	309.83	307.69	339.14	595.34	376.41	255.0	212.78	426.57	470.14	466.88	334.46	260.38	708.18	316.37	392.44	563.18	403.5	387.02	612.11	595.34	674.59	497.0	603.67	176.29	802.41	796.86	493.56	638.15	733.19	547.75	728.11	842.36	748.61	842.36	651.58	733.19	708.18	884.29	591.22	674.59	343.89	444.72	532.74	540.19	363.56
PANX1	73.54	87.03	76.17	107.38	80.01	84.63	105.15	48.87	115.16	127.89	83.45	136.19	181.28	92.05	166.73	112.77	70.01	22.59	77.79	223.41	191.67	50.27	163.28	149.12	50.63	127.0	185.11	131.51	127.89	163.28	185.11	236.21	173.85	169.07	17.0	265.87	170.25	159.9	162.14	147.06	80.57	175.07	258.57	159.9	441.64	108.14	177.53	356.05	420.68	157.68	366.09	81.71	100.13	264.03	201.25	102.97
PCDHGC3	145.02	116.78	120.1	177.53	54.72	86.43	59.97	37.85	76.17	476.71	36.01	848.22	1295.13	57.89	44.89	25.35	24.99	50.27	46.84	126.12	50.27	63.89	52.82	59.13	29.91	76.17	84.63	49.21	88.26	575.03	303.44	759.08	297.17	791.35	12.09	170.25	559.28	147.06	217.27	166.73	169.07	928.3	567.1	327.56	603.67	72.52	178.77	688.78	728.11	283.05	620.67	145.02	236.21	166.73	684.02	112.77
PHACTR2	128.79	164.42	138.1	281.09	181.28	147.06	133.36	101.54	162.14	212.78	147.06	412.0	244.57	115.16	191.67	84.04	63.45	30.78	96.68	226.54	95.34	127.0	64.34	348.71	53.95	147.06	173.85	97.36	126.12	269.6	251.48	460.44	314.17	229.72	15.8	387.02	204.07	212.78	267.73	293.07	148.09	403.5	447.82	258.57	480.04	395.18	426.57	559.28	647.07	279.14	612.11	295.11	198.47	460.44	289.02	107.38
PHC1	85.82	170.25	154.42	251.48	75.64	87.65	95.34	149.12	146.03	150.17	72.52	563.18	866.07	152.28	217.27	125.24	75.64	52.82	139.07	176.29	149.12	90.77	103.69	616.37	131.51	123.5	187.71	177.53	162.14	563.18	426.57	624.99	764.36	460.44	17.38	748.61	246.28	242.88	559.28	358.54	301.33	295.11	532.74	928.3	1519.15	295.11	476.71	836.53	1199.98	327.56	1991.0	480.04	384.34	599.49	426.57	195.72
PHF21A	158.79	201.25	187.71	215.77	134.3	130.6	154.42	138.1	161.02	224.97	126.12	616.37	583.07	187.71	151.22	176.29	108.9	153.34	126.12	341.51	206.94	185.11	236.21	267.73	161.02	165.57	229.72	291.04	164.42	295.11	493.56	567.1	529.06	341.51	24.46	466.88	389.72	164.42	277.2	258.57	152.28	351.14	521.76	713.11	1242.34	215.77	525.39	688.78	825.0	256.78	1008.9	305.55	283.05	450.94	511.0	223.41
PIP4K2A	226.54	198.47	162.14	264.03	92.05	116.78	202.66	159.9	112.77	267.73	135.24	339.14	343.89	112.77	123.5	145.02	88.88	265.87	100.13	269.6	305.55	224.97	128.79	297.17	155.5	264.03	267.73	113.56	180.02	603.67	860.08	616.37	693.58	397.93	32.13	432.53	579.04	353.59	518.15	371.22	325.29	532.74	480.04	854.13	660.68	258.57	373.81	819.3	825.0	376.41	470.14	193.01	339.14	450.94	583.07	273.37
PPP1R10	559.28	819.3	579.04	507.46	854.13	486.75	616.37	536.45	890.44	656.11	525.39	595.34	785.88	483.38	447.82	403.5	460.44	567.1	718.08	633.73	587.13	400.71	514.56	693.58	567.1	679.29	713.11	547.75	470.14	674.59	1191.69	748.61	1104.13	629.35	103.69	1350.18	587.13	571.05	1030.12	884.29	947.83	961.07	1001.93	723.08	1233.75	723.08	1015.93	1037.29	884.29	587.13	1225.22	642.59	934.76	518.15	642.59	351.14
PRICKLE2	45.85	64.8	38.4	91.41	24.63	25.91	26.86	27.64	49.91	52.08	18.84	309.83	444.72	13.52	6.36	7.82	3.72	3.86	3.86	16.88	17.64	8.78	4.58	92.05	3.26	6.41	12.93	4.86	22.43	141.02	97.36	124.37	163.28	99.43	0.42	127.89	78.89	85.22	162.14	138.1	96.01	351.14	384.34	503.95	1508.65	40.64	147.06	902.89	1242.34	46.18	1870.53	102.97	91.41	102.97	119.26	59.97
PRKD3	158.79	139.07	170.25	236.21	130.6	151.22	148.09	127.0	140.04	211.31	88.88	314.17	376.41	121.79	234.57	37.85	31.45	51.71	76.71	155.5	129.69	45.53	64.8	217.27	48.87	105.15	181.28	93.35	94.01	248.0	343.89	432.53	260.38	314.17	56.68	371.22	253.23	182.55	285.03	329.84	147.06	420.68	312.0	429.54	595.34	140.04	432.53	493.56	476.71	281.09	438.59	182.55	175.07	244.57	343.89	101.54
PTPN12	395.18	447.82	420.68	525.39	329.84	387.02	356.05	368.65	384.34	555.41	334.46	1191.69	1277.29	281.09	373.81	242.88	193.01	297.17	228.13	403.5	414.87	356.05	223.41	457.25	211.31	316.37	500.46	316.37	371.22	1350.18	1498.22	1561.89	1233.75	1457.23	120.1	995.0	1183.45	497.0	638.15	579.04	866.07	1685.71	1233.75	1081.39	1304.15	808.0	2104.58	1151.06	1498.22	2104.58	1350.18	406.31	587.13	1250.98	1233.75	759.08
PXDN	118.43	142.01	105.89	211.31	68.07	120.94	74.06	66.18	118.43	141.02	74.06	466.88	441.64	281.09	170.25	34.51	48.87	69.52	58.3	283.05	154.42	115.97	65.26	108.9	63.45	426.57	291.04	110.43	224.97	559.28	400.71	860.08	1477.58	1081.39	9.93	387.02	555.41	312.0	202.66	144.01	555.41	275.28	688.78	633.73	2178.83	902.89	269.6	1066.48	1427.22	163.28	1044.52	102.97	105.15	466.88	1233.75	414.87
RAB8B	166.73	126.12	152.28	155.5	53.19	100.83	92.05	90.14	84.04	262.2	70.51	269.6	325.29	108.9	119.26	78.89	52.45	126.12	55.1	176.29	122.64	98.73	81.14	190.34	59.13	94.67	153.34	104.42	81.71	303.44	466.88	503.95	325.29	384.34	80.01	267.73	283.05	185.11	297.17	291.04	185.11	660.68	409.15	480.04	426.57	167.9	224.97	511.0	693.58	139.07	314.17	116.78	212.78	540.19	228.13	111.21
RAI14	101.54	142.01	128.79	220.32	75.64	117.6	77.25	95.34	182.55	169.07	88.88	444.72	483.38	312.0	102.97	62.56	79.45	162.14	115.97	202.66	285.03	99.43	145.02	713.11	118.43	132.44	275.28	164.42	164.42	583.07	543.96	1104.13	651.58	563.18	24.99	733.19	660.68	287.01	780.44	934.76	327.56	470.14	842.36	825.0	2163.77	438.59	470.14	1322.37	1417.35	460.44	536.45	218.79	137.14	255.0	941.27	164.42
RASAL2	94.67	99.43	84.63	72.52	73.54	97.36	49.91	62.12	57.89	166.73	40.36	150.17	120.94	37.85	29.48	35.25	17.51	26.28	26.1	94.01	66.65	43.94	27.05	171.45	26.28	33.78	72.01	66.65	68.07	177.53	194.36	279.14	346.29	212.78	15.45	500.46	133.36	106.63	149.12	226.54	166.73	341.51	293.07	95.34	152.28	152.28	293.07	277.2	293.07	166.73	139.07	143.01	107.38	209.84	301.33	138.1
RB1	236.21	232.94	267.73	262.2	237.86	177.53	346.29	239.52	305.55	387.02	134.3	244.57	373.81	182.55	540.19	65.72	110.43	120.1	189.02	283.05	381.68	125.24	166.73	693.58	166.73	348.71	253.23	150.17	262.2	743.43	915.51	1350.18	543.96	1008.9	218.79	909.17	1199.98	323.03	547.75	497.0	500.46	595.34	884.29	547.75	651.58	616.37	1037.29	674.59	688.78	684.02	559.28	366.09	332.14	830.75	426.57	384.34
RBMS1	158.79	169.07	145.02	260.38	48.18	127.89	81.71	76.17	143.01	228.13	54.72	1477.58	1519.15	368.65	503.95	429.54	249.73	275.28	201.25	336.79	239.52	381.68	231.32	547.75	73.03	165.57	277.2	307.69	343.89	813.63	941.27	796.86	988.12	708.18	105.89	591.22	728.11	444.72	1030.12	808.0	351.14	1037.29	723.08	1104.13	1561.89	400.71	660.68	1127.35	1216.75	518.15	1508.65	264.03	279.14	684.02	941.27	603.67
RBMS2	139.07	195.72	182.55	164.42	119.26	167.9	115.16	144.01	113.56	242.88	75.64	341.51	309.83	93.35	161.02	41.52	62.12	47.84	120.94	199.85	111.99	62.56	83.45	293.07	79.45	71.0	137.14	139.07	112.77	435.55	358.54	651.58	400.71	420.68	29.91	281.09	371.22	204.07	334.46	323.03	239.52	981.29	599.49	246.28	555.41	323.03	521.76	587.13	769.69	170.25	460.44	140.04	126.12	599.49	529.06	144.01
RBMS3	36.01	34.51	32.13	38.12	20.86	20.41	18.84	22.92	29.27	53.57	13.42	395.18	387.02	24.81	15.8	6.84	8.25	13.32	5.59	31.67	23.76	15.34	16.51	27.44	6.84	22.92	26.28	15.91	38.12	211.31	113.56	152.28	215.77	135.24	5.5	44.89	67.12	44.57	134.3	104.42	88.26	231.32	176.29	234.57	454.09	47.5	108.14	412.0	511.0	65.26	470.14	33.54	95.34	356.05	229.72	49.21
RFTN2	18.84	30.12	19.68	18.97	20.56	13.22	20.26	14.56	17.38	40.64	17.13	108.9	165.57	47.84	20.86	72.52	9.27	17.25	19.68	80.57	46.18	17.64	32.36	15.68	14.56	23.42	55.1	15.56	36.01	142.01	58.71	54.72	118.43	62.12	95.34	24.81	52.45	43.63	66.18	49.91	12.64	57.49	68.07	55.1	71.0	35.0	65.72	92.05	103.69	20.41	69.03	17.51	52.82	69.03	158.79	39.22
RNF130	947.83	693.58	896.64	1066.48	660.68	679.29	928.3	825.0	753.83	1073.91	723.08	2271.4	2502.97	1870.53	1066.48	1030.12	1199.98	769.69	693.58	1651.0	1662.49	808.0	941.27	1519.15	1437.15	1407.55	988.12	1378.57	1225.22	2777.33	2287.2	2434.5	1745.2	2739.08	1135.2	1508.65	2664.15	1127.35	1331.57	1388.16	2075.59	3467.27	1540.37	1617.0	1794.29	688.78	1583.71	1674.06	1745.2	1151.06	1769.57	830.75	1313.23	1388.16	2090.03	1733.13
SENP7	152.28	111.21	197.09	138.1	88.26	129.69	99.43	82.29	73.54	170.25	66.18	332.14	466.88	117.6	99.43	80.57	98.04	70.01	147.06	157.68	123.5	55.49	67.12	244.57	109.66	102.97	165.57	113.56	80.57	181.28	339.14	212.78	325.29	279.14	38.67	232.94	204.07	204.07	206.94	198.47	189.02	262.2	285.03	414.87	417.77	152.28	244.57	366.09	400.71	173.85	435.55	314.17	110.43	214.27	214.27	111.99
SEPT7	1268.46	1159.07	1159.07	1561.89	1199.98	1096.5	1295.13	1233.75	1617.0	1806.78	1030.12	2976.74	3168.41	1191.69	1066.48	1216.75	934.76	1369.04	928.3	1104.13	1781.89	1350.18	1268.46	1457.23	1030.12	1350.18	1561.89	1350.18	1733.13	3235.01	3419.52	3303.0	3794.3	3212.66	1159.07	2148.82	2573.36	1844.76	1832.01	1857.6	1950.0	2935.74	2384.37	3325.99	5791.62	1127.35	2451.44	3540.14	3443.31	2915.45	4066.71	1191.69	1685.71	1857.6	3018.3	1832.01
SETD7	167.9	202.66	199.85	246.28	128.79	133.36	142.01	125.24	204.07	283.05	84.63	500.46	802.41	329.84	183.82	567.1	177.53	301.33	155.5	237.86	143.01	177.53	289.02	258.57	224.97	571.05	563.18	237.86	156.59	409.15	483.38	642.59	503.95	540.19	82.29	791.35	616.37	785.88	291.04	343.89	185.11	624.99	674.59	543.96	1369.04	620.67	403.5	928.3	1331.57	176.29	1991.0	253.23	473.41	312.0	420.68	320.8
SH3BP5	397.93	255.0	256.78	423.61	86.43	187.71	139.07	119.26	180.02	371.22	80.01	909.17	1111.82	204.07	301.33	81.71	57.89	387.02	111.99	679.29	277.2	454.09	142.01	1857.6	125.24	435.55	287.01	327.56	279.14	1844.76	490.14	780.44	708.18	583.07	120.94	1540.37	642.59	470.14	1662.49	1417.35	96.01	5006.93	450.94	878.17	457.25	176.29	361.04	743.43	928.3	56.68	444.72	138.1	316.37	1233.75	1551.09	1697.45
SHPRH	39.5	48.87	66.65	39.79	44.57	41.22	57.49	63.45	47.5	98.04	24.11	66.18	121.79	47.17	68.07	22.92	26.47	22.43	51.35	42.71	34.02	36.53	28.65	118.43	31.67	37.59	63.45	21.63	23.08	58.3	88.88	120.94	74.06	68.55	12.64	87.65	57.89	67.59	82.87	117.6	28.65	81.14	175.07	108.9	171.45	93.35	132.44	152.28	177.53	98.04	175.07	71.0	30.56	58.3	40.07	44.89
SLC4A1AP	289.02	269.6	312.0	273.37	260.38	251.48	301.33	265.87	287.01	384.34	246.28	241.19	314.17	189.02	291.04	327.56	199.85	128.79	212.78	205.5	256.78	190.34	170.25	409.15	221.86	198.47	253.23	234.57	217.27	435.55	525.39	463.65	361.04	400.71	58.71	339.14	470.14	242.88	341.51	403.5	348.71	457.25	264.03	312.0	341.51	262.2	348.71	320.8	299.25	454.09	291.04	287.01	301.33	457.25	376.41	232.94
SLFN5	50.27	41.81	57.49	73.03	12.74	26.86	38.4	25.72	33.06	92.05	21.47	91.41	167.9	28.65	71.5	24.81	22.1	27.64	40.07	98.04	98.73	39.5	33.3	88.88	21.63	73.03	115.97	82.29	53.19	307.69	417.77	392.44	316.37	281.09	6.57	209.84	221.86	58.71	139.07	151.22	124.37	346.29	293.07	299.25	353.59	187.71	381.68	336.79	651.58	86.43	291.04	92.05	76.17	212.78	287.01	92.7
