	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZPU1.0826.SM.57WG2	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZE7O.0826.SM.57WCP	TCGA.V1.A9ZR.01A.11R.A41O.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.VN.A88I.01A.11R.A352.07	TCGA.HC.A9TE.01A.11R.A41O.07	TCGA.YL.A8SK.01B.21R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.EJ.A7NH.01A.12R.A33R.07	GTEX.13NZ9.1126.SM.5MR37	GTEX.13VXT.1626.SM.5IJES
HECTD4	334.46	470.14	90.77	182.55	88.26	241.19	116.78	164.42	90.77	181.28	271.48	392.44	197.09	131.51	320.8	287.01	301.33	169.07	166.73	209.84	267.73	343.89	170.25	314.17	291.04	281.09	332.14	339.14	180.02	185.11	214.27	187.71	236.21	336.79	206.94	190.34	379.04	271.48	0.0	0.93	743.43	1104.13	1059.11	902.89	1819.35	1051.79	1639.59	1572.76	896.64	902.89
HMBOX1	246.28	253.23	224.97	241.19	72.01	202.66	118.43	118.43	86.43	102.25	171.45	429.54	161.02	72.01	224.97	141.02	215.77	141.02	156.59	231.32	249.73	299.25	126.12	166.73	239.52	175.07	285.03	376.41	221.86	182.55	133.36	189.02	152.28	157.68	91.41	145.02	244.57	197.09	0.0	0.56	384.34	248.0	262.2	343.89	387.02	376.41	301.33	320.8	872.1	890.44
HNRNPA1L2	112.77	108.14	40.93	54.33	29.91	54.33	20.86	34.51	57.89	37.32	45.53	101.54	80.57	48.18	120.94	59.13	106.63	86.43	124.37	59.55	124.37	92.7	59.55	94.67	92.05	81.71	71.5	139.07	90.14	40.36	66.65	54.33	98.04	102.97	16.51	48.52	86.43	83.45	0.0	0.28	279.14	226.54	239.52	277.2	275.28	246.28	258.57	221.86	301.33	490.14
IKBKB	595.34	447.82	275.28	190.34	149.12	127.89	151.22	187.71	178.77	150.17	253.23	417.77	178.77	149.12	511.0	136.19	454.09	186.4	152.28	246.28	353.59	269.6	201.25	232.94	289.02	197.09	414.87	406.31	180.02	218.79	303.44	208.38	267.73	327.56	108.14	267.73	351.14	140.04	0.0	1.22	941.27	1674.06	860.08	796.86	1023.0	1233.75	748.61	866.07	1313.23	802.41
KIAA1875	39.79	28.86	9.93	11.13	0.0	10.0	2.34	4.24	1.83	0.96	8.99	31.67	7.46	0.69	30.12	6.52	24.63	11.73	12.93	8.13	12.0	22.43	5.96	12.18	17.38	8.99	13.12	25.72	10.16	8.78	12.45	16.88	12.93	15.45	1.01	15.34	17.25	8.85	0.0	0.92	33.78	37.05	37.32	35.25	76.71	45.53	85.22	69.52	24.99	36.27
KLHDC4	435.55	400.71	297.17	221.86	226.54	307.69	279.14	199.85	154.42	201.25	412.0	339.14	253.23	232.94	339.14	295.11	447.82	262.2	301.33	353.59	470.14	332.14	248.0	358.54	493.56	228.13	323.03	336.79	460.44	287.01	366.09	412.0	397.93	299.25	208.38	547.75	248.0	253.23	0.0	0.75	571.05	403.5	579.04	470.14	397.93	688.78	470.14	607.87	642.59	435.55
LIN37	373.81	503.95	208.38	132.44	157.68	208.38	171.45	127.0	85.82	129.69	199.85	253.23	170.25	157.68	215.77	180.02	258.57	136.19	295.11	256.78	220.32	224.97	185.11	229.72	275.28	164.42	239.52	258.57	271.48	264.03	120.1	181.28	137.14	249.73	125.24	187.71	190.34	161.02	0.0	0.56	351.14	363.56	346.29	435.55	503.95	334.46	420.68	414.87	450.94	995.0
LRCH4	1540.37	1437.15	466.88	429.54	301.33	723.08	176.29	281.09	189.02	356.05	417.77	728.11	599.49	397.93	571.05	438.59	591.22	379.04	432.53	423.61	450.94	679.29	775.05	665.29	638.15	483.38	660.68	941.27	503.95	493.56	559.28	836.53	620.67	599.49	460.44	995.0	525.39	346.29	0.0	1.22	1628.26	1081.39	1295.13	1388.16	1674.06	1313.23	1081.39	1662.49	2032.85	1331.57
LRP5L	295.11	258.57	17.77	85.22	22.1	117.6	55.1	36.01	43.02	31.9	111.21	291.04	89.51	38.4	155.5	92.7	241.19	80.01	255.0	97.36	251.48	239.52	41.52	111.99	176.29	124.37	244.57	229.72	119.26	87.03	170.25	131.51	120.1	141.02	82.29	146.03	109.66	189.02	0.0	0.77	231.32	299.25	172.65	205.5	241.19	231.32	183.82	195.72	368.65	189.02
LUC7L	1277.29	1051.79	223.41	473.41	137.14	384.34	161.02	271.48	167.9	228.13	551.56	1096.5	435.55	242.88	1259.69	470.14	954.43	497.0	473.41	540.19	860.08	775.05	503.95	389.72	813.63	457.25	764.36	995.0	612.11	432.53	642.59	638.15	728.11	902.89	293.07	633.73	941.27	688.78	0.0	1.11	2075.59	1662.49	1651.0	2104.58	2090.03	2682.69	1721.16	1909.85	2303.12	3742.05
METTL16	281.09	251.48	152.28	208.38	101.54	150.17	127.0	124.37	190.34	115.16	260.38	420.68	201.25	146.03	316.37	236.21	246.28	178.77	125.24	162.14	269.6	156.59	94.67	165.57	351.14	185.11	169.07	232.94	285.03	123.5	102.25	128.79	178.77	146.03	64.34	102.97	170.25	228.13	199.85	327.56	902.89	733.19	480.04	612.11	454.09	536.45	532.74	438.59	460.44	808.0
METTL17	1447.15	1551.09	507.46	753.83	470.14	808.0	669.92	486.75	703.28	395.18	878.17	1467.37	915.51	575.03	1216.75	708.18	1674.06	819.3	878.17	674.59	1277.29	1378.57	638.15	872.1	1242.34	830.75	1088.92	1304.15	896.64	825.0	854.13	941.27	1199.98	1388.16	376.41	559.28	1135.2	921.88	0.0	1.16	1628.26	1277.29	1175.27	1096.5	1001.93	1572.76	941.27	1191.69	1551.09	1639.59
MORC2	660.68	954.43	201.25	314.17	132.44	320.8	209.84	185.11	267.73	190.34	320.8	450.94	244.57	206.94	366.09	312.0	476.71	299.25	384.34	351.14	500.46	457.25	197.09	287.01	373.81	397.93	325.29	435.55	447.82	267.73	248.0	336.79	279.14	361.04	229.72	366.09	480.04	295.11	0.0	0.82	559.28	764.36	665.29	915.51	791.35	703.28	921.88	708.18	400.71	728.11
MTA1	1359.57	1340.84	325.29	620.67	197.09	423.61	241.19	371.22	241.19	368.65	503.95	995.0	583.07	246.28	728.11	480.04	954.43	432.53	607.87	503.95	878.17	878.17	514.56	813.63	674.59	518.15	723.08	1159.07	521.76	447.82	642.59	830.75	571.05	616.37	236.21	633.73	728.11	540.19	0.0	1.33	1617.0	2303.12	1594.73	2104.58	1794.29	2417.67	2178.83	2319.15	1628.26	3212.66
MZF1	457.25	228.13	85.82	131.51	28.04	129.69	55.89	76.17	83.45	64.34	163.28	361.04	102.97	58.3	289.02	92.7	244.57	145.02	105.15	173.85	232.94	253.23	86.43	120.1	143.01	198.47	256.78	293.07	163.28	109.66	173.85	145.02	166.73	236.21	84.04	96.01	178.77	125.24	0.0	1.01	1832.01	688.78	660.68	718.08	791.35	764.36	802.41	896.64	808.0	1304.15
NBEAL2	842.36	693.58	120.94	63.89	69.03	199.85	63.0	99.43	76.17	94.67	109.66	205.5	104.42	75.64	251.48	176.29	202.66	53.19	57.08	170.25	148.09	251.48	202.66	139.07	358.54	154.42	348.71	251.48	301.33	153.34	204.07	194.36	151.22	182.55	55.49	125.24	262.2	35.5	0.0	1.3	988.12	884.29	1015.93	1119.56	2468.49	1340.84	836.53	981.29	1674.06	612.11
NPHP4	70.51	35.76	13.83	6.11	15.11	14.24	3.11	8.19	49.91	4.62	41.81	66.18	21.47	19.82	33.3	43.32	45.53	2.89	66.18	108.14	100.13	51.71	64.8	31.9	8.38	12.55	28.24	170.25	70.01	55.49	23.42	14.14	49.91	81.14	2.92	12.18	43.94	6.84	0.0	0.69	283.05	81.71	107.38	108.14	91.41	140.04	132.44	113.56	301.33	162.14
NPIPB3	1781.89	2119.22	173.85	450.94	87.65	303.44	152.28	209.84	220.32	205.5	723.08	1709.26	848.22	256.78	1508.65	555.41	1806.78	366.09	563.18	616.37	1572.76	1175.27	1051.79	718.08	1259.69	616.37	1175.27	1617.0	555.41	567.1	1037.29	830.75	813.63	769.69	152.28	1001.93	1322.37	1088.92	0.0	1.27	3168.41	2004.85	2133.97	1857.6	4802.93	2895.31	2816.11	2209.26	3349.13	2104.58
NPIPB6	11.82	10.63	0.0	0.0	0.0	1.73	0.0	0.27	1.23	1.14	2.97	11.38	2.29	0.4	6.52	0.72	2.1	4.58	3.32	6.41	1.73	10.0	5.82	4.24	0.6	4.58	2.68	4.13	0.83	2.07	2.14	1.69	1.3	6.62	0.0	1.62	7.17	7.4	0.0	0.4	42.71	58.3	69.52	23.59	67.59	23.08	84.04	59.55	65.72	72.52
NSG1	33.3	38.12	4.24	4.24	1.28	10.55	3.76	5.68	8.32	5.41	3.72	9.85	3.08	0.55	7.34	3.53	16.63	3.59	6.31	6.26	3.32	11.91	0.83	7.06	18.03	10.96	17.64	6.84	5.54	3.56	6.84	8.65	25.72	18.16	1.13	3.92	28.45	3.44	0.0	0.25	195.72	406.31	148.09	175.07	75.64	229.72	87.03	157.68	11.73	518.15
NUTM2A	49.56	58.71	22.43	39.5	8.38	25.72	1.04	14.67	11.82	8.51	0.69	24.99	0.0	8.0	26.28	3.82	21.01	20.56	46.84	13.03	38.12	13.62	0.95	19.11	25.91	7.82	22.59	44.57	2.73	23.76	22.92	20.26	10.71	5.32	7.88	11.82	11.21	32.36	0.0	0.14	139.07	73.03	66.18	41.52	59.97	58.71	75.64	111.21	48.52	24.11
OSGEP	802.41	769.69	346.29	480.04	297.17	563.18	356.05	387.02	368.65	325.29	490.14	723.08	432.53	441.64	656.11	490.14	813.63	460.44	379.04	320.8	674.59	878.17	587.13	567.1	616.37	540.19	563.18	748.61	620.67	698.41	532.74	571.05	830.75	872.1	271.48	642.59	743.43	470.14	0.0	0.65	1757.34	842.36	1051.79	1111.82	909.17	1268.46	872.1	941.27	967.76	1457.23
PARP10	2119.22	3039.3	791.35	599.49	327.56	1674.06	325.29	514.56	395.18	318.57	791.35	1467.37	1159.07	490.14	2178.83	981.29	2178.83	1104.13	1037.29	1794.29	1407.55	1923.14	1104.13	3190.46	2061.24	1477.58	1781.89	2148.82	842.36	3847.29	995.0	947.83	988.12	1806.78	532.74	583.07	1023.0	2018.8	0.0	0.89	3303.0	1447.15	2193.99	1417.35	1662.49	2417.67	2875.3	1583.71	2451.44	2133.97
PCDHGA7	15.8	45.21	8.19	4.5	0.66	10.63	2.34	5.41	8.71	11.47	1.17	31.9	3.72	6.52	4.17	12.09	11.55	2.39	12.45	15.8	2.18	12.64	2.32	4.86	5.73	24.81	8.85	29.91	9.78	0.82	7.28	2.43	15.45	5.11	6.26	1.31	3.47	17.77	0.0	0.27	79.45	38.95	32.59	40.64	111.21	21.63	51.35	58.3	36.27	103.69
PCP2	37.32	27.44	4.35	13.32	0.3	41.22	1.08	5.92	1.77	0.99	15.22	87.65	33.3	8.71	66.18	11.38	46.18	15.0	27.44	31.22	53.95	55.89	19.97	27.25	24.11	16.75	21.16	69.52	16.88	25.54	12.09	14.14	12.45	41.22	10.63	27.25	19.25	19.97	0.0	0.39	90.77	109.66	183.82	264.03	140.04	166.73	167.9	229.72	156.59	60.39
PCSK7	890.44	733.19	231.32	170.25	412.0	318.57	177.53	371.22	189.02	246.28	182.55	379.04	218.79	246.28	312.0	275.28	339.14	232.94	161.02	323.03	281.09	400.71	346.29	320.8	356.05	186.4	490.14	423.61	480.04	346.29	287.01	348.71	409.15	444.72	172.65	366.09	299.25	170.25	295.11	363.56	718.08	1529.73	764.36	2976.74	848.22	1427.22	860.08	995.0	1350.18	1819.35
PILRB	2240.11	1583.71	116.78	363.56	90.77	392.44	559.28	500.46	346.29	307.69	738.29	1268.46	890.44	197.09	825.0	624.99	902.89	543.96	583.07	447.82	1051.79	941.27	775.05	947.83	780.44	642.59	780.44	3039.3	473.41	532.74	599.49	435.55	647.07	1397.83	403.5	974.5	1359.57	616.37	0.0	1.31	2895.31	2502.97	1651.0	1605.83	3639.7	2434.5	2004.85	3467.27	1806.78	2468.49
PISD	629.35	607.87	307.69	281.09	205.5	285.03	208.38	295.11	202.66	193.01	332.14	480.04	223.41	368.65	312.0	320.8	379.04	228.13	232.94	368.65	454.09	454.09	299.25	329.84	341.51	406.31	470.14	403.5	307.69	291.04	381.68	389.72	473.41	246.28	151.22	371.22	420.68	232.94	0.0	0.69	392.44	607.87	571.05	713.11	547.75	728.11	540.19	616.37	988.12	961.07
PKP4	642.59	595.34	234.57	303.44	271.48	291.04	373.81	332.14	287.01	291.04	612.11	400.71	381.68	351.14	567.1	406.31	379.04	412.0	164.42	226.54	543.96	447.82	420.68	764.36	607.87	258.57	848.22	420.68	660.68	295.11	256.78	297.17	703.28	638.15	204.07	159.9	351.14	450.94	325.29	426.57	860.08	1088.92	738.29	718.08	693.58	848.22	819.3	791.35	1225.22	624.99
PLA2G4B	267.73	164.42	48.87	76.71	5.82	79.45	26.67	42.11	21.63	21.01	80.57	183.82	63.89	24.28	166.73	87.65	131.51	78.34	56.28	86.43	182.55	148.09	70.51	84.04	120.1	77.79	107.38	181.28	89.51	70.01	127.0	127.89	82.29	97.36	36.27	78.34	129.69	90.14	0.0	1.1	791.35	320.8	299.25	297.17	629.35	708.18	435.55	599.49	547.75	258.57
PLXNB1	2119.22	2061.24	1104.13	1487.87	265.87	1037.29	473.41	1096.5	713.11	915.51	1242.34	2720.15	1529.73	1051.79	1674.06	860.08	2956.17	836.53	633.73	1295.13	1378.57	1769.57	1498.22	1331.57	1662.49	1397.83	2417.67	3060.45	1437.15	921.88	1936.53	1088.92	2384.37	1617.0	514.56	813.63	1583.71	1143.1	0.0	1.11	4038.61	1617.0	1540.37	2451.44	2758.13	2502.97	1769.57	2451.44	1674.06	1781.89
PNPLA2	2855.44	4736.79	1950.0	3665.02	1151.06	2645.74	1733.13	1175.27	738.29	1295.13	2417.67	7130.55	2555.58	825.0	4869.99	1277.29	4575.41	2319.15	2209.26	3419.52	3257.52	3928.15	3060.45	1417.35	2224.63	3690.52	3589.58	4152.18	2255.7	2520.38	2591.27	2018.8	2075.59	2255.7	2573.36	2537.92	4419.52	1605.83	0.0	0.97	9409.14	3395.89	3190.46	3690.52	3039.3	3190.46	3103.19	3212.66	3018.3	3212.66
POMZP3	212.78	141.02	34.75	140.04	33.54	126.12	65.72	88.26	125.24	86.43	92.7	118.43	84.04	15.91	87.65	186.4	119.26	77.79	92.7	39.79	129.69	94.01	85.22	72.01	167.9	73.54	98.73	161.02	90.14	58.71	158.79	47.5	47.5	56.68	118.43	84.04	128.79	98.73	0.0	0.49	563.18	551.56	143.01	624.99	825.0	356.05	256.78	547.75	224.97	651.58
PPIL2	878.17	1023.0	389.72	435.55	303.44	406.31	358.54	379.04	348.71	267.73	616.37	540.19	438.59	490.14	665.29	480.04	915.51	563.18	507.46	412.0	802.41	591.22	387.02	450.94	703.28	438.59	693.58	764.36	483.38	603.67	447.82	595.34	703.28	733.19	400.71	329.84	595.34	497.0	0.0	0.77	728.11	1015.93	1066.48	909.17	1191.69	1088.92	974.5	1359.57	961.07	1059.11
PPP1R12C	1977.24	1950.0	785.88	866.07	703.28	941.27	642.59	693.58	358.54	647.07	780.44	1498.22	902.89	529.06	1487.87	693.58	1191.69	688.78	921.88	1037.29	1081.39	1059.11	954.43	934.76	1277.29	848.22	1340.84	1313.23	1199.98	764.36	941.27	1268.46	872.1	1111.82	473.41	1242.34	915.51	884.29	0.0	1.27	3235.01	3190.46	1909.85	4607.24	2271.4	3060.45	2335.28	2468.49	2224.63	6561.36
PPT2-EGFL8	140.04	80.57	7.69	12.93	1.85	21.32	2.61	8.19	8.0	9.85	23.08	114.36	28.65	3.53	30.78	9.06	34.75	20.41	22.92	31.22	29.48	71.0	18.43	35.76	32.13	60.82	34.02	50.27	31.22	16.03	28.45	23.25	33.78	33.78	7.22	27.05	50.27	16.27	0.0	0.83	116.78	180.02	93.35	156.59	64.8	172.65	154.42	181.28	126.12	218.79
PRIMA1	21.32	59.97	12.93	2.78	14.56	7.51	0.25	4.06	6.84	18.84	0.67	17.9	3.59	1.77	15.22	10.63	16.75	2.41	4.35	9.85	7.0	26.86	0.61	2.78	17.51	32.13	15.0	9.78	25.17	1.85	3.86	4.98	17.9	15.56	2.12	13.93	11.13	3.5	0.0	0.23	91.41	94.67	58.71	183.82	27.64	161.02	78.89	126.12	51.71	1066.48
PRPF3	947.83	1498.22	212.78	403.5	110.43	460.44	187.71	171.45	381.68	182.55	480.04	1023.0	521.76	155.5	738.29	356.05	974.5	460.44	403.5	400.71	733.19	947.83	392.44	444.72	775.05	540.19	738.29	1081.39	476.71	327.56	521.76	603.67	543.96	753.83	154.42	514.56	575.03	400.71	0.0	1.19	1870.53	1757.34	1059.11	1119.56	1437.15	1572.76	1417.35	1313.23	1295.13	1286.18
PRSS50	38.67	163.28	6.78	8.58	0.0	12.93	0.09	0.8	0.15	0.0	18.16	51.35	19.25	0.13	45.85	12.64	17.77	7.94	19.53	7.28	43.63	43.63	7.51	17.64	24.46	29.48	32.13	80.57	17.13	36.53	25.17	10.47	27.84	31.0	3.96	12.64	22.1	22.26	0.0	0.89	108.14	37.05	26.86	57.49	9.56	105.89	49.91	78.34	251.48	223.41
PSD	71.0	95.34	46.18	57.08	11.21	55.1	8.71	42.71	22.43	27.44	50.63	85.82	34.75	14.24	46.18	61.25	23.42	47.5	39.22	30.56	38.95	85.22	56.68	62.12	76.71	54.33	81.14	67.12	22.92	29.7	27.84	35.5	32.59	62.12	41.22	25.35	33.54	33.06	0.0	0.39	180.02	146.03	128.79	144.01	74.06	151.22	125.24	125.24	130.6	5255.91
PTOV1	2997.45	3395.89	2485.67	2133.97	1295.13	3280.18	1369.04	1295.13	1268.46	1529.73	2255.7	3081.75	2351.53	1594.73	2915.45	2875.3	3235.01	2573.36	1870.53	3124.78	2796.65	3212.66	2758.13	2319.15	2976.74	2645.74	2739.08	2956.17	2720.15	3039.3	3349.13	3190.46	2739.08	2520.38	1977.24	2573.36	3103.19	2609.3	0.0	0.99	4736.79	3716.2	6745.86	5329.3	6337.83	5255.91	6840.04	8778.97	6079.61	8022.41
RABGGTA	679.29	954.43	409.15	406.31	285.03	400.71	334.46	351.14	214.27	241.19	316.37	708.18	346.29	309.83	575.03	381.68	518.15	297.17	327.56	332.14	660.68	563.18	373.81	470.14	599.49	346.29	500.46	500.46	417.77	454.09	447.82	397.93	454.09	507.46	273.37	320.8	599.49	251.48	0.0	0.67	1605.83	791.35	813.63	769.69	612.11	842.36	802.41	1044.52	1119.56	1295.13
RBBP6	642.59	540.19	305.55	361.04	351.14	387.02	198.47	312.0	341.51	376.41	368.65	647.07	373.81	291.04	567.1	373.81	480.04	336.79	397.93	371.22	406.31	759.08	753.83	351.14	525.39	389.72	497.0	728.11	361.04	575.03	521.76	529.06	500.46	497.0	260.38	426.57	507.46	493.56	0.0	0.4	651.58	941.27	753.83	679.29	759.08	1104.13	825.0	808.0	1015.93	1498.22
RBM6	1540.37	1498.22	361.04	466.88	209.84	406.31	229.72	470.14	351.14	457.25	684.02	1081.39	543.96	438.59	1030.12	583.07	842.36	547.75	629.35	583.07	642.59	1081.39	698.41	728.11	1051.79	567.1	909.17	884.29	825.0	493.56	718.08	866.07	813.63	961.07	307.69	866.07	981.29	559.28	819.3	607.87	2178.83	2367.9	2148.82	1806.78	4181.07	3349.13	3081.75	3467.27	3639.7	3372.43
REC8	819.3	483.38	40.64	37.05	18.56	163.28	22.1	45.53	33.3	66.65	73.54	108.9	85.82	37.59	480.04	75.64	301.33	43.02	61.25	211.31	297.17	97.36	163.28	169.07	236.21	78.34	426.57	163.28	237.86	251.48	121.79	265.87	170.25	591.22	17.25	363.56	134.3	122.64	0.0	0.95	1757.34	312.0	389.72	379.04	403.5	525.39	536.45	248.0	536.45	1572.76
RECQL5	860.08	860.08	208.38	283.05	104.42	285.03	144.01	153.34	244.57	195.72	363.56	825.0	305.55	189.02	483.38	269.6	638.15	275.28	314.17	336.79	599.49	591.22	325.29	348.71	518.15	454.09	454.09	743.43	351.14	299.25	318.57	299.25	384.34	454.09	137.14	267.73	429.54	289.02	0.0	0.59	743.43	567.1	759.08	660.68	1001.93	836.53	825.0	934.76	1639.59	819.3
RNF31	1037.29	1963.57	624.99	511.0	376.41	674.59	339.14	403.5	450.94	493.56	373.81	988.12	842.36	417.77	954.43	454.09	1143.1	518.15	665.29	674.59	620.67	500.46	466.88	796.86	825.0	723.08	819.3	1051.79	473.41	791.35	507.46	656.11	466.88	1225.22	400.71	351.14	825.0	497.0	0.0	0.73	1081.39	1331.57	1378.57	1175.27	1447.15	1757.34	1561.89	1331.57	1225.22	2061.24
RP11-156E8.1	13.32	8.38	5.82	6.31	1.64	2.25	1.85	0.62	0.04	1.5	3.63	5.45	1.11	3.29	8.71	5.06	3.99	6.57	5.15	5.32	8.19	7.94	1.16	8.13	4.98	9.85	10.08	7.63	2.34	1.39	5.02	3.32	4.66	4.03	0.79	1.14	1.28	3.08	0.0	0.27	36.27	61.68	17.51	48.52	22.43	26.67	17.25	40.07	23.59	40.07
RP11-166B2.1	164.42	19.82	21.78	49.56	2.2	18.43	4.94	6.52	27.25	34.75	48.87	151.22	54.72	6.41	44.89	87.65	64.8	24.28	28.86	32.82	177.53	232.94	70.01	58.71	92.7	22.92	46.5	231.32	29.27	35.5	101.54	85.82	58.71	40.36	4.5	11.55	73.03	33.3	0.0	0.85	400.71	63.45	88.26	63.0	285.03	124.37	124.37	155.5	409.15	202.66
RRNAD1	1119.56	1844.76	669.92	723.08	301.33	587.13	353.59	379.04	403.5	327.56	813.63	1551.09	796.86	271.48	1340.84	624.99	1119.56	759.08	872.1	836.53	1250.98	1096.5	825.0	890.44	995.0	791.35	1015.93	1295.13	575.03	665.29	728.11	775.05	836.53	1175.27	555.41	785.88	1030.12	915.51	0.0	0.67	1369.04	1540.37	1359.57	1199.98	1378.57	1340.84	1313.23	1417.35	1498.22	1498.22
RTEL1-TNFRSF6B	117.6	77.79	8.71	22.1	13.03	14.78	19.53	16.88	11.91	25.17	23.93	77.25	29.06	14.56	21.94	15.0	46.84	37.32	20.86	22.75	40.93	48.87	43.63	22.92	40.93	16.88	50.63	57.49	20.11	22.26	28.04	36.01	42.11	32.59	10.63	15.8	27.84	7.94	0.0	1.17	63.0	89.51	92.05	151.22	130.6	122.64	121.79	156.59	127.89	305.55
RUSC2	417.77	108.14	99.43	255.0	84.04	136.19	91.41	85.22	94.67	53.57	122.64	218.79	155.5	45.85	107.38	144.01	117.6	72.01	92.05	108.14	119.26	221.86	114.36	189.02	171.45	85.22	151.22	123.5	389.72	159.9	92.05	146.03	150.17	165.57	57.08	152.28	130.6	138.1	0.0	0.71	301.33	332.14	159.9	480.04	371.22	281.09	256.78	246.28	295.11	447.82
RXRB	1151.06	796.86	400.71	454.09	157.68	454.09	297.17	204.07	351.14	198.47	454.09	854.13	423.61	264.03	591.22	329.84	947.83	406.31	470.14	503.95	723.08	708.18	454.09	514.56	532.74	486.75	674.59	1037.29	423.61	400.71	543.96	470.14	713.11	698.41	248.0	373.81	551.56	371.22	0.0	0.71	967.76	1191.69	961.07	1268.46	896.64	1183.45	1051.79	1096.5	1225.22	1844.76
SAFB2	1199.98	1216.75	514.56	454.09	305.55	656.11	358.54	497.0	536.45	384.34	503.95	1242.34	587.13	356.05	1059.11	612.11	941.27	571.05	612.11	764.36	748.61	909.17	693.58	769.69	1001.93	733.19	915.51	1066.48	575.03	514.56	764.36	860.08	738.29	967.76	267.73	579.04	808.0	733.19	0.0	0.65	1242.34	1685.71	2047.0	1832.01	1832.01	1977.24	2434.5	2417.67	2061.24	2997.45
SGSM2	674.59	981.29	255.0	195.72	88.88	218.79	57.08	100.13	81.71	111.21	295.11	743.43	249.73	177.53	651.58	226.54	500.46	228.13	241.19	226.54	392.44	320.8	529.06	493.56	389.72	226.54	567.1	759.08	303.44	176.29	314.17	457.25	738.29	256.78	87.65	571.05	525.39	366.09	0.0	1.04	1350.18	2271.4	2384.37	1883.54	1104.13	2384.37	1963.57	2720.15	1963.57	1427.22
SLC25A41	6.11	14.24	0.93	0.0	1.06	6.11	2.27	1.64	2.84	1.6	12.0	9.41	10.0	4.5	17.77	4.66	4.54	3.56	1.0	19.11	9.93	1.01	10.0	1.99	0.39	1.95	3.79	20.56	6.06	12.74	3.14	2.23	10.0	5.02	4.06	2.16	17.51	12.83	0.0	0.13	18.56	49.91	16.27	29.48	11.21	12.74	31.67	55.89	4.03	12.36
SMEK1	1104.13	1225.22	587.13	684.02	423.61	842.36	403.5	368.65	579.04	555.41	785.88	1313.23	743.43	616.37	1096.5	954.43	1313.23	595.34	813.63	511.0	967.76	884.29	733.19	1001.93	1151.06	791.35	1216.75	974.5	679.29	703.28	842.36	1104.13	896.64	1037.29	389.72	669.92	995.0	961.07	0.0	0.78	1709.26	1151.06	1023.0	1001.93	1073.91	1331.57	1143.1	1088.92	1242.34	1199.98
SMG6	587.13	379.04	265.87	320.8	198.47	368.65	181.28	132.44	133.36	158.79	325.29	595.34	409.15	152.28	483.38	444.72	379.04	234.57	236.21	262.2	420.68	432.53	314.17	409.15	420.68	500.46	460.44	457.25	363.56	223.41	241.19	198.47	325.29	305.55	251.48	348.71	579.04	493.56	0.0	0.58	1001.93	1037.29	775.05	1295.13	819.3	775.05	928.3	860.08	1073.91	1498.22
SMIM7	1721.16	3146.52	2075.59	2032.85	1561.89	1674.06	1551.09	1322.37	1617.0	1015.93	2835.7	2004.85	2351.53	1487.87	2351.53	2468.49	2400.97	2701.35	2224.63	1857.6	2664.15	2133.97	1844.76	1594.73	2682.69	2255.7	2627.46	2075.59	2777.33	1781.89	2061.24	1551.09	2875.3	2061.24	1757.34	941.27	1950.0	2240.11	1697.45	249.73	3443.31	3146.52	3168.41	2400.97	3874.05	2485.67	3081.75	3103.19	2335.28	2417.67
