	TCGA.GV.A3QK.01B.11R.A23N.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.XF.A8HG.01A.11R.A36F.07	TCGA.W5.AA2G.01A.11R.A41I.07	TCGA.W5.AA33.01A.11R.A41I.07	GTEX.XBEW.1926.SM.4SOJO	TCGA.LN.A5U7.01A.11R.A31P.31	TCGA.LN.A5U7.01A.11R.A31P.31.1	GTEX.117YW.2026.SM.5N9BH	TCGA.KO.8403.01A.11R.2315.07	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.AK.3465.01A.02R.1325.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.WJ.A86L.01A.12R.A39D.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.A1EJ.01A.11R.A155.07	TCGA.RC.A7SB.01A.21R.A352.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.X4EP.1026.SM.4QAS5	GTEX.14AS3.0126.SM.5Q5F4	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.ZVT4.0626.SM.5E45T	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.60.2722.01A.01R.0851.07	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CG.4304.01A.01R.1157.13	TCGA.CG.4466.01A.01R.1157.13	TCGA.BR.8483.01A.31R.2402.13	GTEX.Y5V6.1326.SM.4VDTF	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07
HAO1	0.0	0.34	0.0	0.0	1066.48	529.06	0.0	0.0	0.0	0.0	0.0	5.92	0.42	2119.22	1066.48	3257.52	2104.58	3419.52	19892.37	21617.82	6745.86	7966.99	4268.94	8421.31	15499.21	9344.14	9088.59	39785.74	3690.52	56265.94	21768.19	12943.04	58655.36	7911.95	28132.47	15824.9	17437.64	1745.2	35363.15	16611.71	13123.73	22225.61	14765.09	18819.27	14065.74	5872.48	19082.0	3419.52	16269.83	21172.91	29943.43	56265.94	3349.13	30572.63	0.0	0.0	0.0	1.33	1.27	0.0	0.0	0.69	0.0	0.0
HDAC6	902.89	902.89	890.44	909.17	1369.04	1519.15	1519.15	813.63	813.63	1304.15	909.17	1088.92	1051.79	1529.73	2224.63	1697.45	1936.53	2664.15	3690.52	2796.65	4512.4	4066.71	5751.61	5329.3	3419.52	3081.75	4512.4	3235.01	4937.99	2224.63	2287.2	4328.55	2835.7	3103.19	4639.29	3589.58	4704.07	1963.57	4388.98	3639.7	3716.2	4575.41	3443.31	2193.99	4512.4	5751.61	2701.35	4328.55	2701.35	4328.55	6699.25	1857.6	3060.45	3443.31	0.0	1.08	616.37	1191.69	1183.45	934.76	1806.78	638.15	1127.35	928.3
HSD17B8	651.58	283.05	373.81	444.72	325.29	753.83	915.51	193.01	193.01	400.71	769.69	341.51	759.08	1350.18	748.61	1151.06	1208.34	1096.5	3018.3	4095.0	1896.65	2255.7	2119.22	2956.17	2664.15	2468.49	2451.44	4481.23	2018.8	1340.84	3212.66	3103.19	4802.93	1909.85	3325.99	3018.3	3081.75	1498.22	4937.99	2997.45	1794.29	2997.45	2468.49	3443.31	2400.97	3955.48	3540.14	2075.59	3874.05	2777.33	2090.03	3395.89	1498.22	2468.49	0.0	0.28	376.41	187.71	563.18	320.8	447.82	642.59	1135.2	591.22
IDNK	63.0	133.36	161.02	214.27	373.81	244.57	253.23	73.03	73.03	204.07	113.56	356.05	134.3	733.19	460.44	384.34	629.35	463.65	1628.26	2148.82	2104.58	1529.73	915.51	1757.34	1378.57	988.12	2287.2	2739.08	591.22	2520.38	2178.83	1304.15	1508.65	2163.77	1378.57	2255.7	1963.57	967.76	1757.34	1909.85	1313.23	2178.83	1769.57	1991.0	1832.01	1806.78	2209.26	638.15	1397.83	1259.69	1286.18	1467.37	669.92	1769.57	0.0	0.23	116.78	169.07	397.93	169.07	129.69	166.73	125.24	113.56
KDM8	108.14	57.49	50.98	36.27	466.88	287.01	178.77	47.17	47.17	87.03	105.15	84.04	111.99	87.65	738.29	389.72	361.04	172.65	1183.45	4512.4	2075.59	14361.31	4181.07	10659.59	8538.88	2193.99	2895.31	529.06	1191.69	5441.3	3212.66	2148.82	1794.29	5183.54	4972.34	5517.27	988.12	1066.48	1096.5	1583.71	10440.2	5366.37	4450.27	6699.25	5329.3	6250.56	2537.92	830.75	8421.31	3039.3	1030.12	1923.14	1991.0	7032.37	0.0	0.06	21.94	72.01	83.45	55.49	38.4	82.87	94.01	173.85
KLKB1	5.06	13.83	0.77	0.41	493.56	289.02	11.64	0.0	0.0	83.45	19.82	32.13	18.97	693.58	1268.46	620.67	305.55	733.19	3039.3	8963.45	5791.62	4512.4	3928.15	8421.31	6164.49	3564.78	8718.32	6699.25	2895.31	15180.22	5329.3	6561.36	8247.98	3982.99	4802.93	6652.97	11345.82	2758.13	11664.82	6426.31	4358.66	10440.2	7032.37	13033.07	9279.58	6935.54	8078.22	2018.8	6983.79	4123.49	5954.47	4388.98	536.45	9344.14	0.0	0.28	1.0	16.03	7.82	16.03	12.27	7.75	37.05	29.7
MAOB	5.92	2.81	29.7	2.01	3372.43	2004.85	318.57	12.0	12.0	1295.13	17.9	100.13	293.07	3124.78	2032.85	2018.8	2104.58	4181.07	4704.07	6207.38	5403.7	4903.87	3540.14	6381.92	5831.91	4802.93	5517.27	7911.95	2573.36	13586.57	6935.54	5112.16	9344.14	6294.04	6250.56	6699.25	7966.99	3690.52	7280.4	5555.65	5255.91	7537.18	6337.83	7180.15	5076.84	4736.79	7180.15	3039.3	5441.3	5954.47	6699.25	7695.57	2956.17	8022.41	0.0	0.55	15.68	384.34	147.06	49.91	147.06	620.67	15.91	1350.18
MARC2	148.09	19.39	141.02	164.42	921.88	1015.93	559.28	47.17	47.17	813.63	665.29	743.43	884.29	2018.8	1617.0	2133.97	444.72	1437.15	2976.74	6887.62	2609.3	3768.09	5711.87	5555.65	4450.27	4607.24	6745.86	5633.22	1936.53	5183.54	5366.37	7331.05	4481.23	2682.69	5112.16	5255.91	5751.61	1909.85	4450.27	4704.07	2875.3	5594.3	5517.27	6840.04	5441.3	7589.61	3372.43	2384.37	5711.87	6250.56	5633.22	3124.78	1651.0	5872.48	0.0	0.74	31.67	563.18	791.35	493.56	674.59	599.49	1268.46	1498.22
MGMT	693.58	231.32	723.08	624.99	796.86	540.19	728.11	165.57	165.57	748.61	426.57	153.34	483.38	2240.11	1191.69	1008.9	1304.15	974.5	1950.0	2351.53	3742.05	2032.85	2335.28	4903.87	2997.45	2573.36	3039.3	5292.48	2573.36	3146.52	4575.41	4419.52	4836.35	1551.09	4575.41	3039.3	1721.16	1794.29	4239.45	5112.16	2434.5	3874.05	5517.27	5112.16	4066.71	2895.31	3614.55	3060.45	4903.87	3955.48	3614.55	2627.46	1963.57	1909.85	0.0	0.53	121.79	363.56	329.84	208.38	320.8	599.49	547.75	438.59
MTHFD1	1119.56	780.44	1059.11	1340.84	1628.26	1437.15	909.17	1896.65	1896.65	607.87	928.3	733.19	954.43	4671.57	1250.98	2384.37	981.29	6471.02	9215.48	13492.72	5711.87	9474.59	7695.57	14561.8	6471.02	8778.97	11584.24	17804.06	3874.05	13872.08	7589.61	9151.82	15392.14	7032.37	5403.7	12943.04	22225.61	4010.71	8134.41	13681.08	8305.36	14065.74	15392.14	23169.48	7485.11	9540.5	11909.94	6561.36	8718.32	11112.3	21768.19	12415.75	3716.2	9025.81	0.0	0.57	718.08	1030.12	1104.13	2104.58	1023.0	802.41	1199.98	1081.39
MUT	285.03	152.28	186.4	224.97	511.0	417.77	457.25	237.86	237.86	221.86	547.75	417.77	693.58	708.18	348.71	591.22	679.29	909.17	1674.06	2758.13	2193.99	1674.06	1844.76	2119.22	3349.13	2178.83	2224.63	5006.93	1340.84	4450.27	3168.41	2682.69	3820.7	1594.73	2209.26	2555.58	3395.89	967.76	3742.05	2875.3	1617.0	3124.78	3039.3	3742.05	2956.17	1832.01	2997.45	1242.34	1844.76	1685.71	2976.74	3060.45	1359.57	3168.41	0.0	0.0	218.79	251.48	406.31	379.04	246.28	543.96	547.75	620.67
NPC1L1	0.38	0.35	0.0	0.4	126.12	74.58	2.92	5.5	5.5	18.03	2.39	2.03	2.66	18.03	73.03	336.79	884.29	98.73	967.76	314.17	1819.35	9474.59	15824.9	4802.93	4239.45	1617.0	529.06	559.28	1883.54	1781.89	234.57	723.08	1651.0	22.43	6294.04	2335.28	323.03	220.32	4328.55	1806.78	1286.18	796.86	1135.2	10.79	171.45	16383.0	295.11	1427.22	543.96	87.65	1447.15	1175.27	3349.13	253.23	0.0	0.27	0.95	140.04	144.01	8.38	4.62	6.57	1.1	1.38
OTC	0.73	0.0	0.0	0.0	371.22	1151.06	193.01	0.0	0.0	0.0	2.78	0.0	4.31	3372.43	77.79	336.79	493.56	1498.22	5913.33	15392.14	10154.69	5292.48	5329.3	8078.22	12244.81	3146.52	4769.75	35363.15	848.22	30572.63	11267.44	8718.32	16843.62	7081.29	4639.29	10959.3	7911.95	3820.7	19892.37	11189.6	4388.98	9540.5	8538.88	17927.91	16960.78	5112.16	20737.16	2451.44	7695.57	4268.94	14262.1	10883.59	1605.83	10084.54	0.0	0.0	0.0	55.49	102.97	0.0	1.17	1498.22	0.0	0.0
OXER1	27.44	5.15	14.14	17.9	70.51	180.02	96.68	14.14	14.14	55.49	14.45	6.89	21.94	595.34	764.36	1143.1	175.07	703.28	511.0	1769.57	3081.75	2591.27	2434.5	1242.34	1350.18	536.45	3103.19	3665.02	591.22	1135.2	555.41	2178.83	1844.76	941.27	1277.29	1551.09	1457.23	785.88	2018.8	1794.29	426.57	743.43	2133.97	1427.22	2434.5	2573.36	1397.83	836.53	981.29	587.13	2701.35	269.6	318.57	3280.18	0.0	0.38	4.17	19.97	112.77	30.12	32.36	29.27	24.28	57.08
PCK2	1191.69	796.86	981.29	1359.57	1819.35	1051.79	3081.75	353.59	353.59	146.03	412.0	633.73	426.57	8479.89	3103.19	5672.41	2591.27	5441.3	29327.18	35118.87	13492.72	20451.65	16727.26	23656.34	20451.65	16727.26	38164.99	81809.59	7331.05	29736.59	20310.37	38430.46	37121.34	23656.34	27553.49	28525.2	25887.07	9740.98	48307.85	43840.21	10959.3	22225.61	35118.87	35609.13	22850.48	32315.87	38697.77	11992.79	29736.59	18560.17	34158.52	40062.48	6426.31	23820.89	0.0	0.0	2148.82	514.56	1313.23	507.46	384.34	470.14	884.29	1909.85
PEX11G	130.6	208.38	251.48	89.51	142.01	262.2	305.55	45.21	45.21	96.01	226.54	80.57	293.07	409.15	244.57	258.57	185.11	420.68	866.07	647.07	547.75	1143.1	884.29	1119.56	1030.12	728.11	1104.13	954.43	346.29	525.39	1037.29	1225.22	1073.91	954.43	1088.92	1551.09	1191.69	583.07	1008.9	947.83	723.08	1044.52	1073.91	1015.93	928.3	1216.75	915.51	679.29	1073.91	1044.52	612.11	928.3	651.58	866.07	0.0	0.0	72.01	139.07	84.04	54.33	205.5	159.9	228.13	181.28
PIPOX	10.16	12.55	4.1	8.92	1001.93	518.15	14.45	6.78	6.78	40.93	20.71	115.16	162.14	7433.4	5076.84	4066.71	1397.83	3639.7	10659.59	18431.96	8078.22	12943.04	8247.98	12244.81	11112.3	6652.97	12943.04	19348.38	2835.7	22692.63	15392.14	17317.18	16727.26	16045.82	10154.69	13872.08	16611.71	8134.41	14163.58	23820.89	9945.68	12943.04	13215.02	19214.73	13968.57	15285.81	18819.27	2417.67	14561.8	8658.09	12502.12	18950.18	2119.22	14765.09	0.0	0.17	10.88	6.84	39.79	33.3	4.74	68.55	2.58	10.31
PON1	0.38	2.39	0.0	0.0	2664.15	1909.85	9.13	0.0	0.0	0.0	0.47	0.0	5.28	9279.58	137.14	15499.21	1936.53	10225.32	26986.43	76861.91	36610.26	49322.93	15075.35	76330.98	19618.49	32540.65	62431.08	405683.88	13215.02	84694.64	16383.0	54727.32	144427.91	25354.3	100719.65	73730.83	54349.29	26614.89	101420.22	74760.09	5112.16	65082.31	73730.83	153724.82	69271.73	46019.85	29327.18	12853.63	69271.73	124000.67	101420.22	65990.84	4450.27	133825.1	0.0	0.2	0.0	19.39	1.5	343.89	17.64	0.59	4.7	13.93
PON3	2.97	0.72	9.7	48.87	1909.85	961.07	217.27	28.04	28.04	37.85	129.69	6.31	35.25	3303.0	921.88	1313.23	2367.9	5633.22	18950.18	32767.0	3491.39	3820.7	3018.3	4038.61	3690.52	3325.99	8134.41	33455.53	1857.6	33922.56	18178.19	8363.13	31215.04	9876.98	10883.59	7130.55	13586.57	5183.54	34396.12	15824.9	3235.01	12853.63	9876.98	44145.15	2796.65	6294.04	18819.27	5219.6	30572.63	11584.24	13586.57	39785.74	1030.12	8479.89	0.0	0.35	5.5	176.29	19.97	3.86	137.14	80.01	71.0	599.49
PXMP2	423.61	151.22	131.51	279.14	1143.1	688.78	2816.11	239.52	239.52	525.39	361.04	713.11	599.49	4512.4	3690.52	5913.33	1127.35	2915.45	13215.02	15075.35	16045.82	13492.72	10154.69	7280.4	8778.97	7280.4	9808.75	22692.63	5147.73	16960.78	11909.94	10883.59	17681.08	10440.2	17317.18	14065.74	14867.79	9876.98	21026.65	15392.14	7433.4	8305.36	10154.69	14461.21	8901.53	7485.11	11189.6	6294.04	11827.67	8363.13	8022.41	12502.12	4704.07	12589.08	0.0	0.06	262.2	1167.14	1277.29	974.5	536.45	2555.58	444.72	599.49
RUNDC3B	13.72	3.41	7.0	1.19	33.3	14.78	77.25	3.89	3.89	36.53	16.27	2.76	24.28	72.01	55.49	72.01	59.97	85.82	389.72	279.14	231.32	125.24	215.77	111.99	305.55	96.01	368.65	379.04	236.21	547.75	177.53	220.32	395.18	221.86	309.83	384.34	525.39	363.56	287.01	285.03	181.28	244.57	223.41	348.71	283.05	299.25	211.31	134.3	267.73	130.6	563.18	339.14	15.11	529.06	0.0	0.0	0.85	14.67	15.22	7.88	5.54	41.22	17.13	47.17
SARDH	12.36	3.08	8.51	2.76	336.79	127.89	28.65	1.66	1.66	69.03	13.62	16.88	37.32	1286.18	525.39	1135.2	698.41	1259.69	4298.64	6471.02	1950.0	1733.13	2573.36	3847.29	2319.15	1561.89	5913.33	6887.62	2434.5	5219.6	4181.07	6037.61	5292.48	2502.97	2855.44	5954.47	5954.47	2537.92	4481.23	6294.04	2468.49	4972.34	4010.71	7230.1	4239.45	4671.57	4575.41	2682.69	5006.93	2956.17	3280.18	7032.37	1685.71	4123.49	0.0	0.34	7.46	15.91	39.79	7.11	35.25	39.22	5.73	31.9
SERPINA4	0.0	0.0	0.0	0.0	1030.12	848.22	1.6	0.0	0.0	5.59	0.46	409.15	14.24	3303.0	6337.83	3716.2	4298.64	10512.82	12676.65	45386.27	9025.81	21026.65	19082.0	23986.58	11345.82	12943.04	20170.07	43840.21	6607.01	25005.23	17437.64	41188.81	31432.17	25179.16	22380.2	14361.31	16496.96	15607.02	73221.53	27938.14	9606.86	52135.28	31432.17	27174.14	12076.21	19082.0	65082.31	12415.75	32994.92	19754.96	21320.18	43840.21	4903.87	26431.04	0.0	0.0	0.0	441.64	120.1	6.01	59.55	271.48	0.0	0.0
SERPIND1	7.88	0.69	0.75	0.0	1605.83	1242.34	3.59	0.0	0.0	10.39	0.95	2.01	1.75	6079.61	17078.76	7081.29	8901.53	14262.1	27553.49	112532.89	17317.18	25708.25	17927.91	28923.41	19618.49	15180.22	22225.61	121448.75	6745.86	43537.38	61999.83	42054.3	110216.97	11504.21	44452.21	32767.0	30572.63	5913.33	56657.31	49666.0	17804.06	61571.56	28525.2	81809.59	24153.43	34158.52	73730.83	11827.67	72715.74	46662.28	32540.65	18052.61	4268.94	41475.31	0.0	0.0	0.83	8.78	7.11	8.32	3.41	5.5	2.16	14.14
SHBG	3.26	1.04	2.23	10.08	381.68	165.57	3.47	5.82	5.82	4.74	6.62	7.94	11.47	181.28	44.25	71.5	836.53	189.02	3928.15	2032.85	791.35	281.09	575.03	1167.14	1457.23	89.51	3018.3	3515.68	1008.9	2119.22	7130.55	4769.75	3081.75	447.82	2537.92	2777.33	5147.73	2739.08	2720.15	1977.24	143.01	2287.2	624.99	64632.75	3665.02	2720.15	76330.98	4239.45	16843.62	6207.38	7485.11	256.78	273.37	748.61	0.0	0.01	3.79	6.78	7.11	2.27	3.66	17.25	32.13	15.56
SLC10A1	4.66	0.35	0.0	0.79	728.11	239.52	4.74	0.0	0.0	0.0	0.0	0.0	2.2	1628.26	860.08	591.22	4.46	7032.37	19482.97	41475.31	23009.42	12589.08	12329.98	17437.64	15285.81	4937.99	25708.25	47974.16	1233.75	50011.46	17197.56	13872.08	47642.77	17927.91	17804.06	16960.78	23820.89	5366.37	31432.17	28723.62	17078.76	38164.99	18950.18	38430.46	16843.62	18304.63	38697.77	6164.49	17197.56	15499.21	38164.99	18560.17	4152.18	25005.23	0.0	0.0	0.56	1.73	5.92	3.96	1.85	0.74	0.0	0.0
SLC16A2	10.31	7.63	20.86	3.99	209.84	262.2	48.52	28.45	28.45	363.56	45.21	180.02	102.25	463.65	638.15	454.09	260.38	1191.69	1151.06	1151.06	1008.9	1487.87	1073.91	1529.73	1397.83	1487.87	1477.58	2997.45	718.08	2537.92	1628.26	1572.76	2075.59	2384.37	1286.18	1832.01	1605.83	878.17	2061.24	1745.2	1143.1	1437.15	1651.0	1769.57	1605.83	1721.16	1143.1	423.61	1487.87	830.75	1104.13	3168.41	860.08	2104.58	0.0	0.58	12.45	171.45	187.71	17.25	48.18	66.18	248.0	40.64
SLCO2B1	66.65	17.64	78.34	58.3	743.43	567.1	753.83	204.07	204.07	329.84	429.54	58.3	334.46	2434.5	281.09	2148.82	796.86	1331.57	3280.18	5633.22	3589.58	8134.41	5672.41	4802.93	5112.16	3614.55	6079.61	8305.36	2090.03	5112.16	4095.0	3716.2	6699.25	5954.47	8840.04	6426.31	7966.99	4358.66	8963.45	6699.25	4769.75	4388.98	2485.67	8305.36	6337.83	6652.97	8421.31	1697.45	4450.27	3742.05	5076.84	6294.04	854.13	6381.92	0.0	0.55	166.73	435.55	981.29	249.73	277.2	376.41	163.28	612.11
SPRYD4	356.05	214.27	318.57	281.09	301.33	316.37	379.04	265.87	265.87	96.68	336.79	291.04	329.84	669.92	457.25	780.44	559.28	1233.75	2018.8	3847.29	1757.34	860.08	743.43	2417.67	1896.65	1437.15	1313.23	3847.29	1175.27	2573.36	1540.37	2193.99	2701.35	1651.0	718.08	1832.01	2004.85	2485.67	2240.11	2777.33	2119.22	2468.49	1662.49	3467.27	1909.85	878.17	2148.82	1167.14	1883.54	1909.85	995.0	5555.65	890.44	1651.0	0.0	0.11	346.29	178.77	193.01	343.89	142.01	194.36	379.04	255.0
TFR2	38.12	54.72	88.26	190.34	2573.36	1963.57	4.06	8.13	8.13	11.04	3.38	0.0	3.63	5594.3	5791.62	11189.6	8022.41	6935.54	23820.89	29327.18	6037.61	16269.83	9808.75	13968.57	9606.86	8479.89	24153.43	42054.3	10808.41	13492.72	25887.07	19082.0	22380.2	12329.98	16045.82	37121.34	18950.18	12076.21	40062.48	15285.81	22380.2	21320.18	7130.55	113315.62	14361.31	18950.18	18689.27	4543.8	69753.56	47313.67	11827.67	37379.55	2104.58	6935.54	0.0	0.52	2.12	70.01	71.5	130.6	162.14	211.31	2.84	14.56
TMEM176A	336.79	78.89	473.41	115.16	5329.3	3212.66	5954.47	457.25	457.25	1883.54	248.0	368.65	1015.93	23330.64	15285.81	20170.07	16611.71	18950.18	62431.08	44452.21	31650.8	22535.88	7180.15	9945.68	11035.54	21172.91	30572.63	58655.36	30572.63	68318.04	185362.8	25354.3	55491.3	15934.98	8479.89	54349.29	16611.71	25887.07	24490.61	30785.28	11189.6	18431.96	13776.25	62431.08	76861.91	22225.61	73730.83	33922.56	193234.41	40621.74	14262.1	37901.36	11267.44	20310.37	0.0	0.77	426.57	1745.2	2956.17	1709.26	4512.4	1896.65	50.27	543.96
TMEM176B	656.11	136.19	599.49	152.28	7433.4	4836.35	8538.88	775.05	775.05	2609.3	514.56	444.72	1447.15	37121.34	24321.43	30572.63	23656.34	26248.46	65082.31	61999.83	28132.47	24490.61	14663.09	45386.27	22535.88	37379.55	43537.38	108699.57	35856.82	77934.88	113315.62	65535.0	92680.9	24153.43	28132.47	53230.77	43840.21	30999.42	76861.91	48982.22	24490.61	130165.62	24153.43	91404.92	42937.97	30361.44	104996.83	36357.37	205673.01	89523.81	39785.74	88905.42	8078.22	39510.91	0.0	0.78	759.08	2209.26	3349.13	1662.49	2796.65	2255.7	102.25	921.88
TMEM220	10.63	7.22	25.54	3.2	215.77	279.14	221.86	26.67	26.67	107.38	190.34	32.36	113.56	540.19	536.45	698.41	301.33	460.44	1697.45	3372.43	2335.28	3540.14	2133.97	2287.2	3124.78	2739.08	5366.37	4671.57	1044.52	1277.29	3395.89	2777.33	1304.15	2303.12	2609.3	2319.15	4937.99	2573.36	6121.9	3820.7	1051.79	4181.07	2720.15	3372.43	1991.0	3540.14	1991.0	808.0	3443.31	1008.9	1066.48	7230.1	599.49	2758.13	0.0	0.37	10.24	231.32	78.89	17.9	71.5	348.71	162.14	138.1
TSKU	1977.24	400.71	629.35	748.61	1259.69	514.56	1216.75	1709.26	1709.26	587.13	307.69	81.14	403.5	4358.66	961.07	6935.54	928.3	2915.45	8963.45	2645.74	4239.45	9740.98	11664.82	7589.61	2502.97	5076.84	8247.98	16960.78	1991.0	2682.69	5219.6	6935.54	9344.14	8191.0	8778.97	6471.02	4736.79	26067.14	1191.69	7433.4	2935.74	5255.91	17197.56	2163.77	2664.15	5366.37	8840.04	7803.01	2502.97	3419.52	3212.66	2255.7	1044.52	6652.97	0.0	0.75	915.51	698.41	483.38	476.71	529.06	409.15	540.19	2240.11
UGT2B7	12.0	0.0	2.27	11.73	1277.29	909.17	27.84	0.0	0.0	0.0	116.78	486.75	603.67	1651.0	1963.57	13306.94	329.84	1583.71	13492.72	65082.31	12244.81	13033.07	27745.15	39510.91	51062.33	30785.28	18689.27	100023.92	1617.0	51775.15	62431.08	33455.53	72715.74	17437.64	36610.26	27745.15	19482.97	7280.4	89523.81	30785.28	11345.82	81244.48	52135.28	34158.52	16269.83	30999.42	59063.35	13586.57	77934.88	46986.85	25005.23	19482.97	9151.82	60723.88	0.0	0.0	0.66	25.35	38.12	265.87	13.42	0.0	0.27	0.0
