	TCGA.GV.A3QI.01A.11R.A220.07	TCGA.W5.AA39.01A.11R.A41I.07	TCGA.BB.4225.01A.01R.1436.07	TCGA.DQ.7591.01A.11R.2081.07	TCGA.FV.A23B.01A.11R.A16W.07	TCGA.BC.A10Z.01A.11R.A131.07	TCGA.BC.A217.01A.11R.A155.07	TCGA.WJ.A86L.01A.12R.A39D.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.XR.A8TG.01A.11R.A36F.07	TCGA.2Y.A9GS.01A.12R.A38B.07	TCGA.DD.A1EJ.01A.11R.A155.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.XR.A8TD.01A.12R.A39D.07	TCGA.BC.A3KG.01A.11R.A213.07	TCGA.2Y.A9H0.01A.11R.A38B.07	TCGA.ED.A66Y.01A.11R.A311.07	TCGA.CC.A8HU.01A.11R.A36F.07	TCGA.ED.A459.01A.11R.A266.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.CC.A3MB.01A.11R.A213.07	TCGA.DD.A1EK.01A.11R.A213.07	TCGA.DD.AACV.01A.11R.A41C.07	TCGA.CC.A8HT.01A.11R.A36F.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.BW.A5NP.01A.11R.A27V.07	TCGA.BC.A216.01A.11R.A155.07	TCGA.QA.A7B7.01A.11R.A32O.07	TCGA.G3.A25U.01A.11R.A16W.07	TCGA.GJ.A6C0.01A.12R.A311.07	TCGA.PD.A5DF.01A.11R.A27V.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.BC.A8YO.01A.11R.A37K.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A1EI.11A.11R.A131.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.RTLS.1326.SM.46MUN	GTEX.Y5LM.0426.SM.4VBRO	GTEX.X4XY.1626.SM.46MVN	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.ZTPG.1426.SM.51MT3	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.X261.1726.SM.4PQYT	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.147F4.1426.SM.5LUA8	GTEX.X4EP.1026.SM.4QAS5	GTEX.13113.1326.SM.5GCOI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.QV44.0326.SM.4R1KD	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.13NZB.0626.SM.5IFH6	GTEX.1497J.0726.SM.5Q5D1	GTEX.12KS4.1326.SM.5LUB3	GTEX.132NY.0926.SM.5P9G3	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.11OF3.0726.SM.5BC4Z	GTEX.S4Z8.0526.SM.4AD4T	GTEX.REY6.1226.SM.48FDR	GTEX.11WQC.0726.SM.5EQMR	TCGA.22.5481.01A.31R.1949.07
MKRN3	36.79	23.08	42.71	78.89	12.18	52.45	59.55	31.22	21.01	31.9	54.33	75.11	51.71	52.82	32.13	131.51	24.99	22.59	12.45	0.0	0.0	0.0	29.27	57.89	41.81	60.39	0.68	40.36	88.88	76.17	13.62	26.47	29.7	6.11	98.73	0.69	3.11	0.0	0.0	3.23	0.67	0.0	0.0	0.0	10.63	0.0	12.09	8.51	0.0	4.39	0.0	0.84	21.78	0.0	0.35	0.0	0.0	10.24	3.63	0.77	0.0	2.32	0.42	5.68	0.0	2.76	11.55	0.0	53.57	0.0	0.0	32.82	0.0	4.46	0.0	0.0	0.78	0.23	0.0	0.0	0.0	96.68
MMS22L	309.83	58.71	148.09	105.89	25.17	68.55	73.03	35.76	23.25	75.64	50.27	62.56	46.5	92.7	89.51	121.79	43.32	37.59	46.5	43.63	36.01	43.02	12.74	92.7	56.28	42.41	14.89	58.3	84.63	68.07	51.71	28.45	20.11	15.45	106.63	10.08	5.92	4.28	10.39	4.06	14.56	23.93	3.2	10.71	49.21	14.14	6.21	7.0	12.09	11.73	11.64	15.68	6.89	6.31	13.72	2.86	11.82	3.56	21.01	13.62	12.18	4.78	25.35	21.63	4.06	17.77	14.35	22.26	5.92	13.52	6.01	3.5	12.45	45.53	7.11	7.17	24.99	8.65	12.18	3.32	6.46	131.51
MSH2	819.3	146.03	836.53	842.36	173.85	305.55	218.79	115.16	177.53	389.72	182.55	195.72	341.51	299.25	186.4	281.09	293.07	486.75	320.8	241.19	273.37	209.84	128.79	281.09	348.71	343.89	262.2	323.03	432.53	303.44	190.34	187.71	136.19	228.13	514.56	72.01	43.94	44.89	74.58	30.34	87.03	122.64	36.01	59.13	253.23	50.27	51.35	68.07	77.25	88.88	88.88	107.38	54.72	65.72	73.03	105.89	45.85	46.5	87.65	59.97	37.32	62.12	81.14	36.53	36.01	85.82	58.3	120.94	59.55	70.01	50.63	36.53	69.03	121.79	64.8	42.11	109.66	66.65	71.5	51.35	75.64	866.07
NCAPG	642.59	167.9	420.68	397.93	142.01	134.3	217.27	92.05	25.72	256.78	371.22	191.67	144.01	273.37	221.86	454.09	215.77	161.02	262.2	187.71	132.44	368.65	44.25	454.09	902.89	173.85	114.36	476.71	466.88	105.89	138.1	98.73	71.5	109.66	381.68	10.55	3.17	0.0	4.21	1.69	10.63	23.08	4.7	4.24	68.55	2.32	4.78	3.35	6.36	3.82	4.35	8.92	36.01	10.39	4.78	10.88	4.43	1.48	1.23	3.99	3.03	3.79	14.56	12.18	3.11	24.46	0.0	20.11	2.18	9.7	4.62	2.86	10.08	84.63	0.31	9.78	10.63	5.41	9.41	0.95	8.0	587.13
ORC1	183.82	47.84	248.0	507.46	35.25	59.13	127.0	48.87	20.11	80.01	79.45	136.19	87.65	96.01	86.43	193.01	164.42	60.39	114.36	84.04	61.25	52.45	29.06	78.89	98.73	99.43	42.11	172.65	277.2	98.73	50.98	88.88	25.91	36.01	231.32	7.22	0.79	8.06	3.76	0.82	7.46	21.94	0.78	3.72	142.01	1.1	1.28	2.27	7.51	5.87	0.79	9.7	14.56	2.58	0.0	4.62	1.1	5.54	4.78	5.82	1.35	3.29	8.0	10.39	0.48	8.92	4.94	26.47	0.99	8.25	1.19	6.52	13.03	21.63	0.52	3.59	7.11	3.72	15.91	1.64	1.75	361.04
ORC3	543.96	457.25	412.0	376.41	143.01	902.89	780.44	232.94	283.05	376.41	363.56	575.03	373.81	260.38	444.72	830.75	198.47	291.04	802.41	532.74	201.25	303.44	139.07	764.36	444.72	336.79	297.17	395.18	679.29	493.56	262.2	318.57	277.2	346.29	563.18	190.34	164.42	170.25	260.38	131.51	285.03	232.94	141.02	191.67	547.75	246.28	185.11	152.28	217.27	205.5	208.38	305.55	150.17	159.9	162.14	318.57	164.42	143.01	172.65	232.94	127.0	258.57	231.32	190.34	46.5	277.2	249.73	303.44	209.84	151.22	293.07	125.24	186.4	397.93	262.2	224.97	325.29	187.71	248.0	115.97	341.51	368.65
ORC6	423.61	108.9	212.78	339.14	64.34	57.08	151.22	102.25	38.95	429.54	147.06	145.02	197.09	127.89	127.89	381.68	277.2	212.78	236.21	92.05	703.28	176.29	31.0	299.25	181.28	131.51	102.97	150.17	336.79	71.5	156.59	114.36	59.55	128.79	111.99	6.94	3.66	6.78	14.14	1.43	17.38	39.22	3.72	2.25	178.77	10.0	7.22	10.31	12.45	17.13	5.59	25.54	26.1	8.19	11.73	17.51	5.5	9.7	6.26	25.54	2.48	5.36	11.55	18.97	6.78	21.01	0.32	44.25	4.7	24.11	10.88	4.03	26.28	66.65	3.29	5.77	18.56	6.06	18.43	2.63	6.57	358.54
POLQ	159.9	25.35	69.03	109.66	36.53	15.22	29.48	26.47	5.02	88.88	50.63	41.81	26.28	29.48	26.47	98.73	34.75	15.68	34.51	16.27	39.22	42.41	9.7	70.51	76.17	23.08	11.64	69.52	91.41	28.45	17.9	25.72	11.55	11.04	85.22	10.71	0.66	0.64	0.99	0.68	1.22	8.19	0.69	0.68	21.78	0.56	0.82	4.31	5.15	0.58	0.71	2.73	6.67	1.13	1.6	2.92	0.56	0.68	3.23	9.27	0.01	0.67	2.61	5.02	0.01	9.85	0.01	9.34	0.06	2.18	1.23	0.04	0.57	12.09	0.02	0.38	1.46	3.92	2.34	0.0	0.37	98.04
RAD51AP1	1104.13	180.02	674.59	3146.52	69.52	133.36	120.1	92.05	45.21	116.78	118.43	130.6	114.36	221.86	151.22	486.75	307.69	166.73	231.32	111.21	99.43	191.67	43.63	447.82	162.14	202.66	117.6	376.41	351.14	183.82	65.72	118.43	70.51	52.08	312.0	9.13	5.06	6.78	13.52	2.14	16.27	29.06	6.94	15.56	120.94	15.68	11.82	8.99	24.28	17.77	10.79	19.53	47.5	9.34	5.11	20.86	5.63	5.96	13.42	22.43	5.41	11.73	7.69	14.24	2.78	44.25	7.94	58.71	4.74	25.91	9.27	6.41	18.03	68.55	12.0	8.13	20.26	11.47	17.64	1.6	13.22	373.81
RFC4	2004.85	748.61	1242.34	1936.53	555.41	915.51	1096.5	476.71	316.37	1350.18	961.07	866.07	775.05	738.29	848.22	1561.89	954.43	791.35	1561.89	995.0	1295.13	995.0	234.57	934.76	1088.92	669.92	808.0	825.0	1806.78	836.53	921.88	915.51	358.54	341.51	1709.26	127.0	122.64	105.89	201.25	78.89	202.66	217.27	110.43	110.43	1199.98	135.24	60.39	190.34	204.07	180.02	75.11	134.3	176.29	92.05	229.72	327.56	77.25	131.51	65.72	241.19	83.45	108.14	134.3	228.13	124.37	124.37	251.48	186.4	88.26	206.94	209.84	108.14	194.36	376.41	136.19	120.94	129.69	144.01	148.09	101.54	189.02	1832.01
RMI1	708.18	166.73	269.6	551.56	105.89	231.32	82.87	120.1	108.14	136.19	163.28	86.43	92.05	155.5	165.57	271.48	159.9	248.0	120.94	88.26	121.79	114.36	66.18	173.85	113.56	51.71	129.69	181.28	242.88	255.0	104.42	92.05	75.11	96.01	348.71	51.71	41.22	11.21	75.64	66.18	66.65	72.01	65.72	70.51	155.5	25.17	48.87	49.91	87.03	27.44	68.55	44.89	77.25	86.43	60.39	39.79	38.67	61.25	57.08	63.0	68.55	57.49	40.07	41.52	93.35	62.56	49.21	71.0	75.64	37.32	32.59	55.1	69.03	73.54	27.05	40.07	65.72	141.02	55.1	28.04	82.29	214.27
RRM1	2915.45	718.08	3124.78	1757.34	575.03	620.67	802.41	224.97	379.04	954.43	651.58	656.11	525.39	872.1	647.07	1407.55	890.44	884.29	748.61	616.37	551.56	555.41	255.0	775.05	571.05	414.87	409.15	665.29	1540.37	1135.2	500.46	603.67	346.29	387.02	1216.75	323.03	244.57	260.38	283.05	202.66	283.05	417.77	158.79	271.48	802.41	232.94	217.27	170.25	325.29	265.87	241.19	371.22	234.57	264.03	172.65	320.8	187.71	305.55	256.78	435.55	417.77	185.11	507.46	161.02	147.06	551.56	193.01	532.74	221.86	269.6	208.38	99.43	228.13	353.59	271.48	172.65	273.37	242.88	327.56	211.31	194.36	915.51
RSRC1	660.68	713.11	1030.12	1277.29	441.64	723.08	511.0	559.28	339.14	454.09	555.41	343.89	612.11	599.49	500.46	669.92	540.19	384.34	312.0	356.05	366.09	470.14	253.23	540.19	295.11	186.4	435.55	460.44	713.11	412.0	379.04	660.68	409.15	447.82	698.41	293.07	170.25	98.04	134.3	169.07	241.19	327.56	172.65	175.07	414.87	198.47	220.32	139.07	199.85	236.21	285.03	228.13	167.9	199.85	258.57	281.09	129.69	177.53	309.83	285.03	115.16	258.57	514.56	182.55	189.02	420.68	343.89	346.29	127.0	281.09	303.44	193.01	248.0	409.15	265.87	205.5	301.33	246.28	320.8	166.73	237.86	693.58
SMC2	583.07	117.6	414.87	638.15	111.99	131.51	159.9	101.54	92.05	131.51	198.47	105.89	130.6	264.03	94.67	316.37	194.36	121.79	118.43	47.17	111.21	142.01	36.01	271.48	172.65	73.54	112.77	237.86	346.29	201.25	115.97	87.03	49.56	41.22	341.51	40.93	21.01	15.45	42.11	16.15	41.52	77.79	21.63	27.44	187.71	43.94	33.54	17.77	30.56	26.47	28.65	37.85	45.53	22.1	30.12	28.45	17.13	24.46	32.13	39.5	17.77	16.75	49.56	26.86	15.91	63.45	29.48	73.03	18.43	32.36	28.04	41.52	19.97	63.45	21.01	18.97	54.33	45.85	53.95	21.78	25.17	293.07
TCF19	4010.71	376.41	392.44	1167.14	211.31	387.02	460.44	191.67	131.51	358.54	343.89	376.41	151.22	291.04	587.13	642.59	1286.18	314.17	1286.18	301.33	409.15	381.68	120.94	563.18	293.07	417.77	229.72	587.13	406.31	603.67	312.0	186.4	127.0	87.03	392.44	32.13	10.71	36.27	26.86	7.94	22.26	74.58	10.79	6.84	206.94	9.41	15.11	14.67	69.52	18.7	21.94	60.82	51.35	20.26	22.92	35.76	7.57	14.45	22.26	38.67	15.45	23.08	17.77	38.4	6.01	59.13	6.52	113.56	17.0	40.64	15.56	10.55	52.08	147.06	5.32	10.71	40.64	12.36	21.63	8.25	19.53	842.36
TOPBP1	842.36	343.89	563.18	1225.22	241.19	555.41	251.48	226.54	262.2	483.38	358.54	406.31	320.8	368.65	279.14	791.35	277.2	329.84	356.05	341.51	503.95	579.04	147.06	389.72	327.56	221.86	242.88	414.87	567.1	323.03	187.71	255.0	159.9	214.27	579.04	108.14	66.18	41.22	97.36	76.17	102.97	151.22	105.89	35.0	212.78	217.27	156.59	120.94	77.25	190.34	88.88	68.55	158.79	63.0	94.67	123.5	106.63	125.24	68.07	88.26	42.41	85.22	120.94	143.01	103.69	102.25	85.22	175.07	78.34	135.24	185.11	158.79	71.0	151.22	82.87	108.14	176.29	69.03	81.71	64.34	82.29	620.67
TYMS	3146.52	334.46	3303.0	2255.7	1037.29	981.29	1295.13	466.88	303.44	2061.24	902.89	1250.98	1340.84	674.59	981.29	1697.45	2555.58	1477.58	2609.3	759.08	693.58	961.07	426.57	848.22	679.29	1008.9	529.06	961.07	1794.29	1498.22	1208.34	1104.13	341.51	444.72	1594.73	205.5	64.34	262.2	71.5	80.57	152.28	503.95	68.55	83.45	1051.79	106.63	186.4	131.51	301.33	86.43	129.69	166.73	248.0	167.9	134.3	127.0	127.0	94.67	214.27	234.57	93.35	52.08	71.5	120.94	111.21	381.68	111.99	297.17	128.79	223.41	218.79	34.26	136.19	785.88	81.71	159.9	486.75	97.36	82.87	49.56	127.89	2178.83
WDR76	674.59	102.97	642.59	708.18	81.71	281.09	239.52	115.97	52.82	108.9	190.34	249.73	81.71	187.71	172.65	483.38	348.71	147.06	204.07	166.73	157.68	177.53	71.0	244.57	204.07	90.77	102.25	194.36	197.09	251.48	172.65	107.38	78.89	22.1	327.56	17.9	6.62	23.93	13.12	3.82	16.15	50.27	6.89	24.81	122.64	4.58	9.41	12.45	52.82	7.34	13.22	42.71	35.5	13.93	8.85	21.01	1.11	13.42	19.53	27.64	1.71	6.21	15.22	24.99	4.98	34.02	20.86	40.36	9.7	22.92	22.1	7.94	42.11	56.68	6.16	7.17	19.25	8.25	13.12	4.21	21.63	656.11
ZNF300	231.32	66.65	126.12	223.41	17.25	140.04	220.32	58.3	37.85	118.43	41.81	61.68	90.77	55.49	55.89	212.78	154.42	74.58	12.83	18.43	116.78	47.84	10.08	173.85	191.67	87.03	85.82	75.64	183.82	92.05	49.91	10.55	37.32	5.11	38.67	7.88	3.76	1.17	8.92	3.89	8.13	7.4	5.45	10.71	1.5	16.03	17.13	4.66	46.84	7.06	6.21	0.54	20.71	7.94	6.01	8.92	4.5	2.16	13.03	4.24	4.06	2.76	0.25	35.5	7.11	1.33	30.12	4.21	22.43	5.11	33.54	10.96	6.01	46.18	3.72	7.63	8.85	11.91	2.46	4.98	12.18	134.3
ZWILCH	454.09	134.3	339.14	616.37	127.0	138.1	120.94	161.02	75.11	126.12	159.9	224.97	164.42	211.31	143.01	307.69	167.9	86.43	165.57	106.63	220.32	194.36	56.28	251.48	191.67	115.97	116.78	228.13	241.19	178.77	140.04	106.63	90.77	149.12	175.07	64.34	24.63	35.0	33.78	28.65	44.57	68.55	30.56	75.64	217.27	82.29	40.36	57.89	52.82	35.76	26.28	63.89	31.9	57.89	63.45	57.49	14.45	21.63	48.52	43.94	68.55	30.34	32.36	29.27	23.25	53.57	30.34	93.35	47.5	40.36	24.63	22.75	29.48	61.25	69.03	26.1	54.33	69.52	55.1	30.12	31.0	285.03
