	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.CR.7369.01A.11R.2132.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.BA.5152.01A.02R.1873.07	TCGA.CV.5971.01A.11R.1686.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8426.01A.11R.2315.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.B8.4621.01A.01R.1503.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.DW.7841.01A.11R.A32Z.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.A57E.01A.11R.A26U.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.A4.7732.01A.11R.2139.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.B9.A5W7.01A.11R.A31O.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.BQ.5875.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.J7.6720.01A.11R.2139.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.SX.A7SU.01A.11R.A36F.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.Y8.A8RY.01A.11R.A37K.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.DZ.6133.01A.11R.1965.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.DW.7837.01A.11R.2139.07	TCGA.B9.5155.01A.01R.1592.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.UZ.A9PX.01A.11R.A42S.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.B9.A8YH.01A.11R.A37K.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.G7.7501.01A.11R.2204.07	TCGA.5P.A9K6.01A.11R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.63.5128.01A.01R.1443.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.CD.5799.01A.11R.1602.13	TCGA.F1.6177.01A.11R.1802.13	TCGA.BR.7715.01A.11R.2055.13	TCGA.CG.5726.01A.11R.1602.13	TCGA.CG.4441.01A.01R.1802.13	TCGA.BR.6566.01A.11R.1802.13	TCGA.R5.A7ZR.01A.11R.A354.31	TCGA.CD.5813.01A.11R.1602.13	TCGA.D7.6528.01A.11R.1802.13	GTEX.117YW.2226.SM.5N9DB	GTEX.1399T.0126.SM.5KM15
FBXO15	39.22	8.71	3.2	6.73	0.0	11.21	2.92	6.36	2.63	3.99	7.4	1.08	9.48	4.86	4.46	22.26	57.08	27.64	90.77	21.94	158.79	92.7	171.45	118.43	63.45	228.13	67.12	79.45	141.02	39.22	194.36	90.14	85.82	211.31	154.42	68.07	197.09	269.6	64.34	147.06	194.36	57.08	167.9	9.56	66.65	105.15	82.87	110.43	114.36	159.9	104.42	114.36	72.52	137.14	125.24	144.01	175.07	50.98	129.69	64.34	172.65	50.63	148.09	112.77	15.8	76.17	122.64	193.01	81.14	17.13	64.34	84.04	136.19	120.94	198.47	72.01	120.1	91.41	25.35	37.32	60.39	127.0	59.13	204.07	72.52	59.97	88.88	244.57	94.67	139.07	127.89	69.52	131.51	181.28	194.36	27.44	236.21	155.5	22.26	48.87	46.18	27.64	164.42	180.02	136.19	285.03	37.85	78.89	153.34	0.0	0.0	27.84	7.28	8.25	14.89	19.82	2.27	3.47	8.99	1.0	2.76	8.45	0.0	21.32	4.5	0.0	204.07
FP15737	143.01	169.07	23.93	48.52	24.28	16.51	161.02	11.82	28.45	27.25	87.65	32.59	130.6	20.86	61.68	96.68	157.68	27.05	961.07	25.54	127.89	246.28	139.07	234.57	82.87	403.5	61.68	193.01	450.94	55.49	521.76	287.01	206.94	392.44	954.43	102.97	406.31	356.05	208.38	473.41	1427.22	49.21	244.57	183.82	281.09	224.97	277.2	248.0	123.5	191.67	209.84	540.19	111.99	312.0	325.29	145.02	183.82	111.21	518.15	161.02	228.13	450.94	309.83	872.1	118.43	121.79	221.86	493.56	226.54	114.36	178.77	141.02	89.51	107.38	1111.82	575.03	275.28	384.34	35.5	129.69	30.56	341.51	78.89	392.44	444.72	40.36	275.28	194.36	208.38	426.57	293.07	137.14	332.14	591.22	303.44	77.79	371.22	497.0	55.89	126.12	159.9	80.01	258.57	271.48	224.97	656.11	128.79	187.71	438.59	0.0	0.84	61.68	56.68	61.25	49.91	30.56	9.41	58.3	16.39	154.42	61.25	7.63	103.69	28.86	55.89	63.89	144.01
FUZ	490.14	384.34	165.57	57.89	76.17	108.9	426.57	15.45	146.03	103.69	384.34	178.77	480.04	500.46	463.65	579.04	684.02	698.41	540.19	211.31	612.11	967.76	591.22	813.63	928.3	802.41	409.15	395.18	836.53	780.44	1295.13	915.51	743.43	1059.11	842.36	836.53	981.29	836.53	1066.48	748.61	995.0	629.35	764.36	759.08	1059.11	780.44	579.04	743.43	764.36	603.67	733.19	954.43	669.92	1008.9	915.51	941.27	775.05	269.6	780.44	555.41	616.37	1487.87	1030.12	947.83	473.41	563.18	921.88	872.1	947.83	547.75	656.11	764.36	698.41	728.11	954.43	674.59	915.51	703.28	480.04	651.58	336.79	848.22	638.15	769.69	1001.93	575.03	559.28	836.53	607.87	974.5	769.69	620.67	791.35	902.89	616.37	429.54	830.75	775.05	669.92	587.13	981.29	679.29	808.0	656.11	1135.2	995.0	595.34	514.56	866.07	287.01	275.28	293.07	346.29	660.68	579.04	1001.93	253.23	38.12	334.46	30.78	88.88	197.09	334.46	665.29	60.39	13.93	693.58
GRM5	1.71	0.44	0.64	0.0	0.0	0.0	0.74	0.0	0.66	0.79	0.0	0.0	0.55	0.0	0.0	0.72	5.54	0.0	0.0	0.0	7.06	16.03	1.51	1.19	2.84	17.9	0.42	0.0	22.1	8.45	55.89	5.28	5.87	37.05	15.8	0.73	9.41	15.45	5.02	54.33	32.13	0.0	34.26	0.0	3.56	5.23	0.0	4.62	15.56	26.47	4.54	2.34	0.0	3.99	14.56	2.97	4.78	2.48	3.72	4.24	13.42	40.36	6.31	50.27	0.0	0.92	3.96	31.9	85.82	0.84	19.11	0.79	1.28	2.29	13.32	1.81	1.99	1.3	1.85	0.38	2.39	1.99	0.0	4.39	8.71	2.97	3.32	6.78	14.89	62.56	32.13	21.63	33.78	18.97	6.01	1.1	7.63	7.88	8.58	3.44	0.0	5.96	9.27	3.38	8.13	14.35	1.5	3.82	13.03	0.0	0.0	0.0	0.66	1.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0
HMBOX1	420.68	463.65	107.38	82.87	102.25	60.82	426.57	132.44	87.03	60.82	122.64	106.63	189.02	186.4	155.5	348.71	226.54	297.17	366.09	59.13	161.02	395.18	209.84	532.74	248.0	307.69	186.4	420.68	441.64	212.78	463.65	224.97	351.14	587.13	476.71	242.88	312.0	312.0	156.59	379.04	1127.35	206.94	314.17	381.68	236.21	130.6	329.84	258.57	185.11	248.0	234.57	392.44	208.38	426.57	201.25	387.02	336.79	195.72	466.88	185.11	178.77	473.41	323.03	470.14	149.12	234.57	226.54	547.75	273.37	181.28	269.6	220.32	281.09	142.01	728.11	406.31	409.15	454.09	175.07	165.57	85.82	267.73	351.14	314.17	351.14	269.6	281.09	186.4	226.54	441.64	299.25	348.71	314.17	532.74	291.04	414.87	348.71	392.44	361.04	289.02	318.57	275.28	309.83	223.41	218.79	490.14	251.48	242.88	325.29	0.0	0.56	273.37	327.56	187.71	267.73	127.0	125.24	195.72	155.5	318.57	248.0	132.44	197.09	366.09	137.14	323.03	381.68
HYDIN	16.15	6.26	0.96	0.64	0.0	3.82	1.53	0.0	0.0	11.21	8.06	0.74	6.57	1.01	22.26	107.38	163.28	37.85	202.66	10.47	166.73	165.57	183.82	185.11	113.56	218.79	126.12	183.82	198.47	101.54	173.85	205.5	177.53	323.03	262.2	137.14	229.72	153.34	218.79	287.01	708.18	16.88	262.2	16.63	307.69	142.01	180.02	202.66	327.56	144.01	162.14	201.25	170.25	264.03	249.73	173.85	237.86	157.68	316.37	181.28	361.04	246.28	269.6	209.84	63.45	127.89	251.48	155.5	150.17	120.1	346.29	221.86	70.01	177.53	299.25	133.36	444.72	173.85	43.02	178.77	68.07	151.22	111.99	180.02	208.38	172.65	158.79	265.87	287.01	180.02	234.57	181.28	204.07	299.25	224.97	61.68	256.78	211.31	84.04	183.82	78.34	85.82	157.68	149.12	169.07	269.6	61.25	138.1	260.38	0.0	0.04	15.22	8.32	11.64	4.1	6.46	8.65	2.41	3.79	0.0	5.28	4.86	6.11	7.17	4.24	11.91	236.21
IFT140	172.65	204.07	139.07	77.25	62.56	101.54	127.0	69.03	89.51	155.5	34.51	77.79	133.36	133.36	217.27	159.9	500.46	356.05	563.18	346.29	587.13	642.59	547.75	660.68	612.11	759.08	432.53	583.07	642.59	409.15	860.08	698.41	647.07	1295.13	848.22	612.11	896.64	688.78	463.65	813.63	775.05	368.65	693.58	866.07	620.67	559.28	432.53	629.35	872.1	454.09	738.29	808.0	540.19	995.0	616.37	629.35	647.07	325.29	813.63	703.28	878.17	713.11	738.29	713.11	387.02	540.19	825.0	738.29	616.37	224.97	902.89	647.07	307.69	647.07	842.36	361.04	796.86	547.75	329.84	447.82	299.25	642.59	444.72	620.67	480.04	688.78	389.72	723.08	616.37	684.02	954.43	457.25	543.96	967.76	688.78	318.57	738.29	733.19	279.14	420.68	373.81	392.44	591.22	642.59	493.56	1044.52	318.57	447.82	995.0	0.0	0.39	108.14	208.38	132.44	205.5	109.66	178.77	295.11	209.84	249.73	205.5	98.73	120.1	287.01	173.85	52.08	860.08
IFT81	125.24	92.05	123.5	62.12	38.95	46.5	101.54	49.56	49.56	77.79	88.26	38.67	114.36	46.5	97.36	99.43	224.97	101.54	241.19	39.79	237.86	376.41	204.07	265.87	198.47	341.51	95.34	198.47	532.74	172.65	309.83	305.55	231.32	285.03	450.94	111.21	255.0	256.78	339.14	348.71	638.15	186.4	395.18	117.6	175.07	87.65	309.83	309.83	237.86	212.78	163.28	329.84	31.22	460.44	373.81	236.21	231.32	231.32	343.89	314.17	358.54	327.56	285.03	329.84	182.55	52.82	229.72	277.2	256.78	133.36	295.11	137.14	155.5	127.0	248.0	177.53	287.01	166.73	9.34	73.03	111.21	128.79	101.54	224.97	199.85	115.16	356.05	246.28	291.04	343.89	371.22	246.28	400.71	441.64	187.71	67.59	241.19	275.28	124.37	202.66	99.43	447.82	212.78	217.27	116.78	329.84	137.14	139.07	361.04	0.0	0.32	94.01	53.19	121.79	77.25	142.01	85.82	96.01	135.24	58.3	148.09	52.82	91.41	102.25	83.45	29.7	397.93
IQCD	15.22	7.0	21.01	18.16	15.34	8.78	25.17	9.27	5.41	11.73	12.93	8.58	12.83	17.25	23.25	19.11	176.29	30.12	89.51	22.59	149.12	269.6	102.97	218.79	85.22	242.88	178.77	133.36	273.37	94.01	208.38	271.48	182.55	182.55	307.69	42.71	197.09	232.94	137.14	202.66	275.28	69.03	320.8	96.68	154.42	151.22	204.07	164.42	198.47	177.53	127.0	182.55	100.13	379.04	251.48	164.42	177.53	55.49	206.94	199.85	218.79	90.77	269.6	170.25	59.97	81.14	120.94	231.32	253.23	50.27	214.27	118.43	83.45	111.21	234.57	132.44	234.57	191.67	36.53	85.22	54.33	141.02	90.77	169.07	163.28	120.1	201.25	127.89	232.94	206.94	314.17	80.57	217.27	376.41	129.69	42.11	223.41	163.28	31.45	92.7	127.0	60.39	143.01	299.25	135.24	228.13	81.71	173.85	218.79	0.0	0.0	4.03	18.97	19.53	25.72	16.39	31.67	13.22	16.39	19.97	33.3	10.08	14.67	23.76	13.62	2.66	80.57
IQUB	2.71	4.9	1.14	5.96	4.1	1.11	1.71	2.07	0.83	6.11	2.07	2.03	3.66	0.49	2.01	31.22	99.43	19.82	28.86	13.83	35.0	62.56	53.95	70.01	44.89	57.89	16.88	45.85	166.73	30.56	78.34	94.01	44.57	132.44	44.25	4.98	62.56	45.53	89.51	68.55	249.73	15.0	237.86	20.26	50.63	35.0	14.45	90.77	80.57	67.12	47.84	50.27	9.56	60.39	57.08	37.59	132.44	77.79	102.25	81.14	186.4	75.11	45.53	105.89	21.16	14.67	106.63	119.26	53.19	31.45	74.58	40.36	10.47	44.57	67.12	19.11	106.63	23.59	2.56	10.16	52.08	54.72	20.41	44.25	50.27	31.45	46.5	92.05	209.84	116.78	154.42	59.13	102.97	61.68	27.05	21.47	59.97	35.76	19.68	108.9	32.59	108.9	90.14	53.95	41.81	52.45	36.27	43.63	132.44	0.0	0.0	1.0	3.32	2.14	4.62	2.01	0.0	2.03	4.78	5.59	4.13	4.98	3.69	1.89	2.01	1.6	128.79
KANSL1L	244.57	162.14	76.71	46.5	69.03	32.13	126.12	66.18	11.91	93.35	106.63	49.56	165.57	150.17	186.4	269.6	497.0	435.55	514.56	400.71	497.0	518.15	426.57	397.93	679.29	400.71	171.45	281.09	1066.48	312.0	660.68	555.41	466.88	796.86	607.87	642.59	656.11	346.29	420.68	698.41	1697.45	323.03	791.35	289.02	575.03	226.54	423.61	660.68	514.56	607.87	551.56	633.73	131.51	583.07	660.68	423.61	518.15	363.56	813.63	444.72	769.69	555.41	441.64	967.76	249.73	114.36	738.29	748.61	624.99	334.46	915.51	389.72	156.59	525.39	934.76	208.38	633.73	293.07	33.06	234.57	366.09	264.03	244.57	447.82	514.56	295.11	660.68	656.11	684.02	775.05	890.44	536.45	738.29	854.13	384.34	119.26	543.96	995.0	293.07	358.54	141.02	759.08	480.04	368.65	183.82	728.11	289.02	295.11	759.08	68.55	172.65	121.79	117.6	165.57	105.15	108.14	132.44	153.34	205.5	136.19	281.09	128.79	205.5	100.83	91.41	53.95	460.44
KIAA1407	52.45	62.12	66.65	13.03	25.72	14.03	28.86	64.8	12.36	34.02	20.11	14.56	29.27	22.59	24.46	68.07	115.97	51.71	275.28	47.17	98.04	220.32	147.06	289.02	72.01	178.77	82.29	109.66	336.79	172.65	264.03	149.12	246.28	603.67	209.84	75.64	220.32	139.07	232.94	251.48	616.37	99.43	205.5	67.12	141.02	92.7	122.64	226.54	175.07	118.43	201.25	358.54	74.06	175.07	262.2	118.43	146.03	109.66	423.61	105.15	239.52	395.18	291.04	423.61	45.21	39.79	132.44	269.6	130.6	64.34	217.27	151.22	61.68	123.5	551.56	131.51	283.05	143.01	24.99	93.35	81.14	105.15	52.45	260.38	141.02	74.06	209.84	265.87	167.9	325.29	256.78	125.24	412.0	232.94	289.02	37.85	356.05	301.33	57.08	117.6	75.11	165.57	150.17	161.02	78.89	529.06	70.51	129.69	295.11	0.0	0.29	59.13	24.46	30.78	37.32	56.28	43.63	84.04	28.24	46.5	50.63	32.13	40.64	29.27	46.18	4.54	441.64
L3HYPDH	299.25	438.59	151.22	241.19	84.04	92.05	218.79	108.9	220.32	194.36	84.63	157.68	94.01	80.01	307.69	438.59	356.05	312.0	738.29	599.49	514.56	884.29	420.68	267.73	1733.13	149.12	244.57	723.08	591.22	420.68	555.41	277.2	205.5	591.22	332.14	438.59	435.55	343.89	267.73	277.2	878.17	1066.48	406.31	409.15	470.14	249.73	511.0	325.29	163.28	249.73	341.51	450.94	287.01	287.01	356.05	169.07	332.14	151.22	223.41	463.65	312.0	373.81	409.15	1447.15	1096.5	249.73	476.71	514.56	802.41	209.84	183.82	231.32	830.75	228.13	928.3	231.32	309.83	348.71	185.11	316.37	389.72	353.59	486.75	320.8	457.25	244.57	303.44	209.84	309.83	432.53	493.56	567.1	928.3	941.27	514.56	171.45	384.34	571.05	303.44	307.69	1340.84	371.22	376.41	285.03	454.09	583.07	325.29	332.14	289.02	0.0	0.91	158.79	90.77	96.68	128.79	74.06	103.69	325.29	204.07	88.88	221.86	115.16	190.34	281.09	206.94	51.35	323.03
LAMB1	3303.0	1111.82	1529.73	1709.26	1088.92	665.29	2434.5	620.67	1508.65	2555.58	307.69	563.18	1096.5	4836.35	4972.34	2193.99	9474.59	4239.45	1508.65	5112.16	3257.52	9409.14	4038.61	10368.08	5041.77	9673.69	2573.36	5403.7	14765.09	8598.28	26067.14	7857.29	8022.41	21617.82	9215.48	2664.15	8022.41	7280.4	19892.37	8479.89	14163.58	5479.15	12502.12	3443.31	5479.15	4181.07	4836.35	12676.65	14971.21	11504.21	6381.92	8901.53	540.19	11267.44	7695.57	7382.04	3874.05	3742.05	9474.59	10014.87	10585.95	24153.43	8191.0	13215.02	3349.13	2209.26	5183.54	23330.64	16045.82	2555.58	9344.14	3303.0	5255.91	3419.52	11189.6	4869.99	5479.15	5292.48	1936.53	2119.22	7485.11	3847.29	3060.45	7589.61	6935.54	3349.13	7433.4	9673.69	8658.09	23492.92	8963.45	8134.41	21768.19	12764.83	11267.44	1427.22	9088.59	11112.3	1697.45	7230.1	2835.7	12244.81	9344.14	9409.14	7589.61	15934.98	5791.62	5517.27	19754.96	0.0	1.22	1794.29	1572.76	463.65	775.05	329.84	1844.76	1709.26	3303.0	748.61	2240.11	1104.13	2303.12	3325.99	764.36	473.41	1467.37
LCA5L	25.35	24.46	7.34	13.12	3.92	19.82	33.78	12.74	3.2	19.53	29.06	11.21	28.65	18.29	23.25	130.6	109.66	84.63	80.57	105.15	124.37	94.67	39.22	96.68	59.55	73.54	44.25	110.43	208.38	66.18	117.6	59.97	79.45	98.73	197.09	99.43	112.77	78.34	125.24	122.64	153.34	75.64	140.04	32.36	113.56	73.54	50.63	105.89	87.03	139.07	75.64	104.42	36.53	239.52	45.53	70.51	175.07	55.1	151.22	102.97	209.84	51.35	29.91	159.9	82.87	33.3	88.26	146.03	96.68	55.1	94.67	76.71	78.34	64.8	129.69	56.68	120.1	45.53	10.71	71.0	61.25	58.3	48.87	74.06	61.25	63.45	119.26	138.1	51.35	136.19	144.01	55.1	128.79	150.17	82.87	24.28	191.67	150.17	83.45	49.56	60.39	85.22	102.25	150.17	38.95	66.18	78.34	48.52	106.63	0.0	0.0	13.42	16.27	29.06	24.63	9.48	34.26	44.25	54.72	18.03	44.89	11.55	24.28	24.99	30.34	29.91	226.54
LIPC	20.11	13.32	5.59	2.66	5.32	3.53	16.51	5.28	2.43	90.77	3.26	4.98	6.16	2.46	105.89	813.63	1369.04	64.34	84.04	71.5	277.2	119.26	103.69	4671.57	624.99	1757.34	144.01	135.24	447.82	8718.32	1498.22	1617.0	698.41	16960.78	518.15	57.08	698.41	2997.45	67.59	6079.61	1819.35	2104.58	187.71	441.64	109.66	476.71	42.11	563.18	5791.62	6250.56	1051.79	514.56	229.72	14765.09	656.11	273.37	928.3	503.95	4736.79	1096.5	9606.86	151.22	7857.29	1111.82	961.07	54.33	8305.36	1015.93	13215.02	1417.35	4512.4	547.75	41.22	169.07	3491.39	45.85	3018.3	540.19	138.1	366.09	387.02	759.08	295.11	1340.84	3467.27	579.04	4328.55	7537.18	228.13	10440.2	3190.46	4010.71	5791.62	5555.65	3665.02	890.44	612.11	329.84	1151.06	264.03	567.1	2434.5	493.56	1529.73	20.26	2537.92	2303.12	267.73	9474.59	0.0	0.0	2.12	27.25	34.75	55.49	38.12	18.29	10.39	159.9	7.82	194.36	6.67	38.4	17.9	89.51	5.54	27.05
LRRC36	1.35	2.53	0.0	1.07	0.0	0.0	4.24	1.07	1.81	4.03	1.83	0.0	4.13	0.0	5.82	17.38	112.77	22.92	17.77	65.72	85.82	161.02	87.65	157.68	161.02	172.65	43.63	2.43	170.25	133.36	153.34	108.9	93.35	651.58	212.78	78.89	122.64	46.5	181.28	76.71	339.14	209.84	126.12	32.13	79.45	59.97	139.07	187.71	64.8	41.52	79.45	145.02	20.56	165.57	89.51	153.34	159.9	35.5	143.01	186.4	45.53	291.04	223.41	110.43	93.35	49.56	46.5	212.78	53.19	13.72	55.1	12.74	81.14	49.21	158.79	76.71	249.73	98.04	34.75	6.46	66.18	26.47	43.02	108.9	55.1	114.36	65.72	45.85	74.06	101.54	141.02	74.58	69.03	234.57	135.24	9.7	167.9	218.79	9.27	18.43	19.39	68.55	88.88	105.89	251.48	420.68	18.29	47.17	202.66	0.0	0.0	5.32	6.73	0.61	3.47	2.12	17.9	25.17	27.44	3.38	19.25	3.63	28.45	13.32	101.54	3.41	15.56
LRRC46	28.24	7.57	7.57	1.31	2.51	12.18	10.0	4.82	5.15	5.28	3.56	3.03	12.93	15.45	8.92	27.25	65.72	27.25	82.87	29.7	83.45	115.16	133.36	123.5	94.67	208.38	24.11	49.56	190.34	20.56	197.09	122.64	137.14	172.65	170.25	62.12	153.34	119.26	63.0	138.1	353.59	37.32	100.13	66.18	105.15	81.14	23.08	103.69	194.36	129.69	133.36	103.69	44.89	460.44	224.97	142.01	142.01	47.84	108.14	157.68	153.34	231.32	116.78	107.38	26.67	98.73	86.43	100.13	39.5	19.68	129.69	96.68	51.71	138.1	226.54	54.72	155.5	98.73	13.32	46.5	93.35	93.35	40.07	95.34	63.45	108.14	105.15	126.12	85.22	100.13	156.59	39.22	99.43	134.3	111.99	39.79	152.28	101.54	10.71	43.63	52.82	49.21	104.42	198.47	45.85	176.29	25.54	86.43	112.77	0.0	0.0	8.19	11.64	12.74	5.82	11.04	28.04	9.56	15.11	12.74	12.09	10.0	37.32	31.22	15.68	3.79	50.98
LRRC48	52.82	39.79	21.01	6.11	15.34	24.11	30.56	17.13	11.3	23.93	31.0	22.59	46.84	18.7	26.1	75.64	217.27	37.05	241.19	10.63	460.44	432.53	346.29	356.05	96.01	551.56	120.1	55.89	559.28	293.07	540.19	358.54	312.0	753.83	490.14	105.15	587.13	309.83	318.57	579.04	1427.22	64.8	647.07	140.04	161.02	258.57	110.43	366.09	420.68	400.71	403.5	420.68	152.28	384.34	493.56	301.33	229.72	131.51	624.99	251.48	733.19	400.71	547.75	629.35	85.22	214.27	379.04	674.59	143.01	144.01	603.67	231.32	97.36	361.04	733.19	106.63	460.44	226.54	77.25	201.25	66.65	260.38	135.24	323.03	351.14	178.77	329.84	483.38	480.04	450.94	748.61	316.37	547.75	587.13	307.69	59.55	660.68	429.54	98.73	132.44	121.79	195.72	318.57	497.0	84.63	693.58	90.77	260.38	555.41	0.0	0.0	23.59	50.63	64.8	24.81	49.21	29.7	37.05	46.5	32.82	43.63	14.89	31.45	76.17	26.1	36.53	525.39
LRRC6	529.06	182.55	11.82	21.47	7.46	38.12	24.99	36.01	3.35	29.91	16.27	11.55	17.13	6.94	80.57	323.03	297.17	373.81	466.88	84.04	262.2	312.0	156.59	503.95	299.25	403.5	166.73	371.22	486.75	119.26	403.5	297.17	253.23	486.75	575.03	198.47	409.15	273.37	220.32	571.05	1304.15	138.1	400.71	205.5	223.41	120.1	358.54	260.38	287.01	429.54	209.84	332.14	220.32	591.22	473.41	260.38	603.67	220.32	764.36	191.67	551.56	409.15	376.41	400.71	137.14	214.27	356.05	473.41	255.0	146.03	281.09	260.38	148.09	283.05	769.69	214.27	518.15	293.07	49.56	211.31	157.68	231.32	351.14	348.71	389.72	229.72	497.0	412.0	307.69	463.65	551.56	234.57	409.15	642.59	279.14	191.67	381.68	503.95	246.28	167.9	146.03	201.25	244.57	277.2	88.88	507.46	95.34	123.5	417.77	0.0	0.34	20.11	6.89	44.57	100.83	13.62	40.07	6.26	25.72	128.79	25.91	14.14	52.08	66.18	9.56	4.03	346.29
LRRIQ1	2.12	0.0	0.75	0.0	0.0	1.06	3.2	17.51	0.43	4.28	1.07	3.41	5.32	1.46	5.23	0.73	113.56	9.34	75.64	3.38	54.72	131.51	48.18	327.56	40.93	85.82	6.94	27.25	218.79	29.48	75.64	98.04	82.29	96.01	133.36	20.56	41.81	58.71	76.71	97.36	366.09	27.84	122.64	29.7	91.41	1.43	45.21	78.34	76.17	63.89	47.17	64.8	2.73	156.59	112.77	40.64	58.3	50.27	111.21	83.45	150.17	55.1	55.89	85.82	22.43	9.93	70.51	122.64	64.34	20.71	138.1	43.94	31.45	19.25	95.34	29.27	98.04	23.08	3.32	11.3	25.54	12.27	33.3	67.12	65.26	19.53	121.79	71.5	100.83	107.38	108.9	94.67	104.42	122.64	32.59	7.22	56.28	59.55	12.27	36.79	19.11	46.18	32.59	80.57	10.08	98.04	4.5	41.22	77.25	0.0	0.0	0.09	3.69	0.89	15.34	16.63	4.54	0.67	1.14	6.62	1.6	0.25	2.89	2.56	0.0	6.89	86.43
