	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.E2.A15M.11A.22R.A12D.07	GTEX.ZZPU.0626.SM.5E43T	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.13QIC.2326.SM.5LU5N	TCGA.KN.8437.11A.01R.2315.07	TCGA.DD.A4NS.01A.11R.A311.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH
MUC15	123.5	647.07	169.07	285.03	325.29	155.5	351.14	255.0	665.29	180.02	318.57	1096.5	169.07	392.44	244.57	1066.48	341.51	208.38	583.07	339.14	0.0	0.0	0.09	2.25	3.59	2.73	0.0	0.04	0.0	0.0	0.0	0.11	0.0	0.0	0.12	2.36	0.0	3.06	2.48	2.25	0.0	0.0	9.56	1.53	0.0
NCALD	620.67	1359.57	1561.89	961.07	1832.01	703.28	1407.55	1685.71	4066.71	723.08	1685.71	2193.99	1407.55	1242.34	1066.48	2133.97	1066.48	1551.09	5479.15	480.04	202.66	241.19	555.41	334.46	111.21	109.66	142.01	518.15	417.77	149.12	198.47	115.97	220.32	339.14	371.22	197.09	154.42	41.81	236.21	381.68	318.57	397.93	117.6	204.07	253.23
NEDD1	228.13	423.61	486.75	289.02	265.87	159.9	260.38	473.41	612.11	265.87	373.81	366.09	400.71	236.21	327.56	409.15	454.09	432.53	587.13	234.57	120.1	37.05	43.94	92.7	17.64	50.63	18.97	81.71	35.76	34.02	26.86	55.89	20.26	21.63	43.94	32.13	28.86	31.67	78.34	58.3	20.71	59.55	63.89	24.46	39.5
NUDCD1	214.27	351.14	470.14	281.09	275.28	173.85	248.0	301.33	567.1	277.2	327.56	299.25	409.15	303.44	381.68	242.88	234.57	376.41	447.82	281.09	209.84	95.34	105.15	58.3	75.64	52.82	50.98	75.11	40.07	50.98	61.25	86.43	45.21	57.08	102.97	81.14	68.07	50.27	59.97	111.21	52.82	40.36	90.14	50.63	81.14
OTUD3	112.77	202.66	190.34	127.89	110.43	73.03	124.37	269.6	223.41	100.13	303.44	185.11	177.53	141.02	93.35	193.01	135.24	163.28	145.02	94.01	60.82	11.47	30.56	12.18	4.74	14.89	12.83	15.91	25.17	16.51	37.32	27.44	17.77	8.65	46.5	19.68	14.14	12.83	21.32	45.85	22.26	14.78	19.53	10.88	16.03
PDPK1	353.59	607.87	571.05	567.1	376.41	299.25	406.31	651.58	848.22	363.56	432.53	567.1	587.13	521.76	454.09	796.86	780.44	651.58	409.15	470.14	406.31	144.01	77.79	226.54	68.55	384.34	108.9	130.6	108.14	134.3	153.34	161.02	327.56	136.19	289.02	175.07	217.27	232.94	195.72	142.01	140.04	66.18	142.01	74.58	115.97
PHKB	642.59	1183.45	1216.75	921.88	967.76	915.51	995.0	1023.0	1331.57	825.0	1242.34	1216.75	1313.23	1059.11	813.63	1923.14	1437.15	1639.59	1508.65	1008.9	547.75	279.14	392.44	612.11	403.5	571.05	503.95	718.08	518.15	351.14	540.19	651.58	395.18	406.31	420.68	373.81	275.28	547.75	674.59	521.76	356.05	303.44	620.67	444.72	493.56
PLEKHB1	457.25	361.04	447.82	141.02	587.13	366.09	624.99	1286.18	698.41	212.78	536.45	830.75	334.46	563.18	249.73	1167.14	242.88	409.15	684.02	429.54	162.14	13.83	204.07	193.01	47.17	118.43	30.78	5.45	50.27	18.16	3.89	139.07	3.63	12.09	287.01	11.04	26.47	45.85	35.0	785.88	23.08	267.73	51.71	1.85	0.04
PPFIBP1	518.15	1191.69	961.07	583.07	693.58	373.81	738.29	961.07	1151.06	967.76	860.08	1030.12	995.0	866.07	819.3	1073.91	1066.48	1135.2	651.58	802.41	295.11	161.02	186.4	149.12	38.12	77.79	195.72	384.34	346.29	71.5	176.29	141.02	80.01	85.82	624.99	182.55	249.73	285.03	142.01	198.47	100.13	143.01	500.46	79.45	246.28
PRIM2	90.14	134.3	172.65	87.03	79.45	73.03	83.45	151.22	189.02	81.14	88.26	134.3	107.38	92.7	105.89	140.04	109.66	211.31	165.57	82.29	111.99	18.43	33.06	23.59	9.7	9.2	24.81	6.21	29.48	21.01	41.52	18.97	16.63	27.84	20.41	12.36	28.86	33.06	20.56	24.99	17.77	30.78	50.63	31.22	18.97
PRKD3	346.29	525.39	723.08	423.61	400.71	234.57	438.59	480.04	780.44	503.95	476.71	616.37	612.11	444.72	444.72	684.02	802.41	567.1	514.56	466.88	229.72	84.63	121.79	82.29	72.01	69.52	62.12	94.67	145.02	76.71	56.68	127.0	77.79	133.36	152.28	144.01	96.68	41.52	49.56	143.01	77.79	76.71	88.26	42.11	122.64
PTN	2240.11	5954.47	2018.8	5329.3	4450.27	3039.3	4769.75	4972.34	961.07	3039.3	6840.04	9808.75	2255.7	6983.79	3982.99	8538.88	6471.02	1639.59	15392.14	3768.09	232.94	87.65	190.34	195.72	115.16	81.71	125.24	36.53	237.86	115.16	75.64	108.9	43.02	94.01	224.97	24.99	60.82	46.5	67.59	264.03	74.06	109.66	156.59	15.0	122.64
QRSL1	201.25	183.82	312.0	206.94	186.4	143.01	166.73	249.73	316.37	182.55	224.97	226.54	220.32	209.84	182.55	212.78	209.84	205.5	384.34	161.02	107.38	69.52	106.63	112.77	100.83	53.57	117.6	73.03	83.45	84.04	85.82	146.03	114.36	68.55	98.73	107.38	68.55	89.51	105.15	114.36	161.02	113.56	82.29	75.11	104.42
RASA1	559.28	813.63	785.88	669.92	518.15	417.77	497.0	693.58	995.0	536.45	688.78	633.73	780.44	638.15	620.67	988.12	1059.11	813.63	1225.22	457.25	251.48	134.3	127.89	211.31	70.01	64.8	110.43	135.24	190.34	90.14	102.25	124.37	83.45	127.0	209.84	85.22	115.16	121.79	127.0	275.28	122.64	109.66	135.24	52.82	167.9
RELL1	145.02	293.07	325.29	224.97	309.83	220.32	246.28	251.48	161.02	403.5	287.01	191.67	356.05	305.55	303.44	403.5	518.15	325.29	551.56	199.85	86.43	33.3	56.28	17.77	26.67	16.15	24.63	13.12	15.34	31.45	17.77	12.45	33.54	3.29	43.94	5.68	88.88	39.79	22.75	17.13	17.51	26.86	34.75	49.56	12.45
RLN2	29.06	75.11	101.54	88.26	70.51	24.99	43.63	43.63	46.84	31.22	67.59	40.64	57.08	129.69	37.85	18.43	190.34	183.82	120.94	26.1	3.79	0.0	2.73	6.06	0.0	0.0	0.0	11.3	24.63	4.78	0.0	4.86	7.06	6.62	0.0	0.0	0.0	0.0	0.0	0.0	17.51	0.0	0.0	0.0	0.0
RNF20	532.74	791.35	819.3	775.05	679.29	603.67	713.11	616.37	825.0	698.41	665.29	808.0	571.05	738.29	651.58	1304.15	1286.18	1447.15	872.1	503.95	325.29	144.01	146.03	169.07	138.1	130.6	183.82	165.57	204.07	166.73	177.53	239.52	148.09	182.55	228.13	117.6	127.89	158.79	204.07	202.66	128.79	181.28	194.36	96.68	220.32
RNF214	444.72	497.0	473.41	480.04	423.61	392.44	384.34	473.41	575.03	395.18	423.61	483.38	368.65	435.55	473.41	599.49	607.87	571.05	454.09	371.22	363.56	151.22	217.27	281.09	232.94	244.57	256.78	185.11	307.69	248.0	209.84	303.44	229.72	285.03	314.17	239.52	205.5	275.28	309.83	269.6	301.33	159.9	334.46	161.02	246.28
RPL39L	392.44	346.29	460.44	346.29	301.33	423.61	381.68	423.61	417.77	260.38	323.03	368.65	332.14	299.25	275.28	341.51	423.61	547.75	460.44	264.03	114.36	71.5	48.52	66.65	43.02	3.69	36.79	49.56	29.91	41.81	138.1	47.17	68.55	8.0	47.17	5.92	69.03	22.92	180.02	145.02	46.84	105.15	23.93	46.18	18.29
SCN3A	23.25	44.25	90.14	27.44	28.65	12.64	24.81	36.27	35.0	50.63	47.84	63.89	52.08	59.13	49.21	79.45	34.75	34.02	46.84	40.36	4.1	0.29	5.77	10.63	2.39	2.07	1.62	1.17	7.51	2.61	0.73	7.69	0.68	1.17	2.2	1.51	0.0	2.66	0.31	3.47	0.74	4.1	8.06	1.38	0.78
SERPINI1	389.72	395.18	547.75	297.17	264.03	239.52	454.09	633.73	563.18	395.18	460.44	493.56	441.64	346.29	301.33	334.46	1225.22	525.39	836.53	229.72	108.14	71.5	90.77	96.01	6.67	111.99	104.42	61.25	48.87	49.56	96.68	28.45	40.93	41.22	63.89	70.51	20.11	6.89	18.56	57.89	33.3	153.34	182.55	9.93	43.94
SFXN3	684.02	947.83	718.08	587.13	780.44	684.02	890.44	718.08	480.04	860.08	915.51	1001.93	947.83	738.29	813.63	1088.92	708.18	961.07	988.12	796.86	559.28	88.26	283.05	107.38	75.11	53.57	115.16	23.42	231.32	43.02	55.89	102.97	68.07	45.85	110.43	44.25	44.25	62.56	125.24	215.77	112.77	108.14	185.11	36.01	62.12
SH3TC2	21.47	113.56	46.18	28.86	35.25	28.04	57.08	100.83	53.95	26.1	57.08	78.34	46.18	39.79	32.13	78.34	31.67	77.79	45.85	6.62	10.16	4.31	4.94	3.26	10.79	0.85	7.63	0.83	4.13	0.0	2.78	8.19	13.32	0.51	5.5	5.41	1.43	2.39	1.11	2.94	0.82	1.68	4.7	3.82	0.0
SLC39A6	3060.45	3742.05	6607.01	4123.49	6745.86	2645.74	4512.4	6250.56	3820.7	2178.83	4512.4	3325.99	4066.71	7032.37	3874.05	7331.05	47974.16	6426.31	8191.0	1073.91	307.69	110.43	127.89	136.19	75.64	126.12	100.13	152.28	285.03	198.47	129.69	125.24	108.14	194.36	303.44	59.13	327.56	185.11	128.79	273.37	134.3	135.24	158.79	70.51	289.02
SOCS5	332.14	860.08	713.11	547.75	406.31	258.57	511.0	674.59	796.86	470.14	616.37	860.08	660.68	435.55	559.28	769.69	507.46	511.0	684.02	371.22	195.72	66.18	82.87	81.14	45.53	88.88	52.08	93.35	92.7	74.58	38.67	96.01	64.34	61.68	78.34	120.1	56.28	77.79	77.79	137.14	61.25	82.87	120.94	38.67	108.9
SPATA5	45.85	85.22	77.79	56.28	57.89	31.0	52.08	81.71	116.78	43.02	67.12	53.95	69.52	71.5	63.89	55.1	48.18	81.14	94.67	49.21	37.59	11.55	38.95	19.53	8.58	14.45	19.68	10.24	24.81	11.3	13.72	15.8	6.26	19.11	25.72	19.68	14.03	14.35	18.97	39.79	14.03	25.72	28.86	14.03	12.83
STAG1	343.89	583.07	607.87	444.72	409.15	264.03	441.64	497.0	693.58	426.57	438.59	575.03	497.0	444.72	441.64	483.38	432.53	620.67	551.56	373.81	215.77	77.79	148.09	126.12	46.5	58.71	64.8	85.22	139.07	67.59	110.43	92.05	68.55	67.59	122.64	78.34	94.01	76.17	108.9	123.5	81.71	79.45	114.36	64.34	90.77
STAM2	287.01	540.19	555.41	423.61	384.34	242.88	297.17	429.54	624.99	287.01	414.87	395.18	521.76	466.88	387.02	486.75	854.13	529.06	543.96	341.51	229.72	169.07	137.14	175.07	77.25	116.78	151.22	146.03	151.22	73.03	104.42	162.14	124.37	111.99	171.45	149.12	59.97	101.54	142.01	197.09	144.01	134.3	150.17	59.13	133.36
STEAP4	486.75	1216.75	1111.82	1447.15	902.89	819.3	1617.0	1051.79	543.96	2178.83	1295.13	1051.79	1721.16	1417.35	1685.71	947.83	507.46	2287.2	5112.16	256.78	206.94	403.5	154.42	150.17	63.45	72.52	53.19	43.02	587.13	132.44	109.66	571.05	88.26	119.26	118.43	116.78	215.77	113.56	291.04	229.72	166.73	228.13	169.07	197.09	125.24
TAMM41	334.46	336.79	397.93	373.81	325.29	273.37	273.37	409.15	616.37	249.73	305.55	373.81	358.54	285.03	295.11	348.71	438.59	400.71	423.61	285.03	211.31	130.6	167.9	142.01	78.34	71.0	204.07	99.43	145.02	76.71	126.12	107.38	131.51	246.28	215.77	153.34	140.04	152.28	127.89	158.79	246.28	167.9	229.72	59.13	98.73
TAOK3	444.72	532.74	669.92	450.94	486.75	318.57	514.56	529.06	808.0	447.82	559.28	555.41	540.19	540.19	493.56	551.56	599.49	607.87	536.45	457.25	420.68	169.07	314.17	236.21	229.72	177.53	163.28	218.79	190.34	267.73	195.72	217.27	217.27	157.68	224.97	132.44	242.88	150.17	205.5	420.68	189.02	181.28	234.57	144.01	208.38
TGFBR1	441.64	669.92	775.05	420.68	368.65	366.09	457.25	503.95	684.02	536.45	567.1	518.15	775.05	591.22	629.35	624.99	842.36	371.22	368.65	381.68	206.94	88.26	128.79	139.07	84.63	65.26	119.26	214.27	84.04	131.51	64.8	325.29	83.45	108.14	126.12	170.25	111.21	141.02	134.3	122.64	106.63	77.79	112.77	143.01	269.6
THEG	5.87	19.39	12.0	10.16	8.92	3.47	23.93	20.26	8.06	4.74	12.18	18.97	2.18	7.69	8.58	7.06	41.52	13.03	153.34	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM87B	373.81	595.34	629.35	414.87	358.54	307.69	351.14	511.0	693.58	318.57	651.58	466.88	518.15	466.88	457.25	551.56	902.89	555.41	642.59	205.5	149.12	72.52	53.95	75.64	36.01	41.22	38.67	61.25	75.64	32.13	43.94	93.35	32.13	46.18	52.08	69.03	64.34	43.63	98.04	97.36	50.63	65.72	63.45	34.51	76.71
TMOD2	81.14	234.57	220.32	121.79	135.24	87.65	173.85	98.04	236.21	151.22	190.34	242.88	202.66	167.9	194.36	224.97	170.25	248.0	176.29	108.14	44.57	9.13	20.86	16.03	10.55	8.32	6.46	7.69	19.53	8.32	7.88	12.45	5.02	5.59	25.72	18.56	1.11	4.86	19.25	25.17	8.45	19.11	23.25	2.34	9.41
TOP1	860.08	1081.39	1216.75	825.0	995.0	728.11	872.1	1104.13	1225.22	954.43	1051.79	884.29	961.07	988.12	941.27	1216.75	1304.15	1088.92	1250.98	1119.56	642.59	397.93	470.14	366.09	312.0	305.55	358.54	503.95	297.17	444.72	368.65	616.37	400.71	327.56	420.68	536.45	551.56	423.61	476.71	423.61	262.2	490.14	450.94	406.31	591.22
TOX4	866.07	1167.14	1111.82	1233.75	1008.9	967.76	1059.11	1081.39	1216.75	974.5	1001.93	1066.48	1088.92	1104.13	1216.75	1159.07	1378.57	1242.34	1277.29	1030.12	708.18	414.87	373.81	309.83	303.44	353.59	346.29	343.89	463.65	389.72	435.55	429.54	441.64	438.59	483.38	341.51	497.0	381.68	493.56	466.88	381.68	373.81	466.88	438.59	295.11
TRIM44	339.14	665.29	733.19	395.18	540.19	255.0	381.68	674.59	738.29	629.35	486.75	563.18	693.58	612.11	497.0	1030.12	769.69	836.53	698.41	525.39	283.05	234.57	206.94	226.54	87.65	153.34	121.79	144.01	190.34	202.66	312.0	279.14	224.97	107.38	152.28	146.03	183.82	221.86	256.78	214.27	154.42	178.77	224.97	224.97	120.1
TTC27	318.57	332.14	438.59	363.56	291.04	202.66	277.2	397.93	638.15	303.44	277.2	414.87	348.71	303.44	343.89	389.72	409.15	460.44	429.54	231.32	198.47	116.78	136.19	116.78	91.41	72.52	81.14	122.64	82.29	116.78	104.42	108.14	112.77	162.14	130.6	60.39	121.79	108.14	102.25	105.89	109.66	105.15	85.22	123.5	98.73
TTC37	603.67	954.43	1023.0	759.08	708.18	460.44	647.07	848.22	1268.46	703.28	775.05	860.08	1104.13	819.3	624.99	1088.92	1088.92	1457.23	1331.57	651.58	450.94	231.32	228.13	279.14	99.43	155.5	178.77	231.32	269.6	171.45	246.28	260.38	206.94	211.31	271.48	155.5	149.12	236.21	293.07	346.29	218.79	241.19	420.68	173.85	224.97
TTN	5.06	8.13	6.31	3.92	5.87	2.36	5.59	12.55	14.89	3.66	10.0	5.63	10.71	8.45	3.23	15.56	9.2	13.93	6.67	2.86	7.4	0.34	0.68	1.77	1.73	2.01	2.2	0.99	1.89	1.5	1.71	1.33	5.96	1.38	2.2	0.18	0.74	2.63	0.2	7.17	0.78	3.29	1.08	0.59	0.84
UBE3A	656.11	1015.93	1066.48	915.51	688.78	525.39	656.11	974.5	1331.57	693.58	848.22	848.22	954.43	780.44	808.0	1023.0	1477.58	1051.79	1233.75	612.11	497.0	376.41	305.55	674.59	361.04	327.56	320.8	536.45	612.11	351.14	334.46	500.46	555.41	414.87	603.67	329.84	316.37	332.14	389.72	583.07	414.87	353.59	500.46	373.81	660.68
UGGT1	206.94	373.81	463.65	253.23	312.0	256.78	267.73	412.0	447.82	327.56	384.34	348.71	403.5	371.22	295.11	579.04	400.71	400.71	426.57	376.41	343.89	104.42	121.79	133.36	105.89	157.68	154.42	211.31	158.79	94.01	170.25	248.0	202.66	96.01	132.44	255.0	105.89	85.82	267.73	154.42	131.51	217.27	124.37	208.38	122.64
VGLL1	73.03	583.07	571.05	265.87	170.25	241.19	277.2	435.55	332.14	101.54	198.47	473.41	236.21	99.43	97.36	825.0	242.88	208.38	323.03	75.64	63.45	0.0	5.32	0.0	0.0	0.0	8.92	0.0	28.24	0.0	0.0	0.0	0.0	0.0	0.0	24.81	0.0	26.1	0.0	0.0	0.0	0.0	0.0	0.0	16.39
VPS37A	518.15	688.78	651.58	612.11	629.35	423.61	486.75	674.59	759.08	514.56	679.29	511.0	753.83	679.29	629.35	703.28	679.29	543.96	934.76	753.83	435.55	507.46	327.56	381.68	236.21	281.09	346.29	339.14	183.82	198.47	438.59	253.23	281.09	212.78	309.83	332.14	228.13	285.03	231.32	291.04	198.47	444.72	332.14	420.68	256.78
WDR70	559.28	583.07	665.29	633.73	532.74	693.58	629.35	651.58	866.07	463.65	607.87	629.35	607.87	563.18	595.34	616.37	647.07	684.02	595.34	457.25	438.59	262.2	248.0	373.81	387.02	423.61	473.41	353.59	521.76	193.01	409.15	323.03	246.28	450.94	599.49	480.04	297.17	236.21	353.59	426.57	285.03	295.11	412.0	256.78	314.17
ZNF365	23.59	38.12	51.71	19.53	23.42	15.45	21.32	111.21	20.56	11.47	31.9	22.92	40.93	24.63	33.54	39.79	25.54	16.15	64.8	19.97	6.46	0.34	0.0	2.29	0.54	0.0	0.39	0.39	0.0	0.43	2.48	0.0	0.0	0.0	0.0	0.0	0.36	1.53	2.46	0.33	0.0	0.0	0.0	0.0	0.0
ZNF410	854.13	1151.06	1088.92	1111.82	967.76	830.75	961.07	1304.15	1191.69	974.5	1037.29	1191.69	1088.92	1030.12	995.0	866.07	1350.18	1044.52	1008.9	1059.11	571.05	269.6	334.46	470.14	239.52	325.29	323.03	351.14	490.14	289.02	309.83	426.57	329.84	299.25	346.29	688.78	409.15	242.88	312.0	406.31	371.22	409.15	414.87	444.72	389.72
ZNF778	76.71	133.36	105.15	76.71	87.03	68.55	82.29	125.24	115.97	90.77	98.73	83.45	90.14	107.38	90.14	189.02	121.79	136.19	73.54	87.03	39.22	22.59	23.76	57.49	44.57	25.35	15.34	22.1	30.12	21.47	33.54	25.17	36.53	35.5	20.86	21.16	17.13	27.64	15.0	27.25	53.19	18.7	40.07	9.56	33.06
