	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.DK.A6AW.01A.11R.A30C.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.DK.AA6P.01A.11R.A39I.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.DK.A3IL.01A.11R.A20F.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.E9.A1RE.01A.11R.A157.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.E9.A22D.01A.11R.A157.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.B6.A408.01A.12R.A24H.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A07Z.01A.11R.A00Z.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.A7.A0D9.01A.31R.A056.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.D8.A1JD.01A.11R.A13Q.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.A2.A0CT.01A.31R.A056.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.AR.A255.01A.11R.A169.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.AR.A2LL.01A.11R.A180.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A2.A4S0.01A.21R.A266.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.BH.A1F5.01A.12R.A13Q.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.AN.A0FF.01A.11R.A034.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.BH.A0H7.01A.13R.A056.07	TCGA.BH.A18L.01A.32R.A12D.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.D8.A1X5.01A.11R.A14D.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	GTEX.14AS3.1626.SM.5S2OY	TCGA.KL.8328.01A.11R.2315.07	TCGA.KO.8408.01A.11R.2315.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11ZUS.2526.SM.59872	GTEX.13N11.0926.SM.5IJG2	TCGA.AX.A3G4.01A.11R.A213.07	TCGA.EO.A3AV.01A.12R.A19W.07	TCGA.D1.A3DG.01A.11R.A19W.07
PHF20L1	127.0	307.69	232.94	303.44	144.01	132.44	228.13	146.03	169.07	155.5	400.71	151.22	182.55	796.86	629.35	490.14	928.3	231.32	651.58	563.18	1369.04	583.07	406.31	507.46	260.38	620.67	299.25	665.29	423.61	624.99	242.88	297.17	283.05	808.0	403.5	941.27	759.08	543.96	332.14	988.12	221.86	457.25	1001.93	638.15	251.48	819.3	423.61	514.56	665.29	547.75	256.78	187.71	1001.93	624.99	295.11	708.18	507.46	444.72	536.45	1322.37	1051.79	674.59	796.86	1143.1	764.36	651.58	698.41	1583.71	503.95	529.06	543.96	665.29	583.07	497.0	438.59	420.68	1268.46	376.41	629.35	1508.65	764.36	232.94	567.1	547.75	346.29	836.53	293.07	599.49	723.08	406.31	239.52	651.58	435.55	532.74	769.69	961.07	414.87	669.92	915.51	693.58	595.34	679.29	293.07	358.54	409.15	947.83	981.29	339.14	285.03	693.58	420.68	334.46	507.46	1674.06	674.59	1697.45	94.01	379.04	591.22	808.0	387.02	454.09	124.37	221.86	281.09	165.57	115.97	34.26	111.99	182.55	202.66	151.22	135.24
PLEKHF2	96.01	507.46	303.44	256.78	161.02	98.04	457.25	332.14	110.43	376.41	444.72	81.71	195.72	1242.34	819.3	1561.89	1498.22	1242.34	830.75	1135.2	2816.11	1583.71	665.29	642.59	444.72	3303.0	1104.13	2133.97	1417.35	1233.75	753.83	698.41	435.55	3235.01	921.88	3168.41	1350.18	3768.09	679.29	2537.92	884.29	1340.84	2351.53	2104.58	318.57	1427.22	1066.48	981.29	2895.31	2609.3	497.0	647.07	1378.57	1250.98	444.72	1883.54	928.3	2384.37	1487.87	2591.27	1572.76	1529.73	1794.29	2555.58	1572.76	665.29	1350.18	5041.77	1295.13	1769.57	1066.48	836.53	1950.0	703.28	1457.23	1015.93	2163.77	1111.82	1322.37	2976.74	902.89	567.1	1378.57	836.53	780.44	651.58	718.08	1397.83	1208.34	1001.93	587.13	2417.67	612.11	1605.83	1936.53	3395.89	703.28	1870.53	3820.7	2240.11	2240.11	1991.0	1397.83	2163.77	384.34	1331.57	808.0	669.92	836.53	848.22	616.37	688.78	1259.69	3515.68	2777.33	1457.23	301.33	514.56	1286.18	1111.82	1119.56	718.08	441.64	299.25	212.78	117.6	153.34	96.68	241.19	107.38	124.37	109.66	201.25
PTK2	796.86	1883.54	1331.57	1909.85	1151.06	1008.9	1447.15	974.5	1023.0	665.29	2090.03	1447.15	866.07	1757.34	2255.7	1487.87	3690.52	1175.27	2758.13	1709.26	4419.52	1909.85	1709.26	2018.8	1242.34	2555.58	1015.93	1331.57	1378.57	2133.97	909.17	1044.52	1151.06	3419.52	988.12	2627.46	2193.99	2090.03	1183.45	4481.23	417.77	1407.55	3443.31	2895.31	995.0	1733.13	1350.18	1551.09	2555.58	1662.49	1081.39	1199.98	2502.97	2018.8	1639.59	1757.34	1639.59	1407.55	1709.26	6121.9	3103.19	2004.85	3491.39	4181.07	2664.15	1819.35	1721.16	3928.15	2502.97	1427.22	1225.22	1733.13	1832.01	1369.04	1561.89	1572.76	2758.13	1127.35	1639.59	2915.45	1322.37	981.29	2915.45	1617.0	1883.54	1487.87	1359.57	1844.76	2468.49	1551.09	921.88	1896.65	1143.1	2163.77	2061.24	3491.39	1350.18	1832.01	2796.65	3280.18	2032.85	2367.9	1225.22	1583.71	830.75	2555.58	1081.39	1096.5	1037.29	2193.99	1059.11	1331.57	1583.71	5006.93	2319.15	4298.64	529.06	1037.29	1519.15	3060.45	1963.57	1540.37	620.67	1135.2	1350.18	571.05	420.68	314.17	303.44	358.54	988.12	612.11	967.76
RAB18	954.43	1044.52	890.44	738.29	1044.52	1250.98	2061.24	1286.18	808.0	559.28	1832.01	1104.13	1191.69	4671.57	4937.99	3982.99	4298.64	2075.59	2417.67	1397.83	4010.71	4268.94	2018.8	2335.28	3540.14	3928.15	2400.97	2451.44	3124.78	2319.15	1617.0	1806.78	2739.08	3018.3	2193.99	3103.19	4268.94	5366.37	2502.97	2796.65	1936.53	2090.03	2976.74	3589.58	2956.17	2178.83	3190.46	4481.23	3768.09	1674.06	7382.04	2209.26	4903.87	3847.29	2485.67	1870.53	2417.67	1286.18	2502.97	3039.3	2645.74	3168.41	3103.19	4450.27	3349.13	3820.7	1674.06	3665.02	3060.45	1909.85	2835.7	2758.13	3212.66	1757.34	2816.11	2701.35	2956.17	1304.15	1733.13	4512.4	3303.0	1909.85	2520.38	4769.75	3146.52	2400.97	1551.09	2758.13	4210.15	2956.17	2163.77	2555.58	2777.33	2875.3	2816.11	5995.9	1685.71	2351.53	2384.37	4298.64	3847.29	1977.24	1896.65	1923.14	2032.85	2104.58	2224.63	2240.11	1331.57	3039.3	2271.4	2018.8	1870.53	2609.3	2875.3	2178.83	836.53	2739.08	3768.09	4419.52	2502.97	2645.74	1378.57	684.02	764.36	567.1	341.51	748.61	753.83	1023.0	733.19	1001.93	674.59
RAB2A	1870.53	2148.82	2609.3	2777.33	2004.85	1883.54	954.43	2417.67	2148.82	1617.0	2777.33	2240.11	1001.93	3874.05	4038.61	3060.45	5041.77	3235.01	4450.27	5517.27	10154.69	4152.18	1883.54	2434.5	2855.44	9808.75	2758.13	5041.77	3212.66	3303.0	2720.15	3955.48	2384.37	13033.07	2451.44	5954.47	3589.58	4123.49	3349.13	5403.7	2758.13	2855.44	6294.04	4937.99	1685.71	5555.65	5441.3	4512.4	5995.9	2319.15	2609.3	2163.77	2434.5	3349.13	4095.0	5555.65	4123.49	2384.37	1427.22	9215.48	7803.01	4328.55	6887.62	8247.98	4575.41	4038.61	2645.74	4210.15	3716.2	2739.08	3847.29	2502.97	5147.73	2935.74	3491.39	3820.7	8134.41	3303.0	3639.7	6294.04	3124.78	2351.53	3589.58	4671.57	2739.08	4298.64	2701.35	3820.7	4836.35	2303.12	3039.3	4123.49	2485.67	5751.61	3060.45	6607.01	2875.3	4419.52	2816.11	3280.18	3690.52	4704.07	4328.55	2240.11	2451.44	8247.98	2956.17	2271.4	2400.97	2855.44	2287.2	1977.24	4543.8	10154.69	8963.45	6164.49	1119.56	3212.66	3768.09	5791.62	3039.3	3794.3	3443.31	1923.14	1594.73	2335.28	1628.26	1769.57	1277.29	1757.34	1936.53	1832.01	1268.46
RB1CC1	173.85	224.97	217.27	314.17	229.72	173.85	271.48	269.6	159.9	246.28	518.15	206.94	98.04	688.78	460.44	571.05	674.59	256.78	698.41	684.02	1781.89	728.11	295.11	486.75	348.71	872.1	262.2	395.18	497.0	819.3	189.02	239.52	348.71	2627.46	387.02	497.0	525.39	836.53	358.54	1143.1	202.66	336.79	753.83	791.35	197.09	796.86	414.87	808.0	684.02	384.34	291.04	267.73	348.71	473.41	497.0	551.56	490.14	420.68	181.28	1417.35	995.0	435.55	1313.23	1286.18	483.38	684.02	473.41	915.51	403.5	466.88	417.77	351.14	974.5	441.64	420.68	432.53	1216.75	264.03	583.07	1088.92	497.0	334.46	587.13	587.13	395.18	438.59	301.33	708.18	759.08	343.89	248.0	813.63	334.46	1088.92	490.14	1369.04	543.96	785.88	595.34	872.1	902.89	698.41	563.18	307.69	226.54	1407.55	379.04	307.69	389.72	366.09	336.79	384.34	1242.34	1407.55	612.11	1331.57	67.12	348.71	813.63	1073.91	624.99	518.15	199.85	403.5	332.14	189.02	66.65	22.1	100.83	99.43	256.78	120.1	220.32
RBM12B	17.13	127.89	47.5	98.04	37.32	26.47	32.36	71.5	37.32	54.33	102.97	37.59	55.89	318.57	299.25	271.48	414.87	76.17	223.41	244.57	775.05	412.0	139.07	167.9	237.86	199.85	117.6	218.79	214.27	224.97	54.33	80.57	144.01	289.02	145.02	287.01	500.46	277.2	104.42	493.56	98.73	255.0	358.54	232.94	76.17	400.71	167.9	136.19	177.53	320.8	169.07	87.65	264.03	231.32	150.17	182.55	181.28	242.88	178.77	237.86	363.56	157.68	301.33	395.18	339.14	301.33	265.87	356.05	269.6	323.03	299.25	183.82	273.37	231.32	173.85	189.02	351.14	90.77	384.34	267.73	182.55	84.63	162.14	220.32	129.69	122.64	133.36	303.44	387.02	186.4	67.59	332.14	143.01	363.56	242.88	242.88	249.73	314.17	460.44	256.78	189.02	178.77	127.0	215.77	59.13	138.1	161.02	217.27	147.06	163.28	114.36	234.57	366.09	426.57	267.73	343.89	27.44	114.36	190.34	463.65	167.9	176.29	103.69	68.07	71.0	51.71	12.27	17.25	23.08	59.13	100.83	66.65	87.65
RBM27	114.36	97.36	68.55	77.79	109.66	81.14	161.02	98.73	82.87	117.6	165.57	92.05	88.88	361.04	293.07	356.05	258.57	198.47	231.32	371.22	314.17	267.73	165.57	172.65	301.33	218.79	206.94	199.85	223.41	279.14	120.1	75.64	181.28	353.59	169.07	256.78	441.64	283.05	194.36	289.02	183.82	305.55	299.25	297.17	246.28	309.83	169.07	346.29	220.32	206.94	255.0	150.17	327.56	323.03	264.03	264.03	178.77	244.57	226.54	293.07	473.41	275.28	234.57	289.02	318.57	281.09	218.79	733.19	183.82	283.05	312.0	283.05	320.8	205.5	312.0	234.57	262.2	127.89	476.71	400.71	256.78	120.94	212.78	246.28	186.4	231.32	163.28	244.57	309.83	202.66	117.6	232.94	205.5	314.17	265.87	397.93	307.69	444.72	236.21	234.57	269.6	214.27	265.87	190.34	136.19	209.84	224.97	265.87	236.21	299.25	177.53	248.0	341.51	307.69	221.86	497.0	61.25	187.71	201.25	332.14	166.73	258.57	115.16	126.12	97.36	84.04	63.45	22.26	72.01	110.43	127.89	113.56	115.16
RNF139	466.88	299.25	249.73	476.71	271.48	275.28	412.0	389.72	167.9	483.38	583.07	295.11	201.25	555.41	1088.92	642.59	1819.35	497.0	1529.73	1104.13	2193.99	860.08	967.76	669.92	616.37	1733.13	660.68	1295.13	941.27	1051.79	612.11	633.73	688.78	1769.57	583.07	1216.75	1477.58	848.22	583.07	2287.2	743.43	961.07	1991.0	1369.04	379.04	1015.93	2502.97	981.29	1540.37	738.29	1159.07	583.07	2240.11	1008.9	1030.12	1685.71	934.76	1268.46	967.76	1104.13	947.83	1030.12	1769.57	3018.3	1030.12	1104.13	738.29	2047.0	1304.15	470.14	642.59	1733.13	1651.0	642.59	775.05	1427.22	2193.99	693.58	1119.56	1628.26	934.76	947.83	1175.27	961.07	866.07	616.37	693.58	1259.69	1359.57	1159.07	674.59	1369.04	718.08	1561.89	1498.22	1909.85	921.88	738.29	1135.2	1883.54	1127.35	954.43	1127.35	1151.06	384.34	1721.16	620.67	679.29	567.1	954.43	473.41	684.02	713.11	1936.53	1844.76	3124.78	314.17	791.35	688.78	1388.16	1151.06	872.1	432.53	279.14	312.0	241.19	267.73	295.11	616.37	299.25	358.54	156.59	356.05
SAMD12	201.25	106.63	45.85	141.02	114.36	59.13	111.99	114.36	50.63	53.95	182.55	155.5	43.63	170.25	177.53	92.7	220.32	29.7	129.69	212.78	483.38	165.57	100.13	177.53	156.59	194.36	60.39	295.11	72.52	265.87	35.5	125.24	59.13	371.22	18.03	80.01	262.2	186.4	78.89	420.68	53.19	127.89	356.05	336.79	37.32	507.46	131.51	180.02	323.03	102.97	40.36	63.89	255.0	132.44	158.79	229.72	143.01	237.86	165.57	563.18	379.04	127.89	151.22	353.59	409.15	70.01	63.0	521.76	169.07	66.65	26.28	141.02	224.97	42.71	62.56	86.43	336.79	63.45	189.02	228.13	95.34	52.08	165.57	94.01	173.85	55.1	120.1	116.78	283.05	49.91	53.19	293.07	80.57	307.69	244.57	373.81	122.64	202.66	165.57	301.33	120.1	178.77	98.04	142.01	40.36	295.11	103.69	80.57	88.26	52.08	69.52	31.45	139.07	647.07	470.14	860.08	29.48	67.12	134.3	215.77	232.94	100.83	75.11	152.28	181.28	13.22	9.48	21.01	6.67	43.32	78.89	45.21	41.22
SDAD1	348.71	309.83	260.38	312.0	351.14	412.0	387.02	283.05	289.02	486.75	543.96	297.17	417.77	954.43	595.34	642.59	1159.07	743.43	915.51	414.87	1498.22	583.07	599.49	476.71	559.28	703.28	1487.87	660.68	587.13	743.43	500.46	559.28	518.15	738.29	361.04	764.36	819.3	642.59	429.54	656.11	559.28	555.41	902.89	703.28	361.04	769.69	603.67	674.59	429.54	665.29	507.46	373.81	1175.27	688.78	447.82	500.46	536.45	642.59	559.28	830.75	1096.5	612.11	656.11	693.58	836.53	890.44	571.05	1143.1	665.29	591.22	423.61	769.69	748.61	656.11	579.04	563.18	860.08	403.5	674.59	1225.22	638.15	638.15	902.89	759.08	420.68	518.15	480.04	1008.9	684.02	559.28	444.72	1143.1	486.75	1697.45	759.08	842.36	450.94	693.58	521.76	684.02	571.05	575.03	718.08	392.44	426.57	848.22	651.58	540.19	518.15	660.68	381.68	514.56	819.3	813.63	780.44	934.76	312.0	616.37	954.43	447.82	595.34	583.07	607.87	423.61	429.54	226.54	185.11	124.37	265.87	293.07	429.54	353.59	555.41
SMAD5	178.77	199.85	180.02	224.97	218.79	137.14	191.67	140.04	129.69	164.42	181.28	157.68	182.55	567.1	426.57	490.14	262.2	209.84	316.37	397.93	466.88	559.28	339.14	295.11	312.0	320.8	197.09	201.25	454.09	543.96	204.07	145.02	226.54	571.05	293.07	483.38	567.1	371.22	285.03	616.37	260.38	309.83	493.56	500.46	299.25	536.45	215.77	514.56	309.83	429.54	320.8	172.65	587.13	457.25	303.44	334.46	265.87	457.25	346.29	447.82	669.92	389.72	329.84	486.75	660.68	521.76	303.44	1242.34	256.78	480.04	665.29	420.68	575.03	426.57	435.55	343.89	540.19	206.94	743.43	872.1	447.82	218.79	234.57	339.14	281.09	343.89	239.52	432.53	521.76	336.79	147.06	454.09	275.28	518.15	323.03	616.37	460.44	802.41	503.95	444.72	486.75	273.37	423.61	237.86	162.14	309.83	376.41	366.09	368.65	473.41	253.23	392.44	638.15	988.12	463.65	775.05	145.02	312.0	356.05	567.1	204.07	264.03	198.47	218.79	206.94	226.54	128.79	84.63	170.25	91.41	180.02	126.12	208.38
SNX16	88.26	80.57	75.64	111.99	49.91	29.7	121.79	116.78	51.71	134.3	140.04	48.52	53.19	237.86	171.45	120.1	460.44	159.9	223.41	202.66	392.44	309.83	163.28	435.55	154.42	323.03	256.78	236.21	232.94	215.77	88.88	171.45	141.02	366.09	128.79	309.83	389.72	182.55	202.66	351.14	97.36	226.54	363.56	231.32	70.01	202.66	193.01	191.67	356.05	297.17	97.36	102.25	307.69	202.66	201.25	149.12	275.28	122.64	206.94	341.51	414.87	159.9	346.29	251.48	371.22	236.21	358.54	723.08	162.14	223.41	163.28	108.9	293.07	117.6	226.54	185.11	460.44	78.89	208.38	583.07	161.02	167.9	226.54	224.97	129.69	629.35	128.79	275.28	320.8	114.36	97.36	241.19	189.02	228.13	366.09	547.75	157.68	314.17	379.04	267.73	166.73	260.38	194.36	289.02	91.41	521.76	258.57	178.77	232.94	339.14	198.47	178.77	297.17	454.09	346.29	341.51	56.68	232.94	251.48	309.83	124.37	165.57	242.88	137.14	114.36	116.78	37.59	17.51	14.67	52.82	105.89	79.45	82.29
STAU2	287.01	339.14	256.78	343.89	244.57	193.01	366.09	426.57	463.65	206.94	567.1	329.84	215.77	1697.45	1175.27	679.29	1135.2	420.68	981.29	1295.13	2835.7	1407.55	656.11	860.08	688.78	1781.89	460.44	1030.12	1096.5	1191.69	301.33	463.65	532.74	3235.01	633.73	1721.16	1175.27	1923.14	579.04	1540.37	435.55	728.11	1936.53	1191.69	532.74	1081.39	961.07	1030.12	1044.52	1388.16	507.46	466.88	974.5	1030.12	981.29	1175.27	884.29	591.22	941.27	1639.59	2351.53	961.07	1781.89	2119.22	2255.7	1030.12	612.11	2148.82	909.17	967.76	1104.13	412.0	1697.45	579.04	1259.69	629.35	3491.39	514.56	1096.5	3665.02	954.43	543.96	1081.39	872.1	921.88	890.44	718.08	1561.89	1923.14	679.29	591.22	1183.45	748.61	1639.59	674.59	2335.28	860.08	1225.22	1059.11	1781.89	1369.04	1127.35	525.39	1313.23	444.72	2400.97	466.88	688.78	642.59	738.29	356.05	954.43	3303.0	3589.58	2502.97	2255.7	158.79	693.58	1183.45	1030.12	1051.79	698.41	500.46	483.38	540.19	285.03	204.07	181.28	249.73	287.01	289.02	336.79	368.65
TAF2	81.14	231.32	147.06	187.71	94.01	89.51	199.85	169.07	108.14	165.57	348.71	104.42	130.6	476.71	540.19	406.31	988.12	299.25	543.96	612.11	1151.06	543.96	395.18	435.55	327.56	638.15	320.8	483.38	318.57	559.28	181.28	173.85	228.13	753.83	251.48	651.58	693.58	400.71	221.86	825.0	206.94	518.15	836.53	748.61	218.79	518.15	417.77	575.03	466.88	438.59	277.2	182.55	753.83	438.59	343.89	414.87	341.51	366.09	329.84	2400.97	802.41	406.31	769.69	941.27	684.02	529.06	400.71	1277.29	490.14	341.51	329.84	444.72	599.49	341.51	447.82	346.29	854.13	194.36	599.49	878.17	312.0	202.66	651.58	412.0	363.56	332.14	293.07	497.0	607.87	356.05	152.28	503.95	224.97	483.38	583.07	866.07	395.18	423.61	703.28	595.34	429.54	493.56	208.38	457.25	148.09	928.3	271.48	318.57	229.72	392.44	217.27	301.33	325.29	1199.98	660.68	1350.18	62.56	273.37	341.51	503.95	403.5	327.56	115.16	128.79	98.73	93.35	45.53	46.18	68.55	191.67	164.42	122.64	162.14
TCEA1	1175.27	1023.0	1066.48	1304.15	1119.56	884.29	567.1	1350.18	633.73	674.59	1870.53	967.76	387.02	2956.17	2303.12	1819.35	3614.55	1529.73	3395.89	1794.29	5479.15	1806.78	1340.84	1407.55	1662.49	5147.73	1216.75	1923.14	1639.59	3395.89	1487.87	1477.58	1313.23	10512.82	1295.13	1066.48	1832.01	3349.13	2133.97	5006.93	1437.15	1794.29	4671.57	2758.13	866.07	3235.01	1605.83	2935.74	2468.49	3491.39	1286.18	1359.57	836.53	1572.76	1583.71	1806.78	2451.44	1447.15	1340.84	2997.45	4836.35	2119.22	4639.29	6079.61	2271.4	1896.65	1417.35	3690.52	1397.83	1781.89	1857.6	1135.2	5403.7	1208.34	2224.63	2537.92	5751.61	1008.9	1769.57	6516.03	1407.55	1477.58	2895.31	2682.69	1572.76	1781.89	1651.0	2796.65	3665.02	2032.85	1407.55	3325.99	1151.06	2739.08	1685.71	5517.27	1572.76	2591.27	1923.14	1651.0	2976.74	3325.99	1769.57	1561.89	1081.39	6294.04	1832.01	1487.87	1628.26	2004.85	1225.22	1844.76	3820.7	4095.0	3716.2	4095.0	559.28	1651.0	1757.34	3901.01	1651.0	1832.01	1639.59	854.13	995.0	791.35	909.17	713.11	813.63	1447.15	884.29	866.07	1259.69
TERF1	305.55	371.22	307.69	339.14	221.86	273.37	432.53	341.51	187.71	316.37	493.56	205.5	221.86	802.41	587.13	583.07	967.76	518.15	915.51	698.41	1467.37	511.0	514.56	547.75	444.72	947.83	417.77	587.13	514.56	848.22	403.5	497.0	684.02	1277.29	409.15	1498.22	808.0	890.44	612.11	1216.75	460.44	555.41	1111.82	660.68	246.28	872.1	703.28	703.28	934.76	656.11	351.14	363.56	733.19	674.59	551.56	591.22	633.73	1674.06	624.99	1030.12	1286.18	547.75	890.44	1487.87	1104.13	633.73	466.88	1295.13	591.22	483.38	607.87	320.8	1088.92	525.39	591.22	669.92	2193.99	392.44	660.68	1119.56	559.28	376.41	733.19	748.61	624.99	603.67	432.53	764.36	915.51	406.31	417.77	830.75	432.53	967.76	679.29	1322.37	551.56	728.11	567.1	1388.16	878.17	825.0	603.67	575.03	273.37	1674.06	551.56	532.74	381.68	941.27	529.06	423.61	921.88	1467.37	1208.34	1250.98	189.02	563.18	941.27	738.29	703.28	616.37	447.82	236.21	373.81	151.22	221.86	109.66	100.83	325.29	320.8	329.84	563.18
TGS1	103.69	201.25	202.66	305.55	141.02	159.9	108.14	177.53	220.32	143.01	490.14	165.57	53.57	373.81	281.09	260.38	642.59	173.85	450.94	260.38	616.37	299.25	181.28	183.82	251.48	351.14	234.57	343.89	206.94	339.14	186.4	202.66	171.45	1051.79	209.84	205.5	412.0	334.46	183.82	660.68	92.7	237.86	316.37	463.65	155.5	341.51	212.78	325.29	287.01	198.47	206.94	164.42	273.37	193.01	248.0	314.17	275.28	217.27	112.77	368.65	514.56	159.9	603.67	723.08	361.04	305.55	220.32	363.56	220.32	242.88	279.14	186.4	395.18	262.2	229.72	260.38	497.0	189.02	312.0	551.56	221.86	173.85	381.68	232.94	244.57	224.97	273.37	426.57	397.93	193.01	147.06	384.34	154.42	373.81	244.57	358.54	258.57	361.04	236.21	172.65	260.38	309.83	264.03	149.12	121.79	780.44	232.94	215.77	215.77	202.66	183.82	248.0	373.81	796.86	483.38	638.15	115.97	224.97	195.72	336.79	279.14	244.57	236.21	117.6	132.44	108.9	64.8	19.39	111.99	121.79	193.01	95.34	242.88
