	TCGA.BL.A5ZZ.01A.31R.A30C.07	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.A8.A08H.01A.21R.A00Z.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.DD.A4NB.01A.12R.A266.07	TCGA.DD.A1EC.01A.21R.A131.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.5R.AA1D.01A.11R.A38B.07	TCGA.ED.A7PX.01A.51R.A352.07	TCGA.UB.AA0V.01A.11R.A38B.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.55.8208.01A.11R.2241.07	TCGA.86.7701.01A.11R.2170.07	TCGA.50.5072.01A.21R.1858.07	GTEX.144GN.0426.SM.5O9AP	GTEX.UPK5.1126.SM.3GAEJ	TCGA.39.5022.01A.21R.1820.07	TCGA.21.1076.01A.01R.0692.07
DDX1	2061.24	1583.71	1427.22	1001.93	1111.82	1159.07	1051.79	1199.98	1159.07	1030.12	1015.93	1583.71	1143.1	981.29	884.29	551.56	555.41	563.18	713.11	603.67	718.08	507.46	915.51	571.05	791.35	703.28	688.78	599.49	642.59	679.29	713.11	813.63	808.0	583.07	775.05	688.78	665.29	819.3	860.08	733.19	723.08	665.29	1313.23	1340.84	1498.22	1757.34	2384.37	1295.13	1313.23
DLGAP4	1819.35	1175.27	1313.23	563.18	759.08	1313.23	698.41	1427.22	713.11	1242.34	988.12	2351.53	595.34	500.46	409.15	334.46	420.68	447.82	325.29	511.0	334.46	503.95	336.79	460.44	285.03	287.01	403.5	384.34	454.09	381.68	279.14	381.68	470.14	447.82	607.87	307.69	457.25	629.35	473.41	348.71	387.02	305.55	1322.37	1594.73	808.0	669.92	1295.13	995.0	1417.35
EIF2S2	2018.8	1378.57	1685.71	974.5	1233.75	878.17	967.76	1388.16	1127.35	1037.29	1208.34	1870.53	1104.13	878.17	733.19	591.22	476.71	559.28	660.68	447.82	656.11	497.0	802.41	426.57	698.41	656.11	738.29	518.15	603.67	791.35	698.41	656.11	624.99	493.56	1143.1	665.29	647.07	738.29	813.63	555.41	603.67	669.92	1857.6	2004.85	1806.78	1757.34	1781.89	1781.89	1844.76
EIF3J	1447.15	1794.29	1540.37	884.29	660.68	1175.27	836.53	1167.14	2502.97	1066.48	1268.46	1721.16	1023.0	872.1	660.68	587.13	493.56	633.73	723.08	450.94	708.18	514.56	836.53	454.09	738.29	813.63	733.19	466.88	642.59	780.44	698.41	723.08	603.67	543.96	1159.07	624.99	624.99	693.58	819.3	607.87	633.73	753.83	1096.5	1225.22	2287.2	1259.69	1572.76	1151.06	1313.23
EIF4E	1183.45	1529.73	1397.83	521.76	521.76	764.36	629.35	733.19	1286.18	595.34	796.86	791.35	718.08	518.15	438.59	206.94	295.11	273.37	500.46	239.52	417.77	187.71	698.41	251.48	429.54	339.14	316.37	215.77	343.89	463.65	371.22	314.17	334.46	176.29	463.65	358.54	363.56	412.0	444.72	305.55	323.03	423.61	780.44	1369.04	1551.09	1268.46	1963.57	974.5	1127.35
EIF4G2	9808.75	10883.59	13776.25	4066.71	7081.29	5872.48	4152.18	5672.41	6887.62	5711.87	5292.48	8421.31	5366.37	4575.41	3742.05	2119.22	2835.7	2255.7	3018.3	2935.74	3060.45	2335.28	3768.09	2400.97	3491.39	3614.55	2319.15	1991.0	3235.01	3589.58	3124.78	3081.75	3467.27	2573.36	4543.8	2090.03	3280.18	2796.65	4388.98	2976.74	2451.44	3257.52	9474.59	10225.32	8658.09	10440.2	15075.35	9409.14	9215.48
EIF4G3	764.36	579.04	748.61	264.03	591.22	518.15	406.31	748.61	620.67	395.18	638.15	420.68	309.83	297.17	157.68	81.71	141.02	191.67	239.52	165.57	92.05	144.01	162.14	122.64	185.11	271.48	217.27	108.14	208.38	271.48	198.47	164.42	117.6	130.6	309.83	181.28	202.66	195.72	293.07	226.54	141.02	141.02	567.1	583.07	559.28	825.0	728.11	525.39	708.18
FAM104A	497.0	392.44	521.76	295.11	463.65	264.03	281.09	293.07	412.0	316.37	336.79	559.28	291.04	267.73	193.01	202.66	159.9	237.86	187.71	201.25	191.67	159.9	202.66	137.14	194.36	215.77	193.01	175.07	183.82	178.77	114.36	228.13	162.14	228.13	255.0	218.79	237.86	189.02	191.67	193.01	167.9	167.9	536.45	486.75	518.15	444.72	361.04	521.76	417.77
FAM177A1	1561.89	1104.13	1119.56	1477.58	1963.57	2178.83	1769.57	1674.06	2573.36	1819.35	1832.01	921.88	1457.23	1551.09	1519.15	599.49	791.35	688.78	941.27	595.34	954.43	1001.93	878.17	915.51	1304.15	921.88	1769.57	866.07	808.0	1143.1	780.44	896.64	941.27	878.17	1551.09	1313.23	1304.15	1304.15	1304.15	1304.15	878.17	1088.92	1313.23	3168.41	2434.5	2032.85	1883.54	1183.45	1477.58
FUCA2	1295.13	1340.84	1745.2	1183.45	1467.37	1191.69	1037.29	1378.57	2090.03	967.76	1378.57	1277.29	1015.93	1135.2	947.83	351.14	493.56	387.02	400.71	466.88	759.08	470.14	928.3	466.88	1030.12	624.99	733.19	486.75	591.22	1119.56	536.45	595.34	769.69	529.06	785.88	947.83	738.29	780.44	890.44	819.3	525.39	429.54	1519.15	1225.22	2224.63	1745.2	1457.23	1498.22	1191.69
GATSL1	6.06	9.2	17.13	5.96	18.97	0.65	2.84	22.59	81.71	7.0	0.0	26.28	16.15	0.0	1.64	0.0	0.0	0.0	1.22	0.3	2.97	0.0	10.79	0.0	0.0	0.22	0.0	2.48	5.5	16.63	0.0	0.0	0.0	0.0	3.82	0.0	2.27	5.54	0.0	2.03	9.63	0.0	22.92	31.0	9.27	14.14	21.94	19.82	16.27
GATSL2	36.27	33.06	14.56	8.85	20.56	34.51	23.08	86.43	129.69	20.11	22.1	59.97	6.84	8.51	7.22	4.35	5.45	16.39	6.06	13.32	1.39	6.67	2.73	8.71	6.94	8.85	1.51	0.0	3.11	0.0	6.16	1.58	12.83	17.51	0.0	10.88	3.63	3.44	12.55	7.34	0.0	3.59	18.56	111.21	36.53	17.0	42.41	24.11	37.85
