	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	TCGA.CH.5765.01A.11R.1580.07	TCGA.CH.5766.01A.11R.1580.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.EJ.7330.01A.11R.2118.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.CH.5750.01A.11R.1580.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YJ.A8SW.01A.11R.A37L.07	TCGA.J4.A83J.01A.11R.A36G.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5751.01A.11R.1580.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.CH.5738.01A.11R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.2A.A8VT.01A.11R.A37L.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.CH.5791.01A.11R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.U3ZM.0926.SM.4DXSW	GTEX.YB5E.1826.SM.5IFI4	GTEX.NFK9.2226.SM.3MJGP	TCGA.VQ.A8E2.01A.11R.A36D.31
GPATCH2L	44.57	77.25	111.21	50.63	50.63	74.58	93.35	51.35	121.79	55.1	133.36	68.07	120.1	64.8	109.66	65.72	92.05	78.34	114.36	45.21	109.66	151.22	54.33	105.89	98.73	101.54	71.5	157.68	103.69	57.89	94.67	120.94	113.56	88.88	122.64	120.94	85.22	67.59	49.56	81.71	142.01	285.03	38.4	66.65	57.49	138.1	89.51	102.97	75.11	39.22	140.04	114.36	65.26	60.39	78.34	223.41	248.0	358.54	361.04	293.07	346.29	373.81	155.5	351.14	325.29	229.72	165.57	547.75	251.48	255.0	175.07	190.34	381.68	497.0	299.25	258.57	234.57	334.46	518.15	166.73	176.29	209.84	198.47	264.03	295.11	105.89	253.23	307.69	115.16	320.8
GPATCH8	66.65	108.14	123.5	46.18	51.71	96.68	63.45	94.67	136.19	56.28	106.63	82.87	178.77	48.87	191.67	72.01	113.56	89.51	140.04	74.06	131.51	78.89	108.9	66.65	97.36	128.79	85.22	114.36	55.49	54.33	61.25	136.19	117.6	77.79	191.67	135.24	77.25	129.69	113.56	117.6	107.38	176.29	48.52	186.4	169.07	102.25	100.83	149.12	68.55	37.85	77.79	88.26	114.36	135.24	69.03	314.17	307.69	493.56	397.93	332.14	400.71	414.87	255.0	246.28	346.29	258.57	253.23	314.17	201.25	376.41	177.53	307.69	376.41	466.88	392.44	293.07	363.56	258.57	429.54	318.57	232.94	228.13	281.09	318.57	395.18	201.25	327.56	289.02	177.53	536.45
GUCY1A3	44.89	67.59	145.02	18.56	46.18	93.35	35.5	96.01	127.89	52.08	99.43	102.97	363.56	30.34	187.71	84.04	106.63	361.04	62.12	26.47	112.77	43.32	91.41	132.44	31.45	7.22	31.22	61.68	5.45	27.44	67.59	518.15	28.24	28.04	71.5	141.02	96.68	152.28	23.42	67.12	45.85	169.07	37.32	14.45	147.06	167.9	87.03	21.32	22.75	18.29	81.71	40.36	155.5	84.63	96.68	2591.27	2384.37	1923.14	1081.39	3589.58	2502.97	3124.78	775.05	1950.0	1909.85	813.63	1104.13	3212.66	1151.06	1674.06	802.41	1572.76	2384.37	890.44	3146.52	1950.0	1167.14	1651.0	2555.58	2148.82	1844.76	684.02	642.59	1135.2	684.02	808.0	884.29	1199.98	656.11	358.54
HEATR6	46.5	68.55	94.67	38.95	55.1	88.26	50.27	94.01	67.59	40.93	68.07	59.97	86.43	59.55	120.94	53.95	45.53	54.33	67.12	53.57	104.42	46.84	108.9	40.64	105.89	70.51	58.71	80.01	24.63	42.71	64.8	148.09	72.52	63.89	94.01	57.08	61.68	49.91	50.98	32.82	74.06	195.72	56.68	79.45	78.34	63.0	73.03	43.32	59.13	15.0	56.68	74.58	63.89	48.87	82.87	262.2	258.57	361.04	267.73	295.11	327.56	358.54	269.6	262.2	269.6	239.52	249.73	384.34	251.48	201.25	181.28	221.86	327.56	251.48	279.14	214.27	277.2	343.89	368.65	248.0	212.78	236.21	185.11	214.27	293.07	182.55	232.94	169.07	144.01	301.33
HNRNPH3	1167.14	1127.35	1950.0	995.0	802.41	1331.57	1111.82	1583.71	1397.83	1268.46	1407.55	1437.15	1685.71	974.5	1508.65	974.5	947.83	764.36	1208.34	674.59	1096.5	1369.04	988.12	1350.18	872.1	1242.34	1119.56	1051.79	1015.93	1111.82	1883.54	2997.45	1096.5	1844.76	1304.15	1151.06	981.29	954.43	1313.23	1477.58	728.11	4543.8	1216.75	1159.07	1745.2	1111.82	1572.76	1286.18	1551.09	703.28	633.73	1233.75	679.29	1175.27	1096.5	2796.65	1819.35	2915.45	2434.5	3303.0	2875.3	2417.67	2645.74	2739.08	2915.45	2468.49	2061.24	4095.0	1794.29	3190.46	2367.9	2537.92	2935.74	3768.09	2400.97	2384.37	2739.08	2303.12	2271.4	2061.24	1991.0	2434.5	2645.74	2193.99	2537.92	1685.71	2133.97	2502.97	1819.35	3235.01
HP1BP3	595.34	988.12	1417.35	674.59	612.11	791.35	693.58	981.29	1104.13	518.15	1127.35	813.63	1277.29	579.04	1037.29	941.27	620.67	802.41	1295.13	473.41	974.5	1191.69	1151.06	764.36	651.58	1159.07	1023.0	1143.1	579.04	647.07	1277.29	2209.26	555.41	1519.15	1340.84	808.0	802.41	941.27	1037.29	547.75	651.58	2835.7	599.49	1268.46	1242.34	909.17	1104.13	796.86	796.86	438.59	860.08	1519.15	854.13	1844.76	1340.84	2178.83	1963.57	3614.55	2701.35	2664.15	2468.49	2720.15	2367.9	2335.28	2573.36	1832.01	1437.15	3467.27	1662.49	3103.19	1519.15	2537.92	2609.3	3257.52	2555.58	2133.97	2627.46	2855.44	2855.44	2335.28	1721.16	1651.0	2367.9	2451.44	2537.92	1819.35	1819.35	1733.13	1685.71	4450.27
ISX	0.0	0.0	0.54	0.0	0.0	0.0	0.43	0.0	1.01	0.52	0.0	2.12	2.16	0.0	6.57	0.0	0.0	8.38	0.0	0.0	0.0	0.0	0.0	0.0	8.45	0.0	0.0	0.0	0.0	0.0	1.75	0.0	0.0	0.0	0.0	8.45	0.0	0.0	0.0	1.69	0.0	17.0	0.0	0.0	21.01	0.0	1.66	0.0	1.79	0.0	0.0	0.0	0.0	0.0	0.0	92.7	25.91	25.54	36.79	30.34	35.5	44.25	16.39	29.06	22.26	29.48	9.78	141.02	22.1	20.71	14.67	5.06	22.43	69.03	13.42	4.24	9.93	12.18	40.64	73.54	31.9	14.67	34.51	6.62	11.3	42.71	6.52	2.89	17.38	186.4
KANSL1	187.71	187.71	253.23	150.17	111.99	229.72	183.82	198.47	289.02	161.02	189.02	204.07	358.54	92.7	228.13	108.14	172.65	129.69	356.05	148.09	269.6	125.24	166.73	170.25	145.02	244.57	253.23	175.07	120.94	248.0	224.97	271.48	148.09	205.5	229.72	146.03	253.23	158.79	194.36	169.07	149.12	231.32	151.22	204.07	403.5	409.15	193.01	175.07	161.02	85.22	191.67	260.38	164.42	236.21	110.43	688.78	728.11	1259.69	698.41	543.96	785.88	1233.75	497.0	684.02	825.0	529.06	371.22	753.83	490.14	575.03	406.31	525.39	848.22	878.17	703.28	497.0	642.59	1119.56	808.0	703.28	599.49	460.44	603.67	819.3	703.28	567.1	493.56	441.64	341.51	802.41
KCTD7	26.28	53.19	46.18	14.03	23.59	29.06	22.26	35.5	66.18	32.13	77.79	20.11	78.89	33.06	57.08	39.79	29.06	8.78	72.52	32.59	32.59	42.41	47.5	29.06	43.02	49.21	32.13	52.08	31.0	44.25	44.57	57.89	14.35	47.17	55.49	30.34	31.67	48.52	37.59	29.06	21.32	109.66	29.7	31.22	70.01	47.84	28.65	26.47	40.64	14.14	22.1	38.67	52.08	27.64	74.58	262.2	228.13	248.0	205.5	176.29	205.5	214.27	199.85	178.77	197.09	169.07	131.51	289.02	133.36	205.5	150.17	195.72	221.86	320.8	265.87	152.28	251.48	244.57	271.48	224.97	185.11	175.07	199.85	190.34	226.54	120.94	178.77	161.02	150.17	283.05
KDM2A	532.74	473.41	684.02	540.19	450.94	555.41	529.06	444.72	651.58	420.68	638.15	454.09	647.07	255.0	503.95	480.04	432.53	417.77	551.56	536.45	358.54	684.02	412.0	441.64	325.29	738.29	493.56	503.95	480.04	603.67	441.64	718.08	921.88	603.67	500.46	723.08	373.81	420.68	514.56	426.57	620.67	587.13	305.55	395.18	753.83	507.46	329.84	444.72	503.95	236.21	563.18	629.35	414.87	693.58	435.55	748.61	1088.92	1059.11	1051.79	1044.52	842.36	1001.93	825.0	1066.48	836.53	819.3	674.59	2224.63	813.63	733.19	665.29	988.12	915.51	1721.16	854.13	890.44	743.43	967.76	1015.93	934.76	780.44	928.3	759.08	679.29	878.17	620.67	743.43	808.0	466.88	1322.37
KDM5B	71.0	114.36	120.1	73.54	45.85	75.11	68.55	89.51	115.97	68.55	142.01	85.82	236.21	33.06	130.6	68.07	57.08	104.42	130.6	58.3	206.94	88.26	98.04	35.5	90.77	82.29	63.45	105.15	293.07	64.8	105.15	117.6	48.18	72.01	140.04	107.38	59.55	44.57	105.89	20.56	54.72	242.88	67.12	100.13	147.06	150.17	283.05	44.57	61.68	40.07	99.43	115.16	52.82	190.34	128.79	967.76	808.0	915.51	748.61	813.63	780.44	1001.93	480.04	723.08	733.19	571.05	466.88	543.96	438.59	392.44	567.1	583.07	684.02	1127.35	802.41	518.15	525.39	743.43	703.28	1015.93	483.38	476.71	414.87	547.75	540.19	356.05	320.8	379.04	253.23	872.1
KIAA0226	44.57	75.11	83.45	32.82	39.5	63.45	33.3	49.21	98.04	41.52	99.43	43.32	83.45	42.41	84.63	68.07	73.03	32.59	50.98	49.56	26.28	58.3	59.55	63.0	33.3	76.17	42.11	50.63	180.02	71.5	94.01	66.65	43.63	47.17	60.39	44.57	58.3	57.89	49.91	64.34	44.25	148.09	48.18	58.3	72.52	52.82	82.87	40.93	55.49	31.67	42.41	70.51	55.89	70.01	76.17	159.9	229.72	217.27	271.48	173.85	180.02	246.28	148.09	229.72	197.09	185.11	181.28	356.05	154.42	244.57	125.24	129.69	258.57	361.04	185.11	182.55	187.71	260.38	275.28	167.9	171.45	172.65	138.1	126.12	145.02	110.43	128.79	159.9	127.89	329.84
KIAA0355	78.89	101.54	144.01	64.34	66.18	96.01	99.43	104.42	123.5	87.03	128.79	73.03	121.79	59.97	208.38	74.58	96.68	107.38	115.97	28.04	66.18	139.07	122.64	85.22	63.45	275.28	185.11	61.25	73.03	69.52	103.69	110.43	112.77	58.71	94.01	142.01	156.59	193.01	279.14	80.57	87.65	195.72	135.24	128.79	172.65	74.58	114.36	139.07	50.63	197.09	152.28	115.97	116.78	127.89	62.56	295.11	287.01	432.53	356.05	366.09	376.41	316.37	229.72	260.38	417.77	236.21	175.07	698.41	166.73	285.03	215.77	204.07	389.72	327.56	336.79	253.23	305.55	366.09	384.34	229.72	318.57	248.0	323.03	314.17	316.37	211.31	211.31	194.36	208.38	320.8
KMT2E	134.3	164.42	269.6	84.04	46.18	161.02	133.36	152.28	193.01	86.43	139.07	147.06	249.73	69.52	118.43	107.38	102.25	80.57	169.07	92.7	193.01	150.17	115.16	79.45	126.12	190.34	90.77	202.66	69.03	89.51	63.45	159.9	120.1	73.03	178.77	147.06	94.01	145.02	108.14	159.9	127.89	395.18	115.16	163.28	151.22	182.55	187.71	102.25	111.99	44.25	115.16	118.43	91.41	117.6	118.43	629.35	684.02	1096.5	947.83	796.86	775.05	902.89	503.95	660.68	785.88	493.56	454.09	934.76	412.0	733.19	438.59	591.22	928.3	1073.91	796.86	599.49	780.44	902.89	860.08	679.29	454.09	536.45	536.45	775.05	802.41	400.71	414.87	486.75	514.56	1023.0
KPNA6	165.57	299.25	325.29	172.65	146.03	224.97	273.37	177.53	275.28	177.53	299.25	211.31	198.47	267.73	403.5	218.79	248.0	316.37	232.94	189.02	246.28	332.14	244.57	237.86	400.71	287.01	289.02	248.0	414.87	202.66	201.25	283.05	242.88	182.55	314.17	279.14	242.88	246.28	334.46	157.68	371.22	297.17	239.52	281.09	197.09	158.79	170.25	332.14	146.03	262.2	249.73	185.11	309.83	285.03	269.6	426.57	429.54	551.56	571.05	563.18	571.05	511.0	381.68	384.34	511.0	473.41	373.81	854.13	316.37	384.34	417.77	450.94	587.13	460.44	540.19	417.77	450.94	473.41	575.03	540.19	423.61	414.87	376.41	429.54	514.56	366.09	454.09	387.02	228.13	624.99
KSR2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.72	0.48	1.64	0.0	0.74	0.0	0.0	0.0	0.74	0.0	0.0	1.81	0.0	0.0	0.6	0.0	2.01	0.0	0.6	1.62	0.0	9.06	0.78	0.67	0.0	0.0	0.0	0.0	0.0	0.56	0.69	0.0	0.65	0.0	3.14	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.56	11.73	16.39	21.32	5.41	8.71	10.47	8.58	9.63	18.56	12.83	2.61	1.91	37.05	1.93	5.45	2.76	4.94	19.97	25.54	9.93	8.19	4.17	17.0	6.67	7.4	12.27	5.82	3.47	2.78	3.06	18.84	17.51	8.0	3.0	23.42
LATS1	68.07	85.82	101.54	46.18	43.02	68.07	78.34	89.51	96.01	46.5	109.66	80.57	78.89	34.51	86.43	57.89	49.21	46.84	126.12	42.11	103.69	66.65	66.65	39.5	129.69	43.02	31.45	59.55	34.51	55.49	40.64	95.34	53.95	31.45	65.72	59.55	52.45	64.34	50.27	82.87	70.01	116.78	71.5	69.03	97.36	90.77	95.34	80.01	61.68	35.76	34.26	82.87	40.36	75.64	51.71	387.02	329.84	389.72	358.54	414.87	426.57	414.87	220.32	287.01	432.53	197.09	246.28	177.53	175.07	332.14	289.02	185.11	414.87	403.5	209.84	265.87	206.94	297.17	441.64	351.14	202.66	191.67	223.41	329.84	341.51	191.67	185.11	229.72	253.23	325.29
LMLN	22.1	58.3	41.22	21.32	7.57	16.51	27.44	40.93	31.9	13.03	29.48	36.27	23.42	8.0	19.68	14.78	49.91	11.55	41.81	25.91	27.25	29.06	43.32	16.27	9.85	20.71	26.47	26.86	9.93	19.39	10.79	23.59	23.42	14.35	28.86	11.64	21.78	38.67	48.52	66.65	17.13	29.48	11.64	24.28	26.67	33.3	20.41	23.25	53.57	10.08	84.04	16.88	16.75	9.48	29.91	92.05	123.5	104.42	175.07	73.03	98.04	104.42	72.01	100.83	96.01	72.52	75.64	198.47	55.89	178.77	55.89	75.11	146.03	136.19	82.29	64.34	144.01	91.41	112.77	105.89	54.72	55.1	53.19	68.55	73.03	58.3	77.79	90.77	30.34	143.01
LSM14A	733.19	848.22	928.3	718.08	473.41	848.22	669.92	836.53	872.1	684.02	860.08	872.1	854.13	1073.91	1561.89	753.83	708.18	836.53	981.29	454.09	1191.69	1030.12	540.19	836.53	1199.98	842.36	571.05	1540.37	909.17	603.67	866.07	1617.0	808.0	830.75	1088.92	1081.39	813.63	1331.57	842.36	1111.82	1322.37	1467.37	764.36	583.07	785.88	1369.04	934.76	1199.98	693.58	796.86	629.35	547.75	860.08	830.75	1096.5	1651.0	1806.78	1950.0	1639.59	2047.0	1963.57	1832.01	1794.29	1397.83	1923.14	1369.04	1111.82	2351.53	1397.83	1819.35	1388.16	1540.37	1963.57	1806.78	1806.78	1467.37	1583.71	2537.92	1936.53	1709.26	1594.73	1477.58	1896.65	1467.37	1651.0	1111.82	1359.57	1388.16	1508.65	1697.45
MGA	33.78	57.08	86.43	29.7	16.63	55.89	40.07	53.95	68.07	35.0	78.89	40.93	96.01	27.25	108.14	75.11	31.9	23.42	79.45	47.84	127.89	82.87	61.25	27.44	51.71	64.34	29.48	113.56	28.45	27.44	38.95	84.04	42.11	49.56	57.08	44.89	67.12	44.89	47.84	42.11	67.59	140.04	23.42	49.56	113.56	78.89	44.25	76.17	32.13	9.7	52.45	31.22	48.18	36.27	70.51	220.32	249.73	368.65	197.09	256.78	256.78	318.57	143.01	228.13	299.25	173.85	141.02	145.02	131.51	185.11	171.45	159.9	289.02	303.44	273.37	167.9	251.48	301.33	332.14	223.41	153.34	154.42	141.02	178.77	198.47	107.38	131.51	110.43	89.51	281.09
MMS22L	6.89	10.63	10.88	5.92	4.28	10.39	2.2	14.56	10.63	6.52	12.55	13.83	25.91	49.21	17.0	9.27	10.71	9.78	11.64	15.68	10.79	3.63	6.94	34.75	13.32	3.56	0.95	25.54	1.93	4.78	11.21	11.38	6.31	15.68	25.35	17.77	22.26	11.47	9.48	25.91	37.05	10.08	5.73	15.45	3.5	34.51	45.53	13.93	7.11	3.2	18.56	15.22	12.18	0.71	5.23	78.34	56.28	92.7	61.68	74.58	74.58	94.67	24.99	129.69	76.71	43.94	47.84	125.24	35.5	36.27	42.11	46.84	88.88	249.73	86.43	73.54	59.13	64.34	67.59	33.78	47.17	38.95	46.18	97.36	71.5	38.4	36.27	43.63	22.26	158.79
MPHOSPH10	417.77	297.17	409.15	366.09	40.36	406.31	493.56	420.68	384.34	376.41	376.41	466.88	339.14	450.94	575.03	420.68	356.05	514.56	269.6	277.2	764.36	567.1	414.87	339.14	536.45	318.57	316.37	287.01	397.93	327.56	435.55	373.81	583.07	316.37	389.72	438.59	305.55	420.68	409.15	555.41	500.46	599.49	514.56	376.41	312.0	444.72	423.61	599.49	341.51	209.84	480.04	348.71	325.29	258.57	283.05	733.19	842.36	718.08	718.08	915.51	713.11	738.29	723.08	890.44	825.0	708.18	713.11	1540.37	693.58	825.0	723.08	743.43	612.11	1096.5	896.64	660.68	854.13	825.0	796.86	802.41	669.92	435.55	638.15	813.63	708.18	521.76	490.14	591.22	728.11	651.58
MSL2	153.34	132.44	167.9	128.79	80.57	145.02	155.5	157.68	206.94	120.94	229.72	142.01	269.6	78.89	204.07	136.19	126.12	131.51	249.73	151.22	223.41	127.0	215.77	84.63	173.85	116.78	122.64	148.09	99.43	185.11	157.68	169.07	103.69	142.01	162.14	142.01	115.16	140.04	128.79	164.42	87.03	206.94	73.54	155.5	314.17	215.77	141.02	127.89	121.79	102.25	165.57	172.65	121.79	140.04	156.59	190.34	358.54	426.57	363.56	403.5	392.44	414.87	283.05	309.83	389.72	199.85	185.11	587.13	144.01	251.48	237.86	312.0	397.93	583.07	373.81	258.57	325.29	412.0	392.44	384.34	231.32	234.57	299.25	255.0	381.68	170.25	201.25	157.68	178.77	409.15
NCOA3	79.45	130.6	161.02	72.52	74.06	101.54	92.05	111.99	165.57	81.71	149.12	103.69	228.13	54.72	199.85	69.52	76.71	95.34	172.65	63.0	176.29	152.28	173.85	95.34	138.1	112.77	123.5	126.12	74.58	72.52	82.87	277.2	95.34	73.54	145.02	145.02	105.89	145.02	119.26	92.7	153.34	279.14	85.82	105.89	133.36	116.78	68.55	111.21	72.01	63.89	105.89	105.15	138.1	112.77	92.05	249.73	387.02	417.77	426.57	341.51	466.88	412.0	232.94	253.23	389.72	299.25	197.09	500.46	197.09	381.68	218.79	435.55	403.5	435.55	435.55	249.73	237.86	490.14	450.94	346.29	351.14	246.28	217.27	277.2	264.03	150.17	145.02	166.73	195.72	571.05
NEK1	32.59	57.08	71.5	36.01	19.53	39.5	38.95	62.56	64.34	40.07	66.65	36.53	77.25	18.97	43.94	42.41	29.91	26.47	75.11	25.17	79.45	36.53	81.71	26.28	60.82	32.59	18.56	101.54	23.42	43.02	40.36	64.8	24.99	36.53	79.45	36.53	33.3	43.63	38.67	24.63	41.22	34.26	36.27	66.18	64.34	35.25	60.82	58.3	32.59	42.11	31.22	44.57	33.06	28.45	62.12	206.94	193.01	256.78	191.67	323.03	287.01	248.0	198.47	152.28	258.57	141.02	145.02	228.13	114.36	180.02	212.78	239.52	320.8	182.55	264.03	172.65	214.27	154.42	170.25	283.05	158.79	136.19	141.02	164.42	167.9	125.24	154.42	150.17	82.87	126.12
NSD1	70.01	118.43	180.02	60.82	57.08	88.26	43.32	69.03	126.12	61.25	91.41	75.64	159.9	88.88	141.02	120.1	74.06	51.35	100.13	76.17	132.44	136.19	113.56	88.88	79.45	69.52	74.06	113.56	54.72	42.41	63.89	154.42	128.79	68.07	108.9	75.11	127.0	140.04	155.5	87.03	137.14	187.71	50.63	87.03	124.37	76.71	124.37	112.77	58.3	23.42	69.52	95.34	173.85	84.04	127.89	376.41	426.57	571.05	420.68	400.71	426.57	429.54	246.28	325.29	460.44	277.2	197.09	525.39	185.11	249.73	206.94	255.0	490.14	366.09	417.77	299.25	483.38	447.82	551.56	409.15	251.48	277.2	283.05	204.07	303.44	271.48	264.03	228.13	155.5	497.0
NT5C3A	187.71	136.19	193.01	112.77	104.42	223.41	198.47	176.29	170.25	100.13	135.24	208.38	161.02	170.25	122.64	84.04	158.79	88.88	244.57	120.94	153.34	151.22	136.19	148.09	169.07	241.19	127.89	152.28	181.28	176.29	109.66	155.5	154.42	122.64	94.01	234.57	131.51	93.35	108.9	136.19	199.85	218.79	182.55	126.12	279.14	151.22	164.42	127.89	158.79	75.64	144.01	150.17	124.37	161.02	96.68	356.05	339.14	316.37	423.61	417.77	426.57	339.14	389.72	591.22	454.09	591.22	454.09	1159.07	406.31	417.77	470.14	567.1	463.65	1127.35	473.41	363.56	426.57	447.82	406.31	325.29	376.41	237.86	397.93	384.34	361.04	214.27	214.27	209.84	303.44	624.99
NUDT19	120.94	144.01	141.02	126.12	76.71	187.71	100.83	169.07	98.73	77.25	211.31	141.02	96.68	113.56	232.94	62.12	64.34	130.6	126.12	56.68	128.79	74.06	172.65	128.79	75.64	117.6	70.51	124.37	157.68	78.34	85.22	102.97	110.43	85.22	133.36	118.43	173.85	138.1	205.5	95.34	138.1	70.01	141.02	38.12	106.63	62.56	130.6	248.0	84.63	112.77	82.87	155.5	220.32	96.01	52.08	414.87	309.83	348.71	389.72	476.71	376.41	373.81	303.44	426.57	400.71	423.61	384.34	808.0	244.57	232.94	521.76	373.81	406.31	500.46	521.76	299.25	435.55	361.04	363.56	476.71	567.1	234.57	301.33	269.6	291.04	595.34	265.87	291.04	256.78	209.84
ORM1	1282030.25	1864037.21	1578364.61	1264380.15	434801.29	1524599.69	1155430.26	1383603.33	1026995.62	1751305.3	1916442.45	1890058.21	2156109.97	1282030.25	4136558.78	3676749.88	3070409.25	2691538.19	1656835.72	3156730.23	2748093.15	3576208.94	2767207.65	2748093.15	3313672.43	1775752.63	1916442.45	3780117.42	4165330.83	1956711.0	2986448.72	2082664.91	3313672.43	1355129.16	2617937.91	2654482.97	5572911.22	8505707.6	1851161.35	2825352.59	4051429.61	2965819.8	4282434.24	3028138.0	1656835.72	1600397.78	1514068.5	6183532.28	4433454.0	4433454.0	3832885.91	3859545.74	2767207.65	2068278.89	1739208.14	31.9	102125.66	2287.2	10.39	1397.83	76.71	5183.54	127.0	3901.01	51.71	329.84	18.03	539026.74	114897.47	29124.6	13.72	4.94	10883.59	12589.08	55.1	872.1	0.0	67.12	99.43	3.56	26.86	389157.95	262143.0	466008.55	168220.2	1715263.94	171.45	40.93	3223059.86	825.0
PHF6	54.33	76.71	96.01	42.41	36.27	75.11	47.84	82.87	111.99	49.21	81.71	90.77	93.35	54.33	59.55	52.08	58.3	80.01	120.94	36.01	111.21	72.52	115.16	53.57	67.59	48.18	43.94	85.22	20.11	62.56	65.26	107.38	36.53	66.65	93.35	74.58	61.68	47.17	65.26	80.01	52.45	85.82	45.53	72.01	67.59	61.68	75.64	76.71	49.21	35.0	50.98	81.14	55.49	24.11	82.29	341.51	371.22	363.56	285.03	497.0	327.56	281.09	217.27	346.29	343.89	287.01	212.78	220.32	158.79	255.0	215.77	366.09	483.38	579.04	363.56	236.21	397.93	312.0	281.09	309.83	205.5	155.5	178.77	241.19	211.31	157.68	140.04	199.85	151.22	521.76
PHIP	48.52	54.33	94.67	33.06	9.63	49.91	46.5	63.45	69.03	34.51	73.54	53.95	120.1	39.79	84.04	35.76	42.71	27.84	96.01	29.7	159.9	75.11	75.64	36.27	78.89	67.59	15.68	55.89	27.84	23.25	27.84	68.07	58.3	40.07	46.18	54.72	63.0	47.5	46.84	69.03	63.0	128.79	26.67	53.57	41.81	78.34	80.57	60.82	43.02	14.45	71.5	55.49	46.18	52.82	41.81	332.14	285.03	381.68	246.28	395.18	397.93	353.59	152.28	289.02	397.93	147.06	169.07	193.01	108.9	211.31	231.32	165.57	371.22	363.56	361.04	269.6	387.02	271.48	397.93	255.0	172.65	193.01	204.07	217.27	273.37	130.6	190.34	202.66	80.57	500.46
