	GTEX.13O61.1226.SM.5KM21	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.XR.A8TF.01A.11R.A36F.07	TCGA.DD.AAW3.01A.11R.A41C.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.3K.AAZ8.01A.12R.A39D.07	TCGA.60.2704.01A.11R.2045.07	TCGA.RD.A8N5.01A.12R.A36D.31	TCGA.VQ.A91A.01A.11R.A414.31	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6563.01A.13R.2055.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.CG.4462.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.8058.01A.31R.2343.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.13FTX.0726.SM.5N9BI
PMCH	0.0	1.68	0.0	1.07	0.0	3.26	0.0	0.0	0.0	11.21	7.69	12.09	16.03	12.45	8.06	9.48	7.28	29.48	22.92	1104.13	24.46	11.55	10.31	1.17	67.12	25.72	5.59	6.01	1.33	0.0	0.0	2.36	0.0	16.15	6.73	0.0	15.0	13.72	3.47
PPAPDC1A	12.27	0.93	0.0	0.0	0.0	1.38	1.3	0.0	4.78	162.14	231.32	171.45	22.75	4.1	36.27	8.0	3.32	22.75	36.27	47.17	6.06	98.73	4.21	2.68	20.11	181.28	19.82	15.22	5.28	1.16	24.99	7.88	20.86	4.13	4.86	17.51	0.0	13.12	1.87
PRRX1	244.57	1.64	6.62	0.8	16.03	38.67	2.56	3.66	3.32	1662.49	860.08	928.3	753.83	543.96	351.14	194.36	53.19	679.29	169.07	460.44	358.54	486.75	1447.15	103.69	189.02	1781.89	106.63	500.46	80.01	43.94	34.02	19.25	56.28	141.02	57.49	78.34	12.93	159.9	12.09
RAB31	1119.56	37.32	22.75	13.03	20.86	37.32	31.9	21.47	31.9	1709.26	1757.34	1674.06	1199.98	587.13	878.17	624.99	163.28	1167.14	536.45	1369.04	896.64	1447.15	3540.14	307.69	514.56	3372.43	441.64	1066.48	400.71	267.73	447.82	189.02	426.57	387.02	297.17	180.02	224.97	567.1	136.19
RIC8B	149.12	92.05	89.51	55.1	59.55	68.55	158.79	138.1	112.77	182.55	206.94	224.97	251.48	193.01	199.85	215.77	111.21	217.27	248.0	176.29	253.23	241.19	217.27	171.45	244.57	251.48	107.38	181.28	189.02	84.04	108.9	123.5	88.88	135.24	96.68	100.13	59.55	189.02	92.05
RNASE2	46.5	0.0	0.0	0.0	2.39	1.51	6.06	0.0	1.39	183.82	363.56	138.1	21.63	43.94	180.02	95.34	28.65	64.34	28.86	25.35	132.44	229.72	264.03	40.07	53.57	209.84	8.71	165.57	13.62	13.03	47.17	57.89	18.7	182.55	63.89	41.22	26.86	158.79	10.71
RND3	457.25	218.79	114.36	198.47	215.77	69.03	289.02	226.54	228.13	1583.71	579.04	688.78	603.67	226.54	323.03	293.07	267.73	381.68	518.15	366.09	591.22	1437.15	825.0	194.36	473.41	1437.15	137.14	255.0	277.2	246.28	348.71	220.32	242.88	277.2	191.67	236.21	197.09	406.31	198.47
RPA4	0.85	3.23	1.77	0.73	1.31	0.0	2.29	2.48	1.73	4.62	22.43	18.84	7.46	11.73	1.75	2.63	2.78	5.02	2.97	18.97	9.48	8.58	4.43	0.0	0.39	15.34	4.7	3.41	0.4	0.0	4.62	4.74	0.96	3.56	2.41	2.05	0.0	0.0	0.89
RYBP	166.73	111.99	141.02	77.79	58.3	166.73	113.56	120.1	70.51	336.79	244.57	251.48	327.56	314.17	133.36	234.57	127.0	237.86	206.94	189.02	237.86	325.29	244.57	154.42	198.47	395.18	186.4	180.02	155.5	140.04	169.07	205.5	201.25	199.85	176.29	98.73	135.24	167.9	129.69
S1PR5	0.0	2.01	2.46	1.69	4.17	2.66	5.06	9.93	7.4	154.42	17.51	25.17	16.27	15.34	20.71	5.23	8.78	15.8	10.24	17.38	30.78	3.66	22.26	6.52	12.09	30.34	8.92	16.75	6.46	5.59	2.92	7.11	3.08	13.32	8.19	6.21	1.83	14.89	3.03
SCUBE3	20.41	0.56	0.58	0.57	0.6	0.6	0.58	3.41	0.0	98.73	52.82	20.86	81.14	44.57	78.34	11.21	10.88	41.52	11.47	139.07	58.3	39.22	16.27	6.62	35.0	26.47	17.13	33.78	11.3	17.13	15.11	10.63	20.71	33.54	11.55	10.55	18.56	10.0	2.32
SFRP2	285.03	0.0	0.78	0.0	0.8	5.06	0.0	8.45	1.99	7966.99	1757.34	2133.97	1331.57	2178.83	1721.16	454.09	218.79	5006.93	403.5	860.08	5479.15	1896.65	6164.49	96.68	65.72	1651.0	299.25	808.0	629.35	138.1	406.31	41.52	1044.52	769.69	10.0	511.0	129.69	748.61	94.67
SGIP1	150.17	0.78	2.14	0.78	6.36	2.73	1.25	1.81	0.0	242.88	718.08	318.57	314.17	167.9	100.83	69.52	53.57	183.82	88.88	414.87	157.68	343.89	358.54	42.11	101.54	567.1	72.52	107.38	46.18	42.41	59.97	50.63	53.95	76.17	42.71	48.18	56.68	87.03	34.51
SIGLEC9	24.28	10.24	1.48	3.5	4.86	10.71	5.68	10.24	5.5	164.42	116.78	115.97	77.25	44.89	158.79	59.97	40.36	105.89	53.19	59.97	52.82	81.71	329.84	35.0	52.45	152.28	35.5	123.5	52.08	51.35	67.59	28.45	57.08	56.28	49.91	11.82	69.52	38.95	10.79
SIRPA	420.68	356.05	66.65	169.07	157.68	260.38	221.86	432.53	255.0	1397.83	688.78	941.27	921.88	336.79	981.29	486.75	273.37	769.69	287.01	669.92	450.94	559.28	1417.35	392.44	389.72	1259.69	607.87	764.36	336.79	397.93	409.15	232.94	540.19	466.88	316.37	108.14	231.32	368.65	110.43
SLC16A6	2.39	1.53	2.66	1.55	1.3	35.0	1.23	2.12	5.63	169.07	40.64	50.63	57.08	47.17	49.91	34.26	30.12	19.97	23.08	24.99	69.52	48.18	83.45	10.63	31.9	75.64	11.55	50.63	12.18	11.47	17.38	29.7	10.71	34.51	21.63	3.86	23.25	21.94	5.77
SLC20A1	299.25	339.14	511.0	221.86	414.87	532.74	379.04	423.61	493.56	1331.57	878.17	921.88	974.5	738.29	567.1	567.1	620.67	579.04	890.44	563.18	738.29	1199.98	896.64	234.57	764.36	1540.37	303.44	656.11	305.55	490.14	334.46	412.0	356.05	579.04	316.37	312.0	358.54	444.72	271.48
SLC2A3	361.04	45.53	48.52	39.5	28.86	232.94	59.97	41.81	151.22	6887.62	2319.15	2193.99	1662.49	808.0	540.19	381.68	285.03	819.3	995.0	819.3	1745.2	1407.55	2609.3	329.84	463.65	6607.01	170.25	473.41	271.48	115.97	363.56	297.17	236.21	684.02	234.57	165.57	149.12	802.41	78.34
SNAPC1	87.03	55.49	70.01	47.17	42.11	37.05	31.67	56.28	38.67	281.09	110.43	111.99	91.41	110.43	67.59	85.82	49.21	78.34	89.51	115.16	108.9	111.99	133.36	48.52	136.19	189.02	75.64	55.1	64.8	28.24	36.27	61.25	50.98	100.83	58.3	109.66	34.26	108.14	42.41
SOX4	87.65	52.08	3.59	10.08	127.89	215.77	34.26	17.77	13.62	866.07	872.1	1662.49	1757.34	579.04	1331.57	1242.34	323.03	1104.13	703.28	1191.69	1277.29	1639.59	848.22	356.05	429.54	995.0	1037.29	796.86	325.29	305.55	373.81	575.03	301.33	351.14	693.58	239.52	587.13	260.38	293.07
SPRED1	127.0	6.31	6.94	5.68	12.45	22.59	27.25	31.0	21.47	493.56	336.79	368.65	595.34	297.17	312.0	320.8	267.73	265.87	167.9	251.48	215.77	511.0	476.71	102.97	273.37	551.56	346.29	312.0	231.32	191.67	277.2	249.73	143.01	166.73	167.9	186.4	178.77	150.17	102.25
STC2	125.24	19.11	18.16	12.55	27.05	20.56	30.78	15.11	13.93	283.05	387.02	563.18	96.68	27.84	158.79	17.77	20.71	52.82	48.18	171.45	150.17	642.59	91.41	43.02	169.07	441.64	115.97	59.97	44.89	20.86	19.53	29.06	23.93	21.01	19.53	4.03	8.58	70.51	4.43
SULF1	256.78	0.0	17.0	4.17	12.93	5.36	6.67	6.31	2.94	4903.87	9151.82	6607.01	1769.57	693.58	4450.27	1519.15	128.79	1617.0	1286.18	4152.18	3491.39	3716.2	3168.41	591.22	974.5	13033.07	1081.39	4239.45	244.57	64.34	183.82	114.36	177.53	256.78	105.15	111.21	218.79	185.11	36.53
SV2B	19.39	0.69	1.06	1.04	0.0	1.48	0.0	0.41	1.68	21.47	20.86	24.28	34.02	23.42	22.92	17.77	8.25	36.27	4.06	52.82	22.92	15.22	23.76	5.36	6.57	29.48	5.73	22.43	10.79	6.11	16.39	12.09	6.89	21.94	8.92	2.68	6.89	20.86	3.56
TCTN2	154.42	80.01	17.64	16.88	8.51	65.26	15.91	27.05	14.78	239.52	201.25	211.31	173.85	223.41	231.32	189.02	110.43	166.73	316.37	256.78	231.32	251.48	281.09	182.55	309.83	237.86	67.59	283.05	178.77	105.15	150.17	145.02	90.77	134.3	100.83	84.04	100.13	116.78	146.03
TNFSF4	105.89	5.23	24.11	11.55	7.88	9.7	8.71	9.41	21.78	191.67	132.44	119.26	40.36	65.26	171.45	72.01	9.7	81.14	104.42	38.12	100.13	150.17	61.25	20.41	35.5	151.22	32.36	115.16	11.73	7.75	10.39	9.2	13.32	33.54	14.03	19.25	24.99	40.07	6.84
TPM4	4512.4	258.57	214.27	423.61	379.04	769.69	753.83	262.2	403.5	13776.25	14065.74	14461.21	9474.59	7433.4	10225.32	9215.48	10440.2	8778.97	7537.18	14971.21	10014.87	18689.27	16383.0	5913.33	12676.65	17437.64	5292.48	6745.86	11827.67	6652.97	8479.89	9606.86	6337.83	5219.6	6426.31	7331.05	7280.4	6840.04	5112.16
TSPYL6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	2.78	1.43	1.53	1.38	0.0	0.0	0.0	3.38	0.0	1.5	1.55	1.13	1.07	0.4	0.74	2.32	0.0	1.03	0.37	0.4	0.4	0.0	0.43	0.44	0.53	0.0	0.0	0.43	0.0
VEGFC	106.63	8.78	18.03	17.64	19.82	22.75	42.11	23.59	14.35	262.2	175.07	204.07	264.03	218.79	244.57	90.77	41.81	269.6	52.08	403.5	232.94	166.73	305.55	78.34	78.34	289.02	80.01	131.51	93.35	33.3	72.01	65.26	59.13	96.68	98.04	73.03	51.71	108.9	37.59
