	TCGA.DD.A119.11A.11R.A131.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.144GM.1326.SM.5LU5E	GTEX.ZF29.2026.SM.4WWB7	GTEX.R53T.0326.SM.48FEC	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.EM.A22K.01A.11R.A180.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13FTW.0626.SM.5IFEX
KAT2A	166.73	96.68	101.54	223.41	130.6	117.6	114.36	127.89	447.82	2875.3	1605.83	1286.18	1963.57	1561.89	1127.35	1806.78	1286.18	1167.14	1870.53	2351.53	1617.0	1167.14	607.87	1437.15	497.0	376.41	414.87	454.09	620.67	836.53	872.1	567.1	346.29	1199.98	633.73	420.68	595.34	438.59	748.61	555.41	283.05	547.75	339.14	1073.91	1151.06	1059.11	1081.39	808.0	764.36	947.83	412.0	1191.69	540.19	928.3	414.87	780.44	532.74	603.67	536.45	941.27	460.44	376.41	884.29	299.25	547.75	403.5	341.51	1322.37	473.41	493.56	361.04	476.71	1044.52	769.69	1008.9	698.41	529.06	318.57
KIAA0195	414.87	346.29	323.03	438.59	353.59	454.09	373.81	486.75	878.17	1617.0	1639.59	1551.09	1896.65	1674.06	1508.65	1721.16	1583.71	1628.26	1605.83	1806.78	1769.57	2018.8	1259.69	1857.6	1397.83	1081.39	1572.76	1286.18	1540.37	1286.18	1331.57	1397.83	1051.79	2090.03	1313.23	1322.37	1508.65	1286.18	1883.54	1639.59	1066.48	1175.27	974.5	1639.59	1923.14	1369.04	1417.35	1417.35	1781.89	1467.37	1216.75	1733.13	1551.09	1832.01	1359.57	1685.71	1119.56	1447.15	1277.29	1594.73	1183.45	1167.14	1519.15	921.88	1199.98	1191.69	1233.75	1651.0	1359.57	1331.57	1066.48	1378.57	1551.09	1250.98	1806.78	1551.09	1277.29	1037.29
LPCAT4	66.18	60.82	24.63	25.91	61.25	27.05	153.34	9.2	93.35	497.0	651.58	511.0	718.08	743.43	599.49	848.22	486.75	555.41	878.17	620.67	656.11	466.88	403.5	921.88	279.14	273.37	368.65	429.54	334.46	379.04	483.38	303.44	255.0	450.94	336.79	258.57	339.14	361.04	490.14	395.18	271.48	363.56	234.57	665.29	830.75	295.11	575.03	348.71	454.09	480.04	279.14	536.45	441.64	371.22	255.0	514.56	277.2	312.0	457.25	620.67	348.71	251.48	450.94	223.41	249.73	195.72	387.02	802.41	392.44	267.73	209.84	403.5	361.04	460.44	540.19	346.29	295.11	239.52
MAST3	98.73	43.94	47.5	50.98	44.25	31.67	45.53	78.89	57.89	102.97	147.06	147.06	165.57	138.1	149.12	236.21	191.67	185.11	151.22	111.21	198.47	104.42	78.89	208.38	59.13	59.13	71.5	81.14	59.97	73.03	99.43	78.34	67.59	100.83	95.34	93.35	104.42	118.43	107.38	106.63	66.65	94.01	45.53	121.79	185.11	69.52	110.43	134.3	98.73	93.35	78.89	138.1	78.34	87.03	80.01	64.34	108.14	61.25	89.51	135.24	61.68	58.3	121.79	83.45	69.52	63.45	75.11	162.14	159.9	77.79	65.72	75.64	105.89	90.77	102.97	92.05	63.89	58.3
MMS19	473.41	229.72	339.14	256.78	387.02	289.02	426.57	343.89	271.48	1135.2	1208.34	1216.75	1037.29	1340.84	1199.98	1417.35	934.76	1037.29	1159.07	1191.69	1143.1	961.07	620.67	1111.82	802.41	743.43	1073.91	785.88	723.08	780.44	848.22	743.43	723.08	1073.91	884.29	819.3	830.75	802.41	769.69	825.0	848.22	884.29	733.19	934.76	1183.45	842.36	860.08	703.28	872.1	753.83	620.67	934.76	902.89	902.89	808.0	842.36	764.36	848.22	769.69	1030.12	796.86	921.88	896.64	728.11	808.0	764.36	890.44	1066.48	791.35	954.43	733.19	854.13	934.76	909.17	1096.5	733.19	909.17	796.86
MUS81	251.48	339.14	281.09	251.48	212.78	217.27	336.79	271.48	291.04	1037.29	1119.56	909.17	1250.98	1216.75	830.75	1151.06	1066.48	848.22	1225.22	1175.27	860.08	842.36	665.29	1167.14	819.3	775.05	728.11	612.11	769.69	785.88	1313.23	447.82	728.11	988.12	995.0	854.13	733.19	629.35	836.53	748.61	728.11	854.13	688.78	909.17	1242.34	947.83	947.83	830.75	1044.52	769.69	698.41	1233.75	1096.5	947.83	665.29	836.53	802.41	775.05	738.29	1008.9	854.13	607.87	1104.13	791.35	703.28	791.35	633.73	1350.18	708.18	842.36	728.11	651.58	995.0	961.07	941.27	890.44	728.11	647.07
NARFL	273.37	237.86	262.2	305.55	215.77	309.83	309.83	332.14	397.93	836.53	629.35	532.74	728.11	669.92	583.07	656.11	713.11	647.07	693.58	748.61	551.56	518.15	423.61	848.22	718.08	483.38	497.0	417.77	599.49	356.05	878.17	532.74	327.56	616.37	656.11	371.22	417.77	525.39	497.0	620.67	486.75	466.88	348.71	555.41	698.41	514.56	460.44	483.38	529.06	669.92	406.31	684.02	483.38	529.06	435.55	514.56	559.28	511.0	460.44	543.96	454.09	507.46	647.07	457.25	435.55	559.28	480.04	607.87	480.04	379.04	389.72	406.31	551.56	500.46	688.78	503.95	503.95	373.81
NCKAP5L	112.77	59.13	31.0	164.42	41.22	109.66	190.34	79.45	109.66	381.68	303.44	297.17	463.65	262.2	285.03	376.41	392.44	351.14	363.56	384.34	325.29	273.37	177.53	348.71	255.0	221.86	273.37	241.19	223.41	175.07	351.14	154.42	182.55	293.07	295.11	193.01	232.94	258.57	241.19	275.28	226.54	256.78	157.68	262.2	246.28	221.86	297.17	258.57	297.17	244.57	191.67	403.5	264.03	273.37	236.21	239.52	231.32	218.79	236.21	329.84	191.67	194.36	346.29	195.72	293.07	198.47	237.86	366.09	267.73	229.72	186.4	229.72	253.23	273.37	293.07	251.48	178.77	164.42
NFATC4	35.0	52.08	33.78	19.25	30.78	17.9	29.91	30.12	28.24	1950.0	3190.46	2133.97	1857.6	2976.74	2075.59	2004.85	1119.56	2400.97	2520.38	2935.74	3419.52	1167.14	406.31	1369.04	629.35	785.88	1059.11	967.76	325.29	669.92	679.29	314.17	854.13	1030.12	1561.89	483.38	1268.46	796.86	511.0	1088.92	802.41	928.3	346.29	1359.57	703.28	1457.23	1096.5	647.07	525.39	1059.11	723.08	1088.92	842.36	638.15	708.18	620.67	532.74	728.11	629.35	1015.93	947.83	848.22	830.75	384.34	503.95	954.43	674.59	1286.18	1104.13	642.59	616.37	551.56	1096.5	1340.84	1030.12	379.04	743.43	575.03
NXF1	616.37	447.82	463.65	743.43	665.29	660.68	890.44	571.05	769.69	2758.13	2367.9	2520.38	3515.68	3060.45	2520.38	4639.29	2796.65	2451.44	3146.52	2758.13	2720.15	2701.35	1340.84	3018.3	1923.14	1977.24	1963.57	1639.59	1540.37	2209.26	1457.23	2133.97	1540.37	2682.69	1594.73	1529.73	1819.35	1498.22	1617.0	1208.34	1540.37	1628.26	1769.57	2591.27	2796.65	2255.7	2627.46	1963.57	1529.73	1844.76	1359.57	2555.58	1733.13	2287.2	1794.29	2701.35	1662.49	2319.15	1806.78	2255.7	1674.06	1447.15	2400.97	1709.26	1540.37	1651.0	1781.89	2816.11	1883.54	1096.5	1167.14	2061.24	2163.77	2739.08	2485.67	1628.26	1977.24	1216.75
PACS2	194.36	165.57	132.44	167.9	87.65	103.69	149.12	167.9	171.45	1088.92	836.53	884.29	1388.16	890.44	860.08	1191.69	1127.35	1015.93	1015.93	1066.48	934.76	1350.18	669.92	1119.56	830.75	733.19	954.43	848.22	708.18	647.07	819.3	603.67	718.08	1135.2	884.29	775.05	921.88	769.69	941.27	884.29	743.43	775.05	603.67	1066.48	1167.14	842.36	1001.93	896.64	764.36	941.27	679.29	995.0	981.29	961.07	733.19	1023.0	723.08	785.88	647.07	1175.27	785.88	703.28	860.08	638.15	780.44	738.29	780.44	1378.57	743.43	848.22	543.96	718.08	902.89	866.07	1104.13	669.92	738.29	647.07
PLEKHG5	20.26	22.43	8.85	14.56	12.74	10.88	26.47	9.27	12.83	241.19	198.47	228.13	295.11	271.48	221.86	406.31	142.01	172.65	318.57	334.46	297.17	127.0	118.43	201.25	89.51	49.21	105.89	123.5	139.07	85.82	144.01	75.64	65.26	157.68	103.69	84.04	155.5	56.28	180.02	89.51	51.71	98.04	68.55	256.78	224.97	130.6	163.28	123.5	134.3	232.94	94.67	91.41	73.03	121.79	104.42	102.25	54.33	47.17	91.41	122.64	105.89	57.89	136.19	71.0	71.5	54.33	50.98	281.09	119.26	94.01	49.91	80.57	162.14	88.26	197.09	115.16	105.89	52.08
PPP1R32	38.95	47.84	40.07	45.21	26.28	36.79	29.7	68.07	31.45	209.84	149.12	102.97	91.41	132.44	78.34	120.1	140.04	75.64	137.14	87.03	89.51	87.65	69.52	100.83	34.26	73.54	57.89	55.89	59.13	64.8	53.19	39.79	65.26	88.26	80.57	35.25	51.35	40.36	85.82	40.64	33.06	55.49	27.05	100.13	98.04	107.38	64.8	40.36	70.51	96.01	21.78	62.12	30.56	76.71	39.5	81.14	40.07	40.64	35.25	142.01	51.35	53.57	93.35	28.65	43.32	44.57	49.21	103.69	48.52	56.28	37.59	40.07	94.67	68.07	86.43	56.68	45.21	18.56
PPP2R3B	34.02	32.82	25.72	28.86	15.11	10.39	18.7	15.91	35.5	248.0	334.46	224.97	242.88	260.38	175.07	295.11	147.06	145.02	165.57	275.28	191.67	198.47	125.24	187.71	107.38	72.01	102.97	87.65	120.1	115.97	113.56	78.89	69.52	161.02	142.01	125.24	127.0	104.42	131.51	199.85	68.07	97.36	55.1	127.89	158.79	211.31	242.88	114.36	116.78	153.34	78.34	211.31	147.06	115.16	119.26	141.02	102.25	189.02	140.04	205.5	96.68	70.01	255.0	70.01	97.36	125.24	108.9	277.2	76.71	78.89	74.58	114.36	147.06	90.77	212.78	108.14	105.89	58.71
PRR12	66.18	32.82	53.95	24.99	29.06	46.5	37.05	44.25	64.8	470.14	447.82	406.31	363.56	293.07	400.71	332.14	373.81	389.72	297.17	363.56	450.94	392.44	273.37	420.68	277.2	299.25	351.14	295.11	339.14	279.14	376.41	199.85	234.57	409.15	346.29	260.38	299.25	269.6	353.59	346.29	264.03	318.57	182.55	358.54	406.31	176.29	353.59	361.04	281.09	343.89	289.02	356.05	301.33	273.37	279.14	251.48	305.55	228.13	392.44	371.22	371.22	267.73	384.34	193.01	289.02	297.17	265.87	395.18	287.01	312.0	228.13	320.8	258.57	256.78	444.72	376.41	289.02	201.25
PRR14	299.25	297.17	253.23	309.83	221.86	327.56	353.59	236.21	412.0	1167.14	884.29	759.08	1183.45	1167.14	884.29	1066.48	988.12	825.0	1044.52	1151.06	915.51	981.29	633.73	1216.75	796.86	728.11	836.53	698.41	559.28	674.59	764.36	612.11	713.11	866.07	981.29	775.05	785.88	642.59	688.78	753.83	703.28	733.19	620.67	836.53	1008.9	775.05	775.05	890.44	679.29	764.36	607.87	884.29	1023.0	819.3	733.19	813.63	665.29	974.5	723.08	974.5	854.13	620.67	988.12	575.03	775.05	802.41	780.44	1135.2	928.3	808.0	595.34	607.87	860.08	928.3	1037.29	723.08	738.29	555.41
RABGGTA	348.71	285.03	334.46	351.14	214.27	309.83	400.71	295.11	295.11	947.83	651.58	825.0	1183.45	1088.92	684.02	1447.15	961.07	872.1	1159.07	954.43	842.36	638.15	486.75	988.12	723.08	466.88	743.43	595.34	551.56	373.81	728.11	567.1	500.46	775.05	866.07	629.35	796.86	718.08	638.15	679.29	559.28	764.36	397.93	624.99	974.5	521.76	665.29	759.08	651.58	656.11	518.15	890.44	1001.93	674.59	651.58	769.69	551.56	703.28	708.18	836.53	753.83	684.02	638.15	521.76	693.58	733.19	567.1	1135.2	540.19	674.59	426.57	547.75	808.0	647.07	813.63	551.56	638.15	476.71
RAPGEF3	22.92	14.78	13.12	26.1	32.36	12.0	20.56	17.77	45.21	3168.41	2997.45	3325.99	6164.49	3874.05	3540.14	4543.8	3443.31	3146.52	3372.43	3982.99	2875.3	2451.44	1225.22	1250.98	1417.35	1806.78	1923.14	1757.34	1477.58	1159.07	1745.2	1359.57	808.0	2335.28	1685.71	1923.14	2976.74	1745.2	2701.35	2148.82	1685.71	1870.53	1199.98	1991.0	3212.66	1709.26	1551.09	1745.2	1529.73	1216.75	1233.75	3060.45	2591.27	2004.85	1519.15	2682.69	1628.26	2875.3	1896.65	2209.26	1487.87	947.83	2895.31	854.13	2224.63	1498.22	3443.31	2367.9	1883.54	1870.53	1104.13	2133.97	2335.28	2287.2	3742.05	1561.89	1628.26	1551.09
RARG	52.08	53.57	35.0	24.63	50.27	58.71	12.0	24.28	69.03	620.67	669.92	679.29	1073.91	813.63	796.86	1378.57	543.96	866.07	896.64	723.08	988.12	860.08	381.68	674.59	348.71	595.34	507.46	409.15	595.34	529.06	642.59	260.38	417.77	934.76	583.07	514.56	299.25	299.25	791.35	638.15	665.29	441.64	255.0	981.29	825.0	361.04	503.95	532.74	629.35	642.59	346.29	536.45	638.15	780.44	450.94	764.36	571.05	493.56	366.09	656.11	353.59	366.09	387.02	447.82	265.87	255.0	323.03	563.18	703.28	460.44	371.22	264.03	429.54	540.19	1008.9	759.08	318.57	420.68
RASA4	109.66	37.59	18.29	41.22	52.45	107.38	18.97	55.49	19.11	1529.73	981.29	713.11	1167.14	1191.69	551.56	1437.15	547.75	591.22	748.61	1104.13	591.22	733.19	563.18	583.07	511.0	438.59	559.28	669.92	599.49	854.13	341.51	157.68	271.48	1350.18	674.59	239.52	356.05	341.51	412.0	647.07	591.22	366.09	202.66	896.64	616.37	1159.07	435.55	348.71	366.09	518.15	713.11	947.83	303.44	271.48	169.07	525.39	283.05	221.86	314.17	693.58	441.64	198.47	1030.12	262.2	157.68	224.97	409.15	624.99	473.41	269.6	563.18	249.73	511.0	738.29	728.11	239.52	400.71	129.69
RASA4B	59.13	14.14	11.73	49.21	19.53	26.1	12.09	12.93	59.97	435.55	454.09	193.01	536.45	381.68	258.57	463.65	201.25	224.97	253.23	567.1	195.72	366.09	169.07	325.29	346.29	98.04	208.38	412.0	366.09	371.22	143.01	111.99	151.22	559.28	281.09	80.01	161.02	172.65	161.02	277.2	195.72	208.38	103.69	348.71	351.14	473.41	191.67	220.32	217.27	223.41	323.03	457.25	155.5	87.65	69.03	163.28	178.77	96.01	159.9	198.47	197.09	109.66	379.04	125.24	77.25	100.83	81.71	392.44	275.28	84.04	256.78	75.64	205.5	275.28	258.57	154.42	112.77	85.22
RGL2	277.2	287.01	163.28	183.82	214.27	140.04	158.79	201.25	612.11	2240.11	2855.44	2434.5	3060.45	3794.3	2645.74	3491.39	2148.82	2451.44	2573.36	3039.3	3257.52	1963.57	1277.29	2645.74	1519.15	1551.09	1794.29	1427.22	1745.2	1437.15	1709.26	1350.18	1286.18	2417.67	1991.0	1268.46	1769.57	1561.89	1617.0	1769.57	1477.58	1870.53	1250.98	2777.33	2796.65	1923.14	2271.4	1832.01	1991.0	1977.24	1295.13	2701.35	1427.22	2032.85	1331.57	2032.85	1350.18	1397.83	1457.23	2816.11	2163.77	1437.15	2148.82	1208.34	1417.35	1208.34	1662.49	2335.28	1529.73	1936.53	1286.18	1388.16	2224.63	1628.26	2682.69	1617.0	1561.89	1313.23
RHPN1	18.29	16.03	7.82	3.38	3.92	13.42	43.32	4.35	42.41	2645.74	1883.54	1397.83	2032.85	2240.11	1572.76	1662.49	1857.6	1508.65	1498.22	2163.77	1709.26	1286.18	583.07	1199.98	796.86	392.44	579.04	429.54	575.03	842.36	1015.93	395.18	258.57	1286.18	620.67	547.75	665.29	514.56	921.88	759.08	384.34	575.03	318.57	1175.27	1183.45	1242.34	995.0	796.86	854.13	813.63	450.94	1277.29	909.17	1030.12	638.15	769.69	665.29	759.08	536.45	1191.69	638.15	454.09	1096.5	351.14	698.41	791.35	559.28	1119.56	540.19	629.35	368.65	665.29	866.07	769.69	1277.29	642.59	500.46	307.69
SCRN2	651.58	753.83	476.71	525.39	444.72	521.76	361.04	567.1	1183.45	3039.3	2303.12	2104.58	1923.14	2400.97	2148.82	2255.7	2451.44	1857.6	2287.2	2287.2	2163.77	1936.53	1519.15	2133.97	1757.34	1407.55	1733.13	1216.75	1487.87	1709.26	2224.63	1001.93	1295.13	2303.12	2104.58	1159.07	1870.53	1477.58	1540.37	1721.16	1259.69	1781.89	995.0	2178.83	2240.11	1977.24	1628.26	1617.0	1870.53	1806.78	1359.57	2075.59	1572.76	2047.0	1437.15	1991.0	1561.89	1397.83	1417.35	2384.37	1963.57	1437.15	1757.34	954.43	1639.59	1662.49	1233.75	2209.26	1628.26	2032.85	1331.57	1225.22	1781.89	1697.45	2090.03	1832.01	1369.04	1208.34
SEC31B	10.96	13.83	8.78	33.54	23.76	19.39	17.13	16.75	53.95	229.72	239.52	231.32	228.13	178.77	269.6	226.54	224.97	167.9	229.72	189.02	176.29	144.01	87.03	351.14	85.82	52.45	121.79	83.45	133.36	111.21	132.44	36.53	75.64	231.32	162.14	56.68	115.16	63.0	149.12	90.77	57.49	159.9	48.18	218.79	358.54	158.79	176.29	96.68	157.68	187.71	51.35	125.24	54.72	134.3	85.82	130.6	43.63	78.34	69.03	149.12	84.04	93.35	164.42	52.82	100.13	63.0	88.26	218.79	54.33	99.43	72.01	105.15	175.07	131.51	172.65	70.51	57.49	37.32
SFI1	53.95	27.64	21.78	34.51	31.22	39.79	96.01	66.65	59.55	1001.93	612.11	438.59	769.69	603.67	483.38	723.08	713.11	529.06	791.35	928.3	351.14	435.55	406.31	1023.0	368.65	332.14	486.75	334.46	356.05	368.65	497.0	271.48	339.14	493.56	403.5	318.57	514.56	307.69	470.14	507.46	312.0	420.68	191.67	603.67	764.36	656.11	497.0	454.09	514.56	473.41	246.28	563.18	486.75	435.55	414.87	429.54	297.17	323.03	480.04	842.36	379.04	341.51	603.67	343.89	392.44	334.46	476.71	1023.0	309.83	400.71	265.87	343.89	511.0	518.15	656.11	339.14	406.31	271.48
SH3GLB2	363.56	327.56	234.57	287.01	162.14	260.38	281.09	307.69	480.04	3467.27	2720.15	2682.69	2796.65	3257.52	2627.46	3564.78	2384.37	2682.69	2997.45	3124.78	2609.3	2573.36	1709.26	2956.17	1757.34	1721.16	2287.2	1540.37	2133.97	2075.59	2319.15	1427.22	1427.22	2956.17	2485.67	1583.71	2367.9	1721.16	2090.03	2075.59	1529.73	1733.13	1457.23	2997.45	2855.44	2664.15	3257.52	1685.71	2502.97	2701.35	1733.13	2573.36	1819.35	2384.37	1794.29	2319.15	1447.15	1733.13	1709.26	3303.0	2104.58	1685.71	2627.46	1350.18	2255.7	1697.45	1963.57	2758.13	1794.29	1781.89	1313.23	1806.78	2777.33	2384.37	2303.12	2119.22	1745.2	1216.75
SIRT2	915.51	842.36	603.67	607.87	409.15	688.78	896.64	642.59	1191.69	1519.15	1697.45	1104.13	1697.45	1594.73	1242.34	1397.83	1467.37	1388.16	1477.58	2032.85	1233.75	1295.13	1023.0	1216.75	1111.82	921.88	1487.87	1208.34	1159.07	1096.5	1023.0	1313.23	947.83	1457.23	1427.22	1259.69	1407.55	1304.15	1259.69	1498.22	1008.9	1457.23	842.36	1561.89	1477.58	1225.22	1277.29	1498.22	1331.57	1551.09	961.07	1242.34	1250.98	1259.69	1111.82	1447.15	981.29	1259.69	1199.98	1437.15	1242.34	1023.0	1529.73	974.5	1096.5	1159.07	1417.35	1359.57	1216.75	1216.75	967.76	1111.82	1175.27	1304.15	1359.57	1143.1	1143.1	967.76
SLC26A6	68.55	39.22	63.89	29.7	33.3	40.07	24.63	43.63	120.94	346.29	379.04	212.78	327.56	356.05	343.89	406.31	329.84	275.28	273.37	221.86	255.0	208.38	155.5	265.87	140.04	99.43	170.25	157.68	107.38	162.14	229.72	131.51	81.14	251.48	164.42	171.45	217.27	153.34	178.77	117.6	100.13	180.02	77.79	226.54	275.28	172.65	241.19	197.09	172.65	173.85	120.1	244.57	180.02	162.14	128.79	173.85	99.43	142.01	194.36	236.21	155.5	90.77	214.27	93.35	163.28	126.12	156.59	267.73	139.07	149.12	102.97	125.24	185.11	194.36	246.28	165.57	158.79	98.73
SLC9A5	3.08	1.07	0.31	1.79	1.73	0.09	0.0	1.97	1.28	52.82	100.13	39.5	30.34	58.3	74.06	65.26	30.78	40.64	70.01	71.5	53.95	10.88	11.55	27.64	10.71	11.04	12.55	11.73	9.41	5.82	22.1	2.53	12.93	12.0	25.91	7.69	14.45	10.47	7.22	16.27	8.51	17.38	6.78	15.11	26.47	11.38	7.63	11.38	18.56	18.43	6.84	18.16	11.82	13.32	10.16	14.89	11.47	7.28	16.03	18.56	19.68	25.91	12.45	11.47	15.22	10.63	14.56	20.56	11.38	18.7	11.13	13.83	17.51	9.63	20.11	7.51	6.52	6.21
SPTBN5	24.46	0.3	3.08	11.47	1.73	5.41	11.13	2.46	7.17	63.89	49.56	77.25	88.88	80.01	54.72	105.15	111.21	96.01	130.6	120.1	69.03	88.88	37.05	92.05	50.27	43.32	45.21	29.27	39.5	47.17	48.87	27.25	31.67	111.21	53.57	45.53	25.72	37.32	57.49	78.89	11.47	28.04	40.93	59.55	71.0	29.91	52.45	48.87	65.26	50.63	25.54	100.13	79.45	51.35	31.67	52.82	33.3	36.53	80.57	34.51	25.91	17.77	43.94	37.05	15.22	30.12	19.11	154.42	49.56	36.53	17.9	55.49	33.54	50.98	96.68	64.34	36.27	44.57
TBC1D3G	38.67	0.0	6.26	6.11	12.83	11.82	17.64	7.57	11.82	123.5	76.17	121.79	201.25	131.51	75.11	228.13	104.42	129.69	170.25	148.09	92.7	107.38	12.18	88.26	58.71	66.65	93.35	38.4	43.63	23.42	22.92	68.55	35.25	66.18	80.57	29.48	115.16	58.71	43.32	27.44	49.91	54.33	32.82	108.14	118.43	29.48	68.55	45.21	71.0	63.89	28.24	69.52	52.82	38.12	46.84	100.83	43.32	21.78	35.76	58.71	48.87	35.76	47.84	49.21	71.0	5.5	54.72	64.34	50.63	63.89	23.93	46.84	66.18	50.63	53.57	37.85	32.36	15.11
TG	8.58	1.93	78.89	2.34	59.55	5.59	13.12	16.75	4.13	627822.72	1085552.95	1123834.93	469249.9	731246.37	1048575.0	305326.92	985160.01	1085552.95	383800.28	502929.67	1026995.62	1282030.25	2068278.89	828417.36	1452391.55	2247670.86	2126426.15	1327240.99	1751305.3	2375828.71	1611529.43	1204496.53	1611529.43	1622738.51	1739208.14	1634025.56	1838374.44	1997825.68	1535204.12	1984025.69	1336472.68	1997825.68	1290947.48	1984025.69	1355129.16	2986448.72	1567462.05	2025714.3	2425749.94	1318073.06	1929772.37	1299926.74	1943195.01	1622738.51	1727194.55	1589343.01	1355129.16	2636147.11	2263304.65	1229805.58	1775752.63	2111737.85	1691649.38	1668359.93	1800541.22	3178687.03	3886391.01	789181.81	1645391.11	1622738.51	951601.81	2263304.65	1535204.12	2672946.37	1864037.21	1634025.56	1402917.72	1026995.62
TMEM240	9.48	8.58	6.73	1.99	2.89	3.38	1.68	2.61	5.77	303.44	267.73	120.1	118.43	135.24	98.73	125.24	80.01	150.17	95.34	138.1	163.28	113.56	102.97	112.77	78.34	36.01	43.94	71.5	53.95	120.1	70.51	37.59	35.5	72.52	75.64	72.52	76.17	37.05	74.58	31.22	36.01	51.71	50.27	117.6	94.01	55.1	113.56	58.3	71.0	108.9	54.72	78.34	48.52	62.12	37.32	51.35	24.28	51.71	22.1	82.87	85.22	64.8	59.13	29.91	32.13	43.02	45.85	69.52	60.39	44.89	35.5	32.13	69.52	63.0	80.01	98.73	63.0	6.06
TMEM44	70.01	190.34	51.71	66.18	43.02	73.03	45.21	68.07	43.63	320.8	285.03	363.56	559.28	361.04	435.55	642.59	381.68	320.8	323.03	305.55	368.65	236.21	197.09	309.83	140.04	170.25	176.29	180.02	164.42	147.06	212.78	159.9	166.73	256.78	258.57	156.59	191.67	176.29	246.28	171.45	159.9	193.01	115.97	234.57	285.03	182.55	281.09	190.34	218.79	273.37	131.51	212.78	242.88	215.77	198.47	271.48	118.43	162.14	178.77	246.28	148.09	127.0	157.68	127.0	143.01	167.9	136.19	460.44	221.86	164.42	162.14	204.07	237.86	165.57	262.2	166.73	119.26	127.0
TNFRSF25	39.79	12.09	21.16	27.05	23.59	17.77	16.75	12.36	25.91	343.89	212.78	167.9	293.07	239.52	182.55	536.45	221.86	178.77	358.54	291.04	215.77	204.07	138.1	551.56	66.18	37.59	68.07	97.36	105.89	92.7	154.42	59.55	39.5	166.73	108.14	102.97	135.24	46.84	172.65	69.03	20.86	69.03	38.12	316.37	438.59	139.07	162.14	150.17	146.03	205.5	55.89	162.14	78.34	182.55	72.52	189.02	52.45	60.39	69.52	187.71	82.29	24.99	181.28	52.08	62.12	50.27	38.4	642.59	111.99	52.45	41.22	40.64	155.5	78.89	260.38	121.79	70.51	32.13
