	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A4NR.01A.11R.A311.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.MR.A520.01A.11R.A266.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.CC.A5UE.01A.11R.A28V.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.12WSG.0626.SM.5FQTQ	GTEX.1399R.1226.SM.5P9GF	GTEX.R53T.0326.SM.48FEC	TCGA.78.8648.01A.11R.2403.07	TCGA.38.4626.01A.01R.1206.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.12WSG.0326.SM.5FQU3	GTEX.13D11.0326.SM.5LZXX	GTEX.ZZPU.0526.SM.5E44U	GTEX.11NSD.0326.SM.5A5LS	GTEX.QV44.0926.SM.2S1RH	GTEX.13OW5.0726.SM.5KLZK	GTEX.P4QR.1026.SM.2I5GP	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.139T6.0426.SM.5IJEM	GTEX.ZAB5.0626.SM.5PNVB	GTEX.P78B.0926.SM.2I5FA	GTEX.PWOO.0726.SM.2I3EB	GTEX.WH7G.0726.SM.3NMBM	GTEX.Y8E4.0526.SM.4V6GC	GTEX.WVJS.0826.SM.4MVNR	GTEX.131XE.0726.SM.5HL9K	GTEX.11P81.0226.SM.5HL5M	GTEX.146FH.1226.SM.5NQB6	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07
DCHS1	18.16	97.36	9.06	23.76	71.0	20.11	9.93	25.35	38.12	16.51	14.78	13.22	13.83	25.72	14.89	15.8	14.14	42.41	8.25	21.78	31.22	11.21	18.43	26.86	28.65	16.63	26.67	18.03	17.38	3.2	12.36	23.08	10.31	54.33	12.93	16.27	41.52	9.06	10.47	32.82	35.0	50.98	28.65	287.01	149.12	166.73	52.08	71.5	58.3	791.35	125.24	82.87	140.04	101.54	150.17	169.07	96.68	303.44	58.71	58.3	181.28	128.79	242.88	136.19	59.97	93.35	142.01	81.14	563.18	97.36	234.57	97.36	72.01	49.56	198.47	105.89
DHH	3.59	15.56	2.27	2.66	23.25	4.66	4.28	6.52	12.93	0.0	13.52	1.62	0.67	4.82	3.82	0.46	2.1	6.11	1.68	0.0	7.17	3.2	2.86	0.0	3.72	3.17	4.03	3.38	3.72	1.14	0.36	4.7	0.3	17.0	1.06	3.11	2.12	0.0	0.0	0.0	2.71	9.93	0.0	20.11	3.82	15.45	5.73	3.76	13.83	21.94	13.32	35.5	34.02	17.51	24.46	16.88	16.03	18.16	5.11	29.48	25.54	9.85	28.65	14.14	8.38	27.84	14.45	14.14	23.93	9.85	45.21	1.93	10.71	2.56	48.18	11.13
DPYSL2	1051.79	1295.13	769.69	583.07	669.92	902.89	842.36	295.11	339.14	229.72	176.29	197.09	202.66	189.02	195.72	129.69	158.79	323.03	76.17	193.01	159.9	77.25	138.1	255.0	208.38	497.0	155.5	271.48	289.02	57.08	132.44	104.42	83.45	748.61	90.77	181.28	237.86	99.43	111.21	181.28	287.01	329.84	110.43	1322.37	2351.53	1844.76	214.27	1896.65	1857.6	4671.57	1388.16	1896.65	2627.46	1119.56	6516.03	5112.16	2090.03	1477.58	2434.5	1167.14	2178.83	2047.0	3847.29	7180.15	1529.73	2701.35	2104.58	3690.52	11909.94	2555.58	7331.05	2133.97	2701.35	1096.5	2573.36	1977.24
EDNRA	18.03	156.59	8.19	27.64	11.47	14.03	5.15	52.82	53.95	28.24	35.25	8.78	10.55	25.72	17.25	6.67	21.47	27.44	11.3	16.39	52.08	13.83	22.59	10.79	58.3	12.45	18.97	20.26	27.44	10.55	19.97	18.84	5.32	88.88	6.84	16.27	7.75	8.13	22.92	5.96	67.12	22.1	21.78	379.04	239.52	346.29	85.82	334.46	151.22	603.67	208.38	275.28	307.69	293.07	518.15	217.27	395.18	525.39	226.54	173.85	813.63	400.71	878.17	547.75	115.97	260.38	323.03	808.0	543.96	490.14	417.77	67.12	98.04	63.0	1051.79	293.07
EDNRB	161.02	189.02	79.45	84.04	108.9	205.5	106.63	171.45	151.22	135.24	212.78	45.21	97.36	150.17	119.26	47.84	191.67	78.89	42.11	110.43	115.16	61.68	109.66	55.89	435.55	152.28	65.26	287.01	191.67	26.28	199.85	110.43	45.21	232.94	171.45	500.46	172.65	251.48	255.0	116.78	476.71	291.04	299.25	283.05	397.93	684.02	41.22	1605.83	599.49	1322.37	579.04	1313.23	1806.78	96.68	559.28	981.29	336.79	532.74	633.73	764.36	460.44	1508.65	2090.03	679.29	158.79	967.76	813.63	490.14	651.58	780.44	1268.46	3690.52	438.59	848.22	728.11	674.59
EFNB2	163.28	218.79	32.59	56.68	122.64	87.03	387.02	140.04	170.25	49.21	112.77	60.82	44.57	163.28	55.89	75.11	77.79	119.26	57.08	115.16	102.97	76.71	64.8	41.22	206.94	63.89	69.52	127.0	114.36	17.51	77.79	91.41	32.36	241.19	33.78	57.49	59.55	19.82	26.47	53.19	136.19	94.01	63.0	381.68	470.14	518.15	154.42	361.04	441.64	2855.44	262.2	620.67	1199.98	214.27	1225.22	320.8	620.67	808.0	1250.98	297.17	297.17	575.03	1685.71	1378.57	198.47	934.76	902.89	267.73	1277.29	1015.93	1529.73	332.14	414.87	221.86	1111.82	414.87
EGFL7	387.02	2018.8	143.01	293.07	1844.76	262.2	334.46	2796.65	1135.2	796.86	796.86	529.06	1135.2	660.68	738.29	743.43	1331.57	1477.58	599.49	547.75	3303.0	312.0	551.56	647.07	896.64	860.08	1350.18	403.5	1457.23	1208.34	612.11	796.86	1008.9	1427.22	251.48	432.53	1819.35	620.67	318.57	1175.27	1457.23	507.46	591.22	2451.44	1870.53	3303.0	1721.16	2591.27	3146.52	6652.97	1151.06	2682.69	3372.43	954.43	3190.46	1950.0	2835.7	5517.27	5633.22	988.12	866.07	4869.99	2255.7	2609.3	684.02	2956.17	6652.97	5913.33	7032.37	2417.67	5112.16	3212.66	1583.71	753.83	6426.31	3982.99
EGR3	110.43	110.43	1.51	28.45	71.0	15.8	31.22	6.73	6.52	4.74	5.36	3.32	2.86	7.69	4.9	2.12	0.77	25.54	0.42	9.13	5.02	5.77	2.68	3.06	8.99	0.66	1.16	3.11	2.32	1.79	1.3	5.92	4.13	13.52	16.75	22.92	15.56	9.48	24.46	2.73	13.72	5.28	11.73	229.72	85.82	170.25	7.46	25.17	119.26	56.28	587.13	69.03	651.58	460.44	162.14	33.06	29.91	117.6	26.47	100.83	348.71	72.01	392.44	81.14	348.71	19.39	167.9	59.97	44.57	1059.11	43.32	29.06	79.45	59.97	135.24	285.03
ELK3	267.73	483.38	130.6	208.38	64.8	144.01	117.6	212.78	244.57	102.97	208.38	105.89	120.1	154.42	115.97	135.24	127.0	190.34	57.89	138.1	112.77	79.45	150.17	68.55	234.57	84.04	154.42	67.59	143.01	53.95	50.98	115.97	81.71	447.82	39.5	92.7	186.4	69.03	106.63	60.39	204.07	171.45	158.79	947.83	559.28	521.76	180.02	507.46	518.15	718.08	872.1	624.99	647.07	486.75	414.87	624.99	981.29	753.83	473.41	432.53	1088.92	486.75	988.12	703.28	249.73	718.08	769.69	444.72	928.3	890.44	769.69	371.22	353.59	299.25	941.27	660.68
EML1	128.79	135.24	43.02	94.67	92.7	176.29	146.03	35.76	51.71	11.13	30.78	19.25	22.75	77.25	28.45	15.8	22.75	53.57	21.63	40.64	30.56	19.39	20.86	113.56	67.59	16.15	23.08	36.79	89.51	2.32	21.94	47.84	64.8	64.34	15.22	14.24	75.11	22.43	25.72	82.87	118.43	104.42	73.54	175.07	214.27	134.3	80.01	149.12	285.03	1044.52	612.11	423.61	665.29	186.4	423.61	665.29	150.17	260.38	204.07	147.06	316.37	384.34	1073.91	629.35	143.01	532.74	497.0	293.07	802.41	688.78	1143.1	244.57	441.64	65.72	358.54	197.09
ETS1	336.79	743.43	251.48	273.37	490.14	669.92	212.78	323.03	444.72	139.07	366.09	236.21	133.36	279.14	231.32	145.02	201.25	490.14	59.97	323.03	209.84	126.12	176.29	75.11	353.59	231.32	226.54	241.19	162.14	93.35	180.02	191.67	115.97	780.44	106.63	116.78	486.75	176.29	218.79	151.22	435.55	447.82	309.83	1561.89	1030.12	995.0	307.69	1216.75	802.41	2997.45	890.44	830.75	974.5	665.29	3235.01	1477.58	1167.14	1605.83	830.75	1066.48	1963.57	1127.35	1857.6	1447.15	381.68	981.29	1111.82	995.0	1923.14	1457.23	1417.35	1135.2	555.41	1369.04	1277.29	1151.06
ETV1	86.43	40.93	34.75	111.21	30.12	148.09	37.85	23.59	71.0	190.34	70.01	1.99	129.69	15.91	44.57	34.26	29.91	31.0	58.71	155.5	54.33	14.78	94.67	90.14	105.89	110.43	14.35	98.73	83.45	87.03	38.67	69.52	11.55	90.77	44.89	39.5	102.25	80.01	13.32	44.25	116.78	312.0	281.09	366.09	1023.0	373.81	27.05	376.41	320.8	279.14	511.0	753.83	941.27	583.07	339.14	214.27	332.14	753.83	718.08	423.61	688.78	3690.52	764.36	995.0	269.6	1991.0	540.19	1151.06	503.95	1963.57	642.59	3491.39	1286.18	848.22	854.13	921.88
EXOC3L1	31.45	109.66	22.1	31.9	137.14	17.38	23.42	91.41	62.12	56.28	85.22	56.28	33.3	48.87	76.17	66.18	66.18	80.01	36.53	24.28	161.02	29.27	40.64	38.4	104.42	53.57	100.13	36.01	52.08	30.56	42.41	59.55	28.65	139.07	20.11	29.06	94.01	38.4	31.9	44.89	82.87	82.29	59.13	190.34	165.57	228.13	77.25	125.24	146.03	358.54	164.42	217.27	279.14	229.72	305.55	228.13	307.69	429.54	220.32	178.77	297.17	169.07	356.05	295.11	141.02	277.2	312.0	397.93	483.38	334.46	612.11	166.73	171.45	115.97	483.38	155.5
FAM111A	368.65	228.13	132.44	151.22	74.06	212.78	154.42	239.52	198.47	273.37	193.01	137.14	275.28	185.11	457.25	231.32	107.38	423.61	291.04	253.23	204.07	185.11	139.07	217.27	341.51	234.57	127.0	289.02	389.72	133.36	123.5	269.6	202.66	312.0	163.28	86.43	260.38	182.55	175.07	234.57	131.51	172.65	98.04	483.38	463.65	808.0	693.58	368.65	395.18	503.95	351.14	470.14	620.67	674.59	633.73	624.99	703.28	791.35	674.59	412.0	698.41	536.45	791.35	941.27	679.29	603.67	656.11	656.11	842.36	866.07	551.56	460.44	854.13	529.06	974.5	511.0
FAM124B	16.88	57.49	4.21	8.92	14.78	24.81	11.21	39.79	53.95	17.9	15.68	52.08	4.43	22.43	9.2	5.96	16.88	22.59	82.87	8.13	23.25	5.77	7.0	3.17	29.06	13.22	25.91	9.56	9.93	7.0	13.22	11.55	2.34	100.13	6.06	9.27	8.58	12.09	22.59	7.63	5.45	19.11	13.12	53.57	32.36	45.53	35.5	57.49	11.91	143.01	73.03	74.58	78.34	48.18	67.12	48.87	98.73	172.65	77.25	23.42	93.35	65.72	205.5	99.43	28.65	93.35	55.1	95.34	109.66	100.83	102.25	39.5	69.03	70.51	118.43	40.36
FAM26E	2.94	57.08	1.57	8.58	10.96	3.69	2.36	9.56	12.0	3.92	8.38	2.03	4.13	5.73	5.82	2.2	5.23	12.36	3.35	3.63	9.27	2.2	6.46	2.39	13.32	4.62	7.4	6.11	5.06	1.45	4.62	4.82	1.69	16.88	2.68	3.96	7.34	5.45	1.08	4.58	3.99	4.86	8.25	43.02	23.08	24.28	13.62	18.16	19.68	72.01	68.07	70.01	51.35	78.89	29.48	29.06	23.25	31.22	29.06	19.68	61.68	70.51	109.66	52.82	16.27	40.93	44.57	45.21	72.01	55.1	92.05	26.28	26.1	16.39	82.29	25.17
FAM3D	31.0	1.68	1.93	8.06	28.65	21.78	13.32	0.95	7.28	0.0	1.53	1.71	0.0	9.34	2.81	2.27	1.14	5.96	1.08	1.08	2.73	4.39	5.11	2.78	3.14	1.01	1.22	0.0	3.89	2.89	2.41	1.58	0.0	0.0	3.89	1.66	12.83	1.77	11.38	2.25	3.47	20.11	0.0	29.27	33.3	33.78	134.3	42.41	603.67	3443.31	39.79	320.8	438.59	50.98	96.01	281.09	921.88	114.36	30.56	1081.39	113.56	10.0	226.54	199.85	57.08	193.01	470.14	69.52	341.51	226.54	5041.77	87.65	73.54	35.5	299.25	94.67
FCRL6	49.21	64.34	19.53	22.75	27.05	49.91	63.89	21.32	7.51	6.89	23.08	14.45	21.32	6.21	28.04	12.45	19.53	80.01	4.7	33.54	2.51	4.74	3.2	2.25	20.86	16.03	9.63	8.45	8.51	3.08	12.36	9.2	1.27	74.58	37.85	42.11	12.45	26.67	20.26	12.36	11.55	22.1	14.89	92.05	20.56	68.55	7.11	64.34	38.95	332.14	21.78	33.78	229.72	100.83	97.36	2.36	132.44	171.45	37.59	44.57	30.56	59.55	115.16	72.01	28.65	46.18	108.14	267.73	128.79	124.37	143.01	80.57	127.89	16.03	92.7	84.63
FGFBP2	13.12	17.0	16.39	5.87	10.55	28.65	13.62	17.13	9.41	10.71	12.18	11.64	27.64	11.91	28.86	16.63	14.45	29.91	7.94	8.58	0.82	4.94	12.83	13.62	15.0	19.97	3.96	34.02	10.88	2.1	22.43	9.34	10.96	10.24	19.11	37.59	9.63	31.9	19.68	19.39	11.13	28.65	17.77	13.22	10.24	53.19	82.87	205.5	121.79	836.53	110.43	17.13	1551.09	139.07	607.87	0.0	67.12	228.13	110.43	90.14	88.26	45.53	954.43	31.67	5.06	115.16	819.3	1242.34	177.53	115.16	483.38	40.07	258.57	152.28	88.26	136.19
FILIP1L	205.5	587.13	20.11	78.89	69.03	19.53	52.08	136.19	111.21	51.71	97.36	30.34	61.25	147.06	58.71	21.78	59.13	153.34	40.07	36.01	96.68	99.43	92.05	211.31	170.25	127.89	67.12	119.26	94.01	45.21	187.71	63.89	107.38	229.72	199.85	373.81	101.54	212.78	67.59	43.94	124.37	93.35	82.87	1088.92	532.74	358.54	141.02	327.56	651.58	1685.71	1477.58	995.0	1159.07	1721.16	974.5	314.17	532.74	629.35	351.14	540.19	860.08	842.36	1844.76	713.11	175.07	1427.22	909.17	587.13	669.92	1709.26	723.08	351.14	483.38	483.38	1617.0	698.41
FKBP1C	15.8	49.21	70.51	31.22	14.03	36.01	29.91	7.11	12.18	47.17	72.52	18.16	7.46	19.68	27.64	1.85	7.06	20.11	14.03	36.01	11.13	13.72	10.71	31.9	15.8	3.0	19.11	40.93	34.51	4.31	10.88	3.23	25.72	12.83	0.92	18.29	29.27	5.32	2.66	7.11	17.0	2.76	24.11	62.12	36.79	37.32	22.1	36.01	38.95	212.78	42.11	149.12	64.34	73.03	12.74	145.02	73.54	35.0	11.47	63.89	72.01	86.43	36.53	121.79	20.11	60.39	7.94	44.25	60.82	8.19	77.25	28.65	18.84	34.02	110.43	12.0
FLI1	397.93	647.07	166.73	155.5	253.23	368.65	291.04	191.67	165.57	73.54	132.44	96.01	118.43	177.53	117.6	80.57	100.13	234.57	28.24	262.2	85.82	42.71	70.01	31.22	163.28	85.82	99.43	64.34	117.6	23.08	152.28	112.77	47.84	387.02	81.14	62.12	140.04	85.82	108.9	94.67	147.06	117.6	77.25	633.73	599.49	599.49	118.43	718.08	642.59	1709.26	429.54	872.1	995.0	521.76	674.59	540.19	1477.58	872.1	1127.35	457.25	748.61	703.28	1417.35	1127.35	158.79	728.11	1259.69	406.31	2384.37	651.58	1417.35	450.94	559.28	403.5	1447.15	713.11
FLT4	37.59	169.07	48.18	38.4	134.3	43.02	25.54	117.6	153.34	37.05	108.14	92.7	39.22	71.0	57.49	72.52	77.25	82.87	27.05	59.97	111.99	38.4	86.43	35.0	161.02	134.3	143.01	73.54	77.79	15.34	68.07	88.26	27.84	201.25	60.39	52.45	128.79	43.63	67.59	97.36	98.73	152.28	88.88	371.22	264.03	406.31	92.7	118.43	123.5	665.29	121.79	84.63	341.51	190.34	373.81	633.73	483.38	493.56	72.52	120.94	208.38	206.94	547.75	343.89	63.0	87.03	563.18	551.56	612.11	260.38	368.65	271.48	154.42	204.07	647.07	224.97
FOXF1	12.55	25.54	5.5	12.27	33.78	4.86	6.78	60.39	55.1	17.0	44.57	5.06	2.63	51.35	11.47	10.79	19.39	19.82	8.78	11.91	30.78	15.0	15.45	7.0	17.77	5.23	15.11	9.78	20.41	5.59	5.02	18.56	4.62	64.34	9.48	48.18	24.28	54.33	52.82	38.12	287.01	17.77	27.44	397.93	363.56	457.25	40.36	366.09	483.38	674.59	173.85	463.65	961.07	336.79	412.0	733.19	432.53	366.09	896.64	547.75	358.54	607.87	1268.46	1259.69	132.44	674.59	624.99	336.79	1304.15	703.28	2032.85	764.36	409.15	1175.27	819.3	642.59
FOXF2	3.35	11.38	0.4	5.02	5.54	0.39	0.36	15.11	11.38	6.01	12.18	0.68	2.73	9.2	3.29	1.22	5.59	2.61	2.84	1.71	12.83	1.46	3.06	6.46	8.38	0.0	3.17	1.39	43.32	5.15	334.46	3.14	1.17	29.7	1.16	0.0	1.5	4.06	6.89	0.0	0.53	1.03	0.69	224.97	228.13	197.09	36.79	171.45	153.34	679.29	248.0	231.32	258.57	165.57	753.83	167.9	738.29	182.55	500.46	54.33	209.84	426.57	409.15	341.51	75.64	165.57	205.5	543.96	684.02	356.05	693.58	177.53	242.88	708.18	429.54	242.88
FTL	1422501.74	1355129.16	932018.1	998912.34	1422501.74	1048575.0	992012.34	1123834.93	971597.0	2111737.85	1327240.99	1452391.55	1026995.62	805764.22	906531.99	1393227.06	1055868.42	851707.37	1514068.5	919186.72	985160.01	1100706.72	958220.73	912837.43	746611.43	589853.66	932018.1	1147449.11	894051.48	1493223.86	992012.34	925580.18	736332.6	881742.8	2294899.22	1179708.33	1327240.99	1147449.11	1374046.07	1055868.42	857631.47	1131651.83	2326934.84	492579.5	531605.79	998912.34	1273174.62	1204496.53	757033.75	296977.71	741454.2	834179.46	462789.59	1336472.68	389157.95	938500.81	945028.61	614902.29	971597.0	845824.19	875652.15	716197.51	531605.79	645473.24	1327240.99	778316.89	627822.72	741454.2	687022.54	535303.41	334117.42	945028.61	900270.11	1179708.33	762299.34	971597.0
GAB3	127.0	134.3	42.41	43.63	45.53	92.7	83.45	34.51	21.63	14.89	22.59	25.72	29.27	15.91	27.25	17.9	17.0	107.38	4.31	49.91	11.21	10.79	13.83	8.13	28.45	11.91	20.71	6.57	16.03	8.58	11.55	12.0	11.82	120.94	13.93	11.04	17.51	6.16	24.81	21.94	12.45	22.92	8.51	132.44	108.14	264.03	30.34	104.42	115.97	177.53	142.01	195.72	181.28	260.38	223.41	35.0	351.14	536.45	483.38	62.56	161.02	262.2	242.88	256.78	165.57	126.12	183.82	305.55	295.11	189.02	120.1	116.78	226.54	122.64	260.38	170.25
GALNT18	150.17	356.05	190.34	273.37	540.19	253.23	325.29	559.28	429.54	251.48	363.56	454.09	84.63	229.72	68.55	72.52	336.79	532.74	674.59	40.64	420.68	58.71	287.01	45.85	228.13	279.14	248.0	69.03	239.52	332.14	121.79	120.1	27.25	406.31	16.39	94.01	137.14	65.72	94.67	80.01	1583.71	94.01	26.1	403.5	591.22	669.92	406.31	450.94	688.78	2178.83	457.25	796.86	890.44	121.79	1769.57	872.1	1183.45	1295.13	1151.06	457.25	376.41	1540.37	1104.13	866.07	457.25	1794.29	753.83	559.28	2758.13	884.29	1044.52	2209.26	1088.92	2287.2	842.36	665.29
GBP1	376.41	480.04	165.57	194.36	98.73	346.29	104.42	629.35	540.19	583.07	665.29	371.22	647.07	500.46	1313.23	514.56	339.14	1685.71	409.15	995.0	511.0	323.03	316.37	134.3	607.87	223.41	346.29	1286.18	595.34	199.85	412.0	473.41	547.75	934.76	267.73	2816.11	426.57	780.44	607.87	518.15	698.41	536.45	514.56	1037.29	764.36	748.61	153.34	1487.87	708.18	1066.48	878.17	532.74	1923.14	1529.73	1001.93	674.59	1059.11	1191.69	476.71	1417.35	1617.0	915.51	1769.57	1175.27	915.51	583.07	981.29	1674.06	1059.11	1936.53	1769.57	532.74	283.05	1066.48	1757.34	1540.37
GCOM1	1.07	1.22	3.03	0.0	1.79	2.86	0.0	3.35	1.89	4.39	0.46	1.39	0.0	0.92	3.96	1.99	0.45	0.45	0.43	10.88	0.48	0.46	4.5	1.57	3.86	0.0	0.0	1.97	0.0	0.0	0.43	0.47	0.0	29.91	0.59	23.76	0.54	3.72	0.0	2.84	16.27	11.21	1.71	12.18	31.67	37.59	0.0	29.7	29.48	262.2	107.38	237.86	231.32	32.82	34.26	43.63	63.89	90.14	41.81	147.06	33.54	105.15	466.88	114.36	4.66	180.02	98.73	76.17	59.55	339.14	242.88	206.94	104.42	177.53	195.72	90.14
GIMAP6	144.01	518.15	89.51	127.89	249.73	341.51	151.22	130.6	158.79	30.56	138.1	73.03	82.87	96.68	125.24	57.49	90.14	251.48	26.67	190.34	53.19	37.05	61.68	16.88	123.5	83.45	96.01	79.45	42.71	13.52	75.64	85.22	27.25	389.72	44.89	52.08	279.14	32.82	47.84	134.3	81.14	301.33	158.79	414.87	397.93	423.61	111.99	947.83	723.08	1950.0	703.28	1977.24	1685.71	373.81	381.68	1322.37	595.34	2119.22	1397.83	476.71	536.45	1216.75	3515.68	1628.26	181.28	1388.16	1340.84	587.13	2976.74	1651.0	1594.73	902.89	813.63	224.97	511.0	579.04
GIMAP8	100.83	295.11	47.5	65.72	105.89	128.79	92.05	104.42	107.38	23.08	88.88	45.85	102.25	72.52	67.12	48.18	63.0	123.5	13.52	120.1	41.22	28.04	52.45	23.08	120.1	84.63	103.69	62.12	38.67	13.22	71.5	55.89	17.77	256.78	59.55	47.17	190.34	23.76	63.45	136.19	98.04	253.23	126.12	283.05	295.11	376.41	68.07	400.71	371.22	1088.92	223.41	470.14	1073.91	211.31	269.6	629.35	376.41	674.59	387.02	119.26	198.47	366.09	1896.65	909.17	111.21	708.18	878.17	406.31	2018.8	441.64	1030.12	237.86	389.72	351.14	301.33	287.01
GJA4	102.25	684.02	74.58	156.59	665.29	193.01	123.5	450.94	486.75	70.51	470.14	189.02	101.54	314.17	206.94	100.13	403.5	358.54	187.71	82.87	460.44	170.25	232.94	72.01	432.53	320.8	536.45	198.47	239.52	71.0	180.02	316.37	112.77	813.63	64.34	170.25	241.19	99.43	178.77	137.14	571.05	255.0	163.28	775.05	595.34	500.46	301.33	432.53	460.44	423.61	555.41	665.29	384.34	769.69	753.83	607.87	591.22	830.75	2209.26	137.14	688.78	1151.06	417.77	603.67	743.43	327.56	223.41	305.55	1073.91	476.71	830.75	289.02	738.29	8134.41	633.73	647.07
GJC2	3.72	53.95	3.89	6.36	5.54	3.72	2.39	23.42	18.56	9.63	6.46	5.23	5.5	4.62	4.28	5.19	8.45	6.06	1.23	1.93	8.0	4.39	12.64	142.01	13.22	3.11	12.74	8.32	6.16	4.62	3.35	7.51	2.84	28.24	3.53	5.92	4.58	12.27	2.23	1.79	14.35	5.54	6.41	45.53	20.26	50.98	12.83	36.01	27.64	155.5	50.63	90.14	121.79	53.19	128.79	125.24	81.71	129.69	40.93	49.91	61.68	59.13	116.78	79.45	20.41	85.22	105.89	136.19	125.24	80.01	258.57	14.35	43.63	17.0	151.22	34.75
GLIPR2	647.07	1208.34	199.85	387.02	403.5	397.93	389.72	361.04	197.09	89.51	275.28	102.97	246.28	60.82	173.85	54.72	97.36	397.93	38.67	234.57	146.03	55.49	71.0	41.52	133.36	58.3	148.09	37.85	105.89	53.95	53.19	74.06	32.59	909.17	87.65	65.26	90.77	32.82	89.51	57.49	112.77	90.77	45.21	1081.39	1844.76	2758.13	112.77	2061.24	6426.31	7485.11	4450.27	2384.37	8247.98	2816.11	6164.49	775.05	2287.2	4937.99	8901.53	2609.3	3901.01	3212.66	3325.99	5954.47	2976.74	3212.66	2664.15	6887.62	3395.89	2303.12	3515.68	2796.65	1963.57	1417.35	8778.97	2178.83
GPR153	57.08	74.58	43.94	115.97	59.97	144.01	92.7	57.08	107.38	68.55	28.65	123.5	211.31	18.56	57.49	30.78	15.22	35.0	23.76	5.5	110.43	9.56	44.25	40.93	60.39	21.32	23.25	43.63	29.06	37.05	18.84	29.91	19.11	106.63	7.22	17.38	120.94	29.48	18.97	36.53	35.76	50.63	28.24	265.87	111.21	134.3	23.25	142.01	218.79	693.58	149.12	98.73	211.31	329.84	356.05	77.79	248.0	237.86	178.77	76.71	403.5	164.42	241.19	395.18	169.07	139.07	166.73	579.04	341.51	100.13	269.6	149.12	323.03	253.23	441.64	157.68
GRIK4	1.83	6.21	0.39	4.5	2.56	1.83	4.35	2.34	2.68	1.28	0.53	0.57	8.19	17.38	0.56	7.0	3.69	4.06	0.0	0.49	5.41	15.56	4.54	12.83	2.51	3.0	1.71	0.52	7.88	0.0	1.89	0.0	1.6	8.32	0.04	0.06	2.14	0.0	0.06	0.77	1.28	3.56	1.58	13.72	9.2	11.91	3.56	15.8	8.71	51.35	36.01	20.11	49.91	6.89	42.71	33.06	11.82	38.12	19.39	19.11	22.75	63.45	68.55	34.75	5.11	21.94	36.27	108.9	43.32	42.41	81.14	9.13	15.11	16.75	76.71	18.03
GUCY1A3	155.5	346.29	136.19	127.89	53.57	229.72	92.7	81.71	88.26	14.45	87.65	15.34	99.43	38.95	15.34	35.5	29.48	29.27	10.16	23.93	78.89	20.86	38.12	8.58	105.15	59.97	44.89	33.78	23.76	9.63	14.89	33.06	49.21	197.09	23.42	33.78	29.06	24.99	27.44	28.04	60.82	34.02	96.68	521.76	366.09	262.2	134.3	269.6	134.3	693.58	435.55	518.15	473.41	607.87	660.68	395.18	813.63	466.88	166.73	384.34	669.92	547.75	896.64	571.05	172.65	384.34	878.17	679.29	896.64	733.19	753.83	323.03	287.01	173.85	1268.46	406.31
