	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.K4.A54R.11A.11R.A26T.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.HD.7832.01A.11R.2132.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	GTEX.11WQK.2926.SM.5EQKT
POC1A	307.69	21.78	406.31	457.25	454.09	373.81	336.79	82.29	182.55	104.42	260.38	143.01	143.01	68.07	217.27	119.26	108.14	62.12	194.36	64.8	159.9	201.25	108.14	166.73	264.03	131.51	165.57	169.07	169.07	146.03	111.21	299.25	173.85	110.43	80.57	102.25	102.97
PRC1	1417.35	105.15	1242.34	2335.28	1923.14	2875.3	5751.61	591.22	612.11	728.11	2287.2	878.17	2384.37	603.67	1685.71	633.73	753.83	265.87	988.12	400.71	802.41	1167.14	660.68	961.07	2075.59	591.22	830.75	1030.12	928.3	1639.59	603.67	1388.16	688.78	417.77	27.25	31.67	395.18
PRIM1	633.73	30.56	559.28	571.05	764.36	529.06	414.87	79.45	109.66	226.54	305.55	165.57	237.86	116.78	218.79	141.02	244.57	69.52	239.52	103.69	159.9	237.86	71.5	206.94	579.04	119.26	149.12	244.57	299.25	149.12	85.82	191.67	167.9	84.04	45.85	61.25	45.53
PRR11	802.41	13.32	595.34	341.51	420.68	356.05	438.59	29.48	185.11	211.31	536.45	220.32	638.15	221.86	796.86	147.06	295.11	36.53	202.66	64.8	151.22	208.38	176.29	325.29	620.67	215.77	229.72	312.0	432.53	603.67	129.69	334.46	132.44	51.71	1.48	0.89	34.26
RACGAP1	1104.13	77.79	1417.35	624.99	1277.29	802.41	954.43	307.69	444.72	642.59	1250.98	616.37	961.07	400.71	1066.48	660.68	633.73	159.9	616.37	165.57	718.08	743.43	423.61	612.11	1806.78	417.77	444.72	884.29	796.86	1037.29	289.02	1015.93	536.45	379.04	23.42	30.56	291.04
RAD51	363.56	18.84	514.56	497.0	647.07	567.1	620.67	159.9	164.42	129.69	567.1	176.29	466.88	84.04	536.45	152.28	224.97	71.0	255.0	75.64	124.37	273.37	241.19	339.14	703.28	104.42	190.34	209.84	175.07	285.03	142.01	318.57	228.13	67.12	9.78	3.79	23.42
RAD51AP1	543.96	6.36	358.54	420.68	432.53	327.56	341.51	211.31	82.87	152.28	403.5	93.35	80.57	91.41	269.6	137.14	163.28	34.26	120.1	44.57	87.65	175.07	120.94	232.94	420.68	60.82	103.69	212.78	177.53	141.02	30.12	215.77	95.34	60.39	2.14	9.78	17.9
RAD54L	381.68	23.25	236.21	583.07	457.25	551.56	353.59	40.64	67.12	161.02	279.14	96.68	211.31	78.89	229.72	81.71	106.63	68.07	152.28	66.65	64.8	237.86	82.29	172.65	271.48	68.07	144.01	171.45	147.06	122.64	63.45	138.1	109.66	46.18	5.54	3.96	43.02
RFC3	384.34	57.49	353.59	587.13	241.19	423.61	241.19	128.79	98.04	150.17	220.32	115.16	166.73	76.17	223.41	131.51	122.64	55.89	295.11	94.67	122.64	246.28	102.97	262.2	616.37	101.54	204.07	231.32	166.73	194.36	64.34	279.14	142.01	119.26	29.48	55.49	31.45
RFC5	836.53	157.68	389.72	934.76	764.36	791.35	579.04	195.72	260.38	366.09	295.11	265.87	356.05	208.38	346.29	476.71	343.89	117.6	395.18	162.14	293.07	441.64	258.57	309.83	693.58	186.4	297.17	353.59	507.46	341.51	206.94	371.22	231.32	194.36	131.51	92.05	50.27
RRM2	3212.66	16.03	1437.15	3060.45	1617.0	4010.71	2573.36	1143.1	825.0	612.11	2739.08	679.29	1781.89	1208.34	2400.97	902.89	921.88	157.68	860.08	186.4	884.29	1104.13	547.75	1088.92	5441.3	540.19	902.89	1950.0	1857.6	1662.49	551.56	1250.98	728.11	514.56	13.72	7.57	177.53
SASS6	150.17	6.36	44.25	190.34	136.19	94.01	121.79	29.06	40.36	63.89	119.26	47.5	47.5	20.71	91.41	35.5	66.65	18.97	73.54	29.06	31.67	49.91	45.85	82.87	149.12	65.26	63.0	67.12	74.06	58.71	24.46	64.34	42.41	40.93	7.11	5.87	32.59
SGOL1	182.55	2.46	97.36	175.07	148.09	123.5	180.02	27.64	36.01	53.57	149.12	56.68	91.41	53.19	75.64	61.25	29.7	21.32	55.89	20.86	39.5	80.57	20.86	50.63	106.63	40.07	76.17	90.14	63.0	48.87	27.84	104.42	49.91	35.5	2.89	3.56	9.2
SGOL2	147.06	7.4	147.06	118.43	170.25	166.73	164.42	57.89	33.06	71.5	173.85	80.01	149.12	42.41	127.0	48.18	58.71	18.29	53.95	32.82	55.49	98.04	40.36	75.64	204.07	25.91	69.52	102.25	95.34	108.14	27.44	90.14	50.63	32.13	0.0	2.46	20.26
SHCBP1	205.5	6.67	102.97	232.94	215.77	463.65	656.11	108.14	106.63	142.01	420.68	106.63	255.0	146.03	346.29	98.04	218.79	30.12	102.25	58.3	102.97	204.07	60.82	223.41	454.09	91.41	119.26	193.01	197.09	205.5	77.25	167.9	96.01	54.72	0.57	0.99	12.74
SKA1	175.07	4.21	185.11	221.86	72.01	214.27	264.03	31.67	65.26	79.45	212.78	100.83	295.11	48.18	146.03	77.25	76.17	22.59	126.12	23.08	69.03	77.25	36.27	111.21	412.0	28.24	100.13	106.63	82.87	72.52	36.27	178.77	78.34	35.76	0.55	0.49	12.27
SKA3	229.72	15.56	96.68	178.77	121.79	153.34	106.63	83.45	85.82	113.56	224.97	115.16	253.23	57.08	249.73	82.87	65.26	24.99	202.66	38.12	73.03	159.9	55.1	176.29	329.84	67.59	120.94	185.11	96.01	187.71	62.56	182.55	95.34	51.71	0.97	1.31	19.68
SKP2	665.29	115.16	466.88	389.72	316.37	543.96	660.68	325.29	289.02	172.65	529.06	327.56	353.59	104.42	1111.82	314.17	358.54	120.94	638.15	91.41	314.17	361.04	148.09	260.38	825.0	242.88	289.02	373.81	314.17	414.87	229.72	353.59	244.57	329.84	87.65	57.08	53.95
SMC2	473.41	52.45	373.81	343.89	426.57	463.65	397.93	85.82	165.57	220.32	406.31	171.45	211.31	176.29	403.5	226.54	231.32	66.65	220.32	65.26	163.28	234.57	102.25	264.03	1127.35	125.24	149.12	242.88	281.09	327.56	117.6	236.21	115.97	105.89	16.15	15.91	21.47
SMC6	432.53	75.11	441.64	579.04	368.65	318.57	332.14	162.14	176.29	223.41	529.06	285.03	289.02	148.09	332.14	142.01	199.85	131.51	281.09	195.72	185.11	231.32	281.09	223.41	346.29	212.78	218.79	249.73	291.04	231.32	145.02	269.6	145.02	198.47	106.63	94.01	104.42
SNRPA	2739.08	738.29	1286.18	1628.26	1832.01	2240.11	1662.49	769.69	1088.92	1572.76	1923.14	921.88	1662.49	1135.2	1529.73	1199.98	1023.0	616.37	1313.23	1594.73	1104.13	1477.58	1277.29	2047.0	1883.54	1378.57	1407.55	1350.18	1104.13	1721.16	1088.92	1819.35	1397.83	1225.22	571.05	414.87	954.43
STIL	248.0	9.48	130.6	237.86	183.82	98.73	117.6	47.17	49.21	96.01	190.34	89.51	103.69	50.98	223.41	76.17	93.35	44.57	57.49	27.05	68.07	157.68	49.21	105.89	318.57	46.18	80.01	130.6	94.67	129.69	32.36	152.28	64.8	32.13	2.76	2.51	26.47
SUV39H1	255.0	61.68	86.43	341.51	305.55	232.94	348.71	24.81	89.51	141.02	249.73	47.84	249.73	105.15	150.17	117.6	58.71	35.25	147.06	83.45	114.36	182.55	86.43	111.99	320.8	102.97	125.24	181.28	105.89	190.34	52.82	170.25	127.0	106.63	78.89	74.58	15.91
TACC3	1923.14	76.71	1447.15	1467.37	1304.15	1313.23	1151.06	138.1	332.14	476.71	981.29	435.55	1605.83	301.33	1135.2	435.55	341.51	211.31	591.22	327.56	403.5	759.08	525.39	1268.46	1583.71	381.68	507.46	860.08	525.39	567.1	264.03	1030.12	500.46	242.88	28.65	40.07	76.17
TCOF1	2018.8	389.72	281.09	1008.9	866.07	791.35	954.43	112.77	500.46	525.39	1059.11	536.45	1037.29	412.0	830.75	432.53	251.48	236.21	791.35	521.76	356.05	728.11	301.33	769.69	2796.65	583.07	547.75	728.11	603.67	1044.52	397.93	872.1	532.74	316.37	142.01	141.02	423.61
TICRR	115.97	13.62	30.34	100.83	180.02	111.99	435.55	11.04	27.84	63.89	111.99	60.39	105.89	28.24	127.0	119.26	30.34	18.97	42.41	22.59	52.45	59.97	22.43	47.5	173.85	21.63	56.28	81.14	78.89	147.06	48.52	242.88	40.93	13.12	0.0	0.0	36.79
TIMELESS	703.28	95.34	579.04	1059.11	941.27	651.58	808.0	115.97	223.41	417.77	651.58	283.05	334.46	169.07	466.88	325.29	251.48	114.36	323.03	142.01	246.28	361.04	202.66	450.94	780.44	214.27	275.28	417.77	429.54	316.37	148.09	348.71	256.78	183.82	129.69	110.43	52.08
TMEM194A	242.88	86.43	158.79	171.45	363.56	175.07	279.14	51.71	49.56	135.24	201.25	43.63	178.77	101.54	154.42	77.25	143.01	38.12	114.36	55.1	69.52	134.3	63.89	87.03	269.6	37.32	81.14	121.79	166.73	157.68	43.63	103.69	50.27	31.67	39.79	32.36	37.32
TMPO	1519.15	320.8	1159.07	1313.23	967.76	1037.29	1088.92	195.72	406.31	764.36	1295.13	486.75	669.92	414.87	703.28	961.07	551.56	223.41	693.58	301.33	651.58	688.78	301.33	540.19	1340.84	403.5	587.13	848.22	764.36	764.36	291.04	633.73	463.65	414.87	301.33	334.46	332.14
TRAIP	170.25	18.97	101.54	251.48	295.11	395.18	258.57	29.91	36.79	78.34	204.07	73.54	155.5	26.67	105.15	74.58	49.91	46.18	75.11	41.52	85.22	80.01	38.4	108.9	141.02	63.45	73.03	83.45	106.63	67.12	23.76	130.6	91.41	42.71	5.36	13.32	9.78
TRIP13	444.72	37.59	395.18	435.55	336.79	503.95	947.83	116.78	175.07	159.9	629.35	133.36	371.22	143.01	785.88	153.34	316.37	57.08	236.21	54.33	165.57	314.17	178.77	305.55	571.05	138.1	264.03	253.23	251.48	241.19	91.41	334.46	202.66	122.64	9.63	3.72	28.65
TTK	503.95	2.46	208.38	253.23	334.46	307.69	361.04	89.51	88.88	195.72	444.72	111.99	271.48	84.63	293.07	104.42	234.57	15.56	154.42	39.22	86.43	223.41	107.38	224.97	417.77	59.97	138.1	163.28	191.67	139.07	53.95	271.48	115.16	69.03	0.6	0.55	48.18
USP1	909.17	204.07	356.05	947.83	551.56	656.11	571.05	348.71	258.57	368.65	819.3	327.56	334.46	201.25	518.15	379.04	406.31	180.02	412.0	190.34	334.46	583.07	275.28	507.46	723.08	323.03	318.57	435.55	429.54	332.14	218.79	423.61	358.54	351.14	120.1	118.43	334.46
WHSC1	921.88	202.66	551.56	808.0	802.41	490.14	669.92	89.51	303.44	264.03	665.29	303.44	507.46	241.19	1015.93	260.38	153.34	120.94	299.25	265.87	312.0	460.44	267.73	738.29	860.08	295.11	281.09	486.75	307.69	366.09	232.94	536.45	218.79	166.73	68.55	74.06	723.08
XRCC2	98.04	1.41	55.89	58.71	41.22	36.27	120.94	6.21	17.25	35.25	94.67	16.88	71.5	11.55	47.5	19.97	33.54	7.17	42.41	12.74	19.97	24.63	12.09	39.5	89.51	17.9	41.22	23.08	21.78	24.46	9.93	31.0	19.39	13.72	0.0	0.64	3.53
ZWILCH	264.03	78.34	297.17	423.61	301.33	293.07	490.14	171.45	186.4	217.27	579.04	201.25	273.37	106.63	571.05	128.79	204.07	74.06	226.54	102.97	223.41	173.85	177.53	218.79	356.05	190.34	193.01	255.0	215.77	248.0	96.01	281.09	183.82	166.73	28.65	33.3	46.18
ZWINT	2351.53	40.64	1199.98	2193.99	1313.23	1277.29	1674.06	329.84	460.44	559.28	1427.22	473.41	915.51	244.57	1044.52	547.75	571.05	191.67	429.54	251.48	503.95	679.29	447.82	866.07	2178.83	346.29	591.22	693.58	1066.48	674.59	406.31	872.1	559.28	356.05	31.9	34.51	43.94
