	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.DK.A3IT.01A.31R.A20F.07	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.2F.A9KQ.01A.11R.A38B.07	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.DK.A6B2.01A.11R.A30C.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.XF.A8HD.01A.11R.A36F.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.FD.A6TK.01A.42R.A33J.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.FD.A6TC.01A.21R.A33J.07	TCGA.GC.A3BM.01A.11R.A22U.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.FD.A62O.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.BT.A20T.01A.11R.A14Y.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.E7.A7DU.01A.11R.A32O.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13FTW.1126.SM.5J2NV	GTEX.YEC4.0826.SM.5P9FV	GTEX.ZF29.2026.SM.4WWB7	GTEX.1497J.0726.SM.5Q5D1	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.OOBK.0526.SM.2HMJJ	GTEX.Y5LM.0726.SM.4VBRP	GTEX.145LT.0326.SM.5LUAD	GTEX.S4Z8.0426.SM.3K2AH	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZT9X.0326.SM.51MTE	GTEX.SNOS.0426.SM.32PMH	GTEX.139YR.0926.SM.5LZYB	GTEX.QDVJ.0926.SM.2I5FU	GTEX.R55G.0826.SM.2TC5U	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.QESD.0626.SM.2I5G4	GTEX.132QS.0726.SM.5IJE9	GTEX.ZTPG.0926.SM.5O99H	GTEX.PWOO.0726.SM.2I3EB	GTEX.11TT1.1626.SM.5EQL7	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1211K.0826.SM.5FQUP	GTEX.RUSQ.0626.SM.2TF5V	GTEX.11LCK.0426.SM.5A5M8	GTEX.W5X1.0426.SM.3GILB	GTEX.1399T.0126.SM.5KM15	GTEX.12584.0826.SM.5FQSK	GTEX.ZVT3.0726.SM.5GICN	GTEX.WHSB.1626.SM.3LK6J	GTEX.WYJK.1626.SM.3NM9J	GTEX.RU72.0126.SM.2TF6Z	GTEX.12ZZY.0826.SM.5EQMT	GTEX.117YW.0126.SM.5EGGN	GTEX.11DXZ.0926.SM.5N9CG	GTEX.Y8E4.0126.SM.4VBQ2	GTEX.13O1R.0826.SM.5J2MB	GTEX.11NUK.1026.SM.5HL5J	GTEX.13112.0326.SM.5P9IW	GTEX.UJMC.0326.SM.3GAE2
LYSMD1	108.9	169.07	126.12	148.09	275.28	92.7	248.0	144.01	277.2	120.1	191.67	71.5	113.56	66.18	105.89	84.63	190.34	150.17	249.73	149.12	132.44	191.67	81.14	178.77	211.31	189.02	167.9	123.5	248.0	258.57	101.54	68.07	102.97	77.25	51.35	77.79	43.63	76.17	65.26	115.16	116.78	0.0	0.15	82.29	78.34	107.38	163.28	33.06	142.01	111.99	103.69	76.17	135.24	54.72	84.04	66.65	85.82	52.08	128.79	95.34	105.15	87.65	139.07	108.14	228.13	139.07	218.79	136.19	209.84	211.31	175.07	195.72	127.89	258.57	242.88	102.97	169.07	223.41	187.71
MAP3K7	447.82	255.0	244.57	175.07	297.17	248.0	215.77	318.57	301.33	141.02	204.07	229.72	283.05	387.02	366.09	251.48	199.85	518.15	361.04	287.01	246.28	400.71	265.87	279.14	287.01	289.02	334.46	289.02	403.5	400.71	64.34	96.01	155.5	100.13	143.01	141.02	105.15	152.28	132.44	134.3	57.49	209.84	94.67	202.66	307.69	251.48	202.66	262.2	262.2	173.85	223.41	202.66	205.5	267.73	307.69	285.03	193.01	234.57	130.6	246.28	277.2	231.32	285.03	297.17	547.75	363.56	642.59	414.87	392.44	438.59	423.61	429.54	406.31	406.31	460.44	486.75	403.5	409.15	497.0
MBTD1	198.47	102.25	42.71	169.07	241.19	186.4	514.56	214.27	190.34	120.94	111.99	139.07	171.45	56.28	102.25	104.42	175.07	218.79	153.34	277.2	265.87	150.17	43.63	190.34	164.42	228.13	109.66	150.17	236.21	277.2	59.13	71.0	82.87	81.14	39.79	52.08	66.65	52.82	80.01	41.22	74.06	83.45	84.04	54.72	120.1	82.87	92.05	85.22	69.52	83.45	55.1	63.0	76.71	84.63	85.82	71.5	65.72	76.17	100.83	69.52	65.72	92.05	86.43	94.01	334.46	279.14	454.09	346.29	202.66	231.32	293.07	275.28	332.14	283.05	305.55	128.79	211.31	248.0	258.57
MED23	348.71	166.73	84.04	166.73	237.86	432.53	277.2	237.86	206.94	93.35	116.78	190.34	242.88	158.79	271.48	175.07	128.79	403.5	348.71	215.77	264.03	248.0	115.16	189.02	271.48	256.78	242.88	182.55	361.04	343.89	74.06	75.11	98.73	98.73	35.5	68.07	80.57	96.68	59.13	117.6	32.13	0.0	0.61	127.89	212.78	154.42	209.84	153.34	162.14	180.02	189.02	166.73	178.77	256.78	223.41	198.47	158.79	162.14	195.72	149.12	201.25	212.78	206.94	202.66	647.07	384.34	728.11	540.19	387.02	497.0	500.46	490.14	460.44	500.46	503.95	356.05	473.41	532.74	476.71
MLLT6	1909.85	450.94	441.64	297.17	1167.14	441.64	1519.15	1662.49	395.18	660.68	743.43	713.11	693.58	656.11	759.08	563.18	665.29	1183.45	753.83	928.3	1350.18	842.36	624.99	796.86	543.96	460.44	583.07	688.78	1662.49	1487.87	96.68	94.01	118.43	212.78	61.25	38.95	162.14	104.42	198.47	161.02	55.1	454.09	579.04	647.07	409.15	830.75	432.53	941.27	368.65	961.07	769.69	406.31	507.46	902.89	629.35	1119.56	551.56	921.88	1066.48	688.78	327.56	511.0	1208.34	665.29	1991.0	1977.24	2573.36	2193.99	2303.12	1896.65	2976.74	1844.76	2520.38	2520.38	2976.74	1806.78	2133.97	2895.31	1617.0
MSANTD2	376.41	109.66	53.57	166.73	212.78	127.89	169.07	220.32	74.58	34.75	92.05	130.6	137.14	84.63	156.59	95.34	81.14	89.51	103.69	181.28	93.35	248.0	49.91	193.01	97.36	105.89	78.34	105.89	312.0	301.33	12.27	31.45	25.17	17.77	11.21	19.11	19.39	22.75	10.39	34.02	14.35	0.0	0.61	81.71	100.13	80.01	122.64	54.72	101.54	90.14	71.5	64.34	67.12	39.5	74.58	106.63	70.51	62.12	96.68	77.25	99.43	92.7	158.79	106.63	521.76	297.17	476.71	417.77	271.48	361.04	363.56	351.14	307.69	351.14	529.06	153.34	373.81	441.64	395.18
MTF2	450.94	226.54	241.19	332.14	444.72	438.59	281.09	229.72	237.86	178.77	215.77	214.27	329.84	185.11	249.73	237.86	309.83	351.14	279.14	277.2	312.0	297.17	135.24	384.34	258.57	197.09	202.66	297.17	265.87	289.02	29.7	78.34	60.39	91.41	69.03	57.49	61.25	85.82	78.89	53.19	34.02	0.0	0.04	120.1	154.42	191.67	189.02	177.53	169.07	139.07	180.02	147.06	171.45	172.65	208.38	172.65	165.57	181.28	157.68	153.34	199.85	137.14	191.67	214.27	651.58	348.71	647.07	503.95	260.38	356.05	371.22	426.57	470.14	368.65	351.14	223.41	376.41	414.87	384.34
NAA40	397.93	271.48	139.07	273.37	435.55	215.77	483.38	438.59	329.84	191.67	260.38	186.4	231.32	226.54	214.27	246.28	167.9	307.69	267.73	575.03	180.02	242.88	224.97	271.48	201.25	156.59	271.48	244.57	476.71	525.39	33.78	38.67	67.59	43.63	52.08	59.97	64.8	74.58	30.34	116.78	13.22	0.0	0.67	162.14	136.19	82.87	108.9	170.25	198.47	113.56	125.24	152.28	157.68	175.07	52.82	134.3	97.36	115.97	384.34	87.03	118.43	87.65	158.79	153.34	624.99	559.28	571.05	679.29	486.75	463.65	476.71	457.25	703.28	688.78	587.13	476.71	567.1	703.28	493.56
NAPB	114.36	68.55	61.25	98.73	154.42	104.42	105.15	186.4	142.01	103.69	98.73	64.34	96.68	88.88	106.63	94.67	127.0	177.53	109.66	172.65	209.84	150.17	57.49	163.28	84.04	102.97	69.52	133.36	175.07	229.72	37.32	52.08	42.41	39.79	23.93	22.92	25.91	48.87	33.54	52.08	37.85	0.0	0.54	53.95	68.07	102.25	105.15	67.59	94.01	89.51	98.73	63.0	61.68	124.37	72.01	52.45	73.54	81.14	59.55	91.41	68.55	78.89	119.26	122.64	289.02	260.38	441.64	264.03	186.4	255.0	267.73	285.03	295.11	209.84	275.28	150.17	228.13	260.38	231.32
PDE7A	248.0	361.04	503.95	665.29	351.14	409.15	395.18	275.28	470.14	220.32	273.37	144.01	447.82	307.69	96.01	312.0	693.58	325.29	224.97	239.52	454.09	153.34	301.33	299.25	244.57	346.29	521.76	140.04	1088.92	995.0	31.0	31.45	50.27	42.41	32.82	19.11	26.86	15.8	35.25	47.17	53.95	0.0	0.69	151.22	251.48	126.12	191.67	124.37	181.28	195.72	293.07	115.97	169.07	231.32	191.67	97.36	180.02	214.27	182.55	167.9	136.19	241.19	161.02	277.2	1159.07	603.67	1295.13	884.29	669.92	896.64	1008.9	896.64	848.22	642.59	1340.84	334.46	860.08	842.36	1096.5
PEX1	231.32	277.2	132.44	271.48	221.86	226.54	334.46	201.25	158.79	209.84	217.27	164.42	236.21	165.57	205.5	194.36	297.17	473.41	181.28	318.57	329.84	242.88	99.43	209.84	214.27	279.14	193.01	262.2	466.88	466.88	116.78	172.65	218.79	169.07	99.43	176.29	153.34	170.25	180.02	85.22	130.6	0.0	0.59	145.02	218.79	131.51	198.47	106.63	92.05	139.07	88.88	120.94	162.14	260.38	175.07	121.79	159.9	126.12	111.99	134.3	186.4	173.85	137.14	211.31	638.15	358.54	612.11	420.68	373.81	432.53	318.57	420.68	503.95	480.04	567.1	371.22	400.71	438.59	511.0
PGBD2	228.13	80.57	71.0	197.09	172.65	86.43	111.99	162.14	353.59	63.0	165.57	137.14	185.11	64.8	134.3	120.94	206.94	141.02	118.43	98.04	151.22	208.38	58.3	141.02	169.07	208.38	120.1	152.28	199.85	198.47	34.02	37.32	56.28	47.17	13.93	46.84	25.54	37.05	20.71	86.43	24.28	0.0	0.0	60.39	79.45	75.64	105.89	29.27	139.07	92.7	82.87	78.89	84.04	23.08	66.65	84.04	75.64	57.08	98.73	85.22	94.01	107.38	84.04	96.01	139.07	136.19	146.03	198.47	209.84	183.82	158.79	175.07	170.25	189.02	231.32	87.03	169.07	226.54	185.11
PI4KB	1963.57	703.28	674.59	1030.12	2664.15	688.78	1561.89	1151.06	1617.0	902.89	934.76	915.51	1819.35	642.59	1096.5	825.0	1096.5	1044.52	1111.82	1651.0	708.18	1304.15	1096.5	1295.13	1304.15	981.29	813.63	1030.12	967.76	1044.52	339.14	412.0	348.71	376.41	343.89	231.32	395.18	607.87	571.05	934.76	177.53	0.0	1.03	1295.13	909.17	718.08	660.68	684.02	902.89	928.3	665.29	981.29	753.83	934.76	775.05	1487.87	1175.27	1044.52	1183.45	728.11	934.76	947.83	928.3	791.35	1794.29	1733.13	2384.37	2555.58	2090.03	1583.71	2075.59	1794.29	2303.12	2271.4	2209.26	1551.09	2119.22	2075.59	1794.29
POLG2	187.71	191.67	180.02	197.09	157.68	260.38	476.71	325.29	185.11	138.1	217.27	119.26	120.1	139.07	231.32	143.01	215.77	441.64	218.79	373.81	376.41	237.86	133.36	190.34	206.94	224.97	120.94	223.41	305.55	234.57	65.26	73.03	77.25	124.37	45.53	66.18	47.5	87.65	48.87	108.9	34.51	0.0	0.85	87.65	79.45	102.25	98.04	59.55	175.07	102.25	70.51	101.54	88.26	100.13	82.29	65.26	88.26	89.51	159.9	99.43	87.03	106.63	111.21	104.42	363.56	438.59	536.45	417.77	273.37	373.81	490.14	291.04	412.0	366.09	642.59	162.14	343.89	358.54	293.07
POLR3E	769.69	647.07	587.13	842.36	753.83	579.04	884.29	703.28	579.04	397.93	395.18	599.49	607.87	674.59	684.02	483.38	511.0	941.27	559.28	866.07	480.04	713.11	281.09	775.05	500.46	571.05	518.15	660.68	796.86	759.08	373.81	466.88	343.89	316.37	376.41	332.14	363.56	642.59	409.15	457.25	281.09	0.0	0.83	791.35	435.55	559.28	414.87	753.83	320.8	693.58	532.74	525.39	480.04	1023.0	599.49	830.75	567.1	603.67	351.14	647.07	480.04	555.41	629.35	500.46	1127.35	884.29	1037.29	1073.91	896.64	967.76	909.17	947.83	1175.27	961.07	764.36	995.0	854.13	878.17	1216.75
PPIL4	231.32	373.81	353.59	518.15	320.8	371.22	299.25	336.79	346.29	159.9	211.31	283.05	283.05	295.11	346.29	334.46	281.09	587.13	483.38	305.55	366.09	301.33	264.03	314.17	417.77	417.77	470.14	400.71	409.15	476.71	43.32	265.87	228.13	202.66	264.03	195.72	201.25	236.21	194.36	148.09	211.31	0.0	0.49	253.23	447.82	420.68	441.64	366.09	470.14	327.56	536.45	332.14	334.46	348.71	514.56	503.95	503.95	525.39	241.19	414.87	447.82	414.87	457.25	571.05	909.17	915.51	802.41	915.51	669.92	981.29	759.08	941.27	836.53	679.29	890.44	633.73	872.1	769.69	941.27
PPP1R10	1023.0	836.53	447.82	1127.35	796.86	1268.46	688.78	738.29	802.41	540.19	518.15	1167.14	947.83	660.68	848.22	595.34	854.13	872.1	693.58	836.53	813.63	1242.34	389.72	1104.13	961.07	575.03	435.55	1216.75	1250.98	1457.23	583.07	633.73	348.71	403.5	237.86	414.87	551.56	476.71	429.54	698.41	202.66	0.0	0.0	638.15	412.0	473.41	583.07	567.1	1008.9	525.39	320.8	559.28	521.76	334.46	591.22	753.83	473.41	420.68	1051.79	480.04	842.36	647.07	521.76	540.19	1023.0	1183.45	902.89	1662.49	1697.45	1216.75	1674.06	1572.76	1295.13	1225.22	1088.92	1044.52	1295.13	2591.27	1487.87
PRPF40B	1143.1	363.56	198.47	476.71	334.46	334.46	329.84	656.11	351.14	223.41	285.03	571.05	486.75	165.57	836.53	353.59	713.11	466.88	444.72	514.56	384.34	567.1	198.47	441.64	384.34	447.82	412.0	713.11	884.29	743.43	93.35	74.58	96.01	59.97	20.26	52.08	75.11	91.41	50.63	111.99	38.4	0.0	0.84	198.47	133.36	248.0	167.9	105.89	124.37	267.73	128.79	97.36	191.67	149.12	148.09	82.29	173.85	119.26	358.54	145.02	100.83	149.12	190.34	142.01	860.08	890.44	1167.14	1467.37	974.5	872.1	738.29	674.59	1081.39	1208.34	1225.22	825.0	1037.29	860.08	866.07
PRUNE	476.71	511.0	299.25	379.04	688.78	387.02	674.59	497.0	1340.84	283.05	507.46	287.01	633.73	195.72	381.68	406.31	647.07	579.04	674.59	392.44	525.39	599.49	281.09	511.0	813.63	403.5	466.88	463.65	674.59	591.22	255.0	92.7	162.14	246.28	209.84	309.83	177.53	209.84	211.31	142.01	181.28	0.0	0.42	371.22	426.57	420.68	403.5	195.72	253.23	450.94	334.46	387.02	397.93	325.29	221.86	316.37	409.15	457.25	341.51	536.45	339.14	265.87	595.34	447.82	1051.79	1037.29	981.29	1295.13	1104.13	1015.93	896.64	1304.15	1081.39	1397.83	1073.91	346.29	1073.91	1175.27	1322.37
RBM4B	599.49	392.44	220.32	371.22	775.05	409.15	540.19	529.06	281.09	262.2	351.14	460.44	473.41	258.57	348.71	400.71	412.0	543.96	438.59	624.99	316.37	432.53	323.03	587.13	444.72	246.28	323.03	387.02	802.41	954.43	152.28	111.99	182.55	201.25	142.01	171.45	86.43	80.57	65.26	167.9	102.97	0.0	0.2	202.66	258.57	142.01	303.44	191.67	343.89	229.72	191.67	226.54	223.41	158.79	224.97	314.17	138.1	189.02	336.79	198.47	198.47	204.07	341.51	220.32	1023.0	759.08	961.07	825.0	583.07	555.41	860.08	854.13	884.29	836.53	884.29	336.79	872.1	1044.52	612.11
TFCP2	334.46	366.09	507.46	447.82	555.41	555.41	909.17	353.59	764.36	255.0	239.52	351.14	273.37	371.22	381.68	336.79	518.15	819.3	599.49	486.75	470.14	444.72	400.71	395.18	486.75	540.19	476.71	406.31	297.17	521.76	120.94	114.36	127.89	146.03	161.02	123.5	164.42	78.89	123.5	358.54	64.34	231.32	417.77	363.56	356.05	329.84	381.68	231.32	470.14	323.03	371.22	336.79	368.65	169.07	314.17	323.03	291.04	373.81	356.05	444.72	361.04	348.71	381.68	450.94	961.07	674.59	642.59	607.87	493.56	521.76	591.22	693.58	497.0	620.67	825.0	277.2	693.58	748.61	748.61
TIA1	2119.22	669.92	684.02	1104.13	1519.15	1001.93	2075.59	1457.23	1151.06	665.29	974.5	941.27	1225.22	703.28	1540.37	698.41	819.3	1331.57	1167.14	1794.29	1331.57	1508.65	395.18	2075.59	1023.0	791.35	1066.48	928.3	2047.0	2018.8	108.14	211.31	265.87	149.12	70.51	155.5	197.09	173.85	139.07	183.82	149.12	0.0	0.88	358.54	497.0	854.13	669.92	295.11	497.0	708.18	684.02	379.04	583.07	277.2	674.59	301.33	460.44	441.64	743.43	470.14	555.41	555.41	603.67	796.86	3639.7	1457.23	2537.92	2178.83	1529.73	1844.76	1832.01	1870.53	2287.2	1991.0	2004.85	547.75	1477.58	2119.22	1369.04
TRMT13	226.54	133.36	92.05	223.41	217.27	112.77	214.27	212.78	167.9	94.67	104.42	131.51	161.02	80.57	229.72	128.79	119.26	265.87	191.67	229.72	234.57	202.66	77.79	229.72	138.1	121.79	157.68	144.01	201.25	229.72	11.55	46.5	80.01	76.17	32.36	55.1	54.33	77.25	56.28	53.57	21.01	0.0	0.07	126.12	111.99	102.25	137.14	68.55	157.68	129.69	105.15	89.51	100.83	67.59	151.22	119.26	110.43	132.44	82.29	169.07	159.9	120.1	148.09	185.11	518.15	316.37	466.88	334.46	253.23	363.56	373.81	314.17	376.41	363.56	497.0	267.73	299.25	361.04	435.55
USP34	1119.56	791.35	708.18	1081.39	1167.14	1037.29	1322.37	954.43	1044.52	995.0	995.0	941.27	934.76	967.76	1051.79	713.11	738.29	1322.37	1159.07	1662.49	1023.0	1427.22	748.61	1175.27	1561.89	915.51	954.43	974.5	1030.12	1721.16	273.37	414.87	525.39	435.55	285.03	417.77	473.41	567.1	466.88	525.39	363.56	0.0	0.88	642.59	988.12	836.53	791.35	1015.93	463.65	988.12	684.02	642.59	669.92	1225.22	830.75	947.83	872.1	599.49	493.56	759.08	743.43	1008.9	1225.22	961.07	1407.55	961.07	1378.57	1397.83	1151.06	1407.55	1447.15	1259.69	1081.39	1259.69	1572.76	1088.92	1233.75	1286.18	1651.0
VPS45	1477.58	791.35	995.0	878.17	2255.7	540.19	1167.14	1167.14	1259.69	620.67	1073.91	842.36	1331.57	397.93	1051.79	764.36	902.89	848.22	1304.15	842.36	536.45	1225.22	713.11	1487.87	1051.79	624.99	825.0	1151.06	748.61	616.37	212.78	180.02	273.37	199.85	211.31	299.25	269.6	209.84	164.42	366.09	125.24	0.0	0.64	595.34	638.15	412.0	718.08	271.48	785.88	447.82	414.87	438.59	633.73	403.5	358.54	289.02	397.93	551.56	679.29	559.28	579.04	473.41	463.65	679.29	1044.52	796.86	842.36	934.76	723.08	813.63	616.37	836.53	909.17	860.08	791.35	647.07	909.17	896.64	961.07
ZFP14	46.5	30.12	38.95	84.04	55.89	64.34	130.6	59.55	66.18	69.03	37.85	38.95	54.72	30.78	73.54	24.46	43.63	104.42	61.68	77.79	60.82	75.64	23.93	87.65	75.11	52.08	37.32	81.71	126.12	260.38	8.38	11.38	14.03	16.51	5.5	14.35	8.19	4.66	7.17	18.16	13.12	0.0	0.24	18.56	25.17	21.16	41.22	24.99	36.27	27.05	11.38	16.63	28.24	69.52	18.84	21.47	30.34	36.01	34.02	29.48	27.44	20.41	51.71	49.21	181.28	149.12	153.34	142.01	105.89	121.79	105.15	132.44	170.25	150.17	138.1	57.89	111.21	162.14	125.24
ZNF16	183.82	187.71	80.57	175.07	287.01	189.02	164.42	140.04	353.59	159.9	112.77	205.5	237.86	115.97	175.07	297.17	226.54	299.25	167.9	157.68	209.84	195.72	124.37	466.88	140.04	163.28	104.42	178.77	226.54	267.73	57.89	56.68	44.89	57.08	34.75	41.52	46.18	78.34	96.68	68.55	18.16	0.0	0.0	114.36	135.24	121.79	156.59	62.12	98.04	155.5	74.06	106.63	122.64	80.01	157.68	182.55	147.06	105.15	72.52	124.37	131.51	127.89	99.43	128.79	197.09	202.66	135.24	137.14	228.13	249.73	152.28	198.47	114.36	251.48	242.88	197.09	177.53	191.67	316.37
ZNF174	126.12	146.03	170.25	209.84	93.35	193.01	137.14	149.12	140.04	71.5	117.6	147.06	100.83	71.5	150.17	115.16	170.25	246.28	139.07	234.57	127.0	148.09	120.94	195.72	189.02	158.79	100.13	138.1	237.86	283.05	94.01	63.0	63.89	85.82	65.72	87.03	50.63	60.39	61.68	125.24	52.08	0.0	0.0	108.14	132.44	131.51	165.57	69.03	180.02	172.65	100.83	149.12	151.22	125.24	112.77	115.16	154.42	98.73	109.66	143.01	153.34	116.78	170.25	124.37	248.0	190.34	236.21	141.02	244.57	171.45	176.29	215.77	161.02	246.28	236.21	147.06	242.88	218.79	181.28
ZNF182	146.03	56.28	57.89	94.67	96.01	57.08	159.9	96.68	92.7	48.52	63.45	57.49	68.07	40.07	93.35	49.56	63.89	99.43	67.12	63.45	78.34	99.43	34.26	120.1	90.77	35.76	59.97	88.26	208.38	248.0	8.71	27.64	31.22	20.11	12.55	23.42	21.01	31.67	18.7	33.3	11.13	0.0	0.39	41.81	51.35	65.72	63.89	43.02	63.45	72.52	40.07	55.1	50.98	45.85	48.52	29.7	48.87	31.22	60.39	57.49	60.39	58.71	58.71	59.97	255.0	159.9	417.77	212.78	157.68	177.53	162.14	181.28	147.06	187.71	239.52	78.34	181.28	163.28	198.47
ZNF224	457.25	142.01	39.5	212.78	211.31	191.67	753.83	289.02	221.86	202.66	136.19	122.64	356.05	173.85	218.79	206.94	178.77	348.71	214.27	309.83	260.38	320.8	57.89	563.18	146.03	246.28	138.1	198.47	356.05	591.22	40.93	56.68	49.21	77.25	27.44	29.48	81.71	66.18	101.54	55.49	41.81	0.0	0.83	84.04	123.5	135.24	123.5	64.34	106.63	172.65	98.73	94.67	107.38	361.04	177.53	129.69	166.73	75.11	186.4	139.07	154.42	126.12	100.83	226.54	813.63	318.57	555.41	426.57	400.71	395.18	368.65	332.14	414.87	476.71	392.44	376.41	403.5	356.05	392.44
ZNF250	135.24	181.28	69.03	141.02	234.57	199.85	185.11	124.37	279.14	117.6	100.83	107.38	162.14	147.06	130.6	208.38	120.94	212.78	135.24	144.01	190.34	144.01	96.68	366.09	133.36	175.07	106.63	162.14	320.8	289.02	42.41	80.57	53.95	37.05	21.32	25.91	28.65	36.01	42.41	46.18	27.84	0.0	0.25	52.08	70.01	175.07	140.04	102.25	75.64	109.66	88.26	61.68	99.43	162.14	106.63	82.29	99.43	88.88	76.71	76.17	126.12	111.99	133.36	90.14	457.25	514.56	540.19	529.06	441.64	323.03	381.68	438.59	532.74	525.39	371.22	195.72	403.5	473.41	351.14
ZNF251	693.58	358.54	113.56	297.17	447.82	293.07	277.2	267.73	591.22	212.78	267.73	277.2	493.56	275.28	361.04	417.77	242.88	414.87	201.25	387.02	409.15	368.65	135.24	612.11	217.27	281.09	134.3	358.54	518.15	483.38	33.06	49.21	66.18	49.91	22.1	26.67	40.93	56.28	54.33	90.14	27.84	0.0	0.77	127.0	116.78	74.58	142.01	83.45	82.29	83.45	49.56	94.01	80.57	124.37	86.43	147.06	92.05	53.57	140.04	81.14	112.77	142.01	119.26	120.94	759.08	438.59	642.59	708.18	651.58	518.15	599.49	624.99	612.11	775.05	693.58	309.83	708.18	669.92	521.76
ZNF260	89.51	97.36	89.51	108.14	87.03	119.26	616.37	146.03	234.57	152.28	86.43	88.88	84.04	98.73	78.89	78.34	128.79	173.85	114.36	155.5	124.37	120.1	57.89	193.01	144.01	161.02	92.7	123.5	141.02	228.13	10.79	26.1	28.04	46.84	34.51	30.34	21.01	24.11	19.11	38.67	21.47	53.95	73.54	41.22	70.51	83.45	128.79	67.59	104.42	122.64	140.04	61.68	85.22	36.79	62.56	116.78	77.79	59.13	78.34	92.7	132.44	48.87	81.14	81.14	212.78	128.79	136.19	108.14	120.94	186.4	172.65	142.01	153.34	186.4	157.68	101.54	157.68	142.01	181.28
ZNF345	58.3	33.3	13.83	55.89	67.59	68.55	211.31	67.59	84.63	47.17	61.68	60.39	60.82	40.36	60.82	34.02	73.03	84.63	68.07	100.13	67.12	65.26	19.11	103.69	43.94	63.45	41.81	73.03	156.59	253.23	15.11	28.86	24.63	25.17	9.2	11.55	9.63	12.55	7.88	13.52	7.28	0.0	0.44	23.93	38.95	19.11	72.01	24.28	21.01	34.51	28.86	26.86	47.5	42.71	44.57	27.84	44.25	19.82	44.89	27.05	29.7	21.47	52.82	49.21	231.32	107.38	221.86	127.89	98.73	162.14	178.77	139.07	123.5	163.28	167.9	85.82	157.68	180.02	170.25
ZNF354B	423.61	103.69	54.33	316.37	123.5	102.97	133.36	154.42	85.22	94.01	180.02	132.44	206.94	79.45	194.36	52.82	78.34	182.55	140.04	267.73	112.77	100.13	64.34	379.04	134.3	138.1	132.44	114.36	323.03	232.94	4.31	28.65	40.93	12.55	11.13	19.11	18.56	33.54	12.0	42.71	22.92	0.0	0.91	68.55	62.12	59.13	100.83	67.59	50.27	61.68	31.22	55.49	74.06	83.45	97.36	89.51	99.43	44.89	90.14	71.0	96.01	88.88	102.25	93.35	339.14	169.07	426.57	220.32	255.0	316.37	275.28	244.57	215.77	287.01	363.56	217.27	265.87	253.23	289.02
ZNF385C	31.22	59.13	19.82	30.56	11.47	13.52	22.59	52.45	49.21	57.08	41.52	47.17	3.82	7.75	45.53	34.02	24.63	77.25	38.12	72.52	103.69	39.79	26.86	85.82	27.84	11.55	5.63	61.25	159.9	119.26	5.68	0.72	5.92	4.78	0.39	0.41	0.92	1.91	2.16	4.98	3.63	0.0	0.13	12.83	22.92	21.47	46.84	19.97	6.21	12.18	14.78	8.45	20.11	6.78	28.04	6.57	15.91	13.72	22.43	22.26	14.24	28.86	24.46	21.78	69.03	80.01	79.45	58.3	44.25	35.76	102.97	81.71	53.95	74.58	180.02	18.56	51.71	76.17	31.67
ZNF415	176.29	111.21	103.69	138.1	242.88	55.89	303.44	201.25	175.07	153.34	119.26	158.79	139.07	249.73	182.55	172.65	220.32	228.13	228.13	209.84	166.73	127.89	63.0	373.81	52.82	228.13	150.17	190.34	215.77	842.36	6.41	10.16	16.51	14.24	6.73	3.17	3.72	1.08	6.78	35.25	3.0	0.0	0.45	78.34	46.84	126.12	98.04	13.22	49.91	84.04	21.78	15.68	40.36	60.39	53.95	74.58	52.82	23.42	28.65	40.93	136.19	121.79	59.55	36.27	435.55	343.89	356.05	305.55	239.52	236.21	297.17	269.6	249.73	303.44	412.0	195.72	320.8	320.8	269.6
