	GTEX.U3ZN.0226.SM.3DB8D	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.CE.A482.01A.11R.A23W.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.EL.A4KD.01A.11R.A250.07	TCGA.DE.A3KN.01A.11R.A20F.07	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.DJ.A3UM.01A.11R.A22L.07	TCGA.DJ.A4V0.01A.11R.A250.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.CE.A481.01A.21R.A23W.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.FY.A3I4.01A.11R.A21D.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.EL.A3T8.01A.21R.A22L.07	TCGA.BJ.A45G.01A.11R.A23W.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
DVL1	141.02	1617.0	1651.0	1923.14	947.83	1295.13	1639.59	1883.54	1191.69	1183.45	1388.16	1059.11	1350.18	1277.29	1709.26	848.22	1806.78	1709.26	1135.2	1167.14	1242.34	921.88	1340.84	1369.04	1037.29	1508.65	808.0	1721.16	1721.16	1151.06	1467.37	1427.22	1044.52	323.03	647.07	490.14	872.1	567.1	842.36	629.35	656.11	237.86	1617.0	1037.29	348.71	529.06	866.07	1037.29	591.22	866.07	733.19	638.15	651.58	1023.0	872.1	848.22	674.59	854.13	791.35	629.35	320.8	988.12	1127.35	718.08	660.68	336.79	764.36	638.15	708.18	679.29	802.41	486.75	813.63	708.18	543.96	738.29	669.92	620.67	974.5	848.22	884.29	848.22	728.11	825.0
EFCAB4A	10.24	860.08	1104.13	909.17	612.11	599.49	723.08	974.5	638.15	934.76	373.81	414.87	624.99	540.19	1001.93	301.33	521.76	447.82	878.17	483.38	748.61	204.07	961.07	316.37	368.65	525.39	307.69	426.57	884.29	656.11	503.95	543.96	406.31	36.79	77.25	162.14	130.6	85.82	142.01	197.09	211.31	64.34	38.12	208.38	49.56	137.14	353.59	166.73	141.02	183.82	122.64	145.02	177.53	412.0	182.55	271.48	154.42	121.79	134.3	208.38	83.45	187.71	409.15	95.34	217.27	67.12	209.84	133.36	125.24	70.51	248.0	149.12	49.21	161.02	55.1	133.36	127.89	115.97	156.59	77.25	339.14	105.89	88.88	305.55
EFNA3	29.27	120.94	72.01	142.01	75.64	123.5	152.28	107.38	118.43	199.85	154.42	73.54	83.45	72.01	105.15	87.65	130.6	112.77	54.72	74.58	85.22	51.71	69.52	112.77	129.69	121.79	161.02	96.68	124.37	99.43	124.37	97.36	108.9	17.64	47.5	43.02	20.56	39.5	24.99	47.5	28.45	34.75	37.05	41.81	42.71	31.67	48.52	51.35	49.56	56.28	46.84	64.8	51.71	72.01	35.0	38.4	87.03	82.29	48.87	32.82	26.28	48.52	55.1	25.91	75.64	62.12	41.22	53.95	37.05	49.56	54.72	37.32	56.68	42.11	35.5	43.63	48.18	22.92	56.28	84.63	48.18	25.17	34.26	37.59
EHBP1L1	105.89	728.11	902.89	928.3	447.82	802.41	872.1	1127.35	339.14	743.43	483.38	351.14	1037.29	1015.93	1135.2	896.64	830.75	796.86	860.08	647.07	525.39	674.59	1044.52	277.2	381.68	679.29	218.79	974.5	842.36	503.95	620.67	902.89	432.53	91.41	186.4	201.25	148.09	172.65	255.0	205.5	293.07	111.99	94.01	423.61	70.01	285.03	318.57	253.23	180.02	214.27	186.4	366.09	190.34	525.39	348.71	638.15	226.54	100.83	258.57	182.55	150.17	314.17	346.29	157.68	289.02	169.07	129.69	165.57	123.5	137.14	314.17	172.65	73.03	131.51	127.89	251.48	154.42	189.02	271.48	133.36	341.51	161.02	183.82	406.31
EML3	220.32	1709.26	1551.09	1662.49	1259.69	2119.22	1709.26	1605.83	1508.65	1350.18	1225.22	1313.23	2090.03	2104.58	1844.76	1467.37	1467.37	1605.83	1388.16	1233.75	1340.84	1427.22	1806.78	1225.22	1208.34	1733.13	1340.84	1295.13	1662.49	1417.35	1519.15	1662.49	1378.57	669.92	679.29	555.41	878.17	629.35	1096.5	521.76	607.87	532.74	909.17	718.08	447.82	743.43	848.22	884.29	638.15	825.0	796.86	674.59	860.08	819.3	1051.79	836.53	775.05	902.89	624.99	753.83	460.44	967.76	842.36	703.28	693.58	603.67	825.0	934.76	703.28	808.0	791.35	791.35	808.0	954.43	642.59	866.07	769.69	753.83	785.88	733.19	915.51	486.75	813.63	967.76
EPOR	40.07	1540.37	3716.2	2335.28	1757.34	2485.67	2758.13	3901.01	2875.3	4152.18	1250.98	2664.15	3146.52	3349.13	2384.37	1857.6	1313.23	1427.22	1896.65	1721.16	3280.18	1819.35	4512.4	3190.46	2240.11	1340.84	1313.23	1159.07	2178.83	3419.52	1322.37	2032.85	2104.58	466.88	470.14	536.45	624.99	624.99	836.53	633.73	902.89	180.02	1127.35	796.86	381.68	457.25	1331.57	848.22	567.1	638.15	525.39	642.59	616.37	1331.57	1639.59	967.76	679.29	536.45	915.51	507.46	684.02	674.59	1081.39	660.68	981.29	406.31	733.19	392.44	638.15	620.67	1001.93	256.78	1008.9	607.87	703.28	379.04	514.56	563.18	1437.15	974.5	1151.06	759.08	457.25	928.3
EPS8L1	21.47	3146.52	3515.68	4239.45	2004.85	2664.15	3768.09	4450.27	2224.63	2351.53	3257.52	2148.82	3901.01	3955.48	2997.45	3018.3	3018.3	3235.01	2468.49	2701.35	2855.44	2537.92	3794.3	2240.11	2591.27	3018.3	2591.27	3280.18	2627.46	2777.33	2875.3	4388.98	2303.12	1437.15	2047.0	1023.0	3467.27	2047.0	1697.45	1662.49	1794.29	1331.57	2537.92	2287.2	785.88	1583.71	2520.38	1857.6	1870.53	2090.03	1350.18	1498.22	1407.55	3665.02	2739.08	2351.53	1191.69	1733.13	2061.24	1378.57	890.44	3372.43	2104.58	1794.29	1685.71	1151.06	1977.24	1662.49	1757.34	1183.45	3690.52	1030.12	1175.27	1936.53	1378.57	909.17	1651.0	2434.5	1870.53	1709.26	2468.49	2537.92	1529.73	3325.99
EXD3	69.03	591.22	1051.79	1066.48	599.49	647.07	660.68	825.0	674.59	791.35	483.38	759.08	647.07	638.15	708.18	483.38	493.56	563.18	642.59	476.71	813.63	660.68	1008.9	612.11	688.78	507.46	529.06	486.75	642.59	599.49	420.68	616.37	547.75	111.99	269.6	305.55	356.05	264.03	327.56	279.14	414.87	239.52	376.41	406.31	166.73	277.2	547.75	389.72	511.0	336.79	242.88	303.44	316.37	551.56	1023.0	543.96	279.14	239.52	567.1	281.09	197.09	262.2	536.45	299.25	392.44	195.72	241.19	194.36	403.5	241.19	480.04	195.72	237.86	241.19	256.78	285.03	336.79	205.5	466.88	381.68	403.5	366.09	253.23	507.46
EXOC7	575.03	1870.53	2468.49	2351.53	1977.24	2468.49	2468.49	2384.37	2502.97	2485.67	2287.2	1991.0	2255.7	2627.46	2384.37	1870.53	1977.24	1977.24	1806.78	2018.8	2591.27	1963.57	2537.92	2133.97	2240.11	2163.77	2148.82	2537.92	2591.27	2400.97	1857.6	2193.99	1757.34	1721.16	1437.15	1529.73	1498.22	1572.76	1277.29	1896.65	1605.83	1605.83	1844.76	1883.54	1242.34	1437.15	2335.28	1806.78	1191.69	1662.49	1242.34	1844.76	1487.87	2664.15	2104.58	2240.11	1936.53	1175.27	2018.8	1268.46	1950.0	1378.57	2018.8	1529.73	2004.85	1457.23	1397.83	1447.15	1697.45	1427.22	2271.4	1685.71	1407.55	1286.18	1529.73	1259.69	1651.0	1572.76	1685.71	1551.09	2502.97	1674.06	1487.87	2090.03
FLJ20373	98.04	361.04	384.34	242.88	285.03	361.04	341.51	429.54	244.57	181.28	285.03	208.38	371.22	454.09	346.29	273.37	318.57	283.05	242.88	323.03	295.11	241.19	486.75	291.04	214.27	486.75	198.47	279.14	312.0	214.27	327.56	511.0	228.13	150.17	73.54	127.89	99.43	85.22	126.12	92.7	126.12	125.24	78.34	157.68	147.06	108.9	131.51	127.0	111.99	94.01	82.29	138.1	92.7	126.12	86.43	133.36	129.69	90.14	131.51	83.45	167.9	88.88	128.79	104.42	180.02	122.64	119.26	76.71	92.7	95.34	105.15	117.6	77.79	145.02	59.13	87.03	83.45	96.68	134.3	96.68	105.15	113.56	103.69	126.12
GGT2	6.67	974.5	361.04	825.0	126.12	283.05	318.57	291.04	115.16	39.5	543.96	68.55	579.04	1143.1	1096.5	191.67	143.01	223.41	181.28	497.0	232.94	167.9	358.54	131.51	61.68	353.59	71.5	540.19	341.51	64.34	376.41	595.34	136.19	23.08	32.82	19.82	27.64	24.99	53.19	24.99	22.92	36.27	47.84	12.74	7.57	4.39	8.65	24.81	69.52	77.79	23.93	76.17	15.8	21.16	147.06	38.67	71.0	29.06	21.47	14.56	10.08	8.38	7.88	120.94	51.71	12.0	26.47	57.49	22.75	55.49	21.01	52.45	103.69	16.03	18.29	13.62	44.89	16.88	29.48	99.43	76.71	6.78	60.82	35.5
GGTLC3	0.0	1159.07	583.07	1051.79	156.59	514.56	444.72	447.82	80.01	17.0	384.34	147.06	1259.69	1407.55	1037.29	353.59	145.02	633.73	403.5	629.35	269.6	202.66	1059.11	217.27	56.28	397.93	126.12	633.73	638.15	147.06	351.14	1073.91	136.19	30.34	29.91	6.78	35.5	94.01	78.34	21.16	21.47	32.59	25.72	46.84	30.78	0.0	5.54	29.91	115.97	39.5	5.87	47.17	5.96	24.81	155.5	96.68	122.64	49.56	8.92	23.76	12.09	1.53	14.67	124.37	127.89	26.1	22.75	123.5	4.17	65.72	56.68	52.08	48.18	34.51	12.74	11.82	29.91	90.77	17.51	112.77	55.89	9.13	46.84	81.14
GRAMD1A	171.45	1963.57	1819.35	1268.46	1757.34	2163.77	1322.37	2591.27	1674.06	1313.23	1674.06	1447.15	1883.54	2796.65	2018.8	1487.87	1757.34	2061.24	1794.29	1757.34	1104.13	1685.71	1794.29	1378.57	1487.87	1977.24	1233.75	2573.36	2090.03	1407.55	1551.09	2119.22	1388.16	525.39	872.1	718.08	688.78	909.17	842.36	620.67	642.59	688.78	1225.22	738.29	559.28	791.35	1051.79	995.0	785.88	1135.2	733.19	1104.13	674.59	934.76	1167.14	902.89	860.08	836.53	813.63	665.29	587.13	915.51	1066.48	583.07	981.29	616.37	543.96	1127.35	909.17	988.12	981.29	1208.34	791.35	620.67	813.63	915.51	679.29	860.08	1044.52	1250.98	808.0	748.61	896.64	775.05
HDAC7	180.02	2351.53	2520.38	2061.24	1870.53	2319.15	2133.97	2032.85	2367.9	1594.73	1628.26	1991.0	1991.0	2627.46	3018.3	1896.65	2104.58	1950.0	2090.03	2104.58	1832.01	1883.54	2956.17	2163.77	1991.0	2485.67	1896.65	2591.27	2520.38	2485.67	1721.16	2645.74	1883.54	1001.93	796.86	1051.79	1119.56	1407.55	1313.23	974.5	1030.12	902.89	1151.06	1369.04	791.35	1359.57	1378.57	1397.83	947.83	1127.35	1044.52	1529.73	1104.13	1369.04	1066.48	1487.87	988.12	934.76	995.0	1119.56	669.92	1313.23	1304.15	1277.29	1208.34	961.07	769.69	1225.22	1417.35	1143.1	1242.34	1151.06	1073.91	878.17	1088.92	1447.15	1225.22	1104.13	1127.35	1183.45	1340.84	902.89	1096.5	1295.13
HGS	612.11	3280.18	3280.18	3039.3	1794.29	2224.63	3589.58	4066.71	2384.37	2976.74	3212.66	2032.85	2555.58	3168.41	2935.74	2351.53	2451.44	3168.41	2591.27	2796.65	3039.3	2627.46	2796.65	2537.92	2163.77	2682.69	2148.82	2915.45	2956.17	2032.85	2835.7	3060.45	2240.11	1594.73	1757.34	1088.92	1697.45	1832.01	1757.34	1487.87	1096.5	1191.69	1594.73	1697.45	1111.82	1674.06	1709.26	2032.85	1437.15	1651.0	1685.71	1417.35	1617.0	1794.29	1991.0	1551.09	1617.0	1498.22	1561.89	1331.57	1037.29	2319.15	1781.89	1437.15	1709.26	1519.15	1594.73	1769.57	1617.0	1745.2	1498.22	1540.37	1359.57	1583.71	1662.49	1551.09	1674.06	1378.57	1745.2	1733.13	2032.85	1388.16	1651.0	1806.78
HYI	854.13	2835.7	2178.83	3540.14	2287.2	2163.77	2090.03	2417.67	2400.97	3081.75	2485.67	2502.97	2855.44	2224.63	1963.57	1781.89	2119.22	2417.67	2075.59	2032.85	2701.35	2271.4	2976.74	2573.36	2502.97	1950.0	2319.15	1697.45	2451.44	2591.27	3039.3	2224.63	2335.28	1073.91	1467.37	1857.6	1119.56	1159.07	1447.15	1963.57	1388.16	947.83	1487.87	2935.74	769.69	995.0	2209.26	2075.59	1397.83	1295.13	921.88	1369.04	1331.57	2502.97	2758.13	1794.29	1477.58	1242.34	2119.22	1605.83	1322.37	1519.15	2502.97	1322.37	1870.53	1467.37	1277.29	1857.6	1369.04	1359.57	1709.26	967.76	1199.98	1697.45	1127.35	1096.5	1378.57	1030.12	1977.24	842.36	2287.2	1909.85	1242.34	1950.0
IGSF8	231.32	1359.57	1208.34	1250.98	1167.14	1304.15	1286.18	1378.57	1242.34	1651.0	1519.15	854.13	1529.73	1111.82	1088.92	1143.1	1540.37	1551.09	981.29	1277.29	1427.22	947.83	1369.04	1225.22	1242.34	1697.45	1167.14	1551.09	1259.69	921.88	1233.75	1467.37	1096.5	463.65	688.78	1127.35	753.83	854.13	836.53	1135.2	1030.12	432.53	1151.06	1104.13	536.45	555.41	1111.82	884.29	698.41	738.29	708.18	1081.39	808.0	1388.16	884.29	1059.11	1051.79	651.58	1208.34	764.36	693.58	728.11	1233.75	848.22	1030.12	575.03	733.19	629.35	848.22	764.36	934.76	743.43	866.07	733.19	791.35	915.51	842.36	624.99	1477.58	738.29	1216.75	1030.12	802.41	785.88
ISYNA1	56.68	3303.0	2555.58	3212.66	1745.2	2148.82	3146.52	3235.01	1936.53	2271.4	2287.2	1233.75	2701.35	2758.13	2875.3	1437.15	2664.15	2104.58	1583.71	2720.15	1819.35	1183.45	2178.83	1467.37	1447.15	2537.92	1628.26	1583.71	2835.7	2018.8	2417.67	2434.5	1457.23	332.14	384.34	830.75	412.0	299.25	332.14	884.29	607.87	217.27	547.75	860.08	295.11	303.44	1104.13	555.41	312.0	587.13	414.87	1023.0	551.56	1216.75	1059.11	785.88	780.44	384.34	791.35	476.71	417.77	813.63	1081.39	536.45	612.11	234.57	559.28	417.77	301.33	346.29	1044.52	307.69	339.14	698.41	256.78	708.18	521.76	251.48	679.29	503.95	866.07	669.92	339.14	934.76
JAG2	14.78	764.36	836.53	1001.93	532.74	954.43	616.37	599.49	808.0	371.22	540.19	521.76	579.04	974.5	693.58	486.75	995.0	802.41	432.53	583.07	518.15	540.19	674.59	679.29	633.73	684.02	674.59	848.22	698.41	587.13	400.71	688.78	525.39	32.82	154.42	199.85	185.11	197.09	285.03	172.65	256.78	99.43	117.6	341.51	65.26	220.32	460.44	224.97	214.27	137.14	139.07	312.0	185.11	417.77	273.37	223.41	178.77	156.59	193.01	137.14	119.26	379.04	307.69	177.53	176.29	71.5	180.02	128.79	159.9	175.07	269.6	97.36	102.97	132.44	134.3	312.0	234.57	170.25	118.43	92.05	400.71	178.77	155.5	287.01
MALL	50.63	1674.06	2319.15	2796.65	1397.83	2855.44	1498.22	2451.44	1628.26	591.22	1605.83	2976.74	2075.59	1551.09	3146.52	961.07	1639.59	954.43	1508.65	2319.15	1242.34	2935.74	2061.24	2682.69	2004.85	2835.7	1508.65	1844.76	3103.19	3639.7	2075.59	1572.76	2104.58	329.84	476.71	616.37	187.71	1388.16	947.83	234.57	441.64	205.5	84.04	567.1	309.83	738.29	624.99	1628.26	796.86	693.58	733.19	429.54	444.72	483.38	1066.48	1044.52	884.29	1733.13	1388.16	400.71	1096.5	1639.59	2119.22	262.2	802.41	242.88	444.72	563.18	1073.91	555.41	480.04	1242.34	896.64	373.81	423.61	1963.57	599.49	387.02	713.11	145.02	305.55	1051.79	1498.22	497.0
MAP2K7	143.01	669.92	748.61	616.37	603.67	638.15	616.37	559.28	575.03	656.11	616.37	595.34	791.35	595.34	656.11	490.14	656.11	718.08	559.28	567.1	583.07	514.56	718.08	579.04	567.1	713.11	480.04	656.11	633.73	529.06	665.29	759.08	603.67	287.01	392.44	358.54	529.06	420.68	571.05	412.0	395.18	387.02	567.1	409.15	417.77	511.0	389.72	563.18	384.34	713.11	480.04	466.88	441.64	483.38	473.41	400.71	470.14	441.64	397.93	476.71	283.05	423.61	409.15	525.39	395.18	336.79	483.38	384.34	543.96	571.05	559.28	392.44	420.68	423.61	435.55	403.5	579.04	514.56	371.22	327.56	551.56	423.61	414.87	463.65
MAP3K11	555.41	1819.35	1304.15	2133.97	1191.69	1447.15	1819.35	1388.16	1295.13	1304.15	1674.06	988.12	1572.76	1757.34	1806.78	1277.29	1437.15	1529.73	1151.06	1359.57	1467.37	1417.35	1519.15	1119.56	1119.56	1427.22	1143.1	1540.37	1781.89	1388.16	1498.22	1427.22	1143.1	316.37	836.53	620.67	872.1	947.83	796.86	764.36	642.59	559.28	638.15	830.75	529.06	836.53	1081.39	915.51	791.35	651.58	688.78	954.43	743.43	1023.0	988.12	743.43	1023.0	796.86	890.44	819.3	518.15	988.12	1233.75	684.02	830.75	490.14	1030.12	674.59	878.17	718.08	796.86	808.0	583.07	995.0	660.68	1066.48	813.63	813.63	866.07	825.0	1008.9	808.0	764.36	995.0
ME3	28.24	441.64	1508.65	563.18	334.46	575.03	684.02	764.36	271.48	191.67	387.02	255.0	587.13	567.1	785.88	389.72	607.87	444.72	423.61	684.02	483.38	307.69	890.44	559.28	361.04	651.58	237.86	642.59	693.58	327.56	466.88	723.08	305.55	154.42	118.43	137.14	178.77	154.42	124.37	143.01	175.07	110.43	130.6	265.87	72.01	150.17	417.77	201.25	105.15	205.5	194.36	199.85	107.38	256.78	323.03	279.14	108.14	108.9	253.23	153.34	118.43	269.6	409.15	162.14	228.13	108.14	151.22	229.72	172.65	129.69	187.71	173.85	171.45	111.21	93.35	87.65	110.43	108.14	320.8	195.72	293.07	190.34	134.3	299.25
MICALL2	62.56	860.08	1242.34	967.76	395.18	1073.91	1111.82	1388.16	599.49	633.73	679.29	591.22	896.64	1208.34	915.51	647.07	493.56	769.69	775.05	738.29	450.94	728.11	1104.13	470.14	555.41	791.35	507.46	660.68	928.3	532.74	836.53	748.61	521.76	132.44	255.0	253.23	260.38	356.05	329.84	273.37	271.48	159.9	412.0	567.1	78.89	241.19	423.61	271.48	289.02	211.31	341.51	318.57	277.2	376.41	559.28	285.03	316.37	228.13	275.28	176.29	209.84	559.28	323.03	241.19	309.83	130.6	231.32	271.48	241.19	181.28	493.56	190.34	351.14	312.0	208.38	264.03	202.66	275.28	412.0	483.38	339.14	232.94	190.34	444.72
MST1R	5.02	171.45	198.47	154.42	36.79	177.53	189.02	397.93	98.73	119.26	124.37	87.65	201.25	151.22	297.17	178.77	137.14	281.09	146.03	157.68	117.6	164.42	264.03	66.18	162.14	158.79	74.06	316.37	205.5	90.14	201.25	285.03	115.97	60.39	18.03	53.19	50.27	114.36	106.63	17.38	21.78	34.75	8.51	78.89	51.35	58.3	154.42	134.3	143.01	39.5	54.72	52.82	20.86	101.54	42.41	48.52	45.21	39.22	107.38	85.22	64.34	271.48	114.36	52.45	115.16	20.71	59.55	96.68	61.25	111.99	64.8	71.0	65.72	60.39	108.9	42.71	38.67	17.9	139.07	20.11	64.8	60.82	31.0	46.84
NPDC1	153.34	6652.97	4123.49	4937.99	3564.78	3955.48	5006.93	4419.52	3768.09	5147.73	3901.01	3614.55	4298.64	7081.29	4937.99	2384.37	4607.24	3955.48	2627.46	2935.74	5292.48	2271.4	4639.29	3491.39	3794.3	3982.99	3564.78	3639.7	5041.77	4268.94	3168.41	3212.66	3901.01	165.57	836.53	796.86	830.75	915.51	836.53	909.17	1127.35	579.04	486.75	872.1	361.04	981.29	1447.15	902.89	1119.56	603.67	733.19	1037.29	703.28	981.29	1397.83	1697.45	620.67	429.54	733.19	854.13	423.61	1857.6	1340.84	780.44	769.69	587.13	872.1	466.88	698.41	575.03	934.76	493.56	346.29	688.78	1008.9	1427.22	928.3	612.11	842.36	463.65	1216.75	599.49	890.44	1572.76
OSBPL5	27.25	466.88	525.39	579.04	361.04	466.88	379.04	435.55	289.02	368.65	555.41	366.09	559.28	551.56	470.14	400.71	500.46	555.41	366.09	420.68	387.02	262.2	429.54	412.0	363.56	476.71	346.29	703.28	476.71	356.05	361.04	532.74	368.65	218.79	341.51	218.79	312.0	384.34	341.51	281.09	205.5	187.71	241.19	301.33	228.13	363.56	249.73	463.65	295.11	463.65	381.68	265.87	361.04	438.59	265.87	371.22	309.83	480.04	318.57	339.14	193.01	248.0	251.48	301.33	273.37	189.02	229.72	212.78	343.89	307.69	226.54	307.69	273.37	248.0	239.52	358.54	289.02	309.83	318.57	279.14	251.48	253.23	343.89	287.01
PDLIM7	133.36	2796.65	3303.0	2209.26	1457.23	2502.97	2468.49	3820.7	1639.59	1870.53	1896.65	1104.13	2384.37	2133.97	2627.46	1268.46	1936.53	2075.59	1397.83	2335.28	1437.15	1467.37	2935.74	1322.37	1540.37	2119.22	1277.29	2047.0	3257.52	1733.13	2303.12	2018.8	1259.69	277.2	521.76	665.29	476.71	579.04	624.99	616.37	665.29	305.55	764.36	1977.24	223.41	915.51	819.3	753.83	563.18	483.38	511.0	830.75	571.05	1044.52	995.0	1572.76	497.0	463.65	738.29	642.59	368.65	743.43	947.83	486.75	624.99	336.79	540.19	518.15	540.19	460.44	921.88	329.84	417.77	450.94	444.72	629.35	400.71	435.55	1044.52	450.94	915.51	684.02	400.71	1044.52
PIAS3	140.04	679.29	902.89	656.11	633.73	988.12	854.13	961.07	583.07	633.73	830.75	620.67	1073.91	995.0	743.43	775.05	733.19	1051.79	775.05	785.88	532.74	669.92	947.83	583.07	616.37	848.22	511.0	921.88	1023.0	599.49	866.07	947.83	713.11	432.53	373.81	389.72	429.54	473.41	743.43	438.59	299.25	543.96	429.54	493.56	384.34	441.64	518.15	551.56	493.56	583.07	497.0	532.74	612.11	514.56	327.56	420.68	543.96	551.56	389.72	412.0	457.25	493.56	454.09	518.15	551.56	559.28	444.72	551.56	603.67	587.13	651.58	521.76	529.06	336.79	447.82	521.76	660.68	529.06	320.8	414.87	591.22	473.41	518.15	470.14
PIP5K1C	38.4	728.11	587.13	543.96	629.35	728.11	616.37	603.67	703.28	718.08	579.04	738.29	674.59	679.29	638.15	583.07	656.11	607.87	665.29	624.99	571.05	693.58	559.28	551.56	733.19	603.67	595.34	764.36	764.36	713.11	555.41	567.1	583.07	221.86	521.76	389.72	466.88	441.64	503.95	470.14	444.72	239.52	532.74	514.56	343.89	432.53	490.14	571.05	476.71	493.56	591.22	480.04	480.04	540.19	543.96	591.22	507.46	503.95	406.31	563.18	320.8	518.15	432.53	486.75	395.18	379.04	432.53	447.82	420.68	417.77	603.67	400.71	463.65	438.59	466.88	583.07	403.5	525.39	555.41	497.0	500.46	514.56	473.41	536.45
PLCB3	58.3	309.83	334.46	289.02	291.04	297.17	346.29	414.87	341.51	406.31	264.03	262.2	267.73	371.22	312.0	267.73	299.25	389.72	327.56	356.05	314.17	307.69	305.55	303.44	332.14	248.0	249.73	423.61	305.55	320.8	323.03	291.04	287.01	118.43	231.32	185.11	194.36	183.82	258.57	189.02	166.73	100.83	153.34	251.48	156.59	158.79	198.47	262.2	251.48	220.32	275.28	205.5	236.21	209.84	159.9	199.85	229.72	198.47	181.28	191.67	120.94	332.14	212.78	175.07	171.45	195.72	198.47	265.87	181.28	183.82	181.28	202.66	190.34	177.53	226.54	256.78	190.34	211.31	228.13	202.66	237.86	212.78	249.73	264.03
PLEKHH3	163.28	1605.83	1733.13	1745.2	1081.39	1030.12	1378.57	1175.27	961.07	995.0	1001.93	928.3	1015.93	1167.14	1977.24	836.53	1175.27	967.76	1051.79	1191.69	961.07	825.0	1540.37	819.3	1119.56	974.5	878.17	723.08	1909.85	1225.22	1199.98	1183.45	1088.92	256.78	497.0	438.59	454.09	603.67	567.1	379.04	490.14	267.73	624.99	743.43	163.28	441.64	532.74	629.35	480.04	381.68	466.88	483.38	444.72	525.39	384.34	518.15	490.14	395.18	591.22	327.56	287.01	674.59	651.58	358.54	429.54	273.37	587.13	638.15	587.13	381.68	638.15	332.14	343.89	483.38	435.55	563.18	473.41	361.04	921.88	417.77	567.1	616.37	490.14	579.04
