	GTEX.WFON.1426.SM.4LVMT	GTEX.U3ZH.1326.SM.4DXSF	GTEX.13G51.2126.SM.5IJD9	GTEX.139TS.2226.SM.5J2N1	GTEX.ZPU1.1726.SM.4WWFV	GTEX.ZYFG.1826.SM.5GZWX	GTEX.Y9LG.1526.SM.4WWDR	GTEX.R55G.1226.SM.48FDC	GTEX.1212Z.1826.SM.5FQSH	GTEX.WYVS.1126.SM.4SOJX	GTEX.11ZTT.1626.SM.5EQKR	GTEX.117XS.2226.SM.5GIE1	GTEX.13CF2.1826.SM.5N9GK	GTEX.OXRL.1426.SM.3NM9E	GTEX.ZYFC.2626.SM.5NQ6S	GTEX.WHPG.1626.SM.4M1ZL	GTEX.X15G.1526.SM.4PQZM	GTEX.P4PP.1426.SM.3NM9L	GTEX.13111.1926.SM.5GCOL	GTEX.13O21.2426.SM.5MR4A	GTEX.R55C.1126.SM.48FCJ	GTEX.147JS.2626.SM.5S2UX	GTEX.1122O.1526.SM.5N9CL	GTEX.OHPM.1426.SM.3TW8Y	GTEX.1399U.2226.SM.5KLZI	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.11P81.1126.SM.5GU5G	GTEX.11GS4.1826.SM.5HL4T	GTEX.139UW.2326.SM.5KM1Y	GTEX.14DAR.1526.SM.5RQIX	GTEX.13QBU.2026.SM.5KLZB	GTEX.U3ZM.1126.SM.4DXUB	GTEX.ZT9W.1726.SM.51MS3	GTEX.ZVT2.1726.SM.51MRO	GTEX.11GSP.1626.SM.5986N	GTEX.12ZZX.2726.SM.5N9FT	GTEX.ZDTS.2726.SM.5L3E2	GTEX.PX3G.1426.SM.48U1J	GTEX.132NY.2726.SM.5PNY2	GTEX.QEL4.1926.SM.4R1JI	GTEX.ZPCL.1626.SM.57WGC	GTEX.O5YW.1426.SM.3MJHF	GTEX.12WSJ.0826.SM.5PNWV	GTEX.1212Z.2026.SM.5N9EA	TCGA.KM.8438.01A.11R.2315.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9NI.01A.11R.A41O.07	GTEX.V1D1.1926.SM.4JBGX	GTEX.ZUA1.2826.SM.59HLE	GTEX.Y9LG.1826.SM.4VBQC	GTEX.13CF2.2426.SM.5LZYL	GTEX.Y5V6.1326.SM.4VDTF	TCGA.BJ.A291.01A.11R.A16R.07
KIAA1147	289.02	379.04	202.66	157.68	351.14	246.28	361.04	412.0	198.47	297.17	232.94	173.85	205.5	172.65	258.57	209.84	143.01	412.0	323.03	392.44	320.8	234.57	503.95	376.41	108.9	420.68	363.56	273.37	234.57	166.73	480.04	279.14	299.25	181.28	150.17	271.48	166.73	77.25	389.72	150.17	323.03	189.02	447.82	55.89	102.97	72.01	17.51	241.19	122.64	153.34	194.36	135.24	199.85	124.37	246.28	186.4	242.88	180.02	189.02	49.56	204.07	154.42
KMT2D	387.02	599.49	368.65	275.28	579.04	595.34	599.49	503.95	356.05	679.29	674.59	318.57	316.37	529.06	470.14	417.77	493.56	518.15	603.67	395.18	490.14	493.56	603.67	514.56	171.45	591.22	583.07	684.02	353.59	305.55	555.41	460.44	457.25	164.42	206.94	363.56	170.25	260.38	703.28	303.44	571.05	175.07	483.38	157.68	314.17	559.28	31.22	143.01	120.94	185.11	264.03	287.01	295.11	211.31	307.69	253.23	403.5	275.28	536.45	208.38	426.57	316.37
KMT2E	409.15	842.36	647.07	466.88	435.55	679.29	555.41	748.61	583.07	796.86	785.88	629.35	476.71	703.28	759.08	703.28	450.94	665.29	934.76	532.74	620.67	647.07	684.02	575.03	275.28	470.14	813.63	872.1	647.07	563.18	748.61	679.29	435.55	463.65	463.65	616.37	616.37	265.87	796.86	579.04	981.29	343.89	808.0	190.34	332.14	223.41	33.3	94.67	46.18	139.07	125.24	371.22	178.77	158.79	209.84	271.48	400.71	409.15	603.67	381.68	384.34	283.05
LHX4	18.03	16.75	7.0	11.64	8.51	10.55	14.45	32.13	11.64	21.47	10.63	10.08	18.03	14.03	9.27	12.09	23.08	29.48	11.3	21.16	33.54	13.52	29.06	22.1	2.14	27.64	30.34	21.16	11.64	4.58	28.45	14.67	23.59	4.43	3.11	13.93	7.88	4.82	17.9	10.63	26.1	5.06	19.11	2.25	6.26	0.93	0.0	3.47	0.0	2.56	2.16	4.17	2.05	1.3	1.75	2.81	4.06	1.69	1.36	1.51	4.46	1.41
LMBRD2	96.68	195.72	119.26	62.56	76.17	96.68	125.24	162.14	107.38	159.9	177.53	134.3	152.28	156.59	142.01	162.14	97.36	193.01	167.9	141.02	115.16	102.97	166.73	90.14	43.94	126.12	175.07	166.73	120.1	92.7	161.02	138.1	123.5	88.26	101.54	85.22	108.14	66.18	108.14	89.51	149.12	71.5	141.02	33.54	36.79	55.49	134.3	48.52	28.65	80.57	27.84	97.36	43.94	51.71	83.45	57.08	87.03	124.37	153.34	65.26	146.03	76.71
MAP3K2	148.09	346.29	226.54	176.29	221.86	229.72	242.88	291.04	236.21	279.14	260.38	190.34	211.31	190.34	295.11	258.57	128.79	336.79	417.77	182.55	208.38	255.0	373.81	209.84	90.14	211.31	323.03	341.51	220.32	190.34	255.0	293.07	204.07	220.32	236.21	214.27	177.53	172.65	299.25	186.4	262.2	205.5	265.87	55.89	140.04	106.63	36.27	103.69	43.94	76.71	71.0	146.03	71.0	82.87	104.42	106.63	120.1	103.69	244.57	198.47	162.14	138.1
MED13L	167.9	476.71	301.33	323.03	318.57	473.41	289.02	301.33	341.51	529.06	432.53	470.14	244.57	343.89	384.34	392.44	293.07	463.65	493.56	246.28	392.44	426.57	400.71	387.02	258.57	221.86	309.83	540.19	325.29	392.44	289.02	441.64	287.01	264.03	255.0	547.75	346.29	229.72	346.29	346.29	395.18	387.02	555.41	185.11	318.57	293.07	21.01	60.82	49.91	87.03	88.88	208.38	78.89	90.14	139.07	153.34	239.52	161.02	420.68	148.09	264.03	181.28
MLXIP	1697.45	2384.37	2287.2	1870.53	2627.46	2090.03	2271.4	1733.13	1781.89	2520.38	1781.89	2032.85	1950.0	1167.14	2335.28	2351.53	1745.2	2090.03	2061.24	2271.4	1639.59	1936.53	1467.37	1519.15	1059.11	1477.58	1397.83	2287.2	1923.14	2367.9	1950.0	1950.0	1745.2	1159.07	1066.48	2384.37	1572.76	753.83	2351.53	1639.59	2335.28	1529.73	2682.69	466.88	1111.82	341.51	35.0	165.57	156.59	149.12	500.46	229.72	279.14	258.57	346.29	409.15	320.8	299.25	295.11	283.05	579.04	198.47
MTX3	14.56	120.1	57.89	21.01	74.58	95.34	39.79	21.32	42.11	120.94	88.88	38.12	41.52	58.71	106.63	86.43	47.17	64.8	120.94	31.45	28.24	64.8	21.16	26.67	14.14	26.47	33.3	126.12	69.52	46.18	28.04	110.43	44.89	19.25	16.63	62.56	24.46	21.94	94.67	39.79	47.17	19.53	73.03	15.68	20.56	35.76	5.73	9.27	4.7	15.34	7.4	38.12	11.47	15.22	6.62	23.93	70.51	32.59	100.83	48.52	20.41	17.77
NFAT5	38.95	241.19	98.73	49.56	137.14	137.14	69.52	81.71	102.25	191.67	180.02	79.45	78.34	100.83	208.38	136.19	82.87	127.0	217.27	70.01	88.26	128.79	112.77	73.03	21.63	70.51	134.3	176.29	125.24	92.7	75.11	193.01	74.06	70.51	80.57	201.25	62.56	53.95	128.79	69.52	128.79	37.85	191.67	27.64	52.82	122.64	14.67	5.02	12.09	21.47	22.1	60.39	7.46	13.22	23.08	35.25	76.71	20.71	130.6	84.63	63.0	73.03
NFATC2IP	679.29	791.35	463.65	540.19	476.71	470.14	813.63	698.41	547.75	567.1	490.14	503.95	603.67	575.03	497.0	470.14	476.71	674.59	447.82	819.3	819.3	583.07	848.22	579.04	289.02	1073.91	928.3	543.96	521.76	368.65	884.29	579.04	813.63	283.05	293.07	511.0	432.53	279.14	684.02	511.0	934.76	291.04	620.67	260.38	397.93	248.0	50.98	193.01	134.3	205.5	244.57	348.71	283.05	279.14	212.78	332.14	346.29	176.29	325.29	186.4	236.21	170.25
NHLRC2	49.91	165.57	116.78	48.18	84.63	96.68	84.04	82.29	94.01	183.82	121.79	78.34	78.34	77.25	157.68	102.97	82.87	92.7	104.42	74.06	69.03	94.01	98.73	72.01	27.25	73.54	108.9	130.6	102.97	94.67	94.01	118.43	55.1	44.89	70.51	117.6	72.01	42.71	105.15	71.0	136.19	53.95	122.64	29.7	47.84	69.52	66.18	27.84	34.75	69.52	44.89	121.79	43.94	69.52	69.52	58.3	100.83	97.36	198.47	74.06	90.77	55.49
NR2C2	112.77	208.38	115.97	127.0	185.11	239.52	208.38	172.65	202.66	231.32	260.38	191.67	217.27	167.9	212.78	197.09	136.19	232.94	281.09	205.5	199.85	229.72	212.78	202.66	60.82	236.21	241.19	289.02	191.67	163.28	148.09	295.11	186.4	93.35	98.73	255.0	132.44	67.12	246.28	146.03	190.34	109.66	301.33	48.18	202.66	75.64	10.16	50.98	19.25	35.25	37.32	58.71	47.17	34.26	27.64	42.11	111.21	91.41	193.01	133.36	100.13	59.55
OTUD3	44.25	269.6	98.04	83.45	183.82	159.9	95.34	80.01	144.01	199.85	123.5	73.03	111.21	194.36	237.86	127.89	162.14	87.03	96.01	97.36	89.51	209.84	72.01	71.0	39.22	98.04	85.22	159.9	93.35	153.34	80.57	125.24	130.6	65.72	57.08	155.5	70.51	78.34	102.97	79.45	130.6	59.13	120.94	29.06	69.03	24.99	3.99	29.27	4.39	42.71	44.89	74.06	66.18	56.68	50.98	39.79	61.25	40.64	100.83	27.84	36.79	41.81
PANK3	547.75	400.71	299.25	194.36	283.05	323.03	708.18	813.63	275.28	329.84	336.79	267.73	285.03	339.14	356.05	351.14	246.28	890.44	417.77	708.18	486.75	273.37	802.41	540.19	155.5	651.58	854.13	348.71	283.05	264.03	802.41	381.68	540.19	279.14	289.02	251.48	285.03	262.2	500.46	228.13	638.15	241.19	647.07	70.01	92.7	128.79	87.03	205.5	242.88	178.77	114.36	191.67	173.85	162.14	117.6	148.09	275.28	314.17	279.14	100.13	211.31	122.64
PIK3C2B	463.65	483.38	325.29	334.46	293.07	417.77	559.28	629.35	325.29	409.15	387.02	373.81	397.93	206.94	389.72	285.03	392.44	486.75	351.14	483.38	473.41	307.69	651.58	420.68	112.77	669.92	947.83	262.2	423.61	244.57	665.29	307.69	540.19	148.09	156.59	476.71	500.46	165.57	563.18	348.71	483.38	139.07	368.65	60.82	131.51	92.7	6.67	39.5	37.32	54.72	56.28	71.5	23.25	77.79	49.56	84.63	120.1	82.87	50.63	497.0	232.94	289.02
PKN2	373.81	587.13	379.04	295.11	258.57	320.8	620.67	660.68	353.59	450.94	486.75	381.68	346.29	403.5	507.46	476.71	279.14	660.68	432.53	563.18	460.44	339.14	775.05	432.53	191.67	551.56	629.35	480.04	373.81	283.05	616.37	470.14	500.46	260.38	314.17	361.04	297.17	153.34	432.53	371.22	444.72	299.25	543.96	124.37	214.27	171.45	73.54	87.03	65.72	127.89	94.67	232.94	133.36	120.94	104.42	151.22	277.2	214.27	688.78	167.9	215.77	161.02
PLEKHM3	17.0	49.91	33.78	29.27	40.36	65.72	35.76	28.65	39.79	74.06	74.06	40.93	30.12	37.32	65.72	36.53	33.54	43.02	85.82	32.59	37.85	49.21	36.79	35.76	17.51	35.5	38.95	60.82	29.06	31.22	41.81	54.33	24.11	9.48	6.36	32.82	30.12	10.08	49.56	37.59	43.63	17.51	89.51	7.06	7.4	10.16	1.91	11.04	25.91	10.31	11.73	28.86	11.04	5.92	15.45	23.08	106.63	29.91	92.7	9.63	24.99	13.32
PPIP5K2	603.67	684.02	480.04	381.68	450.94	426.57	785.88	674.59	638.15	591.22	444.72	466.88	521.76	447.82	791.35	529.06	397.93	819.3	483.38	896.64	612.11	473.41	928.3	547.75	194.36	684.02	872.1	426.57	420.68	379.04	909.17	718.08	733.19	366.09	371.22	483.38	454.09	343.89	764.36	361.04	607.87	237.86	647.07	175.07	273.37	220.32	133.36	224.97	105.89	135.24	217.27	376.41	183.82	208.38	334.46	195.72	253.23	353.59	497.0	214.27	381.68	191.67
PPP6R3	638.15	1119.56	830.75	693.58	974.5	988.12	896.64	825.0	967.76	1119.56	967.76	872.1	775.05	884.29	1159.07	902.89	866.07	934.76	1096.5	819.3	1059.11	878.17	884.29	909.17	551.56	708.18	830.75	1199.98	915.51	915.51	860.08	1175.27	884.29	860.08	890.44	1111.82	591.22	583.07	1023.0	688.78	1030.12	808.0	1127.35	329.84	688.78	780.44	358.54	273.37	187.71	460.44	480.04	708.18	480.04	555.41	669.92	575.03	748.61	674.59	1437.15	438.59	612.11	647.07
PTAR1	158.79	397.93	209.84	115.97	181.28	195.72	295.11	295.11	183.82	417.77	234.57	171.45	180.02	197.09	303.44	171.45	169.07	414.87	351.14	348.71	172.65	186.4	279.14	314.17	87.03	273.37	323.03	334.46	180.02	199.85	293.07	260.38	218.79	154.42	165.57	271.48	186.4	78.89	293.07	144.01	435.55	134.3	397.93	70.51	110.43	127.0	98.73	83.45	59.13	72.01	60.82	100.83	49.56	58.71	80.57	86.43	74.06	76.17	171.45	111.99	127.89	94.01
RAB30	135.24	329.84	343.89	122.64	336.79	264.03	94.01	170.25	262.2	525.39	255.0	269.6	229.72	177.53	361.04	400.71	226.54	248.0	429.54	76.71	151.22	217.27	164.42	124.37	73.54	48.52	223.41	397.93	223.41	289.02	30.56	361.04	77.79	102.25	99.43	244.57	229.72	119.26	217.27	226.54	237.86	134.3	211.31	60.39	71.0	56.28	10.63	43.63	70.51	33.78	33.54	51.35	49.21	65.26	28.65	63.89	63.0	36.53	72.01	248.0	98.04	53.57
RASA1	291.04	620.67	323.03	248.0	297.17	392.44	303.44	320.8	420.68	563.18	348.71	454.09	339.14	373.81	438.59	551.56	228.13	497.0	493.56	309.83	395.18	341.51	363.56	267.73	187.71	241.19	339.14	500.46	466.88	262.2	373.81	463.65	363.56	303.44	307.69	307.69	305.55	163.28	470.14	303.44	381.68	246.28	423.61	137.14	172.65	158.79	86.43	89.51	75.64	153.34	142.01	212.78	100.13	144.01	112.77	201.25	249.73	312.0	366.09	221.86	217.27	312.0
REL	29.7	56.68	31.0	22.92	27.64	43.94	35.25	63.89	46.18	62.12	46.18	43.32	30.56	41.22	54.72	65.26	39.22	54.33	73.03	43.94	52.82	64.34	78.89	53.19	8.71	43.32	59.13	58.3	71.5	45.21	41.81	38.67	40.07	15.22	24.11	41.22	23.59	24.81	63.89	19.39	65.72	17.38	78.34	8.85	31.22	11.47	0.78	18.43	9.93	10.16	5.45	15.45	5.45	10.55	4.98	12.36	24.28	15.22	33.78	24.28	39.22	14.67
RGP1	532.74	353.59	242.88	229.72	395.18	400.71	463.65	612.11	244.57	356.05	435.55	242.88	244.57	348.71	256.78	371.22	289.02	490.14	325.29	409.15	521.76	283.05	607.87	518.15	246.28	571.05	571.05	348.71	264.03	215.77	543.96	307.69	432.53	228.13	242.88	267.73	178.77	242.88	490.14	215.77	486.75	255.0	409.15	124.37	156.59	532.74	150.17	177.53	94.01	204.07	202.66	157.68	173.85	152.28	194.36	229.72	260.38	273.37	199.85	86.43	283.05	201.25
RHOF	1183.45	599.49	409.15	269.6	444.72	490.14	1175.27	1819.35	483.38	656.11	612.11	400.71	423.61	366.09	612.11	314.17	583.07	1757.34	567.1	1167.14	1242.34	514.56	2664.15	1313.23	258.57	954.43	1769.57	559.28	429.54	381.68	967.76	599.49	728.11	312.0	320.8	728.11	297.17	164.42	1015.93	454.09	708.18	529.06	647.07	141.02	303.44	1870.53	444.72	50.27	24.11	69.52	59.55	73.03	39.5	90.14	70.01	71.5	115.16	79.45	109.66	47.5	525.39	796.86
RNF19A	361.04	1030.12	470.14	435.55	629.35	521.76	842.36	674.59	718.08	684.02	579.04	532.74	540.19	759.08	961.07	480.04	587.13	769.69	796.86	511.0	830.75	723.08	1135.2	656.11	301.33	500.46	599.49	591.22	638.15	759.08	633.73	995.0	738.29	490.14	525.39	764.36	466.88	420.68	728.11	470.14	660.68	285.03	688.78	223.41	507.46	211.31	237.86	323.03	166.73	144.01	281.09	265.87	198.47	146.03	173.85	260.38	295.11	166.73	483.38	351.14	339.14	371.22
RNPC3	242.88	620.67	301.33	327.56	379.04	460.44	287.01	301.33	507.46	575.03	285.03	353.59	579.04	358.54	612.11	334.46	363.56	373.81	409.15	371.22	258.57	435.55	373.81	251.48	166.73	309.83	417.77	660.68	395.18	543.96	363.56	656.11	403.5	170.25	183.82	507.46	384.34	221.86	336.79	285.03	518.15	167.9	438.59	209.84	500.46	140.04	152.28	66.18	26.47	136.19	109.66	144.01	95.34	109.66	127.89	139.07	181.28	71.0	241.19	172.65	218.79	190.34
RSBN1	165.57	246.28	181.28	130.6	208.38	305.55	215.77	285.03	159.9	283.05	190.34	182.55	162.14	212.78	212.78	269.6	178.77	277.2	409.15	234.57	212.78	195.72	265.87	221.86	153.34	144.01	248.0	267.73	159.9	175.07	202.66	305.55	228.13	202.66	163.28	193.01	125.24	77.25	332.14	133.36	226.54	190.34	307.69	66.65	91.41	64.34	38.95	22.75	23.59	82.87	62.56	118.43	77.25	67.12	97.36	83.45	127.0	127.89	293.07	116.78	109.66	81.71
SHPRH	33.78	113.56	66.18	44.89	76.17	115.16	39.5	52.08	68.55	124.37	105.89	66.18	60.82	91.41	102.25	94.01	65.26	92.05	128.79	44.57	52.82	63.45	45.85	67.12	38.67	39.5	44.57	155.5	69.03	71.5	63.45	116.78	57.89	59.55	70.01	86.43	43.63	20.71	105.15	52.08	88.26	40.07	92.7	21.32	35.25	27.05	12.64	9.13	5.23	17.38	17.0	56.28	24.99	17.38	40.93	39.5	22.26	21.63	100.13	37.05	30.56	37.59
SLC12A6	111.21	299.25	95.34	94.01	132.44	166.73	142.01	153.34	135.24	157.68	170.25	96.68	115.16	85.22	167.9	127.89	136.19	180.02	177.53	244.57	214.27	133.36	231.32	132.44	48.87	115.16	258.57	212.78	111.21	122.64	241.19	175.07	144.01	49.91	69.03	109.66	95.34	44.89	267.73	115.16	258.57	57.89	170.25	36.79	46.84	63.89	7.34	18.97	53.95	22.75	12.27	42.71	9.63	21.16	37.05	40.93	60.82	37.32	89.51	242.88	59.13	85.82
SMC5	249.73	409.15	281.09	283.05	260.38	299.25	387.02	293.07	444.72	332.14	275.28	307.69	381.68	325.29	435.55	262.2	277.2	490.14	346.29	332.14	346.29	368.65	301.33	334.46	149.12	318.57	318.57	432.53	329.84	356.05	356.05	361.04	301.33	217.27	244.57	341.51	246.28	185.11	379.04	283.05	366.09	215.77	429.54	70.01	190.34	143.01	29.91	140.04	32.36	106.63	85.22	137.14	93.35	88.88	136.19	127.89	195.72	115.97	289.02	197.09	145.02	122.64
SMCHD1	309.83	651.58	334.46	187.71	417.77	529.06	271.48	361.04	389.72	775.05	551.56	329.84	271.48	392.44	587.13	381.68	339.14	616.37	480.04	283.05	603.67	389.72	579.04	426.57	176.29	206.94	665.29	723.08	309.83	599.49	318.57	642.59	242.88	406.31	389.72	490.14	299.25	140.04	595.34	234.57	532.74	323.03	603.67	152.28	228.13	132.44	34.02	81.71	22.92	155.5	92.7	214.27	76.71	119.26	223.41	193.01	206.94	141.02	417.77	106.63	220.32	78.89
SMCR8	64.34	159.9	48.18	41.52	183.82	173.85	89.51	118.43	62.12	185.11	167.9	58.3	62.12	131.51	92.7	123.5	102.97	158.79	214.27	63.45	141.02	103.69	153.34	120.1	55.49	119.26	166.73	224.97	70.51	44.89	135.24	125.24	78.34	30.34	20.41	46.5	40.64	29.91	201.25	65.72	127.89	42.11	186.4	19.11	30.34	40.93	0.39	11.04	31.45	5.06	11.04	19.68	9.27	14.35	23.93	31.45	92.05	20.41	82.87	13.83	80.01	21.47
SMG1	153.34	379.04	173.85	161.02	202.66	262.2	265.87	368.65	271.48	406.31	318.57	237.86	265.87	293.07	346.29	303.44	176.29	361.04	334.46	264.03	327.56	253.23	417.77	323.03	103.69	253.23	381.68	463.65	204.07	214.27	277.2	312.0	248.0	157.68	175.07	175.07	201.25	109.66	353.59	170.25	497.0	182.55	395.18	85.82	162.14	113.56	9.06	62.12	33.78	73.03	81.14	136.19	97.36	84.63	100.13	120.94	170.25	111.21	289.02	237.86	137.14	88.26
SP1	500.46	854.13	503.95	457.25	703.28	633.73	493.56	718.08	486.75	854.13	514.56	612.11	599.49	642.59	656.11	693.58	414.87	698.41	842.36	587.13	769.69	532.74	928.3	802.41	325.29	563.18	941.27	830.75	575.03	363.56	748.61	603.67	612.11	353.59	327.56	507.46	435.55	275.28	802.41	529.06	872.1	423.61	830.75	172.65	285.03	366.09	68.55	143.01	142.01	244.57	221.86	341.51	256.78	226.54	299.25	320.8	470.14	327.56	429.54	291.04	412.0	271.48
SPRY3	4.98	10.63	6.21	5.19	8.51	5.77	8.25	9.63	9.2	8.38	7.82	8.06	7.69	6.52	9.06	3.96	5.92	5.82	8.65	10.79	10.08	10.71	13.93	6.62	1.83	8.45	12.0	7.88	8.45	4.82	10.24	5.41	8.71	3.5	4.5	7.63	4.24	1.57	8.32	4.94	8.19	4.17	9.34	1.57	6.01	4.94	1.95	2.16	1.41	1.22	0.54	5.68	0.52	1.95	1.27	2.84	2.86	0.95	5.02	2.56	2.48	5.68
STK38	1508.65	1015.93	1104.13	848.22	674.59	884.29	1529.73	1950.0	947.83	934.76	1135.2	1037.29	1119.56	896.64	1044.52	733.19	669.92	1427.22	591.22	1628.26	1721.16	854.13	1745.2	1359.57	579.04	1628.26	1896.65	698.41	947.83	825.0	1617.0	791.35	1857.6	723.08	848.22	896.64	1183.45	728.11	1073.91	638.15	1277.29	988.12	1127.35	429.54	536.45	96.01	11.47	178.77	206.94	265.87	164.42	279.14	166.73	318.57	246.28	536.45	325.29	232.94	314.17	511.0	444.72	193.01
STK4	182.55	265.87	197.09	159.9	193.01	232.94	236.21	224.97	176.29	281.09	206.94	178.77	185.11	231.32	231.32	237.86	156.59	265.87	244.57	175.07	253.23	189.02	244.57	177.53	138.1	153.34	287.01	279.14	187.71	167.9	208.38	178.77	176.29	159.9	171.45	102.97	239.52	110.43	265.87	156.59	318.57	157.68	239.52	100.13	84.63	133.36	24.63	82.87	61.68	65.72	52.82	100.83	52.82	84.63	71.0	79.45	98.73	98.04	167.9	111.21	155.5	90.77
STX17	149.12	301.33	234.57	147.06	246.28	277.2	156.59	157.68	226.54	473.41	327.56	301.33	212.78	253.23	295.11	303.44	180.02	256.78	392.44	166.73	195.72	275.28	154.42	198.47	152.28	182.55	209.84	409.15	299.25	253.23	155.5	334.46	169.07	205.5	187.71	255.0	194.36	132.44	312.0	208.38	236.21	149.12	277.2	125.24	111.99	130.6	49.56	94.67	146.03	142.01	86.43	218.79	147.06	110.43	165.57	178.77	215.77	201.25	329.84	99.43	147.06	125.24
SYT2	1.43	15.11	2.78	2.1	6.84	6.67	1.0	3.32	3.47	13.52	6.36	4.98	4.94	4.1	7.17	2.73	5.96	2.2	5.23	5.41	3.29	4.62	3.14	3.89	1.3	3.56	3.86	8.78	4.9	5.32	2.36	5.82	3.03	1.16	1.64	8.25	5.11	5.06	3.89	2.27	8.58	3.2	10.0	0.0	3.06	0.45	0.0	0.0	0.0	0.51	0.0	0.54	0.0	0.0	0.52	0.96	1.48	0.21	1.73	0.8	0.58	2.39
TAF1	173.85	353.59	208.38	161.02	343.89	497.0	249.73	265.87	246.28	438.59	444.72	190.34	229.72	395.18	303.44	303.44	231.32	320.8	466.88	232.94	236.21	253.23	242.88	271.48	171.45	204.07	251.48	583.07	237.86	269.6	208.38	457.25	291.04	131.51	162.14	267.73	163.28	142.01	400.71	204.07	368.65	129.69	339.14	112.77	136.19	164.42	15.11	55.1	39.79	102.25	117.6	144.01	95.34	86.43	137.14	125.24	147.06	112.77	260.38	161.02	143.01	182.55
TBCCD1	131.51	215.77	163.28	127.0	143.01	197.09	153.34	139.07	178.77	264.03	211.31	134.3	190.34	202.66	180.02	169.07	149.12	208.38	214.27	195.72	131.51	167.9	100.13	140.04	124.37	136.19	182.55	234.57	178.77	108.14	156.59	223.41	162.14	114.36	90.77	111.99	176.29	178.77	193.01	153.34	215.77	126.12	162.14	75.11	102.97	102.25	68.55	100.83	92.7	85.82	76.17	134.3	99.43	96.01	84.63	85.82	94.67	115.16	133.36	146.03	139.07	139.07
TDG	258.57	387.02	334.46	312.0	215.77	343.89	351.14	368.65	341.51	312.0	242.88	318.57	457.25	258.57	376.41	249.73	307.69	371.22	246.28	363.56	325.29	368.65	320.8	353.59	156.59	397.93	397.93	341.51	256.78	258.57	406.31	327.56	361.04	212.78	218.79	256.78	343.89	283.05	389.72	232.94	521.76	202.66	403.5	156.59	241.19	265.87	60.82	166.73	87.65	111.99	194.36	299.25	201.25	151.22	183.82	189.02	211.31	190.34	248.0	217.27	277.2	147.06
TET2	93.35	193.01	104.42	101.54	80.01	97.36	113.56	135.24	112.77	191.67	99.43	124.37	112.77	103.69	167.9	117.6	77.79	144.01	129.69	122.64	131.51	127.89	164.42	87.03	29.91	108.9	197.09	211.31	117.6	70.51	123.5	136.19	104.42	60.82	52.45	101.54	76.71	31.0	130.6	91.41	159.9	34.75	162.14	25.35	65.72	54.33	11.64	8.65	9.85	17.77	28.65	63.89	39.22	37.85	32.59	46.5	71.5	40.93	88.88	77.79	63.45	44.25
TMPPE	22.43	16.03	8.06	7.17	9.48	12.74	20.11	30.12	6.78	14.56	17.64	9.41	6.67	15.0	11.04	17.51	6.16	28.45	13.12	22.1	18.84	10.79	41.81	21.01	7.63	40.64	31.22	16.75	10.79	7.94	31.67	10.47	22.26	5.28	6.26	6.67	8.92	10.0	37.85	11.04	33.54	5.11	21.94	5.41	6.78	28.04	10.96	5.36	3.56	5.68	6.89	6.89	4.35	4.43	9.48	8.58	6.36	6.26	9.63	6.62	8.99	4.94
TRAPPC10	836.53	470.14	309.83	275.28	414.87	384.34	928.3	954.43	368.65	420.68	420.68	353.59	363.56	420.68	384.34	334.46	318.57	902.89	417.77	934.76	890.44	381.68	1127.35	759.08	249.73	909.17	1242.34	463.65	346.29	295.11	1135.2	373.81	825.0	291.04	297.17	309.83	305.55	234.57	808.0	316.37	785.88	287.01	665.29	105.89	190.34	395.18	143.01	148.09	138.1	148.09	161.02	156.59	123.5	100.13	148.09	228.13	161.02	130.6	239.52	133.36	232.94	260.38
TRIM44	249.73	463.65	289.02	209.84	500.46	591.22	232.94	314.17	285.03	591.22	738.29	417.77	316.37	414.87	336.79	486.75	336.79	387.02	638.15	214.27	297.17	406.31	351.14	381.68	228.13	258.57	403.5	607.87	400.71	237.86	295.11	466.88	237.86	223.41	239.52	397.93	287.01	332.14	486.75	285.03	356.05	262.2	493.56	151.22	142.01	218.79	24.28	108.9	277.2	116.78	102.25	156.59	90.77	126.12	128.79	140.04	181.28	119.26	221.86	120.1	194.36	161.02
TRIM56	141.02	186.4	96.01	84.04	258.57	224.97	181.28	195.72	105.89	212.78	172.65	87.65	116.78	138.1	104.42	165.57	162.14	190.34	275.28	186.4	205.5	132.44	323.03	211.31	55.1	206.94	285.03	341.51	98.73	70.01	248.0	167.9	162.14	21.32	49.21	113.56	90.14	94.67	320.8	103.69	226.54	55.1	262.2	77.79	55.1	202.66	4.24	65.72	43.32	48.52	64.8	61.68	28.24	55.1	45.53	81.14	125.24	62.56	121.79	78.89	118.43	133.36
