	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.HM.A3JJ.11A.12R.A21T.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	TCGA.AA.3655.11A.01R.1723.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.ZP4G.1726.SM.4WWCM	GTEX.XGQ4.1226.SM.4AT67	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.SNMC.1126.SM.4DM5M	GTEX.S4UY.0826.SM.4AD4Z	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.ZGAY.2126.SM.4YCFB	GTEX.QEL4.1926.SM.4R1JI	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.146FQ.1126.SM.5NQBM	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AG.3732.11A.01R.1660.07	GTEX.S4P3.0726.SM.4AD57	GTEX.WH7G.1526.SM.4LVMX	GTEX.R55D.1526.SM.48FEJ	TCGA.AX.A2HC.11A.11R.A32Y.07
PFKFB2	64.34	54.72	264.03	277.2	303.44	47.17	309.83	202.66	947.83	866.07	540.19	890.44	444.72	1008.9	251.48	684.02	728.11	65.72	60.39	59.97	43.94	77.25	77.25	105.15	64.34	100.83	186.4	153.34	251.48	73.54	38.67	70.01	49.91
PI4K2B	178.77	199.85	197.09	301.33	226.54	101.54	289.02	371.22	435.55	497.0	279.14	384.34	265.87	483.38	332.14	332.14	470.14	231.32	132.44	93.35	77.25	204.07	255.0	253.23	218.79	256.78	409.15	267.73	283.05	241.19	223.41	195.72	158.79
PLEKHJ1	896.64	1096.5	1806.78	1733.13	2720.15	674.59	2209.26	4123.49	5594.3	4836.35	4419.52	5555.65	3690.52	5255.91	2287.2	3901.01	4802.93	688.78	497.0	497.0	536.45	1304.15	1313.23	830.75	1572.76	974.5	2193.99	3039.3	1127.35	723.08	791.35	884.29	733.19
PRELID2	50.63	81.14	264.03	249.73	224.97	42.41	323.03	497.0	1073.91	728.11	674.59	842.36	532.74	1088.92	323.03	612.11	748.61	42.41	28.45	27.44	28.04	148.09	139.07	112.77	98.73	55.1	260.38	307.69	134.3	80.01	100.13	52.82	74.58
PRKCZ	37.32	60.82	175.07	244.57	339.14	54.72	358.54	595.34	915.51	775.05	728.11	878.17	476.71	1008.9	358.54	603.67	813.63	150.17	57.89	35.25	19.82	84.04	98.04	236.21	277.2	155.5	181.28	346.29	217.27	99.43	123.5	98.04	142.01
PWWP2A	165.57	156.59	273.37	214.27	253.23	163.28	241.19	264.03	341.51	281.09	277.2	358.54	299.25	341.51	232.94	285.03	409.15	122.64	127.89	187.71	144.01	147.06	187.71	186.4	220.32	205.5	232.94	277.2	379.04	131.51	150.17	172.65	132.44
PXMP2	152.28	329.84	802.41	848.22	1378.57	232.94	1378.57	2178.83	2485.67	2664.15	1674.06	3257.52	1844.76	2609.3	860.08	2178.83	2609.3	281.09	195.72	191.67	244.57	624.99	387.02	679.29	493.56	423.61	1322.37	1183.45	728.11	417.77	607.87	579.04	426.57
QARS	2976.74	2627.46	4298.64	4903.87	4836.35	4066.71	4543.8	7433.4	6745.86	7130.55	7180.15	7537.18	5441.3	7130.55	4512.4	6381.92	6337.83	2682.69	1991.0	2335.28	2075.59	2758.13	2997.45	3955.48	2758.13	3768.09	4575.41	4802.93	4239.45	3257.52	2434.5	3124.78	3589.58
RALGPS1	215.77	107.38	246.28	183.82	318.57	246.28	223.41	273.37	395.18	361.04	353.59	392.44	318.57	423.61	336.79	316.37	346.29	48.18	100.13	154.42	178.77	309.83	183.82	271.48	180.02	115.16	212.78	198.47	314.17	198.47	131.51	175.07	51.71
RHBDL2	2.68	12.64	221.86	120.1	134.3	18.84	136.19	249.73	1183.45	1073.91	813.63	974.5	551.56	1096.5	148.09	738.29	1313.23	6.11	0.89	0.0	0.0	10.71	24.11	43.32	15.11	13.03	231.32	251.48	157.68	15.56	15.11	9.2	9.06
RILP	249.73	297.17	420.68	507.46	579.04	258.57	503.95	684.02	1066.48	872.1	947.83	1159.07	612.11	1119.56	414.87	872.1	825.0	204.07	169.07	164.42	218.79	353.59	285.03	223.41	151.22	131.51	483.38	599.49	332.14	860.08	264.03	441.64	376.41
RNF128	0.0	0.66	50.27	98.04	141.02	1.08	190.34	109.66	1628.26	941.27	438.59	830.75	540.19	1081.39	151.22	915.51	842.36	0.0	0.41	0.0	0.0	3.96	25.72	45.21	3.38	5.06	72.01	115.16	85.22	17.25	9.7	8.65	0.67
RNPEP	480.04	748.61	1008.9	1030.12	1870.53	490.14	1286.18	1639.59	2720.15	2367.9	1909.85	2287.2	1572.76	2875.3	1208.34	1991.0	2271.4	1457.23	651.58	624.99	303.44	669.92	656.11	808.0	738.29	638.15	728.11	1639.59	674.59	909.17	698.41	743.43	1051.79
RP11-867G23.8	11.04	40.93	25.35	27.64	62.12	5.82	25.54	182.55	438.59	281.09	212.78	356.05	178.77	387.02	74.58	220.32	212.78	10.31	9.48	5.77	5.36	29.27	49.91	60.39	9.56	10.0	24.28	76.71	15.11	24.81	22.59	25.17	13.62
RTN4IP1	131.51	97.36	126.12	199.85	195.72	119.26	185.11	237.86	273.37	334.46	251.48	281.09	273.37	289.02	218.79	246.28	234.57	80.01	57.08	56.28	63.89	144.01	177.53	175.07	111.99	154.42	191.67	176.29	127.89	75.11	37.85	68.07	100.83
SATB2	11.91	30.12	470.14	204.07	525.39	34.75	447.82	444.72	2287.2	1617.0	915.51	1529.73	890.44	1883.54	314.17	1388.16	1819.35	42.71	41.81	33.3	21.47	13.62	14.78	15.8	18.29	8.85	167.9	490.14	244.57	18.7	10.08	45.85	18.29
SDHA	2178.83	1697.45	3325.99	3982.99	4181.07	2935.74	4123.49	3614.55	5954.47	5995.9	4869.99	6207.38	4388.98	5831.91	3212.66	5255.91	5329.3	1832.01	1745.2	1551.09	2271.4	3039.3	2119.22	3018.3	1832.01	2178.83	2627.46	3928.15	3039.3	1662.49	1437.15	2004.85	1437.15
SEMA4G	7.57	33.06	329.84	150.17	241.19	21.63	267.73	703.28	2119.22	1313.23	1250.98	1909.85	1051.79	2255.7	356.05	1467.37	1977.24	23.08	24.63	57.49	46.18	151.22	64.8	126.12	22.59	41.22	244.57	483.38	307.69	83.45	65.72	139.07	17.64
SGK2	2.73	8.38	293.07	185.11	624.99	40.36	312.0	346.29	2434.5	1651.0	1477.58	2573.36	633.73	3081.75	171.45	2367.9	1540.37	7.46	2.39	10.71	2.94	13.03	6.84	2.76	2.39	11.64	128.79	356.05	140.04	7.28	6.57	8.32	1.81
SLC22A18AS	7.94	29.7	96.68	249.73	186.4	14.35	490.14	329.84	2682.69	2178.83	1242.34	2061.24	872.1	2573.36	170.25	1030.12	1651.0	18.56	30.34	5.63	3.89	8.32	18.97	43.63	7.28	19.25	149.12	96.68	34.26	42.71	8.45	13.93	16.51
SLC25A20	476.71	373.81	457.25	743.43	915.51	318.57	733.19	1037.29	954.43	1066.48	941.27	1059.11	748.61	1208.34	698.41	1183.45	974.5	150.17	190.34	293.07	262.2	486.75	325.29	242.88	202.66	204.07	743.43	595.34	591.22	543.96	480.04	493.56	400.71
SLC35B3	403.5	309.83	400.71	559.28	543.96	218.79	603.67	660.68	1081.39	884.29	708.18	884.29	603.67	1001.93	543.96	808.0	796.86	255.0	264.03	264.03	234.57	297.17	356.05	343.89	454.09	423.61	669.92	583.07	595.34	197.09	206.94	232.94	316.37
SLC35D2	435.55	575.03	599.49	1001.93	1104.13	275.28	1175.27	1923.14	2664.15	1963.57	1508.65	2367.9	1127.35	2434.5	1066.48	1883.54	1977.24	323.03	303.44	387.02	303.44	525.39	575.03	603.67	536.45	532.74	1191.69	995.0	647.07	387.02	423.61	291.04	483.38
SLC3A1	1.77	2.66	138.1	195.72	142.01	18.16	244.57	69.52	2645.74	1216.75	441.64	2032.85	198.47	2555.58	43.32	866.07	967.76	1.99	3.03	4.9	2.89	7.51	10.55	16.88	10.96	10.47	22.75	175.07	111.99	6.06	2.46	4.24	0.0
SLC44A3	29.27	38.67	293.07	246.28	656.11	29.27	486.75	500.46	1561.89	1208.34	674.59	1340.84	915.51	1259.69	341.51	1037.29	1437.15	31.0	16.88	11.73	16.39	71.0	180.02	177.53	158.79	79.45	231.32	251.48	320.8	127.0	74.58	85.22	79.45
SMPDL3A	159.9	389.72	607.87	629.35	547.75	68.07	1437.15	1119.56	6164.49	2434.5	1697.45	3716.2	1023.0	4066.71	470.14	2119.22	2739.08	158.79	99.43	232.94	91.41	165.57	759.08	1757.34	460.44	802.41	1066.48	902.89	703.28	181.28	154.42	151.22	218.79
SOWAHA	0.0	0.32	46.18	47.17	72.52	4.06	98.04	82.87	684.02	486.75	251.48	536.45	202.66	703.28	33.06	563.18	379.04	0.0	0.0	1.35	0.1	3.35	11.3	14.14	22.92	12.55	46.5	88.88	34.02	1.53	2.1	3.32	0.32
SOWAHD	0.89	4.66	7.69	18.16	48.52	3.92	10.88	49.56	82.29	64.8	55.1	101.54	53.19	66.18	12.27	43.02	87.65	3.72	0.91	1.16	0.03	2.97	5.06	6.67	2.48	0.0	13.72	23.76	10.31	3.92	6.84	6.06	6.06
SRI	1883.54	3168.41	4181.07	9876.98	11992.79	1023.0	11664.82	10585.95	31215.04	21320.18	20310.37	32767.0	16727.26	29327.18	8479.89	33688.23	23009.42	3639.7	2591.27	1977.24	1733.13	2627.46	3443.31	2997.45	2335.28	3491.39	9088.59	7803.01	3018.3	2133.97	2664.15	2119.22	2664.15
STRADB	121.79	316.37	246.28	647.07	591.22	191.67	902.89	703.28	1467.37	909.17	540.19	1143.1	708.18	1322.37	497.0	854.13	934.76	329.84	226.54	307.69	221.86	205.5	281.09	297.17	423.61	195.72	403.5	503.95	395.18	339.14	171.45	314.17	125.24
SUCLG2	1397.83	842.36	1757.34	2417.67	2720.15	775.05	2224.63	2682.69	5479.15	4704.07	2627.46	4239.45	3018.3	4450.27	1844.76	4450.27	4903.87	277.2	363.56	647.07	791.35	995.0	1417.35	1883.54	1350.18	1572.76	2367.9	1259.69	2537.92	1143.1	1268.46	693.58	1081.39
SULT1A1	96.68	679.29	921.88	2816.11	988.12	185.11	941.27	2739.08	7642.41	3419.52	4038.61	2240.11	1467.37	4937.99	669.92	3018.3	6426.31	100.83	92.05	241.19	152.28	215.77	256.78	273.37	211.31	102.97	629.35	1447.15	486.75	271.48	198.47	215.77	144.01
SULT1A2	2.27	6.26	120.1	129.69	204.07	23.25	267.73	258.57	2061.24	808.0	753.83	1304.15	395.18	1781.89	98.73	1277.29	967.76	8.65	6.06	21.63	5.54	18.56	10.63	16.39	2.84	3.08	115.16	329.84	106.63	11.55	26.28	33.06	5.32
TAGLN	623486.02	535303.41	485798.0	869603.57	269512.87	3113270.58	343510.77	197294.7	44761.41	75803.72	167058.21	41763.8	163620.18	60304.42	301123.38	81244.48	38164.99	527933.71	857631.47	677564.08	1703415.74	602247.76	731246.37	691801.16	565825.41	632189.57	475800.4	282912.21	561916.97	619179.28	585779.24	610654.84	475800.4
TCEA3	1073.91	397.93	1572.76	2104.58	2417.67	1467.37	1977.24	3124.78	5872.48	4869.99	2485.67	6294.04	3235.01	5403.7	1950.0	3847.29	4836.35	287.01	325.29	423.61	470.14	1572.76	1397.83	2335.28	1037.29	1359.57	1923.14	1721.16	1697.45	420.68	220.32	307.69	343.89
TDRD7	285.03	273.37	312.0	414.87	429.54	271.48	432.53	426.57	665.29	559.28	473.41	551.56	447.82	543.96	353.59	447.82	620.67	197.09	275.28	260.38	289.02	299.25	379.04	228.13	297.17	264.03	414.87	361.04	403.5	242.88	307.69	223.41	234.57
TLDC2	18.97	21.16	264.03	177.53	201.25	58.3	273.37	387.02	460.44	423.61	309.83	476.71	244.57	529.06	221.86	470.14	567.1	111.21	136.19	329.84	106.63	67.12	40.36	16.39	24.28	17.0	356.05	325.29	155.5	78.89	211.31	91.41	15.11
TM6SF2	9.27	39.5	54.33	61.68	22.75	4.13	118.43	60.39	603.67	167.9	172.65	318.57	46.18	587.13	41.22	297.17	152.28	21.47	6.89	9.34	6.94	10.16	27.84	22.1	15.22	4.58	55.49	75.11	41.22	38.12	40.36	43.63	35.25
TMEM150B	24.11	10.16	111.21	181.28	157.68	13.83	102.25	197.09	1051.79	571.05	480.04	947.83	195.72	1119.56	80.01	460.44	587.13	53.19	25.91	37.85	15.56	25.54	12.93	2.97	4.82	3.23	118.43	231.32	55.1	234.57	47.17	114.36	8.85
TMEM236	2.2	3.56	45.21	98.04	98.04	10.55	163.28	80.01	1104.13	384.34	287.01	460.44	151.22	575.03	28.86	90.14	444.72	2.36	3.38	6.41	2.29	1.6	4.94	1.75	0.0	1.22	59.97	37.05	54.33	15.68	0.0	18.7	0.8
TMEM37	69.52	56.68	507.46	295.11	1745.2	24.99	555.41	703.28	4937.99	2287.2	1819.35	4512.4	769.69	5147.73	258.57	5329.3	2047.0	59.55	42.71	51.35	19.53	166.73	137.14	161.02	71.0	48.18	236.21	674.59	223.41	143.01	111.99	123.5	113.56
TMEM54	1167.14	1806.78	4512.4	4972.34	8247.98	902.89	6561.36	8778.97	26614.89	17558.94	21617.82	22225.61	12415.75	22380.2	5831.91	13872.08	17197.56	3639.7	2271.4	1216.75	1277.29	2956.17	1250.98	1350.18	1167.14	660.68	4358.66	6337.83	1651.0	1857.6	2537.92	1909.85	1639.59
TMEM62	158.79	218.79	373.81	486.75	450.94	316.37	466.88	514.56	587.13	583.07	514.56	529.06	444.72	733.19	441.64	536.45	514.56	246.28	351.14	283.05	224.97	215.77	329.84	507.46	264.03	647.07	514.56	420.68	397.93	228.13	256.78	368.65	144.01
TMEM9B	348.71	656.11	941.27	836.53	1111.82	146.03	1407.55	1745.2	2163.77	1832.01	1551.09	2148.82	1477.58	2209.26	981.29	1870.53	1936.53	309.83	454.09	329.84	143.01	575.03	525.39	718.08	723.08	713.11	2351.53	1529.73	981.29	555.41	595.34	616.37	583.07
TOR2A	71.5	175.07	283.05	379.04	395.18	92.05	336.79	665.29	785.88	688.78	571.05	780.44	603.67	860.08	392.44	514.56	753.83	363.56	224.97	144.01	74.58	180.02	120.94	198.47	242.88	202.66	318.57	473.41	180.02	234.57	205.5	299.25	165.57
TPSG1	37.59	21.78	242.88	229.72	271.48	67.59	403.5	854.13	1030.12	1407.55	1259.69	1561.89	660.68	1963.57	301.33	698.41	941.27	31.22	50.63	53.57	242.88	80.01	36.79	29.06	5.15	14.35	277.2	447.82	346.29	68.07	97.36	121.79	16.51
TRPM6	1.33	33.54	94.67	40.64	72.01	8.38	193.01	60.82	1023.0	429.54	591.22	934.76	195.72	1081.39	19.97	866.07	684.02	13.83	24.46	17.9	10.31	6.89	4.78	1.83	9.48	2.34	67.59	218.79	138.1	25.35	16.27	36.53	10.79
TTC38	299.25	412.0	967.76	860.08	2997.45	366.09	2119.22	1487.87	4095.0	2032.85	1819.35	2485.67	1697.45	2777.33	941.27	1936.53	2468.49	414.87	343.89	463.65	336.79	368.65	454.09	480.04	612.11	624.99	890.44	1199.98	738.29	384.34	660.68	563.18	493.56
TTPA	1.33	0.8	19.97	22.75	32.13	5.96	20.11	57.89	116.78	116.78	43.63	77.79	40.36	114.36	24.99	94.67	105.89	0.0	1.53	0.88	4.03	8.58	1.93	3.53	3.79	0.8	37.85	21.47	36.27	17.0	33.3	43.32	0.44
USH1C	37.05	6.21	301.33	381.68	684.02	13.93	563.18	1313.23	5517.27	3982.99	3349.13	5147.73	2451.44	4671.57	536.45	3349.13	4268.94	0.0	3.14	0.79	2.05	67.59	5.63	4.28	1.38	1.73	323.03	713.11	239.52	22.92	14.67	9.41	3.72
VIL1	15.34	22.26	1378.57	583.07	1685.71	13.32	830.75	884.29	13681.08	11424.74	6381.92	9540.5	6207.38	12160.22	1378.57	6607.01	9409.14	18.56	15.0	9.41	10.24	6.84	24.99	9.7	16.75	11.82	149.12	1359.57	414.87	2.86	5.45	16.27	16.03
VILL	68.07	172.65	633.73	693.58	1081.39	121.79	785.88	1216.75	4268.94	2720.15	2133.97	3768.09	1605.83	4512.4	718.08	2032.85	2875.3	34.02	32.36	71.5	50.98	128.79	212.78	194.36	100.13	50.27	384.34	981.29	327.56	157.68	102.25	123.5	198.47
VSIG10	121.79	158.79	441.64	273.37	521.76	113.56	551.56	780.44	1127.35	890.44	638.15	1088.92	551.56	1183.45	420.68	967.76	896.64	141.02	118.43	162.14	166.73	236.21	208.38	275.28	156.59	165.57	351.14	551.56	400.71	191.67	253.23	181.28	191.67
XYLB	47.84	21.63	46.5	44.25	59.55	22.92	82.29	66.18	130.6	120.1	89.51	167.9	74.58	167.9	87.65	71.0	120.94	22.43	18.29	21.94	18.43	39.5	24.63	28.86	57.08	16.63	27.84	43.63	57.49	35.5	30.34	26.67	22.43
ZDHHC12	348.71	420.68	884.29	1044.52	1340.84	271.48	1051.79	2148.82	3060.45	2875.3	2271.4	3081.75	1628.26	2935.74	1127.35	1977.24	2319.15	896.64	329.84	144.01	92.7	579.04	529.06	1096.5	733.19	808.0	769.69	1369.04	466.88	872.1	791.35	559.28	616.37
ZDHHC3	934.76	1073.91	1551.09	1427.22	1594.73	902.89	1529.73	1832.01	2555.58	2240.11	2004.85	2032.85	1870.53	2384.37	1540.37	2163.77	2224.63	995.0	988.12	921.88	909.17	1331.57	1081.39	1111.82	1183.45	1008.9	1529.73	1697.45	1208.34	1143.1	1745.2	1175.27	1104.13
ZDHHC6	361.04	540.19	669.92	559.28	791.35	503.95	583.07	808.0	703.28	785.88	656.11	830.75	718.08	813.63	603.67	665.29	866.07	583.07	473.41	587.13	403.5	356.05	571.05	629.35	532.74	603.67	830.75	616.37	688.78	473.41	435.55	438.59	414.87
ZFAND2B	1030.12	1015.93	1191.69	1268.46	1359.57	836.53	1467.37	1963.57	2032.85	1857.6	1617.0	1977.24	1508.65	2032.85	1268.46	1794.29	1950.0	896.64	587.13	698.41	738.29	1216.75	1208.34	1183.45	1151.06	934.76	1407.55	1313.23	909.17	1143.1	981.29	928.3	813.63
ZNF774	24.63	26.67	74.58	40.64	57.49	15.68	61.68	96.68	133.36	88.88	72.01	105.89	73.03	113.56	50.98	114.36	108.14	6.46	21.47	20.26	23.08	43.02	37.32	48.87	24.81	16.39	82.29	43.63	63.45	43.32	13.22	18.7	36.53
hsa-mir-1199	31.0	50.63	215.77	159.9	291.04	58.3	256.78	444.72	620.67	718.08	470.14	728.11	417.77	723.08	234.57	483.38	651.58	36.53	34.75	43.94	66.18	265.87	69.03	82.29	129.69	53.95	158.79	366.09	108.9	53.95	85.82	127.0	18.56
