	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.HM.A3JJ.11A.12R.A21T.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.CM.6167.01A.11R.1653.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.13PL7.0526.SM.5J2MQ	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.ZVZP.1426.SM.5NQ7R	GTEX.XUZC.0326.SM.4BOO8	GTEX.1212Z.2026.SM.5N9EA	GTEX.UJHI.0926.SM.4IHKF	GTEX.145MO.1526.SM.5QGQC	GTEX.U3ZH.1126.SM.4DXUG	GTEX.QLQW.0626.SM.447A6	GTEX.146FQ.1126.SM.5NQBM	GTEX.ZP4G.0926.SM.4WWF4	GTEX.ZAB5.1026.SM.5HL91	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.XBEW.1426.SM.4AT4J	TCGA.EJ.7783.11A.01R.2118.07	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AG.3732.11A.01R.1660.07	TCGA.FP.7735.11A.01R.2055.13	GTEX.WH7G.1526.SM.4LVMX	GTEX.R55D.1526.SM.48FEJ	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.AX.A0J0.11A.11R.A27V.07	TCGA.FL.A1YG.11A.12R.A16F.07	GTEX.ZP4G.0726.SM.4WWF2	GTEX.13D11.1226.SM.5IFGA	GTEX.PWN1.2026.SM.48TD9	GTEX.11EM3.1926.SM.5987U	GTEX.ZXES.0726.SM.5E451	GTEX.R55G.1626.SM.48FF4	GTEX.145ME.1326.SM.5O98Q	GTEX.U3ZN.0726.SM.4DXT5	GTEX.ZYWO.2126.SM.5GZXF	GTEX.T6MO.1526.SM.4DM57
MEX3C	395.18	426.57	251.48	325.29	336.79	409.15	297.17	265.87	301.33	323.03	381.68	323.03	325.29	156.59	217.27	214.27	178.77	205.5	191.67	176.29	186.4	301.33	229.72	228.13	228.13	305.55	197.09	236.21	195.72	234.57	253.23	423.61	287.01	403.5	336.79	237.86	341.51	239.52	551.56	260.38	301.33	540.19	353.59	587.13	642.59	595.34	607.87	450.94	368.65	579.04	1030.12	571.05	575.03
MKRN2	463.65	447.82	483.38	486.75	486.75	414.87	497.0	511.0	583.07	400.71	493.56	547.75	429.54	279.14	351.14	285.03	356.05	379.04	281.09	341.51	389.72	435.55	341.51	400.71	423.61	441.64	441.64	381.68	348.71	511.0	476.71	543.96	470.14	529.06	583.07	497.0	518.15	371.22	738.29	400.71	579.04	669.92	583.07	571.05	759.08	674.59	647.07	441.64	629.35	836.53	638.15	902.89	603.67
MRFAP1L1	1277.29	1427.22	1378.57	1745.2	1369.04	1594.73	1088.92	1388.16	1540.37	915.51	1023.0	1023.0	896.64	928.3	1023.0	728.11	1191.69	921.88	684.02	941.27	718.08	1044.52	802.41	1096.5	934.76	1159.07	579.04	616.37	1127.35	2090.03	1233.75	1498.22	1508.65	1388.16	1757.34	1697.45	1628.26	1096.5	934.76	1015.93	1950.0	2739.08	2255.7	2537.92	3639.7	2816.11	2485.67	3564.78	2075.59	2417.67	3349.13	2434.5	2287.2
NKAP	358.54	400.71	403.5	417.77	361.04	551.56	283.05	351.14	379.04	303.44	301.33	325.29	293.07	273.37	303.44	232.94	316.37	229.72	277.2	220.32	314.17	307.69	309.83	287.01	269.6	285.03	277.2	206.94	291.04	470.14	463.65	486.75	403.5	414.87	507.46	373.81	392.44	291.04	325.29	309.83	348.71	497.0	454.09	414.87	536.45	325.29	447.82	511.0	353.59	339.14	463.65	603.67	432.53
NOB1	813.63	1023.0	909.17	1081.39	1277.29	1350.18	860.08	915.51	728.11	902.89	808.0	540.19	624.99	441.64	595.34	559.28	669.92	684.02	559.28	587.13	521.76	693.58	567.1	674.59	624.99	612.11	480.04	547.75	547.75	878.17	1023.0	1073.91	872.1	995.0	941.27	928.3	890.44	796.86	587.13	656.11	1151.06	1467.37	1457.23	1233.75	1697.45	1313.23	1208.34	1819.35	1498.22	1159.07	1819.35	1561.89	1594.73
NUFIP1	74.58	90.77	82.87	88.26	77.25	133.36	82.29	75.11	82.87	90.77	66.65	71.5	70.51	59.55	80.01	57.49	50.98	59.97	40.36	55.89	30.12	66.65	62.12	86.43	59.13	62.12	32.59	49.91	61.25	92.05	77.25	62.12	96.68	104.42	110.43	83.45	96.68	75.11	55.89	59.97	91.41	173.85	116.78	177.53	142.01	206.94	156.59	128.79	96.01	125.24	147.06	181.28	94.67
PDCL	269.6	231.32	206.94	314.17	249.73	316.37	224.97	285.03	265.87	206.94	249.73	175.07	176.29	69.03	143.01	138.1	143.01	135.24	112.77	135.24	114.36	154.42	132.44	165.57	154.42	226.54	108.9	136.19	127.89	323.03	217.27	218.79	305.55	191.67	293.07	346.29	339.14	190.34	262.2	189.02	392.44	567.1	341.51	463.65	540.19	376.41	450.94	518.15	387.02	466.88	463.65	476.71	438.59
PDS5B	669.92	381.68	423.61	409.15	387.02	514.56	387.02	323.03	511.0	423.61	397.93	334.46	384.34	279.14	277.2	260.38	267.73	332.14	146.03	289.02	343.89	309.83	353.59	320.8	305.55	318.57	253.23	264.03	267.73	497.0	249.73	579.04	400.71	289.02	587.13	341.51	551.56	325.29	327.56	480.04	361.04	647.07	579.04	620.67	796.86	441.64	400.71	599.49	521.76	753.83	420.68	447.82	423.61
PFDN4	954.43	1233.75	1127.35	1437.15	1059.11	2502.97	708.18	1081.39	1073.91	1397.83	651.58	743.43	638.15	348.71	624.99	432.53	476.71	381.68	759.08	629.35	759.08	616.37	423.61	713.11	503.95	890.44	825.0	532.74	616.37	1378.57	1081.39	1127.35	1023.0	825.0	860.08	1721.16	1225.22	860.08	928.3	753.83	1388.16	1628.26	1388.16	1304.15	2485.67	1051.79	1467.37	2004.85	1662.49	1991.0	2875.3	1794.29	1794.29
PHF16	156.59	190.34	173.85	171.45	97.36	169.07	101.54	90.14	122.64	87.65	72.01	87.03	92.05	52.82	77.25	68.07	77.79	78.89	55.1	65.26	68.07	77.25	80.57	110.43	77.79	150.17	64.8	71.0	88.26	148.09	113.56	177.53	162.14	172.65	141.02	84.63	127.89	76.17	52.45	57.49	105.15	217.27	122.64	119.26	307.69	130.6	134.3	299.25	123.5	147.06	361.04	161.02	204.07
PIGC	612.11	713.11	638.15	848.22	890.44	921.88	660.68	728.11	693.58	551.56	426.57	397.93	435.55	483.38	579.04	392.44	656.11	514.56	412.0	543.96	483.38	490.14	409.15	603.67	575.03	587.13	329.84	412.0	583.07	802.41	1143.1	802.41	961.07	688.78	928.3	1044.52	753.83	457.25	511.0	395.18	854.13	1191.69	896.64	1427.22	1417.35	1066.48	1350.18	1540.37	915.51	713.11	1733.13	1508.65	1119.56
PLRG1	928.3	1030.12	974.5	1096.5	941.27	947.83	909.17	1044.52	1167.14	909.17	1008.9	872.1	954.43	780.44	808.0	591.22	669.92	775.05	785.88	769.69	647.07	860.08	921.88	738.29	791.35	791.35	579.04	624.99	1008.9	1081.39	961.07	718.08	896.64	967.76	941.27	1175.27	1183.45	775.05	825.0	819.3	1081.39	1304.15	1127.35	988.12	1487.87	1023.0	1051.79	1242.34	1044.52	1216.75	1572.76	1151.06	981.29
POLR3C	429.54	532.74	503.95	483.38	447.82	679.29	414.87	466.88	423.61	441.64	483.38	403.5	397.93	351.14	403.5	262.2	368.65	417.77	309.83	334.46	346.29	376.41	373.81	381.68	403.5	293.07	178.77	242.88	353.59	480.04	435.55	373.81	450.94	397.93	540.19	466.88	476.71	473.41	521.76	412.0	529.06	543.96	470.14	591.22	571.05	603.67	607.87	656.11	490.14	547.75	669.92	447.82	559.28
PPHLN1	896.64	684.02	684.02	902.89	902.89	1001.93	753.83	848.22	791.35	915.51	769.69	713.11	693.58	660.68	547.75	511.0	547.75	587.13	403.5	583.07	521.76	591.22	511.0	665.29	679.29	529.06	647.07	540.19	703.28	921.88	819.3	836.53	890.44	830.75	1111.82	1119.56	854.13	647.07	813.63	753.83	902.89	1143.1	896.64	1225.22	1066.48	1417.35	1378.57	1081.39	1313.23	947.83	1183.45	921.88	1037.29
PPP1R8	848.22	764.36	988.12	995.0	791.35	723.08	723.08	796.86	909.17	603.67	638.15	575.03	503.95	507.46	575.03	426.57	603.67	575.03	299.25	500.46	332.14	511.0	567.1	708.18	647.07	693.58	312.0	400.71	540.19	1044.52	693.58	759.08	842.36	854.13	1104.13	1081.39	842.36	688.78	808.0	612.11	928.3	1208.34	1119.56	1331.57	1250.98	1199.98	1216.75	1208.34	1216.75	1051.79	1277.29	1242.34	1127.35
PSMD10	1199.98	915.51	921.88	1111.82	819.3	1015.93	718.08	947.83	802.41	866.07	775.05	813.63	693.58	476.71	490.14	575.03	575.03	518.15	579.04	616.37	454.09	595.34	693.58	753.83	599.49	808.0	638.15	470.14	540.19	1295.13	1268.46	1175.27	1277.29	1216.75	1572.76	1322.37	1015.93	819.3	872.1	842.36	1242.34	1378.57	1583.71	1477.58	1819.35	1508.65	1295.13	1073.91	1498.22	1407.55	1781.89	1709.26	1191.69
RNF139	603.67	647.07	591.22	607.87	521.76	486.75	414.87	511.0	567.1	559.28	543.96	567.1	483.38	444.72	444.72	348.71	420.68	441.64	277.2	387.02	293.07	316.37	457.25	454.09	420.68	397.93	301.33	320.8	373.81	591.22	540.19	674.59	567.1	595.34	583.07	780.44	599.49	441.64	638.15	457.25	633.73	872.1	607.87	909.17	1030.12	941.27	1066.48	974.5	718.08	665.29	961.07	791.35	808.0
RNF219	187.71	191.67	197.09	163.28	141.02	224.97	127.89	150.17	159.9	157.68	149.12	109.66	105.15	100.83	109.66	73.03	80.01	94.67	47.84	83.45	64.8	125.24	69.03	136.19	98.73	154.42	65.72	105.15	119.26	204.07	121.79	127.89	137.14	110.43	166.73	178.77	206.94	102.97	105.89	118.43	190.34	239.52	175.07	260.38	303.44	224.97	269.6	249.73	228.13	176.29	241.19	214.27	173.85
SLC4A1AP	309.83	353.59	353.59	366.09	363.56	371.22	297.17	323.03	341.51	295.11	295.11	301.33	325.29	289.02	260.38	265.87	241.19	271.48	215.77	256.78	236.21	251.48	283.05	305.55	303.44	307.69	248.0	273.37	293.07	384.34	305.55	323.03	371.22	343.89	403.5	303.44	341.51	215.77	255.0	283.05	346.29	444.72	309.83	363.56	384.34	351.14	371.22	356.05	356.05	397.93	397.93	371.22	277.2
SMARCE1	2997.45	3103.19	3372.43	3614.55	2591.27	3280.18	2367.9	2796.65	3372.43	2935.74	2047.0	2351.53	1844.76	1467.37	1844.76	1427.22	1806.78	1733.13	1104.13	1477.58	1487.87	2047.0	1844.76	2997.45	2178.83	2915.45	1594.73	1487.87	2018.8	3419.52	2573.36	2384.37	3349.13	2956.17	3443.31	3280.18	3018.3	2075.59	3235.01	2627.46	3614.55	4869.99	5183.54	6079.61	5479.15	5441.3	5791.62	6699.25	4450.27	6840.04	7382.04	4639.29	4038.61
SMC3	813.63	599.49	587.13	563.18	629.35	651.58	571.05	521.76	642.59	703.28	563.18	603.67	483.38	429.54	403.5	256.78	444.72	366.09	281.09	454.09	361.04	457.25	301.33	555.41	551.56	674.59	414.87	293.07	414.87	540.19	476.71	575.03	583.07	463.65	660.68	476.71	759.08	371.22	651.58	423.61	575.03	896.64	603.67	764.36	1183.45	620.67	808.0	954.43	555.41	1015.93	830.75	1143.1	743.43
SMG8	156.59	186.4	170.25	161.02	197.09	239.52	124.37	197.09	143.01	116.78	220.32	120.94	142.01	154.42	151.22	59.55	123.5	158.79	42.11	155.5	56.28	157.68	173.85	144.01	150.17	167.9	37.32	68.07	139.07	185.11	208.38	151.22	239.52	197.09	194.36	154.42	197.09	162.14	153.34	159.9	173.85	258.57	170.25	258.57	307.69	271.48	258.57	281.09	226.54	193.01	279.14	299.25	256.78
SMNDC1	466.88	583.07	441.64	463.65	493.56	616.37	420.68	490.14	454.09	651.58	532.74	511.0	483.38	341.51	356.05	260.38	323.03	309.83	281.09	305.55	301.33	363.56	334.46	403.5	389.72	514.56	361.04	260.38	368.65	514.56	414.87	486.75	432.53	529.06	567.1	603.67	555.41	346.29	480.04	395.18	460.44	656.11	521.76	612.11	684.02	616.37	591.22	525.39	426.57	647.07	620.67	825.0	579.04
SNRPB2	896.64	884.29	902.89	1030.12	941.27	1208.34	738.29	928.3	860.08	988.12	633.73	647.07	647.07	674.59	656.11	503.95	688.78	629.35	612.11	551.56	583.07	571.05	718.08	769.69	571.05	860.08	514.56	547.75	693.58	1096.5	981.29	915.51	967.76	1023.0	1268.46	1199.98	921.88	1015.93	988.12	1119.56	1073.91	1605.83	1225.22	1304.15	1909.85	1857.6	1437.15	1519.15	1721.16	1304.15	1832.01	1721.16	1216.75
SNW1	1037.29	1359.57	1088.92	1233.75	1216.75	1295.13	1096.5	1151.06	1191.69	1378.57	1051.79	1001.93	915.51	842.36	1044.52	629.35	1167.14	1023.0	813.63	954.43	775.05	796.86	896.64	1051.79	896.64	1008.9	728.11	642.59	896.64	1225.22	974.5	1151.06	1286.18	1167.14	1388.16	1143.1	1286.18	921.88	674.59	928.3	1183.45	1594.73	1369.04	1427.22	1721.16	1159.07	1832.01	1977.24	1143.1	1151.06	1561.89	1721.16	1639.59
SNX18	314.17	351.14	336.79	267.73	271.48	384.34	241.19	273.37	305.55	161.02	226.54	152.28	228.13	98.04	269.6	271.48	162.14	143.01	132.44	191.67	166.73	208.38	91.41	318.57	206.94	224.97	106.63	209.84	166.73	334.46	236.21	384.34	363.56	500.46	379.04	246.28	376.41	226.54	1183.45	150.17	299.25	376.41	896.64	454.09	579.04	346.29	409.15	295.11	334.46	493.56	336.79	432.53	748.61
SP3	775.05	665.29	660.68	748.61	575.03	909.17	647.07	674.59	647.07	902.89	651.58	543.96	555.41	325.29	351.14	441.64	397.93	379.04	351.14	420.68	460.44	454.09	358.54	435.55	483.38	547.75	454.09	429.54	336.79	708.18	703.28	819.3	703.28	521.76	890.44	785.88	1008.9	466.88	693.58	463.65	660.68	1286.18	866.07	1051.79	1397.83	872.1	708.18	1088.92	543.96	775.05	988.12	981.29	961.07
SPIN1	1119.56	848.22	934.76	1242.34	1030.12	1183.45	961.07	902.89	1208.34	1208.34	1159.07	1104.13	961.07	769.69	733.19	780.44	551.56	785.88	583.07	808.0	884.29	1088.92	693.58	764.36	860.08	934.76	1277.29	1001.93	848.22	1350.18	1073.91	1359.57	1143.1	1066.48	1151.06	1051.79	1340.84	759.08	921.88	703.28	1225.22	2004.85	1950.0	1628.26	2133.97	2240.11	1519.15	1397.83	1388.16	1883.54	3235.01	1794.29	1628.26
SSBP1	2976.74	2835.7	2935.74	3280.18	3614.55	4607.24	2434.5	3212.66	3039.3	2468.49	2224.63	2384.37	2367.9	2303.12	2104.58	1628.26	2303.12	2047.0	2319.15	2090.03	2573.36	1991.0	2319.15	2915.45	2367.9	2609.3	2032.85	1923.14	2287.2	3303.0	3768.09	2976.74	3639.7	3081.75	4802.93	4358.66	3168.41	3212.66	2777.33	2720.15	3325.99	4038.61	3491.39	3589.58	4575.41	4607.24	4704.07	4903.87	5076.84	3540.14	3742.05	4481.23	3665.02
ST13	7130.55	8305.36	7966.99	7081.29	6250.56	6516.03	5954.47	6337.83	8718.32	5183.54	4802.93	6471.02	4769.75	3039.3	4512.4	2935.74	3443.31	3325.99	3146.52	4095.0	3716.2	3665.02	5041.77	4736.79	4268.94	5076.84	2997.45	2319.15	3124.78	7230.1	8598.28	9279.58	8658.09	5913.33	8901.53	6471.02	8022.41	7642.41	4903.87	4481.23	10296.45	10959.3	8718.32	9740.98	9540.5	6792.79	13586.57	19082.0	6652.97	10014.87	13586.57	9945.68	12415.75
TAGLN	554180.87	459592.86	623486.02	535303.41	585779.24	440870.9	485798.0	869603.57	3113270.58	857631.47	677564.08	1703415.74	425853.18	286861.53	299043.36	249727.34	334117.42	303217.87	355624.68	145432.49	275175.93	311742.51	273275.14	602247.76	280957.98	456418.21	318292.9	273275.14	313910.86	731246.37	573724.06	565825.41	691801.16	565825.41	632189.57	475800.4	561916.97	485798.0	585779.24	610654.84	475800.4	193234.41	509950.32	606436.73	140478.49	466008.55	290865.98	279017.26	425853.18	386469.83	145432.49	353168.2	320506.81
TEX30	395.18	172.65	162.14	791.35	180.02	316.37	133.36	167.9	140.04	221.86	147.06	157.68	140.04	63.89	96.68	78.34	115.16	100.83	120.94	63.45	100.83	80.57	141.02	124.37	102.25	143.01	171.45	90.77	92.05	204.07	189.02	285.03	98.73	186.4	251.48	283.05	186.4	108.9	103.69	102.25	224.97	320.8	236.21	595.34	341.51	376.41	256.78	279.14	1104.13	420.68	438.59	819.3	329.84
TMA16	309.83	312.0	307.69	454.09	400.71	423.61	273.37	379.04	253.23	316.37	249.73	237.86	220.32	150.17	197.09	181.28	180.02	151.22	181.28	156.59	191.67	224.97	162.14	260.38	212.78	214.27	152.28	151.22	193.01	325.29	264.03	269.6	295.11	361.04	417.77	423.61	312.0	231.32	371.22	162.14	387.02	607.87	521.76	703.28	454.09	651.58	819.3	551.56	674.59	579.04	629.35	575.03	669.92
TMEM123	2119.22	2090.03	1369.04	5672.41	3395.89	3280.18	2178.83	3847.29	5751.61	2417.67	1407.55	1519.15	1340.84	612.11	1001.93	988.12	1023.0	988.12	769.69	1111.82	1119.56	1159.07	708.18	1044.52	1340.84	1697.45	1313.23	967.76	961.07	1896.65	2148.82	3665.02	2061.24	1508.65	2271.4	4298.64	5329.3	2367.9	1781.89	2075.59	5954.47	8421.31	4388.98	15285.81	5255.91	8778.97	11745.96	16383.0	3901.01	9808.75	10368.08	15285.81	6516.03
TRMT10C	400.71	476.71	389.72	358.54	403.5	435.55	327.56	400.71	271.48	353.59	353.59	314.17	305.55	291.04	269.6	135.24	258.57	295.11	158.79	246.28	132.44	239.52	256.78	293.07	293.07	242.88	92.05	134.3	273.37	432.53	356.05	291.04	339.14	400.71	325.29	693.58	457.25	432.53	262.2	392.44	400.71	674.59	447.82	559.28	915.51	708.18	642.59	708.18	616.37	536.45	603.67	616.37	624.99
TRUB1	229.72	183.82	181.28	241.19	162.14	244.57	169.07	232.94	208.38	124.37	137.14	105.15	136.19	69.03	85.22	99.43	75.11	78.34	95.34	74.58	96.68	128.79	88.88	141.02	131.51	133.36	100.13	138.1	107.38	303.44	217.27	183.82	269.6	231.32	305.55	366.09	275.28	115.16	154.42	140.04	215.77	379.04	299.25	612.11	301.33	395.18	253.23	267.73	447.82	314.17	309.83	353.59	269.6
TSN	928.3	708.18	775.05	854.13	1015.93	928.3	728.11	860.08	738.29	854.13	684.02	638.15	540.19	420.68	480.04	441.64	387.02	480.04	305.55	466.88	297.17	551.56	532.74	642.59	493.56	647.07	316.37	450.94	441.64	884.29	651.58	547.75	748.61	748.61	1111.82	954.43	974.5	665.29	713.11	647.07	995.0	1233.75	995.0	1268.46	1277.29	1437.15	1286.18	1322.37	1369.04	866.07	1304.15	1175.27	1059.11
TTC26	72.01	49.91	53.95	63.45	59.13	97.36	46.84	36.27	71.5	58.71	75.11	54.33	47.84	26.67	38.95	33.06	28.04	33.06	29.06	24.63	32.82	41.81	34.26	54.72	35.76	33.54	46.18	43.02	32.82	45.53	39.79	33.54	54.72	70.51	120.1	65.26	63.89	44.89	59.97	43.94	56.68	108.9	79.45	85.82	201.25	113.56	73.03	80.01	80.57	119.26	141.02	161.02	61.68
UBL3	490.14	571.05	518.15	902.89	397.93	470.14	511.0	616.37	511.0	264.03	334.46	339.14	674.59	305.55	412.0	307.69	368.65	316.37	279.14	325.29	417.77	301.33	283.05	417.77	353.59	460.44	447.82	356.05	323.03	473.41	543.96	743.43	483.38	473.41	633.73	769.69	728.11	406.31	583.07	348.71	902.89	1175.27	1159.07	1268.46	1388.16	1477.58	825.0	1457.23	830.75	1073.91	1457.23	941.27	1030.12
UBTD2	387.02	301.33	273.37	525.39	248.0	371.22	291.04	314.17	289.02	305.55	309.83	281.09	262.2	205.5	202.66	275.28	201.25	249.73	208.38	190.34	221.86	236.21	265.87	279.14	218.79	267.73	173.85	248.0	201.25	327.56	309.83	271.48	231.32	299.25	336.79	361.04	400.71	249.73	363.56	323.03	417.77	599.49	470.14	775.05	854.13	563.18	253.23	432.53	543.96	529.06	759.08	819.3	595.34
VAMP7	444.72	341.51	329.84	358.54	297.17	366.09	279.14	341.51	320.8	265.87	287.01	228.13	220.32	144.01	165.57	169.07	191.67	187.71	144.01	140.04	176.29	157.68	176.29	211.31	218.79	194.36	153.34	137.14	189.02	307.69	224.97	329.84	285.03	299.25	406.31	346.29	358.54	199.85	376.41	264.03	406.31	366.09	316.37	450.94	351.14	420.68	540.19	384.34	529.06	323.03	450.94	441.64	417.77
VMA21	224.97	212.78	202.66	234.57	291.04	297.17	161.02	182.55	149.12	406.31	249.73	206.94	229.72	128.79	151.22	172.65	127.89	170.25	116.78	154.42	193.01	175.07	126.12	141.02	123.5	177.53	134.3	161.02	151.22	267.73	224.97	285.03	209.84	236.21	376.41	229.72	228.13	140.04	156.59	155.5	287.01	447.82	291.04	228.13	507.46	320.8	314.17	417.77	269.6	248.0	329.84	339.14	325.29
WDR53	208.38	234.57	248.0	264.03	202.66	281.09	171.45	228.13	158.79	309.83	202.66	178.77	199.85	181.28	251.48	143.01	220.32	181.28	170.25	133.36	109.66	144.01	128.79	193.01	183.82	281.09	88.26	111.21	169.07	246.28	187.71	236.21	234.57	265.87	198.47	314.17	281.09	151.22	189.02	116.78	171.45	265.87	186.4	249.73	293.07	209.84	323.03	371.22	249.73	242.88	387.02	366.09	295.11
WDR82	1781.89	1407.55	1561.89	1340.84	1304.15	1369.04	1167.14	1286.18	1832.01	1437.15	1467.37	1605.83	1111.82	848.22	1088.92	748.61	1030.12	1088.92	503.95	791.35	728.11	928.3	842.36	1066.48	1225.22	1216.75	842.36	791.35	961.07	1369.04	1023.0	1313.23	1551.09	1397.83	1685.71	1127.35	1437.15	1135.2	1286.18	1059.11	1331.57	2047.0	1674.06	2240.11	2502.97	2163.77	1844.76	2075.59	2004.85	1819.35	2351.53	2193.99	1721.16
WDR89	137.14	153.34	162.14	161.02	142.01	187.71	115.97	131.51	102.97	144.01	113.56	75.11	66.65	69.52	77.79	98.04	63.0	81.14	43.02	84.04	49.21	74.06	86.43	93.35	61.25	100.83	31.67	85.22	58.71	175.07	127.0	117.6	137.14	162.14	214.27	163.28	181.28	70.51	78.34	97.36	148.09	312.0	182.55	221.86	336.79	140.04	195.72	237.86	209.84	171.45	221.86	339.14	176.29
XRN2	796.86	884.29	753.83	928.3	1037.29	967.76	780.44	830.75	723.08	995.0	860.08	733.19	693.58	669.92	629.35	351.14	703.28	669.92	423.61	587.13	525.39	555.41	579.04	595.34	698.41	656.11	441.64	366.09	647.07	819.3	674.59	713.11	785.88	1008.9	1096.5	802.41	884.29	587.13	769.69	743.43	928.3	1066.48	915.51	1030.12	1331.57	1111.82	1175.27	1388.16	1023.0	1250.98	2240.11	1183.45	1044.52
ZBTB6	111.21	129.69	106.63	108.14	100.83	141.02	88.26	123.5	92.05	82.29	120.94	78.34	100.13	85.82	80.57	43.02	85.82	86.43	37.32	69.03	48.52	81.14	63.89	59.55	88.26	77.25	30.34	53.57	100.13	104.42	104.42	128.79	103.69	68.55	92.05	150.17	161.02	96.01	131.51	128.79	127.0	208.38	120.94	202.66	258.57	229.72	177.53	229.72	157.68	146.03	131.51	163.28	201.25
ZCCHC7	215.77	297.17	251.48	291.04	251.48	381.68	211.31	258.57	239.52	223.41	214.27	214.27	218.79	113.56	175.07	220.32	155.5	130.6	152.28	112.77	198.47	170.25	108.14	135.24	193.01	199.85	283.05	166.73	162.14	307.69	277.2	291.04	223.41	208.38	299.25	323.03	325.29	193.01	161.02	154.42	273.37	429.54	358.54	356.05	363.56	223.41	466.88	403.5	223.41	414.87	327.56	336.79	381.68
ZNF22	356.05	339.14	281.09	567.1	389.72	454.09	297.17	490.14	397.93	312.0	353.59	256.78	336.79	260.38	291.04	226.54	260.38	242.88	178.77	241.19	273.37	267.73	211.31	299.25	256.78	323.03	186.4	248.0	269.6	417.77	447.82	547.75	226.54	307.69	307.69	503.95	497.0	325.29	366.09	258.57	507.46	1073.91	688.78	1104.13	1794.29	848.22	808.0	1295.13	860.08	543.96	587.13	813.63	1127.35
ZNF486	50.63	38.4	44.25	53.19	29.48	54.33	34.26	37.05	35.76	25.17	41.22	24.28	33.54	4.58	17.25	31.0	15.34	13.32	17.77	18.29	15.34	27.64	13.03	28.86	13.32	30.78	9.56	28.65	25.54	46.18	34.02	73.03	32.82	40.07	53.57	47.5	41.81	34.26	22.92	19.82	39.79	130.6	53.95	92.05	420.68	126.12	131.51	346.29	68.55	90.14	339.14	167.9	136.19
ZNF669	65.72	95.34	63.89	82.29	60.39	139.07	67.59	61.68	67.12	69.52	60.82	57.89	68.55	44.25	48.52	34.75	45.21	47.5	31.45	35.25	23.59	53.95	30.56	25.72	77.79	61.68	21.94	23.08	48.52	59.55	81.14	49.91	37.32	65.72	75.11	81.71	78.89	59.55	102.25	100.13	76.71	139.07	59.97	214.27	366.09	77.25	195.72	172.65	81.71	61.25	387.02	92.7	102.25
ZNF670	44.89	55.1	38.95	86.43	49.91	73.54	37.05	64.8	48.18	47.5	41.52	36.01	37.59	36.53	37.85	20.11	29.06	32.13	20.26	29.7	27.64	36.53	18.43	34.02	28.45	32.36	26.47	46.5	33.78	46.5	60.82	92.05	44.89	54.72	58.3	86.43	88.88	34.75	41.81	39.5	81.71	120.94	55.1	102.97	156.59	69.03	139.07	134.3	87.03	82.29	316.37	194.36	96.01
