	GTEX.131XE.0826.SM.5HL9W	GTEX.1399R.2226.SM.5P9JB	GTEX.P4QT.1426.SM.3NMCX	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.WFON.1326.SM.4LVMN	GTEX.U4B1.1126.SM.4DXV3	GTEX.146FQ.1926.SM.5NQBY	GTEX.14E6E.1526.SM.5RQIG	GTEX.X3Y1.1726.SM.4PQZL	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.TML8.1326.SM.4DXTO	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.132AR.2726.SM.5PNVN	GTEX.1128S.1626.SM.5H12O	GTEX.11EM3.1526.SM.5A5KN	GTEX.UJHI.1126.SM.4IHLN	GTEX.139YR.2126.SM.5KM11	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZZ64.0726.SM.5GZX4	GTEX.11DXZ.1726.SM.5H12M	GTEX.YEC3.2026.SM.4WWFL	GTEX.ZGAY.2126.SM.4YCFB	GTEX.QCQG.1626.SM.48U26	GTEX.Y3IK.1826.SM.4WWDS	GTEX.145ME.0826.SM.5O9AF	GTEX.11VI4.1526.SM.5EQKC	GTEX.ZXES.1626.SM.5NQ7L	GTEX.ZT9W.1826.SM.51MQX	GTEX.1497J.2126.SM.5NQB8	GTEX.13QBU.0826.SM.5IJBU	GTEX.13O61.1026.SM.5L3F6	GTEX.WFG8.1026.SM.4LVMZ	GTEX.SE5C.1326.SM.4BRUH	GTEX.13FLV.0326.SM.5N9DJ	GTEX.Y5LM.0426.SM.4VBRO	GTEX.PX3G.0826.SM.48TZS	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.12KS4.1326.SM.5LUB3	GTEX.13OW6.2626.SM.5IFF2	GTEX.146FR.2026.SM.5NQAI	GTEX.1211K.1426.SM.5FQTF	GTEX.12C56.0526.SM.5FQST	GTEX.Q2AI.0826.SM.48TZO
MARCH10	1.5	0.0	3.56	1.45	1.81	18.84	0.0	0.93	1.35	1.81	3.92	2.34	1.46	0.0	0.0	10.16	1.97	0.47	0.44	0.23	8.38	0.26	5.02	7.06	2.94	2.03	10.16	5.63	11.47	0.0	64.8	10.63	27.84	16.51	47.5	0.0	0.0	0.0	0.0	0.0	2.32	0.0	7.28	8.32	7.34	16.63	0.0
MATN3	0.52	0.0	2.89	3.92	4.78	61.25	2.97	10.0	0.0	10.31	8.65	0.0	0.92	4.66	0.47	14.56	13.72	1.2	4.24	2.43	17.38	1.22	19.97	8.92	22.75	1.13	28.65	36.79	146.03	0.21	80.01	215.77	127.0	55.1	102.25	1.03	11.21	0.0	0.0	3.99	2.81	0.83	0.09	91.41	13.83	128.79	1.33
MERTK	114.36	42.41	94.67	80.57	124.37	563.18	138.1	55.49	68.07	441.64	208.38	68.07	87.65	52.08	111.99	138.1	246.28	73.03	101.54	126.12	351.14	134.3	454.09	269.6	232.94	78.34	563.18	229.72	954.43	165.57	624.99	878.17	454.09	426.57	454.09	90.77	147.06	148.09	138.1	260.38	151.22	130.6	77.79	1583.71	279.14	412.0	277.2
MFAP5	878.17	138.1	400.71	237.86	75.11	8538.88	271.48	363.56	381.68	1883.54	1127.35	262.2	743.43	185.11	76.71	1745.2	1447.15	153.34	271.48	684.02	1870.53	151.22	7180.15	1250.98	1883.54	291.04	7130.55	3515.68	16269.83	46.18	4066.71	3820.7	4095.0	3257.52	3349.13	0.0	21.16	23.76	16.15	23.59	1.27	21.16	8.99	9945.68	10368.08	2287.2	163.28
MFGE8	1250.98	476.71	981.29	1191.69	470.14	12853.63	1104.13	1359.57	426.57	3060.45	2997.45	379.04	1651.0	521.76	825.0	3103.19	2133.97	698.41	1923.14	1572.76	3280.18	457.25	5183.54	3768.09	3515.68	426.57	6207.38	6381.92	21919.61	854.13	10154.69	16727.26	14663.09	11112.3	9025.81	312.0	246.28	138.1	82.29	177.53	193.01	379.04	231.32	9474.59	8134.41	6652.97	1037.29
MIER2	255.0	183.82	211.31	208.38	117.6	353.59	157.68	206.94	115.16	281.09	157.68	159.9	146.03	166.73	181.28	285.03	127.89	161.02	186.4	237.86	289.02	154.42	248.0	194.36	191.67	206.94	287.01	197.09	297.17	143.01	518.15	414.87	379.04	555.41	420.68	81.71	51.35	50.27	47.84	98.04	49.56	126.12	95.34	287.01	389.72	305.55	232.94
MMRN1	169.07	23.93	72.01	87.03	38.95	2720.15	108.14	47.84	37.32	273.37	228.13	132.44	169.07	29.06	181.28	414.87	312.0	93.35	607.87	381.68	603.67	30.78	1561.89	540.19	540.19	118.43	1119.56	802.41	3491.39	34.26	1208.34	2351.53	583.07	1745.2	426.57	91.41	271.48	34.75	15.11	23.42	91.41	99.43	105.15	1225.22	1066.48	1304.15	28.86
NPTX2	5.5	0.59	65.26	14.14	13.93	429.54	14.67	10.0	18.7	72.01	77.25	16.88	15.22	1.0	9.93	125.24	35.76	7.0	37.59	35.0	132.44	6.31	197.09	120.94	67.59	16.88	154.42	52.08	190.34	7.69	571.05	162.14	387.02	412.0	1159.07	16.75	84.63	17.51	2.34	5.28	37.05	105.15	8.32	206.94	197.09	551.56	77.79
NRCAM	9.63	7.28	8.32	4.21	13.52	189.02	2.27	8.19	9.06	15.22	18.97	16.03	9.63	7.22	12.74	28.45	26.67	15.34	37.32	36.53	21.16	7.75	21.47	48.52	32.59	10.79	47.84	17.25	173.85	5.45	156.59	21.78	107.38	85.22	246.28	4.58	14.67	96.68	3.06	6.36	1.41	4.58	6.73	15.45	36.01	81.71	23.76
NUAK1	40.36	13.52	27.25	25.72	32.59	356.05	53.19	47.5	16.39	60.82	39.79	24.63	41.22	30.34	21.47	74.58	74.06	37.59	55.1	101.54	73.54	38.95	96.68	77.79	56.68	41.22	132.44	135.24	341.51	14.89	204.07	309.83	205.5	237.86	180.02	22.26	41.52	108.9	47.17	29.91	34.51	54.33	50.63	141.02	148.09	106.63	48.18
OGFRL1	59.13	22.1	71.5	34.75	66.65	441.64	55.49	36.79	22.43	141.02	87.65	38.4	48.52	39.22	36.79	143.01	82.29	33.54	72.52	78.89	189.02	32.36	242.88	187.71	75.64	32.82	229.72	194.36	366.09	36.01	1059.11	353.59	429.54	312.0	708.18	52.82	30.78	45.85	21.94	40.64	25.35	59.13	43.02	417.77	303.44	902.89	43.02
OMD	33.3	5.41	18.03	9.06	8.58	791.35	15.45	11.73	15.11	145.02	78.89	10.71	36.53	12.0	0.0	144.01	82.29	6.26	128.79	98.73	191.67	6.52	373.81	226.54	103.69	35.76	301.33	438.59	1259.69	0.87	785.88	532.74	660.68	291.04	400.71	16.75	9.63	1.19	8.06	3.99	2.76	10.16	6.31	1529.73	1051.79	559.28	3.59
PCDHGC3	195.72	38.67	122.64	156.59	65.72	1286.18	125.24	144.01	15.22	363.56	191.67	90.14	131.51	80.57	79.45	309.83	167.9	100.13	223.41	244.57	514.56	75.64	974.5	409.15	191.67	76.17	633.73	476.71	1583.71	36.01	2400.97	718.08	854.13	1008.9	1216.75	127.89	48.18	41.52	22.43	35.0	35.25	79.45	84.04	1407.55	1487.87	1008.9	130.6
PDGFRA	206.94	64.8	346.29	226.54	387.02	1295.13	441.64	249.73	82.87	490.14	497.0	120.1	450.94	212.78	307.69	988.12	607.87	157.68	620.67	283.05	703.28	236.21	967.76	607.87	400.71	125.24	718.08	995.0	2451.44	163.28	1697.45	1081.39	1427.22	1417.35	511.0	156.59	285.03	14.14	47.5	98.04	19.82	176.29	387.02	1794.29	1733.13	2032.85	187.71
PER1	409.15	323.03	559.28	220.32	483.38	1923.14	525.39	669.92	376.41	2224.63	1359.57	223.41	409.15	239.52	187.71	896.64	902.89	312.0	450.94	624.99	1628.26	312.0	1857.6	1437.15	759.08	267.73	2451.44	954.43	1639.59	616.37	6337.83	4671.57	5479.15	5555.65	4736.79	1697.45	368.65	281.09	521.76	753.83	1059.11	2855.44	2384.37	3614.55	4010.71	5954.47	1457.23
PGF	93.35	59.55	55.89	77.25	33.3	507.46	51.35	65.26	78.89	206.94	129.69	50.98	60.39	66.18	33.06	193.01	81.71	45.53	77.25	97.36	217.27	44.89	438.59	111.99	121.79	61.25	151.22	182.55	612.11	51.71	616.37	318.57	579.04	775.05	241.19	115.16	16.88	77.25	19.25	71.0	18.43	178.77	83.45	384.34	486.75	170.25	59.97
PHC2	1030.12	928.3	1268.46	981.29	819.3	2061.24	1216.75	1059.11	723.08	1605.83	1477.58	872.1	902.89	915.51	698.41	1896.65	1225.22	947.83	961.07	1378.57	2133.97	780.44	1819.35	1498.22	1322.37	981.29	2319.15	1233.75	2875.3	1151.06	4239.45	3716.2	3280.18	4903.87	3742.05	1159.07	1733.13	1350.18	1167.14	1769.57	1540.37	1781.89	1191.69	2739.08	3349.13	5147.73	1733.13
PIK3R3	129.69	58.71	87.65	85.82	124.37	620.67	111.99	96.01	56.28	120.1	78.89	68.55	81.71	57.49	97.36	110.43	118.43	62.12	90.14	101.54	211.31	63.0	299.25	118.43	120.1	81.71	244.57	253.23	463.65	82.87	507.46	579.04	363.56	432.53	660.68	92.7	28.65	72.01	16.15	36.01	32.82	106.63	52.08	368.65	329.84	264.03	120.1
PLXNA4	5.41	0.25	7.22	6.84	5.23	67.12	5.23	5.02	2.73	10.47	8.51	3.96	3.35	2.56	7.88	14.78	7.63	4.43	14.24	15.11	22.26	1.68	50.27	21.01	9.85	3.56	19.68	31.9	125.24	1.64	26.86	117.6	59.97	86.43	25.17	3.35	1.17	1.0	17.13	0.85	0.43	4.54	29.27	45.53	59.13	226.54	5.63
PODN	406.31	81.71	214.27	403.5	63.45	2133.97	55.1	289.02	84.63	1662.49	723.08	156.59	181.28	86.43	111.21	651.58	221.86	84.04	438.59	688.78	1059.11	90.14	1551.09	902.89	480.04	248.0	2485.67	928.3	4298.64	53.19	10296.45	8134.41	1561.89	4268.94	4543.8	323.03	94.01	78.89	122.64	151.22	77.25	406.31	158.79	7589.61	6037.61	4639.29	301.33
PPFIA2	7.17	9.85	11.82	4.82	7.4	77.79	8.65	6.41	3.26	29.06	17.25	7.75	6.94	3.99	7.94	18.56	9.06	1.81	30.34	18.97	9.41	6.06	14.35	24.11	23.76	2.29	55.49	19.11	65.26	3.44	74.58	170.25	39.79	41.81	19.82	5.63	11.38	0.08	3.79	8.38	4.31	5.59	5.23	9.48	21.16	22.1	9.48
RAB31	214.27	47.84	189.02	189.02	94.67	698.41	108.9	124.37	63.89	514.56	202.66	66.65	123.5	132.44	77.25	379.04	237.86	79.45	139.07	454.09	836.53	62.56	1119.56	599.49	180.02	135.24	909.17	256.78	1008.9	85.22	813.63	1709.26	1806.78	1572.76	1304.15	132.44	117.6	137.14	30.12	99.43	46.18	151.22	67.12	1639.59	1794.29	1977.24	161.02
RAI2	127.0	31.45	185.11	137.14	63.0	974.5	71.0	96.01	31.45	497.0	212.78	33.3	84.63	56.28	59.13	358.54	144.01	43.94	163.28	260.38	563.18	51.35	947.83	447.82	146.03	85.82	802.41	373.81	1769.57	45.53	1605.83	1030.12	1286.18	1051.79	830.75	82.87	39.5	24.81	28.45	70.01	27.05	82.87	115.97	3716.2	2573.36	2303.12	155.5
RECK	74.58	25.54	57.08	57.08	45.85	368.65	47.17	52.82	28.86	124.37	75.64	40.07	71.0	54.72	40.93	122.64	80.01	28.24	102.25	130.6	139.07	38.95	277.2	165.57	81.71	67.12	234.57	180.02	507.46	25.72	511.0	336.79	260.38	215.77	406.31	63.0	76.17	28.45	22.43	16.88	18.84	86.43	76.17	616.37	429.54	334.46	34.02
REV3L	148.09	85.22	156.59	139.07	136.19	320.8	132.44	128.79	83.45	267.73	162.14	105.15	114.36	123.5	108.9	279.14	172.65	108.9	138.1	211.31	301.33	124.37	248.0	260.38	149.12	120.94	297.17	199.85	379.04	101.54	603.67	547.75	412.0	595.34	384.34	120.94	80.01	72.01	69.52	82.87	48.52	244.57	118.43	346.29	341.51	371.22	147.06
RGS22	3.99	3.53	7.28	3.0	11.73	62.56	3.72	5.36	7.28	9.27	8.78	3.44	8.71	5.63	1.36	13.52	19.82	3.41	13.62	11.64	16.03	0.66	6.06	13.93	6.67	5.28	46.5	35.0	115.97	2.84	36.79	34.51	34.51	12.36	18.03	4.24	0.0	0.0	0.0	0.0	0.0	0.0	0.59	35.0	26.47	26.1	5.96
RHOQ	466.88	167.9	361.04	373.81	224.97	1001.93	267.73	368.65	175.07	647.07	387.02	248.0	323.03	295.11	299.25	718.08	346.29	241.19	432.53	718.08	836.53	320.8	1104.13	808.0	397.93	277.2	896.64	480.04	1594.73	214.27	1963.57	1844.76	1870.53	1378.57	2018.8	293.07	185.11	182.55	119.26	218.79	301.33	351.14	167.9	1551.09	1378.57	2004.85	356.05
RP1-130H16.18	2.01	8.51	14.24	6.84	5.73	34.02	4.78	13.52	4.7	3.08	19.82	11.55	4.28	7.94	6.41	19.39	5.45	2.94	10.31	9.56	10.08	2.84	17.25	6.21	12.27	13.93	20.71	16.27	21.47	6.06	48.87	46.18	19.82	58.3	27.44	12.93	1.75	4.43	0.0	5.02	5.36	0.0	7.22	80.01	96.68	97.36	14.67
RPGR	144.01	90.77	120.1	45.53	157.68	400.71	113.56	105.15	118.43	205.5	195.72	85.82	131.51	113.56	95.34	325.29	234.57	91.41	117.6	167.9	260.38	132.44	246.28	176.29	251.48	121.79	209.84	251.48	555.41	164.42	1167.14	748.61	567.1	563.18	703.28	36.01	54.33	22.92	28.45	32.36	48.18	127.0	114.36	299.25	332.14	559.28	63.0
SAMHD1	450.94	236.21	543.96	397.93	466.88	3716.2	529.06	339.14	223.41	1447.15	854.13	275.28	470.14	412.0	438.59	1037.29	743.43	269.6	540.19	748.61	1447.15	262.2	2287.2	1143.1	988.12	389.72	2400.97	1322.37	4239.45	381.68	5831.91	3564.78	6250.56	4607.24	5041.77	237.86	320.8	323.03	170.25	248.0	371.22	332.14	463.65	2976.74	3168.41	3372.43	612.11
SASH1	105.15	33.78	88.88	87.65	88.26	703.28	84.63	73.03	51.71	165.57	140.04	61.68	105.15	77.25	76.71	279.14	181.28	58.3	197.09	140.04	389.72	57.08	336.79	256.78	167.9	72.01	314.17	236.21	902.89	60.39	665.29	656.11	759.08	400.71	493.56	77.79	64.8	47.17	45.85	56.28	74.58	159.9	85.82	842.36	497.0	583.07	79.45
SCN3B	14.45	2.12	6.78	11.73	2.27	85.22	5.77	11.21	2.16	21.78	19.68	5.06	9.41	4.7	12.0	30.12	9.7	4.78	17.51	28.65	33.06	3.86	55.89	25.91	24.46	3.47	52.45	36.79	123.5	2.53	55.1	121.79	40.07	52.82	28.45	5.96	0.35	1.04	0.0	0.41	0.89	12.93	3.2	72.01	72.01	107.38	6.46
SEMA3G	218.79	49.21	125.24	64.34	91.41	1950.0	78.34	132.44	21.16	176.29	114.36	78.89	80.57	31.45	30.12	127.0	164.42	79.45	248.0	249.73	295.11	103.69	532.74	269.6	420.68	111.21	397.93	563.18	1225.22	48.52	595.34	571.05	403.5	275.28	366.09	78.89	10.24	14.56	8.06	28.86	14.35	95.34	40.07	281.09	457.25	363.56	43.94
SHROOM4	31.22	9.48	15.34	15.11	15.91	102.97	14.89	18.97	10.39	62.56	21.78	10.55	15.91	25.91	13.52	47.84	24.81	8.85	21.32	37.85	26.67	21.01	88.88	25.72	21.94	17.9	101.54	80.57	195.72	9.78	251.48	186.4	136.19	95.34	73.03	13.52	4.74	10.39	3.41	3.17	11.21	29.7	20.11	95.34	108.14	146.03	22.26
SLC16A12	2.1	0.58	4.78	1.35	3.41	18.16	2.39	3.92	3.69	9.41	7.57	1.64	2.89	0.61	1.13	8.71	3.69	2.73	2.03	2.86	12.74	3.89	10.71	5.23	5.28	1.75	14.67	5.63	15.0	2.51	211.31	92.05	54.33	40.07	80.01	7.0	11.3	9.13	7.34	0.23	11.55	10.47	27.84	28.86	30.12	39.22	1.5
SLC36A4	52.45	12.93	61.68	37.85	41.52	90.14	108.9	55.49	29.48	127.0	47.5	28.65	70.51	46.84	21.01	90.77	58.71	48.52	99.43	75.64	175.07	52.82	108.14	70.01	48.18	25.91	113.56	95.34	182.55	40.64	215.77	197.09	269.6	185.11	285.03	75.64	92.7	76.17	45.85	53.19	81.14	102.97	65.72	201.25	161.02	234.57	95.34
SRPX	358.54	92.7	303.44	575.03	178.77	3540.14	251.48	400.71	133.36	995.0	836.53	197.09	232.94	133.36	226.54	1030.12	603.67	187.71	728.11	688.78	1561.89	78.89	1781.89	934.76	1127.35	312.0	2209.26	1369.04	9606.86	127.0	4268.94	6935.54	1378.57	3742.05	2255.7	316.37	579.04	75.64	102.25	218.79	49.56	723.08	497.0	3372.43	3690.52	2935.74	206.94
SRPX2	109.66	16.63	44.57	40.36	18.7	660.68	77.79	47.17	55.89	116.78	68.07	6.26	201.25	15.34	246.28	178.77	150.17	25.91	106.63	135.24	144.01	21.78	473.41	121.79	65.72	16.15	112.77	110.43	1991.0	20.86	518.15	432.53	595.34	215.77	267.73	19.97	67.12	19.39	10.31	14.45	11.21	61.25	16.75	551.56	536.45	220.32	93.35
STEAP4	65.72	16.27	42.41	71.5	49.21	285.03	30.12	84.04	15.22	96.01	50.98	20.71	59.97	13.93	65.72	301.33	75.11	20.26	137.14	72.52	130.6	24.28	251.48	128.79	63.89	41.22	318.57	103.69	791.35	16.27	4038.61	1359.57	1159.07	647.07	2367.9	154.42	432.53	81.14	109.66	120.94	116.78	511.0	169.07	813.63	348.71	1191.69	61.25
SUSD2	61.25	36.79	95.34	78.34	57.89	358.54	43.63	124.37	23.93	105.89	62.12	31.67	30.34	33.54	15.68	147.06	28.45	27.44	52.82	117.6	73.03	41.22	379.04	217.27	81.71	56.28	320.8	191.67	348.71	25.54	836.53	2555.58	117.6	567.1	981.29	78.34	307.69	26.86	44.89	35.5	34.26	121.79	63.0	559.28	603.67	409.15	88.88
TACC1	791.35	172.65	679.29	708.18	579.04	3018.3	703.28	599.49	299.25	1844.76	934.76	438.59	759.08	525.39	480.04	1183.45	1044.52	358.54	802.41	1286.18	3081.75	547.75	3124.78	2032.85	775.05	579.04	2468.49	1457.23	2935.74	325.29	3540.14	4639.29	5751.61	3515.68	5954.47	775.05	279.14	117.6	170.25	177.53	279.14	1551.09	813.63	4298.64	3540.14	4543.8	567.1
TGFBR2	981.29	332.14	764.36	802.41	708.18	3491.39	808.0	785.88	389.72	1685.71	1023.0	521.76	1023.0	547.75	995.0	1769.57	1295.13	547.75	1340.84	1477.58	1923.14	547.75	2400.97	1806.78	1001.93	764.36	2193.99	1583.71	4388.98	397.93	4607.24	3820.7	4066.71	4095.0	3540.14	551.56	934.76	441.64	366.09	346.29	525.39	813.63	688.78	3168.41	3212.66	2796.65	583.07
TGFBR3	145.02	26.47	133.36	92.7	84.63	1233.75	99.43	104.42	52.45	373.81	258.57	62.12	185.11	54.33	76.71	273.37	332.14	75.64	244.57	258.57	656.11	45.21	941.27	521.76	215.77	98.73	599.49	579.04	2075.59	38.95	1794.29	1757.34	2255.7	2287.2	1268.46	156.59	106.63	91.41	141.02	171.45	43.63	426.57	368.65	1991.0	2178.83	2193.99	87.65
TMEM132B	6.11	0.48	8.45	3.44	12.0	23.59	3.14	2.73	3.59	11.82	3.2	6.62	1.48	8.58	3.03	16.27	4.28	4.98	8.51	12.09	23.08	6.89	16.27	15.68	23.93	2.16	15.0	13.52	35.76	3.0	108.9	14.03	20.71	21.94	287.01	5.15	1.66	0.16	3.26	0.08	0.0	0.96	0.0	36.27	52.82	50.27	11.91
TMEM132C	8.71	4.1	8.13	10.08	4.43	273.37	7.63	15.8	4.17	85.22	52.45	6.16	4.28	1.41	4.43	29.91	15.8	4.46	54.72	26.47	90.77	1.97	108.14	69.52	69.03	5.82	117.6	63.0	860.08	3.03	107.38	81.14	60.39	102.97	30.34	3.32	0.32	0.0	0.0	2.18	0.0	1.5	2.63	175.07	55.1	111.21	7.28
TRABD2B	17.25	6.36	10.55	19.97	8.51	79.45	7.63	26.1	6.06	45.21	21.32	4.74	10.39	6.06	6.21	30.56	11.47	8.45	20.26	36.27	36.79	7.75	59.13	33.06	29.48	8.58	116.78	36.53	158.79	4.86	249.73	441.64	98.04	123.5	91.41	120.94	32.13	40.64	123.5	61.25	28.65	74.58	185.11	109.66	105.15	209.84	14.14
UBXN1	2573.36	2682.69	2417.67	2555.58	1583.71	3419.52	1757.34	2384.37	1617.0	3395.89	2976.74	2104.58	2061.24	1977.24	1781.89	3443.31	2555.58	2468.49	2384.37	2915.45	4937.99	2240.11	3589.58	2997.45	2591.27	2645.74	4607.24	2591.27	4937.99	2468.49	3303.0	3794.3	3103.19	4298.64	2739.08	1844.76	2075.59	1572.76	1819.35	1832.01	1709.26	2018.8	2271.4	5995.9	4671.57	4268.94	3820.7
VIT	8.92	3.44	5.02	4.46	4.21	209.84	7.94	18.97	8.32	62.56	59.55	4.9	21.63	5.82	5.23	104.42	35.25	8.65	15.11	29.06	73.03	4.86	107.38	80.01	47.84	10.08	95.34	110.43	211.31	3.35	2573.36	878.17	848.22	1023.0	791.35	0.0	0.66	1.08	0.27	0.48	0.25	0.26	1.45	454.09	669.92	297.17	5.59
VWF	466.88	85.82	392.44	476.71	171.45	4181.07	224.97	381.68	90.14	571.05	651.58	208.38	236.21	167.9	346.29	703.28	830.75	371.22	551.56	642.59	591.22	156.59	1628.26	679.29	660.68	316.37	1135.2	1242.34	5329.3	212.78	2468.49	3794.3	3257.52	1936.53	2047.0	132.44	65.72	65.26	22.75	37.32	80.57	371.22	37.05	1781.89	2720.15	2004.85	332.14
ZBTB16	44.25	0.95	90.14	21.32	29.48	497.0	84.63	21.47	85.82	358.54	206.94	2.76	111.99	3.86	18.43	178.77	143.01	7.22	86.43	44.89	353.59	4.06	361.04	198.47	130.6	15.56	500.46	226.54	674.59	40.64	3280.18	1991.0	1508.65	1870.53	1572.76	182.55	124.37	4.9	73.54	189.02	171.45	180.02	376.41	1628.26	1127.35	2075.59	164.42
ZFHX3	55.89	16.75	41.81	45.53	35.5	155.5	36.53	44.89	18.97	100.83	53.95	23.59	53.95	46.18	37.05	88.88	66.65	18.84	60.82	84.63	129.69	34.51	100.83	127.89	58.71	42.11	140.04	120.1	172.65	24.28	271.48	325.29	239.52	199.85	251.48	40.36	26.1	35.5	27.64	18.7	31.9	38.67	58.3	264.03	329.84	291.04	66.18
