	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.BH.A0HU.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A2P5.01A.11R.A19W.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.PL.A8LV.01A.21R.A41B.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.AR.A24K.01A.11R.A169.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.AR.A2LL.01A.11R.A180.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.B6.A1KC.01B.11R.A157.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.D8.A1X5.01A.11R.A14D.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HC.A4ZV.01A.11R.A26U.07
REXO4	187.71	305.55	409.15	567.1	389.72	400.71	438.59	769.69	575.03	403.5	543.96	389.72	341.51	239.52	414.87	412.0	403.5	591.22	371.22	332.14	420.68	320.8	392.44	285.03	620.67	107.38	291.04	591.22	297.17	231.32	466.88	536.45	403.5	387.02	183.82	309.83	320.8	381.68	264.03	563.18	312.0	287.01	486.75	567.1	223.41	376.41	934.76	473.41	189.02	435.55	255.0	392.44	674.59	297.17	457.25	507.46	260.38	307.69	397.93	371.22	251.48	713.11	384.34	368.65	525.39	612.11	373.81	156.59	441.64	239.52	457.25	299.25	141.02	215.77	205.5	297.17	163.28	921.88
SLC2A8	316.37	228.13	400.71	312.0	417.77	376.41	395.18	651.58	713.11	361.04	802.41	246.28	346.29	309.83	381.68	285.03	447.82	376.41	186.4	141.02	275.28	358.54	236.21	275.28	612.11	172.65	507.46	620.67	320.8	224.97	332.14	470.14	343.89	229.72	165.57	178.77	281.09	305.55	195.72	334.46	447.82	283.05	575.03	368.65	194.36	248.0	665.29	555.41	92.7	271.48	153.34	450.94	466.88	236.21	336.79	718.08	412.0	206.94	954.43	591.22	166.73	819.3	309.83	307.69	748.61	358.54	384.34	122.64	890.44	163.28	305.55	237.86	178.77	115.16	223.41	0.0	0.71	796.86
SNAPC4	25.17	83.45	144.01	185.11	108.9	71.5	104.42	182.55	211.31	194.36	327.56	105.89	70.01	67.59	96.01	108.9	116.78	134.3	72.52	65.26	92.7	108.14	82.29	100.83	151.22	25.54	75.64	181.28	63.0	70.51	85.22	221.86	94.01	71.0	27.64	77.25	73.03	134.3	68.07	107.38	177.53	51.71	104.42	175.07	43.94	105.15	248.0	181.28	64.8	108.14	42.71	108.9	236.21	109.66	92.7	166.73	74.06	100.83	198.47	83.45	68.55	205.5	78.89	158.79	111.21	204.07	135.24	31.67	113.56	61.25	142.01	67.59	14.35	26.28	39.5	0.0	0.64	532.74
SSNA1	902.89	1250.98	1594.73	2178.83	2178.83	1437.15	1991.0	4095.0	3874.05	3039.3	4419.52	1540.37	1605.83	1208.34	1594.73	1277.29	1697.45	1639.59	1417.35	1628.26	1685.71	2976.74	2271.4	2193.99	2303.12	366.09	1457.23	1508.65	1259.69	1508.65	1508.65	4481.23	1844.76	1304.15	547.75	1594.73	1143.1	2400.97	1073.91	2193.99	1477.58	1088.92	2468.49	2701.35	656.11	1250.98	3589.58	2796.65	571.05	1331.57	1242.34	2004.85	3103.19	1477.58	2895.31	2895.31	1340.84	1427.22	1769.57	2004.85	1111.82	3419.52	1628.26	2956.17	2956.17	2573.36	1427.22	514.56	2835.7	1127.35	2367.9	1870.53	791.35	536.45	775.05	0.0	0.26	3257.52
SURF6	221.86	277.2	376.41	555.41	379.04	381.68	371.22	825.0	616.37	476.71	775.05	356.05	255.0	281.09	343.89	423.61	480.04	497.0	323.03	277.2	409.15	332.14	441.64	384.34	651.58	69.52	215.77	567.1	193.01	173.85	332.14	753.83	409.15	368.65	125.24	301.33	236.21	414.87	248.0	536.45	473.41	249.73	397.93	693.58	202.66	417.77	759.08	555.41	180.02	312.0	249.73	463.65	796.86	309.83	403.5	514.56	329.84	343.89	343.89	339.14	279.14	633.73	420.68	547.75	493.56	591.22	444.72	131.51	414.87	218.79	480.04	348.71	111.99	163.28	234.57	0.0	0.73	854.13
TRAF2	155.5	389.72	406.31	612.11	567.1	281.09	543.96	934.76	860.08	571.05	775.05	325.29	291.04	237.86	438.59	450.94	307.69	567.1	305.55	293.07	571.05	438.59	353.59	318.57	543.96	119.26	312.0	395.18	277.2	161.02	336.79	633.73	343.89	325.29	113.56	291.04	239.52	500.46	237.86	395.18	438.59	387.02	417.77	733.19	163.28	400.71	780.44	567.1	187.71	323.03	172.65	309.83	866.07	363.56	620.67	493.56	314.17	312.0	733.19	444.72	265.87	759.08	332.14	536.45	486.75	713.11	343.89	115.97	525.39	376.41	532.74	293.07	76.71	137.14	299.25	0.0	0.49	764.36
TRUB2	432.53	447.82	748.61	995.0	981.29	423.61	660.68	1417.35	947.83	909.17	1477.58	599.49	703.28	591.22	785.88	579.04	1096.5	1104.13	928.3	748.61	764.36	1001.93	860.08	1001.93	1119.56	387.02	1008.9	1073.91	624.99	638.15	1397.83	1467.37	1030.12	825.0	353.59	447.82	633.73	802.41	551.56	1378.57	571.05	733.19	890.44	1111.82	819.3	890.44	1135.2	902.89	463.65	872.1	595.34	902.89	1037.29	476.71	1286.18	819.3	1268.46	571.05	1417.35	896.64	620.67	1199.98	967.76	1350.18	848.22	808.0	1127.35	497.0	941.27	579.04	587.13	674.59	246.28	361.04	368.65	0.0	0.0	1277.29
TTF1	149.12	176.29	279.14	480.04	289.02	314.17	267.73	400.71	409.15	353.59	583.07	237.86	262.2	164.42	336.79	336.79	215.77	234.57	264.03	218.79	248.0	271.48	341.51	195.72	318.57	131.51	208.38	432.53	236.21	105.89	234.57	341.51	289.02	237.86	162.14	143.01	277.2	251.48	228.13	249.73	312.0	218.79	289.02	406.31	320.8	237.86	612.11	356.05	208.38	211.31	198.47	189.02	368.65	167.9	361.04	265.87	181.28	218.79	260.38	281.09	163.28	366.09	381.68	154.42	267.73	363.56	414.87	165.57	325.29	172.65	220.32	194.36	152.28	198.47	139.07	0.0	0.55	540.19
UBAC1	299.25	470.14	769.69	1127.35	555.41	318.57	802.41	974.5	967.76	1059.11	934.76	638.15	656.11	438.59	954.43	679.29	693.58	536.45	532.74	514.56	540.19	551.56	497.0	629.35	775.05	307.69	575.03	1015.93	503.95	323.03	500.46	1023.0	651.58	423.61	297.17	473.41	543.96	660.68	579.04	941.27	551.56	503.95	902.89	579.04	679.29	684.02	3349.13	1066.48	403.5	532.74	490.14	624.99	854.13	444.72	848.22	830.75	343.89	629.35	1639.59	941.27	353.59	909.17	638.15	595.34	1001.93	1037.29	679.29	283.05	1159.07	392.44	633.73	457.25	346.29	595.34	329.84	0.0	0.67	1519.15
UCK1	220.32	389.72	503.95	500.46	616.37	309.83	595.34	1073.91	728.11	684.02	791.35	392.44	441.64	379.04	728.11	518.15	595.34	559.28	429.54	395.18	503.95	444.72	358.54	454.09	665.29	173.85	490.14	796.86	547.75	368.65	309.83	785.88	525.39	466.88	297.17	353.59	518.15	575.03	285.03	525.39	660.68	497.0	620.67	775.05	327.56	775.05	902.89	656.11	215.77	381.68	275.28	463.65	642.59	361.04	603.67	563.18	376.41	384.34	878.17	575.03	392.44	656.11	567.1	587.13	642.59	1023.0	665.29	217.27	679.29	281.09	563.18	366.09	325.29	438.59	332.14	0.0	0.59	1437.15
URM1	571.05	738.29	1540.37	1832.01	2502.97	941.27	1733.13	2133.97	2319.15	1709.26	2895.31	1407.55	1583.71	902.89	1519.15	1111.82	1447.15	2018.8	1081.39	928.3	1313.23	1477.58	1208.34	1540.37	1662.49	796.86	1277.29	1378.57	902.89	1175.27	1250.98	2047.0	1322.37	1216.75	878.17	884.29	1519.15	1457.23	785.88	1844.76	1044.52	1135.2	1991.0	1697.45	1467.37	1135.2	2119.22	2434.5	514.56	1427.22	902.89	1551.09	1757.34	947.83	1397.83	1417.35	2004.85	878.17	1498.22	1685.71	780.44	2351.53	1104.13	1551.09	1216.75	1844.76	1388.16	665.29	1639.59	872.1	1191.69	1104.13	947.83	830.75	836.53	0.0	0.33	2384.37
USP20	100.13	244.57	441.64	336.79	351.14	242.88	279.14	532.74	708.18	559.28	764.36	323.03	271.48	251.48	447.82	429.54	323.03	341.51	271.48	285.03	392.44	275.28	267.73	327.56	435.55	114.36	241.19	551.56	348.71	218.79	256.78	713.11	316.37	316.37	156.59	271.48	273.37	381.68	214.27	376.41	521.76	265.87	368.65	684.02	212.78	444.72	753.83	486.75	162.14	277.2	175.07	361.04	599.49	351.14	384.34	366.09	376.41	363.56	435.55	366.09	281.09	656.11	332.14	476.71	587.13	669.92	366.09	134.3	521.76	220.32	450.94	267.73	118.43	139.07	202.66	0.0	0.65	1135.2
WDR34	909.17	629.35	1437.15	2178.83	3146.52	954.43	1030.12	6426.31	4869.99	1467.37	2163.77	1832.01	1001.93	1127.35	1963.57	1286.18	1242.34	3614.55	941.27	1199.98	1051.79	1977.24	1733.13	1794.29	2255.7	466.88	2287.2	1651.0	1268.46	854.13	1175.27	5441.3	1896.65	764.36	463.65	1044.52	947.83	1832.01	693.58	2133.97	1662.49	1769.57	1378.57	1832.01	748.61	1322.37	5791.62	2255.7	775.05	1331.57	583.07	1794.29	2451.44	947.83	1508.65	1923.14	2520.38	1313.23	1991.0	1721.16	872.1	2061.24	1378.57	2468.49	2758.13	2935.74	1250.98	432.53	2915.45	819.3	1551.09	1467.37	454.09	559.28	547.75	0.0	0.32	2777.33
WDR5	234.57	403.5	575.03	981.29	595.34	241.19	612.11	860.08	629.35	507.46	1037.29	483.38	329.84	348.71	583.07	480.04	679.29	647.07	493.56	493.56	540.19	361.04	571.05	423.61	860.08	246.28	336.79	629.35	417.77	281.09	518.15	866.07	441.64	483.38	314.17	470.14	457.25	595.34	412.0	607.87	775.05	476.71	490.14	651.58	540.19	647.07	1359.57	679.29	395.18	426.57	241.19	476.71	796.86	395.18	514.56	866.07	291.04	460.44	500.46	521.76	279.14	947.83	460.44	536.45	470.14	896.64	638.15	277.2	583.07	312.0	483.38	314.17	199.85	258.57	307.69	0.0	0.65	1467.37
ZDHHC12	633.73	511.0	1295.13	2061.24	1322.37	813.63	1066.48	3928.15	2520.38	1397.83	3955.48	1023.0	1216.75	432.53	1001.93	1037.29	967.76	1369.04	536.45	525.39	909.17	1857.6	854.13	848.22	988.12	665.29	1540.37	1225.22	470.14	759.08	759.08	2451.44	1870.53	493.56	540.19	563.18	961.07	1572.76	447.82	1721.16	775.05	438.59	1457.23	1437.15	447.82	988.12	5076.84	1417.35	346.29	819.3	738.29	1183.45	1896.65	684.02	1350.18	1369.04	1628.26	780.44	1508.65	1628.26	591.22	1437.15	1242.34	1350.18	2303.12	1216.75	665.29	265.87	1639.59	575.03	1001.93	995.0	713.11	289.02	339.14	0.0	0.0	3794.3
ZER1	217.27	470.14	738.29	728.11	688.78	423.61	808.0	733.19	796.86	860.08	896.64	563.18	718.08	392.44	915.51	460.44	785.88	713.11	460.44	403.5	620.67	698.41	507.46	518.15	759.08	343.89	616.37	728.11	536.45	409.15	536.45	813.63	759.08	420.68	432.53	476.71	748.61	559.28	381.68	860.08	713.11	884.29	591.22	1059.11	412.0	988.12	866.07	703.28	320.8	514.56	371.22	679.29	567.1	454.09	693.58	511.0	878.17	525.39	813.63	684.02	444.72	1191.69	743.43	785.88	961.07	791.35	785.88	414.87	848.22	314.17	638.15	381.68	220.32	314.17	287.01	0.0	0.39	1250.98
ZMYND19	234.57	543.96	514.56	866.07	679.29	244.57	417.77	1216.75	656.11	486.75	1066.48	559.28	336.79	351.14	543.96	406.31	476.71	507.46	447.82	348.71	334.46	454.09	417.77	363.56	684.02	122.64	460.44	743.43	334.46	198.47	334.46	1096.5	529.06	316.37	211.31	343.89	397.93	521.76	262.2	571.05	656.11	403.5	575.03	616.37	346.29	669.92	1397.83	603.67	303.44	486.75	283.05	507.46	842.36	325.29	638.15	616.37	395.18	281.09	902.89	426.57	358.54	679.29	525.39	571.05	1037.29	743.43	620.67	175.07	830.75	353.59	486.75	457.25	98.73	177.53	124.37	0.0	0.82	1225.22
