	TCGA.XF.A8HG.01A.11R.A36F.07	GTEX.14BMV.2426.SM.5S2PP	GTEX.XBEW.1926.SM.4SOJO	TCGA.KM.8477.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.BP.5178.01A.01R.1426.07	TCGA.CJ.4901.01A.01R.1426.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.BP.4989.01A.01R.1334.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.BQ.5889.01A.11R.1592.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.DD.A39Z.11A.21R.A213.07	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.145LU.1326.SM.5LU9N	GTEX.SJXC.1226.SM.4DM78	GTEX.13QJC.0726.SM.5RQJK	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.HC.A9TE.01A.11R.A41O.07	TCGA.KK.A59Z.01A.12R.A26U.07	TCGA.BR.4187.01A.01R.1131.13	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.BR.6563.01A.13R.2055.13	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	TCGA.EL.A3H5.01A.11R.A206.07	GTEX.Y3I4.0226.SM.4TT27	GTEX.111VG.0526.SM.5N9BW
FERMT3	88.26	575.03	1242.34	138.1	30.78	43.63	389.72	229.72	89.51	69.03	241.19	607.87	1183.45	503.95	1721.16	1709.26	884.29	89.51	1030.12	127.89	73.03	314.17	921.88	2018.8	718.08	371.22	42.71	27.64	68.55	129.69	156.59	384.34	80.57	616.37	334.46	156.59	318.57	318.57	178.77	143.01	575.03	728.11	674.59	1167.14	947.83	320.8	267.73	346.29	220.32	1023.0
FILIP1L	31.0	785.88	305.55	119.26	52.08	28.65	147.06	127.0	260.38	141.02	289.02	884.29	351.14	819.3	733.19	2573.36	547.75	17.77	343.89	205.5	197.09	500.46	217.27	785.88	273.37	106.63	540.19	18.43	28.45	82.87	51.35	81.14	123.5	177.53	384.34	269.6	88.88	148.09	332.14	277.2	476.71	974.5	3257.52	2240.11	2682.69	1127.35	1066.48	1233.75	291.04	514.56
FMNL1	90.14	529.06	493.56	105.89	24.99	38.12	198.47	147.06	62.12	56.68	99.43	748.61	1457.23	529.06	1277.29	1104.13	780.44	13.42	813.63	208.38	71.0	190.34	555.41	1467.37	323.03	323.03	51.71	15.56	27.84	59.97	108.9	98.73	76.17	435.55	329.84	102.97	56.68	117.6	139.07	37.59	543.96	265.87	703.28	1594.73	1037.29	612.11	189.02	665.29	138.1	2004.85
FYB	12.18	135.24	77.79	82.87	10.0	57.89	153.34	57.89	11.47	37.59	49.21	395.18	819.3	191.67	830.75	314.17	368.65	8.13	194.36	49.91	63.0	193.01	118.43	363.56	124.37	52.08	43.94	4.54	10.79	11.91	36.79	20.41	13.62	295.11	37.32	46.5	18.03	63.0	45.53	25.54	107.38	72.01	493.56	830.75	376.41	152.28	25.54	106.63	22.92	450.94
GAB3	3.96	72.01	58.3	9.2	1.69	2.63	26.47	7.82	20.11	22.75	10.08	57.08	152.28	75.64	206.94	199.85	116.78	2.81	103.69	34.26	21.47	31.9	74.58	104.42	29.48	29.48	17.64	2.66	8.45	11.55	31.67	16.51	28.04	90.14	19.25	22.75	14.14	12.55	21.01	5.54	54.72	21.78	89.51	161.02	82.29	64.34	51.71	86.43	100.13	228.13
GAPT	7.0	128.79	33.78	20.41	1.19	6.67	102.97	8.92	0.0	14.35	14.56	150.17	99.43	181.28	387.02	127.89	275.28	6.89	185.11	10.24	18.7	158.79	170.25	218.79	62.12	69.03	4.46	0.0	3.0	12.74	27.84	24.28	3.11	60.39	15.22	38.95	1.69	12.93	9.93	6.16	71.0	17.13	559.28	860.08	191.67	53.95	49.56	78.34	6.67	260.38
GEM	10.24	1487.87	353.59	94.67	59.55	299.25	336.79	473.41	651.58	242.88	1183.45	204.07	583.07	529.06	1059.11	2193.99	457.25	8.92	1359.57	371.22	154.42	551.56	150.17	669.92	389.72	186.4	454.09	3.0	10.0	110.43	73.54	84.04	193.01	409.15	713.11	264.03	115.97	80.01	647.07	429.54	389.72	878.17	2335.28	2319.15	1639.59	2367.9	470.14	769.69	153.34	1936.53
GLIPR1	28.04	253.23	111.21	69.52	29.06	6.73	127.0	87.03	42.41	42.41	146.03	679.29	1001.93	323.03	693.58	775.05	559.28	26.47	579.04	162.14	82.29	647.07	316.37	536.45	277.2	346.29	53.19	18.7	45.85	16.27	19.97	40.36	36.01	120.1	53.19	37.85	38.95	123.5	55.1	45.85	417.77	253.23	2075.59	1359.57	830.75	743.43	178.77	571.05	88.88	320.8
GNAI2	3039.3	6250.56	2400.97	1628.26	2163.77	1551.09	3257.52	2591.27	2875.3	2816.11	4671.57	7130.55	6745.86	8718.32	6121.9	6164.49	6426.31	759.08	7230.1	3081.75	2434.5	4481.23	5872.48	9673.69	5633.22	4704.07	3372.43	1572.76	3794.3	3103.19	2335.28	2335.28	2434.5	4972.34	4181.07	3190.46	3665.02	1991.0	2935.74	3168.41	4181.07	3639.7	6652.97	7642.41	7130.55	6381.92	3901.01	7966.99	4066.71	5292.48
GNGT2	7.51	194.36	134.3	36.01	16.75	9.7	120.1	36.79	77.79	51.71	56.68	153.34	267.73	293.07	395.18	170.25	217.27	53.57	140.04	48.52	198.47	93.35	108.9	251.48	98.04	47.17	218.79	11.13	12.0	27.84	22.75	59.97	46.5	73.54	59.13	38.67	10.71	13.32	68.07	24.99	66.65	47.5	124.37	173.85	155.5	67.12	77.79	144.01	74.06	138.1
GPR141	0.0	24.63	0.0	10.71	0.0	0.0	17.38	2.39	0.0	11.91	45.53	53.95	80.01	31.0	126.12	69.03	44.89	1.16	43.94	7.34	10.88	29.48	23.25	33.54	31.67	20.56	1.64	0.0	0.0	0.0	1.83	2.48	6.62	2.1	12.74	1.99	2.73	17.77	4.98	7.82	32.59	2.34	96.01	21.94	47.17	3.92	5.23	42.41	42.71	40.07
GPR161	8.32	83.45	44.89	11.73	44.57	10.55	16.63	12.45	15.56	18.97	24.63	27.84	92.05	61.68	48.87	107.38	64.34	7.75	62.56	37.85	23.59	28.45	7.88	55.1	17.64	18.29	28.24	1.36	7.51	4.28	5.63	3.5	2.86	27.64	8.13	5.15	2.16	0.0	11.04	1.95	74.58	114.36	123.5	75.11	149.12	118.43	67.59	150.17	23.08	82.29
GPR183	28.45	285.03	149.12	229.72	3.56	4.17	161.02	59.97	25.17	94.01	36.53	728.11	836.53	251.48	303.44	532.74	341.51	49.56	656.11	41.22	36.01	348.71	389.72	753.83	143.01	199.85	39.5	3.35	29.48	27.05	10.16	39.79	30.78	117.6	190.34	111.99	50.27	44.25	253.23	85.82	318.57	265.87	902.89	954.43	507.46	708.18	255.0	214.27	93.35	1304.15
GPR31	0.0	0.0	0.0	0.44	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.85	3.59	0.93	3.32	3.35	4.86	0.0	2.25	0.0	0.41	1.6	1.16	1.07	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.3	0.52	1.3	5.68	0.0	0.0	0.0	0.0	0.0
GPR34	29.48	221.86	142.01	44.25	5.5	10.39	191.67	46.84	16.63	82.87	4.9	281.09	341.51	155.5	412.0	175.07	423.61	63.45	201.25	50.63	142.01	547.75	229.72	195.72	75.64	54.33	13.42	6.06	13.72	7.88	7.69	13.42	8.06	59.13	8.65	19.25	61.25	4.58	25.72	10.39	82.87	90.14	571.05	169.07	244.57	127.0	205.5	104.42	61.25	66.65
GPR65	5.5	98.04	41.52	13.42	0.83	2.56	63.45	16.63	18.03	12.09	43.32	131.51	314.17	142.01	497.0	177.53	277.2	11.64	156.59	12.36	27.25	120.94	106.63	169.07	78.89	51.35	6.57	6.21	6.46	24.63	18.56	49.91	33.78	181.28	133.36	74.06	38.4	37.32	86.43	24.81	71.5	20.71	271.48	231.32	136.19	70.01	47.5	64.8	25.35	173.85
GPR82	0.0	11.21	14.45	7.57	0.0	0.84	31.9	3.79	2.53	1.33	0.0	8.13	19.25	7.4	13.42	17.25	15.56	2.68	6.78	2.05	1.68	14.89	17.0	15.68	3.59	1.45	0.0	0.0	0.0	3.47	0.0	11.21	2.1	9.2	1.43	0.0	14.03	0.0	10.08	1.38	4.17	1.17	37.05	48.52	24.81	13.83	10.88	12.27	2.73	5.11
GPSM3	65.72	638.15	733.19	108.9	32.59	57.89	361.04	186.4	93.35	163.28	190.34	988.12	1769.57	954.43	1639.59	1208.34	1030.12	81.71	1037.29	167.9	144.01	454.09	1008.9	2997.45	638.15	379.04	92.7	43.63	55.49	136.19	138.1	128.79	82.87	808.0	271.48	201.25	218.79	242.88	202.66	70.01	656.11	246.28	785.88	2047.0	1331.57	629.35	368.65	540.19	206.94	1991.0
GPX8	8.0	435.55	110.43	45.53	158.79	21.94	392.44	45.21	228.13	248.0	50.63	638.15	909.17	309.83	447.82	620.67	738.29	60.39	583.07	312.0	260.38	493.56	353.59	595.34	595.34	813.63	125.24	10.39	18.03	23.42	20.71	1.87	22.75	87.03	57.08	20.11	19.39	13.93	37.85	16.27	198.47	242.88	1388.16	177.53	791.35	205.5	61.25	1023.0	543.96	483.38
GXYLT2	3.56	397.93	104.42	2.73	13.22	84.04	175.07	26.67	2.73	3.08	3.99	90.14	147.06	73.54	21.16	31.0	114.36	20.41	114.36	45.21	13.42	47.84	35.76	54.72	84.04	64.8	10.71	0.88	14.45	0.0	0.79	0.0	5.73	16.63	1.35	2.97	0.56	0.59	4.35	0.13	35.25	64.8	251.48	101.54	154.42	93.35	18.43	450.94	94.67	105.15
HCK	39.22	289.02	381.68	108.9	44.57	201.25	343.89	283.05	22.75	52.45	120.1	314.17	934.76	273.37	718.08	713.11	514.56	53.57	551.56	59.13	79.45	285.03	511.0	842.36	307.69	226.54	48.52	17.51	27.44	42.71	56.68	43.94	36.27	351.14	89.51	27.64	129.69	271.48	105.15	28.65	221.86	181.28	400.71	260.38	400.71	175.07	115.97	312.0	108.9	454.09
HCLS1	81.14	591.22	1183.45	195.72	49.56	70.01	616.37	220.32	103.69	120.94	323.03	2502.97	2485.67	1359.57	2855.44	2133.97	2104.58	53.19	1733.13	256.78	198.47	902.89	1111.82	2319.15	629.35	703.28	173.85	60.82	115.16	205.5	224.97	202.66	172.65	890.44	470.14	348.71	738.29	503.95	332.14	237.86	1397.83	336.79	1175.27	2133.97	1617.0	884.29	529.06	848.22	555.41	1662.49
HLA-DMA	267.73	4358.66	1295.13	2758.13	297.17	532.74	3190.46	1233.75	2915.45	2997.45	329.84	5711.87	7966.99	2537.92	7911.95	6207.38	5292.48	988.12	4972.34	988.12	1883.54	3103.19	4388.98	4671.57	1909.85	3060.45	928.3	223.41	339.14	327.56	486.75	660.68	2502.97	1487.87	1023.0	669.92	389.72	163.28	713.11	532.74	1991.0	1572.76	3874.05	5517.27	4388.98	2537.92	1477.58	2520.38	890.44	11827.67
HLA-DMB	157.68	1769.57	981.29	3303.0	579.04	928.3	2075.59	974.5	1697.45	1844.76	214.27	2591.27	4869.99	1551.09	5517.27	3395.89	3325.99	2178.83	2193.99	624.99	1628.26	2777.33	2816.11	2335.28	1388.16	1781.89	802.41	92.7	105.89	101.54	241.19	258.57	226.54	1073.91	476.71	353.59	58.71	153.34	426.57	117.6	1322.37	836.53	2502.97	4210.15	2417.67	1572.76	860.08	2090.03	2303.12	7230.1
HLA-DOA	27.44	718.08	214.27	190.34	2.89	23.25	457.25	94.01	921.88	412.0	45.53	967.76	1191.69	277.2	1233.75	629.35	848.22	64.34	460.44	214.27	232.94	490.14	595.34	633.73	171.45	703.28	368.65	9.56	19.68	33.06	38.67	31.9	17.13	151.22	180.02	85.82	1.45	23.08	120.1	108.9	291.04	214.27	242.88	872.1	532.74	189.02	293.07	237.86	116.78	3280.18
HLA-DPA1	708.18	26986.43	2976.74	11189.6	92.05	688.78	16496.96	4802.93	14663.09	7032.37	2018.8	35609.13	41475.31	15824.9	44761.41	16045.82	32540.65	2935.74	27553.49	3168.41	3303.0	20310.37	9088.59	20170.07	9673.69	9673.69	2627.46	381.68	665.29	1073.91	1277.29	571.05	511.0	5872.48	5147.73	2163.77	1088.92	708.18	2335.28	1388.16	7695.57	5076.84	11745.96	21172.91	24660.96	20310.37	5479.15	11664.82	2720.15	38697.77
HLA-DPB1	559.28	16960.78	2591.27	7230.1	86.43	460.44	8718.32	2485.67	3372.43	4736.79	808.0	22535.88	22380.2	9808.75	25354.3	14663.09	21026.65	2119.22	14867.79	1508.65	1721.16	12502.12	9673.69	16045.82	5292.48	6381.92	2075.59	271.48	320.8	967.76	1066.48	961.07	599.49	4450.27	3901.01	1639.59	493.56	665.29	2835.7	1313.23	6887.62	4152.18	5366.37	12502.12	13681.08	7433.4	2627.46	4869.99	1295.13	42054.3
HLA-DRB1	334.46	15934.98	1208.34	5366.37	113.56	848.22	11189.6	2417.67	4937.99	6792.79	674.59	29943.43	27745.15	7130.55	31650.8	18431.96	12589.08	1104.13	14361.31	9025.81	6607.01	21768.19	8598.28	13776.25	10512.82	6561.36	4802.93	571.05	397.93	775.05	567.1	995.0	223.41	4639.29	4123.49	1977.24	796.86	351.14	3280.18	1233.75	4298.64	5711.87	3901.01	6250.56	14361.31	5913.33	4512.4	7180.15	1529.73	8778.97
IKZF1	3.56	132.44	133.36	17.38	1.2	2.94	44.89	18.97	13.62	14.45	128.79	177.53	420.68	163.28	612.11	260.38	242.88	3.86	118.43	76.17	18.56	127.0	113.56	258.57	96.68	74.58	5.32	4.13	6.52	13.12	33.54	26.67	16.27	85.22	44.57	56.68	8.45	32.59	38.12	9.2	116.78	49.91	232.94	669.92	348.71	117.6	116.78	90.14	17.77	376.41
IL10RA	37.05	579.04	361.04	65.72	3.23	13.93	229.72	104.42	29.91	46.18	31.45	669.92	1225.22	325.29	1594.73	890.44	616.37	14.67	599.49	48.52	42.11	301.33	612.11	995.0	273.37	236.21	24.28	12.18	17.64	52.82	50.27	102.25	68.07	466.88	123.5	105.15	100.83	64.8	136.19	40.36	293.07	139.07	813.63	575.03	660.68	486.75	144.01	142.01	66.18	830.75
IL21R	1.58	14.67	41.81	9.48	0.84	1.31	8.65	13.42	4.7	3.86	3.82	52.08	215.77	29.06	217.27	198.47	123.5	0.82	98.73	16.88	10.55	26.47	20.11	124.37	28.04	14.56	1.68	0.47	4.98	2.97	1.43	11.64	2.86	16.88	7.88	3.56	4.66	5.59	8.38	1.13	39.5	8.92	31.67	237.86	81.71	16.63	5.92	44.25	21.63	138.1
INPP5D	127.0	529.06	567.1	146.03	80.57	99.43	301.33	102.97	115.97	107.38	124.37	656.11	1088.92	616.37	1208.34	941.27	848.22	24.28	679.29	141.02	133.36	314.17	486.75	896.64	228.13	295.11	151.22	16.63	63.89	70.01	84.04	111.21	53.57	299.25	269.6	103.69	28.65	120.94	175.07	43.32	361.04	181.28	1008.9	2271.4	1208.34	547.75	348.71	320.8	293.07	836.53
ITGAM	8.71	152.28	35.5	37.59	2.43	3.41	84.63	47.84	9.06	17.9	41.52	239.52	521.76	142.01	392.44	466.88	281.09	4.31	206.94	32.13	40.64	110.43	242.88	255.0	85.22	132.44	26.1	5.68	24.81	18.7	15.22	21.16	16.15	126.12	37.05	14.24	27.44	19.11	25.91	7.34	107.38	55.89	249.73	186.4	139.07	94.01	29.27	129.69	50.98	457.25
JAM3	22.1	693.58	273.37	77.25	226.54	93.35	209.84	125.24	521.76	221.86	1037.29	264.03	368.65	1059.11	441.64	974.5	595.34	46.84	529.06	363.56	228.13	320.8	29.27	314.17	116.78	44.57	423.61	35.25	34.75	48.18	48.18	29.48	25.54	113.56	49.56	32.59	37.05	30.34	64.8	57.08	381.68	559.28	995.0	866.07	830.75	1295.13	384.34	583.07	248.0	583.07
JAZF1	14.14	387.02	144.01	132.44	169.07	111.99	228.13	205.5	155.5	141.02	154.42	332.14	420.68	358.54	379.04	343.89	358.54	66.18	220.32	158.79	170.25	241.19	277.2	256.78	660.68	323.03	157.68	248.0	221.86	115.16	171.45	123.5	180.02	403.5	438.59	182.55	267.73	87.03	271.48	253.23	229.72	320.8	361.04	567.1	271.48	381.68	190.34	351.14	281.09	314.17
JPH2	0.83	299.25	187.71	7.28	26.86	11.47	26.1	60.39	4.9	12.55	69.52	417.77	314.17	67.12	76.17	343.89	242.88	2.76	559.28	22.75	20.71	32.13	102.25	68.07	96.01	99.43	26.67	0.68	0.73	8.13	2.07	1.23	4.31	16.27	2.39	0.14	2.23	0.43	3.08	0.88	101.54	327.56	231.32	819.3	178.77	738.29	223.41	18.97	48.87	14.35
KLHL6	6.67	50.27	134.3	13.62	2.05	2.16	35.25	11.04	4.5	5.19	6.21	132.44	190.34	50.63	236.21	267.73	81.14	2.36	71.5	19.53	6.84	29.91	90.14	92.7	35.0	63.45	2.51	2.92	4.46	4.58	4.98	2.1	1.31	19.25	6.67	0.96	12.83	9.27	12.18	4.7	70.51	24.81	88.88	329.84	156.59	82.29	41.52	41.81	15.45	181.28
LAIR1	61.68	470.14	249.73	126.12	13.72	24.11	389.72	165.57	15.56	57.08	79.45	1167.14	1388.16	551.56	1909.85	1605.83	1111.82	68.07	1096.5	103.69	136.19	336.79	974.5	1508.65	457.25	339.14	40.36	18.03	381.68	46.5	25.91	36.01	32.59	320.8	78.34	36.27	111.99	45.53	70.01	19.11	341.51	297.17	974.5	1350.18	909.17	363.56	139.07	341.51	132.44	536.45
LAPTM5	358.54	2119.22	1617.0	928.3	141.02	186.4	3168.41	1378.57	309.83	299.25	373.81	11664.82	10154.69	4671.57	11424.74	6294.04	7230.1	273.37	5954.47	532.74	511.0	3564.78	4704.07	11267.44	3665.02	2627.46	454.09	137.14	320.8	318.57	281.09	307.69	246.28	1322.37	583.07	303.44	947.83	463.65	397.93	334.46	1870.53	1540.37	6294.04	9215.48	6840.04	3515.68	1208.34	2520.38	764.36	3614.55
LCP2	48.52	571.05	403.5	197.09	42.11	31.22	387.02	123.5	131.51	58.3	267.73	825.0	2178.83	802.41	2956.17	1857.6	1286.18	25.54	1073.91	137.14	127.0	371.22	532.74	1088.92	358.54	281.09	94.01	19.97	55.49	111.99	202.66	141.02	104.42	669.92	417.77	267.73	97.36	170.25	287.01	111.99	486.75	260.38	1081.39	1167.14	981.29	988.12	236.21	819.3	146.03	1066.48
LOXL3	32.82	224.97	84.04	19.11	9.41	4.78	36.53	20.41	24.11	35.25	18.56	61.68	145.02	69.52	218.79	258.57	122.64	9.13	161.02	136.19	20.56	39.79	68.55	115.16	35.76	23.93	11.73	5.11	12.09	14.35	13.03	13.03	12.74	47.84	21.32	10.55	14.14	3.08	18.56	8.32	59.13	42.71	153.34	76.71	120.1	105.15	43.32	86.43	32.82	99.43
LRRC25	23.42	122.64	96.01	29.91	40.64	14.67	149.12	70.51	14.03	38.67	54.33	237.86	314.17	162.14	299.25	228.13	204.07	239.52	460.44	38.12	70.01	120.94	237.86	536.45	124.37	127.0	27.05	9.13	16.75	29.48	28.65	23.59	38.12	183.82	34.75	37.05	158.79	57.08	54.33	45.53	59.97	55.49	241.19	154.42	264.03	67.59	68.55	89.51	37.05	102.97
LTBP1	836.53	395.18	133.36	80.57	26.47	15.45	101.54	135.24	198.47	159.9	381.68	220.32	521.76	180.02	1498.22	2997.45	1001.93	5.36	470.14	555.41	473.41	587.13	81.71	314.17	336.79	71.5	336.79	49.56	193.01	120.1	147.06	109.66	65.72	389.72	212.78	293.07	42.71	42.11	242.88	271.48	1540.37	684.02	1794.29	1313.23	1467.37	1304.15	483.38	595.34	103.69	104.42
LY86	28.45	193.01	141.02	70.01	6.73	17.0	387.02	91.41	15.68	63.45	22.43	723.08	785.88	400.71	890.44	473.41	743.43	92.05	536.45	62.56	43.94	356.05	866.07	536.45	379.04	457.25	13.03	8.92	10.0	35.25	10.79	27.05	28.24	141.02	40.93	28.45	107.38	38.12	26.28	32.13	218.79	197.09	713.11	1277.29	665.29	158.79	78.89	299.25	34.26	295.11
LY96	39.22	738.29	279.14	69.52	105.89	26.1	412.0	265.87	67.59	153.34	277.2	591.22	1081.39	400.71	890.44	941.27	775.05	157.68	441.64	121.79	195.72	633.73	476.71	934.76	2573.36	466.88	71.5	24.28	135.24	88.26	67.59	38.67	88.88	329.84	153.34	71.5	242.88	163.28	204.07	6.84	514.56	248.0	1111.82	872.1	941.27	669.92	309.83	753.83	208.38	417.77
MILR1	18.03	110.43	50.63	38.4	4.5	2.58	96.01	24.11	2.97	17.25	2.29	105.89	167.9	98.04	182.55	181.28	145.02	13.32	187.71	14.56	34.26	51.71	204.07	281.09	87.65	81.71	4.58	2.01	8.71	14.03	23.08	11.82	0.0	66.65	30.34	31.0	40.07	19.11	10.96	0.0	64.34	80.57	204.07	293.07	162.14	41.81	30.56	97.36	44.57	138.1
MNDA	19.53	135.24	97.36	63.45	3.26	13.62	166.73	71.5	31.45	120.1	84.63	373.81	543.96	297.17	723.08	381.68	559.28	36.79	351.14	43.94	75.11	336.79	214.27	454.09	147.06	135.24	22.26	7.11	12.93	21.63	77.25	36.53	89.51	441.64	68.07	14.03	6.41	161.02	113.56	67.12	137.14	45.53	848.22	215.77	273.37	119.26	57.49	447.82	52.08	1081.39
MPEG1	41.52	748.61	271.48	73.03	3.11	14.89	320.8	127.89	35.25	130.6	27.05	387.02	860.08	348.71	656.11	500.46	423.61	14.35	514.56	73.03	115.97	555.41	403.5	211.31	226.54	180.02	46.84	18.29	43.02	40.93	83.45	88.26	57.89	500.46	129.69	105.15	172.65	50.27	157.68	70.51	285.03	241.19	1051.79	753.83	493.56	182.55	130.6	185.11	84.04	198.47
MS4A6A	199.85	2468.49	1183.45	429.54	17.51	52.45	1208.34	444.72	112.77	379.04	169.07	4769.75	5147.73	1628.26	6079.61	2178.83	4836.35	381.68	3395.89	195.72	733.19	3303.0	2384.37	3349.13	1216.75	1111.82	106.63	66.65	104.42	420.68	353.59	389.72	486.75	3768.09	1135.2	902.89	2485.67	334.46	1135.2	723.08	813.63	480.04	4388.98	1059.11	2287.2	1594.73	780.44	2271.4	366.09	1233.75
MS4A7	147.06	629.35	438.59	151.22	120.1	154.42	884.29	242.88	57.08	107.38	64.34	1721.16	1950.0	642.59	1819.35	1208.34	1331.57	198.47	1191.69	66.65	178.77	854.13	642.59	567.1	217.27	400.71	72.52	35.5	38.12	163.28	101.54	90.77	152.28	1081.39	356.05	123.5	651.58	141.02	193.01	113.56	159.9	241.19	1233.75	395.18	769.69	669.92	244.57	320.8	87.65	351.14
MSR1	61.25	102.97	63.45	126.12	4.9	6.84	339.14	101.54	151.22	82.29	43.63	1259.69	1023.0	273.37	1250.98	559.28	860.08	44.57	669.92	84.63	161.02	651.58	457.25	521.76	363.56	279.14	60.82	21.63	39.5	29.48	22.75	53.95	28.04	121.79	27.05	17.13	155.5	45.53	43.02	15.8	91.41	244.57	1127.35	154.42	743.43	177.53	49.91	220.32	49.21	218.79
MT-ND3	1336472.68	2171106.91	3626130.97	2986448.72	1567462.05	2310861.52	2294899.22	4464291.11	2392353.91	2343119.96	3502611.6	1393227.06	894051.48	1229805.58	1116072.03	1345768.59	1890058.21	2156109.97	1622738.51	1668359.93	1556634.79	1452391.55	1751305.3	1041331.96	1903204.61	2201414.44	1838374.44	1187913.85	1345768.59	1514068.5	1890058.21	1412675.8	1318073.06	1970321.01	2581895.97	1813064.98	2375828.71	1916442.45	2156109.97	1851161.35	1345768.59	1800541.22	845824.19	1656835.72	1452391.55	2691538.19	2767207.65	1929772.37	1751305.3	2011721.67
NCF4	83.45	896.64	540.19	70.01	5.36	17.25	183.82	186.4	30.78	58.71	64.34	323.03	559.28	234.57	563.18	540.19	361.04	28.24	426.57	46.84	78.89	208.38	412.0	607.87	180.02	155.5	28.04	23.59	23.76	70.51	43.94	38.4	34.51	381.68	122.64	58.3	82.29	102.97	114.36	25.35	299.25	147.06	624.99	915.51	417.77	473.41	156.59	320.8	89.51	866.07
NCKAP1L	20.11	143.01	170.25	44.25	1.6	5.92	157.68	57.08	14.35	22.1	12.64	403.5	796.86	186.4	878.17	571.05	447.82	8.13	312.0	71.0	59.55	242.88	267.73	417.77	133.36	139.07	16.51	10.47	17.64	29.91	42.71	19.25	19.53	147.06	102.25	17.51	37.85	82.29	48.52	21.63	191.67	143.01	511.0	902.89	420.68	193.01	63.45	158.79	63.45	403.5
NDN	14.67	1529.73	403.5	32.59	25.54	234.57	70.51	51.71	221.86	483.38	166.73	759.08	532.74	620.67	191.67	579.04	134.3	26.86	226.54	366.09	281.09	417.77	131.51	417.77	117.6	51.35	387.02	12.74	20.26	100.83	49.21	19.25	36.01	291.04	220.32	130.6	19.53	11.3	171.45	105.89	703.28	583.07	947.83	813.63	785.88	848.22	389.72	457.25	555.41	660.68
NECAP2	642.59	1447.15	1199.98	848.22	651.58	633.73	753.83	642.59	872.1	1233.75	860.08	1096.5	1685.71	1359.57	1407.55	1427.22	1487.87	753.83	1313.23	961.07	884.29	1340.84	1295.13	2193.99	1216.75	1059.11	890.44	555.41	371.22	463.65	457.25	536.45	713.11	802.41	603.67	595.34	830.75	414.87	567.1	529.06	1059.11	921.88	1015.93	1096.5	1191.69	974.5	796.86	1191.69	878.17	1498.22
NFAM1	5.92	46.18	31.0	16.63	2.43	5.5	40.64	32.36	5.77	16.27	15.22	211.31	169.07	62.56	170.25	173.85	137.14	2.73	92.7	13.22	8.45	31.0	108.9	348.71	71.0	56.28	4.54	2.41	6.11	8.65	15.56	9.56	15.11	100.13	8.58	10.24	44.57	20.26	17.38	9.63	51.35	27.05	104.42	58.3	83.45	45.85	18.56	48.52	17.64	133.36
NLRC4	8.19	11.73	28.24	5.87	6.46	4.24	10.47	7.63	10.96	13.62	9.63	52.82	69.03	44.57	120.94	53.57	60.39	7.0	55.89	12.36	13.52	37.32	33.3	73.54	18.03	42.71	5.36	7.69	7.75	9.93	26.28	17.0	26.86	42.71	23.08	28.45	10.08	18.16	18.43	21.78	26.86	6.84	77.25	25.72	28.45	15.0	6.26	46.18	14.35	23.59
NRP2	8.38	575.03	186.4	195.72	57.49	60.82	206.94	83.45	58.71	51.35	88.88	764.36	454.09	490.14	490.14	616.37	332.14	8.65	500.46	186.4	61.68	137.14	96.01	260.38	107.38	167.9	65.72	13.62	21.32	19.39	21.78	169.07	15.56	115.16	18.03	18.03	37.85	32.13	41.22	32.82	145.02	239.52	825.0	1662.49	353.59	1044.52	237.86	1417.35	316.37	540.19
