	TCGA.BH.A1EU.01A.11R.A137.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BP.5178.01A.01R.1426.07	TCGA.A3.A8OV.01A.11R.A37O.07	TCGA.CW.6088.01A.11R.1672.07	TCGA.B0.5812.01A.11R.1672.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4330.01A.01R.1289.07	TCGA.CZ.4857.01A.01R.1305.07	TCGA.CZ.5987.01A.11R.1672.07	TCGA.B2.A4SR.01A.11R.A266.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.A3.3378.01A.02R.1325.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.A3.3347.01A.02R.1325.07	TCGA.B0.4690.01A.01R.1277.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.4161.01A.02R.1325.07	TCGA.B8.4154.01A.01R.1188.07	TCGA.BP.4169.01A.02R.1289.07	TCGA.B0.4827.01A.02R.1420.07	TCGA.CZ.5459.01A.01R.1503.07	TCGA.CZ.5988.01A.11R.1672.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.MW.A4EC.01A.11R.A266.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.B2.5633.01A.01R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.3Z.A93Z.01A.11R.A37O.07	TCGA.B8.A7U6.01A.12R.A37O.07	TCGA.B8.4143.01A.01R.1188.07	TCGA.A3.A8OU.01A.11R.A37O.07	TCGA.CJ.6030.01A.11R.1672.07	TCGA.AK.3434.01A.02R.1277.07	TCGA.A3.3387.01A.01R.1541.07	TCGA.CJ.4892.01A.01R.1305.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.AK.3461.01A.02R.1277.07	TCGA.CZ.5460.01A.01R.1503.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.BP.4327.01A.01R.1289.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B0.5110.01A.01R.1420.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B0.4823.01A.02R.1420.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.AK.3428.01A.02R.1277.07	TCGA.B0.5703.01A.11R.1541.07	TCGA.BP.4354.01A.02R.1289.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.DV.5566.01A.01R.1541.07	TCGA.B0.5113.01A.01R.1420.07	TCGA.BP.4353.01A.02R.1289.07	TCGA.BP.4349.01A.01R.1289.07	TCGA.BP.4162.01A.02R.1325.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.B0.5115.01A.01R.1420.07	TCGA.BP.5007.01A.01R.1334.07	TCGA.AK.3455.01A.01R.0864.07	TCGA.B0.4838.01A.01R.1305.07	TCGA.BP.4347.01A.01R.1289.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4703.01A.01R.1277.07	TCGA.A3.3367.01A.02R.1420.07	TCGA.CJ.4872.01A.01R.1305.07	TCGA.B8.5552.01B.11R.1672.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.4163.01A.02R.1325.07	TCGA.A3.3351.01A.02R.1325.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.BP.5181.01A.01R.1426.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.B8.4151.01A.01R.1188.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.BP.5183.01A.01R.1426.07	TCGA.BP.4789.01A.01R.1305.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.CJ.4639.01A.02R.1325.07	TCGA.CZ.5451.01A.01R.1503.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.BP.4998.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.MM.A563.01A.11R.A266.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07
FBXW7	397.93	791.35	316.37	181.28	158.79	289.02	229.72	180.02	131.51	234.57	366.09	368.65	295.11	165.57	287.01	269.6	327.56	185.11	117.6	379.04	237.86	336.79	129.69	248.0	120.1	332.14	156.59	137.14	251.48	145.02	135.24	117.6	191.67	381.68	329.84	108.9	158.79	127.0	285.03	171.45	137.14	214.27	264.03	209.84	258.57	175.07	215.77	229.72	220.32	314.17	190.34	163.28	211.31	256.78	125.24	212.78	358.54	426.57	146.03	368.65	119.26	202.66	366.09	325.29	122.64	165.57	157.68	299.25	341.51	353.59	305.55	265.87	287.01	153.34	329.84	218.79	201.25	343.89	334.46	181.28	193.01	277.2	193.01	204.07	285.03	189.02	269.6	287.01	32.59	143.01	194.36	154.42	102.97	273.37	297.17	191.67	307.69	170.25	122.64	293.07	287.01	264.03	161.02	150.17	403.5	246.28	138.1	185.11	157.68	262.2	70.51	127.0	173.85	198.47	214.27	234.57	150.17	264.03	234.57	291.04	142.01	255.0	76.17	78.89	57.89	84.04	56.68
GPATCH2	748.61	351.14	117.6	66.18	51.71	169.07	149.12	116.78	112.77	77.79	158.79	123.5	145.02	142.01	169.07	147.06	176.29	99.43	90.14	172.65	191.67	137.14	97.36	159.9	90.77	159.9	107.38	73.03	181.28	88.26	164.42	114.36	113.56	152.28	120.94	105.89	135.24	90.14	153.34	98.73	78.89	167.9	206.94	121.79	161.02	108.9	127.0	150.17	141.02	133.36	96.01	109.66	155.5	129.69	85.22	113.56	232.94	72.52	109.66	148.09	118.43	88.26	226.54	167.9	51.35	110.43	88.26	177.53	144.01	138.1	169.07	231.32	167.9	80.01	199.85	120.94	211.31	193.01	161.02	105.15	121.79	159.9	125.24	124.37	134.3	109.66	117.6	220.32	40.93	104.42	126.12	101.54	127.89	94.01	166.73	84.63	142.01	90.77	128.79	135.24	178.77	162.14	87.03	103.69	167.9	124.37	110.43	94.01	74.06	165.57	141.02	74.06	96.68	131.51	101.54	199.85	86.43	201.25	145.02	148.09	94.01	134.3	38.12	13.32	75.11	41.52	19.39
GPATCH8	547.75	684.02	164.42	153.34	154.42	429.54	246.28	291.04	90.77	224.97	316.37	441.64	376.41	217.27	435.55	314.17	397.93	234.57	180.02	368.65	334.46	309.83	175.07	301.33	125.24	332.14	226.54	229.72	400.71	175.07	194.36	143.01	191.67	463.65	366.09	154.42	205.5	112.77	320.8	175.07	155.5	193.01	281.09	236.21	325.29	242.88	339.14	244.57	325.29	332.14	223.41	209.84	209.84	267.73	124.37	258.57	353.59	143.01	195.72	450.94	186.4	273.37	314.17	450.94	146.03	169.07	173.85	400.71	287.01	312.0	373.81	271.48	307.69	180.02	356.05	323.03	197.09	409.15	312.0	228.13	183.82	356.05	392.44	281.09	361.04	173.85	301.33	447.82	14.78	279.14	150.17	229.72	167.9	193.01	291.04	193.01	314.17	201.25	269.6	287.01	339.14	336.79	237.86	307.69	463.65	181.28	161.02	166.73	161.02	217.27	119.26	195.72	191.67	234.57	217.27	289.02	118.43	289.02	215.77	234.57	189.02	260.38	147.06	57.89	101.54	74.06	51.71
GTF2E1	314.17	264.03	151.22	115.16	64.34	217.27	170.25	158.79	246.28	124.37	163.28	137.14	180.02	72.01	149.12	144.01	167.9	140.04	131.51	180.02	221.86	125.24	98.73	154.42	169.07	159.9	161.02	63.89	182.55	73.54	151.22	116.78	102.25	163.28	182.55	106.63	132.44	59.13	152.28	142.01	90.77	100.83	189.02	122.64	186.4	125.24	228.13	118.43	151.22	100.83	113.56	157.68	125.24	121.79	97.36	98.04	147.06	127.89	130.6	206.94	122.64	63.45	206.94	90.14	110.43	86.43	145.02	144.01	164.42	115.97	130.6	161.02	151.22	115.97	138.1	141.02	175.07	138.1	122.64	105.89	121.79	162.14	125.24	171.45	206.94	166.73	212.78	157.68	55.1	126.12	104.42	91.41	128.79	122.64	110.43	133.36	118.43	153.34	122.64	161.02	156.59	169.07	98.04	125.24	162.14	120.1	128.79	155.5	148.09	133.36	105.89	131.51	136.19	121.79	146.03	163.28	102.25	133.36	151.22	89.51	92.05	166.73	71.5	78.34	92.7	82.29	60.82
GTF2H3	748.61	518.15	532.74	173.85	244.57	500.46	334.46	271.48	249.73	209.84	325.29	323.03	525.39	287.01	389.72	236.21	358.54	283.05	146.03	543.96	723.08	239.52	149.12	334.46	343.89	409.15	208.38	212.78	429.54	239.52	183.82	187.71	265.87	406.31	376.41	242.88	237.86	167.9	285.03	172.65	114.36	255.0	429.54	239.52	346.29	223.41	454.09	189.02	289.02	285.03	186.4	273.37	169.07	186.4	265.87	195.72	400.71	148.09	358.54	353.59	435.55	283.05	603.67	591.22	141.02	392.44	209.84	368.65	486.75	191.67	409.15	195.72	289.02	167.9	289.02	228.13	283.05	400.71	299.25	275.28	153.34	346.29	287.01	273.37	379.04	215.77	412.0	303.44	123.5	295.11	228.13	368.65	291.04	147.06	231.32	169.07	170.25	242.88	258.57	329.84	339.14	336.79	283.05	287.01	341.51	154.42	151.22	358.54	164.42	242.88	379.04	346.29	205.5	218.79	291.04	182.55	164.42	318.57	223.41	161.02	158.79	246.28	103.69	94.01	145.02	117.6	114.36
GZF1	363.56	206.94	132.44	98.73	87.03	167.9	143.01	175.07	144.01	113.56	215.77	152.28	175.07	165.57	178.77	165.57	220.32	90.77	111.99	217.27	346.29	136.19	122.64	178.77	111.21	384.34	181.28	115.16	154.42	116.78	126.12	199.85	129.69	163.28	156.59	102.97	111.21	90.77	195.72	154.42	120.94	135.24	87.65	143.01	189.02	96.68	150.17	135.24	153.34	133.36	166.73	138.1	135.24	159.9	122.64	99.43	291.04	115.97	153.34	185.11	119.26	127.0	191.67	129.69	115.97	242.88	181.28	204.07	166.73	175.07	169.07	112.77	167.9	96.68	139.07	92.7	82.29	159.9	163.28	121.79	151.22	155.5	98.04	148.09	224.97	112.77	108.9	144.01	60.39	95.34	80.57	131.51	170.25	92.05	96.68	102.25	90.14	138.1	119.26	149.12	167.9	123.5	80.01	125.24	153.34	172.65	100.83	117.6	137.14	105.15	158.79	172.65	96.68	90.14	110.43	141.02	104.42	229.72	118.43	95.34	150.17	167.9	73.54	102.25	61.68	76.17	56.28
HACE1	147.06	500.46	209.84	70.51	111.99	172.65	162.14	117.6	48.52	107.38	140.04	163.28	201.25	68.55	214.27	128.79	167.9	149.12	64.34	118.43	273.37	183.82	67.59	139.07	135.24	193.01	129.69	121.79	167.9	72.52	40.36	77.25	96.68	228.13	177.53	107.38	108.9	72.52	124.37	82.87	82.29	113.56	105.15	141.02	149.12	72.52	110.43	138.1	145.02	104.42	86.43	140.04	91.41	112.77	90.77	102.25	223.41	61.68	113.56	171.45	145.02	75.11	139.07	186.4	108.9	85.22	98.04	178.77	212.78	150.17	138.1	97.36	120.94	92.7	142.01	163.28	159.9	153.34	175.07	88.26	96.68	131.51	190.34	117.6	141.02	115.16	93.35	153.34	12.0	118.43	88.88	148.09	82.87	112.77	165.57	71.5	140.04	101.54	122.64	167.9	153.34	182.55	128.79	111.99	170.25	98.73	60.39	116.78	78.34	91.41	69.52	112.77	85.22	133.36	138.1	103.69	78.89	170.25	127.89	111.99	59.97	154.42	24.63	37.32	24.99	7.57	16.03
HEATR1	473.41	591.22	63.45	118.43	62.12	237.86	189.02	170.25	171.45	193.01	209.84	173.85	316.37	181.28	182.55	139.07	229.72	152.28	130.6	287.01	323.03	162.14	145.02	297.17	106.63	211.31	194.36	185.11	241.19	148.09	231.32	195.72	105.89	190.34	283.05	124.37	145.02	82.87	191.67	159.9	92.05	144.01	218.79	138.1	191.67	132.44	217.27	113.56	182.55	205.5	138.1	149.12	149.12	150.17	95.34	170.25	214.27	96.01	154.42	187.71	183.82	131.51	273.37	177.53	126.12	116.78	147.06	224.97	201.25	151.22	166.73	161.02	221.86	108.14	260.38	153.34	183.82	211.31	167.9	134.3	136.19	204.07	228.13	187.71	211.31	151.22	220.32	246.28	28.86	163.28	88.88	239.52	120.94	94.67	139.07	107.38	135.24	166.73	178.77	195.72	194.36	212.78	149.12	198.47	224.97	128.79	121.79	144.01	111.21	121.79	162.14	163.28	124.37	158.79	153.34	194.36	124.37	325.29	135.24	120.1	118.43	178.77	58.71	43.32	85.22	54.33	32.13
HELB	69.52	105.89	5.87	7.28	10.24	21.78	13.22	12.55	14.03	10.63	25.72	21.94	45.21	15.45	22.26	14.45	42.11	14.78	6.73	42.71	39.5	25.91	11.21	35.76	11.38	41.81	9.48	12.18	30.78	17.25	13.93	11.38	6.78	32.13	24.28	5.54	9.93	2.78	42.11	3.72	7.94	12.36	19.97	14.24	17.64	9.06	29.7	17.38	30.12	27.64	16.63	11.73	10.16	14.14	5.36	10.08	22.59	8.45	8.45	22.1	38.67	18.7	29.27	28.65	7.11	10.47	3.76	45.53	21.78	17.25	35.0	17.25	44.25	12.45	19.68	21.63	14.89	31.22	17.9	14.89	5.32	19.68	19.39	31.9	23.42	7.69	19.39	47.5	0.78	14.24	9.93	13.72	12.74	11.73	11.38	9.2	22.43	8.58	26.47	17.9	26.28	43.02	14.35	22.43	44.25	10.39	7.22	12.27	3.59	13.93	18.43	23.08	16.15	11.73	10.96	15.91	5.28	26.67	10.24	14.03	10.55	10.47	3.0	2.58	2.61	2.71	4.98
HELZ	336.79	406.31	57.49	95.34	92.05	314.17	172.65	159.9	68.07	147.06	163.28	228.13	251.48	134.3	218.79	169.07	356.05	167.9	75.11	249.73	199.85	169.07	138.1	191.67	87.65	232.94	175.07	136.19	220.32	105.89	107.38	96.01	91.41	273.37	248.0	92.7	122.64	68.55	191.67	106.63	86.43	116.78	199.85	122.64	175.07	145.02	206.94	140.04	163.28	214.27	124.37	147.06	108.9	145.02	94.67	146.03	244.57	69.03	102.97	275.28	144.01	157.68	214.27	265.87	78.34	121.79	108.14	223.41	223.41	143.01	193.01	120.1	208.38	87.03	185.11	176.29	95.34	178.77	147.06	119.26	104.42	181.28	221.86	161.02	211.31	107.38	176.29	248.0	11.64	156.59	90.14	167.9	96.01	111.21	221.86	105.15	156.59	125.24	150.17	204.07	198.47	209.84	142.01	164.42	303.44	166.73	110.43	119.26	112.77	111.99	111.99	142.01	115.97	155.5	146.03	164.42	59.97	169.07	134.3	166.73	107.38	111.99	73.03	32.36	42.11	43.63	43.32
HERPUD2	532.74	759.08	397.93	395.18	480.04	624.99	417.77	521.76	351.14	389.72	525.39	616.37	674.59	381.68	599.49	423.61	555.41	397.93	256.78	599.49	791.35	441.64	293.07	466.88	486.75	595.34	397.93	329.84	559.28	373.81	348.71	466.88	353.59	607.87	567.1	486.75	559.28	301.33	532.74	346.29	381.68	543.96	351.14	384.34	466.88	466.88	529.06	423.61	483.38	497.0	400.71	457.25	412.0	381.68	327.56	392.44	567.1	325.29	547.75	555.41	490.14	583.07	591.22	476.71	463.65	497.0	409.15	665.29	764.36	460.44	693.58	373.81	583.07	361.04	420.68	457.25	447.82	638.15	493.56	387.02	297.17	438.59	493.56	493.56	612.11	314.17	490.14	536.45	283.05	503.95	409.15	507.46	587.13	518.15	379.04	486.75	529.06	435.55	412.0	466.88	470.14	529.06	518.15	490.14	555.41	339.14	351.14	438.59	379.04	358.54	389.72	503.95	376.41	371.22	470.14	366.09	379.04	518.15	379.04	490.14	320.8	406.31	221.86	163.28	152.28	351.14	152.28
HMG20A	791.35	1059.11	220.32	332.14	346.29	651.58	599.49	507.46	265.87	480.04	551.56	579.04	384.34	511.0	651.58	454.09	703.28	525.39	318.57	633.73	599.49	521.76	346.29	620.67	371.22	490.14	518.15	371.22	775.05	432.53	518.15	373.81	356.05	674.59	728.11	361.04	435.55	299.25	563.18	373.81	312.0	389.72	571.05	412.0	669.92	595.34	723.08	540.19	454.09	500.46	381.68	438.59	368.65	466.88	314.17	329.84	620.67	309.83	490.14	884.29	417.77	529.06	612.11	629.35	341.51	361.04	329.84	684.02	915.51	441.64	476.71	480.04	567.1	384.34	575.03	518.15	366.09	547.75	543.96	412.0	371.22	693.58	563.18	571.05	567.1	447.82	743.43	669.92	129.69	429.54	426.57	417.77	351.14	368.65	447.82	381.68	426.57	384.34	417.77	591.22	693.58	612.11	409.15	403.5	723.08	397.93	403.5	486.75	351.14	473.41	397.93	400.71	514.56	511.0	366.09	463.65	358.54	616.37	529.06	363.56	420.68	587.13	185.11	144.01	204.07	224.97	226.54
IRAK4	612.11	599.49	392.44	149.12	180.02	334.46	267.73	202.66	244.57	178.77	343.89	353.59	426.57	246.28	395.18	197.09	500.46	228.13	137.14	441.64	457.25	327.56	193.01	307.69	297.17	334.46	185.11	187.71	323.03	185.11	183.82	271.48	256.78	379.04	303.44	116.78	182.55	127.0	343.89	150.17	163.28	162.14	444.72	209.84	309.83	165.57	387.02	206.94	248.0	273.37	197.09	194.36	178.77	218.79	146.03	205.5	327.56	248.0	318.57	358.54	260.38	163.28	351.14	414.87	123.5	242.88	93.35	395.18	420.68	208.38	368.65	285.03	381.68	206.94	251.48	281.09	316.37	397.93	264.03	264.03	152.28	373.81	295.11	297.17	299.25	189.02	161.02	412.0	381.68	195.72	275.28	236.21	205.5	167.9	283.05	253.23	353.59	155.5	251.48	241.19	336.79	320.8	180.02	291.04	395.18	220.32	159.9	232.94	145.02	244.57	262.2	223.41	212.78	189.02	172.65	253.23	224.97	384.34	249.73	320.8	177.53	297.17	61.68	47.5	65.26	102.25	36.01
KBTBD2	738.29	1322.37	470.14	363.56	332.14	764.36	961.07	603.67	414.87	532.74	748.61	543.96	633.73	441.64	713.11	656.11	521.76	525.39	297.17	629.35	802.41	665.29	239.52	579.04	454.09	941.27	432.53	432.53	791.35	293.07	371.22	361.04	642.59	902.89	651.58	547.75	583.07	540.19	684.02	457.25	444.72	808.0	642.59	532.74	642.59	536.45	599.49	466.88	575.03	624.99	559.28	616.37	486.75	447.82	429.54	379.04	967.76	412.0	579.04	1001.93	708.18	532.74	934.76	587.13	438.59	460.44	514.56	764.36	684.02	547.75	884.29	447.82	656.11	234.57	638.15	466.88	325.29	660.68	748.61	423.61	423.61	718.08	460.44	698.41	872.1	514.56	551.56	669.92	99.43	454.09	493.56	642.59	426.57	438.59	417.77	417.77	595.34	567.1	343.89	848.22	708.18	703.28	454.09	620.67	753.83	466.88	444.72	497.0	384.34	466.88	249.73	567.1	376.41	514.56	497.0	493.56	316.37	688.78	532.74	379.04	371.22	603.67	155.5	239.52	141.02	189.02	152.28
KCTD7	279.14	444.72	97.36	100.83	118.43	262.2	109.66	164.42	76.17	139.07	194.36	248.0	346.29	141.02	239.52	141.02	312.0	94.01	93.35	395.18	295.11	145.02	71.5	201.25	82.29	264.03	86.43	105.89	205.5	93.35	77.79	173.85	92.05	220.32	244.57	79.45	131.51	77.25	281.09	132.44	87.03	115.97	318.57	143.01	122.64	94.67	256.78	127.0	159.9	162.14	113.56	148.09	115.16	157.68	77.79	157.68	309.83	127.0	99.43	242.88	173.85	139.07	295.11	211.31	72.01	144.01	66.18	406.31	175.07	157.68	205.5	189.02	212.78	138.1	214.27	182.55	105.89	147.06	187.71	117.6	90.77	316.37	271.48	122.64	167.9	89.51	220.32	297.17	16.75	159.9	129.69	167.9	124.37	114.36	194.36	132.44	293.07	94.67	143.01	166.73	275.28	189.02	85.22	199.85	279.14	126.12	61.68	98.04	82.29	135.24	147.06	162.14	81.71	199.85	173.85	159.9	87.03	262.2	96.68	156.59	157.68	183.82	60.39	91.41	112.77	28.45	23.59
KDM5A	738.29	497.0	289.02	151.22	126.12	466.88	273.37	251.48	187.71	187.71	277.2	397.93	417.77	269.6	339.14	248.0	397.93	295.11	114.36	438.59	379.04	246.28	115.97	295.11	114.36	361.04	244.57	186.4	384.34	190.34	193.01	150.17	152.28	420.68	441.64	163.28	201.25	151.22	387.02	154.42	120.1	162.14	255.0	185.11	277.2	190.34	341.51	189.02	256.78	217.27	242.88	234.57	137.14	183.82	126.12	189.02	346.29	136.19	273.37	450.94	293.07	198.47	363.56	435.55	165.57	187.71	162.14	470.14	392.44	197.09	412.0	195.72	281.09	112.77	231.32	234.57	148.09	323.03	287.01	224.97	137.14	312.0	307.69	258.57	361.04	152.28	423.61	414.87	27.25	248.0	151.22	356.05	104.42	128.79	220.32	140.04	205.5	162.14	175.07	334.46	358.54	373.81	265.87	363.56	406.31	214.27	169.07	285.03	145.02	185.11	135.24	273.37	211.31	201.25	187.71	195.72	123.5	234.57	189.02	253.23	133.36	206.94	61.25	53.57	50.63	105.15	78.89
KIAA1432	457.25	429.54	264.03	106.63	96.68	253.23	211.31	180.02	110.43	112.77	248.0	260.38	209.84	88.88	242.88	158.79	346.29	194.36	99.43	256.78	242.88	249.73	119.26	221.86	99.43	281.09	204.07	153.34	256.78	72.52	120.1	85.22	157.68	303.44	212.78	152.28	162.14	70.01	285.03	90.77	96.01	135.24	329.84	144.01	170.25	125.24	253.23	157.68	169.07	214.27	170.25	155.5	79.45	144.01	106.63	134.3	242.88	127.89	136.19	301.33	139.07	120.94	423.61	279.14	115.97	297.17	119.26	237.86	258.57	165.57	246.28	215.77	336.79	85.22	221.86	194.36	133.36	228.13	212.78	135.24	144.01	336.79	291.04	199.85	249.73	108.9	201.25	318.57	32.59	183.82	95.34	170.25	102.25	102.97	202.66	110.43	189.02	113.56	105.15	236.21	229.72	239.52	142.01	142.01	275.28	120.94	119.26	145.02	101.54	127.0	108.9	122.64	90.14	187.71	154.42	212.78	77.25	228.13	149.12	103.69	79.45	164.42	52.08	77.25	34.26	40.07	82.29
KIAA1524	100.83	81.71	101.54	31.0	12.36	99.43	90.14	68.07	78.34	19.97	50.63	61.25	73.54	33.78	53.57	80.01	65.72	36.79	55.49	108.9	181.28	48.18	34.02	81.14	66.65	79.45	46.5	33.78	84.63	34.75	70.01	15.0	23.76	53.95	34.02	31.9	43.94	33.3	105.15	47.17	26.67	49.21	94.01	37.59	52.08	54.72	163.28	30.34	57.49	40.36	68.55	74.58	73.03	34.02	47.5	28.24	73.03	32.59	26.28	68.07	58.3	53.19	153.34	29.48	26.28	44.89	59.13	74.58	56.68	46.18	84.63	90.14	58.3	33.3	98.04	47.84	54.33	88.88	103.69	37.85	43.94	65.26	32.59	57.49	57.49	39.79	124.37	94.01	6.89	53.19	55.49	44.25	75.11	39.22	53.57	71.5	155.5	67.12	83.45	78.34	76.17	78.34	60.82	24.81	60.82	47.84	52.82	61.25	25.17	57.89	54.72	31.22	66.65	62.56	50.98	68.07	26.1	54.72	40.64	29.27	42.71	60.82	15.45	1.83	17.0	4.46	1.16
L3MBTL3	152.28	165.57	11.91	63.0	60.82	141.02	120.1	100.83	58.3	61.25	143.01	131.51	107.38	40.64	166.73	76.17	119.26	134.3	83.45	115.16	115.97	146.03	31.9	84.04	59.13	155.5	88.88	69.52	176.29	38.67	63.45	43.63	80.01	180.02	146.03	79.45	89.51	34.02	154.42	98.73	57.08	89.51	118.43	57.89	212.78	74.58	150.17	64.8	132.44	93.35	63.0	82.29	62.56	66.18	64.8	63.0	194.36	41.81	85.22	183.82	90.14	75.64	162.14	133.36	83.45	60.82	79.45	133.36	146.03	106.63	94.01	88.88	152.28	69.52	93.35	105.15	80.57	62.56	89.51	71.5	76.71	194.36	146.03	94.67	175.07	72.52	131.51	135.24	6.57	90.77	74.58	125.24	70.01	115.16	133.36	59.55	87.03	62.56	63.45	173.85	181.28	131.51	62.12	199.85	146.03	64.8	78.89	80.01	67.59	92.05	17.51	84.04	65.72	128.79	101.54	121.79	58.3	99.43	93.35	40.64	46.5	134.3	35.5	39.22	44.57	15.68	23.42
LATS1	346.29	808.0	74.06	74.06	126.12	327.56	258.57	198.47	101.54	157.68	178.77	239.52	220.32	90.77	256.78	218.79	262.2	161.02	104.42	183.82	205.5	191.67	71.0	226.54	120.94	242.88	158.79	144.01	279.14	75.64	100.13	75.64	87.65	318.57	255.0	135.24	170.25	75.64	221.86	127.89	107.38	151.22	153.34	113.56	223.41	140.04	218.79	125.24	185.11	178.77	132.44	183.82	130.6	112.77	100.13	141.02	264.03	78.34	197.09	307.69	177.53	195.72	242.88	220.32	103.69	109.66	147.06	312.0	232.94	162.14	214.27	163.28	218.79	95.34	214.27	187.71	167.9	253.23	209.84	150.17	118.43	223.41	244.57	211.31	244.57	137.14	194.36	287.01	24.63	118.43	129.69	181.28	142.01	119.26	167.9	88.26	161.02	149.12	141.02	256.78	229.72	285.03	153.34	183.82	285.03	123.5	127.0	139.07	108.9	108.9	79.45	140.04	148.09	169.07	167.9	146.03	91.41	176.29	127.89	110.43	81.14	199.85	73.54	36.53	46.18	32.36	43.02
LCOR	329.84	316.37	98.73	64.8	61.25	169.07	125.24	127.0	67.12	88.88	136.19	170.25	206.94	113.56	159.9	127.0	201.25	108.14	53.57	220.32	157.68	129.69	58.71	134.3	58.71	145.02	91.41	96.68	177.53	43.63	76.17	78.34	53.95	211.31	180.02	70.51	105.89	34.02	161.02	83.45	42.11	69.03	112.77	70.51	113.56	100.83	156.59	92.7	125.24	147.06	76.71	95.34	75.64	96.01	37.32	94.67	155.5	54.72	82.29	211.31	105.89	70.51	204.07	90.77	53.19	87.03	59.97	173.85	153.34	92.7	172.65	97.36	154.42	48.18	138.1	121.79	100.13	162.14	106.63	68.55	60.39	162.14	189.02	85.82	136.19	46.18	145.02	208.38	15.8	84.63	58.3	121.79	58.71	72.01	94.01	75.64	146.03	70.01	111.99	120.94	144.01	164.42	87.03	167.9	220.32	62.12	74.58	90.77	47.84	69.52	23.08	111.99	86.43	105.89	72.01	72.01	76.17	78.89	81.14	85.22	78.89	75.11	40.07	17.25	22.75	15.0	17.77
