	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.E2.A158.11A.22R.A12D.07	GTEX.11ONC.2026.SM.5HL61	GTEX.11O72.2026.SM.5N9G8	GTEX.11GSP.1726.SM.5A5LI	TCGA.38.4625.01A.01R.1206.07	TCGA.BJ.A2N8.11A.11R.A18C.07	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.N7MS.2326.SM.2HMLD	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.11DXY.0426.SM.5H12R	GTEX.12WSK.0926.SM.5CVNQ	GTEX.145LU.0426.SM.5O9AH	GTEX.117XS.0526.SM.5987Q	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11NSD.0126.SM.5987F	GTEX.WL46.0126.SM.3TW8I	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.SIU8.0626.SM.2XCDN	GTEX.139TS.0126.SM.5K7XJ	GTEX.WK11.0926.SM.3NMAU	GTEX.T2IS.0626.SM.32QP6	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.ZDTS.0926.SM.4WAXG	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.13112.0326.SM.5P9IW	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.11EMC.0226.SM.5EGLP
OGN	3540.14	3257.52	4704.07	3820.7	1857.6	0.0	114.36	2148.82	1143.1	180.02	102.25	99.43	0.0	358.54	4512.4	5.59	981.29	563.18	2701.35	140.04	5112.16	1111.82	80.01	93.35	3665.02	325.29	183.82	218.79	209.84	1304.15	3690.52	190.34	1977.24	228.13	571.05	2451.44	204.07	191.67	29.48	3280.18	1529.73	1073.91	1605.83	51.71	98.73	99.43	32.13	228.13	38.12	86.43	6121.9	58.3	101.54	2061.24	75.64	1051.79	332.14	607.87	1066.48	279.14	669.92
OLFML1	665.29	947.83	656.11	620.67	748.61	0.0	94.01	320.8	409.15	139.07	87.03	108.14	72.01	223.41	521.76	33.3	199.85	149.12	575.03	52.08	532.74	395.18	100.13	88.26	476.71	224.97	88.26	113.56	185.11	463.65	395.18	118.43	493.56	314.17	251.48	490.14	146.03	70.51	88.26	878.17	497.0	283.05	339.14	57.08	102.25	104.42	41.81	206.94	48.18	61.68	633.73	65.72	108.9	476.71	102.25	309.83	88.88	295.11	320.8	149.12	325.29
PAMR1	1015.93	511.0	703.28	1674.06	693.58	0.0	24.81	366.09	260.38	53.19	99.43	14.45	102.97	96.01	297.17	105.89	194.36	59.55	255.0	24.28	271.48	373.81	67.59	37.32	253.23	19.39	43.94	29.48	70.51	255.0	178.77	69.52	206.94	135.24	138.1	435.55	16.88	119.26	41.52	379.04	356.05	175.07	403.5	25.91	43.63	29.91	53.95	123.5	17.51	13.93	866.07	20.11	6.46	323.03	38.95	314.17	114.36	137.14	145.02	82.29	255.0
PTRF	13681.08	15934.98	5872.48	9215.48	10154.69	1963.57	2502.97	3742.05	3564.78	2758.13	2537.92	2434.5	1832.01	2956.17	6983.79	1963.57	4210.15	3325.99	6207.38	1639.59	7280.4	3716.2	2335.28	2119.22	5672.41	3768.09	2758.13	2335.28	2434.5	4123.49	4671.57	2018.8	4802.93	3690.52	3124.78	4937.99	2400.97	1977.24	2193.99	4869.99	5147.73	3443.31	2915.45	1583.71	1709.26	1407.55	2351.53	2796.65	1242.34	1594.73	7642.41	1378.57	2468.49	4181.07	2271.4	3665.02	2303.12	3081.75	3303.0	2209.26	4607.24
RAB32	902.89	878.17	1268.46	928.3	842.36	0.0	165.57	336.79	255.0	237.86	251.48	262.2	301.33	351.14	748.61	57.49	587.13	341.51	450.94	166.73	587.13	476.71	120.1	209.84	426.57	318.57	241.19	241.19	159.9	241.19	450.94	156.59	466.88	299.25	193.01	339.14	281.09	208.38	248.0	392.44	579.04	253.23	301.33	190.34	279.14	171.45	237.86	260.38	171.45	246.28	1437.15	158.79	191.67	332.14	223.41	211.31	182.55	173.85	262.2	264.03	571.05
RECK	392.44	665.29	205.5	483.38	514.56	0.0	111.21	186.4	218.79	155.5	130.6	87.03	80.57	198.47	197.09	67.59	158.79	156.59	275.28	141.02	241.19	215.77	120.94	101.54	236.21	111.21	151.22	123.5	117.6	211.31	236.21	112.77	237.86	139.07	150.17	258.57	139.07	133.36	89.51	323.03	258.57	167.9	186.4	100.13	89.51	78.34	98.04	154.42	87.65	79.45	323.03	87.03	111.99	204.07	141.02	180.02	120.94	144.01	224.97	147.06	246.28
SEMA3C	1572.76	1769.57	954.43	1388.16	1143.1	0.0	12.83	89.51	37.85	35.5	11.04	7.69	2.39	66.65	483.38	6.89	144.01	90.77	218.79	25.54	555.41	193.01	15.68	22.1	295.11	40.93	49.91	13.83	13.22	283.05	289.02	20.26	368.65	10.55	31.67	178.77	23.42	11.82	10.71	368.65	218.79	73.54	92.7	16.51	7.34	17.9	23.59	31.9	26.67	14.14	1191.69	12.74	30.78	218.79	16.63	56.68	10.08	32.13	126.12	55.49	149.12
TG	14.35	9.63	10.79	27.64	59.13	0.0	1131651.83	1393227.06	2068278.89	1452391.55	2247670.86	2126426.15	1503610.06	2375828.71	614902.29	2111737.85	1611529.43	1611529.43	757033.75	1308968.45	466008.55	778316.89	1838374.44	1997825.68	1535204.12	1984025.69	1336472.68	1997825.68	1085552.95	1984025.69	1196176.45	2986448.72	1567462.05	2025714.3	2425749.94	1318073.06	1929772.37	1327240.99	1943195.01	318292.9	649962.87	1622738.51	1589343.01	1336472.68	2636147.11	2263304.65	2111737.85	1691649.38	1800541.22	3178687.03	509950.32	3886391.01	1622738.51	659036.03	2263304.65	1535204.12	2672946.37	1864037.21	1634025.56	1402917.72	645473.24
TIMP2	10808.41	15180.22	11112.3	12244.81	13492.72	0.0	1883.54	3690.52	3614.55	2335.28	1745.2	1313.23	718.08	2976.74	5791.62	890.44	2875.3	2777.33	7382.04	1832.01	5831.91	5255.91	1508.65	1397.83	5954.47	1781.89	2573.36	2004.85	1923.14	4481.23	5633.22	2468.49	5672.41	2758.13	3018.3	5751.61	2119.22	1883.54	718.08	6935.54	7130.55	3928.15	3982.99	1806.78	941.27	1073.91	1225.22	2417.67	995.0	909.17	10659.59	1044.52	1268.46	5403.7	1674.06	3257.52	2075.59	2400.97	3716.2	2956.17	5441.3
TNXB	5913.33	9409.14	4802.93	32092.64	18052.61	0.0	283.05	2537.92	1008.9	507.46	555.41	373.81	59.55	1397.83	3103.19	82.87	1781.89	988.12	3018.3	208.38	4066.71	3060.45	591.22	507.46	2835.7	674.59	780.44	476.71	674.59	2777.33	1721.16	665.29	4210.15	708.18	988.12	4704.07	480.04	819.3	444.72	7695.57	3491.39	2004.85	2193.99	384.34	246.28	356.05	341.51	890.44	285.03	277.2	11992.79	218.79	438.59	2855.44	346.29	1216.75	567.1	1191.69	1044.52	909.17	3303.0
TSHZ2	119.26	202.66	79.45	521.76	130.6	0.0	21.94	70.01	40.07	18.03	10.16	17.0	8.45	38.95	180.02	8.38	38.12	47.84	76.71	11.38	94.01	75.11	21.01	17.9	73.03	52.08	25.17	18.7	16.27	59.13	93.35	24.63	61.25	34.26	76.71	84.63	19.39	26.67	5.36	114.36	101.54	47.17	49.21	8.32	5.96	15.56	12.64	24.99	6.26	9.06	143.01	11.55	8.38	70.51	18.56	48.87	21.01	23.25	38.67	27.25	69.03
WNT2	30.56	127.89	13.52	77.79	27.05	0.0	2.71	18.84	5.68	4.5	11.55	0.83	0.0	12.64	24.28	0.0	14.89	14.67	5.92	1.11	35.5	15.45	1.08	3.99	19.39	1.71	6.67	1.16	0.54	16.39	27.05	3.53	46.18	2.29	6.31	21.63	5.23	0.0	15.11	18.97	19.25	2.36	1.53	0.29	3.17	4.06	4.21	3.82	11.91	1.25	110.43	9.7	2.86	19.11	9.85	5.36	0.24	1.28	7.17	16.39	15.45
