	TCGA.A7.A26G.01A.21R.A169.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.W5X1.2326.SM.3GIL6	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.UB.A7MF.01A.11R.A33J.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.ZXG5.0826.SM.5GID6	GTEX.S7SE.0926.SM.2XCD6	GTEX.131YS.0926.SM.5IJB9	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.WYVS.0526.SM.3NM9W	GTEX.131XH.0426.SM.5DUWU
PTPRA	1662.49	1883.54	3515.68	301.33	297.17	417.77	376.41	381.68	242.88	334.46	115.97	0.0	0.75	1143.1	796.86	1286.18	2148.82	2119.22	2502.97	684.02	842.36	1583.71	1242.34	974.5	2047.0	1225.22	1111.82	1350.18	890.44	1037.29	1191.69	543.96	896.64
RBM12	1216.75	995.0	642.59	116.78	127.89	143.01	120.94	231.32	119.26	107.38	199.85	0.0	0.43	620.67	483.38	698.41	591.22	543.96	529.06	802.41	454.09	981.29	1111.82	902.89	713.11	486.75	559.28	348.71	647.07	836.53	915.51	638.15	775.05
RECQL	1015.93	854.13	819.3	66.18	96.01	122.64	112.77	146.03	28.24	34.51	96.68	0.0	0.72	450.94	366.09	529.06	1388.16	759.08	947.83	291.04	251.48	493.56	500.46	327.56	599.49	532.74	470.14	327.56	305.55	454.09	486.75	698.41	301.33
RIF1	457.25	400.71	764.36	39.79	33.78	60.39	38.95	48.52	36.01	14.03	111.21	0.0	0.62	218.79	141.02	117.6	239.52	204.07	178.77	137.14	125.24	129.69	157.68	132.44	237.86	212.78	134.3	92.05	131.51	139.07	248.0	106.63	124.37
RNF150	236.21	728.11	738.29	0.0	1.35	3.17	1.75	1.68	0.46	4.24	0.64	0.0	0.26	59.13	8.71	45.21	166.73	84.63	143.01	105.15	31.0	23.25	32.82	19.53	44.57	55.1	24.28	16.75	22.43	27.05	30.56	11.64	114.36
ROBO1	830.75	629.35	713.11	37.59	77.25	493.56	38.67	19.25	463.65	25.72	5.02	426.57	117.6	264.03	72.01	703.28	1487.87	842.36	1159.07	780.44	214.27	764.36	660.68	239.52	813.63	656.11	748.61	373.81	260.38	239.52	728.11	146.03	297.17
RP11-383H13.1	693.58	287.01	514.56	1.14	38.12	55.89	10.63	4.78	214.27	4.9	3.38	0.0	0.45	98.04	100.13	65.26	198.47	127.0	134.3	86.43	43.94	154.42	90.14	28.45	58.3	166.73	46.5	36.79	52.82	34.02	52.45	42.11	92.05
RSU1	3690.52	1896.65	2664.15	323.03	802.41	738.29	728.11	665.29	536.45	825.0	346.29	0.0	0.58	1498.22	1561.89	1923.14	2502.97	1844.76	2720.15	961.07	836.53	3467.27	2287.2	1628.26	1242.34	1977.24	1437.15	3235.01	884.29	1023.0	3060.45	1662.49	1674.06
SEPT7	3349.13	3349.13	6381.92	708.18	748.61	915.51	974.5	878.17	842.36	432.53	753.83	1745.2	358.54	2133.97	1870.53	3419.52	5872.48	4419.52	6164.49	1819.35	1651.0	3467.27	2835.7	2271.4	2434.5	2855.44	2855.44	3124.78	1259.69	2303.12	2997.45	2537.92	2271.4
SF3B1	6426.31	4802.93	8778.97	2417.67	2061.24	2271.4	2816.11	2855.44	2209.26	1030.12	1781.89	0.0	1.2	3589.58	2816.11	3955.48	4639.29	5872.48	4869.99	3303.0	2163.77	3257.52	5672.41	2935.74	8191.0	4869.99	3901.01	2537.92	6516.03	3982.99	3103.19	3081.75	3018.3
SGCD	177.53	497.0	698.41	5.06	0.84	8.38	4.86	0.44	4.78	10.24	1.27	0.0	0.27	143.01	47.5	84.63	202.66	89.51	346.29	232.94	299.25	265.87	170.25	48.87	147.06	120.1	95.34	161.02	20.26	262.2	223.41	52.08	140.04
SKIL	1388.16	529.06	493.56	38.95	57.49	98.04	73.54	55.1	63.89	42.11	111.99	177.53	813.63	363.56	674.59	1023.0	981.29	507.46	460.44	830.75	432.53	684.02	356.05	343.89	679.29	547.75	507.46	186.4	201.25	476.71	642.59	514.56	723.08
SLMAP	1350.18	1233.75	2367.9	95.34	221.86	246.28	142.01	221.86	215.77	87.65	148.09	0.0	0.32	620.67	417.77	743.43	1883.54	490.14	947.83	961.07	356.05	785.88	629.35	780.44	571.05	521.76	633.73	341.51	417.77	438.59	703.28	423.61	780.44
SNAI2	642.59	791.35	1104.13	25.54	223.41	92.05	127.0	8.78	15.45	74.06	11.47	0.0	0.68	15.34	8.0	115.16	189.02	264.03	607.87	31.22	13.32	211.31	29.06	16.39	287.01	20.56	189.02	334.46	708.18	18.97	98.04	283.05	80.01
SOCS5	713.11	616.37	1119.56	33.78	54.72	92.05	60.39	132.44	44.89	38.67	31.22	0.0	0.31	199.85	376.41	397.93	607.87	332.14	397.93	182.55	153.34	177.53	194.36	151.22	327.56	148.09	283.05	195.72	142.01	152.28	177.53	194.36	135.24
SOGA1	285.03	320.8	368.65	7.06	18.84	21.78	16.63	38.4	51.35	7.11	1.97	0.0	0.59	96.68	55.49	217.27	299.25	205.5	289.02	102.97	48.52	116.78	163.28	29.27	111.99	91.41	141.02	128.79	40.93	69.52	110.43	84.63	118.43
SOX5	159.9	158.79	108.14	64.8	16.27	40.36	45.21	0.84	28.24	48.87	88.26	0.0	0.26	91.41	35.25	85.82	271.48	59.55	107.38	162.14	65.72	156.59	46.84	132.44	43.02	77.79	81.71	24.81	38.4	112.77	126.12	19.68	217.27
SP3	1268.46	1407.55	2816.11	191.67	153.34	351.14	239.52	279.14	176.29	155.5	139.07	0.0	0.57	660.68	693.58	780.44	1331.57	1135.2	1322.37	660.68	599.49	764.36	656.11	591.22	1268.46	753.83	988.12	612.11	656.11	583.07	688.78	521.76	638.15
SPIN1	1127.35	1651.0	2816.11	71.5	134.3	186.4	109.66	208.38	143.01	183.82	76.71	0.0	0.37	595.34	808.0	1167.14	1857.6	1331.57	2018.8	638.15	285.03	808.0	1088.92	660.68	1277.29	665.29	974.5	921.88	503.95	536.45	884.29	547.75	559.28
TAB3	438.59	279.14	366.09	147.06	165.57	178.77	143.01	221.86	88.88	89.51	79.45	0.0	0.55	212.78	237.86	224.97	154.42	323.03	332.14	145.02	68.07	236.21	329.84	361.04	454.09	258.57	231.32	110.43	204.07	127.0	198.47	119.26	187.71
TAF3	178.77	237.86	264.03	41.22	30.34	37.85	34.26	76.71	48.87	32.13	34.02	0.0	0.28	92.7	77.79	177.53	267.73	169.07	220.32	90.14	68.07	99.43	88.88	57.08	115.16	77.25	161.02	126.12	92.05	104.42	93.35	82.29	109.66
TBC1D5	633.73	947.83	813.63	68.55	74.58	173.85	144.01	74.58	118.43	147.06	62.12	0.0	0.39	262.2	423.61	656.11	703.28	536.45	1111.82	312.0	127.89	780.44	629.35	371.22	633.73	460.44	703.28	500.46	346.29	275.28	669.92	334.46	314.17
TCF12	1551.09	1369.04	2224.63	101.54	120.94	164.42	141.02	208.38	105.15	87.03	67.12	0.0	0.51	435.55	529.06	775.05	1745.2	1030.12	1199.98	518.15	283.05	414.87	591.22	579.04	836.53	507.46	1001.93	400.71	387.02	684.02	753.83	371.22	769.69
TEX261	2163.77	1594.73	1561.89	444.72	684.02	848.22	836.53	607.87	587.13	738.29	660.68	0.0	0.4	688.78	595.34	1242.34	1388.16	1286.18	947.83	414.87	435.55	785.88	1015.93	540.19	1268.46	620.67	1008.9	1896.65	642.59	651.58	743.43	764.36	525.39
THSD7B	129.69	58.71	40.07	0.28	0.29	3.03	0.66	0.0	0.21	4.17	0.0	0.0	0.0	6.01	7.57	4.24	19.25	6.16	7.46	9.34	9.93	0.59	14.78	0.56	1.71	6.62	26.28	1.57	11.47	1.07	45.85	2.16	9.2
TMEM109	5041.77	2997.45	4239.45	1733.13	1369.04	1331.57	1769.57	1127.35	2133.97	1447.15	651.58	0.0	0.84	2555.58	1651.0	4388.98	6037.61	4095.0	7230.1	3443.31	6792.79	2537.92	3540.14	1709.26	2591.27	2104.58	3982.99	7280.4	1781.89	3901.01	3280.18	1883.54	2047.0
TMEM119	1388.16	205.5	236.21	9.06	24.81	41.81	18.43	11.91	11.21	15.45	5.41	0.0	0.53	616.37	429.54	273.37	703.28	3874.05	854.13	507.46	384.34	1359.57	1896.65	665.29	356.05	3794.3	146.03	693.58	665.29	269.6	591.22	403.5	234.57
TMEM168	599.49	503.95	796.86	76.17	55.89	151.22	65.72	45.21	88.26	77.79	43.63	0.0	0.44	236.21	409.15	283.05	336.79	463.65	400.71	145.02	67.12	199.85	289.02	323.03	743.43	351.14	256.78	457.25	195.72	146.03	167.9	339.14	217.27
TMEM43	1794.29	2758.13	2271.4	237.86	264.03	206.94	215.77	341.51	327.56	232.94	460.44	1909.85	595.34	1199.98	878.17	2133.97	3467.27	1806.78	2485.67	1127.35	518.15	1447.15	1583.71	860.08	1397.83	1051.79	1199.98	2119.22	1313.23	1617.0	1427.22	1008.9	1030.12
TMSB15B	228.13	221.86	759.08	0.67	4.94	5.45	5.41	5.54	6.94	2.29	4.66	0.0	0.47	101.54	24.99	104.42	241.19	295.11	137.14	50.27	14.24	125.24	279.14	63.0	575.03	70.51	82.87	40.93	51.71	62.12	65.26	88.88	112.77
TOR1AIP1	1806.78	1583.71	3614.55	264.03	145.02	466.88	307.69	316.37	198.47	249.73	217.27	0.0	0.24	647.07	540.19	1233.75	2018.8	1242.34	1628.26	476.71	435.55	620.67	684.02	493.56	1313.23	674.59	1023.0	1417.35	599.49	466.88	591.22	708.18	480.04
TSHZ3	182.55	269.6	351.14	2.01	9.13	9.7	8.85	8.85	3.29	9.27	5.87	0.0	0.65	112.77	28.86	124.37	389.72	176.29	248.0	111.21	262.2	255.0	103.69	43.02	90.14	86.43	102.25	53.19	56.28	150.17	169.07	64.34	134.3
TTC37	748.61	981.29	1639.59	212.78	353.59	251.48	256.78	154.42	341.51	61.68	146.03	0.0	0.67	400.71	256.78	463.65	629.35	848.22	1135.2	412.0	127.89	371.22	830.75	476.71	1044.52	444.72	607.87	253.23	791.35	381.68	669.92	376.41	483.38
VGLL4	1819.35	1268.46	1159.07	79.45	255.0	229.72	195.72	154.42	381.68	157.68	72.52	0.0	0.55	1096.5	490.14	902.89	1477.58	1037.29	1331.57	1709.26	1199.98	1233.75	1001.93	902.89	723.08	1233.75	1378.57	521.76	518.15	1175.27	866.07	579.04	1508.65
WDR7	215.77	234.57	441.64	44.89	43.02	51.71	42.11	35.76	26.67	67.12	58.71	0.0	0.29	129.69	82.29	158.79	316.37	297.17	579.04	62.12	71.5	162.14	147.06	277.2	497.0	115.97	221.86	78.89	164.42	135.24	181.28	105.89	161.02
XPO7	753.83	884.29	2032.85	102.97	145.02	301.33	131.51	220.32	127.0	199.85	57.89	0.0	0.82	409.15	373.81	698.41	688.78	802.41	1104.13	595.34	336.79	403.5	872.1	571.05	1030.12	660.68	836.53	444.72	674.59	525.39	693.58	444.72	454.09
ZC3H13	551.56	860.08	1340.84	128.79	256.78	169.07	271.48	135.24	73.03	74.58	764.36	0.0	0.39	283.05	371.22	460.44	599.49	540.19	748.61	141.02	133.36	343.89	389.72	273.37	693.58	218.79	599.49	738.29	379.04	246.28	379.04	368.65	262.2
ZDHHC17	318.57	540.19	1151.06	66.18	53.57	76.17	41.22	99.43	44.25	34.02	38.12	0.0	0.72	194.36	154.42	287.01	551.56	511.0	743.43	205.5	70.51	336.79	412.0	221.86	612.11	248.0	343.89	85.82	176.29	165.57	275.28	176.29	287.01
ZFP37	105.89	75.11	543.96	7.51	3.44	3.32	3.06	0.75	4.35	0.0	2.1	0.0	0.19	23.93	10.79	22.26	99.43	33.78	63.0	4.5	0.67	6.06	7.0	5.63	41.52	5.68	32.82	49.56	18.84	4.82	3.2	30.78	21.78
ZFP91	1397.83	813.63	1457.23	226.54	173.85	218.79	190.34	191.67	242.88	212.78	361.04	0.0	0.72	825.0	764.36	599.49	808.0	698.41	743.43	547.75	825.0	808.0	612.11	684.02	684.02	813.63	575.03	435.55	460.44	703.28	819.3	426.57	660.68
ZMYM4	890.44	551.56	753.83	59.97	84.04	100.13	110.43	177.53	157.68	49.91	43.94	0.0	0.56	486.75	229.72	255.0	426.57	336.79	718.08	217.27	133.36	275.28	353.59	444.72	941.27	325.29	371.22	269.6	543.96	256.78	241.19	371.22	281.09
ZMYND11	1709.26	2032.85	4152.18	164.42	255.0	348.71	267.73	204.07	198.47	220.32	189.02	0.0	0.55	748.61	708.18	1340.84	2573.36	1561.89	2303.12	387.02	267.73	791.35	1066.48	713.11	1175.27	543.96	941.27	928.3	624.99	651.58	854.13	518.15	796.86
ZNF148	406.31	743.43	1242.34	48.87	52.45	87.03	64.34	70.01	68.55	34.26	39.22	0.0	0.47	183.82	117.6	303.44	454.09	265.87	500.46	242.88	133.36	152.28	218.79	198.47	607.87	205.5	366.09	163.28	116.78	189.02	343.89	112.77	172.65
ZNF22	854.13	563.18	1268.46	246.28	242.88	285.03	181.28	351.14	135.24	186.4	403.5	0.0	0.44	237.86	185.11	454.09	825.0	836.53	1135.2	167.9	217.27	438.59	224.97	187.71	571.05	234.57	759.08	660.68	358.54	314.17	447.82	325.29	279.14
ZNF236	108.14	87.65	141.02	8.99	10.47	20.11	13.42	20.86	12.36	16.15	7.69	0.0	0.44	33.54	34.75	68.07	63.45	127.89	84.63	42.71	16.51	35.76	103.69	166.73	77.79	57.08	67.12	30.56	58.71	22.1	56.28	50.98	37.85
ZNF25	255.0	281.09	954.43	16.51	18.16	46.5	35.76	21.47	14.03	7.17	10.08	0.0	0.39	162.14	141.02	149.12	343.89	334.46	547.75	58.71	58.3	152.28	208.38	132.44	202.66	201.25	135.24	267.73	130.6	130.6	140.04	88.26	156.59
ZNF300	103.69	46.84	166.73	12.36	6.11	9.56	8.25	3.89	9.93	1.17	7.88	0.0	0.68	20.56	23.59	11.13	60.39	90.77	91.41	0.39	2.01	8.71	23.25	10.31	89.51	15.22	12.36	19.97	9.27	9.41	16.63	63.89	12.09
ZNF33B	358.54	316.37	283.05	40.07	68.55	27.84	49.21	78.89	51.35	13.52	23.08	0.0	0.16	130.6	55.49	172.65	173.85	476.71	429.54	95.34	29.7	70.51	237.86	256.78	392.44	76.17	206.94	206.94	115.16	104.42	100.83	127.89	132.44
ZNF445	167.9	134.3	199.85	28.65	29.27	28.86	14.03	53.19	37.85	22.1	18.43	0.0	0.49	102.97	96.68	136.19	127.89	154.42	120.1	129.69	24.99	131.51	164.42	67.59	134.3	97.36	135.24	45.21	128.79	90.77	183.82	91.41	109.66
ZNF521	688.78	915.51	1991.0	4.86	10.31	8.06	16.88	4.39	3.5	3.08	0.35	0.0	0.31	224.97	45.85	198.47	808.0	836.53	638.15	75.64	48.52	96.01	665.29	24.81	291.04	201.25	126.12	208.38	42.41	104.42	149.12	69.03	75.11
ZNF788	39.79	31.45	138.1	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.0	0.0	0.0	0.0	15.91	4.94	6.94	10.16	18.43	5.63	0.0	0.0	5.63	10.63	23.76	3.08	19.97	0.0	5.36	4.21	16.27	30.12	0.0
