	TCGA.E9.A245.01A.22R.A16F.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A2.A0D4.01A.11R.A00Z.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AO.A0JG.01A.31R.A084.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.EW.A1OX.01A.11R.A144.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.A2.A0YI.01A.31R.A10J.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.D8.A146.01A.31R.A115.07	TCGA.EW.A1PF.01A.11R.A144.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.GM.A2DM.01A.11R.A180.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.AN.A041.01A.11R.A034.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.13FTY.2226.SM.5J1ND	TCGA.BR.A4IZ.01A.32R.A251.31
NT5E	56.28	56.68	80.01	44.89	409.15	173.85	137.14	307.69	199.85	27.84	483.38	50.98	66.18	96.01	37.32	273.37	220.32	244.57	75.64	24.81	34.75	121.79	113.56	29.7	371.22	157.68	603.67
OAF	307.69	312.0	379.04	307.69	1044.52	540.19	327.56	463.65	314.17	131.51	1583.71	234.57	450.94	438.59	260.38	318.57	567.1	285.03	318.57	281.09	138.1	325.29	503.95	301.33	1191.69	406.31	3928.15
OGN	125.24	105.89	191.67	55.89	1697.45	348.71	154.42	251.48	571.05	14.14	1498.22	99.43	7.57	320.8	37.05	277.2	218.79	183.82	64.34	1.38	14.45	79.45	121.79	2.2	1037.29	909.17	5076.84
OLFML1	65.26	66.18	72.52	70.01	884.29	258.57	134.3	241.19	269.6	33.54	769.69	49.21	69.03	193.01	57.49	297.17	234.57	228.13	23.25	16.15	44.89	299.25	108.9	19.82	780.44	218.79	1733.13
PABPC4L	5.82	5.82	5.82	5.15	34.75	17.64	11.47	16.03	13.03	4.21	28.04	4.82	3.56	11.38	4.46	13.03	16.51	7.4	2.43	1.93	4.78	14.78	9.7	2.46	49.21	19.25	54.72
PAK3	4.54	3.66	2.81	5.54	16.39	11.82	24.11	11.73	4.78	1.23	15.45	5.92	0.0	9.48	2.1	9.2	16.03	5.77	1.75	0.99	2.29	29.06	3.56	0.38	4.31	55.89	61.68
PCDH17	26.86	19.53	69.52	32.36	107.38	88.26	198.47	137.14	45.53	43.32	175.07	39.22	45.85	81.71	31.67	85.22	206.94	79.45	45.21	17.64	43.32	177.53	107.38	11.55	133.36	16.51	221.86
PCDHB15	13.52	9.85	11.47	9.2	84.04	22.43	20.41	29.48	69.03	9.13	57.49	4.82	14.56	30.56	8.25	32.36	39.79	31.22	12.0	2.43	4.78	33.54	9.56	11.13	40.93	36.01	127.0
PCDHGA9	16.15	6.01	9.48	13.12	105.89	35.25	34.02	68.55	57.08	20.86	111.21	35.25	9.13	27.44	17.77	50.63	72.01	51.71	12.36	8.32	13.12	30.78	10.31	9.78	68.07	33.3	93.35
PCDHGC3	204.07	103.69	147.06	95.34	1096.5	397.93	255.0	403.5	339.14	94.67	921.88	113.56	77.79	343.89	116.78	376.41	384.34	387.02	166.73	147.06	60.39	307.69	303.44	275.28	759.08	186.4	1044.52
PCSK5	33.3	19.97	24.28	23.76	172.65	145.02	47.84	77.25	63.0	9.63	186.4	26.86	15.8	76.17	22.26	77.25	115.97	62.12	11.64	3.06	14.78	64.8	23.93	5.11	171.45	22.59	189.02
PDGFRB	713.11	825.0	708.18	1268.46	6381.92	2240.11	1721.16	2627.46	1651.0	660.68	4512.4	723.08	842.36	1936.53	529.06	2720.15	2997.45	2061.24	368.65	118.43	547.75	3395.89	1088.92	327.56	5041.77	511.0	6121.9
PEAK1	69.52	140.04	113.56	115.16	579.04	214.27	265.87	255.0	229.72	163.28	457.25	164.42	90.14	271.48	121.79	256.78	444.72	208.38	80.01	38.67	87.65	231.32	183.82	59.55	392.44	339.14	728.11
PHLDB1	813.63	616.37	759.08	684.02	1844.76	981.29	988.12	1191.69	1119.56	299.25	2351.53	438.59	507.46	836.53	563.18	1487.87	1709.26	947.83	559.28	353.59	356.05	1457.23	660.68	460.44	2609.3	1051.79	3564.78
PLEKHG1	35.25	46.5	37.59	48.52	244.57	120.1	89.51	128.79	71.0	39.5	214.27	45.21	33.3	119.26	43.02	114.36	167.9	90.14	29.91	16.03	35.76	112.77	61.25	14.35	251.48	172.65	273.37
PLS3	486.75	320.8	444.72	507.46	5112.16	1096.5	1199.98	2148.82	2367.9	223.41	3103.19	403.5	356.05	995.0	718.08	1923.14	1487.87	1936.53	309.83	181.28	214.27	2004.85	536.45	295.11	3212.66	1331.57	2997.45
PLXDC1	226.54	318.57	287.01	269.6	2335.28	656.11	693.58	620.67	381.68	223.41	1151.06	108.9	426.57	567.1	195.72	575.03	802.41	518.15	146.03	52.08	186.4	1015.93	299.25	187.71	1437.15	775.05	603.67
PML	703.28	497.0	743.43	426.57	1350.18	802.41	447.82	1015.93	624.99	470.14	1199.98	444.72	1477.58	825.0	688.78	759.08	941.27	753.83	698.41	647.07	303.44	693.58	759.08	785.88	1242.34	928.3	1794.29
PRDM6	9.7	15.91	6.94	5.77	107.38	38.12	8.92	16.03	89.51	12.74	72.52	14.03	7.46	35.0	4.03	33.78	48.87	17.77	3.66	0.74	8.71	37.85	12.45	2.97	102.97	11.13	158.79
PRICKLE1	102.25	49.91	42.11	59.13	1167.14	267.73	120.94	256.78	463.65	14.78	612.11	83.45	27.84	307.69	81.14	356.05	454.09	193.01	40.93	11.64	42.71	256.78	100.83	17.0	791.35	193.01	890.44
PRKCDBP	540.19	97.36	303.44	156.59	854.13	356.05	217.27	532.74	423.61	65.26	775.05	68.55	733.19	271.48	236.21	620.67	665.29	463.65	215.77	73.03	84.63	353.59	246.28	435.55	1081.39	139.07	3614.55
PRR16	14.45	13.72	24.28	25.91	231.32	37.32	30.78	66.65	31.0	14.24	165.57	19.53	31.0	34.51	10.79	78.89	39.79	76.17	15.8	9.93	8.06	70.51	38.67	10.55	258.57	12.09	93.35
PTGIR	36.53	12.09	33.54	25.35	95.34	37.32	34.75	74.06	29.91	13.72	138.1	19.53	64.34	54.72	17.51	84.04	75.64	73.03	27.84	5.5	10.08	50.98	32.82	11.3	145.02	14.67	476.71
PTK7	236.21	106.63	791.35	363.56	4481.23	674.59	1008.9	1001.93	1199.98	53.57	1721.16	466.88	187.71	872.1	137.14	1651.0	1286.18	748.61	159.9	38.67	105.15	2224.63	201.25	242.88	2739.08	1477.58	1605.83
PTRF	1183.45	713.11	974.5	1216.75	7032.37	2090.03	1304.15	2816.11	2609.3	363.56	6887.62	836.53	1268.46	1340.84	791.35	3349.13	3190.46	2573.36	995.0	258.57	540.19	3257.52	961.07	698.41	6840.04	1628.26	7433.4
PVRL3	14.03	25.54	11.38	27.64	121.79	39.5	31.22	97.36	43.02	8.71	118.43	16.39	9.34	43.63	11.3	62.56	73.54	41.22	12.55	6.06	4.9	69.03	20.11	12.36	93.35	38.95	356.05
QKI	139.07	195.72	218.79	303.44	1745.2	616.37	780.44	825.0	728.11	111.21	1191.69	616.37	212.78	995.0	314.17	802.41	1096.5	529.06	463.65	140.04	256.78	902.89	463.65	159.9	1066.48	866.07	1359.57
RAB23	182.55	135.24	114.36	102.97	941.27	305.55	163.28	387.02	387.02	54.72	414.87	264.03	106.63	226.54	368.65	381.68	420.68	309.83	279.14	169.07	90.14	376.41	150.17	218.79	551.56	248.0	412.0
RBMS1	125.24	122.64	138.1	438.59	1250.98	708.18	497.0	703.28	693.58	126.12	915.51	426.57	136.19	447.82	127.89	708.18	629.35	476.71	129.69	38.67	100.13	503.95	185.11	88.88	1081.39	1111.82	1651.0
RBMS3	36.01	30.34	24.81	26.86	218.79	107.38	59.13	102.97	81.14	17.64	273.37	22.75	29.27	83.45	28.04	137.14	102.97	87.03	10.0	9.27	15.56	90.77	34.51	11.55	237.86	170.25	379.04
RCAN2	111.99	73.54	92.05	56.68	780.44	285.03	197.09	201.25	215.77	38.12	612.11	88.26	145.02	231.32	82.29	260.38	295.11	271.48	45.53	33.06	55.89	295.11	140.04	50.63	591.22	186.4	303.44
RECK	49.91	38.4	36.53	38.95	748.61	137.14	73.54	143.01	214.27	13.52	325.29	57.08	67.12	139.07	37.85	187.71	149.12	108.14	45.21	11.3	19.97	136.19	63.89	17.25	403.5	114.36	303.44
RUNX1T1	29.06	16.39	5.23	20.11	215.77	72.52	50.63	57.49	60.39	8.0	115.97	14.78	11.82	63.0	21.63	69.52	73.54	42.71	8.0	1.13	13.03	39.5	26.47	15.22	135.24	104.42	368.65
RUSC2	151.22	187.71	214.27	215.77	403.5	199.85	139.07	301.33	226.54	158.79	343.89	169.07	209.84	130.6	97.36	249.73	289.02	146.03	100.13	44.25	80.57	209.84	106.63	102.25	417.77	248.0	540.19
SEC31A	2417.67	4095.0	2915.45	3443.31	7081.29	5517.27	2627.46	4419.52	4181.07	4038.61	5555.65	3395.89	2537.92	5219.6	3349.13	5479.15	5403.7	5791.62	3349.13	2796.65	2104.58	3794.3	3395.89	3443.31	5329.3	3467.27	5366.37
SEMA5A	21.47	35.25	23.93	65.72	348.71	121.79	1183.45	206.94	177.53	30.56	305.55	89.51	24.63	108.14	24.99	175.07	205.5	96.01	14.03	8.71	28.86	180.02	56.68	21.32	218.79	379.04	265.87
SFRP2	4358.66	688.78	2075.59	1030.12	68318.04	12329.98	6840.04	12329.98	12853.63	260.38	24832.5	2178.83	521.76	13123.73	2434.5	20030.74	17804.06	11664.82	802.41	112.77	1340.84	18178.19	3103.19	616.37	45386.27	2645.74	7433.4
SGK1	316.37	500.46	346.29	389.72	884.29	775.05	400.71	842.36	603.67	99.43	1781.89	486.75	371.22	896.64	291.04	842.36	1151.06	660.68	884.29	85.82	129.69	384.34	647.07	145.02	1963.57	490.14	3018.3
SHF	73.03	48.52	62.12	120.94	223.41	120.1	220.32	147.06	95.34	43.94	275.28	41.52	66.65	82.29	39.22	127.0	102.97	83.45	42.41	33.3	19.97	98.04	48.87	50.27	223.41	231.32	154.42
SHOX2	8.71	16.88	13.83	17.0	175.07	48.18	38.95	53.95	52.08	17.77	94.01	6.16	16.27	46.18	12.27	59.55	72.01	33.78	6.06	7.0	10.47	53.95	14.45	6.52	123.5	62.12	15.68
SHROOM4	35.76	29.27	40.93	29.7	136.19	70.01	56.68	91.41	47.5	24.81	202.66	48.18	32.82	66.18	36.01	74.06	107.38	63.89	61.68	6.46	31.0	75.64	43.32	22.59	149.12	84.04	147.06
SNAI2	140.04	96.01	123.5	197.09	1340.84	262.2	228.13	447.82	503.95	63.0	567.1	98.04	111.21	392.44	79.45	493.56	559.28	334.46	77.79	43.32	95.34	529.06	215.77	94.67	954.43	253.23	1628.26
SNRK	341.51	214.27	318.57	208.38	551.56	457.25	334.46	454.09	287.01	325.29	624.99	269.6	246.28	384.34	253.23	403.5	476.71	395.18	237.86	166.73	285.03	392.44	303.44	251.48	808.0	376.41	521.76
SOX7	48.52	26.86	52.08	50.98	241.19	84.04	64.8	133.36	60.82	32.59	229.72	45.85	37.32	84.04	24.46	107.38	112.77	80.57	29.48	9.2	35.25	84.04	36.53	24.11	267.73	143.01	181.28
SPON2	500.46	423.61	351.14	555.41	1757.34	1081.39	1023.0	934.76	567.1	69.03	2104.58	209.84	607.87	981.29	170.25	1088.92	1286.18	674.59	218.79	121.79	221.86	1088.92	312.0	100.13	1594.73	476.71	11112.3
SRPX	111.21	57.89	85.22	108.9	698.41	246.28	323.03	285.03	248.0	13.03	1104.13	117.6	27.84	249.73	94.67	450.94	323.03	295.11	50.27	19.82	24.28	239.52	108.14	47.84	928.3	63.89	3395.89
STARD4	14.35	31.0	40.93	11.55	106.63	66.65	48.87	68.07	67.59	16.27	104.42	23.25	35.76	53.57	31.45	79.45	58.71	68.55	47.5	21.94	20.86	104.42	40.07	23.93	115.16	45.85	134.3
STARD8	43.32	50.27	40.07	50.98	155.5	94.01	72.52	85.22	63.45	36.79	218.79	30.34	54.72	95.34	29.7	82.87	111.21	59.97	29.91	17.0	29.06	75.64	59.13	17.51	176.29	59.97	165.57
SYDE1	65.26	59.97	74.06	87.65	417.77	149.12	98.04	173.85	149.12	38.12	297.17	32.82	100.83	111.21	40.93	201.25	228.13	153.34	63.89	19.97	34.02	208.38	57.89	55.1	379.04	67.59	785.88
TBX18	25.35	18.7	10.47	21.01	171.45	68.07	31.67	65.26	60.39	3.08	123.5	11.91	6.36	70.01	11.82	62.56	71.0	43.63	4.94	1.51	7.0	52.08	14.35	12.64	155.5	75.11	232.94
TCF4	145.02	217.27	166.73	258.57	1697.45	791.35	507.46	620.67	525.39	119.26	1508.65	205.5	115.16	723.08	206.94	612.11	825.0	438.59	120.1	69.03	149.12	660.68	285.03	70.51	1407.55	718.08	1015.93
TGFBR2	384.34	432.53	303.44	441.64	1977.24	1081.39	688.78	1044.52	748.61	190.34	2537.92	417.77	220.32	1175.27	361.04	1175.27	1044.52	780.44	395.18	212.78	201.25	620.67	567.1	141.02	2209.26	708.18	2664.15
THSD1	73.54	38.12	127.0	68.55	162.14	134.3	88.88	153.34	57.89	40.93	189.02	38.95	104.42	73.03	43.63	123.5	139.07	96.68	33.78	19.53	31.22	100.83	71.5	53.57	273.37	170.25	167.9
TLN1	1806.78	1909.85	2417.67	1721.16	4210.15	2835.7	1883.54	3928.15	2255.7	1561.89	4358.66	1870.53	3690.52	2537.92	2119.22	2835.7	3564.78	2148.82	2956.17	1883.54	1242.34	2758.13	2627.46	1832.01	4972.34	2502.97	5076.84
TMEM200A	34.75	46.18	17.51	21.32	444.72	105.15	77.79	159.9	94.67	8.45	249.73	58.3	13.32	157.68	55.1	212.78	159.9	147.06	19.68	5.59	15.45	170.25	46.5	13.93	281.09	80.01	309.83
TMEM204	314.17	264.03	241.19	334.46	902.89	551.56	343.89	518.15	397.93	100.83	1030.12	85.22	555.41	336.79	145.02	486.75	647.07	400.71	141.02	118.43	142.01	473.41	195.72	117.6	1073.91	140.04	703.28
TMEM255A	14.56	6.31	6.67	1.16	76.17	36.53	42.71	35.76	53.95	4.62	61.68	11.64	4.66	16.88	12.93	39.5	29.7	20.41	56.28	11.82	4.94	18.84	38.67	8.99	62.56	121.79	80.57
TMEM47	61.25	75.64	68.07	85.22	764.36	215.77	134.3	291.04	624.99	75.11	403.5	73.03	131.51	152.28	71.0	392.44	202.66	206.94	178.77	36.27	48.18	212.78	4639.29	348.71	748.61	171.45	444.72
TNFAIP6	201.25	85.22	78.89	81.71	1088.92	387.02	255.0	547.75	532.74	42.11	612.11	124.37	53.57	353.59	93.35	647.07	567.1	490.14	62.56	31.45	71.0	988.12	187.71	32.82	1259.69	67.12	890.44
TNS1	215.77	353.59	133.36	273.37	1233.75	688.78	813.63	974.5	759.08	234.57	1594.73	483.38	176.29	595.34	387.02	759.08	995.0	633.73	154.42	77.79	157.68	759.08	318.57	84.04	738.29	928.3	2032.85
TPST1	234.57	202.66	92.7	120.1	860.08	244.57	112.77	285.03	358.54	73.03	454.09	157.68	144.01	295.11	86.43	273.37	339.14	175.07	51.35	41.81	118.43	194.36	78.89	95.34	607.87	121.79	579.04
TSHZ3	42.11	98.73	77.79	70.01	332.14	92.7	63.45	144.01	137.14	110.43	307.69	47.17	48.87	136.19	22.59	155.5	185.11	99.43	32.13	4.86	25.17	124.37	47.84	22.92	348.71	90.14	301.33
TSPAN18	103.69	61.25	154.42	156.59	684.02	279.14	198.47	283.05	316.37	109.66	785.88	85.22	146.03	223.41	76.71	236.21	351.14	194.36	72.52	37.32	94.01	293.07	181.28	31.9	595.34	149.12	1457.23
TTC28	80.57	96.01	94.67	65.72	204.07	98.04	112.77	124.37	94.01	81.14	205.5	52.08	93.35	151.22	45.21	121.79	148.09	59.13	85.82	23.08	62.12	89.51	85.22	50.27	164.42	348.71	423.61
TUBB6	603.67	493.56	733.19	559.28	2645.74	656.11	514.56	1268.46	967.76	332.14	2367.9	454.09	764.36	684.02	379.04	1259.69	1242.34	1183.45	493.56	423.61	329.84	1127.35	638.15	316.37	3280.18	1015.93	4328.55
UACA	248.0	239.52	563.18	651.58	2119.22	665.29	591.22	878.17	723.08	204.07	1081.39	426.57	748.61	743.43	299.25	961.07	934.76	703.28	389.72	130.6	265.87	1242.34	480.04	223.41	1350.18	1950.0	941.27
VCAM1	74.06	136.19	242.88	123.5	1259.69	466.88	392.44	376.41	176.29	26.1	511.0	143.01	85.22	426.57	111.99	579.04	279.14	555.41	68.07	11.38	86.43	283.05	291.04	36.01	1008.9	214.27	1487.87
VIM	9808.75	7382.04	8191.0	8305.36	48643.87	16496.96	10808.41	21026.65	17558.94	2875.3	58250.19	6792.79	10585.95	18819.27	5403.7	23986.58	20593.91	23330.64	10014.87	2855.44	5555.65	19892.37	8840.04	4388.98	57448.23	10733.74	78476.96
WBP5	521.76	215.77	218.79	890.44	2915.45	2351.53	1268.46	1561.89	4268.94	1008.9	1936.53	1059.11	915.51	1977.24	660.68	2287.2	1639.59	2209.26	1030.12	412.0	1037.29	1745.2	1183.45	974.5	3146.52	1313.23	4543.8
ZCCHC5	3.59	1.36	1.08	3.5	10.96	7.75	2.61	5.73	1.64	0.64	23.42	0.38	0.35	2.27	0.72	7.0	3.35	3.0	0.37	0.0	0.35	5.28	2.58	1.45	4.06	4.78	156.59
ZEB1	92.7	170.25	72.52	144.01	878.17	361.04	303.44	392.44	368.65	85.82	698.41	120.1	79.45	371.22	120.94	395.18	540.19	262.2	51.35	22.92	87.03	381.68	161.02	33.54	808.0	96.01	587.13
ZNF521	105.15	68.55	41.81	37.59	638.15	202.66	137.14	209.84	180.02	34.26	480.04	51.35	80.57	258.57	55.1	201.25	307.69	114.36	20.26	12.0	26.1	150.17	67.59	224.97	486.75	283.05	420.68
ZNF781	15.0	9.78	11.73	4.62	103.69	43.94	14.78	42.11	11.82	6.06	55.1	20.11	57.08	18.7	13.62	14.67	21.63	19.39	13.52	2.27	5.82	21.32	21.47	30.12	42.41	91.41	87.03
