	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.AR.A24O.01A.11R.A169.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A8.A08P.01A.11R.A00Z.07	TCGA.AO.A0JF.01A.11R.A056.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.E2.A1IG.01A.11R.A144.07	TCGA.EW.A1J1.01A.11R.A13Q.07	TCGA.E9.A22D.01A.11R.A157.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.AN.A0XT.01A.11R.A109.07	TCGA.D8.A1JI.01A.11R.A13Q.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.BH.A0EI.01A.11R.A115.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A8.A07Z.01A.11R.A00Z.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AO.A0JG.01A.31R.A084.07	TCGA.AC.A7VB.01A.11R.A352.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A10A.01A.21R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.A7.A0D9.01A.31R.A056.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.A8.A09K.01A.11R.A00Z.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.EW.A1OX.01A.11R.A144.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.D8.A1JP.01A.11R.A13Q.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.AO.A12C.01A.11R.A10J.07	TCGA.B6.A2IU.01A.32R.A18M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.D8.A146.01A.31R.A115.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.A2.A0SY.01A.31R.A084.07	TCGA.BH.A0C3.01A.21R.A12P.07	TCGA.A2.A25B.01A.11R.A169.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.E2.A15A.01A.11R.A12D.07	TCGA.A7.A26J.01A.11R.A169.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A10F.01A.11R.A10J.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.BH.A0AU.01A.11R.A12P.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.AO.A03P.01A.11R.A00Z.07	TCGA.AN.A0XW.01A.11R.A109.07	TCGA.E2.A15H.01A.11R.A12D.07	TCGA.AR.A24S.01A.11R.A169.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.D8.A1X9.01A.12R.A157.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.B6.A0X5.01A.21R.A109.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.E9.A1NI.01A.11R.A14D.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.ZPU1.2326.SM.57WEP
LIMS1	796.86	624.99	738.29	387.02	470.14	656.11	941.27	1359.57	323.03	866.07	674.59	1407.55	414.87	587.13	334.46	336.79	813.63	532.74	392.44	1191.69	435.55	312.0	497.0	463.65	244.57	305.55	830.75	638.15	361.04	620.67	836.53	669.92	718.08	438.59	738.29	376.41	493.56	567.1	679.29	674.59	389.72	567.1	379.04	555.41	223.41	1008.9	878.17	218.79	974.5	387.02	656.11	723.08	486.75	361.04	928.3	607.87	579.04	543.96	698.41	356.05	1081.39	1059.11	1044.52	444.72	332.14	559.28	854.13	493.56	909.17	612.11	521.76	511.0	262.2	1277.29	1066.48	281.09	854.13	518.15	571.05	368.65	854.13	708.18	379.04	551.56	583.07	688.78	1135.2	954.43	267.73	642.59	813.63	884.29	435.55	674.59	1081.39	988.12	1199.98	301.33	571.05	297.17	447.82	392.44	325.29	521.76	759.08	647.07	674.59	620.67	429.54	395.18	463.65	884.29	460.44	1519.15	529.06	947.83	728.11	435.55	273.37	309.83	277.2	728.11	587.13	688.78	884.29
LRCH2	19.82	4.58	4.86	3.44	6.94	9.48	11.55	50.27	7.63	32.36	17.38	39.79	5.45	6.01	4.9	3.89	16.15	9.2	6.01	2.78	11.73	2.53	5.06	3.69	0.34	3.96	27.05	4.78	5.41	9.48	36.79	8.85	29.06	2.23	18.7	3.92	4.24	10.31	7.75	9.13	2.71	26.1	1.81	12.64	2.66	18.97	24.28	8.51	17.9	3.56	19.25	7.0	4.94	3.59	20.11	9.85	13.52	2.81	14.14	4.21	8.99	40.64	44.25	7.28	2.56	7.17	17.13	6.67	17.64	5.73	9.93	4.46	1.73	39.79	26.86	9.2	8.25	4.66	15.91	10.55	28.04	14.56	3.69	9.56	9.13	17.77	33.54	18.29	1.38	8.99	14.78	23.59	3.69	19.68	18.56	45.53	34.26	4.82	9.27	9.78	6.46	15.34	1.91	2.32	8.71	23.25	15.22	9.85	3.89	0.65	8.51	44.89	9.34	17.77	7.69	19.82	10.24	4.03	0.79	1.89	0.37	7.22	17.25	0.0	0.82
MSRB3	450.94	128.79	79.45	194.36	133.36	226.54	260.38	703.28	173.85	1096.5	198.47	738.29	111.99	199.85	74.06	126.12	587.13	137.14	109.66	46.5	325.29	59.97	202.66	115.97	18.7	157.68	356.05	117.6	105.15	265.87	693.58	122.64	679.29	66.65	353.59	82.29	167.9	169.07	279.14	249.73	100.83	291.04	53.95	156.59	49.56	521.76	532.74	212.78	426.57	136.19	547.75	253.23	147.06	90.14	567.1	301.33	305.55	106.63	463.65	35.0	183.82	1037.29	651.58	127.89	48.87	232.94	497.0	178.77	718.08	162.14	299.25	138.1	93.35	866.07	638.15	162.14	309.83	144.01	334.46	221.86	679.29	409.15	94.01	232.94	253.23	463.65	503.95	356.05	25.35	251.48	271.48	490.14	55.49	283.05	638.15	1417.35	708.18	72.01	205.5	149.12	148.09	441.64	74.58	86.43	133.36	376.41	214.27	255.0	97.36	5.15	161.02	669.92	239.52	363.56	190.34	339.14	251.48	88.26	86.43	43.02	10.24	163.28	314.17	12.18	71.5
NID1	1378.57	567.1	514.56	532.74	351.14	967.76	802.41	2224.63	575.03	3168.41	819.3	1651.0	457.25	928.3	309.83	248.0	1551.09	395.18	271.48	176.29	583.07	249.73	486.75	307.69	123.5	281.09	785.88	293.07	403.5	915.51	2287.2	759.08	1233.75	202.66	928.3	397.93	583.07	1167.14	599.49	860.08	384.34	934.76	329.84	665.29	205.5	1794.29	1268.46	688.78	1369.04	336.79	1259.69	780.44	435.55	208.38	1923.14	825.0	583.07	518.15	896.64	169.07	532.74	2520.38	1991.0	387.02	392.44	599.49	2240.11	373.81	921.88	325.29	493.56	521.76	341.51	1870.53	2400.97	327.56	713.11	255.0	688.78	571.05	1127.35	1242.34	356.05	878.17	693.58	684.02	1617.0	587.13	155.5	518.15	842.36	1127.35	423.61	738.29	1233.75	2758.13	1709.26	460.44	878.17	343.89	511.0	470.14	277.2	476.71	476.71	1111.82	591.22	813.63	718.08	17.9	660.68	1397.83	902.89	1104.13	432.53	1259.69	713.11	249.73	191.67	234.57	59.13	583.07	1037.29	47.17	18.43
NT5E	154.42	105.89	32.13	93.35	99.43	181.28	202.66	366.09	100.83	423.61	332.14	301.33	48.18	145.02	57.08	75.11	356.05	58.3	143.01	47.84	172.65	33.3	59.13	137.14	14.14	56.28	265.87	56.68	80.01	107.38	669.92	152.28	246.28	78.34	202.66	73.54	163.28	79.45	92.7	144.01	37.32	173.85	69.03	137.14	118.43	144.01	307.69	111.99	279.14	30.34	229.72	206.94	59.55	119.26	379.04	145.02	221.86	43.02	187.71	35.0	72.01	384.34	231.32	123.5	27.84	100.83	295.11	34.51	239.52	50.98	176.29	63.0	66.18	376.41	112.77	50.63	131.51	37.32	129.69	130.6	273.37	244.57	58.3	165.57	154.42	241.19	463.65	314.17	24.81	164.42	211.31	155.5	34.75	258.57	329.84	884.29	603.67	58.3	159.9	131.51	73.03	195.72	64.8	105.89	113.56	162.14	130.6	125.24	27.64	4.35	140.04	463.65	90.14	392.44	98.73	438.59	392.44	94.01	29.7	29.27	33.78	84.63	206.94	38.12	123.5
OLFML1	190.34	124.37	71.0	105.15	68.55	145.02	131.51	406.31	94.67	624.99	191.67	409.15	102.97	161.02	47.84	57.08	289.02	88.26	142.01	39.5	96.68	47.17	80.57	80.01	14.24	65.26	256.78	66.18	72.52	136.19	532.74	125.24	339.14	68.07	231.32	66.65	98.04	131.51	195.72	189.02	36.53	258.57	42.71	189.02	67.12	189.02	241.19	109.66	204.07	55.89	260.38	108.14	81.14	53.19	483.38	131.51	123.5	98.73	209.84	51.35	126.12	486.75	351.14	89.51	33.54	115.97	327.56	86.43	228.13	49.21	265.87	75.64	69.03	454.09	334.46	80.57	114.36	57.49	140.04	146.03	297.17	228.13	68.55	158.79	249.73	232.94	387.02	172.65	16.15	113.56	166.73	204.07	44.89	177.53	285.03	921.88	334.46	83.45	155.5	136.19	82.87	101.54	39.79	49.21	108.9	221.86	118.43	127.89	88.88	2.61	96.68	426.57	141.02	248.0	80.57	277.2	115.97	74.06	19.82	41.81	8.13	85.22	291.04	76.17	76.71
PDGFRA	473.41	120.94	36.53	98.73	96.01	287.01	267.73	915.51	100.83	1183.45	525.39	718.08	76.17	220.32	81.71	85.82	409.15	59.13	136.19	29.91	128.79	34.51	85.22	98.73	15.34	121.79	842.36	98.73	40.64	129.69	587.13	265.87	346.29	86.43	387.02	47.84	157.68	147.06	194.36	265.87	6.06	248.0	31.22	189.02	53.95	438.59	379.04	141.02	299.25	61.25	348.71	176.29	76.71	58.3	358.54	159.9	262.2	121.79	283.05	68.55	211.31	1119.56	567.1	129.69	13.12	108.14	684.02	90.77	356.05	113.56	223.41	65.72	18.16	830.75	941.27	82.87	172.65	76.71	198.47	307.69	483.38	241.19	103.69	246.28	373.81	454.09	679.29	264.03	5.68	151.22	341.51	476.71	19.39	497.0	435.55	764.36	878.17	87.03	111.99	125.24	77.25	473.41	24.99	55.49	127.0	363.56	136.19	169.07	0.48	3.26	60.82	503.95	206.94	819.3	87.65	412.0	154.42	98.73	21.16	15.56	22.43	135.24	208.38	35.5	38.95
PDGFRB	2956.17	1359.57	1268.46	1561.89	764.36	1733.13	1508.65	3716.2	1127.35	4903.87	1437.15	2895.31	1183.45	2178.83	723.08	529.06	2400.97	890.44	902.89	450.94	1508.65	728.11	1183.45	764.36	229.72	713.11	1909.85	825.0	708.18	1304.15	3039.3	1628.26	3124.78	379.04	1806.78	723.08	988.12	1519.15	1066.48	1991.0	493.56	2240.11	842.36	1250.98	587.13	3257.52	2627.46	1674.06	2287.2	808.0	2133.97	1397.83	1127.35	480.04	2895.31	1322.37	1697.45	915.51	1437.15	532.74	1397.83	3467.27	3124.78	961.07	660.68	909.17	3349.13	1088.92	2555.58	723.08	2075.59	669.92	842.36	2895.31	3874.05	825.0	1208.34	529.06	1417.35	1498.22	2720.15	2061.24	547.75	1639.59	1583.71	1709.26	2976.74	1447.15	118.43	1378.57	1950.0	1662.49	547.75	1639.59	2400.97	5479.15	3325.99	1151.06	1457.23	896.64	1208.34	909.17	599.49	890.44	1088.92	1617.0	1059.11	1745.2	633.73	59.13	988.12	2193.99	1685.71	2004.85	988.12	2271.4	1467.37	532.74	327.56	406.31	119.26	1111.82	2004.85	98.04	127.89
PRICKLE1	177.53	101.54	33.06	97.36	75.11	177.53	197.09	708.18	59.13	688.78	103.69	518.15	111.21	141.02	62.56	66.18	239.52	87.03	71.0	59.55	133.36	59.13	73.03	48.52	39.22	102.25	244.57	49.91	42.11	208.38	323.03	131.51	429.54	48.52	273.37	41.22	204.07	142.01	128.79	221.86	25.72	267.73	32.59	181.28	37.32	363.56	256.78	78.89	151.22	66.65	334.46	105.15	73.03	40.07	518.15	145.02	130.6	115.16	211.31	44.25	131.51	1001.93	432.53	63.89	14.78	165.57	277.2	78.89	260.38	83.45	187.71	85.82	27.84	629.35	463.65	92.05	171.45	81.14	166.73	169.07	356.05	193.01	58.3	120.94	218.79	293.07	466.88	166.73	11.64	101.54	147.06	348.71	42.71	175.07	409.15	660.68	242.88	135.24	98.73	111.99	92.05	170.25	33.06	69.03	100.83	420.68	137.14	142.01	11.47	2.78	65.72	343.89	172.65	353.59	98.73	251.48	59.97	44.25	17.0	15.34	3.44	57.49	186.4	35.76	23.93
PRKD3	251.48	120.94	69.03	108.14	98.73	157.68	303.44	486.75	64.34	353.59	140.04	483.38	128.79	121.79	84.63	55.1	212.78	124.37	103.69	85.82	151.22	57.08	79.45	101.54	14.35	85.82	412.0	88.26	43.63	309.83	170.25	255.0	336.79	56.68	343.89	187.71	194.36	149.12	91.41	103.69	155.5	194.36	28.04	115.97	63.45	295.11	295.11	84.63	325.29	63.89	155.5	87.65	129.69	136.19	267.73	135.24	205.5	56.68	118.43	85.82	163.28	403.5	414.87	76.71	46.18	97.36	169.07	65.26	283.05	187.71	206.94	93.35	36.79	559.28	199.85	59.97	269.6	111.21	180.02	163.28	346.29	141.02	34.26	138.1	183.82	309.83	332.14	129.69	86.43	112.77	205.5	361.04	39.22	237.86	182.55	289.02	361.04	258.57	172.65	118.43	93.35	120.1	67.59	38.4	100.13	285.03	145.02	190.34	45.53	10.88	143.01	187.71	88.26	281.09	102.25	232.94	164.42	29.06	162.14	24.63	21.01	85.22	139.07	100.13	108.14
PRRX1	1167.14	507.46	161.02	473.41	412.0	1037.29	1519.15	2591.27	253.23	4298.64	1407.55	2895.31	406.31	1167.14	289.02	334.46	1417.35	373.81	420.68	98.04	403.5	167.9	356.05	379.04	102.25	277.2	1051.79	248.0	237.86	718.08	3190.46	764.36	2075.59	339.14	669.92	289.02	743.43	941.27	884.29	954.43	145.02	1030.12	152.28	1242.34	301.33	1697.45	1250.98	612.11	1437.15	163.28	2193.99	988.12	381.68	269.6	3039.3	1001.93	656.11	379.04	2303.12	195.72	669.92	3955.48	2335.28	392.44	113.56	651.58	1769.57	373.81	1143.1	303.44	1051.79	202.66	155.5	4239.45	1794.29	297.17	688.78	212.78	921.88	595.34	1498.22	1208.34	366.09	759.08	1447.15	1551.09	2163.77	1359.57	44.57	688.78	896.64	1081.39	195.72	780.44	2163.77	5872.48	2061.24	191.67	808.0	764.36	155.5	529.06	249.73	159.9	525.39	1540.37	733.19	612.11	153.34	17.77	438.59	2104.58	884.29	2502.97	536.45	2075.59	830.75	320.8	100.13	81.71	77.25	212.78	2075.59	183.82	329.84
RBMS3	90.14	29.48	26.1	31.67	21.01	35.0	39.79	237.86	34.51	162.14	50.63	181.28	35.0	36.27	15.8	29.7	82.29	33.54	22.59	15.56	60.39	30.78	29.06	24.63	5.5	36.01	120.94	30.34	24.81	55.89	121.79	42.41	120.94	13.72	108.9	13.32	26.67	35.0	45.21	63.45	14.24	107.38	14.56	55.1	14.24	82.29	102.97	35.25	73.03	23.59	92.05	42.41	24.81	22.1	117.6	46.5	41.22	28.45	67.12	23.08	62.56	140.04	104.42	26.28	17.64	50.27	58.71	28.65	102.25	22.75	59.13	31.9	29.27	241.19	105.89	44.25	95.34	28.04	65.72	40.64	137.14	87.03	18.29	37.59	66.65	151.22	199.85	70.01	9.27	45.85	37.05	83.45	15.56	98.04	75.64	234.57	165.57	25.72	77.25	47.17	27.25	80.01	12.93	15.22	34.51	65.26	28.24	34.75	13.93	2.18	32.13	109.66	34.26	84.04	62.12	71.0	48.87	16.27	11.55	13.72	3.72	29.27	57.89	2.86	13.93
RECK	150.17	51.71	26.47	55.49	94.01	88.88	76.71	305.55	54.72	420.68	83.45	215.77	52.45	68.55	31.22	44.57	140.04	35.76	58.3	27.05	74.06	28.45	48.18	63.45	10.31	49.91	189.02	38.4	36.53	120.1	366.09	60.39	218.79	43.63	137.14	31.45	68.07	60.82	103.69	100.83	18.43	137.14	18.29	80.57	28.65	120.94	143.01	63.0	150.17	33.3	323.03	74.58	30.56	37.05	303.44	82.87	113.56	40.36	163.28	18.29	80.01	473.41	164.42	44.57	13.52	67.59	151.22	36.27	217.27	57.08	138.1	48.52	67.12	260.38	283.05	34.02	68.55	37.85	84.04	85.82	187.71	108.14	36.27	77.79	109.66	189.02	273.37	143.01	11.3	67.12	97.36	155.5	19.97	114.36	241.19	587.13	463.65	58.71	77.79	77.79	42.11	110.43	32.82	35.76	63.89	177.53	66.18	64.34	19.25	1.31	55.1	309.83	86.43	178.77	44.25	120.1	50.98	30.12	17.25	13.83	8.78	63.89	120.94	1.23	28.45
RFTN2	39.5	44.25	15.8	31.45	18.03	25.54	36.79	109.66	32.82	123.5	41.81	93.35	25.17	28.65	44.89	15.56	53.19	17.9	30.34	15.8	50.98	17.0	36.53	24.99	6.52	22.26	72.01	19.25	30.12	51.35	53.95	24.63	81.14	18.16	44.89	11.3	18.16	16.63	27.64	28.65	17.77	72.52	9.56	31.0	9.27	68.07	43.94	23.76	43.94	19.68	59.97	33.06	44.25	10.96	86.43	49.91	36.53	30.56	28.65	17.9	30.78	74.06	60.39	34.02	12.93	17.9	37.59	20.56	61.25	24.99	56.28	31.22	32.59	151.22	69.03	12.74	31.0	16.39	24.46	30.12	60.82	43.63	14.67	51.71	64.8	43.02	106.63	29.91	3.56	23.08	57.08	33.78	16.88	46.5	61.25	145.02	46.5	32.36	54.33	28.86	21.32	43.63	12.45	17.77	25.91	47.17	22.75	32.82	14.56	11.73	22.92	82.29	21.63	45.21	19.82	39.22	25.17	19.25	8.71	21.01	5.82	19.53	54.72	10.96	9.63
RP11-383H13.1	101.54	48.52	38.95	38.67	38.12	70.01	75.11	236.21	30.12	201.25	73.03	169.07	50.63	64.34	18.03	36.27	164.42	30.12	39.5	13.42	57.49	31.0	41.52	32.82	5.73	24.11	140.04	27.05	11.82	46.5	176.29	44.89	115.97	17.51	94.67	15.45	48.52	59.13	54.72	66.65	11.73	56.68	8.45	56.28	12.0	138.1	94.01	61.68	97.36	34.02	128.79	82.87	46.84	14.03	152.28	94.67	69.03	41.22	111.99	10.24	43.94	256.78	156.59	43.63	14.67	74.58	157.68	38.67	126.12	32.59	65.72	39.22	24.46	175.07	234.57	32.82	175.07	37.32	56.68	47.5	120.94	108.14	24.11	43.02	82.87	88.26	103.69	127.89	3.86	33.78	89.51	133.36	9.63	68.07	134.3	297.17	204.07	32.59	38.12	40.07	45.21	44.89	28.45	20.71	46.84	64.8	53.57	67.12	12.0	0.62	35.76	120.1	60.39	204.07	30.56	138.1	110.43	25.72	15.8	14.35	12.27	26.67	100.13	7.63	1.51
RUNX1T1	57.08	26.1	16.75	8.85	13.72	22.1	24.99	135.24	26.28	134.3	28.65	85.82	22.92	14.45	13.22	14.14	50.63	14.89	18.43	3.82	43.02	13.72	16.51	15.56	1.75	29.06	82.87	16.39	5.23	45.53	50.27	34.02	60.82	5.77	64.34	9.56	18.97	23.93	27.44	35.76	5.15	72.52	8.85	29.91	9.41	63.45	57.49	25.35	46.18	18.29	55.49	10.71	17.38	11.73	23.59	40.93	29.27	17.25	37.85	21.47	35.0	154.42	61.68	14.03	8.0	25.35	40.07	14.14	36.27	14.78	77.79	18.84	11.82	83.45	106.63	25.72	24.99	21.63	35.5	21.32	69.52	42.71	10.24	25.72	29.7	44.25	131.51	27.64	1.13	16.15	34.51	70.51	13.03	54.72	56.28	90.14	50.63	25.54	17.51	37.32	16.15	31.9	6.62	7.0	26.47	47.84	41.52	26.1	2.84	1.01	9.93	72.52	27.84	62.12	29.06	31.22	15.34	9.7	15.22	7.51	4.94	30.34	49.21	0.96	5.5
SEPT11	967.76	890.44	1277.29	688.78	693.58	543.96	1242.34	1963.57	583.07	2119.22	848.22	2133.97	647.07	708.18	480.04	466.88	974.5	624.99	1143.1	201.25	660.68	229.72	381.68	381.68	77.79	307.69	1529.73	660.68	423.61	1059.11	1594.73	780.44	2133.97	486.75	872.1	486.75	521.76	947.83	1208.34	708.18	571.05	674.59	441.64	775.05	483.38	1407.55	872.1	723.08	1151.06	409.15	1561.89	836.53	450.94	708.18	1572.76	1081.39	1242.34	493.56	1628.26	463.65	830.75	3614.55	1923.14	327.56	211.31	616.37	878.17	281.09	1819.35	1151.06	764.36	470.14	332.14	2224.63	1561.89	507.46	1551.09	438.59	1088.92	896.64	1757.34	947.83	177.53	1111.82	941.27	1167.14	1909.85	775.05	157.68	928.3	842.36	1081.39	181.28	915.51	1561.89	2935.74	2209.26	450.94	775.05	934.76	769.69	713.11	400.71	389.72	785.88	1447.15	902.89	1073.91	486.75	215.77	629.35	1583.71	651.58	1561.89	854.13	1159.07	830.75	201.25	361.04	412.0	264.03	356.05	1073.91	176.29	237.86
SPRED1	205.5	142.01	65.26	127.0	107.38	110.43	339.14	348.71	62.12	348.71	173.85	314.17	66.18	148.09	58.3	78.89	172.65	158.79	111.99	44.25	255.0	112.77	190.34	135.24	41.52	63.0	269.6	111.21	132.44	153.34	199.85	155.5	642.59	115.97	183.82	135.24	76.17	55.49	260.38	229.72	518.15	209.84	45.53	149.12	50.63	327.56	151.22	105.15	616.37	103.69	191.67	231.32	106.63	59.55	151.22	108.9	195.72	107.38	133.36	90.77	122.64	525.39	423.61	68.55	67.59	102.25	232.94	77.79	249.73	212.78	117.6	131.51	133.36	470.14	620.67	96.68	118.43	76.17	148.09	106.63	307.69	138.1	48.18	262.2	190.34	336.79	293.07	191.67	55.89	93.35	116.78	236.21	67.59	172.65	291.04	255.0	258.57	115.16	86.43	91.41	98.73	150.17	50.98	135.24	246.28	195.72	197.09	134.3	72.52	67.59	167.9	361.04	170.25	368.65	94.01	392.44	205.5	181.28	127.89	33.78	82.29	108.14	143.01	217.27	103.69
STK17B	320.8	366.09	111.21	101.54	140.04	176.29	279.14	674.59	81.71	435.55	258.57	616.37	69.52	206.94	232.94	89.51	229.72	242.88	348.71	134.3	74.58	65.72	79.45	164.42	24.99	88.26	759.08	220.32	348.71	152.28	403.5	260.38	389.72	141.02	287.01	84.04	289.02	83.45	163.28	253.23	120.94	325.29	65.26	271.48	72.01	218.79	368.65	212.78	366.09	39.79	248.0	265.87	75.11	218.79	353.59	193.01	217.27	133.36	218.79	152.28	153.34	466.88	438.59	176.29	23.93	128.79	323.03	144.01	234.57	175.07	154.42	108.14	41.81	536.45	599.49	127.89	248.0	96.01	161.02	127.0	579.04	224.97	68.07	226.54	149.12	387.02	343.89	438.59	45.21	228.13	249.73	309.83	88.26	267.73	341.51	532.74	397.93	175.07	212.78	170.25	108.9	159.9	75.64	88.88	137.14	289.02	327.56	171.45	98.73	466.88	134.3	728.11	100.83	454.09	89.51	463.65	211.31	387.02	82.87	111.99	20.11	191.67	178.77	132.44	107.38
STON1	148.09	44.89	20.86	23.42	75.64	76.71	75.11	151.22	73.03	142.01	98.73	143.01	30.78	64.8	21.78	17.77	105.15	34.75	20.41	7.4	80.01	13.03	48.87	21.16	7.82	31.0	113.56	31.9	18.97	40.64	205.5	50.27	82.87	13.62	81.14	12.36	45.53	54.33	45.85	90.77	14.56	77.25	17.64	49.91	9.34	130.6	129.69	55.1	77.79	20.71	55.49	51.35	40.93	12.83	78.89	58.71	58.3	24.99	66.65	13.52	48.52	170.25	147.06	46.5	16.15	37.59	267.73	24.63	164.42	21.78	81.14	22.43	15.34	100.83	246.28	44.57	46.18	37.85	69.52	52.45	111.21	86.43	24.28	43.32	129.69	106.63	281.09	106.63	6.67	38.4	98.73	154.42	12.64	96.68	75.11	175.07	129.69	31.0	62.12	37.32	35.76	45.53	46.84	20.26	31.45	78.34	53.19	59.13	12.18	16.75	30.34	101.54	49.56	182.55	34.26	92.7	100.13	18.43	14.35	12.27	4.86	29.48	43.94	35.25	26.67
TBX18	56.28	18.7	10.39	20.86	13.32	42.11	43.32	132.44	20.56	140.04	33.78	91.41	16.51	38.4	16.27	15.11	56.28	16.03	12.18	3.96	30.34	9.41	18.16	20.41	1.83	25.35	73.03	18.7	10.47	39.5	93.35	24.46	96.68	14.35	62.56	14.03	29.48	22.26	35.0	24.63	5.28	68.07	15.22	31.0	10.24	97.36	65.26	18.97	40.07	11.38	69.03	23.42	17.13	10.55	77.79	30.34	42.71	21.47	48.87	11.64	22.92	143.01	66.65	19.97	3.08	35.5	44.57	19.82	65.72	11.91	47.84	12.74	6.36	98.04	92.7	19.97	25.17	11.82	29.91	28.04	62.56	43.63	12.36	19.82	35.5	49.56	99.43	41.52	1.51	24.28	28.65	56.28	7.0	39.5	83.45	152.28	81.71	19.11	25.17	34.51	16.88	28.65	11.47	12.45	14.35	54.33	18.03	31.9	8.38	1.06	18.43	148.09	27.44	57.08	23.93	47.17	23.08	9.63	12.64	4.9	2.92	16.39	45.53	1.71	14.67
