	GTEX.139TS.2226.SM.5J2N1	GTEX.Z93S.2626.SM.57WBX	GTEX.11EI6.2626.SM.5PNVT	GTEX.132NY.2026.SM.5L3FM	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A88I.01A.11R.A352.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.HC.7233.01A.11R.2118.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.7752.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZZ64.0926.SM.5E44L	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.13FTW.1226.SM.5LZZ1	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.ZTX8.1026.SM.5EGHD	TCGA.E8.A3X7.01A.11R.A22U.07	GTEX.WI4N.2426.SM.4OOSC
DDX18	325.29	426.57	392.44	441.64	432.53	503.95	214.27	603.67	921.88	426.57	878.17	417.77	947.83	587.13	819.3	785.88	967.76	1037.29	665.29	511.0	543.96	878.17	775.05	525.39	417.77	595.34	836.53	813.63	909.17	743.43	848.22	599.49	450.94	470.14	775.05	860.08	941.27	450.94	1001.93	441.64	551.56	432.53	376.41	848.22	665.29	450.94	624.99	420.68	713.11	493.56	684.02	647.07	693.58	616.37	583.07	559.28	1059.11	723.08	915.51	403.5	830.75	808.0	514.56	346.29	660.68	403.5	244.57
DDX21	194.36	260.38	273.37	255.0	285.03	329.84	120.1	836.53	743.43	281.09	988.12	384.34	981.29	633.73	896.64	902.89	1259.69	988.12	521.76	389.72	356.05	1111.82	941.27	414.87	267.73	447.82	1030.12	1369.04	1175.27	559.28	954.43	521.76	540.19	246.28	896.64	878.17	860.08	358.54	1250.98	297.17	358.54	473.41	246.28	559.28	429.54	221.86	312.0	299.25	511.0	373.81	444.72	368.65	660.68	327.56	327.56	351.14	759.08	417.77	575.03	281.09	470.14	444.72	366.09	161.02	514.56	180.02	366.09
DDX6	249.73	256.78	305.55	248.0	159.9	241.19	116.78	420.68	1127.35	318.57	1135.2	348.71	1286.18	607.87	1167.14	884.29	1008.9	1167.14	532.74	521.76	438.59	1359.57	1225.22	525.39	397.93	612.11	1015.93	1183.45	1350.18	1023.0	954.43	457.25	384.34	204.07	981.29	1167.14	1286.18	417.77	1191.69	389.72	480.04	371.22	314.17	981.29	660.68	423.61	420.68	329.84	713.11	476.71	813.63	591.22	620.67	450.94	435.55	738.29	1037.29	748.61	878.17	409.15	660.68	1151.06	397.93	305.55	616.37	138.1	145.02
DNAJC16	178.77	158.79	153.34	121.79	59.13	96.01	109.66	178.77	256.78	123.5	381.68	185.11	267.73	218.79	271.48	295.11	273.37	307.69	205.5	182.55	169.07	220.32	327.56	175.07	148.09	220.32	329.84	371.22	332.14	271.48	283.05	198.47	177.53	151.22	316.37	307.69	271.48	187.71	269.6	167.9	187.71	176.29	185.11	269.6	204.07	116.78	129.69	163.28	173.85	149.12	232.94	172.65	264.03	144.01	173.85	232.94	217.27	214.27	303.44	167.9	178.77	237.86	195.72	163.28	159.9	104.42	87.65
ECD	363.56	329.84	343.89	403.5	444.72	414.87	187.71	500.46	616.37	409.15	591.22	460.44	656.11	503.95	470.14	529.06	500.46	603.67	500.46	497.0	493.56	532.74	603.67	441.64	363.56	463.65	547.75	567.1	397.93	497.0	525.39	417.77	379.04	441.64	511.0	503.95	490.14	426.57	603.67	409.15	432.53	438.59	470.14	503.95	476.71	412.0	457.25	406.31	441.64	450.94	480.04	420.68	457.25	447.82	432.53	460.44	470.14	511.0	567.1	429.54	567.1	567.1	435.55	329.84	412.0	403.5	166.73
EDEM1	164.42	186.4	208.38	165.57	142.01	163.28	429.54	309.83	620.67	226.54	503.95	239.52	563.18	444.72	392.44	473.41	486.75	532.74	387.02	368.65	299.25	599.49	579.04	336.79	291.04	397.93	476.71	603.67	563.18	507.46	521.76	318.57	329.84	224.97	579.04	426.57	476.71	295.11	525.39	299.25	332.14	368.65	262.2	450.94	325.29	176.29	176.29	228.13	409.15	275.28	460.44	336.79	444.72	329.84	231.32	334.46	470.14	323.03	412.0	239.52	341.51	392.44	279.14	189.02	327.56	395.18	387.02
EIF2AK3	162.14	187.71	199.85	208.38	123.5	177.53	87.03	450.94	890.44	209.84	819.3	480.04	1088.92	698.41	954.43	665.29	860.08	796.86	567.1	651.58	406.31	656.11	1015.93	336.79	267.73	454.09	733.19	1216.75	1044.52	718.08	878.17	575.03	497.0	320.8	1127.35	796.86	713.11	384.34	825.0	351.14	444.72	460.44	392.44	693.58	651.58	183.82	379.04	275.28	591.22	358.54	629.35	629.35	633.73	457.25	444.72	438.59	1037.29	769.69	967.76	373.81	665.29	543.96	400.71	271.48	511.0	135.24	130.6
EIF3A	780.44	1081.39	1073.91	723.08	769.69	928.3	441.64	1857.6	2255.7	1233.75	2303.12	1477.58	2417.67	1936.53	2335.28	2701.35	2520.38	2573.36	1674.06	1745.2	1498.22	2835.7	2468.49	1651.0	1487.87	1745.2	2287.2	2468.49	2303.12	2018.8	2018.8	1529.73	1551.09	1008.9	2384.37	2303.12	2193.99	1628.26	2335.28	1457.23	1757.34	1378.57	1159.07	2004.85	1397.83	1268.46	679.29	1427.22	1030.12	1487.87	1769.57	1685.71	1662.49	1498.22	1417.35	1685.71	2573.36	1857.6	2384.37	1073.91	1923.14	1819.35	1407.55	836.53	1991.0	785.88	947.83
ENTPD7	26.1	34.26	34.26	24.46	12.74	12.55	27.05	98.73	187.71	46.84	162.14	115.16	217.27	146.03	297.17	187.71	206.94	195.72	116.78	108.9	74.58	226.54	239.52	85.22	56.28	82.29	205.5	221.86	177.53	148.09	218.79	91.41	59.13	44.25	297.17	201.25	175.07	81.14	285.03	59.13	82.87	95.34	64.8	161.02	118.43	35.25	52.45	56.68	131.51	57.89	118.43	96.68	157.68	61.68	48.18	79.45	94.01	79.45	141.02	96.01	109.66	79.45	88.26	73.03	107.38	14.56	10.55
EPT1	77.79	90.77	81.14	52.82	63.45	64.34	181.28	155.5	273.37	105.15	318.57	162.14	353.59	209.84	264.03	241.19	299.25	327.56	201.25	169.07	135.24	291.04	351.14	139.07	148.09	180.02	312.0	316.37	379.04	275.28	234.57	232.94	187.71	117.6	297.17	327.56	267.73	185.11	361.04	165.57	159.9	165.57	162.14	249.73	181.28	71.0	140.04	164.42	217.27	126.12	214.27	149.12	182.55	152.28	156.59	165.57	239.52	136.19	258.57	155.5	215.77	165.57	183.82	114.36	145.02	75.11	38.12
ERBB2IP	325.29	490.14	587.13	320.8	198.47	351.14	89.51	536.45	1023.0	403.5	1199.98	620.67	1540.37	866.07	967.76	884.29	915.51	1030.12	748.61	743.43	529.06	1059.11	1081.39	638.15	559.28	748.61	1191.69	830.75	1119.56	995.0	1081.39	620.67	384.34	336.79	1088.92	1331.57	981.29	612.11	1044.52	571.05	612.11	463.65	660.68	842.36	679.29	476.71	476.71	514.56	819.3	612.11	723.08	679.29	698.41	753.83	753.83	743.43	796.86	1175.27	860.08	432.53	669.92	1369.04	603.67	412.0	567.1	297.17	748.61
FAM160A1	28.45	19.11	16.39	6.31	5.11	29.91	5.5	55.89	131.51	20.86	146.03	25.54	159.9	86.43	170.25	126.12	71.5	111.21	70.01	46.18	36.79	166.73	99.43	33.78	26.86	54.72	124.37	358.54	143.01	55.49	127.89	51.35	38.12	23.25	161.02	129.69	108.14	27.64	118.43	33.54	31.67	44.89	22.43	110.43	92.7	15.34	25.17	31.0	73.03	44.89	84.63	90.14	111.21	34.75	67.12	132.44	104.42	105.89	134.3	34.75	63.45	193.01	47.84	43.02	110.43	56.28	19.25
FAM199X	142.01	133.36	142.01	141.02	109.66	130.6	75.11	246.28	507.46	165.57	454.09	246.28	555.41	299.25	358.54	351.14	305.55	470.14	255.0	256.78	194.36	480.04	521.76	256.78	208.38	303.44	417.77	332.14	511.0	423.61	334.46	267.73	186.4	217.27	363.56	395.18	466.88	293.07	371.22	231.32	256.78	267.73	255.0	339.14	244.57	226.54	191.67	209.84	283.05	217.27	303.44	214.27	258.57	234.57	198.47	307.69	309.83	289.02	283.05	256.78	275.28	373.81	253.23	176.29	211.31	145.02	183.82
FAM208B	178.77	237.86	329.84	346.29	264.03	320.8	37.05	384.34	579.04	264.03	612.11	218.79	599.49	379.04	684.02	511.0	532.74	642.59	343.89	318.57	291.04	728.11	624.99	299.25	195.72	358.54	521.76	669.92	567.1	483.38	438.59	242.88	297.17	234.57	466.88	555.41	476.71	323.03	555.41	275.28	348.71	281.09	285.03	473.41	283.05	248.0	186.4	206.94	314.17	255.0	358.54	325.29	353.59	256.78	406.31	348.71	457.25	353.59	389.72	211.31	256.78	435.55	208.38	206.94	262.2	195.72	100.83
FAM73A	56.28	65.72	77.25	74.58	45.53	82.29	27.64	107.38	368.65	71.0	450.94	130.6	651.58	236.21	334.46	363.56	309.83	457.25	164.42	195.72	118.43	392.44	457.25	145.02	118.43	171.45	450.94	426.57	555.41	371.22	316.37	144.01	99.43	80.01	414.87	441.64	341.51	122.64	299.25	164.42	166.73	158.79	121.79	275.28	246.28	94.01	165.57	110.43	299.25	153.34	299.25	220.32	185.11	157.68	96.01	334.46	358.54	285.03	426.57	95.34	241.19	327.56	130.6	79.45	152.28	49.91	32.59
FAM91A1	141.02	152.28	183.82	181.28	111.21	226.54	135.24	358.54	780.44	249.73	638.15	277.2	693.58	356.05	511.0	463.65	414.87	540.19	299.25	334.46	264.03	536.45	579.04	334.46	195.72	334.46	507.46	493.56	543.96	559.28	503.95	277.2	397.93	202.66	460.44	521.76	507.46	265.87	669.92	275.28	329.84	297.17	267.73	466.88	309.83	220.32	351.14	271.48	480.04	279.14	361.04	305.55	387.02	251.48	309.83	371.22	444.72	389.72	441.64	221.86	339.14	435.55	262.2	164.42	256.78	142.01	142.01
FKTN	80.57	81.71	92.7	73.03	77.25	103.69	17.38	96.01	318.57	71.0	246.28	100.83	248.0	127.89	199.85	177.53	198.47	251.48	145.02	110.43	92.7	297.17	253.23	102.97	69.03	157.68	289.02	275.28	242.88	187.71	154.42	105.89	95.34	71.5	171.45	226.54	190.34	95.34	215.77	97.36	115.16	104.42	80.01	153.34	132.44	70.01	96.68	74.06	140.04	87.65	114.36	100.13	120.1	107.38	111.21	144.01	129.69	214.27	139.07	108.9	103.69	204.07	68.55	87.65	71.0	57.49	21.78
FRYL	470.14	500.46	532.74	248.0	182.55	273.37	46.18	341.51	567.1	262.2	616.37	373.81	660.68	381.68	612.11	403.5	624.99	612.11	420.68	373.81	307.69	579.04	551.56	346.29	239.52	351.14	547.75	392.44	529.06	454.09	435.55	351.14	287.01	303.44	532.74	595.34	476.71	358.54	656.11	305.55	376.41	303.44	325.29	447.82	353.59	264.03	187.71	305.55	297.17	269.6	384.34	376.41	447.82	348.71	432.53	543.96	403.5	351.14	373.81	299.25	275.28	511.0	239.52	295.11	256.78	201.25	329.84
G3BP1	571.05	587.13	642.59	567.1	429.54	532.74	583.07	1159.07	1529.73	753.83	1709.26	954.43	1883.54	1044.52	1639.59	1561.89	1674.06	1794.29	934.76	934.76	896.64	2090.03	1781.89	878.17	688.78	1111.82	1781.89	1806.78	2032.85	1304.15	1447.15	1135.2	872.1	775.05	1832.01	1572.76	1745.2	934.76	2193.99	769.69	890.44	941.27	651.58	1268.46	1088.92	775.05	836.53	890.44	934.76	802.41	1199.98	915.51	1191.69	802.41	660.68	1008.9	1242.34	848.22	1277.29	753.83	1044.52	961.07	915.51	536.45	1059.11	476.71	521.76
GABPB1	150.17	112.77	155.5	145.02	116.78	133.36	80.01	237.86	426.57	189.02	361.04	281.09	412.0	297.17	511.0	309.83	329.84	420.68	273.37	305.55	218.79	346.29	406.31	228.13	208.38	271.48	389.72	341.51	457.25	301.33	262.2	256.78	241.19	217.27	371.22	353.59	348.71	209.84	426.57	177.53	224.97	271.48	241.19	269.6	237.86	195.72	318.57	191.67	366.09	140.04	244.57	214.27	212.78	201.25	221.86	231.32	237.86	217.27	234.57	186.4	231.32	260.38	206.94	148.09	206.94	111.21	223.41
GART	473.41	368.65	497.0	480.04	493.56	518.15	334.46	780.44	759.08	543.96	947.83	536.45	780.44	808.0	624.99	703.28	1135.2	921.88	669.92	660.68	633.73	860.08	878.17	587.13	438.59	684.02	878.17	941.27	995.0	728.11	723.08	642.59	753.83	540.19	934.76	890.44	743.43	503.95	934.76	490.14	571.05	733.19	497.0	693.58	656.11	361.04	642.59	444.72	638.15	444.72	603.67	591.22	599.49	543.96	483.38	607.87	688.78	656.11	775.05	447.82	660.68	638.15	379.04	366.09	540.19	429.54	376.41
GCC2	209.84	237.86	267.73	214.27	130.6	223.41	21.63	723.08	1183.45	273.37	1216.75	412.0	1259.69	665.29	1388.16	988.12	1001.93	1199.98	723.08	595.34	395.18	1304.15	1277.29	450.94	301.33	514.56	1143.1	713.11	1037.29	854.13	842.36	536.45	656.11	406.31	1127.35	967.76	866.07	392.44	961.07	417.77	490.14	432.53	532.74	753.83	723.08	271.48	358.54	309.83	624.99	400.71	591.22	612.11	514.56	381.68	460.44	679.29	684.02	775.05	521.76	341.51	473.41	624.99	444.72	379.04	406.31	148.09	170.25
GFM1	273.37	343.89	327.56	373.81	327.56	307.69	638.15	460.44	769.69	334.46	830.75	551.56	748.61	579.04	607.87	688.78	780.44	819.3	371.22	454.09	438.59	759.08	718.08	400.71	323.03	376.41	656.11	536.45	743.43	713.11	567.1	486.75	500.46	334.46	503.95	733.19	583.07	373.81	651.58	395.18	447.82	376.41	480.04	555.41	483.38	334.46	423.61	444.72	525.39	521.76	493.56	387.02	603.67	384.34	371.22	480.04	808.0	595.34	854.13	353.59	540.19	638.15	371.22	281.09	466.88	248.0	193.01
GORASP2	802.41	909.17	915.51	928.3	802.41	854.13	813.63	1417.35	1407.55	1088.92	1628.26	1340.84	1769.57	1250.98	1794.29	1639.59	1936.53	1498.22	1037.29	1477.58	1259.69	1437.15	1447.15	1073.91	1159.07	1051.79	1551.09	2627.46	1721.16	1322.37	1977.24	1250.98	961.07	1001.93	1794.29	1617.0	1617.0	1059.11	1561.89	1001.93	1167.14	1427.22	1183.45	1417.35	1529.73	981.29	1199.98	1127.35	1519.15	928.3	1487.87	1651.0	1369.04	1143.1	995.0	1233.75	1963.57	1313.23	2367.9	1059.11	1662.49	1350.18	1216.75	860.08	1870.53	785.88	669.92
GOSR1	373.81	329.84	432.53	293.07	325.29	417.77	287.01	514.56	890.44	392.44	954.43	447.82	1008.9	647.07	802.41	802.41	769.69	890.44	591.22	571.05	470.14	759.08	890.44	536.45	450.94	595.34	819.3	941.27	981.29	713.11	743.43	518.15	429.54	387.02	872.1	866.07	854.13	476.71	866.07	432.53	529.06	403.5	423.61	780.44	567.1	368.65	395.18	403.5	591.22	521.76	624.99	651.58	642.59	563.18	470.14	633.73	660.68	796.86	679.29	429.54	633.73	679.29	406.31	361.04	397.93	336.79	217.27
GRPEL2	71.5	111.21	74.58	78.89	60.82	93.35	26.67	117.6	197.09	99.43	164.42	142.01	214.27	128.79	150.17	143.01	148.09	186.4	140.04	113.56	98.04	212.78	187.71	136.19	114.36	159.9	155.5	126.12	208.38	172.65	115.16	139.07	135.24	97.36	157.68	197.09	151.22	115.97	187.71	90.77	119.26	135.24	113.56	127.0	127.89	121.79	157.68	100.13	201.25	65.26	115.97	78.89	97.36	115.16	166.73	115.16	145.02	119.26	132.44	138.1	99.43	134.3	116.78	73.03	100.13	76.17	68.07
GSPT1	785.88	819.3	1044.52	660.68	825.0	733.19	759.08	1819.35	2271.4	848.22	2627.46	1216.75	2816.11	1467.37	2209.26	1639.59	2400.97	2417.67	1662.49	1397.83	1159.07	2400.97	2468.49	1051.79	1081.39	1359.57	2319.15	2485.67	2701.35	2061.24	2148.82	1685.71	1457.23	1397.83	2032.85	2209.26	1991.0	1159.07	2591.27	1295.13	1199.98	1487.87	1066.48	1757.34	1477.58	780.44	1119.56	1216.75	1242.34	1151.06	1651.0	1508.65	1447.15	1304.15	1369.04	1407.55	2018.8	1529.73	1769.57	1051.79	1697.45	1781.89	1519.15	954.43	1709.26	884.29	480.04
HNRNPF	2061.24	2271.4	2417.67	1467.37	1674.06	1733.13	2209.26	5479.15	4972.34	2720.15	4736.79	3928.15	4836.35	4388.98	5329.3	5219.6	5219.6	4769.75	3515.68	3742.05	3349.13	4239.45	5041.77	2956.17	3060.45	4095.0	5219.6	5219.6	3018.3	3395.89	4419.52	4123.49	3190.46	2915.45	5872.48	4972.34	5006.93	3395.89	5441.3	3060.45	3124.78	4038.61	3325.99	4095.0	4095.0	2287.2	3716.2	2895.31	4298.64	2935.74	3540.14	3928.15	3820.7	2739.08	2434.5	3303.0	4038.61	3060.45	4066.71	2739.08	3901.01	3540.14	3235.01	2119.22	3665.02	1819.35	3039.3
HNRNPU	1909.85	1583.71	2178.83	2018.8	1745.2	2701.35	1059.11	3768.09	4575.41	2855.44	4450.27	3419.52	4575.41	3742.05	4095.0	3847.29	4450.27	4903.87	3349.13	3395.89	3491.39	4575.41	4575.41	3639.7	3103.19	3372.43	4607.24	5076.84	4937.99	3768.09	4769.75	4066.71	2537.92	3372.43	4123.49	4298.64	4450.27	3257.52	4869.99	2915.45	3168.41	2835.7	3443.31	3716.2	2367.9	3168.41	1508.65	3146.52	2061.24	2895.31	3515.68	3103.19	3982.99	2997.45	2796.65	3124.78	3768.09	3372.43	3928.15	2271.4	3540.14	3303.0	2935.74	2240.11	3280.18	2682.69	3039.3
HOOK1	38.95	16.75	22.59	12.83	2.66	8.99	70.01	209.84	420.68	67.12	395.18	96.01	438.59	209.84	368.65	299.25	343.89	366.09	157.68	173.85	143.01	483.38	400.71	120.94	69.52	220.32	389.72	379.04	409.15	269.6	279.14	111.99	185.11	119.26	291.04	423.61	323.03	141.02	361.04	108.9	164.42	172.65	159.9	273.37	117.6	97.36	100.13	81.71	162.14	84.63	204.07	181.28	193.01	167.9	120.1	190.34	153.34	182.55	232.94	198.47	202.66	204.07	141.02	154.42	131.51	145.02	11.82
IARS	376.41	486.75	473.41	693.58	860.08	684.02	167.9	764.36	1378.57	579.04	1250.98	624.99	1277.29	1044.52	1331.57	947.83	1457.23	1388.16	1066.48	836.53	769.69	1628.26	1242.34	684.02	612.11	1001.93	1477.58	1388.16	1397.83	947.83	1051.79	878.17	540.19	624.99	1191.69	1059.11	1096.5	813.63	1286.18	780.44	808.0	830.75	563.18	974.5	1008.9	480.04	842.36	595.34	785.88	723.08	878.17	785.88	934.76	854.13	872.1	854.13	1081.39	1151.06	1119.56	567.1	995.0	1023.0	775.05	497.0	753.83	693.58	457.25
IGF2R	376.41	303.44	395.18	381.68	253.23	356.05	529.06	559.28	915.51	397.93	1359.57	733.19	1111.82	928.3	1617.0	1477.58	1242.34	1119.56	698.41	884.29	567.1	1242.34	890.44	638.15	728.11	708.18	1242.34	1096.5	1427.22	1066.48	1397.83	785.88	587.13	575.03	1508.65	1467.37	1066.48	728.11	1015.93	638.15	825.0	647.07	571.05	981.29	587.13	500.46	283.05	575.03	346.29	723.08	1088.92	896.64	656.11	543.96	529.06	848.22	921.88	555.41	693.58	397.93	872.1	708.18	438.59	363.56	748.61	902.89	547.75
IREB2	152.28	162.14	186.4	170.25	120.1	173.85	115.16	264.03	563.18	180.02	674.59	223.41	669.92	392.44	595.34	540.19	507.46	708.18	387.02	327.56	248.0	780.44	708.18	295.11	236.21	323.03	547.75	708.18	642.59	547.75	450.94	323.03	231.32	236.21	490.14	507.46	559.28	269.6	629.35	285.03	409.15	248.0	253.23	490.14	389.72	194.36	316.37	248.0	480.04	244.57	457.25	395.18	368.65	371.22	420.68	444.72	409.15	332.14	371.22	253.23	287.01	463.65	239.52	234.57	241.19	157.68	143.01
ISPD	9.78	13.32	10.39	14.14	9.78	14.89	36.01	19.11	46.5	8.38	34.75	24.99	53.57	35.5	49.91	34.02	43.94	46.5	30.56	22.26	13.93	59.97	40.36	18.29	16.88	23.59	43.94	30.34	85.82	37.05	39.5	22.92	11.04	15.45	43.02	47.17	42.71	14.89	49.91	18.29	24.11	24.11	21.78	38.12	27.84	14.24	37.85	13.72	28.65	19.82	34.75	22.59	21.32	23.76	24.99	23.76	41.81	39.79	47.84	12.74	29.91	13.32	18.43	11.38	26.1	6.31	0.77
KIAA0368	555.41	612.11	825.0	571.05	1066.48	708.18	226.54	1388.16	2367.9	1191.69	2178.83	854.13	1674.06	1639.59	1662.49	1208.34	1551.09	1870.53	1233.75	1397.83	981.29	2434.5	1685.71	974.5	1001.93	1208.34	2178.83	1662.49	2032.85	1437.15	1167.14	1066.48	1447.15	1286.18	1794.29	1551.09	1508.65	1250.98	1572.76	1023.0	1167.14	967.76	1304.15	1259.69	902.89	909.17	473.41	819.3	738.29	884.29	1268.46	1037.29	988.12	915.51	1407.55	1295.13	1340.84	1143.1	1407.55	579.04	872.1	1369.04	563.18	769.69	1183.45	579.04	884.29
KIAA0895	27.05	27.25	30.34	63.89	65.26	61.25	32.59	109.66	159.9	64.34	142.01	94.01	157.68	89.51	129.69	124.37	138.1	150.17	88.88	113.56	85.82	244.57	140.04	87.65	59.97	111.21	170.25	186.4	137.14	130.6	155.5	74.58	82.29	58.71	114.36	102.25	129.69	69.03	171.45	75.11	70.51	110.43	86.43	96.68	115.16	70.51	101.54	69.03	119.26	84.04	78.89	82.29	140.04	61.68	77.79	118.43	145.02	78.89	92.7	66.18	109.66	120.94	99.43	69.52	86.43	19.39	26.47
KIF21A	98.73	175.07	234.57	237.86	128.79	228.13	122.64	241.19	395.18	73.03	612.11	271.48	698.41	476.71	718.08	733.19	320.8	543.96	493.56	373.81	223.41	651.58	1051.79	329.84	244.57	285.03	507.46	454.09	909.17	536.45	525.39	361.04	191.67	234.57	563.18	500.46	551.56	293.07	575.03	303.44	361.04	314.17	291.04	540.19	329.84	141.02	232.94	273.37	334.46	258.57	457.25	358.54	332.14	397.93	154.42	376.41	389.72	384.34	500.46	486.75	483.38	356.05	395.18	571.05	273.37	114.36	70.01
KPNB1	1167.14	1030.12	1304.15	830.75	954.43	1119.56	423.61	2664.15	3124.78	1991.0	4095.0	2163.77	3190.46	1936.53	3349.13	3303.0	3768.09	3820.7	2061.24	2384.37	2133.97	3589.58	3540.14	2032.85	2047.0	2004.85	3614.55	3540.14	3820.7	2739.08	2609.3	2224.63	1977.24	1685.71	3742.05	3372.43	3768.09	2367.9	3589.58	1721.16	1909.85	1794.29	2061.24	2384.37	2133.97	1923.14	1208.34	1628.26	1806.78	1896.65	2384.37	2018.8	1909.85	1883.54	2004.85	2075.59	2855.44	2417.67	2796.65	1605.83	2061.24	2609.3	2209.26	981.29	2209.26	1151.06	1159.07
KRAS	277.2	194.36	232.94	143.01	223.41	198.47	44.89	255.0	708.18	180.02	633.73	194.36	395.18	209.84	348.71	318.57	291.04	371.22	239.52	165.57	181.28	447.82	314.17	231.32	158.79	248.0	312.0	314.17	429.54	426.57	329.84	209.84	162.14	186.4	283.05	332.14	368.65	186.4	351.14	186.4	193.01	283.05	162.14	323.03	226.54	165.57	217.27	163.28	303.44	197.09	289.02	201.25	260.38	214.27	149.12	197.09	289.02	218.79	277.2	180.02	215.77	262.2	178.77	112.77	204.07	93.35	100.13
L2HGDH	30.56	39.22	40.93	36.27	20.26	30.34	80.57	109.66	87.65	37.85	115.16	47.84	122.64	96.68	127.89	88.26	140.04	118.43	66.65	80.57	52.08	150.17	127.0	57.49	49.91	68.07	105.15	92.05	153.34	84.63	74.06	67.59	63.89	46.18	118.43	93.35	74.58	52.82	110.43	50.63	74.58	75.11	47.5	84.04	85.22	40.93	71.5	43.02	96.01	42.41	74.06	80.57	61.68	57.08	66.65	60.82	110.43	82.29	106.63	78.89	103.69	155.5	59.13	84.63	71.0	29.48	8.65
LARP1	579.04	532.74	620.67	647.07	595.34	718.08	444.72	1233.75	1437.15	848.22	1519.15	842.36	1286.18	1225.22	1340.84	1551.09	1594.73	1388.16	878.17	1044.52	974.5	2271.4	1378.57	902.89	934.76	1167.14	1378.57	1407.55	1508.65	1143.1	1111.82	981.29	928.3	718.08	1498.22	1340.84	1350.18	988.12	1896.65	988.12	1008.9	866.07	808.0	1175.27	796.86	791.35	262.2	915.51	575.03	896.64	967.76	1051.79	1059.11	708.18	860.08	1143.1	1529.73	884.29	1561.89	775.05	1073.91	1066.48	802.41	555.41	1037.29	961.07	567.1
LARP4	127.0	131.51	153.34	164.42	167.9	166.73	181.28	358.54	373.81	176.29	555.41	283.05	595.34	301.33	521.76	435.55	525.39	483.38	295.11	256.78	249.73	540.19	579.04	244.57	165.57	277.2	454.09	679.29	587.13	447.82	518.15	251.48	287.01	187.71	389.72	447.82	412.0	249.73	579.04	241.19	273.37	265.87	241.19	384.34	293.07	187.71	271.48	256.78	397.93	258.57	325.29	307.69	323.03	255.0	293.07	301.33	476.71	329.84	417.77	189.02	299.25	441.64	251.48	171.45	273.37	122.64	171.45
LCMT2	55.89	96.68	55.1	76.17	61.68	58.3	65.26	161.02	146.03	115.97	191.67	205.5	185.11	181.28	205.5	199.85	209.84	199.85	165.57	201.25	173.85	144.01	204.07	191.67	181.28	159.9	228.13	258.57	189.02	199.85	223.41	205.5	150.17	176.29	202.66	166.73	218.79	169.07	260.38	193.01	187.71	194.36	206.94	206.94	193.01	137.14	153.34	177.53	209.84	138.1	197.09	201.25	173.85	178.77	176.29	171.45	242.88	206.94	212.78	132.44	232.94	173.85	177.53	124.37	193.01	115.97	31.45
